hnit	ຊົ່ວ
hlic	ແລ້ວ
hfit	ຫຼັກຖານfactive
tcac	ສາວ
hcun	ໄດ້ຍິນ
ksan	ຢ່າງຫນ້ອຍ
hyaf	ບາງທີອາດມີ
kyat	ຢ່າງ​ແທ້​ຈິງ
tcic	ຮ່າງກາຍ
hwit	ການກັບຄືນມາ
cwat	ອາກາດ
hfaf	ກົດຫມາຍ
hput	ຊ່ວຍເຫຼືອ
lyat	ຈົດຫມາຍສະບັບ
ksas	ສີ່
hpic	ໂປຣໄຟລoptative
hfuk	ໄຟ
hcam	ຊົ່ວໂມງ
twat	ສົງຄາມ
kyak	ຫຼາຍ
tlit	ຄັ້ງທີສອງ
pcin	ຫລັງ
hmut	ການສູນເສຍ
clan	ພັນ
hfac	ຄອບຄົວ
twan	ຈິດວິນຍານຂອງ
hwas	ຄໍາຖາມ
syan	ຄວາມຈິງ
htis	ເຮັດໃຫ້
tsat	ໂປຣໄຟລທີ່ອາດເກີດຂຶ້ນ
lwik	ກໍລະນີallative
nyin	ບົດບາດຍິງຊາຍanthropic
hfak	ຫ້າ
tcak	ເຄື່ອງຫມາຍວິຊາດຽວກັນ
htuc	ວິຊາທີ່ແຕກຕ່າງກັນ
hnap	ຄໍາຕອບ
hmit	ທະເລ
hcuc	ຄວາມຢ້ານກົວ
pcat	ເຂົ້າໃຈ
syas	ຂໍ້ກໍານົດ
hcaf	ບໍ່ຕ້ອງສົງໃສ
twut	ໂປຣໄຟລdubitative
hkis	ສີດໍາ
tlak	ເອົາມາໃຫ້
hyus	ທີ່ສວຍງາມ
nyit	ການຈັດລຽງ
htip	ສິບ
ksis	ເລື່ອງ
hpuk	ຫນັງສື
hlin	ເອເລັກໂຕຣນິກ
hkun	ບັນຊີ
lyas	ຄວາມສົນໃຈ
lyit	ຂຽນ
pwat	ຕຽງ
hnis	ອາຍຸສູງສຸດ
hnut	Counterfactualເງື່ອນໄຂ
slas	ສິນລະປະ
hwis	ກໍລະນີvialis
pyak	ອ້າຍ
lyin	ອອນໄລນ໌
tyas	ຕາຕະລາງ
hyun	ນ້ໍາ
kyac	ຕາ
tfan	ຢ່າງກະທັນຫັນ
kcin	ເລິກ
hmuc	ຈຸດປະສົງ
cyac	ເລືອດ
hmap	ເພີ່ມຂຶ້ນ
tlin	ເຢັນ
hyif	ຕໍ່
tyam	ທ້າຍ
hnaf	ຄິດວ່າ
hkip	ເກືອບ
myan	ຂຸດຄົ້ນບໍ່ແຮ່
tsin	ຄວາມຮູ້
hkup	ສໍາເນົາ
hsam	ສາມີ
hlis	ຫົກ
cwit	ດໍາລົງຊີວິດ
cyan	ສັນຕິພາບ
myat	ຈື່
tyic	ທໍາມະຊາດ
hfut	ຕໍ່າກ່ວາ
swas	ການບໍລິການ
hsap	ຍົກເວັ້ນ
pcit	ລິຂະສິດ
hyim	ກອງທັບ
kyas	ມ້າ
plic	ໃນອະນາຄົດ
pcak	ທິດຕາເວັນຕົກ
hpis	ຈ່າຍ
hyuk	ສີແດງ
hwun	ຄໍາ
twin	ຄວາມປາຖະຫນາ
plan	ຫຼິ້ນ
hpus	ຫ້ອງການ
syun	ລັດຖະບານ
kyic	ສາດສະຫນາຈັກ
htaf	ຄວາມເຂັ້ມແຂງ
hlun	ຄວາມຍາວ
kyin	ບໍລິສັດ
kyis	ເອກະສານ
mlan	ການຄາດຄະເນ
hcim	ໂດຍສະເພາະແມ່ນ
cyas	ຮັບຜິດຊອບ
twac	ປ່ອງຢ້ຽມ
nyat	ຄວາມງາມ
hcus	ສຸດທ້າຍ
htup	ຫນ້າທີ່
htif	ໄລຍະທາງ
pyas	ຕີນ
hlas	ປ່າທໍາມະຊາດ
ksin	ສີຂຽວ
hmaf	ບັນຫາໃນການ
myac	smile
hsim	ນອນ
kyit	undefined
kwik	ກໍລະນີອ້າງ
fwan	ການຢ້ຽມຢາມ
slan	ປະຕິບັດຕາມ
psit	ມີ
hmic	ຫວານ
hmuf	ປາກ
hfin	ອຸດົມສົມບູນ
tcam	enemy
psuk	ຫັກ
kcap	ການຂົນສົ່ງ
pwan	ທ່ານລວມ
hfic	ອິດທິພົນ
tcuc	ປາກົດ
hkim	ຄວາມລັບ
pyin	ກະລຸນາ
pwit	ໂປຣໄຟລPREC
pyit	ລົງທະບຽນທາງດ້ານການເມືອງ
cwak	ຄວາມຊົ່ວຮ້າຍ
myak	ເດືອນມີນາ
tcas	ສະຖານທີ່
hlaf	ຢູ່
psat	ແທນທີ່ຈະເປັນ
nlan	ສີຟ້າ
psac	ເປັນໄປບໍ່ໄດ້
kcuk	ໂຮງຮຽນ
kcit	ການແຕ່ງງານ
kcak	ສະບຽງອາຫານ
syis	ຊາວ
tlac	ງຽບສະຫງົບ
hcip	ລັກສະນະໃນອະນາຄົດ
kwin	ໃຫ້
tsit	ຢຸດເຊົາການ
pyac	ພາສາ
hsus	ອາທິດ
hcup	ຫ້ອງ
cyap	ສິ່ງມະຫັດ
tfin	ເກີດ
fyat	ສານ
hnip	ລັກສະນະgnomic
tsak	ນັບຖື
tlas	ຕົກເປັນມູນຄ່າ
syuc	ເປັນໄມ້ຢືນຕົ້ນ
plat	ກໍາແພງຫີນ
cyak	ສະຫວັນ
twip	ລັກສະນະinchoative
mlat	ຄໍາສັ່ງ
swit	ໂປຣໄຟລjussive
mwas	ເດືອນ
hwaf	ທີ່ສົມບູນແບບ
tyap	ປະສົບການ
ksac	ສະຖານະການ
syac	ສົດ
hnuk	duke
kwak	ການຄຸ້ມຄອງ
tyuk	ພາກຕາເວັນອອກ
pwac	ກ້ອນຫີນ
hkif	noble
nyac	ທິດທາງ
cyis	ປະທານ
tyuc	ລໍຖ້າ
tsun	ບ້ານ
tyik	ຕົກລົງເຫັນດີ
hnum	ໂປຣໄຟລການອະນຸຍາດ
slak	ຄວາມສໍາເລັດ
tsic	ຄວາມພະຍາຍາມ
slat	ພູ
hmik	ດົນຕີ
hkus	cry
hsip	ເຈັດ
hpaf	ສ່ວນຕົວ
nwas	ຂ່າວ
tfac	scene
fyan	ສວນ
cwas	ເລີ່ມຕົ້ນ
hfik	ກໍລະນີການແຈກ
lyac	ຮຽນຮູ້
syik	ທາງດ້ານການເມືອງ
clin	henry
cyin	ນອນ
tsas	ຊັ້ນວັນນະ
cyik	ສິດອໍານາດ
tlap	ຊັ້ນ
cyam	summer
tcut	ສາສະຫນາ
tcap	escape
hlut	ຜູ້ຂຽນ
pyun	ສີນ້ໍາຕານ
tcuk	ອາການເຈັບປວດ
swan	ພາກຮຽນspring
hmun	ຂອງປາ
kyun	ແຈ
nyak	ເຄື່ອງຫມາຍການຄ້າ
tsis	ຄວາມຍຸດຕິທໍາ
psas	ຜະລິດຕະພັນ
cyaf	laugh
hwut	ລືມກ່ຽວ
hyup	ເອີຣົບ
hwap	ແປດ
psak	ການຖ່າຍທອດ
kyap	ຂີ້ຮ້າຍ
pyic	ຕ້ອງການ
hmim	ຂະຫນາດກາງ
hsaf	ລົມຫາຍໃຈ
hmis	ສະຫລາດ
hsum	ເຄື່ອງຫມາຍການຄອບຄອງ
ksat	ສຸກ
ksit	grave
tsap	ເກາະ
kyam	camp
tcum	ສໍາຜັດ
cyun	ໂຊກດີ
psic	shore
tyun	ໂດເມນ
mwit	ໂປຣໄຟລຄະນະກໍາມະ
tlut	ປະລິນຍາ
myit	ລະດູຫນາວ
kfan	ການປະພຶດ
slac	ການເຮັດວຽກ
myin	ນາທີ
tyip	ນໍາໄປສູ່
klas	ແກ້ວ
pfat	ຄະນະກໍາມະ
cyic	vain
swam	ການ
syam	ຄວາມປອດໄພ
tsut	ທ່ານຫມໍ
hlip	ລັກສະນະຄົບຖ້ວນສົມບູນ
kcas	ຄວາມມືດ
nyun	ອົບອຸ່ນ
hpuc	ເຄື່ອງດື່ມ
tlam	ຍົກຕົວຢ່າງ
hfun	ຄວາມໃຈຮ້າຍ
tsik	ເຖິງວ່າຈະມີ
tsam	ໂດຍກົງ
hmup	ຫລີກ
klak	ຫມາ
slin	ເງິນ
swac	ຜູ້ຮັບໃຊ້
kcam	ຄວາມພາກພູມໃຈ
pyik	ການຝຶກອົບຮົມ
myut	ສົມບັດສິນທໍາ
syak	ເຂົ້າ
swat	sword
kyuk	ການໂຈມຕີ
clac	ສຸຂະພາບ
tyaf	ວັກ
swic	ສັງຄົມ
tfit	ການຄືນເງິນ
hkaf	ຢ່າງເປັນທາງການ
pcas	glance
nyam	ລັດສະຫມີພາບ
tfat	ສິບສອງ
pcut	ການມີສ່ວນຮ່ວມ
pwin	ເຫລົ້າທີ່ເຮັດຈາກ
mwat	ລົດຊາດ
fyac	ທາດເຫຼັກ
syap	ການແຈກຢາຍ
myap	ການຄ້າ
hyum	ການນໍາໃຊ້
fwak	ຜູ້ພິພາກສາ
klat	captain
twap	ລັກສະນະສໍາເລັດ
kcic	ຢາກຮູ້ຢາກເຫັນ
kwic	ຕ່າງປະເທດ
hnif	ເຂັ້ມຂຸ້ນຂຶ້ນ
myun	ຄວາມສໍາຄັນ
tlic	ສຸດທ້າຍ
cyuk	ຄໍ
syut	ເປັນອິດສະຫຼະ
pfan	ທັງສອງດ້ານ
kyuc	ແຫ້ງ
pcap	ຫລີກໄປທາງຫນຶ່ງ
tfak	ຫຼັກຖານ
tcik	ກໍລະນີຫຼັກຖານ
twun	ຫ່າງໄກ
tyis	ຄວາມຄືບຫນ້າ
nyap	ແຄບ
plit	ການກໍ່ສ້າງ
hpif	ຫນ້າ
pwic	ຖື
syic	sad
tsip	ບາບ
syim	ເຈັບປ່ວຍ
tcis	ຄວາມຊື່ສັດ
pcun	ທະນາຄານ
ksap	ຍອມ​ຮັບ
lyam	ນ້ໍາ
tcaf	ລະມັດລະວັງ
kwac	ຫູ
hpup	ເຂົ້າຈີ່
kcut	ເລືອກ
nwam	ສັດ
hsup	zoicບົດບາດຍິງຊາຍ
nwit	ໂປຣໄຟລກິດຈະກໍາ
tcim	ເຄື່ອງຫມາຍກໍລະນີດຽວກັນ
tlik	ກໍລະນີmultiplicative
kyus	ຂ້າມ
hmus	ຫນາ
kfat	ກ້າ
nwat	ການຂະຫຍາຍຕົວ
myic	ຝົນຕົກຫນັກ
hpum	ດ້ານ
swut	ບໍລິສຸດ
clis	ກໍລະກົດ
mwun	ຄົນອັບເດດ:
hfas	ເອກະສານ
cwac	shoulder
kwat	ສະດວກສະບາຍ
nwac	ໃຜ
tcip	ຕ້ອງການ
kfac	ຫຍ້າ
hmuk	ແຕ້ມ
plin	ເປີດ
kwun	ເດືອນມິຖຸນາ
mlik	ປາ
klin	ນະຄອນຫຼວງ
pfut	ເຕົ້ານົມ
twam	ການຮ້ອງຂໍ
fyin	ຄ່າໃຊ້ຈ່າຍ
nlit	ທ່ານ
mlin	ລ້ານ
pyut	ອະທິຖານ
hluk	ເມື່ອຍ
ksut	ຂ້າ
cyut	ເງົາ
psin	ນ້ໍາ
kcis	ສີຂີ້ເຖົ່າ
pyam	brave
mwac	ພໍໃຈ
klam	ບອກ
ksam	ແຫ່ງຊາດ
hfip	ອ່ອນແອ
klik	ຮ່ອມພູ
hkum	ໂປຣໄຟລຄາດຄະເນ
clas	ສີເຫຼືອງ
cyuc	ຄວາມຮ້ອນ
mlac	ຊາກ
syip	ເທົ່າທຽມກັນ
pwak	ຫມາຍໃສ່ໃນປ່ອງ
tcif	ແຫຼມ
psip	ຫຼັກການ
ksik	ຜົນສະທ້ອນ
tsim	ລະດູການ
flan	ວິທະຍາສາດ
pcam	ປາກົດຂື້ນ
kcun	ຄົນເວົ້າຫຼາຍ
ksuk	ລຸງ
mlit	ບັນຊີລາຍຊື່
pcik	ເປັນອັນຕະລາຍ
kwas	ເດືອນສິງຫາ
hluc	ທີ່
klit	ບໍ່ຮູ້ຈັກ
flak	ຄຸ້ນເຄີຍ
fyit	ລົງທະບຽນຄຸ້ນເຄີຍ
lwat	ອ່ານ
plun	ເວລາຍ່າງ
twas	ສອງຄັ້ງ
pcis	ປະໂລຫິດ
fyas	ໄດ້ຮັບບາດເຈັບ
nlat	ພະລາຊະວັງ
myuk	ຄົນ​ໂງ່
pfak	ເອື້ອອໍານວຍໃຫ້
tcuf	ເກົ້າ
cwap	ເຫັນອົກເຫັນໃຈ
plac	ການລະເບີດ
pyap	ການວາງ
lyic	ນຸ່ງ
hcum	ສິ່ງລົບກວນ
lwit	ວັນນະຄະດີ
tsuk	ຊີວິດ
hfup	ການປົກຄອງ
kcik	ຖົງ
nwap	ພະຈິກ
tyim	ທັນວາ
psaf	ເມື່ອບໍ່ມີ
nlac	ປະຊາກອນ
kyaf	ຂໍຂອບໃຈ
slis	ໄລຍະການ
pyaf	ນົກຊະນິດ
mlak	ເຈົ້າຂອງ
kwut	ເປືອກຫຸ້ມນອກ
hwuc	ການພົວພັນ
pyis	ຂຶ້ນຢ່າງໄວວາ
twuc	ຄວັນຢາສູບ
nwak	ເດືອນມັງກອນ
mlic	ເຄື່ອງ
tlis	ແຂ້ວ
ksun	ການເຜົາໄຫມ້
clam	ຄວາມອັບອາຍ
klaf	ມີຄຸນະພາບ
clit	ວົງ
fyak	ປະໂຫຍກ
fyam	ເຄື່ອງຫມາຍປະໂຫຍກ
kwap	ຕາລາງ
hwip	ວັນອາທິດ
psis	poetry
pwut	undefined
kyim	ຊື້
clic	ທົ່ງນາ
pyip	ເມສາ
kfap	ຕຸລາ
psut	ວັດຖຸ
kcuc	ມີລົດຊາດຂົມ
nlap	ລອງ
hsok	ວ່າງ
htet	ຂໍ້​ຄວາມ
hbat	ຮ້າຍແຮງທີ່ສຸດ
hrit	ການປ່ອຍສິນເຊື່ອ
hzit	ຄຸນ​ລັກ​ສະ​ນະ
hpet	ສິບຫ້າ
krac	cruel
hduc	ຂີ້ຝຸ່ນ
hrik	ການປະຕິບັດ
hron	ສີ
hnus	ດັງ
hric	ມິດ
srik	ການສະຫນອງ
hten	ໃນມື້ວານນີ້
tlet	hesternalຄໍາ
slap	ເຊັ່ນການແລກປ່ຽນ
hban	ໃສ່
hdat	ຕາບອດ
fran	ບິນ
hdan	devil
htec	ຄ່ອຍໆ
hmon	ພາລະກິດ
cran	ການເສຍສະລະ
hran	ຈິດໃຈ
hmos	ລັດຖະມົນຕີ
nrit	ພະລັງງານ
hcet	ຊັງ
hset	ສູນ
hrin	ບົດບາດຍິງຊາຍສົມເຫດສົມຜົນ
hcot	ມີຄວາມສຸກ
hrip	ໂດຍຫຍໍ້
htep	ນະມັດສະການ
hcif	ຜິວຫນັງ
hrat	ມຸງ
kran	ເຮືອນຍອດ
hkon	Castleໄດ້
tran	ເປັນຫ່ວງ
hmif	ໄມ
trin	ແຜ່ນປ້າຍວົງກົມ
hgin	ຄຸກ
hkop	ຈອກ
hcen	ສະມາຊິກ
swin	ພົນລະເຮືອນ
hrac	ຢູ່ທົ່ວທຸກແຫ່ງ
hris	custom
hbin	ກາຍມາເປັນ
hmot	ຊີ້ນ
hdut	້ໍານົມ
hwen	ບົດບາດຍິງຊາຍພືດ
nran	ຫາຍາກ
hbac	cousin
crut	ຂົວ
hsoc	ຫຸ້ນ
hsom	ເກືອ
nris	ຄືຊິ
hbit	ຫຼີກເວັ້ນການ
crin	ຊົມເຊີຍ
rwin	queen
hgut	ນັບ
hdas	ເຕັ້ນ
hnot	ໂຮງແຮມ
hdin	ຕື່ມຂໍ້ມູນໃສ່
hton	ນັກໂທດ
hdak	ບໍລິການຜ່ານ
hlet	stairs
hson	pardon
hgek	gay
hras	ຊາຍ
hsep	ເດືອນກັນຍາ
hbic	ruin
hlen	ໃບອະນຸຍາດ
hcon	ພຽງພໍ
hgit	ການເປັນພະຍານ
kfon	ເຮືອນຄົວ
hbak	ຂາຍ
tlim	ການປິ່ນປົວ
hsot	ຄວາມໄວ
kyut	ຄອມພິວເຕີ
hnen	ນິລັນດອນ
htek	ຫ້ອງສະຫມຸດ
hzan	ມີ
hbis	ຖານ
hbun	ຄວາມສັບສົນ
kcus	ປຸງແຕ່ງອາຫານ
hgat	ທະ​ເລ​ຊາຍ
hwus	kiss
hbif	ກ້ອນ
hbot	ບານ
hrut	ການໂຕ້ຖຽງ
hdit	ໂປຣໄຟລພອນ
hdis	ຄວາມຜິດ
hjan	ການລົງໂທດ
plis	ຕໍາຫຼວດ
hgan	ຊ່ອນ
hsen	ແບບເລັ່ງລັດ
nrin	ignorant
hyen	ຟັງ
frif	ກຸມພາ
hdik	ພະຍາດ
hnek	ກໍລະນີການລິເລີ່ມ
hbam	ປ້າ
hmen	ຖ່ອມຕົນ
hdip	imperativeໄກ
prat	ລາຍງານຫຼັກຖານ
hdet	ເວລາທ່ຽງຄືນ
hjit	ນິ້ວມື
hmoc	somewhere
pran	ຫນັງສືພິມ
kcec	ພູມິພາກ
hken	ເມື່ອໄວໆນີ້
hloc	melancholy
hrak	ພະນັກງານ
htes	ຈ້ອງເບິ່ງ
rwan	ລາງ​ວັນ
hdon	ບໍລິຈາກ
htot	ຫນ້າຜາກ
hnet	ທູດສະຫວັນ
hdun	ຄໍາ
croc	ຄວາມຜິດພາດ
hlon	ອາລຸນ
hyec	ແກະ
hjin	ຄວາມອົດທົນ
hrec	referential
mran	ສາລີ
htos	ສ່ວນໃຫຍ່
hcos	ມາດຕະການ
hkoc	ເປັນບາງໂອກາດ
hlif	ກໍາໄລ
clak	້ໍາຕານ
hjat	ມະນຸດ
tram	ພາ
hdic	ແຜ່ນ
hkok	ເປົ່າປ່ຽວດຽວດາຍ
srat	ຈິດຕະນາການ
crak	charm
hmet	ອີເມວ
hden	ການຕັດສິນໃຈ
gran	ການປົກຄອງ
crac	ສາຂາ
hjac	ກະຕືລືລົ້ນ
hdim	ໂປຣໄຟລinductive
hcok	hurry
hyet	ນ້ໍາ
pwap	ທໍ່
trat	ພິມ
tcot	ເລື່ອງແຂງ
hdoc	oh
hren	ສະພາບການສົນທະນາ
tcon	noon
krin	cabin
plam	ປຸກ
hnes	ລະບົບປະສາດ
tcen	ການສັງເກດການ
hsek	ລັກສະນະ
plik	ສາມາດນໍາໃຊ້
slik	ໄຫມ
hfen	ເປີເຊັນ
hgen	ຕົວແທນ
hnon	ສະຫະພາບແຮງ
crik	hell
tcet	ຜິດປົກກະຕິ
mrat	ປະສົມ
hdam	ໂປຣໄຟລຄໍາແນະນໍາ
hgac	ທະເຍີທະຍານ
htoc	somehow
hdac	ຄໍາແນະນໍາ
nwin	ຖະທໍາມະນູນ
srit	ເຄື່ອງມື
hret	ຢ່າງຫນັກແຫນ້ນ
nlin	ອອນໄລນ໌
hzat	tide
klic	ວິທະຍາໄລ
hkek	ຫາງ
nric	ການຜະລິດ
hgic	ທີ່ແອອັດ
hgak	cat
trit	ຫຼັກຖານໂດຍກົງ
tyot	ສົນທິສັນຍາ
hnok	ເນື້ອໃນ
crit	ປະຖິ້ມໄວ້
slen	ສິບເອັດ
srin	instinct
hpok	ຊົນເຜົ່າ
hyot	ໂປຣໄຟລດ້ວຍຄວາມຢ້ານ
cric	ທີ່ພັກອາໄສ
hruc	ເສຍມາລະຍາດ
cwin	ຂັບເຄື່ອນ
hzak	ສັ່ນ
dyit	ອຸດສາຫະກໍາ
hpec	ປະກອບອາຊີບ
nras	ນາງພະຍາບານ
hcec	ການສິດສອນ
hbut	ເກີບ
hmec	vague
twot	ກິດຈະກໍາ
crat	ວັນເສົາ
hkot	ຄວາມອາດສາມາດ
hnec	sunshine
hwuf	ແມ່ຫມ້າຍ
cren	ຫຼົ່ນລົງ,
nrat	ດາວ
hget	ບຸກຄົນທົ່ວໄປ
hbik	ເປັນພອນໃຫ້ແກ່
brin	ໃນ
hpot	ມີ
trac	ການຕໍ່ຕ້ານ
prac	ມາ
hcoc	ເປັນຮູ
hpon	ແຂວງ
hwim	ພົນລະເມືອງ
dwan	hang
cwok	ອາການຊ໊ອກ
hdok	ການຂັບລົດ
crun	treasure
hzik	ແກ່ນ
hrot	ທີ່ຜ່ານມາຄໍາທີ່ຜ່ານມາ
hket	ປຸກ
hcek	ເຄື່ອງເຟີນີເຈີ
hrop	ເຊືອກ
mrac	ໄຟອັນຕລາຍ
byit	feast
trak	ປະຈໍາປີ
hzin	ພາກໃຕ້
sric	ພິທີ
clik	ການລ່າສັດ
trap	ວັດຕາມແບບເສລີ
hrim	ຄຣິສຕຽນ
hrus	princess
blat	ແທ່ນບູຊາ
cyon	ຂະຫນາດນ້ອຍ
hwep	ເວັບໄຊຕ໌
krat	ສຽງ
tris	ສີມ່ວງ
kcot	ເກັບ
hben	ການເລືອກຕັ້ງ
trik	drunk
kfit	ຍົກ
tcec	ການແລກປ່ຽນ
nrik	ບົດຄວາມແນ່ນອນ
grat	emperor
dran	ການບໍລິຫານ
hpen	ກ່ອນຫນ້ານີ້
cluk	ugly
nrac	ເປັນອັນຕະລາຍ
ryin	ການຝຶກອົບຮົມ
hrun	ມ້ວນ
nwic	ນິ້ວ
slit	ຫນໍ່ໄມ້ສ່ວນຫຼາຍ
gzat	ຫນັງສືພິມ
krot	ການຕັດ
drit	ຈັບຫນວດ
hzis	້ໍາຕາ
hdap	ສິບແປດ
sris	ປະຫວັດສາດ
mrut	ລວມທັງຫມົດ
nyik	ຕົມໄຫຼ
bran	bride
drat	ຂຶ້ນ
djan	ຍັກໃຫຍ່
glat	ນາ
hpoc	ດູໃບໄມ້ລົ່ນ
pras	veil
hgot	ການເກັບກໍາ
tret	ສະແດງລະຄອນ
tras	ການປຽບທຽບ
rwit	rival
hfon	ກອບເປັນຈໍານວນ
klot	ຄູຝຶ​​ກສອນ
hmum	humor
drac	ການສົນທະນາ
rwas	ນະວະນິຍາຍ
tset	revenge
hdot	distalຍົມ
ryut	ອິດສາ
hwon	ການເຊື້ອເຊີນ
byat	ເຜົາ
flac	໌Flash
prot	ຮູບຄົນ
crek	ແນະນໍາ
