hnit	부정사
twat	전쟁
kyak	수개
tlit	둘째
pcin	뒤에
hmut	잃어버린
clan	천
hfac	가족
twan	영혼
hwas	문제
syan	진실
htis	만들기
tsat	가능성기분
lwik	allative케이스
nyin	인류지향성별
hfak	다섯
tcak	같은제목채점자
htuc	다른제목
hnap	대답
hmit	바다
hcuc	무서움
pcat	알다
syas	자귀
hcaf	의심
twut	dubitative기분
hkis	검은
tlak	가져오다
hyus	아름다운
nyit	종류
htip	십
ksis	이야기
hpuk	도서
hlin	전자
hkun	계정
lyas	관심
lyit	쓰다
pwat	침대
hnis	나이
hnut	실적인가정어구
slas	미술
hwis	vialis케이스
pyak	동료
lyin	선
tyas	탁자
hyun	강
kyac	눈
tfan	갑자기
kcin	깊은
hmuc	목적
cyac	피
hmap	장미꽃
tlin	감기
hyif	앞으로
tyam	늦은
hnaf	가정
hkip	거의
myan	광산
tsin	지식
hkup	부
hsam	남편
hlis	육
cwit	생활
cyan	평화
myat	생각해내다
tyic	자연스러운
hfut	가을
swas	서비스
hsap	외
pcit	저작권
hyim	육군
kyas	말
plic	미래
pcak	서쪽
hpis	지불
hyuk	빨간
hwun	금
twin	염원
plan	놀이
hpus	사무실
syun	정부
kyic	교회에
htaf	힘
hlun	길이
kyin	회사
kyis	종이
mlan	개연성
hcim	특히
cyas	곰
twac	창문
nyat	아름다움
hcus	후자의
htup	의무
htif	거리
pyas	발
hlas	야생
ksin	녹색
hmaf	수고
myac	미소
hsim	자다
kyit	인용
kwik	quotative케이스
fwan	방문
slan	따르다
psit	존재
hmic	단
hmuf	입
hfin	풍부한
tcam	적
psuk	부서진
kcap	배
pwan	포함한사람
hfic	영향
tcuc	나타나다
hkim	비밀
pyin	부디
pwit	precative기분
pyit	공손한레지스터
cwak	악
myak	행진
tcas	장소
hlaf	머무르다
psat	대신
nlan	푸른
psac	불가능한
kcuk	학교
kcit	기혼
kcak	식품
syis	스물
tlac	조용한
hcip	미래양상
kwin	제공
tsit	정지
pyac	언어
hsus	주
hcup	홀
cyap	경이
tfin	타고난
fyat	법정
hnip	금언의양상
tsak	존경
tlas	가치
syuc	나무
plat	벽
cyak	천국
twip	시초의양상
mlat	명령
swit	명령을나타내는기분
mwas	달
hwaf	완전한
tyap	경험
ksac	상황
syac	신선한
hnuk	공작
kwak	적용
tyuk	동쪽
pwac	돌
hkif	고귀한
nyac	방향
cyis	의자
tyuc	기다리는
tsun	마을
tyik	동의하다
hnum	허용하는기분
slak	성공
tsic	견딜수없는
slat	언덕
hmik	음악
hkus	울음소리
hsip	일곱
hpaf	은밀한
nwas	뉴스
tfac	장면
fyan	정원
cwas	시작
hfik	분배의케이스
lyac	배우다
syik	정치적인
clin	헨리
cyin	거짓말
tsas	캐스트
cyik	권위
tlap	바닥
cyam	여름
tcut	종교
tcap	탈출
hlut	저자
pyun	갈색
tcuk	고통
swan	봄
hmun	부드러운
kyun	모서리
nyak	등록상표
tsis	정의
psas	생기게하다
cyaf	웃음
hwut	잊다
hyup	유럽
hwap	여덟
psak	통과
kyap	무서운
pyic	필요
hmim	매질
hsaf	숨
hmis	슬기로운
hsum	소유의채점자
ksat	쾌적한
ksit	무덤
tsap	섬
kyam	캠프
tcum	접촉
cyun	재산
psic	육지
tyun	도메인
mwit	commissive기분
tlut	정도
myit	겨울
kfan	행위
slac	달리는
myin	분
tyip	리드
klas	유리
pfat	판
cyic	헛된
swam	사무
syam	안전한
tsut	의사
hlip	완성적인양상
kcas	암흑
nyun	따뜻한
hpuc	음주
tlam	예
hfun	분노
tsik	악의
tsam	직접
hmup	모자
klak	개
slin	은
swac	하인
kcam	자부심
pyik	기차
myut	도덕
syak	들어가다
swat	검
kyuk	공격
clac	건강
tyaf	절
swic	사회적인
tfit	환불금
hkaf	공무원
pcas	섬광
nyam	영광
tfat	열두
pcut	바쁜
pwin	포도주
mwat	미각
fyac	철
syap	배포
myap	무역
hyum	사용
fwak	판사
klat	선장
twap	중단양상
kcic	이상한
kwic	외국의
hnif	증강
myun	중요성
tlic	최종적으로
cyuk	목
syut	자유
pfan	면
kyuc	마른
pcap	곁에
tfak	증거의
tcik	증거의케이스
twun	먼
tyis	진행
nyap	제한된
plit	건물
hpif	페이지
pwic	보유
syic	슬퍼
tsip	죄
syim	고약한
tcis	정직한
pcun	은행
ksap	동의
lyam	흐름
tcaf	면밀히
kwac	귀
hpup	빵
kcut	고르다
nwam	동물
hsup	동물의성별
nwit	eventive기분
tcim	같은행사채점자
tlik	곱셈케이스
kyus	십자가
hmus	두꺼운
kfat	도전
nwat	성장
myic	비
hpum	표면
swut	거룩한
clis	칠월
mwun	유행
hfas	파일
cwac	어깨
kwat	위로
nwac	누군가
tcip	원하는
kfac	잔디
hmuk	무승부
plin	열리는
kwun	유월
mlik	물고기
klin	자본
pfut	유방
twam	청구
fyin	비용
nlit	당신것
mlin	백만
pyut	빌다
hluk	피곤한
ksut	죽이다
cyut	그림자
psin	무게
kcis	회색
pyam	용감한
mwac	만족
klam	말함
ksam	국가의
hfip	약한
klik	골짜기
hkum	위험한기분
clas	황색
cyuc	열
mlac	유적
syip	같이
pwak	상자
tcif	뾰족한
psip	원리
ksik	결과
tsim	계절
flan	과학
pcam	분명히
kcun	구경
ksuk	삼촌
mlit	명부
pcik	위험한
kwas	팔월
hluc	인기있는
klit	알수없는
flak	익숙한
fyit	익숙한레지스터
lwat	리더
plun	보행
twas	두번
pcis	성직자
fyas	부상자들
nlat	궁전
myuk	바보
pfak	호의
tcuf	아홉
cwap	동정
plac	파열
pyap	퍼팅
lyic	옷을입고
hcum	소음
lwit	문학
tsuk	계급
hfup	폭풍
kcik	포켓
nwap	십일월
tyim	12월
psaf	부재
nlac	인구
kyaf	감사
slis	연속
pyaf	새
mlak	소유자
kwut	코트
hwuc	처지
pyis	빠르게
twuc	연기
nwak	일월
mlic	기계
tlis	이
ksun	타고있는
clam	부끄러움
klaf	품질
clit	반지
fyak	구
fyam	구채점자
kwap	광장
hwip	일요일
psis	시
pwut	예정된
kyim	사다
clic	전지
pyip	사월
kfap	십월
psut	사물
kcuc	쓴
nlap	노예
hsok	느슨하게
htet	본문
hbat	가장나쁜
hrit	신용
hzit	풍모
hpet	열다섯
krac	잔인한
hduc	먼지
hrik	실용적인
hron	색깔
hnus	코
hric	친한
srik	공급
hten	어제
tlet	hesternal시제
slap	실패
hban	입고있다
hdat	블라인드
fran	파리
hdan	악마
htec	차례로
hmon	사명
cran	희생
hran	양심
hmos	장관
nrit	에너지
hcet	미움
hset	센터
hrin	합리적인성별
hcot	즐겨
hrip	간결한
htep	예배
hcif	피부
hrat	지붕
kran	왕관
hkon	성
tran	절망
hmif	마일
trin	원
hgin	감옥
hkop	컵
hcen	회원
swin	예의바른
hrac	어디에나
hris	관습
hbin	어울리는
hmot	고기
hdut	우유
hwen	식물성별
nran	드문
hbac	사촌
crut	다리
hsoc	스톡
hsom	소금
nris	순진한
hbit	기피
crin	감탄
rwin	퀸
hgut	카운트
hdas	댄스
hnot	호텔
hdin	가득따르다
hton	죄수
hdak	가게
hlet	계단
hson	용서
hgek	명랑한
hras	모래
hsep	구월
hbic	파멸
hlen	특허
hcon	충분히
hgit	증거
kfon	부엌
hbak	팔다
tlim	치료
hsot	속도
kyut	컴퓨터
hnen	영원한
htek	도서관
hzan	포함
hbis	베이스
hbun	혼동
kcus	쿡
hgat	사막
hwus	키스
hbif	얼음
hbot	공
hrut	논의
hdit	축복기분
hdis	저지른
hjan	처벌
plis	경찰
hgan	숨는장소
hsen	원정
nrin	무식한
hyen	구름
frif	이월
hdik	질병
hnek	발의케이스
hbam	이모
hmen	겸손한
hdip	지연피할수없는
prat	보고증거의
hdet	한밤중
hjit	손가락
hmoc	어딘가에
pran	프레스
kcec	부위
hken	최근
hloc	우울
hrak	직원
htes	시선
rwan	보상
hdon	기부
htot	이마
hnet	천사
hdun	단수형
croc	오류
hlon	새벽
hyec	양
hjin	인내
hrec	참조
mran	옥수수
htos	과반수
hcos	조치
hkoc	때때로
hlif	이익
clak	설탕
hjat	인간성
tram	틀
hdic	디스크
hkok	고독한
srat	예술가
crak	매력
hmet	이메일
hden	결정
gran	지사
crac	분기
hjac	열광
hdim	귀납적인기분
hcok	서두르다
hyet	기름
pwap	파이프
trat	인쇄
tcot	고체물질
hdoc	오
hren	담화문맥
tcon	정오
krin	선실
plam	경보
hnes	강한
tcen	관측
hsek	양상
plik	응용할수있는
slik	비단
hfen	센트
hgen	에이전트
hnon	노동조합
crik	지옥
tcet	결함있는
mrat	혼합된
hdam	훈계기분
hgac	큰뜻
htoc	어쩐지
hdac	조언
nwin	헌법
srit	악기
hret	단단히
nlin	온라인으로
hzat	조류
klic	칼리지
hkek	꼬리
nric	세대
hgic	가득차서
hgak	고양이
trit	곧장증거의
tyot	조약
hnok	내용
crit	버려진
slen	열한
srin	본능
hpok	부족
hyot	우려하는기분
cric	피난처
hruc	거친
cwin	승마
hzak	흔들다
dyit	산업
hpec	직업
nras	간호사
hcec	가르치는
hbut	신발
hmec	막연한
twot	활동
crat	토요일
hkot	생산능력
hnec	햇빛
hwuf	과부
cren	흘리다
nrat	별
hget	손님
hbik	신을하다
brin	안의
hpot	유효한
trac	저항
prac	유도
hcoc	구멍
hpon	지방
hwim	문명
dwan	다루는법
cwok	충격
hdok	운전
crun	보물
hzik	씨
hrot	최근과거시제
hket	깨다
hcek	가구
hrop	로프
mrac	모험
byit	잔치
trak	일년생식물
hzin	남부지방사투리
sric	의식
clik	수렵
trap	선심쓰는
hrim	기독교
hrus	왕녀
blat	제단
cyon	작은
hwep	편물
krat	추기경
tris	보라색
kcot	모으다
hben	선거
trik	취한
kfit	승강기
tcec	교환
nrik	명확한기사
grat	황제
dran	관리
hpen	이전에
cluk	추한
nrac	해가없는
ryin	훈련
hrun	롤
nwic	인치
slit	사격
gzat	신문
krot	절단
drit	수염
hzis	찢다
hdap	십팔
sris	역사적인
mrut	심한
nyik	진흙
bran	신부
drat	따라
djan	거대한
glat	간단
hpoc	가을
pras	베일
hgot	모임
tret	극장
tras	비교
rwit	경쟁자
hfon	형성
klot	코치
hmum	기분
drac	담화
rwas	소설
tset	복수
hdot	말단분명히나타내는
ryut	질투심많은
hwon	초대
byat	탄
flac	플래시
prot	초상화
crek	제안
htok	충돌
htop	저주
prit	저주하는기분
hces	어찌할수없는
klup	클럽
hnos	홍수
dwin	무관심
prin	수평선
mrit	가정의기분
tcoc	험한
hcom	조화
grit	우뢰
tlot	어린시절
hgik	무릎
hwes	무의식
hzac	상호의
hsec	소프트웨어
tson	기관
ryit	영수증
dlin	징계
slip	슬립
klon	혁명
hfim	농장주
hpom	플랫폼
cyen	학생
hgec	동굴
hroc	전통
srac	제출
ryat	비극
kcen	처녀
hbap	작별
krik	비판
krap	면
fwat	병원
kcet	임대
hgas	가스
pfin	피할수없는
dlit	잎
ryan	번역
sran	장례
mrin	밀가루
hram	로맨틱
dlan	달러
hzas	농담
hsos	열여섯
klen	식민지
gyin	비행
hsif	사자
cluc	교활한
prip	예비
hzut	안개
dwat	의학
krit	교정하다
sras	둥지
hses	십사
brat	반대
flat	산
hjic	즉
slic	무기
hbuc	사용자
tron	주황색
byan	목욕
hrif	원어
tlip	설립
blan	바구니
kris	비서
hyon	그동안에
tren	오늘
dlat	오늘날의시제
hzic	독
tfic	소총
tlen	재능
hlim	기후
dyat	항해사
kcon	시현
dlac	빨래
krak	고백
hbas	무의미​​한말
hkec	석탄
hrek	복원
hkos	카누
hwif	바이스
tric	일시적인
hdep	delimitative양상
mwak	말뚝
ksot	뼈
hnoc	월요일
nlas	화요일
brac	수요일
frap	연방정부의
pfit	대리인
pcoc	폴
lyen	리넨
swak	싱크대
pcen	대통령
brit	피의
hwec	오랜기간
hwet	위
hlos	높은곳에있는
hbon	변화있는
pcon	놋쇠
hsem	정상회담
lwac	싼
tsos	경쟁
kwen	독특한사람
trun	착륙
trut	동상
hrap	포
hgap	체포
trot	온도
grin	이웃
hjak	포옹
hpek	팩
hlus	사슴
hwos	침실
tsuc	부시
pcuc	방출
cris	후계자
clun	오크나무
hpes	불쾌한
nlet	불완전한
hrom	프로그램
pyon	피아노
swet	설득
dric	보이지않는
tyen	잘알려진
hruk	잔학
frat	할당
hyoc	유혹
hlep	telic양상
nrot	국제노동자동맹
nret	맹렬히
hfif	철학자
pfic	대표
hmek	민감한
hfec	복지
myik	어업
truc	훔치다
tcop	말뿐인
rwic	은퇴
htom	경제
glan	갱도
pren	평행
hlek	atelic양상
nrak	대륙
truk	노크
hjim	금지하는기분
rwat	넥타이
hcep	세포
dyan	계란
jrat	인공의
nren	영감
ksic	위기
tsoc	수색
lwan	점심
hpos	소나무
hcuf	푸시
tcus	고소하다
pset	넓히다
hkep	구리
swis	선원
prim	장엄한
trip	채찍
cras	셔츠
swap	스위프
syet	스케치
htof	도둑
clen	채널
kwit	인격
klok	초과
hrok	개정
hguc	갈증
kcim	험악한
hpem	손바닥안에감추다
psik	스피커
frit	문지방
cret	흔적
mrak	창
syen	세션
tcup	습기
hyek	여행자
trim	주석
plak	불평
hyok	각도
hgam	소
hmok	밀
jrac	지도
kloc	칼라
gyit	신중히
hbip	맥주
mlet	벨벳
lyap	남용
cwen	대군
bwan	조카딸
tses	열셋
jrit	신이옳다고하다
nlak	원고
sron	전사
cruc	금요일
broc	붓
dlot	다운로드
krim	크림
pric	피치
prut	배심
hgon	겨울왕국
sram	문자그대로
pfot	냄비
hlot	계획된
djin	동전
hlok	뛰기
hpep	사과
hwot	꼬인
dlak	즐기며먹다
brik	가입
nlis	고쳐쓰다
hbet	내기
pris	바이러스
hjik	환대
blit	어린애같은
hjap	옷
tfik	비추다
hdaf	달성
hpop	오페라
kcaf	숨김
kcoc	팔꿈치
hrum	수리
cyim	의심많은
dyic	교육적인
hgoc	구덩이
drak	무질서
plas	박수갈채
byin	진
hzap	대사원
nlot	충의
mrik	기계적인
hsop	성공적으로
crap	덫
kyek	케이크
nrut	즐겁게하다
syes	경
hjet	십칠
hjen	여자같은
hmom	꿀
hdec	운수나쁘게
lwen	전설
slot	난로
frac	반역자
gwan	팽창
mruk	돌리다
swot	늪
zlan	벌다
hnem	생기있는
hdes	드레싱
prak	설교
frin	풍경
hfet	대들다
cros	합창
ryon	합리적인
tcos	수확고
tsen	처리
hwek	늑대
nlik	거절
klap	양탄자
dras	경멸
prop	비옥한
slim	휘파람
hgis	치즈
krut	깨물다
srot	호위
bjan	방황
nwen	해군
myas	마스크
kwaf	나타나게하다
twis	택시
pcip	연필
srap	야채
sren	전시회
tlun	바지
hrup	부패
nrip	캐비넷
srup	수프
jran	외과의사
bjat	수당
gyat	스파이
hlem	무모한
srak	추상
kson	악센트
cwis	목요일
sret	진정으로
hraf	교통
hres	건축물
hsuf	처분
rwak	갈라진금
twon	장식
hfus	회복
hkom	암호
djat	사냥꾼
nlut	뉴스레터
hsef	뱀
mris	민주주의
bric	배터리
mlam	밀랍
zran	공유
cron	스릴
hzen	수영하다
traf	조각
cwaf	봉투
srip	담배
mrot	모터
swon	지원자
ryak	반응
pfun	부분적으로
blac	수하물
mret	내각
hjon	성적
kcok	도끼
dram	다이아몬드
kren	번갈아하는
tcek	에코
hdif	정체
tfas	대사
hfot	이루어져있다
lwas	게으른
hmep	momentane양상
kfin	부호화
mwin	상상의
hrem	레이
pram	등반
byac	지하실
mren	기억할만한
swen	상원
kras	관
hgun	제비
nlok	빠지다
ryic	농업의
gwin	그네
srut	목초지
hkes	복잡한
hfis	사직
frak	자꾸
hnom	음모
hcop	선술집
hlec	고추
mlot	멜로디
zrat	후보자
proc	후원자
flik	여우
cyet	후회
hgim	굴뚝
slet	방지책
tcok	정확성
bjit	전자고인
brot	싹
bwat	담요
hdus	돼지
gwat	상아
kret	추출하다
nwet	관찰자
jwan	수단
nwis	손톱
mwic	벌
bzat	배우
gyan	땀
zyit	행정부
blic	환각
pcet	불확실성
tsot	겹
bwit	경계
tres	스트레스
hkof	소비
nyen	신음소리
hles	유사
cyek	해고
hjis	바늘
gjan	현상
prec	굴다
drot	제어된
kcek	곡선
twic	치킨
brak	통
zwat	습관
clap	습관양상
tsec	전문가
bwin	날인
cwet	경계
hbek	빵굽는사람
zlin	올리브
mron	봉고차
drin	바치다
psap	공개
gjin	생일
clut	망치
cwun	향기로운
twaf	하찮은
pcot	착한애
krok	두개골
dlik	입법부
cwic	다행히도
srun	찌푸린얼굴
crec	파괴
jlan	여유
kcip	챔피언
blin	십억
ryik	화학
mlas	펄스
flit	조종사
hzet	매듭
cwik	위엄있는
twet	치마
mwik	주간
tfis	전문인
tlon	차량
cram	유망한
grac	강하게하다
kraf	까마귀
trup	속성
hduk	훅
cruk	호랑이
nrap	가정부
crot	고속도로
mlip	시민군
hfoc	사진
nres	청렴
plos	...을더한
tfam	투명한
nlic	십구
hwok	자격있는
nlen	수필
fyic	능률
hwuk	독특한
hgok	본질적인
flic	신학
flot	흙손
hboc	강요
hwoc	마녀
syot	사진관
cwip	샴페인
hbes	기치
lwic	이혼
blot	볼트
cwot	포로
cwam	정맥
prik	수동태
hfum	거품
grik	자갈
zrin	앞치마
gren	행성
hfuc	부활
claf	선반
flas	부채
hjot	열렬한
hbim	임의
krek	수은
hbec	자애로운
tsaf	자살
pwas	당기기
plot	보고자
kfak	둥근기둥등에감다
blak	발코니
hdos	얼룩
kwis	권위있는
kcos	비난
psen	연금
kres	동사
hzon	원숭이
srim	서명
glin	질색
mlut	유명한
myot	수입
fwac	설립자
troc	토치
hgaf	문법
hyop	요트
ksip	꺼진
sres	소풍
hnup	둥근천장
hzun	완고한
mric	근육
gjat	크기
hros	문지르다
zrac	겁많은
tros	토스트
myus	쥐
dwac	대화
byak	염소
htef	재단사
hfek	융성
dzan	두다
nyon	익명
zrit	형식적인레지스터
pcos	스포츠
hjec	용해
dlas	지우다
mras	우산
mram	광물
cwut	휴전
hbok	오리
swun	비누
dwak	인형
plif	별장
slon	재봉
tfut	축하
djac	조정
hjas	막다
kric	토끼
kwot	지휘자
gzan	보증
clot	플레이어
ksek	곤충
psam	자세
mwut	올빼미
htem	영구적으로
clon	바이올린
dzin	거주자
rwim	각기
hyof	유익한
dron	용
dwit	귀의증거의
sroc	수출
hzot	종료
djik	질질끌게하다
kfik	뚜껑
ryun	규제
hmes	시장
rwac	하드웨어
sruk	서커스
sros	소수
bzan	폭동
kset	오케스트라
bjon	베이컨
hjut	제한없는
tfen	방어
zwac	불리
dyin	숙고
myis	음악가
mlis	정신적으로
pret	부적당한
tsek	건축가
hlom	레몬
ksos	기침
crok	두통
flin	비옥
mrun	목수
swec	닥치는대로의
syuk	숟가락
blun	풍선
tcep	분필
fric	원기회복
rwik	수직선
rwen	방지
flet	추론증거의
pfac	발행자
srek	식초
tfun	터널
pwet	퍼즐
gyik	수학
fwot	바래다
lwin	균형이잡힌
jwin	간
bwik	sublative케이스
hdup	담그다
hnop	전매권
bwic	잠수함
ryen	에관계없이
hcem	지진
hbos	실험실
nrek	노동자
ryim	율
nyic	새기다
dwas	대사관
rwok	화나게하다
kram	할수없음
ksim	선언기분
clok	초콜릿
pcec	특권
nyis	은자
tyoc	일치
grak	할퀴다
zlat	장갑
hjuk	무릎을꿇고
trif	지리학
djit	조직적인
pson	천하무적의
mwis	투자
cwec	언쟁
hdek	세속적인
blik	매
sloc	심리학
brap	한조각
jlat	해적
dros	정량
slam	연어
pwun	푸딩
gwik	자기
pcop	펌프
myen	비슷하게
ksen	산소
mrap	십장
tfot	증명서
ksus	클러스터
trok	수사학
tloc	가로장
zyan	노
nlun	로그인
hlop	망원경
jlin	철자
lyut	흐린
hsof	밀려오는파도
fyik	위스키
klet	상대적으로
hwof	솜틀
hlum	낙다
myet	아마추어
klis	격리
hbaf	전기
gwac	당나귀
hwum	소문
pwik	원근법
pron	찬성
myes	월간간행물
mwen	환상
kfic	휴가
klek	딸깍하는소리
cwon	타원
lyak	탄력있는
kwon	사전
hjam	햄
rwon	무지개
crip	이에
zwan	발생
srok	사설
craf	상등병
tlok	탱크
brip	나비
tfap	차트
jwat	쌍
pros	운영
psun	전조
clet	비참함
hbus	대나무
dyas	상인
klun	축적
jlit	만장일치의
hdom	악몽
kron	탄소
hzam	잼
cyot	경청자
hmem	박물관
lwam	알파벳
fras	흩뿌리다
psoc	펀치
hgum	고무
brek	브레이크
glit	안정
frun	썩음
gris	적극적인
mroc	마찰
bzit	거미
plut	감자
glac	욕심
gzac	곱하다
prun	회전
jlet	달력
nyim	지명
tlos	일조
slut	샐러드
fwit	긍정적인기분
pyen	응용프로그램
nlon	명사같은
dren	보여
drun	불만
cyok	어깨를으쓱하기
hfop	축구
ryac	공동
gzin	개척자
hgip	양배추
tyet	운동
hdof	체명악기
hwup	귀중한
lwek	지렛대
syec	평의원
jyak	수용
mlim	개미
fwic	효과적으로
gzit	충만한
blas	신뢰
jrin	매일
gwak	발목
drik	기묘하게
prif	변하기쉬운
jwit	상이
krip	차별
ryot	두려워
nwut	보도
kcif	적극적으로
jrak	개구리
twek	과도한케이스
psot	보상
pfon	스펀지
sluk	다람쥐
nlim	irrealis기분
ksaf	부족
glak	화산
plen	평형
kfaf	스카프
kyon	공적
jlik	지질
psop	여권
kfis	빈방있음
fyon	유연
nram	부도덕한
hbuk	비스킷
gras	황홀
hyos	우려하는
flim	필름
plet	태블릿
rwam	원자
blis	바닐라
zlit	에이즈
fyut	까다로운
crim	피라미드
hjif	불법
crif	수줍음
lwap	류트
tyon	천문학
mrim	미로
drut	기술적인
nrim	장학금
kruc	터틀
kwam	고문
jrik	크리켓
dlut	나타낸다
pyot	비둘기
dyon	적응
prap	운영자
bzin	배지
tyek	삼각형
trec	귀중품보관자
nron	수소
pyet	인쇄기
tsok	초크
zyin	만성병환자
slek	자전거
jyin	공학
ryas	전달
zrak	새롭게하다
nyas	춤추는사람
gric	이주
zlak	위반
tces	테니스
hjun	깜짝놀란
twen	짜다
kyet	수집기
gwit	척추
kyot	현
fwin	회수
tfuc	직조기
dlet	예배규칙서
pfik	사상가
bjet	예산
trek	병법
kros	석영
gjit	가위
gwic	스위치
frik	이론상의
tluc	수건
pruc	순찰
glic	빙하
krun	완전성
bjin	예측
tlaf	어느정도가지다
tfet	제조업자
bras	옆쪽
dwik	피고
clec	배출
cres	체스
tcef	체리
tcom	채이기
nyot	역자
tyok	트럭
cyip	뛰어난
grot	머스타드
bris	무선전화
nlam	경매
slif	체
hgos	녹
swoc	불안정한
jyat	파산자
slum	이슬람교
hjes	인구조사
dzat	발끝
slun	매달다
nwot	연속성
gyic	기타
pfas	바이어스
zyik	아연
blen	빛나는
hyem	느릅나무
hnep	스크램블
nyut	뜬
ryam	대명사채점자
clim	기미
jret	날카로움
tfon	볶다
jwac	자바
hrep	레시피
dyac	독점판매권
myip	미터
rwis	인종의
hkem	혜성
nwon	혁신
zwin	반
dyis	중세의
mrec	참새
fyot	각주
mlon	측정
pfis	비준
rwot	궤도
hfok	검소한
glof	골프
zron	제로
hzip	지퍼
hwom	집이없는
bjic	씹는
pcim	다하다
hjip	칩
bwac	하품소리
mlos	몰
mrip	도기류
bron	태아
ksoc	공제
cyum	누룩
jyan	특수용어
plim	자두
mwet	묘소
ryet	졸업하다
glik	관개
plap	자본가
tsif	탄력
gyak	상어
djon	태만
nwun	시간을잘지키는
cles	실재론
dris	더욱더
hkef	카페
blus	구급차
blap	지갑
bjak	황홀
klim	얼굴을찡그리기
gyac	과학자
jyit	평정
dzit	실감나는
bwak	집밖의
dyot	라디오
bwon	콩
fris	비공식의
klut	추측
tfek	스테이크
nrok	질소
zyat	면도칼
bram	속삭임
ryis	소개
nlip	분석
nros	대조
hcof	평복
tfif	자극
kroc	밭고랑
hdum	유태교
pses	받는사람
plok	보어
lyet	렌즈
pwek	pegative케이스
kfas	암
pwen	폰
nrun	조언
clek	새는곳
pcif	옹호
glas	복잡성
zwit	이야기하기좋아하는
kces	충분함
crem	소매
grap	그랩
kwip	개입
dyut	할인
crus	계층
gyet	옥
gram	혼란
kyip	도마뱀
nyet	인주
crop	폭포
glon	갤런
mrok	모기
fluc	유창한
dwic	일탈
slec	탐침
srec	만료
blut	분투
myok	모자이크
tlek	플러그
nruk	전염성의
nwoc	금후
bjut	쪼그리고앉은
hges	임신
twoc	잡화
kyos	공산주의자
mrek	몹시놀라게하다
clip	뉘우침
pwok	prosecutive케이스
dwot	독재자
zyac	선취
jlic	위성
slop	덧신
ryip	비례항
psim	근접한
byet	한가한
cyop	취미
