ni	infinitief
nwih	inessiefgeval
pcih	gebiedendewijshumeur
crah	geloven
ro	staatcontext
cwih	hoop
kwih	Factivebewijskracht
fi	terugkeer
psih	optatiefhumeur
tseh	potentieelhumeur
lweh	allatiefgeval
nrih	antropischegeslacht
tceh	dezelfdeonderwerpenfiche
re	verschillendonderwerpen
croh	angst
mrah	begrijpen
cyuh	twijfel
twuh	dubitativehumeur
myih	mooi
lyih	interesseren
flah	counterfactualvoorwaardelijk
we	Vialisgeval
clih	koude
pyih	vrede
su	behalve
kwah	verlangen
le	lengte
bo	waarschijnlijkheid
mlah	moeite
syah	glimlach
slih	slapen
zi	geciteerd
twoh	quotativegeval
mo	inclusiefpersoon
kcih	alsjeblieft
rwih	precativehumeur
mrih	beleefdregistreren
rwah	aanstaandeaspect
cyeh	wonder
go	gnomischaspect
tsoh	eerbied
za	kiemaspect
jwih	jussivehumeur
mwih	toegeeflijkhumeur
sloh	succes
prih	privaat
de	verdelendgeval
tcoh	pijn
ryah	lach
mlih	wijs
ye	bezittelijkfiche
ke	commissivehumeur
creh	ijdel
mweh	completiveaspect
nrah	warm
nroh	boosheid
bwah	wrok
trah	trots
mroh	moreel
slah	gezondheid
syih	sociaal
pe	hetophoudenaspect
krih	nieuwsgierig
tfih	intensifier
fe	eindelijk
prah	terzijde
trih	bewijskracht
nwah	bewijskrachtgeval
srih	triest
zo	Zoicgeslacht
nweh	Eventivehumeur
cwoh	dezelfdeevenementfiche
plih	multiplicatievegeval
dwah	gewenst
kcoh	moe
drah	tevreden
lu	speculatievehumeur
frih	vertrouwdregistreren
frah	verwond
mruh	dwaas
djih	sympathie
krah	bedanken
cruh	schande
fyah	uitdrukkingfiche
ryih	voorbeschikt
kruh	bitter
tyeh	tekst
kreh	wreed
tleh	hesternalgespannen
kfah	offer
dyih	haat
cloh	rationeelgeslacht
nloh	genieten
psah	wanhoop
sleh	plantaardiggeslacht
nruh	onschuldig
drih	bewondering
sroh	Pardon
brih	baseren
kluh	verwarring
bwih	zegeninghumeur
klih	schuldig
grih	onwetend
nyeh	initiatiefgeval
nleh	vernederen
dlih	vertraagdgebiedendewijs
proh	gerapporteerdbewijskracht
mloh	weemoed
du	enkelvoud
jrih	geduld
freh	referentiële
kloh	eenzaam
kroh	betoveren
tcuh	enthousiasme
kcuh	inductiefhumeur
xa	redevoeringcontext
nreh	nerveus
pseh	aspect
ge	agent
mu	vermaninghumeur
byah	ambitie
pcoh	druk
treh	directbewijskracht
yo	beduchthumeur
cwuh	schok
tloh	recentverledengespannen
dlah	definitiefartikel
cluh	lelijk
myuh	humor
dyah	distaleaanwijzend
rwuh	jaloers
troh	vervloekendhumeur
dzih	onverschilligheid
swuh	assumptivehumeur
bzah	grap
gwih	namelijk
dloh	vanvandaaggespannen
dweh	delimitativeaspect
kweh	exclusiefpersoon
truh	temperatuur-
tfeh	telischeaspect
lyeh	atelischaspect
ru	belemmerendhumeur
kfih	kinderachtig
cyoh	verdacht
nluh	loyaliteit
cweh	val
nwoh	geanimeerde
sruh	sensatie
ksoh	seksueel
lyah	lui
mreh	momentaneaspect
pceh	betreurde
bjih	voormaligoverleden
pcuh	onzekerheid
xi	gewoonaspect
blih	begrensd
tsuh	triviaal
fwih	majestueus
grah	vleiend
brah	arbitrair
cleh	welwillend
sreh	formeelregistreren
pfah	gunstig
droh	gehoor-bewijskracht
flih	inferentiëlebewijskracht
sweh	sublativegeval
ksuh	verklarendhumeur
pleh	bevoorrecht
psoh	onoverwinnelijk
be	verbaal
mwoh	mijmering
kleh	ellende
glah	hebzucht
kseh	bevestigendhumeur
zrah	ontevredenheid
dyoh	idiofoon
syoh	geintimideerd
gwah	buitensporiggeval
zlih	irrealishumeur
zrih	verlegenheid
byih	aanpassing
ryeh	voornaamwoordfiche
fwah	zuinig
bjah	extatisch
kxah	gelijkmoedigheid
gvih	pegativegeval
pxih	rechtvaardiging
xrah	aflopende
tfoh	voortaan
kxih	berouw
ryoh	prosecutivegeval
qyah	vooringenomenheid
r6	deelwoord
txah	afgelegenverledengespannen
xrih	historischgespannen
dxah	tweevoudigaantal
syuh	super
vweh	overwerkt
n6	zintuiglijkbewijskrachthumeur
bweh	obsessie
xlih	hilarisch
txih	steek
sluh	zelftevreden
txoh	bewegingbergopwaarts
xe	metterugwerkendekracht
pxah	verstrikken
vwah	bewegingbergafwaarts
xyih	deelite
fleh	verbogen
psuh	superessivegeval
syeh	sater
qi	transitief
xruh	ineenkrimpen
zwah	Wauw
tr6h	bewegingstroomopwaarts
qwah	ambitieus
xlah	wereldwijd
tyoh	onovergankelijk
tluh	anticlimax
qa	actueelrelevantiefiche
kxoh	vermoeidehond
rwoh	rangtelwoord
ve	vector
kyoh	kilo
swoh	sequentiële
pxeh	delendgeval
txeh	ondersteunende
dxih	alsgezegde
pxoh	prolativegeval
pfoh	prouitdrukking
blah	oververzadigd
fyih	nietmenselijk
xo	acteurrol
pc6h	procesaantal
greh	centricgeval
groh	doeltrekker
dxoh	midden-stem
rweh	schuingeval
xwah	geduldiggeval
xu	prevanvandaag
xroh	slijtageuit
ks6h	oorzakelijk
vi	binairwaarde
dleh	modaalgeval
gjeh	andersals
xreh	collega
lwoh	lokatiefgeval
ml6h	multalaantal
gjih	melkweggeslacht
qlah	stergeslacht
bvih	abessivegeval
dvah	adessivegeval
je	agentievegeval
t6	agenttrekker
kxeh	naargeval
gxih	gemeenschappelijkgeslacht
tc6h	citaatformulier
ts6h	transcijfer
ryuh	directvoorwerp
gveh	ergatievegeval
pyoh	passiefstem
qe	eindigewerkwoord
xwih	primairvoorwerp
myoh	gnomischhumeur
vrih	laatstedeeltje
va	evitativegeval
bveh	subessivegeval
dxeh	bezetengeval
dvih	tievegeval
tsa7h	antessivegeval
dyeh	bijwoordelijkgeval
mleh	bezielengeslacht
pfeh	empathischvreugde
xleh	voertuiggeslacht
qlih	mineraalgeslacht
xloh	verbaalzelfstandignaamwoord
dreh	tweedetaal
bvah	zelfvertrouwen
qrah	veranderingvanevenement
fo	verschillendevenement
sl6h	crastinalgespannen
fyoh	wederkerendstem
bxih	universumgeslacht
jlih	transitiefwerkwoord
kyeh	plaatsgeslacht
txuh	onderzoekgeslacht
s6	artistiekgeslacht
preh	geduldigtrekker
sr6h	abstractgeslacht
nyoh	indirecttoespraak
zreh	exocentricgeval
kfeh	verledenperfectieve
jo	onpersoonlijkwerkwoord
kxuh	collectiefzelfstandignaamwoord
bu	absolutivusgeval
qrih	planetairgeslacht
kfoh	kernbenefactive
kwoh	associatiefgeval
pluh	voortreffelijkgeval
jrah	elektrischactueel
glih	levenloosgeslacht
p6	propositivehumeur
vrah	wederkerigstem
lyuh	opeenvolgendeclausule
gleh	spoedigtoekomstgespannen
lyoh	applicatievestem
ps6h	antipassivestem
tfuh	continuatieveaspect
nr6h	necessitativehumeur
pr6h	passiefdeelwoord
sy6h	existentiëleclausule
qyih	lichtgevendintensiteit
gluh	singulativeaantal
kwuh	buitensporigduur
xyah	singleactiewerkwoord
vlih	voortreffelijkmate
djah	aanwezigdeelwoord
m6	bedragvanstof
ti7	bindweefseldeeltje
f6	epenthetischemorfeem
tli7h	afgelegentoekomstgespannen
si_	postpositionalgeval
l6	toespraakovereenkomst
k6	frequentativeaspect
bzih	verdelendvoornaamwoord
tu7	drijvendpuntaantal
vo	werkwoordaffix
ki7	verledenpassiefdeelwoord
ta_	lokatiefrichtinggeval
