hnit	bấtđịnhcách
htaf	sứcmạnh
hlun	chiềudài
kyin	Côngty
kyis	giấy
mlan	xácsuất
hcim	đặcbiệt
cyas	chịu
twac	cửasổ
nyat	nétđẹp
hcus	cuối
htup	nhiệmvụ
htif	khoảngcách
pyas	bànchân
hlas	hoangdã
ksin	màuxanhlá
hmaf	rắcrối
myac	nụcười
hsim	ngủ
kyit	tríchdẫn
kwik	quotativetrườnghợp
fwan	Thămquan
slan	theo
psit	sựcómặt
hmic	ngọt
hmuf	miệng
hfin	giàucó
tcam	kẻthù
psuk	bịgãy
kcap	contàu
pwan	baohàmmộtngười
hfic	gâyảnhhưởng
tcuc	hiệnra
hkim	bímật
pyin	làmơn
pwit	precativetâmtrạng
pyit	lịchsựghidanh
cwak	quỷquái
myak	thángBa
tcas	nơi
hlaf	ởlại
psat	thaycho
nlan	màuxanhdatrời
psac	bấtkhảthi
kcuk	ngôitrường
kcit	cógiađình
kcak	mónăn
syis	haimươi
tlac	trầmtính
hcip	tiềmnăngdiệnmạo
kwin	cho
tsit	dừnglại
pyac	ngônngữ
hsus	tuần
hcup	hộitrường
cyap	ngạcnhiên
tfin	chàođời
fyat	tòaán
hnip	châmngôndiệnmạo
tsak	kínhtrọng
tlas	giátrị
syuc	cây
plat	Tường
cyak	trời
twip	mởđầudiệnmạo
mlat	chỉhuy
swit	JUSSIVEtâmtrạng
mwas	tháng
hwaf	hoànhảo
tyap	Trảiqua
ksac	trườnghợp
syac	tươi
hnuk	côngtước
kwak	phủ
tyuk	hướngĐông
pwac	Cụcđá
hkif	caoquý
nyac	chiềuhướng
cyis	chiếcghế
tyuc	đangchờđợi
tsun	làng
tyik	đồngý
hnum	chophéptâmtrạng
slak	sựthànhcông
tsic	cốgắng
slat	đồi
hmik	Âmnhạc
hkus	khóc
hsip	bảy
hpaf	riêngtư
nwas	Tintức
tfac	bốicảnh
fyan	vườn
cwas	bắtđầu
hfik	phânphốitrườnghợp
lyac	học
syik	chínhtrị
clin	đơnvịcủatựcảmđiện
cyin	nóidối
tsas	đúc
cyik	chínhquyền
tlap	mặtsàn
cyam	mùahè
tcut	tôngiáo
tcap	bỏtrốn
hlut	tácgiả
pyun	nâu
tcuk	đau
swan	mùaxuân
hmun	dịudàng
kyun	góc
nyak	thươnghiệu
tsis	Sựcôngbằng
psas	sảnxuất
cyaf	cười
hwut	quên
hyup	ChâuÂu
hwap	tám
psak	đingangqua
kyap	khủngkhiếp
pyic	cầnthiết
hmim	Trungbình
hsaf	hơithở
hmis	khônngoan
hsum	trườnghợpchiếmhửuđánhdấu
ksat	thúvị
ksit	phầnmộ
tsap	Đảo
kyam	cắmtrại
tcum	chạm
cyun	vậnmay
psic	bờbiển
tyun	tênmiền
mwit	commissivetâmtrạng
tlut	bằng
myit	mùađông
kfan	hạnhkiểm
slac	chạybộ
myin	phút
tyip	chì
klas	ly
pfat	bảng
cyic	hưkhông
swam	việc
syam	antoàn
tsut	Bácsĩ
hlip	đểbổxungdiệnmạo
kcas	bóngtối
nyun	nóng
hpuc	uống
tlam	thídụ
hfun	Sựphẫnnộ
tsik	Mặcdù
tsam	trựctiếp
hmup	cáimũ
klak	chó
slin	bạc
swac	đầytớ
kcam	niềmtựhào
pyik	huấnluyện
myut	luânlý
syak	vào
swat	Gươm
kyuk	tấncông
clac	Sứckhỏe
tyaf	đoạn
swic	xãhội
tfit	hoàntiền
hkaf	chínhthức
pcas	nhìnthoángqua
nyam	quangvinh
tfat	mườihai
pcut	đínhhôn
pwin	rượu
mwat	mùivị
fyac	bànlà
syap	phânphát
myap	buônbán
hyum	sửdụng
fwak	phánxét
klat	thuyềntrưởng
twap	đìnhchỉdiệnmạo
kcic	Hiếukỳ
kwic	nướcngoài
hnif	khuếch
myun	tầmquantrọng
tlic	cuốicùng
cyuk	cáicổ
syut	quyềntựdo
pfan	bên
kyuc	khô
pcap	quamộtbên
tfak	chứngcớ
tcik	chứngcớtrườnghợp
twun	xaxôi
tyis	tiếntrình
nyap	hẹp
plit	caoốc
hpif	trang
pwic	giữ
syic	buồn
tsip	tội
syim	bệnh
tcis	thànhthật
pcun	ngânhàng
ksap	Chấpnhận
lyam	suối
tcaf	cẩnthận
kwac	tai
hpup	bánhmì
kcut	chọn
nwam	thúvật
hsup	zoictính
nwit	eventivetâmtrạng
tcim	giốngnhaubiếncốđánhdấu
tlik	nhângiốngtrườnghợp
kyus	băngqua
hmus	dầy
kfat	dám
nwat	lớnlên
myic	mưa
hpum	bềmặt
swut	thánh
clis	thángbảy
mwun	thờitrang
hfas	Hồsơ
cwac	vai
kwat	sựanủi
nwac	bấtcứngườinào
tcip	mongmuốn
kfac	cỏ
hmuk	rútra
plin	khaimạc
kwun	tháng6
mlik	cá
klin	nguồnvốn
pfut	nhũhoa
twam	yêucầu
fyin	kinhphí
nlit	củabạn
mlin	triệu
pyut	nguyệncầu
hluk	mệt
ksut	giết
cyut	bóng
psin	cânnặng
kcis	màuxám
pyam	canđảm
mwac	hàilòng
klam	nói
ksam	quốcdân
hfip	yếuớt
klik	thunglũng
hkum	đầucơtâmtrạng
clas	màuvàng
cyuc	hâmnóng
mlac	dihài
syip	nhưnhau
pwak	cáihộp
tcif	nhọn
psip	nguyêntắc
ksik	hậuquả
tsim	mùavụ
flan	khoahọc
pcam	rõràng
kcun	khoan
ksuk	Chú
mlit	danhsách
pcik	nguyhiểm
kwas	tháng8
hluc	phổbiến
klit	Khôngbiết
flak	quen
fyit	quenghidanh
lwat	độcgiả
plun	đangđi
twas	hailần
pcis	thầytu
fyas	bịthương
nlat	cungđiện
myuk	nguxuẩn
pfak	ủnghộ
tcuf	chín
cwap	sựcảmthông
plac	nổ
pyap	đặt
lyic	mặcquầnáo
hcum	tiếngồn
lwit	Ngữvăn
tsuk	cấp
hfup	bãotáp
kcik	túiquần
nwap	Thángmườimột
tyim	Thángmườihai
psaf	vắngmặt
nlac	dânsố
kyaf	cảmtạ
slis	loạt
pyaf	chim
mlak	chủnhân
kwut	áokhoác
hwuc	quanhệ
pyis	nhanhchóng
twuc	hútthuốc
nwak	Thángmột
mlic	máy
tlis	răng
ksun	đangcháy
clam	xấuhổ
klaf	chấtlượng
clit	chiếcnhẫn
fyak	cụmtừ
fyam	cụmtừđánhdấu
kwap	hìnhvuông
hwip	chủnhật
psis	thơca
pwut	địnhtrước
kyim	mua
clic	lĩnhvực
pyip	thángtư
kfap	thángmười
psut	cácđốitượng
kcuc	đắng
nlap	nôlệ
hsok	lỏnglẻo
htet	bảnvăn
hbat	tệnhất
hrit	thẻtíndụng
hzit	tínhnăng
hpet	mườilăm
krac	hungác
hduc	bụibẩn
hrik	Thựchành
hron	màu
hnus	mũi
hric	thânthiện
srik	cungcấp
hten	hômqua
tlet	hesternalcăng
slap	Thấtbại
hban	mặc
hdat	mù
fran	bay
hdan	ácquỷ
htec	dầndần
hmon	nhiệmvụ
cran	sựhysinh
hran	lươngtâm
hmos	bộtrưởng
nrit	nănglượng
hcet	chánghét
hset	Trungtâm
hrin	hợplýtính
hcot	hưởngthụ
hrip	ngắngọn
htep	tônsùng
hcif	da
hrat	máinhà
kran	tônlên
hkon	Lâuđài
tran	tuyệtvọng
hmif	dặm
trin	hìnhtròn
hgin	nhàtù
hkop	lyuốngnước
hcen	hộiviên
swin	dânsự
hrac	bấtcứnơiđâu
hris	kháchhàng
hbin	trởthành
hmot	thịt
hdut	sữa
hwen	thựcvậttính
nran	hiếm
hbac	anhchịemhọ
crut	cầu
hsoc	chứngkhoán
hsom	muối
nris	vôtội
hbit	tránhkhỏi
crin	sựkhâmphục
rwin	Nữhoàng
hgut	đếm
hdas	nhảy
hnot	kháchsạn
hdin	lấpđầy
hton	Tùnhân
hdak	cửatiệm
hlet	cầuthang
hson	sựthathứ
hgek	đồngtính
hras	cát
hsep	thángchín
hbic	sựđổnát
hlen	giấyphép
hcon	đủ
hgit	chứngkiến
kfon	nhàbếp
hbak	bán
tlim	điềutrị
hsot	tốcđộ
kyut	máytínhbàn
hnen	đờiđời
htek	thưviện
hzan	cóchứa
hbis	căncứ
hbun	nhầmlẫn
kcus	đầubếp
hgat	hoangmạc
hwus	hôn
hbif	băng
hbot	quảbóng
hrut	cãivã
hdit	lểgiángphướckhísắc
hdis	phạmtội
hjan	trừngtrị
plis	côngan
hgan	giấu
hsen	thámhiểm
nrin	dốt
hyen	mây
frif	Thánghai
hdik	Cănbệnh
hnek	sángkiếntrườnghợp
hbam	côdì
hmen	khiêmtốn
hdip	bịhoãnbắtbuộc
prat	báocáochứngcớ
hdet	nữađêm
hjit	ngóntay
hmoc	mộtvàinơi
pran	nhấn
kcec	khu
hken	gầnđây
hloc	usầu
hrak	nhânviên
htes	cáinhìnđămđăm
rwan	giảithưởng
hdon	tặng
htot	trán
hnet	Thiênthần
hdun	sốít
croc	lỗi
hlon	rạngsáng
hyec	concừu
hjin	kiênnhẫn
hrec	thamchiếu
mran	ngô
htos	đasố
hcos	cácbiệnpháp
hkoc	thỉnhthoảng
hlif	lợinhuận
clak	đường
hjat	tìnhngười
tram	khung
hdic	đĩa
hkok	côđộc
srat	họasĩ
crak	quyếnrũ
hmet	e-mail
hden	phánquyết
gran	thốngđốc
crac	chinhánh
hjac	hănghái
hdim	dòngcảmđiệnkhísắc
hcok	vội
hyet	dầu
pwap	ống
trat	in
tcot	chấtrắn
hdoc	oh
hren	đàmluậnbốicảnh
tcon	buổitrưa
krin	lều
plam	báothức
hnes	lolắng
tcen	quansát
hsek	diệnmạo
plik	ápdụng
slik	lụa
hfen	phầntrăm
hgen	đạilý
hnon	côngđoàn
crik	âmphủ
tcet	cókhuyếtđiểm
mrat	hỗnhợp
hdam	khuyênbảotâmtrạng
hgac	Hoàibão
htoc	bằngcáchnàođó
hdac	tưvấn
nwin	hiếnpháp
srit	nhạccụ
hret	kiênquyết
nlin	Trựctuyến
hzat	thủytriều
klic	trườngđạihọc
hkek	cáiđuôi
nric	thếhệ
hgic	Đông
hgak	conmèo
trit	Chỉđườngchứngcớ
tyot	Hiệpước
hnok	nộidung
crit	bịbỏrơi
slen	mườimột
srin	bảnnăng
hpok	bộlạc
hyot	nhátgantâmtrạng
cric	chechở
hruc	bấtlịchsự
cwin	cưỡi
hzak	lắc
dyit	ngànhcôngnghiệp
hpec	chuyênnghiệp
nras	côytá
hcec	giảngbài
hbut	giàydép
hmec	mơhồ
twot	Hoạtđộng
crat	thứbảy
hkot	sứcchứa
hnec	ánhnắngmặttrời
hwuf	Ngườiđànbàgóa
cren	rụng
nrat	ngôisao
hget	khách
hbik	banphước
brin	bêntrong
hpot	cóthểdùngđược,cósẵn
trac	sứcđềkháng
prac	lấyđược
hcoc	rỗng
hpon	tỉnh
hwim	nềnvănminh
dwan	treo
cwok	sốc
hdok	chạyxe
crun	Châubáu
hzik	hạt
hrot	mớiđâyquákhứcăng
hket	thức
hcek	Nộithất
hrop	dây
mrac	phiêulưu
byit	tiệc
trak	hàngnăm
hzin	NamBộ
sric	Lễ
clik	sănbắn
trap	tựdo
hrim	Cơđốcgiáo
hrus	côngchúa
blat	bànthờ
cyon	bénhỏ
hwep	web
krat	chủyếu
tris	màutía
kcot	quâyquần
hben	bầucử
trik	say
kfit	nâng
tcec	traođổi
nrik	xácđịnhbàibáo
grat	Hoàngđế
dran	quảnlý
hpen	trước
cluk	xấuxí
nrac	vôhại
ryin	tậphuấn
hrun	lăn
nwic	inch
slit	bắn
gzat	báo
krot	cắt
drit	râu
hzis	nướcmắt
hdap	mườitám
sris	lịchsử
mrut	Tổng
nyik	bùn
bran	côdâu
drat	phụthuộc
djan	khổnglồ
glat	sựđơngiản
hpoc	mùathu
pras	mạngchemặt
hgot	thuthập
tret	nhàhát
tras	sựsosánh
rwit	đốithủ
hfon	hìnhthành
klot	Huấnluyệnviên
hmum	hài
drac	đàmluận
rwas	Tiểuthuyết
tset	trảthù
hdot	xachỉthị
ryut	ghentuông
hwon	lờimời
byat	cháy
flac	đènflash
prot	Chândung
crek	đềnghị
htok	cuộcxungđột
htop	nguyềnrủa
prit	trùrủatâmtrạng
hces	khôngnơinươngtựa
klup	câulạcbộ
hnos	lũ
dwin	thờơ
prin	chântrời
mrit	kiêucăngtâmtrạng
tcoc	dốc
hcom	hàihòa
grit	sấmsét
tlot	thờithơấu
hgik	đầugối
hwes	vôýthức
hzac	lẫnnhau
hsec	phầnmềm
tson	tổchức
ryit	biênlai
dlin	kỷluật
slip	trượt
klon	Cuộccáchmạng
hfim	ngườinôngdân
hpom	nềntảng
cyen	họcsinh
hgec	hang
hroc	truyềnthống
srac	đệtrình
ryat	thảmkịch
kcen	gáitrinh
hbap	giãtừ
krik	sựchỉtrích
krap	bông
fwat	bệnhviện
kcet	thuê
hgas	khí
pfin	khôngthểtránhkhỏi
dlit	lácây
ryan	dịch
sran	tanglễ
mrin	bộtmì
hram	trữtình
dlan	đôla
hzas	đùa
hsos	mườisáu
klen	thuộcđịa
gyin	cánh
hsif	sưtử
cluc	xảoquyệt
prip	sựchuẩnbị
hzut	sươngmù
dwat	thuốcchữabệnh
krit	đọcthử
sras	lồng
hses	mườibốn
brat	sựphảnđối
flat	chua
hjic	cụthểlà
slic	vũkhí
hbuc	ngườidùng
tron	màucam
byan	bồntắm
hrif	nguyênthủy
tlip	thiếtlập
blan	cáigiỏ
kris	Thưký
hyon	khiđó
tren	hômnay
dlat	thuộcvềngàynaycăng
hzic	chấtđộc
tfic	súngtrường
tlen	nănglực
hlim	khíhậu
dyat	ngườibạnđời
kcon	sựtiếtlộ
dlac	rửa
krak	lờithútội
hbas	vôlý
hkec	thanđá
hrek	khôiphục
hkos	xuồng
hwif	phó
tric	tạmthời
hdep	delimitativediệnmạo
mwak	chồngchất
ksot	khúcxương
hnoc	Thứhai
nlas	thứba
brac	thứtư
frap	liênbang
pfit	Tiêubiểu
pcoc	cực
lyen	lanh
swak	bồnnước
pcen	chủtịch
brit	dínhmáu
hwec	sựbaovây
hwet	Dạdày
hlos	lênlầu
hbon	thayđổi
pcon	thau
hsem	đỉnh
lwac	rẻ
tsos	Cuộcthi
kwen	độcquyềnmộtngười
trun	đổbộ
trut	bứctượng
hrap	Súngđạibác
hgap	bắtgiữ
trot	nhiệtđộ
grin	khuvựclâncận
hjak	ômhôn
hpek	đónggói
hlus	conhươu
hwos	phòngngủ
tsuc	bụigai
pcuc	phóngđiện
cris	ngườikếthừa
clun	câysồi
hpes	khóchịu
nlet	chưahoànthiện
hrom	chươngtrình
pyon	Dươngcầm
swet	khuyên
dric	tànghình
tyen	aicũngbiết
hruk	tànác
frat	giao
hyoc	sựcámdỗ
hlep	telicdiệnmạo
nrot	quốctế
nret	dữdội
hfif	nhàtriếthọc
pfic	sựđạidiện
hmek	nhạycảm
hfec	phúclợi
myik	đánhbắtcá
truc	lấytrộm
tcop	môi
rwic	vềhưu
htom	nềnkinhtế
glan	bộsưutập
pren	songsong
hlek	atelicdiệnmạo
nrak	lụcđịa
truk	đập
hjim	cấmtâmtrạng
rwat	bólại
hcep	tếbào
dyan	trứng
jrat	nhântạo
nren	cảmhứng
ksic	cuộckhủnghoảng
tsoc	đangtìmkiếm
lwan	bữaăntrưa
hpos	câythông
hcuf	đẩy
tcus	kiệnngườinào
pset	giahạn
hkep	đồng
swis	thủythủ
prim	hoàngđế
trip	roida
cras	áosơmi
swap	quét
syet	pháchọa
htof	ngườiăntrộm
clen	kênh
kwit	nhâncách
klok	thặngdư
hrok	cảicách
hguc	khátnước
kcim	đedọa
hpem	câycọ
psik	cáiloa
frit	ngưỡng
cret	dấuvết
mrak	thương
syen	buổihọp
tcup	ẩm
hyek	dukhách
trim	thiếc
plak	lờiphànnàn
hyok	góc
hgam	bò
hmok	máyxay
jrac	bảnđồ
kloc	cổáo
gyit	cốtình
hbip	bia
mlet	nhung
lyap	lạmdụng
cwen	đàn
bwan	cháugái
tses	mườiba
jrit	biệnhộ
nlak	bảnviếttay
sron	quânnhân
cruc	Thứsáu
broc	chải
dlot	tảivề
krim	kem
pric	sâncỏ
prut	banbồithẩm
hgon	đônglạnh
sram	nghĩađen
pfot	nồi
hlot	lênkếhoạch
djin	tiềnxu
hlok	nhảy
hpep	quảtáo
hwot	xoắn
dlak	bànluận
brik	đăngký
nlis	chéplại
hbet	cácược
pris	virút
hjik	Hiếukhách
blit	trẻcon
hjap	yphục
tfik	phảnchiếu
hdaf	đạtđược
hpop	nhạckịch
kcaf	ẩn
kcoc	khuỷutay
hrum	sửa
cyim	khảnghi
dyic	giáodục
hgoc	hố
drak	xáotrộn
plas	vỗtay
byin	nhịphân
hzap	tuviện
nlot	lòngtrungthành
mrik	cơkhí
hsop	thànhcông
crap	bẩy
kyek	bánhngọt
nrut	giảitrí
syes	quýngài
hjet	mườibảy
hjen	giốngcái
hmom	Cụccưng
hdec	khôngmay
lwen	huyềnthoại
slot	bếp
frac	phiếnloạn
gwan	sưnglên
mruk	cảithiện
swot	đầmlầy
zlan	kiếmđược
hnem	hoạthình
hdes	nướcsốt
prak	thuyếtgiáo
frin	phongcảnh
hfet	đốilại
cros	điệpkhúc
ryon	hợplý
tcos	trồngtrọt
tsen	Chếbiến
hwek	chósói
nlik	sựtừchối
klap	thảm
dras	khinhkhi
prop	phìnhiêu
slim	Còi
hgis	phômai
krut	cắn
srot	đitheo
bjan	đilangthang
nwen	Hảiquân
myas	mặtnạ
kwaf	pháttriển
twis	taxi
pcip	bútchì
srap	rau
sren	tangvật
tlun	quần
hrup	thamnhũng
nrip	buồng
srup	canh
jran	bácsĩphẫuthuật
bjat	phụcấp
gyat	giánđiệp
hlem	táobạo
srak	trừutượng
kson	giọng
cwis	Thứnăm
sret	chânthành
hraf	giaothông
hres	kiếntrúc
hsuf	xửlý
rwak	vếtnứt
twon	trangtrí
hfus	phụchồi
hkom	Mã
djat	thợsăn
nlut	bảntin
hsef	conrắn
mris	chếđộdânchủ
bric	ắcquy
mlam	sáp
zran	chiasẻ
cron	xúcđộng
hzen	bơi
traf	dải
cwaf	phongbì
srip	thuốclá
mrot	độngcơ
swon	Tìnhnguyện
ryak	sựphảnứng
pfun	mộtphần
blac	hànhlý
mret	Bộ
hjon	tìnhdục
kcok	rìu
dram	kimcương
kren	luânphiên
tcek	bắtchước
hdif	bảnsắc
tfas	đạisứ
hfot	gồmcó
lwas	lườibiếng
hmep	momentanediệnmạo
kfin	mãhóa
mwin	tưởngtượng
hrem	cáđuối
pram	leo
byac	hầm
mren	đángghinhớ
swen	Thượngnghịviện
kras	quantài
hgun	nuốt
nlok	thưởngthức
ryic	nôngnghiệp
gwin	lunglay
srut	đồngcỏ
hkes	phứctạp
hfis	sựtừchức
frak	nhiềulần
hnom	âmmưu
hcop	quánrượu
hlec	câytiêu
mlot	giaiđiệu
zrat	ứngcửviên
proc	ngườibảohộ
flik	cáo
cyet	hốihận
hgim	ốngkhói
slet	hàngrào
tcok	tínhchínhxác
bjit	trướcđâyngườichết
brot	đọtnon
bwat	cáimền
hdus	conheo
gwat	ngàvoi
kret	giảinén
nwet	quansátviên
jwan	đạilộ
nwis	móngtay
mwic	conong
bzat	diễnviên
gyan	mồhôi
zyit	chấphành
blic	ảogiác
pcet	tínhkhôngchắcchắn
tsot	gậplại
bwit	ranhgiới
tres	căngthẳng
hkof	sựtiêuthụ
nyen	thanvan
hles	giốngnhau
cyek	bao
hjis	câykim
gjan	hiệntượng
prec	hànhxử
drot	đượckiểmsoát
kcek	đườngcong
twic	gà
brak	thùngrượu
zwat	thườnglệ
clap	thườnglệdiệnmạo
tsec	chuyêngia
bwin	gâyấntượng
cwet	giáp
hbek	thợlàmbánh
zlin	ôliu
mron	van
drin	cốnghiến
psap	vạchtrần
gjin	ngàysinhnhật
clut	búa
cwun	thơm
twaf	tầmthường
pcot	convậtcưng
krok	sọ
dlik	cơquanlậppháp
cwic	maymắnthay
srun	nhănmặt
crec	pháhủy
jlan	lề
kcip	nhàvôđịch
blin	tỷ
ryik	hóachất
mlas	mạch
flit	Phicông
hzet	thắtnút
cwik	Hùngvĩ
twet	chiếcváy
mwik	hàngtuần
tfis	kĩthuật
tlon	xecộ
cram	sựnịnhhót
grac	tăngcường
kraf	conquạ
trup	đặctính
hduk	cáimóc
cruk	Cọp
nrap	Ngườiquảngia
crot	Xalộ
mlip	dânquân
hfoc	ảnhchụp
nres	toànvẹn
plos	cộng
tfam	minhbạch
nlic	mườichín
hwok	cóđủnănglực
nlen	bàivăn
fyic	hiệuquả
hwuk	độcnhất
hgok	hữucơ
flic	khoathầnhọc
flot	phao
hboc	bắtbuộc
hwoc	bàphùthủy
syot	phòngthu
cwip	rượusâmbanh
hbes	cờ
lwic	lyhôn
blot	chớp
cwot	nuôinhốt
cwam	tĩnhmạch
prik	thụđộng
hfum	bọt
grik	đásỏi
zrin	khăn
gren	hànhtinh
hfuc	phụcsinh
claf	giáđểhàng
flas	cáiquạt
hjot	nhiệtđới
hbim	độcđoán
krek	thủyngân
hbec	nhântừ
tsaf	tựvận
pwas	nhổ
plot	phóngviên
kfak	haophí
blak	bancông
hdos	vếtbẩn
kwis	cổđiển
kcos	tốcáo
psen	tiềncấpdưỡng
kres	độngtừ
hzon	conkhỉ
srim	chữký
glin	miễncưỡng
mlut	khéttiếng
myot	nhậpkhẩu
fwac	ngườisánglập
troc	đuốc
hgaf	ngữpháp
hyop	duthuyền
ksip	bịtiêudiệt
sres	dungoạn
hnup	máivòm
hzun	bướngbỉnh
mric	bắpthịt
gjat	độlớn
hros	chà
zrac	hènnhát
tros	bánhmìnướng
myus	chuột
dwac	cuộcđốithoại
byak	condê
htef	thợmay
hfek	mọclên
dzan	ápđặt
nyon	vôdanh
