ni	infinitive
xyah	സിംഗിൾനടപടിക്രിയ
vlih	അർഥത്തിൽ
djah	ഇന്നത്തെരൂപവും
m6	സമ്പത്തുതുക
ti7	ബന്ധിതമായിരുന്നുകണം
f6	epentheticmorpheme
tli7h	നാമവിശേഷണവിദൂരഭാവിയിൽ
si_	postpositionalകേസ്
l6	allocutiveകരാർ
k6	frequentativeവശം
bzih	വിതരണാത്മകമായസർവ്വനാമം
tu7	ഫ്ലോട്ടിങ്പോയിന്റ്നമ്പർ
vo	ക്രിയമുദവയ്ക്കുക
ki7	കഴിഞ്ഞസ്വായത്തമാക്കാൻരൂപവും
ta_	locativeദിശയിലുമുള്ളകേസ്
