hnit	nauni
hyas	maramoja
hlap	semelfactivekipengele
kcac	kushoto
hyic	msumeno
hcas	nyumba
hwac	dunia
tyin	tatu
hnun	mamboleo
hcuk	lengo
pyan	upendo
hsis	daima
hyam	usiku
hyap	mfalme
hkic	katiya
hmas	akili
cyit	moyo
pluc	paucalidadi
kyik	kwasababu
ksak	causalkesi
tcun	done
hnim	jina
tsan	sahihinoun
klac	nchi
hpun	aliuliza
cyat	inayoonekanaevidential
pcac	bora
hmac	wakati
hnas	hawawezi
hwic	maji
twim	desiderativemood
kwan	mwanga
tlat	neno
tyan	mlango
hsas	asubuhi
syat	mpaka
twik	terminativekesi
hpit	nyeupe
pcan	fedha
hyis	maskini
mwan	kifo
hfam	fomu
nwik	inessivekesi
kcat	pamoja
tsac	maranyingi
pyat	rafiki
psan	nusu
hpim	muhimumood
hyuc	pandezote
hfat	alimtuma
hcis	mke
kcan	kuamini
hsik	umma
htus	halimazingira
hpas	mwana
clat	watoto
tyak	hivyo
cwan	matumaini
syin	wapenzi
hkuc	juu
tyac	kusoma
syit	mji
hlic	tayari
hfit	factiveevidential
tcac	msichana
hcun	kusikia
ksan	angalau
hyaf	labda
kyat	hakika
tcic	mwili
hwit	kurudi
cwat	hewa
hfaf	sheria
hput	kusaidia
lyat	barua
ksas	nne
hpic	optativemood
hfuk	moto
hcam	saa
twat	vita
kyak	kadhaa
tlit	pili
pcin	nyuma
hmut	waliopotea
clan	elfu
hfac	familia
twan	nafsi
hwas	swali
syan	ukweli
htis	maamuzi
tsat	uwezomood
lwik	allativekesi
nyin	anthropicjinsia
hfak	tano
tcak	sawasomomarker
htuc	tofautisomo
hnap	jibu
hmit	bahari
hcuc	hofu
pcat	kuelewa
syas	suala
hcaf	shaka
twut	dubitativemood
hkis	nyeusi
tlak	kuleta
hyus	nzuri
nyit	aina
htip	kumi
ksis	hadithi
hpuk	kitabu
hlin	umeme
hkun	akaunti
lyas	maslahi
lyit	kuandika
pwat	kitanda
hnis	umri
hnut	counterfactualmasharti
slas	sanaa
hwis	vialiskesi
pyak	kaka
lyin	mstari
tyas	meza
hyun	mto
kyac	jicho
tfan	ghafla
kcin	kina
hmuc	madhumuni
cyac	damu
hmap	kufufuka
tlin	baridi
hyif	mbele
tyam	marehemu
hnaf	kudhani
hkip	karibu
myan	yangu
tsin	maarifa
hkup	nakala
hsam	mume
hlis	sita
cwit	hai
cyan	amani
myat	kumbuka
tyic	asili
hfut	kuanguka
swas	huduma
hsap	isipokuwa
pcit	hatimiliki
hyim	jeshi
kyas	farasi
plic	baadaye
pcak	magharibi
hpis	kulipa
hyuk	nyekundu
hwun	dhahabu
twin	hamu
plan	kucheza
hpus	ofisi
syun	serikali
kyic	kanisa
htaf	nguvu
hlun	urefu
kyin	kampuni
kyis	karatasi
mlan	uwezekano
hcim	hasa
cyas	kubeba
twac	dirisha
nyat	uzuri
hcus	mwisho
htup	wajibu
htif	umbali
pyas	mguu
hlas	porini
ksin	kijani
hmaf	shida
myac	tabasamu
hsim	usingizi
kyit	alinukuliwa
kwik	quotativekesi
fwan	ziara
slan	kufuata
psit	uwepo
hmic	tamu
hmuf	kinywa
hfin	tajiri
tcam	adui
psuk	iliyovunjika
kcap	meli
pwan	umojamtu
hfic	ushawishi
tcuc	itaonekana
hkim	siri
pyin	tafadhali
pwit	precativemood
pyit	politekusajili
cwak	mabaya
myak	maandamano
tcas	maeneo
hlaf	kukaa
psat	badala
nlan	bluu
psac	haiwezekani
kcuk	shule
kcit	ndoa
kcak	chakula
syis	ishirini
tlac	utulivu
hcip	wanaotazamiwakipengele
kwin	kutoa
tsit	kusimamishwa
pyac	lugha
hsus	wiki
hcup	ukumbi
cyap	ajabu
tfin	aliyezaliwa
fyat	mahakama
hnip	gnomickipengele
tsak	heshima
tlas	thamani
syuc	mti
plat	ukuta
cyak	mbinguni
twip	inchoativekipengele
mlat	amri
swit	jussivemood
mwas	mwezi
hwaf	kamilifu
tyap	uzoefu
ksac	mazingira
syac	safi
hnuk	duke
kwak	kufunikwa
tyuk	mashariki
pwac	jiwe
hkif	vyeo
nyac	mwelekeo
cyis	kiti
tyuc	kusubiri
tsun	kijiji
tyik	kukubaliana
hnum	permissivemood
slak	mafanikio
tsic	kujaribu
slat	kilima
hmik	muziki
hkus	kilio
hsip	saba
hpaf	binafsi
nwas	habari
tfac	eneolatukio
fyan	bustani
cwas	kuanza
hfik	distributivekesi
lyac	kujifunza
syik	kisiasa
clin	henry
cyin	uongo
tsas	kutupwa
cyik	mamlaka
tlap	sakafu
cyam	majira
tcut	dini
tcap	kutoroka
hlut	mwandishi
pyun	brown
tcuk	maumivu
swan	spring
hmun	laini
kyun	kona
nyak	alamayabiashara
tsis	haki
psas	kuzalisha
cyaf	kicheko
hwut	kusahau
hyup	Ulaya
hwap	nane
psak	kupita
kyap	kutisha
pyic	required
hmim	kati
hsaf	pumzi
hmis	busara
hsum	kutochukuamarker
ksat	mazuri
ksit	kaburi
tsap	kisiwa
kyam	kambi
tcum	kugusa
cyun	bahati
psic	pwani
tyun	uwanja
mwit	commissivemood
tlut	shahada
myit	baridi
kfan	mwenendo
slac	mbio
myin	dakika
tyip	kusababisha
klas	kioo
pfat	bodi
cyic	bure
swam	mambo
syam	salama
tsut	daktari
hlip	completivekipengele
kcas	giza
nyun	joto
hpuc	kunywa
tlam	mfano
hfun	hasira
tsik	licha
tsam	mojakwamoja
hmup	kofia
klak	mbwa
slin	fedha
swac	mtumishi
kcam	kiburi
pyik	treni
myut	maadili
syak	kuingia
swat	upanga
kyuk	mashambulizi
clac	afya
tyaf	aya
swic	kijamii
tfit	refund
hkaf	rasmi
pcas	mtazamo
nyam	utukufu
tfat	kuminambili
pcut	wanaohusika
pwin	mvinyo
mwat	ladha
fyac	chuma
syap	kusambaza
myap	biashara
hyum	kutumia
fwak	hakimu
klat	nahodha
twap	kukomakipengele
kcic	curious
kwic	kigeni
hnif	intensifier
myun	umuhimu
tlic	hatimaye
cyuk	shingo
syut	uhuru
pfan	pande
kyuc	kavu
pcap	kando
tfak	evidential
tcik	evidentialkesi
twun	mbali
tyis	maendeleo
nyap	nyembamba
plit	jengo
hpif	ukurasa
pwic	kuikopesha
syic	kusikitisha
tsip	dhambi
syim	wagonjwa
tcis	waaminifu
pcun	benki
ksap	kukubali
lyam	mkondo
tcaf	makini
kwac	sikio
hpup	mkate
kcut	kuchagua
nwam	wanyama
hsup	Zoicjinsia
nwit	eventivemood
tcim	sawatukiomarker
tlik	multiplicativekesi
kyus	kuvuka
hmus	nene
kfat	kuthubutu
nwat	kukua
myic	mvua
hpum	uso
swut	takatifu
clis	Julai
mwun	mtindo
hfas	faili
cwac	bega
kwat	faraja
nwac	mtuyeyote
tcip	taka
kfac	nyasi
hmuk	kuteka
plin	ufunguzi
kwun	Juni
mlik	samaki
klin	mjimkuu
pfut	matiti
twam	madai
fyin	gharama
nlit	lenu
mlin	milioni
pyut	omba
hluk	uchovu
ksut	kuua
cyut	kivuli
psin	uzito
kcis	gray
pyam	jasiri
mwac	kuridhika
klam	kuwaambia
ksam	kitaifa
hfip	dhaifu
klik	bonde
hkum	mapemamnomood
clas	njano
cyuc	joto
mlac	mabaki
syip	usawa
pwak	sanduku
tcif	ncha
psip	kanuni
ksik	matokeo
tsim	msimu
flan	sayansi
pcam	inaonekana
kcun	kuzaa
ksuk	mjomba
mlit	orodha
pcik	hatari
kwas	Agosti
hluc	maarufu
klit	haijulikani
flak	ukoo
fyit	ukookusajili
lwat	msomaji
plun	kutembea
twas	marambili
pcis	kuhani
fyas	waliojeruhiwa
nlat	ikulu
myuk	kumdanganya
pfak	neema
tcuf	tisa
cwap	huruma
plac	kupasuka
pyap	kuweka
lyic	wamevaa
hcum	kelele
lwit	fasihi
tsuk	cheo
hfup	dhoruba
kcik	mfukoni
nwap	Novemba
tyim	Desemba
psaf	kukosekana
nlac	idadiyawatu
kyaf	kuwashukuru
slis	mfululizo
pyaf	ndege
mlak	mmiliki
kwut	kanzu
hwuc	mahusiano
pyis	haraka
twuc	moshi
nwak	Januari
mlic	mashine
tlis	meno
ksun	kuungua
clam	aibu
klaf	ubora
clit	pete
fyak	maneno
fyam	manenomarker
kwap	mraba
hwip	Jumapili
psis	mashairi
pwut	limeagizwakimbele
kyim	kununua
clic	mashamba
pyip	Aprili
kfap	Oktoba
psut	vitu
kcuc	uchungu
nlap	mtumwa
hsok	huru
htet	Nakala
hbat	mbaya
hrit	mikopo
hzit	vipengele
hpet	kuminatano
krac	kikatili
hduc	vumbi
hrik	vitendo
hron	rangi
hnus	pua
hric	kirafiki
srik	usambazaji
hten	jana
tlet	hesternaluliopo
slap	kushindwa
hban	kuvaa
hdat	kipofu
fran	kuruka
hdan	shetani
htec	hatuakwahatua
hmon	ujumbe
cran	sadaka
hran	dhamiri
hmos	waziri
nrit	nishati
hcet	chuki
hset	kituocha
hrin	mantikijinsia
hcot	kufurahia
hrip	kifupi
htep	ibada
hcif	ngozi
hrat	paa
kran	taji
hkon	ngome
tran	kukatatamaa
hmif	maili
trin	mzunguko
hgin	gerezani
hkop	kikombe
hcen	mwanachama
swin	kiraia
hrac	kilamahali
hris	desturi
hbin	kuwa
hmot	nyama
hdut	maziwa
hwen	vegetaljinsia
nran	nadra
hbac	binamu
crut	daraja
hsoc	hisa
hsom	chumvi
nris	wasionahatia
hbit	kuepuka
crin	Pongezi
rwin	malkia
hgut	kuhesabu
hdas	ngoma
hnot	hoteli
hdin	kujaza
hton	mfungwa
hdak	duka
hlet	ngazi
hson	msamaha
hgek	mashoga
hras	mchanga
hsep	Septemba
hbic	uharibifu
hlen	leseni
hcon	kutosha
hgit	shahidi
kfon	jikoni
hbak	kuuza
tlim	matibabu
hsot	kasi
kyut	kompyuta
hnen	milele
htek	maktaba
hzan	zenye
hbis	msingi
hbun	mkanganyiko
kcus	mpishi
hgat	jangwa
hwus	busu
hbif	barafu
hbot	mpira
hrut	hoja
hdit	barakamood
hdis	hatia
hjan	adhabu
plis	polisi
hgan	kujificha
hsen	msafara
nrin	wajinga
hyen	wingu
frif	Februari
hdik	ugonjwa
hnek	mpangokesi
hbam	shangazi
hmen	wanyenyekevu
hdip	kuchelewamuhimu
prat	taarifaevidential
hdet	usikuwamanane
hjit	kidole
hmoc	mahalifulani
pran	vyombovyahabari
kcec	mkoa
hken	sikuzahivikaribuni
hloc	melancholy
hrak	wafanyakazi
htes	kutazama
rwan	zawadi
hdon	kuchangia
htot	pajilauso
hnet	angel
hdun	umoja
croc	makosa
hlon	alfajiri
hyec	kondoo
hjin	uvumilivu
hrec	rejea
mran	mahindi
htos	wengi
hcos	hatua
hkoc	marakwamara
hlif	faida
clak	sukari
hjat	ubinadamu
tram	sura
hdic	disk
hkok	upweke
srat	msanii
crak	charm
hmet	email
hden	uamuzi
gran	gavana
crac	tawi
hjac	shauku
hdim	kufatamood
hcok	haraka
hyet	mafuta
pwap	bomba
trat	magazeti
tcot	jamboimara
hdoc	oh
hren	mjadalamazingira
tcon	saasitamchana
krin	cabin
plam	kengele
hnes	neva
tcen	uchunguzi
hsek	kipengele
plik	husika
slik	hariri
hfen	cent
hgen	wakala
hnon	muungano
crik	kuzimu
tcet	defective
mrat	mchanganyiko
hdam	mawaidhamood
hgac	tamaa
htoc	namnafulani
hdac	shauri
nwin	katiba
srit	chombo
hret	imara
nlin	online
hzat	tide
klic	chuo
hkek	mkia
nric	kizazi
hgic	msongamano
hgak	paka
trit	mojakwamojaevidential
tyot	mkataba
hnok	yaliyomo
crit	kutelekezwa
slen	kuminamoja
srin	Instinct
hpok	kabila
hyot	apprehensivemood
cric	makazi
hruc	rude
cwin	wanaoendesha
hzak	kuitingisha
dyit	sekta
hpec	taaluma
nras	muuguzi
hcec	mafundisho
hbut	viatu
hmec	hazieleweki
twot	shughuli
crat	Jumamosi
hkot	uwezo
hnec	mwangawajua
hwuf	mjane
cren	kumwaga
nrat	nyota
hget	mgeni
hbik	awabariki
brin	ndani
hpot	inapatikana
trac	upinzani
prac	unatokana
hcoc	mashimo
hpon	jimbo
hwim	ustaarabu
dwan	hutegemea
cwok	mshtuko
hdok	kuendeshagari
crun	hazina
hzik	mbegu
hrot	hivikaribunisikuzanyumauliopo
hket	ari
hcek	samani
hrop	kamba
mrac	adventure
byit	sikukuu
trak	mwaka
hzin	kusini
sric	sherehe
clik	uwindaji
trap	kiliberali
hrim	ukristo
hrus	princess
blat	madhabahuni
cyon	vidogo
hwep	mtandao
krat	Kardinali
tris	zambarau
kcot	kukusanya
hben	uchaguzi
trik	mlevi
kfit	kuinua
tcec	kubadilishana
nrik	uhakikamakala
grat	Kaizari
dran	utawala
hpen	awali
cluk	ugly
nrac	wapole
ryin	mafunzo
hrun	roll
nwic	inch
slit	risasi
gzat	gazeti
krot	kukata
drit	ndevu
hzis	machozi
hdap	kuminanane
sris	kihistoria
mrut	patola
nyik	matope
bran	bibi
drat	wanategemea
djan	kubwa
glat	unyenyekevu
hpoc	vuli
pras	pazia
hgot	mkutano
tret	ukumbiwamichezo
tras	kulinganisha
rwit	mpinzani
hfon	kutengeneza
klot	kocha
hmum	ucheshi
drac	mjadala
rwas	riwaya
tset	kisasi
hdot	distaldemonstrative
ryut	wivu
hwon	mwaliko
byat	kuteketezwa
flac	flash
prot	portrait
crek	kupendekeza
htok	migogoro
htop	laana
prit	imprecatorymood
hces	wanyonge
klup	klabu
hnos	mafuriko
dwin	kutojali
prin	upeowamacho
mrit	assumptivemood
tcoc	mwinuko
hcom	maelewano
grit	radi
tlot	utoto
hgik	goti
hwes	fahamu
hzac	kuheshimiana
hsec	programu
tson	taasisi
ryit	kupokea
dlin	nidhamu
slip	kuingizwa
klon	mapinduzi
hfim	mkulima
hpom	jukwaa
cyen	mwanafunzi
hgec	pango
hroc	mila
srac	kuwasilisha
ryat	janga
kcen	bikira
hbap	kuaga
krik	kukosolewa
krap	pamba
fwat	hospitali
kcet	kodi
hgas	gesi
pfin	kuepukika
dlit	jani
ryan	tafsiri
sran	mazishi
mrin	unga
hram	kimapenzi
dlan	dola
hzas	mzaha
hsos	kuminasita
klen	koloni
gyin	mrengo
hsif	simba
cluc	ujanja
prip	maandalizi
hzut	ukungu
dwat	dawa
krit	sahihisha
sras	kiota
hses	kuminanne
brat	pingamizi
flat	acid
hjic	yaani
slic	silaha
hbuc	user
tron	machungwa
byan	umwagaji
hrif	primitive
tlip	kuanzisha
blan	kikapu
kris	katibu
hyon	Wakatihuohuo
tren	leo
dlat	hodiernaluliopo
hzic	sumu
tfic	bunduki
tlen	vipaji
hlim	haliyahewa
dyat	mate
kcon	ufunuo
dlac	osha
krak	kukiri
hbas	yasiyonamsingi
hkec	makaayamawe
hrek	kurejesha
hkos	mtumbwi
hwif	makamu
tric	muda
hdep	delimitativekipengele
mwak	rundo
ksot	mfupa
hnoc	Jumatatu
nlas	Jumanne
brac	Jumatano
frap	shirikisho
pfit	mwakilishi
pcoc	pole
lyen	sanda
swak	kuzama
pcen	rais
brit	umwagajidamu
hwec	kuzingirwa
hwet	tumbo
hlos	ghorofani
hbon	mbalimbali
pcon	shaba
hsem	mkutanowakilele
lwac	nafuu
tsos	mashindano
kwen	kipekeemtu
trun	kutua
trut	sanamu
hrap	artillery
hgap	kuwakamata
trot	joto
grin	jirani
hjak	kukumbatia
hpek	pakiti
hlus	kulungu
hwos	chumbachakulala
tsuc	kichaka
pcuc	kutokwa
cris	mrithi
clun	mwaloni
hpes	unpleasant
nlet	pungufu
hrom	mpango
pyon	piano
swet	kuwashawishi
dric	asiyeonekana
tyen	vizuriinayojulikana
hruk	ukatili
frat	kupewa
hyoc	majaribu
hlep	telickipengele
nrot	kimataifa
nret	ukali
hfif	mwanafalsafa
pfic	uwakilishi
hmek	nyeti
hfec	ustawi
myik	uvuvi
truc	kuiba
tcop	mdomo
rwic	kustaafu
htom	uchumi
glan	nyumbayasanaa
pren	sambamba
hlek	atelickipengele
nrak	bara
truk	kubisha
hjim	kikwazomood
rwat	tai
hcep	kiini
dyan	yai
jrat	bandia
nren	msukumo
ksic	mgogoro
tsoc	kutafuta
lwan	chakulachamchana
hpos	pine
hcuf	kushinikiza
tcus	sue
pset	kupanua
hkep	shaba
swis	baharia
prim	kifalme
trip	mjeledi
cras	shati
swap	sweep
syet	mchoro
htof	mwizi
clen	channel
kwit	utu
klok	ziada
hrok	mageuzi
hguc	kiu
kcim	kutishia
hpem	palm
psik	msemaji
frit	kizingiti
cret	athari
mrak	mkuki
syen	kikao
tcup	uchafu
hyek	msafiri
trim	bati
plak	malalamiko
hyok	angle
hgam	ng'ombe
hmok	kinu
jrac	ramani
kloc	collar
gyit	makusudi
hbip	bia
mlet	velvet
lyap	matumizimabaya
cwen	kundi
bwan	mpwa
tses	kuminatatu
jrit	kuhalalisha
nlak	muswada
sron	shujaa
cruc	Ijumaa
broc	brush
dlot	download
krim	cream
pric	lami
prut	jury
hgon	waliohifadhiwa
sram	literally
pfot	sufuria
hlot	iliyopangwa
djin	sarafu
hlok	leap
hpep	apple
hwot	inaendelea
dlak	kujadili
brik	kujiunga
nlis	nukulu
hbet	bet
pris	virusi
hjik	ukarimu
blit	kitoto
hjap	vazi
tfik	kutafakari
hdaf	kufikia
hpop	opera
kcaf	mafichoni
kcoc	elbow
hrum	kukarabati
cyim	tuhuma
dyic	elimu
hgoc	shimo
drak	machafuko
plas	applause
byin	binary
hzap	Abbey
nlot	uaminifu
mrik	mitambo
hsop	mafanikio
crap	mtego
kyek	keki
nrut	kuwakaribisha
syes	sir
hjet	kuminasaba
hjen	kike
hmom	asali
hdec	kwabahatimbaya
lwen	legend
slot	jiko
frac	waasi
gwan	jazwa
mruk	kuboresha
swot	swamp
zlan	kulipwa
hnem	animated
hdes	dressing
prak	kuhubiri
frin	scenery
hfet	kupinga
cros	chorus
ryon	mantiki
tcos	mazao
tsen	usindikaji
hwek	wolf
nlik	kukataa
klap	carpet
dras	kumdharau
prop	rutuba
slim	filimbi
hgis	jibini
krut	kuuma
srot	kusindikiza
bjan	tanga
nwen	Navy
myas	mask
kwaf	kuendeleza
twis	teksi
pcip	kalamu
srap	mboga
sren	maonyesho
tlun	suruali
hrup	rushwa
nrip	barazalamawaziri
srup	supu
jran	upasuaji
bjat	posho
gyat	kupeleleza
hlem	reckless
srak	abstract
kson	lafudhi
cwis	Alhamisi
sret	dhati
hraf	trafiki
hres	usanifu
hsuf	ovyo
rwak	ufa
twon	pambo
hfus	ahueni
hkom	kificho
djat	wawindaji
nlut	jarida
hsef	nyoka
mris	demokrasia
bric	betri
mlam	nta
zran	kugawana
cron	thrill
hzen	kuogelea
traf	strip
cwaf	bahasha
srip	sigara
mrot	motor
swon	kujitolea
ryak	majibu
pfun	sehemu
blac	mizigo
mret	wizara
hjon	ngono
kcok	shoka
dram	diamond
kren	mbadala
tcek	echo
hdif	utambulisho
tfas	balozi
hfot	wajumbe
lwas	wavivu
hmep	momentanekipengele
kfin	encoding
mwin	imaginary
hrem	ray
pram	kupanda
byac	pishi
mren	kukumbukwa
swen	seneti
kras	jeneza
hgun	kumeza
nlok	kujiingiza
ryic	kilimo
gwin	swing
srut	meadow
hkes	tata
hfis	kujiuzulu
frak	kurudia
hnom	njama
hcop	baa
hlec	pilipili
mlot	melody
zrat	mgombea
proc	mlinzi
flik	fox
cyet	kujutia
hgim	chimney
slet	ua
tcok	usahihi
bjit	zamanimarehemu
brot	bud
bwat	blanketi
hdus	nguruwe
gwat	pembezandovu
kret	dondoo
nwet	waangalizi
jwan	avenue
nwis	misumari
mwic	nyuki
bzat	muigizaji
gyan	jasho
zyit	mtendaji
blic	udanganyifu
pcet	kutokuwanauhakika
tsot	mara
bwit	mpaka
tres	msongo
hkof	matumizi
nyen	tunaugua
hles	kufananana
cyek	gunia
hjis	sindano
gjan	jambo
prec	kuishi
drot	kudhibitiwa
kcek	Curve
twic	kuku
brak	pipa
zwat	habitual
clap	habitualkipengele
tsec	mtaalam
bwin	kumvutia
cwet	imepakana
hbek	baker
zlin	mizeituni
mron	van
drin	kujishughulisha
psap	kuwafichua
gjin	sikuyakuzaliwa
clut	nyundo
cwun	harufunzuri
twaf	yasiyonamaana
pcot	pet
krok	fuvu
dlik	bunge
cwic	bahatinzuri
srun	frown
crec	kuharibu
jlan	margin
kcip	bingwa
blin	bilioni
ryik	kemikali
mlas	mapigo
flit	majaribio
hzet	fundo
cwik	Mkuu
twet	skirt
mwik	kilawiki
tfis	kiufundi
tlon	gari
cram	kujipendekeza
grac	kuimarisha
kraf	jogoo
trup	sifa
hduk	ndoano
cruk	tiger
nrap	housekeeper
crot	barabara
mlip	wanamgambo
hfoc	picha
nres	uadilifu
plos	plus
tfam	uwazi
nlic	kuminatisa
hwok	waliohitimu
nlen	insha
fyic	ufanisi
hwuk	kipekee
hgok	kikaboni
flic	theolojia
flot	kuelea
hboc	kumlazimu
hwoc	mchawi
syot	studio
cwip	champagne
hbes	bendera
lwic	talaka
blot	bolt
cwot	uhamisho
cwam	mshipa
prik	watazamaji
hfum	povu
grik	changarawe
zrin	apron
gren	sayari
hfuc	ufufuo
claf	rafu
flas	shabiki
hjot	kitropiki
hbim	holela
krek	zebaki
hbec	wema
tsaf	kujiua
pwas	kukwanyua
plot	mwandishiwa
kfak	kutanua
blak	balcony
hdos	doa
kwis	classic
kcos	kuwashitaki
psen	pensheni
kres	kitendo
hzon	tumbili
srim	saini
glin	kusita
mlut	sifambaya
myot	kuagiza
fwac	mwanzilishi
troc	mwenge
hgaf	sarufi
hyop	yacht
ksip	haiko
sres	excursion
hnup	kuba
hzun	ukaidi
mric	misuli
gjat	ukubwa
hros	RUB
zrac	waoga
tros	toast
myus	panya
dwac	mazungumzo
byak	mbuzi
htef	tailor
hfek	kustawi
dzan	kulazimisha
nyon	bilamajina
zrit	rasmikusajili
pcos	michezo
hjec	kuyeyuka
dlas	kufuta
mras	mwavuli
mram	madini
cwut	truce
hbok	bata
swun	sabuni
dwak	doll
plif	villa
slon	kushona
tfut	kumpongeza
djac	kupatanisha
hjas	kukandamiza
kric	sungura
kwot	kondakta
gzan	kuhakikisha
clot	mchezaji
ksek	wadudu
psam	mkao
mwut	owl
htem	kudumu
clon	violin
dzin	mkazi
rwim	mtiririko
hyof	manufaa
dron	joka
dwit	auditoryevidential
sroc	kusafirisha
hzot	ukomeshaji
djik	msiweke
kfik	mfuniko
ryun	udhibiti
hmes	Meya
rwac	vifaa
sruk	circus
sros	wachache
bzan	kutulizaghasia
kset	orchestra
bjon	Bacon
hjut	ukomo
tfen	kutetea
zwac	hasara
dyin	ukombozi
myis	mwanamuziki
mlis	kiakili
pret	duni
tsek	mbunifu
hlom	lemon
ksos	kikohozi
crok	maumivuyakichwa
flin	uzazi
mrun	seremala
swec	random
syuk	kijiko
blun	puto
tcep	chaki
fric	kiburudisho
rwik	wima
rwen	kuzuia
flet	inferentialevidential
pfac	mchapishaji
srek	siki
tfun	handaki
pwet	puzzle
gyik	hisabati
fwot	fade
lwin	uwiano
jwin	ini
bwik	sublativekesi
hdup	kuzamisha
hnop	ukiritimba
bwic	manowari
ryen	bilakujali
hcem	tetemeko
hbos	maabara
nrek	mfanyakazi
ryim	dansi
nyic	kutafsiri
dwas	ubalozi
rwok	kumfanya
kram	kukosauwezo
ksim	declarativemood
clok	chocolate
pcec	upendeleo
nyis	hermit
tyoc	bahatimbaya
grak	mwanzo
zlat	glove
hjuk	kupigamagoti
trif	jiografia
djit	utaratibu
pson	hauonekani
mwis	uwekezaji
cwec	matusi
hdek	kidunia
blik	kipanga
sloc	saikolojia
brap	chakavu
jlat	pirate
dros	dozi
slam	salmon
pwun	pudding
gwik	magnetic
pcop	pampu
myen	vilevile
ksen	oksijeni
mrap	msimamizi
tfot	cheti
ksus	nguzo
trok	rhetoric
tloc	rung
zyan	kasia
nlun	Ingia
hlop	darubini
jlin	herufi
lyut	cloudy
hsof	surf
fyik	whiskey
klet	kiasi
hwof	Willow
hlum	ngamia
myet	amateur
klis	kutengwa
hbaf	wasifu
gwac	punda
hwum	uvumi
pwik	mtazamo
pron	pro
myes	kilamwezi
mwen	reverie
kfic	likizo
klek	click
cwon	mviringo
lyak	elastic
kwon	kamusi
hjam	ham
rwon	upindewamvua
crip	hili
zwan	zinazotokea
srok	wahariri
craf	viboko
tlok	tank
brip	butterfly
tfap	chati
jwat	pacha
pros	uendeshaji
psun	omen
clet	unyonge
hbus	mianzi
dyas	muuzaji
klun	mkusanyiko
jlit	usiojulikana
hdom	ndoto
kron	carbon
hzam	jam
cyot	msikilizaji
hmem	makumbusho
lwam	alfabeti
fras	kuwatawanya
psoc	ngumi
hgum	gum
brek	kuvunja
glit	utulivu
frun	kuoza
gris	fujo
mroc	msuguano
bzit	buibui
plut	viazi
glac	uchoyo
gzac	kuzidisha
prun	spin
jlet	kalenda
nyim	uteuzi
tlos	trilioni
slut	saladi
fwit	usawawakijinsiamood
pyen	maombi
nlon	majina
dren	kuonyesha
drun	kutoridhika
cyok	shrug
hfop	soka
ryac	ushirikiano
gzin	waanzilishi
hgip	kabichi
tyet	riadha
hdof	idiophone
hwup	mchangomkubwasana
lwek	lever
syec	seneta
jyak	malazi
mlim	ant
fwic	ufanisi
gzit	wajawazito
blas	utegemezi
jrin	kilasiku
gwak	kifundochamguu
drik	oddly
prif	kutofautiana
jwit	utofauti
krip	ubaguzi
ryot	kunyenyekewa
nwut	sidewalk
kcif	kikamilifu
jrak	frog
twek	kupindukiakesi
psot	upatanisho
pfon	sifongo
sluk	squirrel
nlim	irrealismood
ksaf	uhaba
glak	volkano
plen	msawazo
