ni	ຊົ່ວ
jwih	ໂປຣໄຟລjussive
mwih	ໂປຣໄຟລການອະນຸຍາດ
sloh	ຄວາມສໍາເລັດ
prih	ສ່ວນຕົວ
de	ກໍລະນີການແຈກ
tcoh	ອາການເຈັບປວດ
ryah	laugh
mlih	ສະຫລາດ
ye	ເຄື່ອງຫມາຍການຄອບຄອງ
ke	ໂປຣໄຟລຄະນະກໍາມະ
creh	vain
mweh	ລັກສະນະຄົບຖ້ວນສົມບູນ
nrah	ອົບອຸ່ນ
nroh	ຄວາມໃຈຮ້າຍ
bwah	ເຖິງວ່າຈະມີ
trah	ຄວາມພາກພູມໃຈ
mroh	ສົມບັດສິນທໍາ
slah	ສຸຂະພາບ
syih	ສັງຄົມ
pe	ລັກສະນະສໍາເລັດ
krih	ຢາກຮູ້ຢາກເຫັນ
tfih	ເຂັ້ມຂຸ້ນຂຶ້ນ
fe	ສຸດທ້າຍ
prah	ຫລີກໄປທາງຫນຶ່ງ
trih	ຫຼັກຖານ
nwah	ກໍລະນີຫຼັກຖານ
srih	sad
zo	zoicບົດບາດຍິງຊາຍ
nweh	ໂປຣໄຟລກິດຈະກໍາ
cwoh	ເຄື່ອງຫມາຍກໍລະນີດຽວກັນ
plih	ກໍລະນີmultiplicative
dwah	ຕ້ອງການ
kcoh	ເມື່ອຍ
drah	ພໍໃຈ
lu	ໂປຣໄຟລຄາດຄະເນ
frih	ລົງທະບຽນຄຸ້ນເຄີຍ
frah	ໄດ້ຮັບບາດເຈັບ
mruh	ຄົນ​ໂງ່
djih	ເຫັນອົກເຫັນໃຈ
krah	ຂໍຂອບໃຈ
cruh	ຄວາມອັບອາຍ
fyah	ເຄື່ອງຫມາຍປະໂຫຍກ
ryih	undefined
kruh	ມີລົດຊາດຂົມ
tyeh	ຂໍ້​ຄວາມ
kreh	cruel
tleh	hesternalຄໍາ
kfah	ການເສຍສະລະ
dyih	ຊັງ
cloh	ບົດບາດຍິງຊາຍສົມເຫດສົມຜົນ
nloh	ມີຄວາມສຸກ
psah	ເປັນຫ່ວງ
sleh	ບົດບາດຍິງຊາຍພືດ
nruh	ຄືຊິ
drih	ຊົມເຊີຍ
sroh	pardon
brih	ຖານ
kluh	ຄວາມສັບສົນ
bwih	ໂປຣໄຟລພອນ
klih	ຄວາມຜິດ
grih	ignorant
nyeh	ກໍລະນີການລິເລີ່ມ
nleh	ຖ່ອມຕົນ
dlih	imperativeໄກ
proh	ລາຍງານຫຼັກຖານ
mloh	melancholy
du	ຄໍາ
jrih	ຄວາມອົດທົນ
freh	referential
kloh	ເປົ່າປ່ຽວດຽວດາຍ
kroh	charm
tcuh	ກະຕືລືລົ້ນ
kcuh	ໂປຣໄຟລinductive
xa	ສະພາບການສົນທະນາ
nreh	ລະບົບປະສາດ
pseh	ລັກສະນະ
ge	ຕົວແທນ
mu	ໂປຣໄຟລຄໍາແນະນໍາ
byah	ທະເຍີທະຍານ
pcoh	ທີ່ແອອັດ
treh	ຫຼັກຖານໂດຍກົງ
yo	ໂປຣໄຟລດ້ວຍຄວາມຢ້ານ
cwuh	ອາການຊ໊ອກ
tloh	ທີ່ຜ່ານມາຄໍາທີ່ຜ່ານມາ
dlah	ບົດຄວາມແນ່ນອນ
cluh	ugly
myuh	humor
dyah	distalຍົມ
rwuh	ອິດສາ
troh	ໂປຣໄຟລimprecate
dzih	indifference
swuh	ໂປຣໄຟລສົມມຸດຕິຖານ
bzah	jest
gwih	ຄື
dloh	hodiernalຄໍາ
dweh	ລັກສະນະການກໍານົດເຂດ
kweh	ບຸກຄົນສະເພາະ
truh	ອຸນຫະພູມ
tfeh	ລັກສະນະtelic
lyeh	ລັກສະນະAtele
ru	ໂປຣໄຟລຫ້າມ
kfih	childish
cyoh	ສົງໃສ
nluh	ຄວາມສັດຊື່ຕໍ່
cweh	ຈັ່ນຈັບ
nwoh	ສັດ
sruh	thrill
ksoh	ທາງເພດ
lyah	lazy
mreh	ລັກສະນະmomentane
pceh	undefined
bjih	ອະດີດຜູ້ຕາຍ
pcuh	ຄວາມບໍ່ແນ່ນອນ
xi	ລັກສະນະນິໄສ
blih	bounded
tsuh	trivial
fwih	majestic
grah	undefined
brah	ທີ່ຕົນເອງມັກ
cleh	undefined
sreh	ລົງທະບຽນຢ່າງເປັນທາງການ
pfah	ທີ່ເປັນປະໂຫຍດ
droh	ຫຼັກຖານຫູ
flih	ຫຼັກຖານinferential
sweh	ກໍລະນີsublative
ksuh	ໂປຣໄຟລທີ່ເປີດເຜີຍ
pleh	ສິດທິພິເສດ
psoh	undefined
be	ພາດ
mwoh	undefined
kleh	undefined
glah	greed
kseh	ໂປຣໄຟລການຍື່ນຍັນ
zrah	ຄວາມບໍ່ພໍໃຈ
dyoh	ideophone
syoh	undefined
gwah	ກໍລະນີexessive
zlih	ໂປຣໄຟລirrealis
zrih	shyness
byih	ການຮັບຮອງເອົາ
ryeh	ເຄື່ອງຫມາຍຄໍາສັບພະນາມ
fwah	frugal
bjah	undefined
kxah	equanimity
gvih	ກໍລະນີpegative
pxih	ການພິສູດ
xrah	undefined
tfoh	undefined
kxih	ການສໍານຶກຜິດ
ryoh	ກໍລະນີການດໍາເນີນຄະ
qyah	preoccupation
r6	ຄໍາ
txah	ຫ່າງໄກສອກຫຼີກອະດີດ
xrih	ປະຫວັດສາດຄໍາ
dxah	ຈໍານວນສອງ
syuh	super
vweh	undefined
n6	ໂປຣໄຟລຫຼັກຖານປະສາດສໍາຜັດ
bweh	obsession
xlih	hilarious
txih	undefined
sluh	undefined
txoh	motionuphill
xe	retrospective
pxah	undefined
vwah	ການເຄື່ອນໄຫວdownhill
xyih	elite
fleh	ງໍ
psuh	ກໍລະນີsuperessive
syeh	undefined
qi	ການຜ່ານແດນ
xruh	ຫົດນ້ອຍລົງ
zwah	wow
tr6h	motionupriver
qwah	undefined
xlah	ໃນທົ່ວໂລກ
tyoh	intransitive
tluh	anticlimax
qa	ເຄື່ອງຫມາຍຄວາມສໍາພັນກັນໃນປັດຈຸບັນ
kxoh	undefined
rwoh	ພິທີການ
ve	vector
kyoh	undefined
swoh	ຕາມລໍາດັບ
pxeh	ກໍລະນີການແບ່ງປັນ
txeh	ຂະຫຍາຍ
dxih	ຢາ
pxoh	ກໍລະນີProl
pfoh	ປະໂຫຍກສໍາລັບການ
blah	Blase
fyih	ມະນຸດບໍ່
xo	ພາລະບົດບາດລະຄອນຜູ້ຊາຍ
pc6h	ຈໍານວນການທົດລອງ
greh	ກໍລະນີສູນກາງ
groh	ຜົນກະທົບຕໍ່ເປົ້າຫມາຍ
dxoh	ສຽງລະດັບກາງ
rweh	ກໍລະນີສະຫຼຽງ
xwah	ກໍລະນີຄົນເຈັບ
xu	prehodiernal
xroh	ໃສ່ອອກ
ks6h	ສາເຫດ
vi	ຄ່າໄບນາລີ
dleh	ກໍລະນີmodal
gjeh	elseif
xreh	coworker
lwoh	ກໍລະນີຕໍາແຫນ່ງ
ml6h	ຈໍານວນmultal
gjih	galaxyບົດບາດຍິງຊາຍ
qlah	ບົດບາດຍິງຊາຍstar
bvih	ກໍລະນີabessive
dvah	ກໍລະນີadessive
je	ກໍລະນີຕົວແທນ
t6	ຜົນກະທົບຕໍ່ຕົວແທນ
kxeh	ກັບກໍລະນີ
gxih	ບົດບາດຍິງຊາຍທົ່ວໄປ
tc6h	ຮູບແບບການຂຽນກ່າວອ້າງ
ts6h	ເລກtrans
ryuh	ຈຸດປະສົງໂດຍກົງ
gveh	ກໍລະນີergative
pyoh	ສຽງຕົວຕັ້ງຕົວຕີ
qe	ພາສາທີ່ຈໍາກັດ
xwih	ຈຸດປະສົງຕົ້ນຕໍ
myoh	ໂປຣໄຟລgnomic
vrih	ອະນຸພາກສຸດທ້າຍ
va	ກໍລະນີEvit
bveh	ກໍລະນີsubessive
dxeh	ກໍລະນີຄອບຄອງ
dvih	ກໍລະນີlative
tsa7h	ກໍລະນີantessive
dyeh	ກໍລະນີadverbial
mleh	ຊີວິດບົດບາດຍິງຊາຍ
pfeh	ຄວາມສຸກຮ່ວມຄວາມຮູ້ສຶກ
xleh	ຍານພາຫະນະບົດບາດຍິງຊາຍ
qlih	ແຮ່ທາດບົດບາດຍິງຊາຍ
xloh	ພາສາພາດ
dreh	ພາສາທີສອງ
bvah	ຫມັ້ນ​ໃຈ​ຕົນ​ເອງ
qrah	ການປ່ຽນແປງຂອງເຫດການ
fo	ກໍລະນີທີ່ແຕກຕ່າງກັນ
sl6h	crastinalຄໍາ
fyoh	ສຽງສະທ້ອນ
bxih	ຈັກກະວານບົດບາດຍິງຊາຍ
jlih	transitiveverb
kyeh	ທ້ອງຖິ່ນບົດບາດຍິງຊາຍ
txuh	ການຄົ້ນຄວ້າບົດບາດຍິງຊາຍ
s6	ບົດບາດຍິງຊາຍສິລະປະ
preh	ຜົນກະທົບຕໍ່ຄົນເຈັບ
sr6h	ບົດບາດຍິງຊາຍບໍ່ມີຕົວຕົນ
nyoh	ການປາກເວົ້າທາງອ້ອມ
zreh	ກໍລະນີexocentric
kfeh	ທີ່ດີເລີດທີ່ຜ່ານມາ
jo	ພາສາບໍ່ມີຕົວຕົນ
kxuh	ພາສາການລວບລວມ
bu	ກໍລະນີAbsolutive
qrih	ບົດບາດຍິງຊາຍຂອງດາວເຄາະ
kfoh	ກຸສົນcore
kwoh	ກໍລະນີສະມາຄົມ
pluh	ກໍລະນີສູງສຸດ
jrah	ປັດຈຸບັນໄຟຟ້າ
glih	ບົດບາດຍິງຊາຍມີຊີວິດ
p6	ໂປຣໄຟລຂໍ້ສະເຫນີ
vrah	ສຽງຊຶ່ງກັນແລະກັນ
lyuh	ຂໍ້ສົບຜົນສໍາເລັດ
gleh	ທັນທີທີ່ອະນາຄົດ
lyoh	ສຽງຄໍາຮ້ອງສະຫມັກ
ps6h	ສຽງantipassive
tfuh	ລັກສະນະcontinutive
nr6h	ໂປຣໄຟລຈໍາເປັນ,
pr6h	ຄໍາຕົວຕັ້ງຕົວຕີ
sy6h	ອານຸປະໂຫຍດexistential
qyih	ສຸມluminous
gluh	ຈໍານວນsingulative
kwuh	ໄລຍະເວລາຫຼາຍເກີນໄປ
xyah	ຄໍາດໍາເນີນການດຽວ
vlih	ລະດັບສູງສຸດ
djah	ປະຈຸບັນຄໍາ
m6	ຈໍານວນເງິນຂອງສານເສບຕິດ
ti7	ເຂົ້າເຊື່ອມຕໍ່
f6	ຫນ່ວຍepenthetic
tli7h	ໃນອະນາຄົດຫ່າງໄກສອກຫຼີກຄໍາ
si_	ກໍລະນີpostpositional
l6	ຂໍ້ຕົກລົງallocutive
k6	ລັກສະນະທີ່ພົບເລື້ອຍ
bzih	ຄໍາສັບພະນາມdistributive
tu7	ຈໍານວນຂອງຈຸດທີ່ເລື່ອນໄດ້
vo	ພາສາຕິດ
ki7	ຄໍາຕົວຕັ້ງຕົວຕີທີ່ຜ່ານມາ
ta_	ກໍລະນີທາງຕໍາແຫນ່ງ
