ni	infinitif
gleh	bientôtavenirtendu
lyoh	applicativevoix
ps6h	antipassifvoix
tfuh	continuativeaspect
nr6h	necessitativehumeur
pr6h	passifparticipe
sy6h	existentielclause
qyih	lumineuxintensité
gluh	singulativenombre
kwuh	excessifdurée
xyah	uniqueactionverbe
vlih	superlatifdegré
djah	présentparticipe
m6	montantdesubstance
ti7	conjonctifparticule
f6	épenthétiquemorphème
tli7h	éloignéavenirtendu
si_	postpositionnelcas
l6	allocutionuneentente
k6	fréquentatifaspect
bzih	distributifpronom
tu7	virguleflottantenombre
vo	verbe-suffixe
ki7	passépassifparticipe
ta_	locatifdirectionnelcas
