ni	impinitibo
xlah	sabuongmundo
tyoh	katawanin
tluh	paghulaw
qa	kasalukuyankaugnayanpananda
kxoh	dogpagod
rwoh	ordinal
ve	vector
kyoh	kilo
swoh	nanggagalaing
pxeh	pamahagikaso
txeh	nagpapalaki
dxih	nagpapalagay
pxoh	prolativekaso
pfoh	propesyonalparirala
blah	pinagpasasa
fyih	dipantao
xo	aktorpapel
pc6h	pagsubokbilang
greh	sentrikkaso
groh	layuningatilyo
dxoh	gitnaboses
rweh	pahiligkaso
xwah	pasyentekaso
xu	prehodyernal
xroh	magsuotPalabas
ks6h	kausatiba
vi	binaryhalaga
dleh	modalkaso
gjeh	ibakung
xreh	coworker
lwoh	kalaanantkaso
ml6h	multalbilang
gjih	kalawakankasarian
qlah	bituinkasarian
bvih	abessivekaso
dvah	adessivekaso
je	agentivekaso
t6	ahentegatilyo
kxeh	upangkaso
gxih	karaniwankasarian
tc6h	banggitanyo
ts6h	transpamilang
ryuh	tuwiranbagay
gveh	ergativekaso
pyoh	balintiyakboses
qe	mayhanggananpandiwa
xwih	pangunahinbagay
myoh	maladuwendekalooban
vrih	pangwakasmaliitnabutil
va	evitativekaso
bveh	subessivekaso
dxeh	maynagmamayarikaso
dvih	lativekaso
tsa7h	antessivekaso
dyeh	pang-abaykaso
mleh	bigyang-buhaykasarian
pfeh	empathetickagalakan
xleh	sasakyankasarian
qlih	mineralkasarian
xloh	berbalpangngalan
dreh	pangalawawika
bvah	sarilipagtitiwala
qrah	pagbabagongpangyayari
fo	ibapangyayari
sl6h	crastinalpanahunan
fyoh	pasariliboses
bxih	sansinukobkasarian
jlih	palipatpandiwa
kyeh	lokalidadkasarian
txuh	pananaliksikkasarian
s6	masiningkasarian
preh	pasyentegatilyo
sr6h	abstractkasarian
nyoh	hindituwiranpagsasalita
zreh	exocentrickaso
kfeh	nakalipasnakakaganap
jo	walangpinipilipandiwa
kxuh	sama-samapangngalan
bu	absolutivekaso
qrih	pamplanetakasarian
kfoh	ubodbenefactive
kwoh	nag-uugnaykaso
pluh	ubodngkaso
jrah	dekoryentekasalukuyan
glih	walangbuhaykasarian
p6	propositivekalooban
vrah	gantihanboses
lyuh	sunud-sunodsugnay
gleh	madalihinaharappanahunan
lyoh	applicativeboses
ps6h	antipassiveboses
tfuh	Pagpapatuloyanyo
nr6h	necessitativekalooban
pr6h	balintiyakpandiwari
sy6h	existentialsugnay
qyih	makinangiting
gluh	singulativebilang
kwuh	labistagal
xyah	walangasawaaksyonpandiwa
vlih	ubodngantas
djah	kasalukuyanpandiwari
m6	damingsangkap
ti7	nag-uugnaymaliitnabutil
f6	epentetikomorpema
tli7h	malayohinaharappanahunan
si_	postpositionalkaso
l6	samokasunduan
k6	madalasanyo
bzih	nagbabaha-bahagipanghalip
tu7	lumulutangpuntobilang
vo	pandiwapanlapi
ki7	nakalipasbalintiyakpandiwari
ta_	kalaanantitinurokaso
