ni	kwekusebentisa
cweh	isicupho
nwoh	animated
sruh	wamangaza
ksoh	ngokocansi
lyah	lazy
mreh	isicimomentane
pceh	undefined
bjih	zangaphambilioshonile
pcuh	ukungaqiniseki
xi	isiciobuvamile
blih	iphahlwe
tsuh	eziwubala
fwih	ngokubabazekayo
grah	undefined
brah	ngaphandlekokubonisananomkayo
cleh	undefined
sreh	irejista
pfah	ezuzisayo
droh	ebufakazinisokuzwa
flih	ebufakazinikucabangalokungahlekwenteke
sweh	icalasublative
ksuh	kwemizwadeclarative
pleh	nelungelolokuzibonela
psoh	undefined
be	lwamazwi
mwoh	undefined
kleh	undefined
glah	ukuhaha
kseh	kwemizwangoyebo
zrah	ukungeneliseki
dyoh	ideophone
syoh	undefined
gwah	icalaexessive
zlih	kwemizwairrealis
zrih	amahloni
byih	lithathelwe
ryeh	isabizwanamarker
fwah	ukonga
bjah	undefined
kxah	equanimity
gvih	icalapegative
pxih	ukulwelwa
xrah	undefined
tfoh	undefined
kxih	yokuzisola
ryoh	icalaprosecutive
qyah	eqine
r6	esithi
txah	akudesikhatsilesengcile
xrih	mlandoesishubile
dxah	inomboloombaxambili
syuh	super
vweh	undefined
n6	sezinzwakwemizwaebufakazini
bweh	kukhathazeka
xlih	hilarious
txih	undefined
sluh	undefined
txoh	motionekukhuphukeni
xe	zokuhlola
pxah	undefined
vwah	motionekwehleni
xyih	elite
fleh	inflected
psuh	icalasuperessive
syeh	undefined
qi	umenziwa
xruh	ngathothobala
zwah	Hewu
tr6h	motionumfula
qwah	undefined
xlah	emhlabeniwonke
tyoh	ngadingiumenziwa
tluh	lupholavutfondzaba
qa	zamanjeukuqondanamarker
kxoh	undefined
rwoh	kuhlelekakwetinombolo
ve	vector
kyoh	undefined
swoh	ezilandelanayo
pxeh	icalapartitive
txeh	augmentative
dxih	yekwenta
pxoh	icalaprolative
pfoh	ibinzanapro
blah	blase
fyih	nonwomuntu
xo	indimaumlingisi
pc6h	inombolokwecala
greh	icalacentric
groh	umgomoinhlamvu
dxoh	izwimiddle
rweh	icalaetshekile
xwah	icalaisiguli
xu	prehodiernal
xroh	uzokhathala
ks6h	causative
vi	Inanikanambambili
dleh	simokwentaicala
gjeh	futhiuma
xreh	engangisebenzanaye
lwoh	icalalocative
ml6h	inombolomultal
gjih	galaxyubulili
qlah	inkanyeziubulili
bvih	icalaabessive
dvah	icalaadessive
je	icalaagentive
t6	ejentiinhlamvu
kxeh	icala
gxih	ubuliliezivamile
tc6h	ifomuukulandisa
ts6h	inanitrans
ryuh	intfongqo
gveh	icalaergative
pyoh	izwiyekwentiwa
qe	Isenzoesihlobenesenhloko
xwih	Inhloso
myoh	kwemizwagnomic
vrih	kuyizinhlayiyanafinal
va	icalaevitative
bveh	icalasubessive
dxeh	icalawayenazo
dvih	icalalative
tsa7h	icalaantessive
dyeh	icalatandziso
mleh	vusaubulili
pfeh	injabulonozwela
xleh	imotoubulili
qlih	amamineraliubulili
xloh	ibizolwamazwi
dreh	ulimilwesibili
bvah	ukusiqhenya
qrah	ushintshoizinkundla
fo	isenzakaloesihluke
sl6h	crastinalesishubile
fyoh	izwikunengi
bxih	umkhathiubulili
jlih	umenziwanesenzoesithi
kyeh	yakithiubulili
txuh	ucwaningoubulili
s6	ubuliliwobuciko
preh	inhlamvuisiguli
sr6h	ubuliliabstract
nyoh	inkhulumongconenkhulumombiko
zreh	icalaexocentric
kfeh	perfectiveesidlule
jo	Isenzoesihlobeneengenabuntu
kxuh	ibizocollective
bu	icalaabsolutive
qrih	ubuliliamaplanethi
kfoh	benefactivecore
kwoh	icalaassociative
pluh	icalaokungekhomuntuongalifinyelela
jrah	Amandlakagesi
glih	ubuliliezingaphili
p6	kwemizwapropositive
vrah	izwiokuhambisanayo
lyuh	umshwanangokulandelanakwazo
gleh	Ngokusheshalesitako
lyoh	izwiapplicative
ps6h	izwiantipassive
tfuh	isicicontinutive
nr6h	kwemizwanecessitative
pr6h	esithiyekwentiwa
sy6h	umshwanaekuphileni
qyih	ngegaleloelikhanyayo
gluh	inombolosingulative
kwuh	ubudebesikhathingokweqile
xyah	singleisenzoeliyisenzo
vlih	ngezingaokungekhomuntuongalifinyelela
djah	samanjeesithi
m6	liphansi
ti7	kuyizinhlayiyanazezinzwa
f6	morphemeepenthetic
tli7h	Ngokuzayoakudeesishubile
si_	icalapostpositional
l6	isivumelwanoallocutive
k6	isicifrequentative
bzih	isabizwanawokusakaza
tu7	ezintantayoInombolophuzu
vo	Isenzoesihlobenebethela
ki7	esithiyekwentiwaesidlule
ta_	locativeicalaohlangothini
