hnit	főnéviigenév
hson	Bocsánat
hgek	homoszexuális
hras	homok
hsep	szeptember
hbic	ROM
hlen	engedély
hcon	kellően
hgit	tanú
kfon	konyha
hbak	elad
tlim	kezelés
hsot	sebesség
kyut	számítógép
hnen	örök
htek	könyvtár
hzan	tartalmazó
hbis	bázis
hbun	zavar
kcus	főz
hgat	sivatag
hwus	csók
hbif	jég
hbot	labda
hrut	érv
hdit	áldáshangulat
hdis	bűnös
hjan	büntetés
plis	rendőrség
hgan	elrejt
hsen	expedíció
nrin	tudatlan
hyen	felhő
frif	február
hdik	betegség
hnek	kezdeményezésügy
hbam	néni
hmen	alázatos
hdip	késleltetettparancsoló
prat	jelentettbizonyítékonalapuló
hdet	éjfél
hjit	ujj
hmoc	valahol
pran	nyomjameg
kcec	vidék
hken	utóbbiidőben
hloc	melankólia
hrak	személyzet
htes	bámulás
rwan	jutalom
hdon	adományoz
htot	homlok
hnet	angyal
hdun	egyedülálló
croc	hiba
hlon	hajnal
hyec	juh
hjin	türelem
hrec	referenciális
mran	kukorica
htos	többség
hcos	intézkedések
hkoc	néha
hlif	nyereség
clak	cukor
hjat	emberiség
tram	keret
hdic	korong
hkok	magányos
srat	művész
crak	báj
hmet	email
hden	döntés
gran	kormányzó
crac	ág
hjac	lelkesedés
hdim	induktívhangulat
hcok	siet
hyet	olaj
pwap	cső
trat	nyomtatás
tcot	szilárdanyag
hdoc	ó
hren	társalgáskontextus
tcon	dél
krin	kabin
plam	riasztás
hnes	ideges
tcen	megfigyelés
hsek	vonatkozás
plik	alkalmazható
slik	selyem
hfen	cent
hgen	ügynök
hnon	unió
crik	pokol
tcet	hiányos
mrat	vegyes
hdam	figyelmeztetéshangulat
hgac	becsvágy
htoc	valahogy
hdac	Tanács
nwin	alkotmány
srit	hangszer
hret	határozottan
nlin	online
hzat	árapály
klic	főiskola
hkek	farok
nric	generáció
hgic	zsúfolt
hgak	macska
trit	közvetlenbizonyítékonalapuló
tyot	szerződés
hnok	tartalom
crit	elhagyatott
slen	tizenegy
srin	ösztön
hpok	törzs
hyot	nyugtalanhangulat
cric	menedék
hruc	durva
cwin	lovaglás
hzak	ráz
dyit	ipar
hpec	szakma
nras	nővér
hcec	tanítás
hbut	cipő
hmec	homályos
twot	tevékenység
crat	szombat
hkot	kapacitás
hnec	napfény
hwuf	özvegy
cren	fészer
nrat	csillag
hget	vendég
hbik	áldja
brin	belső
hpot	elérhető
trac	ellenállás
prac	származik
hcoc	üreges
hpon	tartomány
hwim	civilizáció
dwan	lejtés
cwok	sokk
hdok	vezetés
crun	kincs
hzik	mag
hrot	újmúltfeszült
hket	ébren
hcek	bútor
hrop	kötél
mrac	kaland
byit	ünnep
trak	évi
hzin	déli
sric	szertartás
clik	vadászat
trap	liberális
hrim	kereszténység
hrus	hercegnő
blat	oltár
cyon	apró
hwep	háló
krat	bíboros
tris	lila
kcot	gyűjt
hben	választás
trik	részeg
kfit	emel
tcec	csere
nrik	határozottcikk
grat	császár
dran	adminisztráció
hpen	korábban
cluk	csúnya
nrac	ártalmatlan
ryin	kiképzés
hrun	tekercs
nwic	hüvelyk
slit	lő
gzat	újság
krot	vágás
drit	szakáll
hzis	könny
hdap	tizennyolc
sris	történelmi
mrut	bruttó
nyik	sár
bran	menyasszony
drat	függ
djan	óriás
glat	egyszerűség
hpoc	őszi
pras	fátyol
hgot	összejövetel
tret	színház
tras	összehasonlítás
rwit	vetélytárs
hfon	alakítás
klot	edző
hmum	humor
drac	társalgás
rwas	regény
tset	bosszú
hdot	távolabbimeggyőző
ryut	irigy
hwon	meghívás
byat	megégett
flac	vaku
prot	portré
crek	javasol
htok	összeütközés
htop	átok
prit	átkozódóhangulat
hces	tehetetlen
klup	klub
hnos	árvíz
dwin	közöny
prin	horizont
mrit	feltevésszerűhangulat
tcoc	meredek
hcom	harmónia
grit	mennydörgés
tlot	gyermekkor
hgik	térd
hwes	öntudatlan
hzac	kölcsönös
hsec	szoftver
tson	intézmények
ryit	nyugta
dlin	fegyelem
slip	csúszás
klon	forradalom
hfim	földműves
hpom	emelvény
cyen	diák
hgec	barlang
hroc	hagyomány
srac	benyújtja
ryat	tragédia
kcen	szűz-
hbap	búcsú
krik	kritika
krap	pamut-
fwat	kórház
kcet	bérlés
hgas	gáz
pfin	elkerülhetetlen
dlit	levélnövényen
ryan	fordítás
sran	temetés
mrin	Liszt
hram	romantikus
dlan	dollár
hzas	tréfa
hsos	tizenhat
klen	kolónia
gyin	szárny
hsif	oroszlán
cluc	ravasz
prip	készítmény
hzut	köd
dwat	gyógyszer
krit	korrigál
sras	fészek
hses	tizennégy
brat	ellenvetés
flat	sav
hjic	ugyanis
slic	fegyver
hbuc	használó
tron	narancs
byan	fürdőkád
hrif	primitív
tlip	létrehozni
blan	kosár
kris	titkár
hyon	Addig
tren	Ma
dlat	maifeszült
hzic	méreg
tfic	puska
tlen	tehetség
hlim	éghajlat
dyat	társ
kcon	kinyilatkoztatás
dlac	mosás
krak	gyónás
hbas	ostobaság
hkec	szén
hrek	visszaállítás
hkos	kenu
hwif	helyettes
tric	ideiglenes
hdep	delimitativevonatkozás
mwak	halom
ksot	csont
hnoc	hétfő
nlas	kedd
brac	szerda
frap	szövetségi
pfit	reprezentatív
pcoc	pólus
lyen	vászon
swak	mosogató
pcen	elnök
brit	véres
hwec	ostrom
hwet	gyomor
hlos	emeleten
hbon	változatos
pcon	sárgaréz
hsem	csúcstalálkozó
lwac	olcsó
tsos	verseny
kwen	kizárólagosszemély
trun	leszállás
trut	szobor
hrap	tüzérségi
hgap	letartóztatás
trot	hőmérséklet
grin	szomszédság
hjak	ölelés
hpek	csomag
hlus	szarvas
hwos	hálószoba
tsuc	bokor
pcuc	kirakodás
cris	örökös
clun	tölgy
hpes	kellemetlen
nlet	befejezetlen
hrom	program
pyon	zongora
swet	meggyőzni
dric	láthatatlan
tyen	jólismert
hruk	kegyetlenség
frat	kijelölt
hyoc	kísértés
hlep	telikusvonatkozás
nrot	nemzetközi
nret	erőszakosan
hfif	filozófus
pfic	reprezentáció
hmek	érzékeny
hfec	jólét
myik	halászat
truc	lop
tcop	ajak
rwic	visszavonul
htom	gazdaság
glan	Képtár
pren	párhuzamos
hlek	atelicvonatkozás
nrak	kontinens
truk	kopogás
hjim	tiltóhangulat
rwat	nyakkendő
hcep	sejt
dyan	tojás
jrat	mesterséges
nren	ihlet
ksic	válság
tsoc	kutató
lwan	ebéd
hpos	fenyő
hcuf	nyom
tcus	perel
pset	kiterjesztése
hkep	réz
swis	tengerész
prim	császári
trip	ostor
cras	ing
swap	söprés
syet	vázlat
htof	tolvaj
clen	csatorna
kwit	személyiség
klok	többlet
hrok	reform
hguc	szomjúság
kcim	fenyegető
hpem	tenyér
psik	hangszóró
frit	küszöb
cret	nyomai
mrak	lándzsa
syen	ülés
tcup	nyirkos
hyek	utazó
trim	ón-
plak	panasz
hyok	szög
hgam	tehén
hmok	malom
jrac	térkép
kloc	gallér
gyit	szándékosan
hbip	sör
mlet	bársony
lyap	visszaélés
cwen	nyáj
bwan	unokahúg
tses	tizenhárom
jrit	indokol
nlak	kézirat
sron	harcos
cruc	péntek
broc	kefe
dlot	letöltés
krim	krém
pric	hangmagasság
prut	zsűri
hgon	fagyott
sram	szószerint
pfot	edény
hlot	tervezett
djin	érme
hlok	Ugrás
hpep	alma
hwot	sodrott
dlak	megvitatása
brik	Iratkozzfel
nlis	lemásol
hbet	fogadás
pris	vírus
hjik	vendégszeretet
blit	gyerekes
hjap	palást
tfik	tükrözi
hdaf	elérése
hpop	opera
kcaf	bujkál
kcoc	könyök
hrum	javítás
cyim	gyanús
dyic	nevelési
hgoc	gödör
drak	rendetlenség
plas	taps
byin	kétkomponensű
hzap	apátság
nlot	hűség
mrik	mechanikai
hsop	sikeresen
crap	csapda
kyek	torta
nrut	szórakoztat
syes	úr
hjet	tizenhét
hjen	nőies
hmom	édesem
hdec	sajnálatosmódon
lwen	legenda
slot	tűzhely
frac	lázadó
gwan	dagad
mruk	javul
swot	ingovány
zlan	pénztkeres
hnem	élénk
hdes	öltözködés
prak	prédikál
frin	Látvány
hfet	engedélyezi
cros	énekkar
ryon	racionális
tcos	termés
tsen	feldolgozás
hwek	farkas
nlik	elutasítás
klap	szőnyeg
dras	megvet
prop	termékeny
slim	síp
hgis	sajt
krut	harapás
srot	kíséret
bjan	vándorol
nwen	haditengerészet
myas	maszk
kwaf	fejleszt
twis	taxi
pcip	ceruza
srap	növényi
sren	bemutat
tlun	nadrág
hrup	vesztegetés
nrip	szekrény
srup	leves
jran	sebész
bjat	juttatás
gyat	kém
hlem	meggondolatlan
srak	absztrakt
kson	hangsúly
cwis	csütörtök
sret	Tisztelettel
hraf	forgalom
hres	építészet
hsuf	ártalmatlanítása
rwak	repedés
twon	dísz
hfus	felépülés
hkom	kód
djat	vadász
nlut	hírlevél
hsef	kígyó
mris	demokrácia
bric	akkumulátor
mlam	viasz
zran	megosztás
cron	izgalom
hzen	úszás
traf	szalag
cwaf	boríték
srip	cigaretta
mrot	motor
swon	önkéntes
ryak	reakció
pfun	részben
blac	poggyász
mret	minisztérium
hjon	szexuális
kcok	fejsze
dram	gyémánt
kren	váltakozó
tcek	visszhang
hdif	identitás
tfas	nagykövet
hfot	áll
lwas	lusta
hmep	momentanevonatkozás
kfin	kódolás
mwin	képzeletbeli
hrem	sugár
pram	mászó
byac	pince
mren	emlékezetes
swen	szenátus
kras	koporsó
hgun	nyelés
nlok	elkényeztet
ryic	mezőgazdasági
gwin	hinta
srut	rét
hkes	összetett
hfis	lemondás
frak	többször
hnom	összeesküvés
hcop	kocsma
hlec	bors
mlot	dallam
zrat	jelölt
proc	pártfogó
flik	róka
cyet	megbánta
hgim	kémény
slet	sövény
tcok	pontosság
bjit	előzőelhunyt
brot	bimbó
bwat	takaró
hdus	malac
gwat	elefántcsont
kret	kivonat
nwet	megfigyelő
jwan	sugárút
nwis	körmök
mwic	méh
bzat	színész
gyan	izzad
zyit	végrehajtó
blic	illúzió
pcet	bizonytalanság
tsot	szeres
bwit	határ
tres	feszültség
hkof	fogyasztás
nyen	nyögés
hles	hasonlít
cyek	zsák
hjis	tű
gjan	jelenség
prec	viselkedik
drot	ellenőrzött
kcek	ív
twic	csirke
brak	hordó
zwat	szokásos
clap	szokásosvonatkozás
tsec	szakértő
bwin	hatni
cwet	határos
hbek	pék
zlin	olajbogyó
mron	kisteherautó
drin	szán
psap	tegye
gjin	születésnap
clut	kalapács
cwun	illatos
twaf	jelentéktelen
pcot	házikedvenc
krok	koponya
dlik	törvényhozás
cwic	szerencsére
srun	homlokátráncolja
crec	pusztító
jlan	margó
kcip	bajnok
blin	milliárd
ryik	kémiai
mlas	impulzus
flit	pilóta
hzet	csomó
cwik	fenséges
twet	szoknya
mwik	heti
tfis	műszaki
tlon	jármű
cram	hízelgő
grac	erősítése
kraf	varjú
trup	tulajdonság
hduk	horog
cruk	tigris
nrap	házvezetőnő
crot	országút
mlip	milícia
hfoc	fénykép
nres	sértetlenség
plos	plusz
tfam	átlátszó
nlic	tizenkilenc
hwok	képzett
nlen	esszé
fyic	hatékonyság
hwuk	egyedi
hgok	organikus
flic	teológia
flot	úszó
hboc	kötelez
hwoc	boszorkány
syot	stúdió
cwip	pezsgő
hbes	transzparens
lwic	válás
blot	csavar
cwot	fogság
cwam	ér
prik	passzív
hfum	hab
grik	kavics
zrin	kötény
gren	bolygó
hfuc	feltámadás
claf	polc
flas	ventilátor
hjot	tropikus
hbim	önkényes
krek	higany
hbec	jóindulatú
tsaf	öngyilkosság
pwas	bátorság
plot	riporter
kfak	kiad
blak	erkély
hdos	folt
kwis	klasszikus
kcos	vádol
psen	nyugdíj
kres	ige
hzon	majom
srim	aláírás
glin	idegenkedés
mlut	hírhedt
myot	import
fwac	alapító
troc	fáklya
hgaf	nyelvtan
hyop	jacht
ksip	kihalt
sres	kirándulás
hnup	kupola
hzun	makacs
mric	izom
gjat	nagyság
hros	dörzsölés
zrac	gyáván
tros	pirítós
myus	egér
dwac	párbeszéd
byak	kecske
htef	Szabó
hfek	fejlődik
dzan	ró
nyon	névtelen
zrit	hivatalosnyilvántartás
pcos	sport-
hjec	olvad
dlas	töröl
mras	esernyő
mram	ásványi
cwut	fegyverszünet
hbok	kacsa
swun	szappan
dwak	baba
plif	villa
slon	varrás
tfut	gratulál
djac	összeegyeztetni
hjas	elnyomja
kric	nyúl
kwot	karmester
gzan	garancia
clot	játékos
ksek	rovar
psam	testtartás
mwut	bagoly
htem	tartósan
clon	hegedű
dzin	lakó
rwim	illetőleg
hyof	előnyös
dron	sárkány
dwit	hallásibizonyítékonalapuló
sroc	exportáló
hzot	felmondás
djik	habozik
kfik	fedő
ryun	szabályozás
hmes	polgármester
rwac	hardver
sruk	cirkusz
sros	kisebbség
bzan	lázadás
kset	zenekar
bjon	szalonna
hjut	korlátlan
tfen	védekező
zwac	hátrány
dyin	mérlegelés
myis	zenész
mlis	mentálisan
pret	nemmegfelelő
tsek	építészmérnök
hlom	citrom
ksos	köhögés
crok	fejfájás
flin	termékenység
mrun	ács
swec	véletlen
syuk	kanál
blun	ballon
tcep	kréta
fric	felüdítés
rwik	függőleges
rwen	megelőzése
flet	következtetésibizonyítékonalapuló
pfac	kiadó
srek	ecet
tfun	alagút
pwet	kirakósjáték
gyik	matematika
fwot	áttűnés
lwin	kiegyensúlyozott
jwin	máj
bwik	sublativeügy
hdup	BEMÁRT
hnop	monopólium
bwic	tengeralattjáró
ryen	tekintetnélkül
hcem	földrengés
hbos	laboratórium
nrek	munkás
ryim	ritmus
nyic	értelmez
dwas	nagykövetség
rwok	provokál
kram	képtelenség
ksim	kinyilatkoztatóhangulat
clok	csokoládé
pcec	kiváltságos
nyis	remete
tyoc	véletlenegybeesés
grak	karcolás
zlat	kesztyű
hjuk	térdel
trif	földrajz
djit	szisztematikus
pson	legyőzhetetlen
mwis	beruházás
cwec	szóbeli
hdek	világi
blik	sólyom
sloc	pszichológia
brap	darabka
jlat	kalóz
dros	dózis
slam	lazac
pwun	puding
gwik	mágneses
pcop	szivattyú
myen	hasonlóképpen
ksen	oxigén
mrap	művezető
tfot	bizonyítvány
ksus	fürt
trok	retorika
tloc	felhívott
zyan	evezős
nlun	bejelentkezés
hlop	távcső
jlin	helyesírás
lyut	felhős
hsof	hullámtörés
fyik	whisky
klet	viszonylag
hwof	fűzfa
hlum	teve
myet	amatőr
klis	szigetelés
hbaf	életrajz
gwac	szamár
hwum	szóbeszéd
pwik	távlati
pron	pro
myes	havi
mwen	álmodozás
kfic	vakáció
klek	kettyenés
cwon	ovális
lyak	rugalmas
kwon	szótár
hjam	sonka
rwon	szivárvány
crip	ezennel
zwan	előforduló
srok	szerkesztőségi
craf	tizedes
tlok	tartály
brip	pillangó
tfap	diagram
jwat	iker-
pros	üzemeltetési
psun	ómen
clet	szerencsétlenség
hbus	bambusz
dyas	kereskedő
klun	felhalmozódás
jlit	egyhangú
hdom	lidércnyomás
kron	szén
hzam	lekvár
cyot	hallgató
hmem	múzeum
lwam	ábécé
fras	szétszór
psoc	puncs
hgum	gumi
brek	fék
glit	stabilitás
frun	rothadás
gris	agresszív
mroc	súrlódás
bzit	pók
plut	burgonya
glac	kapzsiság
gzac	szaporodnak
prun	pörgés
jlet	naptár
nyim	jelölés
tlos	billió
slut	saláta
fwit	igenlőhangulat
pyen	alkalmazások
nlon	névleges
dren	igazolni
drun	elégedetlenség
cyok	vállvonás
hfop	futball
ryac	társaság
gzin	úttörő
hgip	Fejeskáposzta
tyet	atlétikai
hdof	idiophone
hwup	felbecsülhetetlen
lwek	fogantyú
syec	szenátor
jyak	elhelyezésére
mlim	hangya
fwic	hatékonyan
gzit	terhes
blas	bizalom
jrin	mindennap
gwak	boka
drik	furcsán
prif	változó
jwit	sokféleség
krip	megkülönböztetés
ryot	tiszteletteljes
nwut	járda
kcif	aktívan
jrak	béka
twek	túlzottügy
psot	bűnhődés
pfon	szivacs
sluk	mókus
nlim	irrealishangulat
ksaf	hiány
glak	vulkán
plen	egyensúlyi
kfaf	sál
kyon	kihasználni
jlik	geológiai
psop	útlevél
kfis	üresedés
fyon	affinitás
nram	erkölcstelen
hbuk	keksz
gras	révület
hyos	nyugtalan
flim	film
