hnit	क्रियाकासाधारणरूप
tyat	पुराना
tcit	अधिकारहीनमनोदशा
tcin	दिन
hlam	आना
hwak	स्वर
hkin	जाओन
lwak	perlativeमामला
hpip	प्रगतिशीलपहलू
lyan	लंबेसमयतक
hsac	कहना
kyan	कैसे
htas	फिर
hsic	यहाँ
hcik	सोच
hcak	नीचेप्रसंग
hfan	पाया
hsun	हाथ
hyac	भी
nwan	युवा
tyit	केखिलाफ
tlan	परमेश्वर
twak	delativeमामला
hmin	कुछनहीं
hyas	एकबार
hlap	semelfactiveपहलू
kcac	बाएं
hyic	देखा
hcas	घर
hwac	दुनिया
tyin	तीन
hnun	नियो
hcuk	फोकस
pyan	प्यार
hsis	सदैव
hyam	रात
hyap	राजा
hkic	केबीच
hmas	मन
cyit	दिल
pluc	paucalसंख्या
kyik	क्योंकि
ksak	करणीयमामला
tcun	कियाहुआ
hnim	नाम
tsan	उचितसंज्ञा
klac	देश
hpun	सेपूछा
cyat	दिखाईप्रत्यक्ष
pcac	बेहतर
hmac	पल
hnas	नहींकरसकते
hwic	पानी
twim	desiderativeमनोदशा
kwan	प्रकाश
tlat	शब्द
tyan	द्वार
hsas	सुबह
syat	जबतक
twik	terminativeमामला
hpit	सफेद
pcan	धन
hyis	दरिद्र
mwan	मौत
hfam	प्रपत्र
nwik	inessiveमामला
kcat	एकसाथ
tsac	अक्सर
pyat	मित्र
psan	आधा
hpim	अनिवार्यमनोदशा
hyuc	दौर
hfat	भेजदिया
hcis	पत्नी
kcan	मानना
hsik	सार्वजनिक
htus	राज्यप्रसंग
hpas	बेटा
clat	बच्चे
tyak	इसप्रकार
cwan	आशा
syin	प्रिय
hkuc	उच्च
tyac	पढ़ना
syit	शहर
hlic	पहलेही
hfit	factiveप्रत्यक्ष
tcac	लड़की
hcun	सुनो
ksan	कमसेकम
hyaf	शायद
kyat	वास्तवमें
tcic	शव
hwit	वापसी
cwat	हवा
hfaf	कानून
hput	मदद
lyat	पत्र
ksas	चार
hpic	आपटाइटिवमनोदशा
hfuk	आग
hcam	समय
twat	युद्ध
kyak	कई
tlit	दूसरा
pcin	पीछे
hmut	खोया
clan	हज़ार
hfac	परिवार
twan	आत्मा
hwas	सवाल
syan	सच
htis	निर्माण
tsat	क्षमतामनोदशा
lwik	allativeमामला
nyin	Anthropicलिंग
hfak	पंज
tcak	वहीविषयनिशान
htuc	अलगविषय
hnap	उत्तर
hmit	समुद्र
hcuc	डर
pcat	समझना
syas	शर्तों
hcaf	संदेह
twut	dubitativeमनोदशा
hkis	काली
tlak	लाना
hyus	खूबसूरत
nyit	तरह
htip	दस
ksis	कहानी
hpuk	किताब
hlin	इलेक्ट्रोनिक
hkun	कारण
lyas	ब्याज
lyit	लिखना
pwat	बिस्तर
hnis	आयु
hnut	प्रतितथ्यात्मकसशर्त
slas	कला
hwis	vialisमामला
pyak	भाई
lyin	लाइन
tyas	तालिका
hyun	नदी
kyac	आंख
tfan	अचानक
kcin	गहरा
hmuc	उद्देश्य
cyac	खून
hmap	गुलाब
tlin	ठंड
hyif	आगे
tyam	देरसे
hnaf	मानलीजिए
hkip	लगभग
myan	मेरा
tsin	ज्ञान
hkup	प्रतिलिपि
hsam	पति
hlis	छक्का
cwit	जीवित
cyan	शांति
myat	याद
tyic	प्राकृतिक
hfut	पड़ना
swas	सेवा
hsap	सिवाय
pcit	Copyright
hyim	सेना
kyas	घोड़ा
plic	भविष्य
pcak	पश्चिम
hpis	वेतन
hyuk	लाल
hwun	सोना
twin	इच्छा
plan	प्ले
hpus	कार्यालय
syun	सरकार
kyic	चर्च
htaf	शक्ति
hlun	लंबाई
kyin	कंपनी
kyis	कागज़
mlan	संभावना
hcim	विशेषरूपसे
cyas	भालू
twac	खिड़की
nyat	सुंदरता
hcus	बादवाला
htup	कर्तव्य
htif	दूरी
pyas	पैर
hlas	जंगली
ksin	ग्रीन
hmaf	मुसीबत
myac	मुस्कान
hsim	नींद
kyit	उद्धृत
kwik	quotativeमामला
fwan	यात्रा
slan	अनुसरण
psit	उपस्थिति
hmic	मीठा
hmuf	मुंह
hfin	धनी
tcam	दुश्मन
psuk	टूटा
kcap	पोत
pwan	सम्मिलितव्यक्ति
hfic	प्रभाव
tcuc	दिखाई
hkim	गुप्त
pyin	कृपया
pwit	precativeमनोदशा
pyit	सभ्यरजिस्टर
cwak	बुराई
myak	मार्च
tcas	स्थानों
hlaf	रहना
psat	बजाय
nlan	नीला
psac	असंभव
kcuk	स्कूल
kcit	विवाहित
kcak	भोजन
syis	बीस
tlac	शांत
hcip	भावीपहलू
kwin	देरहीहै
tsit	रोकाहुआ
pyac	भाषा
hsus	सप्ताह
hcup	हॉल
cyap	आश्चर्यहै
tfin	जन्म
fyat	कोर्ट
hnip	सूक्तिकापहलू
tsak	सम्मान
tlas	लायक
syuc	पेड़
plat	दीवार
cyak	स्वर्ग
twip	इब्तिदाईपहलू
mlat	आदेश
swit	jussiveमनोदशा
mwas	माह
hwaf	उत्तम
tyap	अनुभव
ksac	परिस्थिति
syac	ताज़ा
hnuk	शासक
kwak	कवर
tyuk	पूर्व
pwac	पत्थर
hkif	महान
nyac	दिशा
cyis	कुरसी
tyuc	इंतज़ारकररही
tsun	गाँव
tyik	इसबातसेसहमत
hnum	अनुमोदकमनोदशा
slak	सफलता
tsic	कोशिशकररहेहैं
slat	पहाड़ी
hmik	संगीत
hkus	रोना
hsip	सात
hpaf	प्राइवेट
nwas	समाचार
tfac	स्थल
fyan	उद्यान
cwas	शुरू
hfik	बांटनेवालामामला
lyac	सीखना
syik	राजनीतिक
clin	हेनरी
cyin	झूठ
tsas	डालना
cyik	अधिकार
tlap	मंज़िल
cyam	गर्मी
tcut	धर्म
tcap	पलायन
hlut	लेखक
pyun	भूरा
tcuk	दर्द
swan	वसंत
hmun	मुलायम
kyun	कोना
nyak	ट्रेडमार्क
tsis	न्याय
psas	उत्पादितकरें
cyaf	हंसी
hwut	भूलना
hyup	यूरोप
hwap	आठ
psak	मृत्यु
kyap	भयानक
pyic	अपेक्षित
hmim	मध्यम
hsaf	सांस
hmis	वार
hsum	मालिकानानिशान
ksat	सुखद
ksit	गंभीर
tsap	द्वीप
kyam	शिविर
tcum	स्पर्श
cyun	भाग्य
psic	किनारा
tyun	डोमेन
mwit	commissiveमनोदशा
tlut	उपाधि
myit	सर्दी
kfan	आचरण
slac	चलरहा
myin	मिनट
tyip	नेतृत्व
klas	कांच
pfat	बोर्ड
cyic	व्यर्थ
swam	कार्य
syam	सुरक्षित
tsut	चिकित्सक
hlip	शेषपहलू
kcas	अंधेरा
nyun	गरम
hpuc	पेय
tlam	उदाहरण
hfun	क्रोध
tsik	बावजूद
tsam	सीधे
hmup	टोपी
klak	कुत्ता
slin	चांदी
swac	नौकर
kcam	अभिमान
pyik	गाड़ी
myut	नैतिक
syak	दर्ज
swat	तलवार
kyuk	आक्रमण
clac	स्वास्थ्य
tyaf	अनुच्छेद
swic	सामाजिक
tfit	धनकीवापसी
hkaf	आधिकारिक
pcas	झलक
nyam	महिमा
tfat	बारह
pcut	व्यस्त
pwin	वाइन
mwat	स्वाद
fyac	लोहा
syap	वितरितकरना
myap	व्यापार
hyum	काउपयोगकरतेहुए
fwak	जज
klat	कप्तान
twap	समाप्तिपहलू
kcic	जिज्ञासु
kwic	विदेशी
hnif	intensifier
myun	महत्त्व
tlic	अंतमें
cyuk	गरदन
syut	स्वतंत्रता
pfan	पक्षों
kyuc	सूखा
pcap	अलग
tfak	प्रत्यक्ष
tcik	प्रत्यक्षमामला
twun	दूर
tyis	प्रगति
nyap	संकीर्ण
plit	इमारत
hpif	पृष्ठ
pwic	पकड़े
syic	उदास
tsip	पाप
syim	बीमार
tcis	ईमानदार
pcun	बैंक
ksap	स्वीकारकरना
lyam	धारा
tcaf	सावधानीसे
kwac	कान
hpup	रोटी
kcut	चुनना
nwam	जानवर
hsup	Zoicलिंग
nwit	eventiveमनोदशा
tcim	वहीघटनानिशान
tlik	गुणकमामला
kyus	पार
hmus	मोटा
kfat	हिम्मत
nwat	बढ़ने
myic	बारिश
hpum	सतह
swut	पवित्र
clis	जुलाई
mwun	फैशन
hfas	फ़ाइल
cwac	कंधा
kwat	आराम
nwac	किसीकोभी
tcip	चाहाहे
kfac	घास
hmuk	खींचना
plin	प्रारंभिक
kwun	जून
mlik	मछली
klin	राजधानी
pfut	स्तन
twam	दावा
fyin	व्यय
nlit	तुम्हारा
mlin	दसलाख
pyut	प्रार्थनाकरना
hluk	थका
ksut	हत्या
cyut	छाया
psin	भार
kcis	भूरा
pyam	बहादुर
mwac	संतुष्ट
klam	बतारहीहै
ksam	राष्ट्रीय
hfip	निर्बल
klik	घाटी
hkum	काल्पनिकमनोदशा
clas	पीला
cyuc	गर्मी
mlac	अवशेष
syip	समानरूपसे
pwak	डिब्बा
tcif	नुकीला
psip	सिद्धांत
ksik	परिणाम
tsim	ऋतु
flan	विज्ञान
pcam	जाहिरा
kcun	छेद
ksuk	चाचा
mlit	सूची
pcik	ख़तरनाक
kwas	अगस्त
hluc	लोकप्रिय
klit	अज्ञात
flak	परिचित
fyit	परिचितरजिस्टर
lwat	पाठक
plun	घूमना
twas	दोबार
pcis	पुरोहित
fyas	घायल
nlat	महल
myuk	मूर्ख
pfak	पक्ष
tcuf	नौ
cwap	सहानुभूति
plac	विस्फोट
pyap	डाल
lyic	कपड़ेपहने
hcum	शोर
lwit	साहित्य
tsuk	पद
hfup	आंधी
kcik	जेब
nwap	नवंबर
tyim	दिसंबर
psaf	अनुपस्थिति
nlac	आबादी
kyaf	धन्यवाद
slis	शृंखला
pyaf	पक्षी
mlak	मालिक
kwut	कोट
hwuc	संबंधों
pyis	तेजीसे
twuc	धुआं
nwak	जनवरी
mlic	मशीन
tlis	दांत
ksun	जलताहुआ
clam	शर्मकीबातहै
klaf	गुणवत्ता
clit	अंगूठी
fyak	मुहावरा
fyam	मुहावरानिशान
kwap	वर्ग
hwip	रविवार
psis	कविता
pwut	पूर्वनिर्धारित
kyim	खरीदनेकेलिए
clic	खेत
pyip	अप्रैल
kfap	अक्टूबर
psut	वस्तुओं
kcuc	कड़वा
nlap	दास
hsok	ढीला
htet	टेक्स्ट
hbat	सबसेखराब
hrit	श्रेय
hzit	विशेषताएं
hpet	पंद्रह
krac	निर्दयी
hduc	धूल
hrik	व्यावहारिक
hron	रंग
hnus	नाक
hric	अनुकूल
srik	सप्लाई
hten	कल
tlet	hesternalकाल
slap	असफल
hban	पहनना
hdat	अंधा
fran	उड़ना
hdan	शैतान
htec	धीरे-धीरे
hmon	मिशन
cran	त्याग
hran	अंतरात्माकीआवाज
hmos	मंत्री
nrit	शक्ति
hcet	नफ़रत
hset	केंद्र
hrin	तर्कसंगतलिंग
hcot	आनंद
hrip	संक्षिप्त
htep	पूजा
hcif	त्वचा
hrat	छत
kran	ताज
hkon	गढ़
tran	निराशा
hmif	मील
trin	वृत्त
hgin	जेल
hkop	कप
hcen	सदस्य
swin	नागरिक
hrac	हरजगह
hris	रिवाज
hbin	बनने
hmot	मांस
hdut	दूध
hwen	वनस्पतिकलिंग
nran	दुर्लभ
hbac	चचेराभाई
crut	पुल
hsoc	स्टॉक
hsom	नमक
nris	मासूम
hbit	सेबचने
crin	प्रशंसा
rwin	रानी
hgut	गिनती
hdas	नृत्य
hnot	होटल
hdin	भरना
hton	बंदी
hdak	दुकान
hlet	सीढ़ियों
hson	क्षमा
hgek	समलैंगिक
hras	रेत
hsep	सितंबर
hbic	विनाश
hlen	लाइसेंस
hcon	पर्याप्त
hgit	गवाह
kfon	रसोई
hbak	बेचना
tlim	इलाज
hsot	गति
kyut	कंप्यूटर
hnen	सनातन
htek	पुस्तकालय
hzan	युक्त
hbis	आधार
hbun	भ्रमकीस्थिति
kcus	पकाना
hgat	रेगिस्तान
hwus	चुंबन
hbif	हिम
hbot	गेंद
hrut	तर्क
hdit	आशीर्वादमनोदशा
hdis	दोषी
hjan	सज़ा
plis	पुलिस
hgan	छिपाना
hsen	अभियान
nrin	अनजान
hyen	बादल
frif	फरवरी
hdik	रोग
hnek	पहलमामला
hbam	चाची
hmen	नम्र
hdip	विलंबितअनिवार्य
prat	कीसूचनादीप्रत्यक्ष
hdet	आधीरात
hjit	उंगली
hmoc	कहींनकहीं
pran	दबाएँ
kcec	क्षेत्र
hken	हालहीमें
hloc	उदासी
hrak	स्टाफ़
htes	टकटकी
rwan	इनाम
hdon	दानकरना
htot	माथा
hnet	देवदूत
hdun	विलक्षण
croc	त्रुटि
hlon	भोर
hyec	भेड़
hjin	धैर्य
hrec	referential
mran	मक्का
htos	बहुमत
hcos	उपायों
hkoc	कभीकभी
hlif	लाभ
clak	चीनी
hjat	मानवता
tram	ढांचा
hdic	डिस्क
hkok	अकेला
srat	कलाकार
crak	आकर्षण
hmet	ईमेल
hden	निर्णय
gran	राज्यपाल
crac	शाखा
hjac	उत्साह
hdim	अधिष्ठापनकामनोदशा
hcok	जल्दी
hyet	तेल
pwap	पाइप
trat	छाप
tcot	ठोसपदार्थ
hdoc	ओह
hren	प्रवचनप्रसंग
tcon	दोपहर
krin	केबिन
plam	अलार्म
hnes	परेशान
tcen	अवलोकन
hsek	पहलू
plik	उपयुक्त
slik	रेशम
hfen	प्रतिशत
hgen	एजेंट
hnon	संघ
crik	नरक
tcet	दोषपूर्ण
mrat	मिश्रित
hdam	चेतावनीमनोदशा
hgac	महत्वाकांक्षा
htoc	किसीनकिसीतरह
hdac	परामर्श
nwin	संविधान
srit	साधन
hret	दृढ़तासे
nlin	ऑनलाइन
hzat	ज्वार
klic	कॉलेज
hkek	पूंछ
nric	पीढ़ी
hgic	भीड़
hgak	बिल्ली
trit	प्रत्यक्षप्रत्यक्ष
tyot	संधि
hnok	अंतर्वस्तु
crit	छोड़दिया
slen	ग्यारह
srin	स्वाभाविक
hpok	जनजाति
hyot	भयभीतमनोदशा
cric	आश्रय
hruc	अशिष्ट
cwin	सवारी
hzak	मंथन
dyit	उद्योग
hpec	व्यवसाय
nras	नर्स
hcec	शिक्षण
hbut	जूते
hmec	अस्पष्ट
twot	गतिविधि
crat	शनिवार
hkot	क्षमता
hnec	धूप
hwuf	विधवा
cren	बहाना
nrat	तारा
hget	अतिथि
hbik	भलाकरे
brin	आंतरिक
hpot	उपलब्ध
trac	प्रतिरोध
prac	निकालेजातेहैं
hcoc	खोखला
hpon	प्रांत
hwim	सभ्यता
dwan	लटकना
cwok	झटका
hdok	ड्राइव
crun	खजाना
hzik	बीज
hrot	हालकाअतीतकाल
hket	सचेत
hcek	फर्नीचर
hrop	रस्सी
mrac	साहसिककार्य
byit	दावत
trak	वार्षिक
hzin	दक्षिण
sric	समारोह
clik	शिकार
trap	उदार
hrim	ईसाईधर्म
hrus	राजकुमारी
blat	वेदी
cyon	छोटे
hwep	वेब
krat	कार्डिनल
tris	बैंगनी
kcot	इकट्ठा
hben	चुनाव
trik	शराबी
kfit	लिफ़्ट
tcec	विनिमय
nrik	निश्चितलेख
grat	सम्राट
dran	प्रशासन
hpen	पहलेसे
cluk	कुरूप
nrac	हानिरहित
ryin	ट्रेनिंग
hrun	रोल
nwic	इंच
slit	गोलीमार
gzat	समाचारपत्र
krot	काटने
drit	दाढ़ी
hzis	आंसू
hdap	अठारह
sris	ऐतिहासिक
mrut	कुल
nyik	कीचड़
bran	दुल्हन
drat	निर्भर
djan	विशाल
glat	सादगी
hpoc	पतझड़
pras	परदा
hgot	सभा
tret	थिएटर
tras	तुलना
rwit	प्रतिद्वंद्वी
hfon	गठन
klot	कोच
hmum	हास्य
drac	प्रवचन
rwas	उपन्यास
tset	बदला
hdot	बाहरकाठोस
ryut	ईर्ष्यालु
hwon	निमंत्रण
byat	जलादिया
flac	फ़्लैश
prot	चित्र
crek	सुझावहै
htok	संघर्ष
htop	अभिशाप
prit	फटकारकामनोदशा
hces	असहाय
klup	क्लब
hnos	बाढ़
dwin	उदासीनता
prin	क्षितिज
mrit	स्वीकृतमनोदशा
tcoc	खड़ी
hcom	सामंजस्य
grit	गड़गड़ाहट
tlot	बचपन
hgik	घुटना
hwes	बेहोश
hzac	आपसी
hsec	सॉफ्टवेयर
tson	संस्थानों
ryit	रसीद
dlin	अनुशासन
slip	सरक
klon	क्रांति
hfim	किसान
hpom	मंच
cyen	छात्र
hgec	गुफा
hroc	परंपरा
srac	जमाकरें
ryat	त्रासदी
kcen	अछूता
hbap	बिदाई
krik	आलोचना
krap	कपास
fwat	अस्पताल
kcet	किराया
hgas	गैस
pfin	अपरिहार्य
dlit	पत्ती
ryan	अनुवाद
sran	अंतिमसंस्कार
mrin	आटा
hram	रोमानी
dlan	डॉलर
hzas	मज़ाक
hsos	सोलह
klen	कालोनी
gyin	विंग
hsif	शेर
cluc	चालाक
prip	तैयारी
hzut	धुंध
dwat	दवा
krit	ठीककरना
sras	घोंसला
hses	चौदह
brat	आपत्ति
flat	अम्ल
hjic	यानी
slic	हथियार
hbuc	उपयोगकर्ता
tron	नारंगी
byan	स्नान
hrif	आदिम
tlip	स्थापितकरना
blan	टोकरी
kris	सचिव
hyon	इसीबीच
tren	आज
dlat	अव्तनकाल
hzic	विष
tfic	राइफल
tlen	प्रतिभा
hlim	जलवायु
dyat	दोस्त
kcon	रहस्योद्घाटन
dlac	धुलाई
krak	स्वीकारोक्ति
hbas	बकवास
hkec	कोयला
hrek	बहाल
hkos	डोंगी
hwif	उपाध्यक्ष
tric	अस्थायी
hdep	delimitativeपहलू
mwak	ढेर
ksot	हड्डी
hnoc	सोमवार
nlas	मंगलवार
brac	बुधवार
frap	संघीय
pfit	प्रतिनिधि
pcoc	खंभा
lyen	लिनन
swak	सिंक
pcen	अध्यक्ष
brit	रक्तरंजित
hwec	घेराबंदी
hwet	पेट
hlos	ऊपर
hbon	विभिन्न
pcon	पीतल
hsem	शिखर
lwac	सस्ता
tsos	प्रतियोगिता
kwen	अनन्यव्यक्ति
trun	अवतरण
trut	प्रतिमा
hrap	तोपें
hgap	गिरफ्तार
trot	तापमान
grin	आस-पड़ोस
hjak	आलिंगन
hpek	पैक
hlus	मृग
hwos	शयनकक्ष
tsuc	झाड़ी
pcuc	मुक्ति
cris	वारिस
clun	बलूत
hpes	अप्रिय
nlet	अधूरा
hrom	कार्यक्रम
pyon	पियानो
swet	मनाना
dric	अदृश्य
tyen	श्रुत
hruk	क्रूरता
frat	सौंपा
hyoc	प्रलोभन
hlep	TELICपहलू
nrot	अंतरराष्ट्रीय
nret	बलपूर्वक
hfif	दार्शनिक
pfic	प्रतिनिधित्व
hmek	संवेदनशील
hfec	कल्याण
myik	मछलीपकड़ना
truc	चुराना
tcop	ओंठ
rwic	रिटायर
htom	अर्थव्यवस्था
glan	गेलरी
pren	समानांतर
hlek	atelicपहलू
nrak	महाद्वीप
truk	दस्तक
hjim	निषेधात्मकमनोदशा
rwat	टाई
hcep	सेल
dyan	अंडा
jrat	कृत्रिम
nren	प्रेरणा
ksic	संकट
tsoc	खोजकर
lwan	लंच
hpos	देवदार
hcuf	धक्कादें
tcus	मुक़दमाचलाना
pset	विस्तार
hkep	तांबा
swis	नाविक
prim	शाही
trip	कोड़ा
cras	कमीज
swap	घुमाव
syet	स्केच
htof	चोर
clen	चैनल
kwit	व्यक्तित्व
klok	अतिरिक्त
hrok	सुधार
hguc	प्यास
kcim	धमकी
hpem	हथेली
psik	वक्ता
frit	डेवढ़ी
cret	निशान
mrak	भाला
syen	अधिवेशन
tcup	नम
hyek	यात्री
trim	टिन
plak	शिकायत
hyok	कोण
hgam	गाय
hmok	चक्की
jrac	नक्शा
kloc	कॉलर
gyit	जान-बूझकर
hbip	बीयर
mlet	मख़मली
lyap	गाली
cwen	झुण्ड
bwan	भांजी
tses	तेरह
jrit	औचित्यसाबित
nlak	हस्तलिपि
sron	योद्धा
cruc	शुक्रवार
broc	ब्रश
dlot	डाउनलोड
krim	क्रीम
pric	पिच
prut	जूरी
hgon	जमेहुए
sram	सचमुच
pfot	पॉट
hlot	कीयोजनाबनाई
djin	सिक्का
hlok	छलांग
hpep	सेब
hwot	मुड़
dlak	परचर्चा
brik	सदस्यताके
nlis	टाइपकरना
hbet	शर्त
pris	वाइरस
hjik	अतिथिसत्कार
blit	बचकाना
hjap	जामा
tfik	प्रतिबिंबित
hdaf	पाने
hpop	ओपेरा
kcaf	छुपारहेहै
kcoc	कोहनी
hrum	मरम्मत
cyim	संदेहजनक
dyic	शिक्षात्मक
hgoc	गड्ढा
drak	विकार
plas	वाहवाही
byin	बाइनरी
hzap	ऐबी
nlot	निष्ठा
mrik	मशीनी
hsop	सफलतापूर्वक
crap	फंदा
kyek	केक
nrut	कामनोरंजन
syes	महोदय
hjet	सत्रह
hjen	स्त्री
hmom	मधु
hdec	दुर्भाग्यसे
lwen	किंवदंती
slot	स्टोव
frac	विद्रोही
gwan	महातरंग
mruk	मेंसुधार
swot	दलदल
zlan	कमाना
hnem	एनिमेटेड
hdes	ड्रेसिंग
prak	प्रचारितकरना
frin	सीनरी
hfet	काविरोध
cros	सहगान
ryon	तर्कसंगत
tcos	फ़सल
tsen	प्रसंस्करण
hwek	भेड़िया
nlik	इनकार
klap	गलीचा
dras	तिरस्कारकिया
prop	उपजाऊ
slim	सीटी
hgis	पनीर
krut	काटना
srot	अनुरक्षण
bjan	भटकना
nwen	नौसेना
myas	मुखौटा
kwaf	विकसितकरना
twis	टैक्सी
pcip	पेंसिल
srap	सब्ज़ी
sren	एक्ज़िबिट
tlun	पतलून
hrup	दूषण
nrip	मंत्रिमंडल
srup	सूप
jran	सर्जन
bjat	भत्ता
gyat	जासूस
hlem	लापरवाह
srak	अमूर्त
kson	उच्चारण
cwis	गुरूवार
sret	ईमानदारीसे
hraf	यातायात
hres	आर्किटेक्चर
hsuf	निपटान
rwak	दरार
twon	आभूषण
hfus	वसूली
hkom	कोड
djat	शिकारी
nlut	न्यूजलेटर
hsef	साँप
mris	जनतंत्र
bric	बैटरी
mlam	मोम
zran	बांटने
cron	रोमांच
hzen	तैरना
traf	पट्टी
cwaf	लिफ़ाफ़ा
srip	सिगरेट
mrot	मोटर
swon	स्वयंसेवक
ryak	प्रतिक्रिया
pfun	आंशिकरूपसे
blac	सामान
mret	मंत्रालय
hjon	यौन
kcok	कुल्हाड़ी
dram	हीरा
kren	वैकल्पिक
tcek	गूंज
hdif	पहचान
tfas	दूत
hfot	मिलकर
lwas	आलसी
hmep	momentaneपहलू
kfin	एन्कोडिंग
mwin	काल्पनिक
hrem	रे
pram	चढ़ना
byac	तहख़ाना
mren	अविस्मरणीय
swen	सिनेट
kras	ताबूत
hgun	निगलना
nlok	तृप्त
ryic	कृषि
gwin	झूला
srut	घासकामैदान
hkes	जटिल
hfis	इस्तीफा
frak	बार-बार
hnom	साजिश
hcop	पब
hlec	मिर्च
mlot	राग
zrat	उम्मीदवार
proc	संरक्षक
flik	लोमड़ी
cyet	खेदव्यक्तकिया
hgim	चिमनी
slet	बाड़ा
tcok	शुद्धता
bjit	भूतपूर्वमृतक
brot	कली
bwat	कंबल
hdus	सूअर
gwat	हाथीदांत
kret	उद्धरण
nwet	पर्यवेक्षक
jwan	मार्ग
nwis	नाखून
mwic	मधुमक्खी
bzat	अभिनेता
gyan	पसीना
zyit	कार्यकारी
blic	माया
pcet	अनिश्चितता
tsot	तह
bwit	सीमा
tres	तनाव
hkof	सेवन
nyen	कराह
hles	जैसेलगतेहैं
cyek	थैला
hjis	सुई
gjan	घटना
prec	व्यवहारकरतेहैं
drot	संगृहीत
kcek	वक्र
twic	मुर्गी
brak	बैरल
zwat	अभ्यस्त
clap	अभ्यस्तपहलू
tsec	विशेषज्ञ
bwin	प्रभावितकरना
cwet	घिरा
hbek	बेकर,नानबाई
zlin	जैतून
mron	वैन
drin	समर्पित
psap	पर्दाफाश
gjin	जन्मदिन
clut	हथौड़ा
cwun	सुगंधित
twaf	तुच्छ
pcot	पालतू
krok	खोपड़ी
dlik	विधायिका
cwic	भाग्यवश
srun	भ्रूभंग
crec	नष्ट
jlan	हाशिया
kcip	चैंपियन
blin	एकअरब
ryik	रासायनिक
mlas	नाड़ी
flit	पायलट
hzet	गांठ
cwik	आलीशान
twet	स्कर्ट
mwik	साप्ताहिक
tfis	तकनीकी
tlon	वाहन
cram	प्रशंसापूर्ण
grac	मजबूतबनाना
kraf	कौआ
trup	गुण
hduk	अंकुड़ा
cruk	बाघ
nrap	नौकरानी
crot	हाइवे
mlip	मिलिशिया
hfoc	फोटो
nres	अखंडता
plos	प्लस
tfam	पारदर्शक
nlic	उन्नीस
hwok	योग्य
nlen	निबंध
fyic	दक्षता
hwuk	अद्वितीय
hgok	कार्बनिक
flic	धर्मशास्र
flot	नाव
hboc	मजबूरकरना
hwoc	डायन
syot	स्टूडियो
cwip	शैंपेन
hbes	बैनर
lwic	तलाक
blot	पेंच
cwot	क़ैद
cwam	नस
prik	निष्क्रिय
hfum	झाग
grik	कंकड़
zrin	तहबंद
gren	ग्रह
hfuc	जीउठने
claf	शेल्फ
flas	प्रशंसक
hjot	उष्णकटिबंधीय
hbim	मनमाना
krek	पारा
hbec	भलाईकरनेवाला
tsaf	आत्महत्या
pwas	साहस
plot	रिपोर्टर
kfak	ख़रचना
blak	बालकनी
hdos	धब्बा
kwis	क्लासिक
kcos	आरोपलगातेहैं
psen	पेंशन
kres	क्रिया
hzon	बंदर
srim	हस्ताक्षर
glin	अनिच्छा
mlut	कुख्यात
myot	आयात
fwac	संस्थापक
troc	मशाल
hgaf	व्याकरण
hyop	नौका
