ni	عملکاعام
lwoh	لوکیٹوکیس
ml6h	multalتعدادمیں
gjih	کہکشاںصنفی
qlah	سٹارصنفی
bvih	abessiveکیس
dvah	adessiveکیس
je	agentiveکیس
t6	ایجنٹٹرگر
kxeh	کیسسے
gxih	عامصنفی
tc6h	تعریفخطفارم
ts6h	ٹرانسہندسی
ryuh	براہراستاعتراض
gveh	ergativeکیس
pyoh	غیرفعالآواز
qe	تبدوستفعل
xwih	بنیادیاعتراض
myoh	کہاوتکامزاجسے
vrih	حتمیذرہ
va	evitativeکیس
bveh	subessiveکیس
dxeh	دیوانہکیس
dvih	lativeکیس
tsa7h	antessiveکیس
dyeh	adverbialکیس
mleh	صنفیذی
pfeh	empatheticکیخوشی
xleh	گاڑیصنفی
qlih	معدنیصنفی
xloh	زبانیسنجشتھا
dreh	دوسریزبان
bvah	خوداعتمادی
qrah	واقعہکیتبدیلی
fo	مختلفایونٹ
sl6h	crastinalکشیدہ
fyoh	معکوسآواز
bxih	کائناتصنفی
jlih	ترسیلیفعل
kyeh	محلےصنفی
txuh	تحقیقصنفی
s6	فنکارانہصنفی
preh	مریضٹرگر
sr6h	خلاصہصنفی
nyoh	بالواسطہتقریر
zreh	exocentricکیس
kfeh	ماضیperfective
jo	اوییکتیکفعل
kxuh	اجتماعیسنجشتھا
bu	absolutiveکیس
qrih	گرہوںصنفی
kfoh	کورbenefactive
kwoh	ساہچریکیس
pluh	شاندارکیس
jrah	برقیبہاؤ
glih	اچیتنصنفی
p6	propositiveکاموڈ
vrah	پارستبکآواز
lyuh	مسلسلشق
gleh	جلدہیمستقبلتناؤکاشکار
lyoh	applicativeآواز
ps6h	antipassiveآواز
tfuh	continutiveپہلو
nr6h	necessitativeکاموڈ
pr6h	غیرفعالکردنت
sy6h	وجودکیشق
qyih	برائٹشدت
gluh	singulativeتعدادمیں
kwuh	ضرورتسےزیادہکیمدت
xyah	ایککارروائیفعل
vlih	شاندارڈگری
djah	موجودہکردنت
m6	مادہکیرقم
ti7	connectiveکےذرہ
f6	epentheticmorpheme
tli7h	دوردرازمستقبلتناؤکاشکار
si_	مابعدحرفجارکیس
l6	allocutiveمعاہدے
k6	frequentativeپہلو
bzih	ویترتاتمکضمیر
tu7	چلنقاطتعداد
vo	فعلنتھیکرنا
ki7	ماضیمجہولکردنت
ta_	لوکیٹودشاتمککیس
