ni	инфинитив
twuh	dubitativeнастроение
myih	красивая
lyih	интерес
flah	контрфактическоеусловный
we	Vialisдело
clih	холодно
pyih	мир
su	Кроме
kwah	желание
le	длина
bo	вероятность
mlah	беда
syah	улыбка
slih	спать
zi	процитировал
twoh	квотативдело
mo	включительночеловек
kcih	пожалуйста
rwih	просительныйнастроение
mrih	вежливыйрегистр
rwah	предполагаемыйаспект
cyeh	задаватьсявопросом
go	гномическийаспект
tsoh	уважение
za	начинательныйаспект
jwih	повелительныйнастроение
mwih	разрешающийнастроение
sloh	успех
prih	частный
de	распределительныйдело
tcoh	боль
ryah	смех
mlih	мудрый
ye	притяжательныйпадежмаркер
ke	commissiveнастроение
creh	тщеславный
mweh	заканчивающийаспект
nrah	тепло
nroh	гнев
bwah	злость
trah	гордость
mroh	моральный
slah	здоровье
syih	Социальное
pe	прекращениеаспект
krih	любопытный
tfih	усилитель
fe	вконцеконцов
prah	встороне
trih	доказательный
nwah	доказательныйдело
srih	грустный
zo	содержащийокаменелостиПол
nweh	Событийныйнастроение
cwoh	однаитажемероприятиемаркер
plih	мультипликативныйдело
dwah	желательно
kcoh	устала
drah	доволен
lu	спекулятивныйнастроение
frih	знакомыерегистр
frah	ранен
mruh	дурак
djih	симпатия
krah	спасибо
cruh	позор
fyah	фразамаркер
ryih	предопределенный
kruh	горький
tyeh	текст
kreh	жестокий
tleh	hesternalнапряженный
kfah	жертва
dyih	ненавидеть
cloh	рациональныйПол
nloh	наслаждаться
psah	отчаяние
sleh	растительныйПол
nruh	невинный
drih	восхищение
sroh	помилование
brih	база
kluh	путаница
bwih	благословениенастроение
klih	виновный
grih	невежественный
nyeh	инициативадело
nleh	смиренный
dlih	задерживаетсяимператив
proh	сообщаетсядоказательный
mloh	меланхолия
du	единственноечисло
jrih	терпение
freh	справочный
kloh	Одинокий
kroh	очарование
tcuh	энтузиазм
kcuh	индуктивныйнастроение
xa	речьконтекст
nreh	нервный
pseh	аспект
ge	агент
mu	замечаниенастроение
byah	амбиция
pcoh	переполненный
treh	непосредственныйдоказательный
yo	опасающийсянастроение
cwuh	шок
tloh	недавниймимонапряженный
dlah	определенныйстатья
cluh	уродливый
myuh	юмор
dyah	дистальныйдемонстративный
rwuh	ревнивый
troh	проклинающийнастроение
dzih	равнодушие
swuh	предположительныйнастроение
bzah	шутить
gwih	аименно
dloh	сегодняшнийнапряженный
dweh	delimitativeаспект
kweh	эксклюзивныйчеловек
truh	температура
tfeh	целенаправленныйаспект
lyeh	atelicаспект
ru	запретительныйнастроение
kfih	детский
cyoh	подозрительный
nluh	верность
cweh	ловушка
nwoh	анимационный
sruh	трепет
ksoh	сексуальное
lyah	ленивый
mreh	momentaneаспект
pceh	пожалел
bjih	бывшийумерший
pcuh	неопределенность
xi	привычныйаспект
blih	ограниченный
tsuh	тривиальный
fwih	величественный
grah	лестный
brah	произвольный
cleh	благожелательный
sreh	формальныйрегистр
pfah	выгодный
droh	слуховойдоказательный
flih	выведенныйдоказательный
sweh	sublativeдело
ksuh	декларативныйнастроение
pleh	привилегированный
psoh	непобедимый
be	словесный
mwoh	мечтательность
kleh	несчастность
glah	жадность
kseh	утвердительныйнастроение
zrah	неудовлетворенность
dyoh	идиофон
syoh	благоговение
gwah	чрезмерноедело
zlih	irrealisнастроение
zrih	застенчивость
byih	приспособление
ryeh	местоимениемаркер
fwah	скромный
bjah	экстатический
kxah	невозмутимость
gvih	pegativeдело
pxih	истребование
xrah	истекающий
tfoh	сэтоговремени
kxih	раскаяние
ryoh	обвинительныйдело
qyah	озабоченность
r6	причастие
txah	дистанционныйпультмимонапряженный
xrih	историческийнапряженный
dxah	двойнойномер
syuh	супер
vweh	перегруженыработой
n6	сенсорныйдоказательныйнастроение
bweh	навязчиваяидея
xlih	веселый
txih	приступболи
sluh	самостоятельноудовлетворяет
txoh	движениевгору
xe	ретроспективный
pxah	завлечь
vwah	движениеспуск
xyih	элита
fleh	изменяемую
psuh	superessiveдело
syeh	сатир
qi	переходный
xruh	приседать
zwah	Вау
tr6h	движениевверхпотечению
qwah	неамбициозны
xlah	Мировой
tyoh	непереходный
tluh	антиклимакс
qa	текущийактуальностьмаркер
kxoh	собакаустала
rwoh	порядковый
ve	вектор
kyoh	кило
swoh	последовательный
pxeh	партитивныйдело
txeh	увеличительный
dxih	предикативный
pxoh	prolativeдело
pfoh	зафраза
blah	пресыщенный
fyih	нечеловек
xo	актерроль
pc6h	испытаниеномер
greh	центральныйдело
groh	Цельвызывать
dxoh	среднийголос
rweh	косойдело
xwah	пациентдело
xu	предварительносегодняшний
xroh	изнашивания
ks6h	причинный
vi	двоичныйзначение
dleh	модальныйдело
gjeh	еще-если
xreh	коллегапоработе
lwoh	местныйдело
ml6h	multalномер
gjih	галактикаПол
qlah	звездаПол
bvih	abessiveдело
dvah	адессивдело
je	агентивногодело
t6	агентвызывать
kxeh	кдело
gxih	общийПол
tc6h	цитатаформа
ts6h	трансцифра
ryuh	непосредственныйобъект
gveh	эргативдело
pyoh	пассивныйголос
qe	конечныйглагол
xwih	первичнаяобъект
myoh	гномическийнастроение
vrih	окончательныйчастица
va	evitativeдело
bveh	subessiveдело
dxeh	одержимыйдело
dvih	нигиляционнымидело
tsa7h	antessiveдело
dyeh	адвербиальныйдело
mleh	оживитьПол
pfeh	чуткимирадость
xleh	средствопередвиженияПол
qlih	минеральнаяПол
xloh	словесныйимясуществительное
dreh	второйязык
bvah	самоуверенность
qrah	изменениеизмероприятие
fo	другоймероприятие
sl6h	crastinalнапряженный
fyoh	возвратныйголос
bxih	вселеннаяПол
jlih	переходныйглагол
kyeh	местонахождениеПол
txuh	исследованиеПол
s6	художественныйПол
preh	пациентвызывать
sr6h	АбстрактныеПол
nyoh	непрямойречь
zreh	экзоцентричныйдело
kfeh	мимосовершенный
jo	безличныйглагол
kxuh	коллективимясуществительное
bu	абсолютивадело
qrih	планетарныйПол
kfoh	ядроблагословляющий
kwoh	ассоциативныйдело
pluh	превосходныйдело
jrah	электрическийтекущий
glih	неодушевленныйПол
p6	propositiveнастроение
vrah	взаимнаяголос
lyuh	последующийпункт
gleh	скоробудущеенапряженный
lyoh	аппликативныголос
ps6h	antipassiveголос
tfuh	continuativeаспект
nr6h	necessitativeнастроение
pr6h	пассивныйпричастие
sy6h	экзистенциальныйпункт
qyih	светящийсяинтенсивность
gluh	singulativeномер
kwuh	чрезмерноепродолжительность
xyah	Одиндействиеглагол
vlih	превосходныйстепень
djah	настоящеевремяпричастие
m6	количествоизвещество
ti7	соединительныйчастица
f6	вставнойморфема
tli7h	дистанционныйпультбудущеенапряженный
si_	послелогидело
l6	назидательнаяречьсоглашение
k6	многократныйаспект
bzih	дистрибутивныйместоимение
tu7	сплавающейточкойномер
vo	глагол-суффиксов
ki7	мимопассивныйпричастие
ta_	местныйнаправленныйдело
