hnit	tūmahi
hmac	taime
hnas	ekoreetaeae
hwic	wai
twim	hurupūmana
kwan	marama
tlat	kupu
tyan	tatau
hsas	ata
syat	taenoaki
twik	taketerminative
hpit	ma
pcan	moni
hyis	rawakore
mwan	mate
hfam	puka
nwik	takeinessive
kcat	tahi
tsac	maha
pyat	hoa
psan	hawhe
hpim	hurumahu&#39;inga
hyuc	tawhio
hfat	tonoa
hcis	wahine
kcan	whakapono
hsik	tūmatanui
htus	horopakikāwanatanga
hpas	tama
clat	tamariki
tyak	tekupu
cwan	tumanako
syin	aroha
hkuc	tiketike
tyac	tai&#39;o
syit	pa
hlic	kua
hfit	taunakitangafactive
tcac	kotiro
hcun	rongo
ksan	iti
hyaf	pea
kyat	pono
tcic	tinana
hwit	hoki
cwat	rangi
hfaf	ture
hput	tauturui
lyat	reta
ksas	ewha
hpic	huruoptative
hfuk	ahi
hcam	haora
twat	whawhai
kyak	eraverahi
tlit	tuarua
pcin	muri
hmut	ngaro
clan	mano
hfac	teutuafare
twan	wairua
hwas	pātai
syan	teparaumau
htis	hanga
tsat	hurupea
lwik	takeallative
nyin	iraanthropic
hfak	erima
tcak	tautohukaupapataua
htuc	kaupaparerekē
hnap	whakahoki
hmit	moana
hcuc	wehi
pcat	mahino
syas	ngā
hcaf	feaa
twut	hurudubitative
hkis	pango
tlak	kawea
hyus	ataahua
nyit	ahua
htip	tekau
ksis	kōrero
hpuk	pukapuka
hlin	hiko
hkun	pūkete
lyas	moni
lyit	tuhituhi
pwat	moenga
hnis	tau
hnut	counterfactualhere
slas	toi
hwis	takevialis
pyak	teina
lyin	raina
tyas	ripanga
hyun	awa
kyac	kanohi
tfan	ohorere
kcin	hohonu
hmuc	whakaaro
cyac	toto
hmap	whakatika
tlin	makariri
hyif	whakamua
tyam	temutunga
hnaf	whakaaro
hkip	tata
myan	toku
tsin	matauranga
hkup	tārua
hsam	tane
hlis	eono
cwit	ora
cyan	rongo
myat	mahara
tyic	māori
hfut	hinga
swas	ratonga
hsap	kitekahore
pcit	manatārua
hyim	ope
kyas	hoiho
plic	hekemai
pcak	hauauru
hpis	utu
hyuk	whero
hwun	koura
twin	hiahia
plan	tākaro
hpus	tari
syun	kāwanatanga
kyic	hahi
htaf	kaha
hlun	roa
kyin	kamupene
kyis	pepa
mlan	tūponotanga
hcim	rawa
cyas	mau
twac	matapihi
nyat	ataahua
hcus	whakamutunga
htup	ohipa
htif	tawhiti
pyas	waewae
hlas	mohoao
ksin	matomato
hmaf	raruraru
myac	ataata
hsim	moe
kyit	undefined
kwik	takequotative
fwan	toronga
slan	whai
psit	aroaro
hmic	reka
hmuf	mangai
hfin	taonga
tcam	hoariri
psuk	whati
kcap	kaipuke
pwan	tangataurutomo
hfic	mana
tcuc	puta
hkim	ngaro
pyin	tēnā
pwit	huruprecative
pyit	rēhitahuatau
cwak	kino
myak	hīkoi
tcas	wahi
hlaf	noho
psat	heiutu
nlan	puru
psac	taea
kcuk	kura
kcit	faaipoipo
kcak	kai
syis	eruatekau
tlac	ata
hcip	āhuatangateuteu
kwin	hoatu
tsit	mutu
pyac	reo
hsus	wiki
hcup	whare
cyap	fifili
tfin	matamua
fyat	marae
hnip	āhuatangagnomic
tsak	faatura
tlas	utu
syuc	rakau
plat	taiepa
cyak	terangi
twip	āhuatangainchoative
mlat	whakahau
swit	hurujussive
mwas	marama
hwaf	tino
tyap	wheako
ksac	huru
syac	hou
hnuk	duke
kwak	hipoki
tyuk	rawhiti
pwac	kohatu
hkif	pai
nyac	aronga
cyis	heamana
tyuc	tatari
tsun	kainga
tyik	whakaae
hnum	hurufakangofua
slak	angitu
tsic	tamata
slat	pukepuke
hmik	waiata
hkus	tangi
hsip	ewhitu
hpaf	tūmataiti
nwas	rongo
tfac	scene
fyan	kari
cwas	timata
hfik	taketohatoha
lyac	ako
syik	tōrangapū
clin	henry
cyin	takoto
tsas	maka
cyik	mana
tlap	papa
cyam	raumati
tcut	haapa&#39;oraa
tcap	mawhiti
hlut	kaituhi
pyun	parauri
tcuk	mamae
swan	puna
hmun	ngohengohe
kyun	kokonga
nyak	waitohu
tsis	whakawa
psas	tewhakaputa
cyaf	kata
hwut	wareware
hyup	europe
hwap	waru
psak	ehaere
kyap	whakamataku
pyic	hiahiatia
hmim	reo
hsaf	manawa
hmis	whakaaronui
hsum	tautohupānga
ksat	ahuareka
ksit	urupa
tsap	motu
kyam	puni
tcum	paki
cyun	waimarie
psic	uta
tyun	rohe
mwit	hurucommissive
tlut	tohu
myit	hotoke
kfan	whakahaere
slac	rere
myin	meneti
tyip	arahi
klas	karaehe
pfat	poari
cyic	maumau
swam	take
syam	haumaru
tsut	tākuta
hlip	āhuatangacompletive
kcas	pouri
nyun	mahana
hpuc	inu
tlam	tauira
hfun	riri
tsik	Ahakoa
tsam	tika
hmup	pōtae
klak	kuri
slin	hiriwa
swac	pononga
kcam	whakapehapeha
pyik	tereina
myut	morare
syak	tomo
swat	hoari
kyuk	whakaeke
clac	hauora
tyaf	kōwae
swic	pāpori
tfit	moni
hkaf	mōhiohio
pcas	mawhiti
nyam	kororia
tfat	kotahitekaumarua
pcut	whaiwāhi
pwin	waina
mwat	reka
fyac	rino
syap	tuwha
myap	hokohoko
hyum	tewhakamahii
fwak	whakawa
klat	rangatira
twap	āhuatangacessative
kcic	pākiki
kwic	ke
hnif	kupuwhakakaha
myun	faufaa
tlic	hopea
cyuk	kaki
syut	herekore
pfan	taha
kyuc	maroke
pcap	peka
tfak	taunakitanga
tcik	taketaunakitanga
twun	tawhiti
tyis	teahungawhakamua
nyap	kuiti
plit	hanga
hpif	whārangi
pwic	pupuri
syic	pouri
tsip	hara
syim	mate
tcis	faitotonu
pcun	pēke
ksap	fariii
lyam	awa
tcaf	āta
kwac	taringa
hpup	taro
kcut	whiriwhiri
nwam	kararehe
hsup	zoicira
nwit	eventivehuru
tcim	tautohukaupapataua
tlik	takewhakarea
kyus	whiti
hmus	matotoru
kfat	maia
nwat	tupu
myic	ua
hpum	mata
swut	tapu
clis	hürae
mwun	ahua
hfas	kōnae
cwac	pokohiwi
kwat	whakamarie
nwac	tetahi
tcip	ehiahiatiaana
kfac	tarutaru
hmuk	teutu
plin	tuwhera
kwun	june
mlik	ika
klin	whakapaipai
pfut	uma
twam	kerēme
fyin	utu
nlit	koutou
mlin	miriona
pyut	inoi
hluk	ngenge
ksut	patua
cyut	atarangi
psin	taimaha
kcis	hina
pyam	toa
mwac	makona
klam	korero
ksam	motu
hfip	ngoikore
klik	awaawa
hkum	hurunatulá
clas	kōwhai
cyuc	wera
mlac	toenga
syip	rite
pwak	pouaka
tcif	oka
psip	parautumu
ksik	putanga
tsim	wa
flan	pūtaiao
pcam	āhua
kcun	whanau
ksuk	matuakeke
mlit	rārangi
pcik	mōrearea
kwas	akuhata
hluc	rongonui
klit	unknown
flak	waia
fyit	rēhitamaheni
lwat	kaipānui
plun	ehaereana
twas	rua
pcis	tohunga
fyas	patua
nlat	whare
myuk	Kuware
pfak	paingia
tcuf	eiwa
cwap	aroha
plac	pakaru
pyap	makaana
lyic	hahau
hcum	haruru
lwit	tuhinga
tsuk	tāupe
hfup	tupuhi
kcik	pute
nwap	Whiringa
tyim	hakihea
psaf	ngaro
nlac	taupori
kyaf	whakawhetai
slis	raupapa
pyaf	manu
mlak	rangatira
kwut	koti
hwuc	whanaunga
pyis	tere
twuc	paowa
nwak	January
mlic	mīhini
tlis	niho
ksun	tahunga
clam	whakama
klaf	kounga
clit	mowhiti
fyak	kīanga
fyam	tautohukīanga
kwap	tapawha
hwip	Rātapu
psis	rotarota
pwut	undefined
kyim	hoko
clic	mara
pyip	april
kfap	nuku
psut	ahanoa
kcuc	kawa
nlap	pononga
hsok	wewete
htet	kuputuhi
hbat	kinorawa
hrit	nama
hzit	āhuatanga
hpet	tekaumarimanga
krac	nanakia
hduc	puehu
hrik	mahi
hron	tae
hnus	ihu
hric	hoa
srik	supply
hten	inanahi
tlet	hesternalkukū
slap	kore
hban	kakahu
hdat	matapo
fran	rere
hdan	rewera
htec	āta
hmon	misioni
cran	patunga
hran	hinengaro
hmos	minita
nrit	pūngao
hcet	kino
hset	pokapū
hrin	irakouma
hcot	Hepārekarekaki
hrip	poto
htep	koropiko
hcif	kiri
hrat	tuanui
kran	karauna
hkon	whare
tran	teahoaho
hmif	maero
trin	porowhita
hgin	tewhareherehere
hkop	kapu
hcen	mema
swin	ture
hrac	ngawahikatoa
hris	ritenga
hbin	hoko
hmot	kai
hdut	tewaiu
hwen	iravegetal
nran	onge
hbac	whanaunga
crut	piriti
hsoc	kararehe
hsom	tote
nris	harakore
hbit	karo
crin	faahiahia
rwin	kuini
hgut	tatau
hdas	kanikani
hnot	hotel
hdin	whakakiia
hton	herehere
hdak	toa
hlet	pikitanga
hson	tohu
hgek	takatāpui
hras	onepu
hsep	mahuru
hbic	whakangaromanga
hlen	raihana
hcon	makona
hgit	kaiwhakaatu
kfon	kīhini
hbak	hoko
tlim	maimoatanga
hsot	tere
kyut	rorohiko
hnen	mureore
htek	wharepukapuka
hzan	keiroto
hbis	turanga
hbun	whakama
kcus	tunu
hgat	koraha
hwus	kihi
hbif	tio
hbot	pōro
hrut	tautohe
hdit	hurubenedictive
hdis	hara
hjan	whiu
plis	pirihimana
hgan	huna
hsen	ope
nrin	kuware
hyen	kapua
frif	tanguru
hdik	mate
hnek	takekaupapa
hbam	whaeakeke
hmen	haehaa
hdip	nuiwhakaroa
prat	taunakitangakorerotia
hdet	waenganuipo
hjit	maihao
hmoc	vahi
pran	press
kcec	rohe
hken	hou
hloc	wā
hrak	kaimahi
htes	matakitaki
rwan	utu
hdon	foaki
htot	rae
hnet	anahera
hdun	motuhia
croc	hapa
hlon	ata
hyec	hipi
hjin	manawanui
hrec	referential
mran	witi
htos	nuinga
hcos	mehua
hkoc	wā
hlif	pai
clak	huka
hjat	tangata
tram	anga
hdic	kōpae
hkok	mokemoke
srat	artist
crak	ātahu
hmet	īmēra
hden	whakatau
gran	kawana
crac	manga
hjac	ngākau
hdim	huruinductive
hcok	hohoro
hyet	hinu
pwap	putorino
trat	tā
tcot	meatotoka
hdoc	oh
hren	horopakia&#39;oraa
tcon	poutumarotanga
krin	fare
plam	whakaoho
hnes	io
tcen	kitea
hsek	āhuatanga
plik	hāngai
slik	hiraka
hfen	ōrau
hgen	kaihoko
hnon	uniana
crik	tereinga
tcet	hapa
mrat	whakauru
hdam	huruadmonitive
hgac	hao
htoc	hopoia
hdac	whakaaro
nwin	kaupapature
srit	mauhaa
hret	mau
nlin	ipurangi
hzat	tai
klic	kāreti
hkek	hiku
nric	whakatupuranga
hgic	apiapi
hgak	ngeru
trit	taunakitangahāngai
tyot	tiriti
hnok	tirotiro
crit	whakarerea
slen	kotahitekaumatahi
srin	parapara
hpok	iwi
hyot	hurumanawapa
cric	whakaruru
hruc	ware
cwin	eke
hzak	ruru
dyit	ahumahi
hpec	tikanga
nras	tapuhi
hcec	whakaako
hbut	hu
hmec	hākirikiri
twot	mahi
crat	Rāhoroi
hkot	kaha
hnec	mahana
hwuf	pouaru
cren	whakaheke
nrat	whetu
hget	teāheinga
hbik	manaaki
brin	roto
hpot	wātea
trac	ātete
prac	ahu
hcoc	tuwhera
hpon	kawanatanga
hwim	ao
dwan	hang
cwok	ru
hdok	taraiwa
crun	taonga
hzik	uri
hrot	tatakukūmua
hket	ara
hcek	taonga
hrop	taura
mrac	mōrearea
byit	hakari
trak	ā-tau
hzin	tonga
sric	hui
clik	hopu
trap	ohaoha
hrim	Karaitiana
hrus	rangatira
blat	aata
cyon	iti
hwep	tukutuku
krat	faariroi
tris	papura
kcot	kohikohi
hben	pōtitanga
trik	haurangi
kfit	ara
tcec	utu
nrik	tuhingatino
grat	emepera
dran	whakahaere
hpen	mua
cluk	kino
nrac	kinokore
ryin	whakangungu
hrun	pukapuka
nwic	inihi
slit	kopere
gzat	nūpepa
krot	whakairo
drit	pahau
hzis	haehae
hdap	mawaru
sris	hītori
mrut	matotoru
nyik	paru
bran	wahinemarenahou
drat	whakawhirinaki
djan	Rapa
glat	tapatahi
hpoc	ngahuru
pras	arai
hgot	huihuinga
tret	wharetapere
tras	whakataurite
rwit	tāwhai
hfon	hanga
klot	kaiako
hmum	katakata
drac	a&#39;oraa
rwas	pūrākau
tset	utu
hdot	distalfakahāhaa&#39;i
ryut	hae
hwon	fakaafe
byat	tahuna
flac	flash
prot	whakaahua
crek	whakaaro
htok	pakanga
htop	kanga
prit	huruimprecative
hces	rawakore
klup	karapu
hnos	waipuke
dwin	tau&#39;a
prin	pae
mrit	huruassumptive
tcoc	pari
hcom	au
grit	whatitiri
tlot	tamarikitanga
hgik	turi
hwes	mauri
hzac	tahi
hsec	pūmanawa
tson	pūtahi
ryit	rihīti
dlin	ako
slip	pepa
klon	revolution
hfim	ahuwhenua
hpom	pūhara
cyen	ākonga
hgec	ana
hroc	iho
srac	tuku
ryat	ati
kcen	wahine
hbap	poroporoaki
krik	faaino
krap	miro
fwat	hōhipera
kcet	reti
hgas	hau
pfin	mooni
dlit	rau
ryan	translation
sran	tangihanga
mrin	paraoa
hram	whaiāipo
dlan	tāra
hzas	jest
hsos	kotahitekaumaono
klen	koroni
gyin	parirau
hsif	raiona
cluc	mohio
prip	faaineineraa
hzut	kohu
dwat	rongoā
krit	whakatika
sras	kohanga
hses	kotahitekaumawha
brat	whakahe
flat	waikawa
hjic	ara
slic	patu
hbuc	kaiwhakamahi
tron	Orange
byan	pati
hrif	itahitora
tlip	whakapumautia
blan	kete
kris	hēkeretari
hyon	wā
tren	iteneira
dlat	hodiernalkukū
hzic	paihana
tfic	pū
tlen	taranata
hlim	āhuarangi
dyat	hoa
kcon	teheheuraa
dlac	horoi
krak	whaki
hbas	titonoa
hkec	waro
hrek	whakahokia
hkos	waka
hwif	tumuakituarua
tric	rangitahi
hdep	āhuatangadelimitative
mwak	puranga
ksot	wheua
hnoc	Rāhina
nlas	Rātū
brac	Wenerei
frap	hāngaana
pfit	māngai
pcoc	pou
lyen	rinena
swak	totohu
pcen	peresideni
brit	toto
hwec	whakapaea
hwet	puku
hlos	runga
hbon	whānui
pcon	parahi
hsem	tihi
lwac	cheap
tsos	whakataetae
kwen	tangatamotuhake
trun	tauranga
trut	whakapakoko
hrap	pū
hgap	hopu
trot	pāmahana
grin	tata
hjak	awhi
hpek	mōkihi
hlus	hata
hwos	wharemoenga
tsuc	ngahere
pcuc	rere
cris	kainga
clun	oki
hpes	kino
nlet	pahara
hrom	hōtaka
pyon	piano
swet	whakapati
dric	ekitea
tyen	paimohio
hruk	nanakia
frat	faataahia
hyoc	faahemaraa
hlep	āhuatangatelic
nrot	ao
nret	murua
hfif	philosopho
pfic	kanohi
hmek	tairongo
hfec	tokoiteora
myik	hīika
truc	tahae
tcop	ngutu
rwic	putere
htom	ōhanga
glan	taiwhanga
pren	whakarara
hlek	āhuatangaatelic
nrak	fenua
truk	patoto
hjim	hurutōtika
rwat	tie
hcep	pūtau
dyan	huamanu
jrat	horihori
nren	faaururaa
ksic	raruraru
tsoc	rapu
lwan	tina
hpos	paina
hcuf	pana
tcus	hāmene
pset	whakawhānui
hkep	parahi
swis	hēramana
prim	emepaea
trip	whiu
cras	hāte
swap	tahitahi
syet	huahua
htof	tahae
clen	hongere
kwit	tuakiri
klok	taikaha
hrok	whakahou
hguc	matewai
kcim	whakawehi
hpem	nikau
psik	tukuoro
frit	paepae
cret	tohu
mrak	tao
syen	wātū
tcup	haukū
hyek	haere
trim	tine
plak	amuamu
hyok	koki
hgam	kau
hmok	mira
jrac	mahere
kloc	kara
gyit	āta
hbip	pia
mlet	wereweti
lyap	tūkino
cwen	kahui
bwan	irāmutu
tses	kotahitekaumatoru
jrit	whakatika
nlak	papa&#39;i
sron	toa
cruc	Paraire
broc	paraihe
dlot	download
krim	kirīmi
pric	teware
prut	whakawā
hgon	whakatotoka
sram	mooni
pfot	kohua
hlot	whakaritea
djin	moni
hlok	tupeke
hpep	aporo
hwot	miro
dlak	aparau
brik	ohauru
nlis	tuhi
hbet	bet
pris	huaketo
hjik	manaaki
blit	tamariki
hjap	koroka
tfik	whakaata
hdaf	tae
hpop	opera
kcaf	huna
kcoc	tuke
hrum	hanga
cyim	hihira
dyic	mātauranga
hgoc	rua
drak	whakararuraru
plas	pakipaki
byin	rua
hzap	wharemonaki
nlot	taivaore
mrik	aunoa
hsop	pai
crap	mahanga
kyek	keke
nrut	whakangahau
syes	teariki
hjet	tekaumawhitu
hjen	wahine
hmom	honi
hdec	kāore
lwen	kōrero
slot	umu
frac	tutu
gwan	pupuhi
mruk	whakapaiake
swot	repo
zlan	whiwhi
hnem	pakiwaituhi
hdes	tauiraa
prak	kauwhau
frin	tirohanga
hfet	whakahē
cros	himene
ryon	hautanga
tcos	hua
tsen	tukatuka
hwek	wuruhi
nlik	fakafisi
klap	whāriki
dras	whakahawea
prop	hua
slim	whistle
hgis	tīhi
krut	ngau
srot	ārahi
bjan	kopikopiko
nwen	kaipuke
myas	hunakanohi
kwaf	whakawhanake
twis	kapa
pcip	pene
srap	huawhenua
sren	faaiteiteraa
tlun	tarau
hrup	pirau
nrip	rūnanga
srup	hupa
jran	taote
bjat	tahua
gyat	tirohia
hlem	hikaka
srak	waitara
kson	nako
cwis	Tāite
sret	pono
hraf	waka
hres	hoahoanga
hsuf	hokonga
rwak	crack
twon	whakapaipai
hfus	whakaora
hkom	waehere
djat	kirehemohoao
nlut	pānui
hsef	nakahi
mris	manapori
bric	pūhiko
mlam	warepi
zran	tefaaiteraai
cron	oaoa
hzen	kaukau
traf	Unuhia
cwaf	kōpaki
srip	hikareti
mrot	nekeneke
swon	tūao
ryak	tauhohenga
pfun	wāhanga
blac	mea
mret	minita
hjon	fakasekisualé
kcok	toki
dram	taimana
kren	kē
tcek	paoro
hdif	tuakiri
tfas	karere
hfot	ngā
lwas	mangere
hmep	āhuatangamomentane
kfin	whakawaehere
mwin	pohewa
hrem	hihi
pram	piki
byac	puhera
mren	fakangalongata&#39;a
swen	kaumatua
kras	kāwhena
hgun	horomia
nlok	hema
ryic	ahuwhenua
gwin	tārere
srut	raorao
hkes	matatini
hfis	rīhainatanga
frak	toutou
hnom	whakatakotoriaana
hcop	pāparakāuta
hlec	pepa
mlot	himene
zrat	kaitono
proc	kaiwhakaruruhau
flik	pokiha
cyet	undefined
hgim	tumere
slet	taiepa
tcok	tika
bjit	muapohe
brot	tupu
bwat	paraikete
hdus	poaka
gwat	rei
kret	tangohanga
nwet	kaimātakitaki
jwan	huarahi
nwis	whao
mwic	pī
bzat	kaiwhakaari
gyan	werawera
zyit	whakahaere
blic	tokonga
pcet	papûore
tsot	korukoru
bwit	rohe
tres	ahotea
hkof	kohi
nyen	aue
hles	rite
cyek	peke
hjis	ngira
gjan	tītohunga
prec	whakahihi
drot	temana
kcek	ānau
twic	heihei
brak	oko
zwat	ritenga
clap	āhuatangaritenga
tsec	tohunga
bwin	maongo
cwet	rohe
hbek	kaihangataro
zlin	oriwa
mron	van
drin	whakangaromia
psap	makaatu
gjin	huritau
clut	hama
cwun	kakara
twaf	mama
pcot	haumiri
krok	angaanga
dlik	ture
cwic	waimarie
srun	koromingi
crec	whakangaro
jlan	tawhē
kcip	toa
blin	piriona
ryik	matū
mlas	pini
flit	pairati
hzet	kono
cwik	nui
twet	pito
mwik	wiki
tfis	hangarau
tlon	waka
cram	undefined
grac	tewhakakaha
kraf	tikaokao
trup	huanga
hduk	matau
cruk	taika
nrap	Kāti
crot	ara
mlip	hōia
hfoc	whakaahua
nres	tapatahi
plos	me
tfam	mārama
nlic	kotahitekaumaiwa
hwok	tohu
nlen	tuhingaroa
fyic	pai
hwuk	ahurei
hgok	organic
flic	teolosia
flot	manu
hboc	oblige
hwoc	makutu
syot	studio
cwip	piari
hbes	kara
lwic	whakarere
blot	tutaki
cwot	whakarau
cwam	rua
prik	hāngū
hfum	pahukai
grik	kirikiri
zrin	taupaki
gren	ao
hfuc	aranga
claf	papa
flas	powhiriwhiri
hjot	pārūrū
hbim	tenoho
krek	mēkuri
hbec	undefined
tsaf	whakamomori
pwas	kato
plot	kaipūrongo
kfak	moni
blak	taupee
hdos	tafetafeta
kwis	aronui
kcos	whakapangia
psen	penihana
kres	kupumahi
hzon	makimaki
srim	waitohu
glin	hiahia
mlut	kati
myot	kawemai
fwac	kaiwhakarewa
troc	rama
hgaf	wetereo
hyop	yacht
ksip	ngaro
sres	haerenga
hnup	kikorangi
hzun	pakeke
mric	uaua
gjat	nui
hros	mirimiri
zrac	wehi
tros	tōhi
myus	kiore
dwac	kōrero
byak	koati
htef	kaka
hfek	tupu
dzan	tangohia
nyon	ingoamuna
zrit	rēhitaōkawa
pcos	hākinakina
hjec	rewanga
dlas	muku
mras	hamarara
mram	kohuke
cwut	rangaawatea
hbok	rakiraki
swun	hopi
dwak	tamapua
plif	pātū
slon	tuitui
tfut	temanaaki
djac	houhia
hjas	pehi
kric	rapeti
kwot	pēne
gzan	taurangi
clot	kaitākaro
ksek	pepeke
psam	tūranga
mwut	ruru
htem	tūturu
clon	wairingi
dzin	noho
rwim	aua
hyof	painga
dron	tarakona
dwit	taunakitangamāna
sroc	kaweake
hzot	whakamutunga
djik	roa
kfik	taupoki
ryun	ture
hmes	tavana
rwac	pūmārō
sruk	circus
sros	tokoiti
bzan	ngangau
kset	puoru
bjon	pēkana
hjut	mutunga
tfen	tiakina
zwac	ngoikoretanga
dyin	tehurihuri
myis	kaiwhakatangitangi
mlis	hinengaro
pret	takarepa
tsek	kaihoahoa
hlom	rēmana
ksos	mare
crok	ānini
flin	hua
mrun	kāmura
swec	tupurangi
syuk	pūnu
blun	poihau
tcep	tioka
fric	efakaivifo&#39;ou
rwik	poutū
rwen	ārai
flet	taunakitangainferential
pfac	kaiwhakaputa
srek	winika
tfun	kauhanga
pwet	puzzle
gyik	pāngarau
fwot	memeha
lwin	tautika
jwin	ate
bwik	takesublative
hdup	tuku
hnop	tokitoki
bwic	submarine
ryen	ahakoa
hcem	ru
hbos	taiwhanga
nrek	kaimahi
ryim	manawataki
nyic	whakamāori
dwas	karere
rwok	whakapataritari
kram	ngoikore
ksim	huruparau
clok	tiakarete
pcec	faingamālie
nyis	moke
tyoc	tāpiritanga
grak	wahanga
zlat	karapu
hjuk	tuturi
trif	geography
djit	nahanaha
pson	undefined
mwis	haumi
cwec	waha
hdek	fakamāmaní
blik	kahu
sloc	hinengaro
brap	mau
jlat	pirate
dros	horopeta
slam	hāmana
pwun	purini
gwik	autō
pcop	papu
myen	meimeitatau
ksen	hāora
mrap	kaiwhakahauhau
tfot	tiwhikete
ksus	tautau
trok	kōrero
tloc	sitepu
zyan	kaihapaihoe
nlun	takiuru
hlop	karu
jlin	takikupu
lyut	kapua
hsof	ngaru
fyik	wehikē
klet	āhua
hwof	whiro
hlum	kamera
myet	runaruna
klis	wehe
hbaf	haurongo
gwac	kaihe
hwum	rongo
pwik	tirohanga
pron	pro
myes	marama
mwen	undefined
kfic	hararei
klek	pāwhiri
cwon	porotītaha
lyak	rapa
kwon	papakupu
hjam	ham
rwon	aniwaniwa
crip	konei
zwan	puta
srok	ētita
craf	kāpara
tlok	tank
brip	pūrerehua
tfap	tūtohi
jwat	māhanga
pros	whakahaere
psun	tohu
clet	undefined
hbus	bamboo
dyas	kaihoko
klun	haaputuputuraa
jlit	loto
hdom	moepapa
kron	waro
hzam	tāmi
cyot	whakarongo
hmem	taonga
lwam	rārangipū
fras	titaritari
psoc	tokua
hgum	kāpia
brek	wahia
glit	pūmautanga
frun	pirau
gris	pukuriri
mroc	waku
bzit	pūngāwerewere
plut	potato
glac	apo
gzac	tini
prun	miro
jlet	maramataka
nyim	kōharinga
tlos	trillion
slut	huamata
fwit	hurufaaiteraa
pyen	tono
nlon	rereingoa
dren	whakaatu
drun	nanu
cyok	ueuei
hfop	whutupaoro
ryac	mahingātahi
gzin	pionie
hgip	kāpeti
tyet	tu&#39;aro
hdof	ideophone
hwup	tinotaonga
lwek	hua
syec	toofa
jyak	hāngai
mlim	popokorua
fwic	tōtika
gzit	hapu
blas	kitá
jrin	rā
gwak	pona
drik	piro
prif	tāupe
jwit	kanorau
krip	whakahāwea
ryot	undefined
nwut	poromu
kcif	mātātoa
jrak	poraka
twek	takeexessive
psot	whakamarie
pfon	hautai
sluk	kirera
nlim	huruirrealis
ksaf	scarcity
glak	puia
plen	taurite
kfaf	kameta
kyon	whakamahi
jlik	arowhenua
psop	uruwhenua
kfis	vata
fyon	hunaonga
nram	moepuku
hbuk	pihikete
gras	matakite
hyos	manawapa
flim	kiriata
plet	papa
rwam	ngota
blis	vanilla
zlit	āwhina
fyut	mōkinokino
crim	koeko
hjif	tika
crif	mamahu
lwap	hatere
tyon	tātaiarorangi
mrim	rīrapa
drut	whakamārama
nrim	karahipi
kruc	honu
kwam	kaitohutohu
jrik	kirikiti
dlut	rawea,
pyot	kukupa
dyon	urutaunga
prap	operator
bzin	tohu
tyek	tapatoru
trec	kaitiaki
nron	hauwai
pyet	pūreretā
tsok	kowaowaotia
zyin	mautonu
slek	pahikara
jyin	engineering
ryas	tuku
zrak	tāmata
