ni	Infinitiv
gwih	nämlich
dloh	hodiernalTempus
dweh	delimitativeAspekt
kweh	exklusivPerson
truh	Temperatur
tfeh	telicAspekt
lyeh	AtelicAspekt
ru	unerschwinglichStimmung
kfih	kindisch
cyoh	verdächtig
nluh	Loyalität
cweh	Falle
nwoh	lebhaft
sruh	Nervenkitzel
ksoh	sexuell
lyah	faul
mreh	momentaneAspekt
pceh	bedauerte
bjih	ehemaligeVerstorbene
pcuh	Unsicherheit
xi	gewohnheitsmäßigAspekt
blih	begrenzt
tsuh	trivial
fwih	majestätisch
grah	schmeichelhaft
brah	willkürlich
cleh	wohlwollend
sreh	formalNeuregistrieren
pfah	vorteilhaft
droh	Hör-beweiskräftig
flih	folgerndbeweiskräftig
sweh	sublativeFall
ksuh	deklarativeStimmung
pleh	privilegiert
psoh	unbesiegbar
be	verbal
mwoh	Träumereien
kleh	Elend
glah	Gier
kseh	positivStimmung
zrah	Unzufriedenheit
dyoh	idiophone
syoh	awed
gwah	übertriebenFall
zlih	irrealisStimmung
zrih	Schüchternheit
byih	Anpassung
ryeh	PronomenMarker
fwah	sparsam
bjah	begeistert
kxah	Gleichmut
gvih	pegativeFall
pxih	Rechtfertigung
xrah	auslaufenden
tfoh	fortan
kxih	Reue
ryoh	prosecutiveFall
qyah	Beschäftigung
r6	Partizip
txah	entferntVergangenheitTempus
xrih	historischTempus
dxah	DualNummer
syuh	Super
vweh	überarbeitet
n6	sensorischbeweiskräftigStimmung
bweh	Obsession
xlih	urkomisch
txih	Zucken
sluh	selbstzufrieden
txoh	Bewegungbergauf
xe	retrospektiv
pxah	verstricken
vwah	Bewegungbergab
xyih	Elite
fleh	gebeugt
psuh	superessiveFall
syeh	Satyr
qi	transitiv
xruh	kauern
zwah	Beeindruckend
tr6h	Bewegungflussaufwärts
qwah	anspruchslos
xlah	weltweit
tyoh	intransitiv
tluh	Enttäuschung
qa	StromRelevanzMarker
kxoh	Hundmüde
rwoh	Ordinal-
ve	Vektor
kyoh	Kilo
swoh	sequentiell
pxeh	partitivFall
txeh	Unterstützten
dxih	prädikativ
pxoh	prolativeFall
pfoh	ProfiPhrase
blah	blasiert
fyih	nichtMensch
xo	DarstellerRolle
pc6h	VersuchNummer
greh	zentrischFall
groh	Torauslösen
dxoh	MitteStimme
rweh	schrägFall
xwah	geduldigFall
xu	vorhodiernal
xroh	abnutzen
ks6h	kausativ
vi	Binär-Wert
dleh	modalFall
gjeh	else-if
xreh	Mitarbeiter
lwoh	LokativFall
ml6h	multalNummer
gjih	GalaxisGeschlecht
qlah	StarGeschlecht
bvih	AbessivFall
dvah	AdessivFall
je	AgensFall
t6	Agentauslösen
kxeh	zuFall
gxih	verbreitetGeschlecht
tc6h	Zitatbilden
ts6h	transZiffer
ryuh	direktObjekt
gveh	ergativeFall
pyoh	passivStimme
qe	endlichVerb
xwih	primärObjekt
myoh	gnomicStimmung
vrih	FinaleTeilchen
va	evitativeFall
bveh	subessiveFall
dxeh	besessenFall
dvih	geberischenFall
tsa7h	antessiveFall
dyeh	adverbialFall
mleh	animierenGeschlecht
pfeh	einfühlsamFreude
xleh	FahrzeugGeschlecht
qlih	MineralGeschlecht
xloh	verbalSubstantiv
dreh	zweiteSprache
bvah	selbstVertrauen
qrah	VeränderungvonEvent
fo	andersEvent
sl6h	crastinalTempus
fyoh	reflexivStimme
bxih	UniversumGeschlecht
jlih	transitivVerb
kyeh	GegendGeschlecht
txuh	ForschungGeschlecht
s6	künstlerischGeschlecht
preh	geduldigauslösen
sr6h	abstraktGeschlecht
nyoh	indirektRede
zreh	exocentricFall
kfeh	Vergangenheitperfektiv
jo	unpersönlichVerb
kxuh	KollektivSubstantiv
bu	absolutiveFall
qrih	Planeten-Geschlecht
kfoh	Aderbenefactive
kwoh	assoziativFall
pluh	SuperlativFall
jrah	elektrischStrom
glih	unbelebtGeschlecht
p6	propositiveStimmung
vrah	reziprokStimme
lyuh	aufeinanderfolgendeKlausel
gleh	baldZukunftTempus
lyoh	applicativeStimme
ps6h	AntipassivStimme
tfuh	weiterAspekt
nr6h	necessitativeStimmung
pr6h	passivPartizip
sy6h	ExistenzKlausel
qyih	leuchtendIntensität
gluh	singulativeNummer
kwuh	übertriebenDauer
xyah	SingleAktionVerb
vlih	SuperlativGrad
djah	GeschenkPartizip
m6	MengevonSubstanz
ti7	verbindendTeilchen
f6	epentheticMorphem
tli7h	entferntZukunftTempus
si_	postpositionalFall
l6	AnspracheZustimmung
k6	frequentativeAspekt
bzih	distributivePronomen
tu7	Floating-Point-Zahl
vo	Verb-Endung
ki7	VergangenheitpassivPartizip
ta_	LokativRichtungs-Fall
