hnit	infinitiv
hsis	alltid
hyam	natt
hyap	kung
hkic	mellan
hmas	sinne
cyit	hjärta
pluc	paucalantal
kyik	därföratt
ksak	orsaksfall
tcun	gjort
hnim	namn
tsan	rättsubstantiv
klac	land
hpun	bad
cyat	synligbevis
pcac	bättre
hmac	ögonblick
hnas	kanej
hwic	vatten
twim	desiderativehumör
kwan	ljus
tlat	ord
tyan	dörr
hsas	morgon-
syat	framtills
twik	terminativefall
hpit	vit
pcan	pengar
hyis	fattig
mwan	död
hfam	form
nwik	inessivefall
kcat	medvarandra
tsac	mångagånger
pyat	vän
psan	halv
hpim	nödvändigthumör
hyuc	runda
hfat	skickat
hcis	fru
kcan	tro
hsik	offentlig
htus	angesammanhang
hpas	son
clat	barn
tyak	således
cwan	hoppas
syin	kär
hkuc	hög
tyac	läsa
syit	stad
hlic	redan
hfit	factivebevis
tcac	flicka
hcun	höra
ksan	minst
hyaf	kanske
kyat	verkligen
tcic	kropp
hwit	kommatillbaka
cwat	luft
hfaf	lag
hput	hjälp
lyat	brev
ksas	fyra
hpic	OPTATIVhumör
hfuk	brand
hcam	timme
twat	krig
kyak	flera
tlit	andra
pcin	Bakom
hmut	förlorat
clan	tusen
hfac	familj
twan	själ
hwas	fråga
syan	sanning
htis	tillverkning
tsat	potentialhumör
lwik	allativefall
nyin	antropiskakön
hfak	fem
tcak	sammaämnemarkör
htuc	olikämne
hnap	svar
hmit	hav
hcuc	rädsla
pcat	förstå
syas	villkor
hcaf	tvivel
twut	tvivelaktighumör
hkis	svart
tlak	tamed
hyus	vacker
nyit	sortera
htip	tio
ksis	berättelse
hpuk	boka
hlin	elektronisk
hkun	konto
lyas	intressera
lyit	skriva
pwat	säng
hnis	ålder
hnut	kontravillkorlig
slas	konst
hwis	Vialisfall
pyak	bror
lyin	linje
tyas	tabell
hyun	flod
kyac	öga
tfan	plötsligt
kcin	djup
hmuc	syfte
cyac	blod
hmap	restesig
tlin	kall
hyif	fram-
tyam	sent
hnaf	anta
hkip	nästan
myan	mina
tsin	kunskap
hkup	kopiera
hsam	man
hlis	sex
cwit	levande
cyan	fred
myat	komihåg
tyic	naturlig
hfut	falla
swas	service
hsap	bortsettfrån
pcit	upphovsrätt
hyim	armén
kyas	häst
plic	framtida
pcak	väster
hpis	betala
hyuk	röd
hwun	guld-
twin	önskan
plan	spela
hpus	kontor
syun	regering
kyic	kyrka
htaf	styrka
hlun	längd
kyin	företag
kyis	papper
mlan	sannolikhet
hcim	isynnerhet
cyas	björn
twac	fönster
nyat	skönhet
hcus	senare
htup	tull
htif	avstånd
pyas	fot
hlas	vild
ksin	grön
hmaf	problem
myac	leende
hsim	sova
kyit	citerade
kwik	quotativefall
fwan	besök
slan	Följ
psit	närvaro
hmic	ljuv
hmuf	mun
hfin	rik
tcam	fiendens
psuk	bruten
kcap	fartyg
pwan	inclusiveperson
hfic	inflytande
tcuc	synas
hkim	hemlighet
pyin	snälladu
pwit	BEDJANDEhumör
pyit	artigregistrera
cwak	ondska
myak	Mars
tcas	ställen
hlaf	blikvar
psat	istället
nlan	blå
psac	omöjlig
kcuk	skola
kcit	gift
kcak	mat
syis	tjugo
tlac	tyst
hcip	blivandeaspekt
kwin	ger
tsit	stoppad
pyac	språk
hsus	vecka
hcup	hall
cyap	undra
tfin	född
fyat	domstol
hnip	gnomicaspekt
tsak	respektera
tlas	värde
syuc	träd
plat	vägg
cyak	himmel
twip	inchoativeaspekt
mlat	kommando
swit	jussivehumör
mwas	månad
hwaf	perfekt
tyap	attuppleva
ksac	omständigheter
syac	färsk
hnuk	hertig
kwak	täckt
tyuk	öster
pwac	sten
hkif	ädel
nyac	riktning
cyis	stol
tyuc	väntar
tsun	by
tyik	enas
hnum	toleranthumör
slak	framgång
tsic	påfrestande
slat	kulle
hmik	musik-
hkus	gråta
hsip	sju
hpaf	privat
nwas	nyheter
tfac	scen
fyan	trädgård
cwas	börja
hfik	distributivfall
lyac	lärdig
syik	politisk
clin	henry
cyin	lögn
tsas	kasta
cyik	myndighet
tlap	golv
cyam	sommar
tcut	religion
tcap	fly
hlut	författare
pyun	brun
tcuk	smärta
swan	vår
hmun	mjuk
kyun	hörn
nyak	varumärke
tsis	rättvisa
psas	producera
cyaf	skratta
hwut	glömma
hyup	europa
hwap	åtta
psak	godkänd
kyap	fruktansvärd
pyic	nödvändig
hmim	medium
hsaf	andetag
hmis	klok
hsum	possessivmarkör
ksat	trevlig
ksit	grav
tsap	ö
kyam	läger
tcum	Rör
cyun	förmögenhet
psic	stötta
tyun	domän
mwit	commissivehumör
tlut	grad
myit	vinter-
kfan	uppträdande
slac	spring
myin	minut
tyip	bly
klas	glas
pfat	styrelse
cyic	fåfäng
swam	angelägenheter
syam	säker
tsut	läkare
hlip	completiveaspekt
kcas	mörker
nyun	värma
hpuc	dryck
tlam	exempel
hfun	ilska
tsik	trots
tsam	direkt
hmup	hatt
klak	hund
slin	silver-
swac	tjänare
kcam	stolthet
pyik	tåg
myut	moralisk
syak	ange
swat	svärd
kyuk	gesigpå
clac	hälsa
tyaf	stycke
swic	social
tfit	återbetalning
hkaf	officiell
pcas	blick
nyam	härlighet
tfat	tolv
pcut	engagerade
pwin	vin
mwat	smak
fyac	järn-
syap	distribuera
myap	handel
hyum	användersigav
fwak	bedöma
klat	kapten
twap	upphörandeaspekt
kcic	nyfiken
kwic	utländsk
hnif	intensifierings
myun	betydelse
tlic	slutligen
cyuk	hals
syut	frihet
pfan	sidor
kyuc	torr
pcap	åtsidan
tfak	bevis
tcik	bevisfall
twun	avlägsen
tyis	framsteg
nyap	smal
plit	byggnad
hpif	sida
pwic	innehav
syic	ledsen
tsip	synd
syim	sjuk
tcis	ärlig
pcun	bank
ksap	acceptera
lyam	strömma
tcaf	försiktigt
kwac	öra
hpup	bröd
kcut	välja
nwam	djur-
hsup	Zoickön
nwit	eventivehumör
tcim	sammahändelsemarkör
tlik	multiplikativfall
kyus	korsa
hmus	tjock
kfat	våga
nwat	växa
myic	regn
hpum	yta
swut	helig
clis	juli
mwun	mode
hfas	fil
cwac	axel
kwat	bekvämlighet
nwac	någon
tcip	önskad
kfac	gräs
hmuk	dra
plin	öppning
kwun	juni
mlik	fisk
klin	huvudstaden
pfut	bröst
twam	krav
fyin	bekostnad
nlit	din
mlin	miljon
pyut	be
hluk	trött
ksut	döda
cyut	skugga
psin	vikt
kcis	grå
pyam	modig
mwac	nöjd
klam	talande
ksam	nationell
hfip	svag
klik	dal
hkum	spekulativhumör
clas	gul
cyuc	värme
mlac	liggerkvar
syip	lika
pwak	låda
tcif	spetsig
psip	princip
ksik	följd
tsim	säsong
flan	vetenskap
pcam	tydligen
kcun	borra
ksuk	farbror
mlit	lista
pcik	farlig
kwas	augusti
hluc	populär
klit	okänd
flak	bekant
fyit	bekantregistrera
lwat	läsare
plun	gående
twas	dubbelt
pcis	präst
fyas	sårad
nlat	palats
myuk	lura
pfak	förmån
tcuf	nio
cwap	sympati
plac	brista
pyap	sätta
lyic	klädd
hcum	buller
lwit	litteratur
tsuk	rang
hfup	storm
kcik	ficka
nwap	november
tyim	december
psaf	frånvaro
nlac	befolkning
kyaf	tacka
slis	serie
pyaf	fågel
mlak	ägare
kwut	täcka
hwuc	relationer
pyis	snabbt
twuc	rök
nwak	januari
mlic	maskin
tlis	tänder
ksun	brinnande
clam	skam
klaf	kvalitet
clit	ringa
fyak	fras
fyam	frasmarkör
kwap	fyrkant
hwip	söndag
psis	poesi
pwut	förutbestämda
kyim	köpa
clic	fält
pyip	april
kfap	oktober
psut	föremål
kcuc	bitter
nlap	slav
hsok	lösa
htet	text
hbat	värst
hrit	kreditera
hzit	funktioner
hpet	femton
krac	grym
hduc	damm
hrik	praktisk
hron	färg
hnus	näsa
hric	vänlig
srik	förse
hten	igår
tlet	hesternalspänd
slap	misslyckas
hban	Bär
hdat	blind
fran	flyga
hdan	jäkel
htec	gradvis
hmon	uppdrag
cran	offra
hran	samvete
hmos	minister
nrit	energi
hcet	hat
hset	centrum
hrin	rationellkön
hcot	njutav
hrip	kort
htep	dyrkan
hcif	hud
hrat	tak
kran	krona
hkon	slott
tran	förtvivlan
hmif	mile
trin	cirkel
hgin	fängelse
hkop	kopp
hcen	medlem
swin	civil
hrac	överallt
hris	beställnings-
hbin	passande
hmot	kött
hdut	mjölk
hwen	vegetalkön
nran	sällsynt
hbac	kusin
crut	bro
hsoc	stock
hsom	salt-
nris	oskyldig
hbit	undvika
crin	beundran
rwin	drottning
hgut	räkna
hdas	dansa
hnot	hotell
hdin	fylla
hton	fånge
hdak	handla
hlet	trappa
hson	förlåta
hgek	gay
hras	sand
hsep	september
hbic	ruin
hlen	licens
hcon	tillräckligt
hgit	bevittna
kfon	kök
hbak	sälja
tlim	behandling
hsot	fart
kyut	dator
hnen	evig
htek	bibliotek
hzan	sominnehåller
hbis	bas
hbun	förvirring
kcus	kock
hgat	öken-
hwus	kyss
hbif	is
hbot	boll
hrut	argument
hdit	välsignelsehumör
hdis	skyldig
hjan	bestraffning
plis	polis
hgan	dölja
hsen	expedition
nrin	okunnig
hyen	moln
frif	februari
hdik	sjukdom
hnek	initiativfall
hbam	moster
hmen	ödmjuk
hdip	försenadnödvändigt
prat	rapporteradbevis
hdet	midnatt
hjit	finger
hmoc	någonstans
pran	Tryck
kcec	område
hken	nyligen
hloc	melankoli
hrak	personal
htes	blick
rwan	belöning
hdon	donera
htot	panna
hnet	ängel
hdun	singularis
croc	fel
hlon	gryning
hyec	får
hjin	tålamod
hrec	referential
mran	majs
htos	majoritet
hcos	åtgärder
hkoc	ibland
hlif	vinst
clak	socker
hjat	humanitet
tram	ram
hdic	disk
hkok	ensam
srat	konstnär
crak	charm
hmet	e-post
hden	beslut
gran	guvernör
crac	gren
hjac	entusiasm
hdim	induktivhumör
hcok	skynda
hyet	olja
pwap	rör
trat	skrivaut
tcot	fastmaterial
hdoc	åh
hren	samtalasammanhang
tcon	middag
krin	stuga
plam	larm
hnes	nervös
tcen	observation
hsek	aspekt
plik	tillämplig
slik	silke
hfen	cent
hgen	ombud
hnon	union
crik	Helvete
tcet	defekt
mrat	blandad
hdam	förmaninghumör
hgac	ambition
htoc	pånågotsätt
hdac	råd
nwin	konstitution
srit	instrument
hret	fast
nlin	uppkopplad
hzat	tidvatten
klic	college
hkek	svans
nric	generation
hgic	fulltmedfolk
hgak	katt
trit	direktbevis
tyot	fördrag
hnok	innehåll
crit	övergiven
slen	elva
srin	instinkt
hpok	stam
hyot	orolighumör
cric	skydd
hruc	ohyfsad
cwin	ridning
hzak	skaka
dyit	industri
hpec	yrke
nras	sjuksköterska
hcec	undervisning
hbut	skor
hmec	vag
twot	aktivitet
crat	lördag
hkot	kapacitet
hnec	solsken
hwuf	änka
cren	skjul
nrat	stjärna
hget	gäst
hbik	välsigna
brin	inre
hpot	tillgängliga
trac	motstånd
prac	härleda
hcoc	ihålig
hpon	provins
hwim	civilisation
dwan	hänga
cwok	chock
hdok	körning
crun	skatt
hzik	utsäde
hrot	nyligendåtidspänd
hket	vaken
hcek	Möbler
hrop	rep
mrac	äventyr
byit	fest
trak	årlig
hzin	sydlig
sric	ceremoni
clik	jakt
trap	liberal
hrim	kristendom
hrus	prinsessa
blat	altare
cyon	mycketliten
hwep	web
krat	kardinal
tris	lila
kcot	samla
hben	val
trik	berusad
kfit	hiss
tcec	utbyta
nrik	bestämdartikel
grat	kejsare
dran	administrering
hpen	tidigare
cluk	ful
nrac	ofarlig
ryin	utbildning
hrun	rulla
nwic	tum
slit	skjuta
gzat	tidning
krot	skärande
drit	skägg
hzis	riva
hdap	arton
sris	historisk
mrut	brutto
nyik	lera
bran	brud
drat	bero
djan	jätte
glat	enkelhet
hpoc	höst
pras	slöja
hgot	sammankomst
tret	teater
tras	jämförelse
rwit	rival
hfon	formning
klot	tränare
hmum	humör
drac	samtala
rwas	roman
tset	hämnd
hdot	distalademonstrativ
ryut	svartsjuk
hwon	inbjudan
byat	bränd
flac	flash
prot	porträtt
crek	föreslå
htok	konflikt
htop	förbannelse
prit	FÖRBANNANDEhumör
hces	hjälplös
klup	klubb
hnos	översvämning
dwin	likgiltighet
prin	horisont
mrit	assumptivehumör
tcoc	brant
hcom	harmoni
grit	åska
tlot	barndom
hgik	knä
hwes	medvetslös
hzac	ömsesidig
hsec	programvara
tson	institutioner
ryit	mottagande
dlin	disciplin
slip	glida
klon	rotation
hfim	jordbrukare
hpom	plattform
cyen	student
hgec	grotta
hroc	tradition
srac	Skicka
ryat	tragedi
kcen	oskuld
hbap	farväl
krik	kritik
krap	bomull
fwat	sjukhus
kcet	hyra
hgas	gas
pfin	oundviklig
dlit	blad
ryan	översättning
sran	begravning
mrin	mjöl
hram	romantisk
dlan	dollar
hzas	skoj
hsos	sexton
klen	koloni
gyin	vinge
hsif	lejon
cluc	listig
prip	förberedelse
hzut	dimma
dwat	medicin
krit	korrekturläsa
sras	bo
hses	fjorton
brat	invändning
flat	syra
hjic	nämligen
slic	vapen
hbuc	användare
tron	orange
byan	bad
hrif	primitiv
tlip	slåfast
blan	korg
kris	sekreterare
hyon	undertiden
tren	idag
dlat	hodiernalspänd
hzic	förgifta
tfic	gevär
tlen	talang
hlim	klimat
dyat	para
kcon	uppenbarelse
dlac	tvätta
krak	bekännelse
hbas	dumheter
hkec	kol
hrek	återställa
hkos	kanot
hwif	vice
tric	tillfällig
hdep	delimitativeaspekt
mwak	lugg
ksot	ben
hnoc	måndag
nlas	tisdag
brac	onsdag
frap	federal
pfit	representant
pcoc	pol
lyen	linne-
swak	sjunka
pcen	president
brit	blodig
hwec	belägring
hwet	mage
hlos	entrappaupp
hbon	varierande
pcon	mässing
hsem	toppmöte
lwac	billig
tsos	tävling
kwen	exklusivperson
trun	landning
trut	staty
hrap	artilleri
hgap	arrestera
trot	temperatur
grin	grannskap
hjak	omfamning
hpek	packa
hlus	rådjur
hwos	sovrum
tsuc	buske
pcuc	ansvarsfrihet
cris	arvinge
clun	ek
hpes	obehaglig
nlet	Ofullständig
hrom	programmera
pyon	piano
swet	övertyga,övertala
dric	osynlig
tyen	välkänd
hruk	grymhet
frat	iuppdrag
hyoc	frestelse
hlep	Telicaspekt
nrot	internationell
nret	våldsamt
hfif	filosof
pfic	representation
hmek	känslig
hfec	välfärd
myik	fiske
truc	stjäla
tcop	läpp
rwic	gåipension
htom	ekonomi
glan	galleri
pren	parallell
hlek	atelicaspekt
nrak	kontinent
truk	slå
hjim	hindrandehumör
rwat	slips
hcep	cell
dyan	ägg
jrat	artificiell
nren	inspiration
ksic	kris
tsoc	sökande
lwan	lunch
hpos	tall
hcuf	skjutapå
tcus	stämma
pset	förlänga
hkep	koppar
swis	sjöman
prim	kejserlig
trip	piska
cras	skjorta
swap	sopa
syet	skiss
htof	tjuv
clen	kanalisera
kwit	personlighet
klok	överskott
hrok	reformera
hguc	törst
kcim	hotfull
hpem	palm
psik	högtalare
frit	tröskel
cret	spår
mrak	spjut
syen	session
tcup	fuktig
hyek	resande
trim	tenn
plak	klagomål
hyok	vinkel
hgam	ko
hmok	kvarn
jrac	Karta
kloc	krage
gyit	avsiktligt
hbip	öl
mlet	sammet
lyap	missbruk
cwen	flock
bwan	niece
tses	tretton
jrit	rättfärdiga
nlak	manuskript
sron	krigare
cruc	fredag
broc	borsta
dlot	laddaner
krim	grädde
pric	tonhöjd
prut	jury
hgon	frusen
sram	bokstavligen
pfot	pott
hlot	planerad
djin	mynt
hlok	hoppa
hpep	äpple
hwot	vriden
dlak	diskutera
brik	prenumerera
nlis	transkribera
hbet	satsning
pris	virus
hjik	gästfrihet
blit	barnslig
hjap	robe
tfik	reflektera
hdaf	uppnå
hpop	opera
kcaf	gömmer
kcoc	armbåge
hrum	reparera
cyim	misstänksam
dyic	lärorikt
hgoc	grop
drak	oordning
plas	applåder
byin	binär
hzap	kloster
nlot	lojalitet
mrik	mekanisk
hsop	framgångsrikt
crap	fälla
kyek	tårta
nrut	underhålla
syes	sir
hjet	sjutton
hjen	feminin
hmom	honung
hdec	tyvärr
lwen	legend
slot	spis
frac	rebell
gwan	svälla
mruk	förbättra
swot	träsk
zlan	tjäna
hnem	animerad
hdes	kläpåsig
prak	predika
frin	landskap
hfet	motsätta
cros	kör
ryon	rationell
tcos	beskära
tsen	bearbetning
hwek	varg
nlik	vägran
klap	matta
dras	förakta
prop	bördig
slim	vissla
hgis	ost
krut	bita
srot	eskort
bjan	vandra
nwen	marin
myas	mask
kwaf	utveckla
twis	taxi
pcip	penna
srap	vegetabilisk
sren	utställning
tlun	byxor
hrup	korruption
nrip	skåp
srup	soppa
jran	kirurg
bjat	ersättning
gyat	spionera
hlem	hänsynslös
srak	abstrakt
kson	accent
cwis	torsdag
sret	vänligahälsningar
hraf	trafik
hres	arkitektur
hsuf	förfogande
rwak	spricka
twon	prydnad
hfus	återhämtning
hkom	koda
djat	jägare
nlut	nyhetsbrev
hsef	orm
mris	demokrati
bric	batteri
mlam	vax-
zran	delning
cron	spänning
hzen	simma
traf	remsa
cwaf	kuvert
srip	cigarett
mrot	motor-
swon	volontär-
ryak	reaktion
pfun	delvis
blac	bagage
mret	departement
hjon	sexuell
kcok	yxa
dram	diamant-
kren	alternativ
tcek	eko
hdif	identitet
tfas	ambassadör
hfot	bestå
lwas	lat
hmep	momentaneaspekt
kfin	kodning
mwin	imaginär
hrem	stråle
pram	klättrande
byac	källare
mren	minnesvärd
swen	senat
kras	kista
hgun	svälja
nlok	unnasig
ryic	jordbruks-
gwin	svänga
srut	äng
hkes	komplex
hfis	resignation
frak	upprepat
hnom	konspiration
hcop	pub
hlec	peppar
mlot	melodi
zrat	kandidat
proc	beskyddare
flik	räv
cyet	ångradesig
hgim	skorsten
slet	häck
tcok	noggrannhet
bjit	föredettadenavlidne
brot	knopp
bwat	filt
hdus	gris
gwat	elfenben
kret	extrahera
nwet	observatör
jwan	aveny
nwis	naglar
mwic	bi
bzat	skådespelare
gyan	svettas
zyit	verkställande
blic	illusion
pcet	osäkerhet
tsot	vikaihop
bwit	gräns
tres	stress
hkof	konsumtion
nyen	stöna
hles	likna
cyek	säck
hjis	nål
gjan	fenomen
prec	betesig
drot	kontrollerade
kcek	kurva
twic	kyckling
brak	fat
zwat	vanlig
clap	vanligaspekt
tsec	expert-
bwin	imponerapå
cwet	bunden
hbek	bagare
zlin	oliv
mron	skåpbil
drin	ägna
psap	översikt
gjin	födelsedag
clut	hammare
cwun	doftande
twaf	trivial
pcot	sällskapsdjur
krok	kranium
dlik	lagstiftandeförsamling
cwic	Lyckligtvis
srun	rynkapannan
crec	förstöra
jlan	marginal
kcip	mästare
blin	miljard
ryik	kemisk
mlas	puls
flit	pilot
hzet	knut
cwik	majestätisk
twet	kjol
mwik	varjevecka
tfis	teknisk
tlon	fordon
cram	smickrande
grac	stärka
kraf	gala
trup	attribut
hduk	krok
cruk	tiger
nrap	hushållerska
crot	motorväg
mlip	milis
hfoc	fotografera
nres	integritet
plos	plus
tfam	transparent
nlic	nitton
hwok	kvalificerad
nlen	uppsats
fyic	effektivitet
hwuk	unik
hgok	organisk
flic	teologi
flot	flyta
hboc	tvinga
hwoc	häxa
syot	studio
cwip	champagne
hbes	baner
lwic	äktenskapsskillnad
blot	bult
cwot	fångenskap
cwam	ven
prik	passiv
hfum	skumma
grik	grus
zrin	förkläde
gren	planet
hfuc	uppståndelse
claf	hylla
flas	Fan
hjot	tropisk
hbim	godtycklig
krek	kvicksilver
hbec	välvillig
tsaf	självmord
pwas	plocka
plot	reporter
kfak	förbruka
blak	balkong
hdos	fläck
kwis	klassisk
kcos	anklaga
psen	pension
kres	verb
hzon	apa
srim	signatur
glin	motvillighet
mlut	ökänd
myot	importera
fwac	grundare
troc	fackla
hgaf	grammatik
hyop	yacht
ksip	utdöd
sres	utflykt
hnup	kupol
hzun	envis
mric	muskel
gjat	magnitud
hros	gnugga
zrac	feg
tros	rostatbröd
myus	mus
dwac	dialog
byak	get
htef	skräddarsy
hfek	frodas
dzan	förelägga
nyon	anonym
zrit	formellregistrera
pcos	sport
hjec	smälta
dlas	radera
mras	paraply
mram	mineral-
cwut	stillestånd
hbok	anka
swun	tvål
dwak	docka
plif	villa
slon	sömnad
tfut	gratulera
djac	förena
hjas	dämpa
kric	kanin
kwot	dirigent
gzan	garanti
clot	spelare
ksek	insekt
psam	hållning
mwut	uggla
htem	permanent
clon	fiol
dzin	bosatt
rwim	respektive
hyof	välgörande
dron	drake
dwit	auditivbevis
sroc	exportera
hzot	uppsägning
djik	dröjakvar
kfik	lock
ryun	reglering
hmes	borgmästare
rwac	hårdvara
sruk	cirkus
sros	minoritet
bzan	upplopp
kset	orkester
bjon	bacon
hjut	obegränsat
tfen	försvara
zwac	nackdel
dyin	överläggning
myis	musiker
mlis	mentalt
pret	otillräcklig
tsek	arkitekt
hlom	citron-
ksos	hosta
crok	huvudvärk
flin	fertilitet
mrun	snickare
swec	slumpmässig
syuk	sked
blun	ballong
tcep	krita
fric	förfriskning
rwik	vertikal
rwen	förebyggande
flet	inferentialbevis
pfac	utgivare
srek	vinäger
tfun	tunnel
pwet	pussel
gyik	matematik
fwot	blekna
lwin	balanserad
jwin	lever
bwik	sublativefall
hdup	doppa
hnop	monopol
bwic	u-båt
ryen	oavsett
hcem	jordbävning
hbos	laboratorium
nrek	arbetstagare
ryim	rytm
nyic	tolka
dwas	ambassad
rwok	provocera
kram	oförmåga
ksim	deklarativhumör
clok	choklad
pcec	privilegierad
nyis	eremit
tyoc	tillfällighet
grak	repa
zlat	handske
hjuk	knäböja
trif	geografi
djit	systematisk
pson	oövervinnerlig
mwis	investering
cwec	verbal
hdek	sekulär
blik	hök
sloc	psykologi
brap	skrot
jlat	pirat
dros	dos
slam	lax
pwun	pudding
gwik	magnetisk
pcop	pump
myen	liknande
ksen	syre
mrap	förman
tfot	certifikat
ksus	klunga
trok	retorik
tloc	ringt
zyan	åra
nlun	loggain
hlop	teleskop
jlin	stavning
lyut	mulet
hsof	surfa
fyik	whisky
klet	relativt
hwof	vide
hlum	kamel
myet	amatör-
klis	isolering
hbaf	biografi
gwac	åsna
hwum	rykte
pwik	perspektiv
pron	proffs
myes	engångimånaden
mwen	dagdröm
kfic	semester
klek	klick
cwon	oval
lyak	elastisk
kwon	lexikon
hjam	skinka
rwon	regnbåge
crip	härmed
zwan	förekommande
srok	redaktionell
craf	korpral
tlok	tank
brip	fjäril
tfap	Diagram
jwat	tvilling-
pros	rörelse
psun	omen
clet	elände
hbus	bambu
dyas	-handlare
klun	ackumulation
jlit	enhällig
hdom	mardröm
kron	kol
hzam	sylt
cyot	lyssnare
hmem	museum
lwam	alfabet
fras	spridaut
psoc	stansa
hgum	gummi
brek	broms
glit	stabilitet
frun	ruttna
gris	aggressiv
mroc	friktion
bzit	spindel
plut	potatis
glac	girighet
gzac	multiplicera
prun	snurra
jlet	kalender
nyim	utnämning
tlos	biljon
slut	sallad
fwit	jakandehumör
pyen	tillämpningar
nlon	nominell
dren	demonstrera
drun	missnöje
cyok	ryckapåaxlarna
hfop	fotboll
ryac	partnerskap
gzin	pionjär
hgip	kål
tyet	idrotts-
hdof	idiofoner
hwup	ovärderlig
lwek	spak
syec	senator
jyak	rymma
mlim	myra
fwic	effektivt
gzit	gravid
blas	beroende
jrin	varjedag
gwak	vrist
drik	underligt
prif	variabel
jwit	mångfald
krip	diskriminering
ryot	awed
nwut	trottoar
kcif	aktivt
jrak	groda
twek	överdrivenfall
psot	försoning
pfon	svamp
sluk	ekorre
nlim	irrealishumör
ksaf	brist
glak	vulkan
plen	jämvikt
kfaf	scarf
kyon	utnyttja
jlik	geologisk
psop	pass
kfis	vakans
fyon	affinitet
nram	omoralisk
hbuk	kex
gras	trance
hyos	orolig
flim	filma
plet	tablett
rwam	atom
blis	vanilj
zlit	aids
fyut	kräsen
crim	pyramid
hjif	olaglig
crif	blyghet
lwap	luta
tyon	astronomi
mrim	labyrint
drut	beskrivande
nrim	stipendium
kruc	sköldpadda
kwam	rådgivare
jrik	syrsa
dlut	beteckna
pyot	duva
dyon	anpassning
prap	operatör
bzin	emblem
tyek	triangel
trec	skattmästare
nron	väte
pyet	skrivare
tsok	sättaihalsen
zyin	kronisk
slek	cykel
jyin	teknik
ryas	överföring
zrak	refresh
nyas	dansare
gric	migration
zlak	kränka
tces	tennis
hjun	blåsigt
twen	väva
kyet	samlare
gwit	ryggrad
kyot	ackord
fwin	frekvens
tfuc	vävstol
dlet	katalog
pfik	tänkare
bjet	budget
trek	strategi
kros	kvarts
gjit	sax
gwic	växla
frik	teoretisk
tluc	handduk
pruc	patrullera
glic	glaciär
krun	fullständighet
bjin	förutsägelse
tlaf	delta
tfet	tillverkare
bras	lateral
dwik	svarande
clec	uttömma
cres	schack
tcef	körsbär
tcom	snubbla
nyot	översättare
tyok	lastbil
cyip	överträffar
grot	senap
bris	trådlös
nlam	auktion
slif	sikt
hgos	rost
swoc	ostadig
jyat	bankrutt
slum	islam
hjes	folkräkning
dzat	tå
slun	uppskjuta
nwot	kontinuitet
gyic	gitarr
pfas	partiskhet
zyik	zink
blen	glänsande
hyem	alm
hnep	förvränga
nyut	stickad
ryam	pronomenmarkör
clim	krydda
jret	skärpa
tfon	reta
jwac	java
hrep	recept
dyac	franchise
myip	meter
rwis	ras-
hkem	komet
nwon	innovation
zwin	förbjuda
dyis	medeltida
mrec	Sparv
fyot	fotnot
mlon	mått
pfis	ratificering
rwot	bana
hfok	sparsam
glof	golf
zron	noll-
hzip	blixtlås
