hnit	infinitivo
twut	dubitativoestadoanimico
hkis	negro
tlak	traer
hyus	hermosa
nyit	ordenar
htip	diez
ksis	cuento
hpuk	libro
hlin	electrónico
hkun	cuenta
lyas	interesar
lyit	escribe
pwat	cama
hnis	años
hnut	contrafactualcondicional
slas	arte
hwis	vialiscaso
pyak	hermano
lyin	línea
tyas	mesa
hyun	río
kyac	ojo
tfan	degolpe
kcin	profundo
hmuc	propósito
cyac	sangre
hmap	Rosa
tlin	frío
hyif	reenviar
tyam	tarde
hnaf	suponer
hkip	casi
myan	mía
tsin	conocimiento
hkup	copia
hsam	esposo
hlis	seis
cwit	vivo
cyan	paz
myat	recuerda
tyic	natural
hfut	caer
swas	Servicio
hsap	excepto
pcit	derechosdeautor
hyim	ejército
kyas	caballo
plic	futuro
pcak	Oeste
hpis	paga
hyuk	rojo
hwun	oro
twin	deseo
plan	jugar
hpus	oficina
syun	gobierno
kyic	Iglesia
htaf	fuerza
hlun	largo
kyin	compañía
kyis	papel
mlan	probabilidad
hcim	especialmente
cyas	oso
twac	ventana
nyat	belleza
hcus	último
htup	deber
htif	distancia
pyas	pie
hlas	salvaje
ksin	verde
hmaf	problema
myac	sonrisa
hsim	dormir
kyit	citado
kwik	decitacióncaso
fwan	visita
slan	seguir
psit	presencia
hmic	dulce
hmuf	boca
hfin	Rico
tcam	enemigo
psuk	roto
kcap	enviar
pwan	inclusivolapersona
hfic	influencia
tcuc	aparecer
hkim	secreto
pyin	Porfavor
pwit	precativeestadoanimico
pyit	Cortésregistro
cwak	mal
myak	marzo
tcas	lugares
hlaf	permanecer
psat	enlugar
nlan	azul
psac	imposible
kcuk	colegio
kcit	casado
kcak	comida
syis	20
tlac	tranquilo
hcip	futuroaspecto
kwin	dando
tsit	detenido
pyac	idioma
hsus	semana
hcup	pasillo
cyap	preguntarse
tfin	Nació
fyat	laCorte
hnip	gnomicaspecto
tsak	elrespeto
tlas	valor
syuc	árbol
plat	pared
cyak	cielo
twip	incoativoaspecto
mlat	mando
swit	yusivoestadoanimico
mwas	mes
hwaf	Perfecto
tyap	experiencia
ksac	circunstancias
syac	fresco
hnuk	duque
kwak	cubierto
tyuk	este
pwac	piedra
hkif	noble
nyac	dirección
cyis	silla
tyuc	esperando
tsun	pueblo
tyik	deacuerdo
hnum	permisivoestadoanimico
slak	éxito
tsic	molesto
slat	colina
hmik	música
hkus	llorar
hsip	siete
hpaf	privado
nwas	Noticias
tfac	escena
fyan	jardín
cwas	empezar
hfik	distributivocaso
lyac	aprender
syik	político
clin	Enrique
cyin	mentira
tsas	elenco
cyik	autoridad
tlap	planta
cyam	elverano
tcut	religión
tcap	escapar
hlut	autor
pyun	marrón
tcuk	dolor
swan	primavera
hmun	suave
kyun	esquina
nyak	marca
tsis	justicia
psas	Produce
cyaf	risa
hwut	olvidar
hyup	Europa
hwap	ocho
psak	paso
kyap	terrible
pyic	necesario
hmim	medio
hsaf	aliento
hmis	sabio
hsum	posesivomarcador
ksat	agradable
ksit	tumba
tsap	isla
kyam	acampar
tcum	toque
cyun	fortuna
psic	apuntalar
tyun	dominio
mwit	comisivosestadoanimico
tlut	grado
myit	invierno
kfan	conducta
slac	corriendo
myin	minuto
tyip	dirigir
klas	vaso
pfat	tabla
cyic	vano
swam	asuntos
syam	asalvo
tsut	doctor
hlip	definitivoaspecto
kcas	oscuridad
nyun	calentar
hpuc	bebida
tlam	ejemplo
hfun	enfado
tsik	despecho
tsam	directamente
hmup	sombrero
klak	perro
slin	plata
swac	servidor
kcam	orgullo
pyik	entrenar
myut	moral
syak	entrar
swat	espada
kyuk	ataque
clac	salud
tyaf	párrafo
swic	social
tfit	reembolso
hkaf	oficial
pcas	vistazo
nyam	gloria
tfat	doce
pcut	comprometido
pwin	Vino
mwat	sabor
fyac	hierro
syap	distribuir
myap	comercio
hyum	utilizando
fwak	juez
klat	capitán
twap	cesaciónaspecto
kcic	curioso
kwic	exterior
hnif	intensificador
myun	importancia
tlic	finalmente
cyuk	cuello
syut	libertad
pfan	lados
kyuc	seco
pcap	aparte
tfak	probatorio
tcik	probatoriocaso
twun	distante
tyis	Progreso
nyap	angostas
plit	edificio
hpif	página
pwic	participación
syic	triste
tsip	pecado
syim	enfermos
tcis	honesto
pcun	banco
ksap	aceptar
lyam	corriente
tcaf	cuidadosamente
kwac	oreja
hpup	pandemolde
kcut	elegir
nwam	animal
hsup	zoicogénero
nwit	eventivoestadoanimico
tcim	mismoeventomarcador
tlik	multiplicativocaso
kyus	Cruz
hmus	grueso
kfat	atrevimiento
nwat	crecer
myic	lluvia
hpum	superficie
swut	santo
clis	julio
mwun	Moda
hfas	archivo
cwac	hombro
kwat	comodidad
nwac	nadie
tcip	deseado
kfac	césped
hmuk	dibujar
plin	apertura
kwun	junio
mlik	pescado
klin	capital
pfut	pecho
twam	Reclamación
fyin	gastos
nlit	tuya
mlin	millón
pyut	orar
hluk	cansado
ksut	matar
cyut	sombra
psin	peso
kcis	gris
pyam	valiente
mwac	satisfecho
klam	narración
ksam	nacional
hfip	débiles
klik	Valle
hkum	especulativoestadoanimico
clas	amarillo
cyuc	calor
mlac	permanece
syip	igualmente
pwak	encajonar
tcif	puntiagudo
psip	principio
ksik	consecuencia
tsim	temporada
flan	ciencia
pcam	aparentemente
kcun	aburrir
ksuk	tío
mlit	lista
pcik	peligroso
kwas	agosto
hluc	popular
klit	desconocido
flak	familiar
fyit	familiarregistro
lwat	lector
plun	caminando
twas	dosveces
pcis	sacerdote
fyas	herido
nlat	palacio
myuk	engañar
pfak	favor
tcuf	nueve
cwap	simpatía
plac	ráfaga
pyap	poniendo
lyic	vestido
hcum	ruido
lwit	literatura
tsuk	rango
hfup	tormenta
kcik	bolsillo
nwap	noviembre
tyim	diciembre
psaf	ausencia
nlac	población
kyaf	gracias
slis	serie
pyaf	pájaro
mlak	propietario
kwut	capa
hwuc	relaciones
pyis	rápidamente
twuc	humo
nwak	enero
mlic	lamaquina
tlis	dientes
ksun	ardiente
clam	vergüenza
klaf	calidad
clit	anillo
fyak	frase
fyam	frasemarcador
kwap	cuadrado
hwip	domingo
psis	poesía
pwut	preordenada
kyim	comprar
clic	campos
pyip	abril
kfap	octubre
psut	objetos
kcuc	amargo
nlap	esclavo
hsok	suelto
htet	texto
hbat	peor
hrit	crédito
hzit	caracteristicas
hpet	quince
krac	cruel
hduc	polvo
hrik	práctico
hron	color
hnus	nariz
hric	amistoso
srik	suministro
hten	ayer
tlet	hesternaltiempo
slap	fallar
hban	vestir
hdat	ciego
fran	mosca
hdan	diablo
htec	gradualmente
hmon	misión
cran	sacrificio
hran	conciencia
hmos	ministro
nrit	energía
hcet	odio
hset	centrar
hrin	racionalgénero
hcot	disfrutar
hrip	breve
htep	rendirculto
hcif	piel
hrat	techo
kran	corona
hkon	castillo
tran	desesperación
hmif	milla
trin	círculo
hgin	prisión
hkop	taza
hcen	miembro
swin	civil
hrac	entodoslados
hris	personalizado
hbin	devenir
hmot	carne
hdut	leche
hwen	vegetalgénero
nran	raro
hbac	primo
crut	puente
hsoc	valores
hsom	sal
nris	inocente
hbit	evitar
crin	admiración
rwin	reina
hgut	contar
hdas	baile
hnot	hotel
hdin	llenar
hton	prisionero
hdak	Tienda
hlet	escalera
hson	perdón
hgek	homosexual
hras	arena
hsep	septiembre
hbic	ruina
hlen	licencia
hcon	suficientemente
hgit	testigo
kfon	cocina
hbak	vender
tlim	tratamiento
hsot	velocidad
kyut	computadora
hnen	eterno
htek	biblioteca
hzan	quecontiene
hbis	base
hbun	confusión
kcus	cocinar
hgat	Desierto
hwus	Beso
hbif	hielo
hbot	bola
hrut	argumento
hdit	bendiciónestadoanimico
hdis	culpable
hjan	castigo
plis	policía
hgan	esconder
hsen	expedición
nrin	ignorante
hyen	nube
frif	febrero
hdik	enfermedad
hnek	iniciativacaso
hbam	tía
hmen	humilde
hdip	retrasadoimperativo
prat	reportadoprobatorio
hdet	docedelanoche
hjit	dedo
hmoc	algunlado
pran	oprima
kcec	región
hken	últimamente
hloc	melancolía
hrak	personal
htes	mirada
rwan	recompensa
hdon	donar
htot	frente
hnet	ángel
hdun	singular
croc	error
hlon	amanecer
hyec	oveja
hjin	paciencia
hrec	referencial
mran	maíz
htos	mayoría
hcos	medidas
hkoc	devezencuando
hlif	beneficio
clak	azúcar
hjat	humanidad
tram	cuadro
hdic	disco
hkok	solitaria
srat	artista
crak	encanto
hmet	correoelectrónico
hden	decisión
gran	gobernador
crac	rama
hjac	entusiasmo
hdim	inductivoestadoanimico
hcok	prisa
hyet	aceite
pwap	tubo
trat	impresión
tcot	materiasólida
hdoc	Oh
hren	discursocontexto
tcon	mediodía
krin	cabina
plam	alarma
hnes	nervioso
tcen	observación
hsek	aspecto
plik	aplicable
slik	seda
hfen	centavo
hgen	agente
hnon	unión
crik	infierno
tcet	defectuoso
mrat	mezclado
hdam	amonestaciónestadoanimico
hgac	ambición
htoc	dealgunmodo
hdac	consejo
nwin	constitución
srit	instrumento
hret	firmemente
nlin	enlínea
hzat	marea
klic	Universidad
hkek	cola
nric	generación
hgic	llenodegente
hgak	gato
trit	directoprobatorio
tyot	tratado
hnok	contenido
crit	abandonado
slen	once
srin	instinto
hpok	tribu
hyot	aprensivoestadoanimico
cric	abrigo
hruc	grosero
cwin	equitación
hzak	sacudir
dyit	industria
hpec	profesión
nras	enfermera
hcec	enseñanza
hbut	Zapatos
hmec	vago
twot	actividad
crat	sábado
hkot	capacidad
hnec	luzdelsol
hwuf	viuda
cren	cobertizo
nrat	estrella
hget	huésped
hbik	bendecir
brin	interior
hpot	disponible
trac	resistencia
prac	derivar
hcoc	hueco
hpon	provincia
hwim	civilización
dwan	colgar
cwok	choque
hdok	conducción
crun	tesoro
hzik	semilla
hrot	recientepasadotiempo
hket	despierto
hcek	mueble
hrop	cuerda
mrac	aventuras
byit	banquete
trak	anual
hzin	Sureño
sric	ceremonia
clik	caza
trap	liberal
hrim	cristianismo
hrus	princesa
blat	altar
cyon	minúsculo
hwep	web
krat	cardenal
tris	morado
kcot	reunir
hben	elección
trik	bebido
kfit	ascensor
tcec	intercambiar
nrik	definidoartículo
grat	emperador
dran	administración
hpen	previamente
cluk	feo
nrac	inofensivo
ryin	formación
hrun	rodar
nwic	pulgada
slit	disparar
gzat	periódico
krot	corte
drit	barba
hzis	lágrima
hdap	Dieciocho
sris	histórico
mrut	bruto
nyik	barro
bran	novia
drat	depender
djan	gigante
glat	sencillez
hpoc	otoño
pras	velo
hgot	reunión
tret	elteatro
tras	comparación
rwit	rival
hfon	formando
klot	entrenador
hmum	humor
drac	discurso
rwas	novela
tset	venganza
hdot	distaldemostrativo
ryut	celoso
hwon	invitación
byat	quemada
flac	destello
prot	retrato
crek	sugerir
htok	conflicto
htop	maldición
prit	imprecatorioestadoanimico
hces	indefenso
klup	club
hnos	inundar
dwin	indiferencia
prin	horizonte
mrit	assumptiveestadoanimico
tcoc	escarpado
hcom	armonía
grit	trueno
tlot	infancia
hgik	rodilla
hwes	inconsciente
hzac	mutuo
hsec	software
tson	instituciones
ryit	recepción
dlin	disciplina
slip	resbalón
klon	revolución
hfim	agricultor
hpom	plataforma
cyen	estudiante
hgec	cueva
hroc	tradición
srac	enviar
ryat	tragedia
kcen	Virgen
hbap	despedida
krik	crítica
krap	algodón
fwat	hospital
kcet	alquiler
hgas	gas
pfin	inevitable
dlit	hoja
ryan	traducción
sran	funeral
mrin	harina
hram	romántico
dlan	dólar
hzas	broma
hsos	dieciséis
klen	colonia
gyin	ala
hsif	león
cluc	astuto
prip	preparación
hzut	niebla
dwat	medicina
krit	corregir
sras	nido
hses	catorce
brat	objeción
flat	ácido
hjic	asaber
slic	arma
hbuc	usuario
tron	naranja
byan	bañera
hrif	primitivo
tlip	establecer
blan	cesta
kris	secretario
hyon	mientrastanto
tren	EsteDia
dlat	hodiernotiempo
hzic	veneno
tfic	rifle
tlen	talento
hlim	clima
dyat	compañero
kcon	revelación
dlac	lavar
krak	confesión
hbas	disparates
hkec	carbón
hrek	restaurar
hkos	canoa
hwif	vicio
tric	temporal
hdep	delimitativeaspecto
mwak	pila
ksot	hueso
hnoc	lunes
nlas	martes
brac	miércoles
frap	federal
pfit	representante
pcoc	polo
lyen	lino
swak	lavabo
pcen	presidente
brit	sangriento
hwec	cerco
hwet	estómago
hlos	arriba
hbon	variado
pcon	latón
hsem	cumbre
lwac	barato
tsos	concurso
kwen	exclusivolapersona
trun	aterrizaje
trut	estatua
hrap	artillería
hgap	detención
trot	latemperatura
grin	barrio
hjak	abrazo
hpek	paquete
hlus	ciervo
hwos	dormitorio
tsuc	arbusto
pcuc	descarga
cris	heredero
clun	roble
hpes	desagradable
nlet	incompleto
hrom	programa
pyon	piano
swet	persuadir
dric	invisible
tyen	bienconocido
hruk	crueldad
frat	asignado
hyoc	tentación
hlep	télicaaspecto
nrot	internacional
nret	violentamente
hfif	filósofo
pfic	representación
hmek	sensible
hfec	bienestar
myik	pesca
truc	robar
tcop	labio
rwic	retirarse
htom	economía
glan	galería
pren	paralelo
hlek	atelicaspecto
nrak	continente
truk	golpe
hjim	prohibitivoestadoanimico
rwat	corbata
hcep	celda
dyan	huevo
jrat	artificial
nren	inspiración
ksic	crisis
tsoc	buscando
lwan	almuerzo
hpos	pino
hcuf	empujar
tcus	demandar
pset	ampliar
hkep	cobre
swis	marinero
prim	imperial
trip	látigo
cras	camisa
swap	barrer
syet	bosquejo
htof	ladrón
clen	canal
kwit	personalidad
klok	exceso
hrok	reforma
hguc	sed
kcim	amenazante
hpem	palma
psik	altavoz
frit	límite
cret	rastros
mrak	lanza
syen	sesión
tcup	húmedo
hyek	viajero
trim	estaño
plak	queja
hyok	ángulo
hgam	vaca
hmok	molino
jrac	mapa
kloc	collar
gyit	deliberadamente
hbip	cerveza
mlet	terciopelo
lyap	abuso
cwen	rebaño
bwan	sobrina
tses	trece
jrit	justificar
nlak	manuscrito
sron	guerrero
cruc	viernes
broc	cepillo
dlot	descargar
krim	crema
pric	terrenodejuego
prut	jurado
hgon	congelado
sram	literalmente
pfot	maceta
hlot	planificado
djin	acuñar
hlok	salto
hpep	manzana
hwot	retorcido
dlak	discutir
brik	suscribir
nlis	transcribir
hbet	apuesta
pris	virus
hjik	hospitalidad
blit	infantil
hjap	túnica
tfik	reflejar
hdaf	alcanzar
hpop	ópera
kcaf	ocultación
kcoc	codo
hrum	reparar
cyim	suspicaz
dyic	educativo
hgoc	pozo
drak	trastorno
plas	aplausos
byin	binario
hzap	abadía
nlot	lealtad
mrik	mecánico
hsop	exitosamente
crap	trampa
kyek	pastel
nrut	entretener
syes	señor
hjet	diecisiete
hjen	femenino
hmom	lamiel
hdec	Desafortunadamente
lwen	leyenda
slot	estufa
frac	rebelde
gwan	hinchar
mruk	mejorar
swot	pantano
zlan	ganar
hnem	animado
hdes	vendaje
prak	predicar
frin	paisaje
hfet	oponersea
cros	coro
ryon	racional
tcos	cultivo
tsen	tratamiento
hwek	lobo
nlik	negativa
klap	alfombra
dras	despreciar
prop	fértil
slim	silbar
hgis	queso
krut	mordedura
srot	escolta
bjan	vagar
nwen	marinadeguerra
myas	máscara
kwaf	desarrollar
twis	taxi
pcip	lápiz
srap	vegetal
sren	exposición
tlun	pantalones
hrup	corrupción
nrip	armario
srup	sopa
jran	cirujano
bjat	tolerancia
gyat	espiar
hlem	temerario
srak	abstracto
kson	acento
cwis	jueves
sret	sinceramente
hraf	tráfico
hres	arquitectura
hsuf	disposición
rwak	grieta
twon	ornamento
hfus	recuperación
hkom	código
djat	cazador
nlut	hojainformativa
hsef	serpiente
mris	democracia
bric	batería
mlam	cera
zran	compartir
cron	emoción
hzen	nadar
traf	tira
cwaf	sobre
srip	cigarrillo
mrot	motor
swon	voluntario
ryak	reacción
pfun	parcialmente
blac	equipaje
mret	ministerio
hjon	sexual
kcok	hacha
dram	diamante
kren	alterno
tcek	eco
hdif	identidad
tfas	embajador
hfot	consistir
lwas	perezoso
hmep	momentaneaspecto
kfin	codificación
mwin	imaginario
hrem	rayo
pram	alpinismo
byac	bodega
mren	memorable
swen	senado
kras	ataúd
hgun	golondrina
nlok	complacer
ryic	agrícola
gwin	oscilación
srut	prado
hkes	complejo
hfis	renuncia
frak	repetidamente
hnom	conspiración
hcop	pub
hlec	pimienta
mlot	melodía
zrat	candidato
proc	patrón
flik	zorro
cyet	lamentar
hgim	tubodelámpara
slet	cobertura
tcok	exactitud
bjit	exfallecido
brot	brote
bwat	cobija
hdus	cerdo
gwat	marfil
kret	extraer
nwet	observador
jwan	avenida
nwis	clavos
mwic	abeja
bzat	actor
gyan	sudor
zyit	ejecutivo
blic	espejismo
pcet	incertidumbre
tsot	doblez
bwit	límite
tres	estrés
hkof	consumo
nyen	gemido
hles	parecersea
cyek	saco
hjis	aguja
gjan	fenómeno
prec	comportarse
drot	revisado
kcek	curva
twic	pollo
brak	barril
zwat	habitual
clap	habitualaspecto
tsec	experto
bwin	impresionar
cwet	encerrado
hbek	panadero
zlin	aceituna
mron	camioneta
drin	dedicar
psap	exponer
gjin	cumpleaños
clut	martillo
cwun	fragante
twaf	trivial
pcot	mascota
krok	cráneo
dlik	legislatura
cwic	porsuerte
srun	fruncirelceño
crec	destruyendo
jlan	margen
kcip	campeón
blin	millones
ryik	químico
mlas	legumbres
flit	piloto
hzet	nudo
cwik	majestuoso
twet	falda
mwik	cadasemana
tfis	técnico
tlon	vehículo
cram	halagüeño
grac	fortalecer
kraf	cuervo
trup	atributo
hduk	gancho
cruk	Tigre
nrap	amadecasa
crot	autopista
mlip	milicia
hfoc	fotografía
nres	integridad
plos	más
tfam	transparente
nlic	diecinueve
hwok	calificado
nlen	ensayo
fyic	eficiencia
hwuk	único
hgok	orgánico
flic	teología
flot	flotador
hboc	obligar
hwoc	bruja
syot	estudio
cwip	champán
hbes	bandera
lwic	divorcio
blot	tornillo
cwot	cautiverio
cwam	vena
prik	pasivo
hfum	espuma
grik	grava
zrin	delantal
gren	planeta
hfuc	Resurrección
claf	estante
flas	abanico
hjot	tropical
hbim	arbitrario
krek	mercurio
hbec	benevolente
tsaf	suicidio
pwas	arrancar
plot	reportero
kfak	gastar
blak	balcón
hdos	manchar
kwis	clásico
kcos	acusar
psen	pensión
kres	verbo
hzon	mono
srim	firma
glin	reluctancia
mlut	notorio
myot	importar
fwac	fundador
troc	antorcha
hgaf	gramática
hyop	yate
ksip	extinto
sres	excursión
hnup	cúpula
hzun	obstinado
mric	músculo
gjat	magnitud
hros	frotar
zrac	cobardemente
tros	brindis
myus	ratón
dwac	diálogo
byak	cabra
htef	Sastre
hfek	florecer
dzan	imponer
nyon	anónimo
zrit	formalregistro
pcos	Deportes
hjec	derretir
dlas	borrar
mras	paraguas
mram	mineral
cwut	tregua
hbok	pato
swun	jabón
dwak	muñeca
plif	villa
slon	decoser
tfut	felicitar
djac	conciliar
hjas	reprimir
kric	conejo
kwot	conductor
gzan	garantía
clot	jugador
ksek	insecto
psam	postura
mwut	búho
htem	permanentemente
clon	violín
dzin	residente
rwim	respectivamente
hyof	beneficioso
dron	dragón
dwit	auditivoprobatorio
sroc	exportador
hzot	terminación
djik	persistir
kfik	tapa
ryun	regulación
hmes	alcalde
rwac	hardware
sruk	circo
sros	minoría
bzan	alboroto
kset	orquesta
bjon	tocino
hjut	ilimitado
tfen	ladefensa
zwac	desventaja
dyin	deliberación
myis	músico
mlis	mentalmente
pret	inadecuado
tsek	arquitecto
hlom	limón
ksos	tos
crok	dolordecabeza
flin	fertilidad
mrun	carpintero
swec	alazar
syuk	cuchara
blun	globo
tcep	tiza
fric	refresco
rwik	vertical
rwen	laprevención
flet	inferencialprobatorio
pfac	editor
srek	vinagre
tfun	túnel
pwet	rompecabezas
gyik	matemáticas
fwot	descolorarse
lwin	equilibrado
jwin	hígado
bwik	Sublativecaso
hdup	inmersión
hnop	monopolio
bwic	submarino
ryen	independientemente
hcem	terremoto
hbos	laboratorio
nrek	obrero
ryim	ritmo
nyic	interpretar
dwas	embajada
rwok	provocar
kram	incapacidad
ksim	declarativoestadoanimico
clok	chocolate
pcec	privilegiado
nyis	ermitaño
tyoc	coincidencia
grak	rasga
zlat	guante
hjuk	arrodillarse
trif	geografía
djit	sistemático
pson	invencible
mwis	inversión
cwec	verbal
hdek	secular
blik	halcón
sloc	psicología
brap	chatarra
jlat	pirata
dros	dosis
slam	salmón
pwun	pudín
gwik	magnético
pcop	bomba
myen	delmismomodo
ksen	oxígeno
mrap	capataz
tfot	certificado
ksus	racimo
trok	retórica
tloc	peldaño
zyan	remo
nlun	iniciarsesión
hlop	telescopio
jlin	deletreando
lyut	nublado
hsof	navegar
fyik	whisky
klet	relativamente
hwof	sauce
hlum	camello
myet	aficionado
klis	aislamiento
hbaf	biografía
gwac	elburro
hwum	rumor
pwik	perspectiva
pron	Pro
myes	mensual
mwen	ensueño
kfic	vacaciones
klek	hacerclic
cwon	oval
lyak	elástico
kwon	diccionario
hjam	jamón
rwon	arcoiris
crip	porlapresente
zwan	queocurre
srok	editorial
craf	corporal
tlok	tanque
brip	mariposa
tfap	gráfico
jwat	gemelo
pros	operando
psun	presagio
clet	miseria
hbus	bambú
dyas	comerciante
klun	acumulación
jlit	unánime
hdom	pesadilla
kron	carbón
hzam	atasco
cyot	oyente
hmem	museo
lwam	alfabeto
fras	dispersión
psoc	puñetazo
hgum	chicle
brek	freno
glit	estabilidad
frun	putrefacción
gris	agresivo
mroc	fricción
bzit	araña
plut	Papa
glac	codicia
gzac	multiplicar
prun	girar
jlet	calendario
nyim	nominación
tlos	billones
slut	ensalada
fwit	afirmativoestadoanimico
pyen	aplicaciones
nlon	nominal
dren	demostrar
drun	insatisfacción
cyok	encogimientodehombros
hfop	fútbol
ryac	asociación
gzin	pionero
hgip	repollo
tyet	atlético
hdof	idiophone
hwup	inestimable
lwek	palanca
syec	senador
jyak	acomodar
mlim	hormiga
fwic	eficazmente
gzit	embarazada
blas	dependencia
jrin	cadadía
gwak	tobillo
drik	extrañamente
prif	variable
jwit	diversidad
krip	discriminación
ryot	awed
nwut	acera
kcif	activamente
jrak	rana
twek	excesivocaso
psot	expiación
pfon	esponja
sluk	ardilla
nlim	irrealisestadoanimico
ksaf	escasez
glak	volcán
plen	equilibrio
kfaf	bufanda
kyon	explotar
jlik	geológico
psop	pasaporte
kfis	vacante
fyon	afinidad
nram	inmoral
hbuk	galleta
gras	trance
hyos	aprensivo
flim	película
plet	tableta
rwam	átomo
blis	vainilla
zlit	SIDA
fyut	fastidioso
crim	pirámide
hjif	ilegal
crif	timidez
lwap	laúd
tyon	astronomía
mrim	laberinto
drut	descriptivo
nrim	beca
kruc	Tortuga
kwam	asesor
jrik	Grillo
dlut	denotar
pyot	Paloma
dyon	adaptación
prap	operador
bzin	distintivo
tyek	triángulo
trec	tesorero
nron	hidrógeno
pyet	impresora
tsok	ahogo
zyin	crónico
slek	bicicleta
jyin	ingeniería
ryas	transmisión
zrak	refrescar
nyas	bailarín
gric	migración
zlak	violar
tces	tenis
hjun	Ventoso
twen	tejido
kyet	coleccionista
gwit	espina
kyot	acorde
fwin	frecuencia
tfuc	telar
dlet	directorio
pfik	pensador
bjet	presupuesto
trek	estrategia
kros	cuarzo
gjit	tijeras
gwic	cambiar
frik	teórico
tluc	toalla
pruc	patrulla
glic	glaciar
krun	locompleto
bjin	predicción
tlaf	participar
tfet	fabricante
bras	lateral
dwik	acusado
clec	escape
cres	ajedrez
tcef	Cereza
tcom	tropezón
nyot	traductor
tyok	camión
cyip	incomparable
grot	mostaza
bris	inalámbrico
nlam	subasta
slif	tamiz
hgos	moho
swoc	inestable
jyat	arruinado
slum	islam
hjes	censo
dzat	puntadelpie
slun	suspender
nwot	continuidad
gyic	guitarra
pfas	parcialidad
zyik	zinc
blen	brillante
hyem	olmo
hnep	lucha
nyut	depunto
