ni	ඉන්ෆිනිටිව්
n6	සංවේදකසාක්ෂිමයමනෝභාවය
bweh	ග්රස්තියක්
xlih	සිනාඋපදවනසුළු
txih	twinge
sluh	ස්වයංසෑහීමකටපත්
txoh	යෝජනාවනැඟීමකදී
xe	නෙත්යොමාබලන
pxah	කොටු
vwah	පහළතරඟයෝජනාව
xyih	ප්රභූ
fleh	මැ
psuh	superessiveනඩුව
syeh	satyr
qi	අධිෂ්ඨානපූර්වකව
xruh	ඇසුරෙහිසිටියවුන්
zwah	වොව්
tr6h	පීනන්නයෝජනාව
qwah	unambitious
xlah	ලොවපුරා
tyoh	intransitive
tluh	anticlimax
qa	වත්මන්අදාළමාකර්
kxoh	බල්ලාහෙම්බත්
rwoh	ordinal
ve	දෛශික
kyoh	කිලෝ
swoh	අනුක්රමික
pxeh	partitiveනඩුව
txeh	augmentative
dxih	predicative
pxoh	prolativeනඩුව
pfoh	ගැතිවැකිය
blah	තර්කණයෙන්
fyih	මානවනොවන
xo	නළුභූමිකාව
pc6h	නඩුඅංකය
greh	කේන්ද්රනඩුව
groh	ඉලක්කයකොකා
dxoh	මධ්යමහඬ
rweh	අනියම්නඩුව
xwah	රෝගියානඩුව
xu	prehodiernal
xroh	දිරා
ks6h	රෝගකාරක
vi	ද්විමයඅගය
dleh	බහුවිධනඩුව
gjeh	නම්වෙනත්
xreh	දාන්නම්
lwoh	locativeනඩුව
ml6h	multalඅංකය
gjih	galaxyස්ත්රීපුරුෂ
qlah	තරුස්ත්රීපුරුෂ
bvih	abessiveනඩුව
dvah	adessiveනඩුව
je	agentiveනඩුව
t6	නියෝජිතයාකොකා
kxeh	නඩුව
gxih	පොදුස්ත්රීපුරුෂ
tc6h	සඳහනක්ආකෘතිපත්රය
ts6h	ට්රාන්ස්ඉලක්කම
ryuh	සෘජුවස්තුවක්
gveh	ergativeනඩුව
pyoh	කර්මකාරක
qe	පරිමිතක්රියාපදයේ
xwih	ප්රාථමිකඅරමුණ
myoh	gnomicමනෝභාවය
vrih	අවසන්අංශු
va	evitativeනඩුව
bveh	subessiveනඩුව
dxeh	ආවේශනඩුව
dvih	lativeනඩුව
tsa7h	antessiveනඩුව
dyeh	adverbialනඩුව
mleh	ස්ත්රීපුරුෂභාවයසජීවීකරණය
pfeh	සංවේදීප්රීතිය
xleh	වාහනස්ත්රීපුරුෂ
qlih	ඛනිජස්ත්රීපුරුෂ
xloh	වාචිකනාමපදයක්
dreh	දෙවනභාෂාව
bvah	ආත්මවිශ්වාසය
qrah	සිද්ධියවෙනස්
fo	විවිධඅවස්ථාවට
sl6h	crastinalනොසන්සුන්කාරී
fyoh	නොකැමැත්තෙන්හඬ
bxih	විශ්වයස්ත්රීපුරුෂ
jlih	අධිෂ්ඨානපූර්වකවක්රියාපදයෙන්
kyeh	ප්රදේශවාසීන්ටස්ත්රීපුරුෂ
txuh	පර්යේෂණස්ත්රීපුරුෂ
s6	කලාත්මකස්ත්රීපුරුෂ
preh	රෝගියාකොකා
sr6h	වියුක්තස්ත්රීපුරුෂ
nyoh	වක්රකතාව
zreh	exocentricනඩුව
kfeh	perfectiveපසුගිය
jo	පවසනවාවෙනුවටක්රියාපදයේ
kxuh	සාමූහිකනාමපදයක්
bu	absolutiveනඩුව
qrih	ග්රහස්ත්රීපුරුෂ
kfoh	මූලිකbenefactive
kwoh	සංඝටිතනඩුව
pluh	අතිමහත්නඩුව
jrah	විදුලිධාරාවක්
glih	සජීවීස්ත්රීපුරුෂ
p6	propositiveමනෝභාවය
vrah	පරස්පරයහඬ
lyuh	බලයටවගන්තිය
gleh	ඉක්මනින්අනාගතකාලය
lyoh	applicativeහඬ
ps6h	antipassiveහඬ
tfuh	continutiveඅංශයක්
nr6h	necessitativeමනෝභාවය
pr6h	උදාසීනකෘදන්ත
sy6h	පැවැත්මටවගන්තිය
qyih	දීප්තතීව්රතාව
gluh	singulativeඅංකය
kwuh	අධිකකාලය
xyah	තනිපියවරක්රියාපදයේ
vlih	උසස්ම
djah	වර්තමානකෘදන්ත
m6	ද්රව්යයේප්රමාණය
ti7	සම්බන්ධකඅංශු
f6	epentheticmorpheme
tli7h	දුරස්ථඅනාගතකාලය
si_	postpositionalනඩුව
l6	allocutiveගිවිසුම
k6	frequentativeඅංශයක්
bzih	distributiveසර්වනාමයකි
tu7	ඉපිලුම්ලක්ෂ්යසංඛ්යාව
vo	ක්රියාපදයඇමිණීය
ki7	පසුගියඋදාසීනකෘදන්ත
ta_	locativeදිශාවනඩුව
