ni	ﺭﺪﺼﻤﻟﺍﺔﻐﻴﺻ
twah	ﺐﻳﺮﻗﺔﻟﺎﺣ
twih	illativeﺔﻟﺎﺣ
di	ﺕﺎﻬﻴﺟﻮﺗﺝﺍﺰﻣ
tlah	ﻱﺭﺎﻴﺘﺧﺍﺔﻴﻤﻜﻟﺍﺩﺪﺤﻣ
kyah	ﺍﺫﺎﻣ
tcah	ﻝﺍﺆﺳﺔﻤﻠﻛ
ja	ﻂﺑﺍﺮﻟﺍﻞﻌﻔﻟﺍ
cyah	ﺺﺨﺷ
clah	ﺮﺧﻵﺍ
do	ﺩﺪﻋ
tlih	ﻡﺯﺎﺟﺔﻴﻤﻜﻟﺍﺩﺪﺤﻣ
se	ﺓﺮﻣﻡﻼﻜﻟﺍﻕﺎﻴﺳ
myah	ﻞﺋﺍﺯﺔﻟﺎﺣ
tyuh	ﻂﻘﻓ
tcih	hortativeﺝﺍﺰﻣ
tyih	ءﺍﺭﻮﻟﺍﻰﻟﺍﻊﻠﻄﺘﻣﺐﻧﺎﺟ
lo	volitiveﺝﺍﺰﻣ
cwah	ﺪﻌﺑ
nlah	ﻞﻳﻮﺤﺘﻠﻟﻞﺑﺎﻗﺓﺯﺎﻴﺣ
nlih	ﻞﻳﻮﻤﺘﻟﺍﻭﺓﺭﺩﺎﺼﻤﻠﻟﻞﺑﺎﻗﺮﻴﻏﺓﺯﺎﻴﺣ
cyih	ﻝﻭﺍﺪﺗﺝﺍﺰﻣ
lwah	perlativeﺔﻟﺎﺣ
pfih	ﺔﻴﻣﺪﻘﺗﺐﻧﺎﺟ
tsih	ﺎﻨﻫ
ce	ﺖﺤﺗﻡﻼﻜﻟﺍﻕﺎﻴﺳ
pcah	ﺎﻀﻳﺃ
lwih	delativeﺔﻟﺎﺣ
swah	semelfactiveﺐﻧﺎﺟ
nyih	ﺩﺪﺠﻟﺍ
fu	ﺰﻛﺮﺗ
plah	ﺐﺤﻟﺍ
po	paucalﺩﺪﻋ
kyih	ﺐﺒﺴﺑ
ksih	ﻲﺒﺒﺳﺔﻟﺎﺣ
gi	ﻢﺳﺍ
tfah	ﻖﺋﻻﻢﺳﺇ
crih	ﻲﺋﺮﻣﺮﻫﺎﻇ
kceh	ﻞﻀﻓﺃ
dwih	desiderativeﺝﺍﺰﻣ
wo	ﺔﻤﻠﻛ
srah	ﻰﺘﺣ
tweh	terminativeﺔﻟﺎﺣ
nwih	inessiveﺔﻟﺎﺣ
pcih	ﺐﺟﺍﻭﺝﺍﺰﻣ
crah	ﻦﻣﺅﺃ
ro	ﺔﻟﺎﺣﻡﻼﻜﻟﺍﻕﺎﻴﺳ
cwih	ﻞﻣﺃ
kwih	factiveﺮﻫﺎﻇ
fi	ﺓﺩﻮﻋ
psih	ﻲﻨﻤﺘﻟﺍﻰﻠﻋﻝﺍﺩﺝﺍﺰﻣ
tseh	ﻞﻤﺘﺤﻣﺝﺍﺰﻣ
lweh	allativeﺔﻟﺎﺣ
nrih	ﻲﺴﻧﺇﺚﻴﻧﺄﺗﻭﺃﺮﻴﻛﺬﺗﺲﻨﺟ
tceh	ﻪﺴﻔﻧﻉﻮﺿﻮﻣﺔﻣﻼﻋ
re	ﻒﻠﺘﺨﻣﻉﻮﺿﻮﻣ
croh	ﻑﻮﺧ
mrah	ﻢﻬﻔﺗ
cyuh	ﻚﺷ
twuh	dubitativeﺝﺍﺰﻣ
myih	ﻞﻴﻤﺟ
lyih	ﻡﺎﻤﺘﻫﺍ
flah	ﺮﻳﺎﻐﻤﻟﺍﻲﻃﺮﺷ
we	vialisﺔﻟﺎﺣ
clih	ﺩﺮﺑ
pyih	ﻡﻼﺳ
su	ﺍﺪﻋﺎﻣ
kwah	ﺔﺒﻏﺭ
le	ﻝﻮﻄﻟﺍ
bo	ﻝﺎﻤﺘﺣﺍ
mlah	ﺔﻠﻜﺸﻣ
syah	ﺔﻣﺎﺴﺘﺑﺍ
slih	ﻡﻮﻧ
zi	ونقلت
twoh	quotativeﺔﻟﺎﺣ
mo	ﻞﻣﺎﺷﺺﺨﺷ
kcih	ﻚﻠﻀﻓﻦﻣ
rwih	precativeﺝﺍﺰﻣ
mrih	ﺏﺬﻬﻣﻞﻴﺠﺴﺗ
rwah	ﻞﻤﺘﺤﻣﺐﻧﺎﺟ
cyeh	ﺐﺠﻋ
go	ﺭﻮﺛﺄﻣﺐﻧﺎﺟ
tsoh	ﻡﺍﺮﺘﺣﺍ
za	inchoativeﺐﻧﺎﺟ
jwih	jussiveﺝﺍﺰﻣ
mwih	ﻞﻫﺎﺴﺘﻣﺝﺍﺰﻣ
sloh	ﺡﺎﺠﻧ
prih	ﺹﺎﺧ
de	ﻲﻌﻳﺯﻮﺗﺔﻟﺎﺣ
tcoh	ﻢﻟﺃ
ryah	ﻚﺤﺿ
mlih	ﻢﻴﻜﺣ
ye	ﻲﻜﻠﻤﺗﺔﻣﻼﻋ
ke	commissiveﺝﺍﺰﻣ
creh	ﺎﺜﺒﻋ
mweh	ﻝﺎﻤﻛﻷﺍﺐﻧﺎﺟ
nrah	ﺊﻓﺍﺩ
nroh	ﺐﻀﻏ
bwah	ﻢﻏﺭ
trah	ءﺎﻳﺮﺒﻛ
mroh	ﻲﻗﻼﺧﺃ
slah	ﺔﺤﺼﻟﺍ
syih	ﻲﻋﺎﻤﺘﺟﺍ
pe	ﻒﻗﻭﺐﻧﺎﺟ
krih	ﻲﻟﻮﻀﻓ
tfih	ﻒﻴﺜﻜﺗ
fe	ﺍﺮﻴﺧﺃ
prah	ﺎﺒﻧﺎﺟ
trih	ﺮﻫﺎﻇ
nwah	ﺮﻫﺎﻇﺔﻟﺎﺣ
srih	ﻦﻳﺰﺣ
zo	zoicﺚﻴﻧﺄﺗﻭﺃﺮﻴﻛﺬﺗﺲﻨﺟ
nweh	eventiveﺝﺍﺰﻣ
cwoh	ﻪﺴﻔﻧﺙﺪﺣﺔﻣﻼﻋ
plih	ﻒﻋﺎﻀﻤﻟﺍﺔﻟﺎﺣ
dwah	مرغوب
kcoh	ﺐﻌﺘﻣ
drah	ﺽﺍﺭ
lu	ﺔﺑﺭﺎﻀﻤﻟﺍﺝﺍﺰﻣ
frih	ﻑﻮﻟﺄﻣﻞﻴﺠﺴﺗ
frah	ﺢﻳﺮﺟ
mruh	ﻞﻘﻌﻟﺍﻞﺘﺨﻣ
djih	ﻒﻃﺎﻌﺗ
krah	ﺍﺮﻜﺷ
cruh	ﺭﺎﻋ
fyah	ﺓﺭﺎﺒﻌﻟﺍﺔﻣﻼﻋ
ryih	محتومة
kruh	ﺓﺭﺍﺮﻣ
tyeh	ﺺﻧ
kreh	ﺔﻴﺳﺎﻗ
tleh	hesternalﺮﺗﻮﺗ
kfah	ﺔﻴﺤﻀﺗ
dyih	ﺔﻴﻫﺍﺮﻛ
cloh	ﻲﻧﻼﻘﻋﺚﻴﻧﺄﺗﻭﺃﺮﻴﻛﺬﺗﺲﻨﺟ
nloh	ﻊﺘﻤﺘﺳﺍ
psah	ﺱﺄﻳ
sleh	ﻲﺗﺎﺒﻧﺚﻴﻧﺄﺗﻭﺃﺮﻴﻛﺬﺗﺲﻨﺟ
nruh	ﺉﺮﺑ
drih	ﺏﺎﺠﻋﺇ
sroh	ﺍﺭﺬﻋﻚﺤﻴﻤﺘﺳﺍ
brih	ﺓﺪﻋﺎﻗ
kluh	ﻙﺎﺒﺗﺭﺍ
bwih	ﺔﻛﺮﺒﻟﺍﺢﻨﻣﺝﺍﺰﻣ
klih	ﺐﻧﺬﻣ
grih	ﻞﻫﺎﺟ
nyeh	ﺓﺭﺩﺎﺒﻣﺔﻟﺎﺣ
nleh	ﻊﺿﺍﻮﺘﻣ
dlih	ﺮﻴﺧﺄﺗﺐﺟﺍﻭ
proh	ﺕﺮﻛﺫﺮﻫﺎﻇ
mloh	حزن
du	ﺩﺮﻔﻤﻟﺍﺔﻐﻴﺻ
jrih	ﺮﺒﺻ
freh	ﻲﻌﺟﺮﻣ
kloh	ﺍﺪﻴﺣﻭ
kroh	ﺮﺤﺳ
tcuh	ﺱﺎﻤﺣ
kcuh	ﻲﺜﺣﺝﺍﺰﻣ
xa	ﺭﺍﻮﺤﻟﺍﻡﻼﻜﻟﺍﻕﺎﻴﺳ
nreh	ﻲﺒﺼﻋ
pseh	ﺐﻧﺎﺟ
ge	ﻞﻴﻛﻭ
mu	ﺏﺎﺘﻋﺝﺍﺰﻣ
byah	ﺡﻮﻤﻃ
pcoh	ﻢﺣﺩﺰﻣ
treh	ﺓﺮﺷﺎﺒﻣﺮﻫﺎﻇ
yo	ﻖﻠﻗﺝﺍﺰﻣ
cwuh	ﺔﻣﺪﺻ
tloh	ﺓﺮﻴﺧﻷﺍﻲﺿﺎﻤﻟﺍﺮﺗﻮﺗ
dlah	ﺓﺪﻴﻛﺃﺔﻟﺎﻘﻣ
cluh	ﺢﻴﺒﻗ
myuh	ﺔﻫﺎﻜﻓ
dyah	ﻲﺻﺎﻘﻟﺍﻲﻧﺎﻫﺮﺑ
rwuh	ﺭﻮﻴﻏ
troh	ﻦﻋﺍﺝﺍﺰﻣ
dzih	ﺓﻻﺎﺒﻣﻻ
swuh	ﻪﺑﻢﻠﺴﻣﺝﺍﺰﻣ
bzah	ﺡﺍﺰﻣ
gwih	ﻱﺃ
dloh	hodiernalﺮﺗﻮﺗ
dweh	delimitativeﺐﻧﺎﺟ
kweh	ﺔﻳﺮﺼﺣﺺﺨﺷ
truh	ﺓﺭﺍﺮﺤﻟﺍﻪﺟﺭﺩ
tfeh	ﻚﻴﻠﻴﺗﺐﻧﺎﺟ
lyeh	atelicﺐﻧﺎﺟ
ru	ﻲﻤﻳﺮﺤﺗﺝﺍﺰﻣ
kfih	ﻲﻟﻮﻔﻃ
cyoh	ﻩﻮﺒﺸﻣ
nluh	ءﺎﻓﻭ
cweh	ﺦﻓ
nwoh	متحرك
sruh	التشويق
ksoh	ﻲﺴﻨﺟ
lyah	ﻝﻮﺴﻛ
mreh	momentaneﺐﻧﺎﺟ
pceh	يأسف
bjih	ﻖﺑﺎﺳﻰﻓﻮﺘﻣ
pcuh	ﻚﺸﻟﺍ
xi	ﻱﺩﺎﻴﺘﻋﺍﺐﻧﺎﺟ
blih	محدود
tsuh	ﻪﻓﺎﺗ
fwih	مهيب
grah	طرى
brah	ﻲﻃﺎﺒﺘﻋﺍ
cleh	خير
sreh	ﻲﻤﺳﺭﻞﻴﺠﺴﺗ
pfah	مفيد
droh	ﻲﻌﻤﺳﺮﻫﺎﻇ
flih	ﻲﺟﺎﺘﻨﺘﺳﺍﺮﻫﺎﻇ
sweh	sublativeﺔﻟﺎﺣ
ksuh	ﻲﺤﻳﺮﺼﺗﺝﺍﺰﻣ
pleh	ﺎﻈﺣ
psoh	لايقهر
be	ﻲﻈﻔﻟ
mwoh	فكرةخيالية
kleh	بؤس
glah	ﻊﺸﺟ
kseh	ﺖﺒﺜﻣﺝﺍﺰﻣ
zrah	ﺎﺿﺮﻟﺍﻡﺪﻋ
dyoh	idiophone
syoh	بالرعب
gwah	ﻁﺮﻔﻣﺔﻟﺎﺣ
zlih	irrealisﺝﺍﺰﻣ
zrih	ءﺎﻴﺣ
byih	ﻒﻴﻜﺗ
ryeh	ﺮﻴﻤﺿﺔﻣﻼﻋ
fwah	ﺪﺼﺘﻘﻣ
bjah	شاطح
kxah	ﺵﺄﺟﺔﻃﺎﺑﺭ
gvih	pegativeﺔﻟﺎﺣ
pxih	تبرئة
xrah	تنتهي
tfoh	منالآنفصاعدا
kxih	ندم
ryoh	ﺔﻴﺋﺎﻀﻘﻟﺍﺔﻘﺣﻼﻤﻟﺍﺔﻟﺎﺣ
qyah	ﻙﺎﻤﻬﻧﺍ
r6	ﻞﻋﺎﻔﻟﺍﻢﺳﺇ
txah	ﺪﻌﺑﻦﻋﻲﺿﺎﻤﻟﺍﺮﺗﻮﺗ
xrih	ﻲﺨﻳﺭﺎﺗﺮﺗﻮﺗ
dxah	ﻲﺋﺎﻨﺛﺩﺪﻋ
syuh	ﻖﺋﺎﻓ
vweh	منهك
n6	ﻲﺴﺣﺮﻫﺎﻇﺝﺍﺰﻣ
bweh	ﺱﻮﻫ
xlih	ﺡﺮﻣ
txih	طعنة
sluh	راضالنفس
txoh	ﺔﻛﺮﺣﺍﺪﻌﺻ
xe	ءﺍﺭﻮﻟﺍﻰﻟﺍﻊﻠﻄﺘﻣ
pxah	اصطاد
vwah	ﺔﻛﺮﺣﺭﺍﺪﺤﻧﺍ
xyih	ﺓﻮﻔﺻﺔﺒﺨﻧ
fleh	ﻦﺜﻨﻣ
psuh	superessiveﺔﻟﺎﺣ
syeh	شبق
qi	ﺪﻌﺘﻣ
xruh	ﺶﻤﻜﻧﺍ
zwah	رائع
tr6h	ﺔﻛﺮﺣﺮﻬﻨﻟﺍ
qwah	قنوع
xlah	فيجميعأنحاءالعالم
tyoh	ﺪﻌﺘﻣﺮﻴﻏ
tluh	ﻞﻣﺃﺔﺒﻴﺧ
qa	ﺭﺎﻴﺗﺔﻣءﻼﻣﺔﻣﻼﻋ
kxoh	الكلبمتعب
rwoh	ﻲﺒﻴﺗﺮﺗ
ve	ﺕﻼﻗﺎﻧ
kyoh	كيلو
swoh	ﻲﻠﺴﻠﺴﺗ
pxeh	partitiveﺔﻟﺎﺣ
txeh	ﺩﺎﻳﺩﺯﻼﻟﻞﺑﺎﻗ
dxih	ﻱﺩﺎﻨﺳﺇ
pxoh	prolativeﺔﻟﺎﺣ
pfoh	ﺪﻳﺆﻤﻟﺍﺓﺭﺎﺒﻌﻟﺍ
blah	ﺕﺍﺬﻠﻤﻟﺍﻦﻣﻞﻠﻣ
fyih	ﺮﻴﻏﻥﺎﺴﻧﻻﺍ
xo	ﻞﺜﻤﻤﻟﺍﺭﻭﺩ
pc6h	ﺔﺑﺮﺠﺘﻟﺍﺩﺪﻋ
greh	ﻱﺰﻛﺮﻣﺔﻟﺎﺣ
groh	ﻑﺪﻫﻞﻐﺸﻣ
dxoh	ﻂﺳﻭﺕﻮﺻ
rweh	ﻑﺮﺤﻨﻣﺔﻟﺎﺣ
xwah	ﺾﻳﺮﻤﻟﺍﺔﻟﺎﺣ
xu	hodiernalﻞﺒﻗ
xroh	ﺝﺭﺎﺧءﺍﺪﺗﺭﺍ
ks6h	ﺐﺒﺴﻣ
vi	-ﺔﻴﺋﺎﻨﺛﺔﻤﻴﻗ
dleh	ﻲﻠﻜﺷﺔﻟﺎﺣ
gjeh	ﺍﺫﺍﺮﺧﺁ
xreh	زميلعمل
lwoh	ﻲﻓﺮﻇﺔﻟﺎﺣ
ml6h	multalﺩﺪﻋ
gjih	ﺓﺮﺠﻤﻟﺍﺲﻨﺟ
qlah	ﺔﻤﺠﻧﺲﻨﺟ
bvih	abessiveﺔﻟﺎﺣ
dvah	adessiveﺔﻟﺎﺣ
je	agentiveﺔﻟﺎﺣ
t6	ﻞﻴﻛﻭﻞﻐﺸﻣ
kxeh	ﻰﻟﺇﺔﻟﺎﺣ
gxih	ﻙﺮﺘﺸﻣﺚﻴﻧﺄﺗﻭﺃﺮﻴﻛﺬﺗﺲﻨﺟ
tc6h	ﻪﻳﻮﻨﺗﻞﻜﺷ
ts6h	ﺮﺒﻋﻱﺩﺪﻋ
ryuh	ﺓﺮﺷﺎﺒﻣﻉﻮﺿﻮﻣ
gveh	ergativeﺔﻟﺎﺣ
pyoh	ﻝﻮﻬﺠﻤﻠﻟﻲﻨﺒﻣﺕﻮﺻ
qe	ﺩﻭﺪﺤﻣﻞﻌﻔﻟﺍ
xwih	ﻲﺋﺍﺪﺘﺑﺍﻉﻮﺿﻮﻣ
myoh	ﺭﻮﺛﺄﻣﺝﺍﺰﻣ
vrih	ﻲﺋﺎﻬﻧﻢﻴﺴﺟ
va	evitativeﺔﻟﺎﺣ
bveh	subessiveﺔﻟﺎﺣ
dxeh	ﻚﻠﺘﻣﺍﺔﻟﺎﺣ
dvih	lativeﺔﻟﺎﺣ
tsa7h	antessiveﺔﻟﺎﺣ
dyeh	ﻑﺮﻈﻟﺍﺔﻟﺎﺣ
mleh	ﻲﺣﺚﻴﻧﺄﺗﻭﺃﺮﻴﻛﺬﺗﺲﻨﺟ
pfeh	ﻥﺎﻨﺤﺑﺔﺣﺮﻓ
xleh	ﺔﺒﻛﺮﻣﺲﻨﺟ
qlih	ﻥﺪﻌﻣﺚﻴﻧﺄﺗﻭﺃﺮﻴﻛﺬﺗﺲﻨﺟ
xloh	ﻲﻈﻔﻟﻢﺳﺇ
dreh	ﺎﻴﻧﺎﺛﺔﻐﻟ
bvah	ﺕﺍﺬﻟﺍﺲﻔﻨﻟﺎﺑﺔﻘﺜﻟﺍ
qrah	ﺮﻴﻴﻐﺗﻦﻣﺙﺪﺣ
fo	ﻒﻠﺘﺨﻣﺙﺪﺣ
sl6h	crastinalﺮﺗﻮﺗ
fyoh	ﻲﺳﺎﻜﻌﻧﺍﺕﻮﺻ
bxih	ﻥﻮﻜﻟﺍﺲﻨﺟ
jlih	ﺪﻌﺘﻣﻞﻌﻔﻟﺍ
kyeh	ﻥﺎﻜﻣﺲﻨﺟ
txuh	ﺚﺤﺑﺲﻨﺟ
s6	ﻲﻨﻓﺲﻨﺟ
preh	ﺾﻳﺮﻤﻟﺍﻞﻐﺸﻣ
sr6h	ﺺﺨﻠﻣﺚﻴﻧﺄﺗﻭﺃﺮﻴﻛﺬﺗﺲﻨﺟ
nyoh	ﺮﺷﺎﺒﻣﺮﻴﻏﺏﺎﻄﺧ
zreh	exocentricﺔﻟﺎﺣ
kfeh	ﻲﺿﺎﻤﻟﺍﻦﺴﺤﺘﻣ
jo	ﻝﻮﻬﺠﻤﻠﻟﻰﻨﺒﻣﻞﻌﻔﻟﺍ
kxuh	ﻲﻋﺎﻤﺟﻢﺳﺇ
bu	absolutiveﺔﻟﺎﺣ
qrih	ﻲﺒﻛﻮﻛﺲﻨﺟ
kfoh	ﺓﺍﻮﻨﻟﺍbenefactive
kwoh	ﻲﻄﺑﺍﺮﺗﺔﻟﺎﺣ
pluh	ﻞﻴﻀﻔﺘﻟﺍﺔﻐﻴﺻﺔﻟﺎﺣ
jrah	ﻲﺋﺎﺑﺮﻬﻛﺭﺎﻴﺗ
glih	ﺩﺎﻤﺟﺚﻴﻧﺄﺗﻭﺃﺮﻴﻛﺬﺗﺲﻨﺟ
p6	propositiveﺝﺍﺰﻣ
vrah	ﻝﺩﺎﺒﺘﻣﺕﻮﺻ
lyuh	ﻝﺍﻮﺘﻣﺪﻨﺑ
gleh	ﺍﺬﻜﻫﻞﺒﻘﺘﺴﻣﺮﺗﻮﺗ
lyoh	ﺔﻴﻘﻴﺒﻄﺗﺕﻮﺻ
ps6h	antipassiveﺕﻮﺻ
tfuh	continuativeﺐﻧﺎﺟ
nr6h	necessitativeﺝﺍﺰﻣ
pr6h	ﻝﻮﻬﺠﻤﻠﻟﻲﻨﺒﻣﻞﻋﺎﻔﻟﺍﻢﺳﺇ
sy6h	ﻱﺩﻮﺟﻭﺪﻨﺑ
qyih	ءﻲﻀﻣﺔﻓﺎﺜﻛ
gluh	singulativeﺩﺪﻋ
kwuh	ﻁﺮﻔﻣﺓﺪﻣ
xyah	ﺪﻴﺣﻭﻞﻤﻋﻞﻌﻔﻟﺍ
vlih	ﻞﻴﻀﻔﺘﻟﺍﺔﻐﻴﺻﺔﻴﻤﻠﻌﻟﺍﺔﺟﺭﺪﻟﺍ
djah	ﺮﺿﺎﺣﻞﻋﺎﻔﻟﺍﻢﺳﺇ
m6	ﺔﻴﻤﻛﻦﻣﺓﺩﺎﻣ
ti7	ﻡﺎﺿﻢﻴﺴﺟ
f6	epentheticﻢﻴﻓﺮﻣ
tli7h	ﺪﻌﺑﻦﻋﻞﺒﻘﺘﺴﻣﺮﺗﻮﺗ
si_	postpositionalﺔﻟﺎﺣ
l6	ﺔﻴﻤﺳﺭﺔﺒﻄﺧﺔﻴﻗﺎﻔﺗﻻﺍ
k6	ﻱﺭﺮﻜﺗﺐﻧﺎﺟ
bzih	ﻲﻌﻳﺯﻮﺗﺮﻴﻤﺿ
tu7	ﻢﻗﺭﺔﻄﻘﻧﺔﻤﺋﺎﻌﻟﺍ
vo	ﺔﻘﺣﻻﻦﻴﺑﻞﻌﻔﻟﺍ
ki7	ﻲﺿﺎﻤﻟﺍﻝﻮﻬﺠﻤﻠﻟﻲﻨﺒﻣﻞﻋﺎﻔﻟﺍﻢﺳﺇ
ta_	ﻲﻓﺮﻇﻲﻫﺎﺠﺗﺍﺔﻟﺎﺣ
