hnit	动词不定式
hmac	时刻
hnas	不能
hwic	水
twim	desiderative心情
kwan	光
tlat	字
tyan	门
hsas	早上
syat	直到
twik	终结外壳
hpit	白色
pcan	钱
hyis	较差的
mwan	死亡
hfam	形成
nwik	内格外壳
kcat	一起
tsac	经常
pyat	朋友
psan	半
hpim	势在必行心情
hyuc	回合
hfat	发送
hcis	妻子
kcan	相信
hsik	上市
htus	州背景
hpas	儿子
clat	孩子
tyak	从而
cwan	希望
syin	亲爱
hkuc	高
tyac	读
syit	市
hlic	已经
hfit	事实性证据
tcac	女孩
hcun	听
ksan	最小
hyaf	也许
kyat	的确
tcic	体
hwit	返回
cwat	空气
hfaf	法
hput	帮帮我
lyat	信
ksas	四
hpic	表愿望的心情
hfuk	火
hcam	小时
twat	战争
kyak	几个
tlit	第二
pcin	背后
hmut	迷路
clan	千
hfac	家庭
twan	灵魂
hwas	题
syan	真相
htis	制造
tsat	潜在心情
lwik	allative外壳
nyin	择性别
hfak	五
tcak	相同学科标记
htuc	不同学科
hnap	回答
hmit	海
hcuc	恐惧
pcat	理解
syas	术语
hcaf	怀疑
twut	dubitative心情
hkis	黑色
tlak	带来
hyus	美丽
nyit	分类
htip	十
ksis	故事
hpuk	书
hlin	电子
hkun	帐户
lyas	利益
lyit	写
pwat	床
hnis	年龄
hnut	反有条件的
slas	艺术
hwis	vialis外壳
pyak	哥哥
lyin	线
tyas	表
hyun	河
kyac	眼
tfan	突然
kcin	深
hmuc	目的
cyac	血液
hmap	玫瑰
tlin	冷
hyif	前锋
tyam	晚了
hnaf	假设
hkip	几乎
myan	矿
tsin	知识
hkup	复制
hsam	丈夫
hlis	六
cwit	活的
cyan	和平
myat	记得
tyic	自然
hfut	秋季
swas	服务
hsap	除
pcit	版权
hyim	军队
kyas	马
plic	未来
pcak	西
hpis	工资
hyuk	红
hwun	金
twin	欲望
plan	玩
hpus	办公室
syun	政府
kyic	教会
htaf	强度
hlun	长度
kyin	公司
kyis	纸
mlan	可能性
hcim	特别
cyas	熊
twac	窗口
nyat	美女
hcus	后者
htup	责任
htif	距离
pyas	脚丫子
hlas	野生
ksin	绿色
hmaf	麻烦
myac	微笑
hsim	睡觉
kyit	引
kwik	quotative外壳
fwan	访问
slan	遵循
psit	存在
hmic	甜
hmuf	口
hfin	丰富
tcam	敌人
psuk	破碎
kcap	船
pwan	包容性人
hfic	影响
tcuc	出现
hkim	秘密
pyin	请
pwit	precative心情
pyit	有礼貌寄存器
cwak	邪恶
myak	游行
tcas	地方
hlaf	留
psat	代替
nlan	蓝
psac	不可能
kcuk	学校
kcit	已婚
kcak	食品
syis	二十
tlac	安静
hcip	预期方面
kwin	给
tsit	停止
pyac	语言
hsus	周
hcup	大厅
cyap	奇迹
tfin	天生
fyat	法庭
hnip	格言方面
tsak	尊重
tlas	价值
syuc	树
plat	壁
cyak	天堂
twip	发端的方面
mlat	命令
swit	命令的心情
mwas	月
hwaf	完善
tyap	经验
ksac	情况
syac	新鲜
hnuk	公爵
kwak	覆盖
tyuk	东
pwac	石
hkif	高贵
nyac	方向
cyis	椅子
tyuc	等候
tsun	村
tyik	同意
hnum	宽容心情
slak	成功
tsic	试
slat	山
hmik	音乐
hkus	哭
hsip	七
hpaf	私人
nwas	新闻
tfac	现场
fyan	花园
cwas	开始
hfik	分配的外壳
lyac	学习
syik	政治
clin	亨利
cyin	谎言
tsas	投
cyik	权威
tlap	地板
cyam	夏季
tcut	宗教
tcap	逃逸
hlut	作者
pyun	棕色
tcuk	疼痛
swan	弹簧
hmun	柔软的
kyun	角
nyak	商标
tsis	正义
psas	生产
cyaf	笑
hwut	忘记
hyup	欧洲
hwap	八
psak	通过
kyap	可怕
pyic	需要
hmim	中
hsaf	气息
hmis	明智
hsum	所有格标记
ksat	愉快
ksit	严重
tsap	岛
kyam	营
tcum	触摸
cyun	幸运
psic	支撑
tyun	域
mwit	承诺性心情
tlut	度
myit	冬季
kfan	进行
slac	赛跑
myin	分钟
tyip	铅
klas	玻璃
pfat	板
cyic	徒然
swam	事务
syam	安全
tsut	医生
hlip	completive方面
kcas	黑暗
nyun	暖
hpuc	喝
tlam	例
hfun	愤怒
tsik	尽管
tsam	直
hmup	帽子
klak	狗
slin	银
swac	仆人
kcam	自豪
pyik	培养
myut	道德
syak	输入
swat	剑
kyuk	攻击
clac	健康
tyaf	段
swic	社会
tfit	退
hkaf	官方
pcas	一瞥
nyam	荣耀
tfat	十二
pcut	订婚
pwin	葡萄酒
mwat	味道
fyac	铁
syap	分发
myap	贸易
hyum	运用
fwak	法官
klat	队长
twap	戒烟方面
kcic	好奇
kwic	国外
hnif	增强
myun	重要性
tlic	最后
cyuk	颈部
syut	自由
pfan	双方
kyuc	干
pcap	在旁边
tfak	证据
tcik	证据外壳
twun	遥远
tyis	进展
nyap	缩小
plit	建造
hpif	页
pwic	保持
syic	伤心
tsip	罪
syim	生病
tcis	诚实
pcun	银行
ksap	接受
lyam	流
tcaf	小心
kwac	耳
hpup	面包
kcut	选择
nwam	动物
hsup	宙性别
nwit	eventive心情
tcim	相同事件标记
tlik	乘法外壳
kyus	交叉
hmus	厚
kfat	敢
nwat	增长
myic	雨
hpum	表面
swut	圣
clis	七月
mwun	时尚
hfas	文件
cwac	肩
kwat	安慰
nwac	任何人
tcip	期望
kfac	草
hmuk	绘制
plin	开盘
kwun	六月
mlik	鱼
klin	资本
pfut	乳房
twam	要求
fyin	费用
nlit	你的
mlin	百万
pyut	祈祷
hluk	累
ksut	杀
cyut	阴影
psin	重量
kcis	灰色
pyam	勇敢
mwac	满意
klam	告诉
ksam	国民
hfip	弱
klik	谷
hkum	投机心情
clas	黄色
cyuc	热
mlac	遗迹
syip	一样
pwak	框
tcif	尖
psip	原理
ksik	后果
tsim	季节
flan	科学
pcam	显然地
kcun	孔
ksuk	叔叔
mlit	名单
pcik	危险
kwas	八月
hluc	流行
klit	未知
flak	熟
fyit	熟寄存器
lwat	读者
plun	步行
twas	两次
pcis	牧师
fyas	负伤
nlat	宫殿
myuk	傻子
pfak	偏爱
tcuf	九
cwap	同情
plac	爆裂
pyap	把
lyic	连衣裙的
hcum	噪声
lwit	文学
tsuk	秩
hfup	风暴
kcik	口袋
nwap	十一月
tyim	十二月
psaf	缺席
nlac	人口
kyaf	感谢
slis	系列
pyaf	鸟
mlak	所有者
kwut	涂层
hwuc	关系
pyis	急速
twuc	抽烟
nwak	一月
mlic	机
tlis	牙齿
ksun	燃烧
clam	耻辱
klaf	质量
clit	环
fyak	短语
fyam	短语标记
kwap	广场
hwip	星期日
psis	诗
pwut	注定
kyim	购买
clic	领域
pyip	四月
kfap	十月
psut	对象
kcuc	苦
nlap	奴隶
hsok	松
htet	文本
hbat	最差
hrit	信用
hzit	特征
hpet	十五
krac	残忍
hduc	灰尘
hrik	实用
hron	颜色
hnus	鼻子
hric	友好
srik	供应
hten	昨天
tlet	hesternal紧张
slap	失败
hban	穿
hdat	盲
fran	飞
hdan	魔鬼
htec	逐渐
hmon	任务
cran	牺牲
hran	良心
hmos	部长
nrit	能源
hcet	讨厌
hset	中央
hrin	合理的性别
hcot	享受
hrip	简要
htep	崇拜
hcif	皮肤
hrat	屋顶
kran	冠
hkon	城堡
tran	绝望
hmif	英里
trin	圈
hgin	监狱
hkop	杯
hcen	会员
swin	国内
hrac	到处
hris	习俗
hbin	变得
hmot	肉
hdut	牛奶
hwen	植物性性别
nran	罕见
hbac	表姐
crut	桥
hsoc	股票
hsom	盐
nris	无辜
hbit	避免
crin	钦佩
rwin	女王
hgut	计数
hdas	舞蹈
hnot	饭店
hdin	填
hton	囚犯
hdak	店
hlet	楼梯
hson	赦免
hgek	同性恋者
hras	砂
hsep	九月
hbic	废墟
hlen	许可
hcon	充分
hgit	见证
kfon	厨房
hbak	卖
tlim	治疗
hsot	速度
kyut	计算机
hnen	永恒
htek	图书馆
hzan	含
hbis	基础
hbun	混乱
kcus	厨师
hgat	沙漠
hwus	吻
hbif	冰
hbot	球
hrut	论据
hdit	祝福心情
hdis	有罪
hjan	惩罚
plis	警察
hgan	隐藏
hsen	远征
nrin	无知
hyen	云
frif	二月
hdik	疾病
hnek	倡议外壳
hbam	姨妈
hmen	谦卑
hdip	延迟势在必行
prat	报道证据
hdet	午夜
hjit	手指
hmoc	某处
pran	按
kcec	地区
hken	最近
hloc	愁绪
hrak	员工
htes	凝视
rwan	奖励
hdon	捐
htot	前额
hnet	天使
hdun	单数
croc	错误
hlon	黎明
hyec	羊
hjin	忍耐
hrec	参考
mran	玉米
htos	多数
hcos	措施
hkoc	偶尔
hlif	利润
clak	糖
hjat	人类
tram	帧
hdic	磁盘
hkok	孤独
srat	艺术家
crak	魅力
hmet	电子邮件
hden	决定
gran	州长
crac	科
hjac	热情
hdim	归纳的心情
hcok	匆忙
hyet	油
pwap	管
trat	打印
tcot	固体物质
hdoc	哦
hren	演讲背景
tcon	中午
krin	舱
plam	报警
hnes	紧张
tcen	意见
hsek	方面
plik	适用
slik	丝
hfen	一分钱
hgen	经纪人
hnon	联盟
crik	地狱
tcet	缺陷
mrat	杂
hdam	警告心情
hgac	志向
htoc	不知何故
hdac	法律顾问
nwin	宪法
srit	仪器
hret	牢牢
nlin	线上
hzat	潮
klic	学院
hkek	尾
nric	代
hgic	挤
hgak	猫
trit	直接证据
tyot	条约
hnok	内容
crit	弃
slen	十一
srin	本能
hpok	部落
hyot	忧虑心情
cric	庇护
hruc	无礼
cwin	骑术
hzak	摇
dyit	行业
hpec	职业
nras	护士
hcec	教学
hbut	鞋
hmec	模糊
twot	活动
crat	星期六
hkot	容量
hnec	阳光
hwuf	寡妇
cren	棚
nrat	星
hget	来宾
hbik	保佑
brin	内
hpot	可用的
trac	抵抗性
prac	派生
hcoc	空洞
hpon	省
hwim	文明
dwan	挂
cwok	休克
hdok	主动
crun	宝
hzik	种子
hrot	最近过去紧张
hket	醒
hcek	家具
hrop	绳
mrac	冒险
byit	盛宴
trak	全年
hzin	南部的
sric	仪式
clik	狩猎
trap	自由派
hrim	基督教
hrus	公主
blat	坛
cyon	小
hwep	卷筒纸
krat	枢机主教
tris	紫色
kcot	收集
hben	选举
trik	醉
kfit	电梯
tcec	交换
nrik	定文章
grat	皇帝
dran	行政
hpen	先前
cluk	丑陋
nrac	无害
ryin	训练
hrun	滚
nwic	英寸
slit	射击
gzat	报纸
krot	切割
drit	胡子
hzis	撕
hdap	十八
sris	历史的
mrut	毛
nyik	泥
bran	新娘
drat	依赖
djan	巨人
glat	简单
hpoc	秋季
pras	面纱
hgot	搜集
tret	剧院
tras	对照
rwit	对手
hfon	成型
klot	教练
hmum	幽默
drac	演讲
rwas	小说
tset	复仇
hdot	远端指示代词
ryut	妒
hwon	请帖
byat	焦
flac	闪
prot	肖像
crek	建议
htok	冲突
htop	诅咒
prit	咒诅心情
hces	无助
klup	俱乐部
hnos	洪水
dwin	漠不关心
prin	地平线
mrit	憍心情
tcoc	陡
hcom	和谐
grit	雷
tlot	童年
hgik	膝盖
hwes	无意识
hzac	相互
hsec	软件
tson	机构
ryit	收据
dlin	学科
slip	滑
klon	革命
hfim	农民
hpom	平台
cyen	学生
hgec	洞穴
hroc	传统
srac	提交
ryat	悲剧
kcen	处女
hbap	告别
krik	批评
krap	棉
fwat	医院
kcet	出租
hgas	气体
pfin	必然
dlit	叶
ryan	翻译
sran	葬礼
mrin	面粉
hram	浪漫
dlan	美元
hzas	笑话
hsos	十六
klen	殖民地
gyin	翼
hsif	狮子
cluc	狡猾
prip	制备
hzut	薄雾
dwat	医学
krit	校对
sras	巢
hses	十四
brat	异议
flat	酸
hjic	亦即
slic	武器
hbuc	用户
tron	橙
byan	浴
hrif	原始
tlip	建立
blan	篮
kris	秘书
hyon	与此同时
tren	今天
dlat	hodiernal紧张
hzic	毒
tfic	步枪
tlen	天赋
hlim	气候
dyat	伴侣
kcon	启示
dlac	洗
krak	自白书
hbas	废话
hkec	煤炭
hrek	恢复
hkos	独木舟
hwif	副
tric	临时
hdep	定界方面
mwak	桩
ksot	骨
hnoc	星期一
nlas	星期二
brac	星期三
frap	联邦
pfit	代表
pcoc	极
lyen	麻布
swak	水槽
pcen	主席
brit	血腥
hwec	围城
hwet	胃
hlos	楼上
hbon	多变
pcon	黄铜
hsem	首脑
lwac	廉价
tsos	竞赛
kwen	独家人
trun	降落
trut	雕像
hrap	炮兵
hgap	逮捕
trot	温度
grin	邻里
hjak	拥抱
hpek	包
hlus	鹿
hwos	卧室
tsuc	衬套
pcuc	卸货
cris	继承者
clun	橡木
hpes	不愉快
nlet	残缺
hrom	程序
pyon	钢琴
swet	说服
dric	无形
tyen	知名
hruk	残酷
frat	分配
hyoc	诱惑
hlep	TELIC方面
nrot	国际
nret	猛烈
hfif	哲学家
pfic	表示
hmek	敏感
hfec	福利
myik	钓鱼
truc	偷
tcop	唇
rwic	退休
htom	经济
glan	画廊
pren	平行
hlek	atelic方面
nrak	大陆
truk	敲
hjim	令人望而却步心情
rwat	领带
hcep	细胞
dyan	蛋
jrat	人造
nren	灵感
ksic	危机
tsoc	搜索
lwan	午餐
hpos	松树
hcuf	推
tcus	起诉
pset	延伸
hkep	铜
swis	水手
prim	帝国
trip	鞭
cras	衬衫
swap	扫
syet	草图
htof	贼
clen	渠道
kwit	个性
klok	过量
hrok	改革
hguc	口渴
kcim	危险的
hpem	棕榈
psik	扬声器
frit	阈
cret	痕迹
mrak	矛
syen	会议
tcup	潮湿
hyek	游客
trim	锡
plak	抱怨
hyok	角度
hgam	牛
hmok	磨
jrac	地图
kloc	领
gyit	故意
hbip	啤酒
mlet	丝绒
lyap	滥用
cwen	群
bwan	侄女
tses	十三
jrit	辩解
nlak	手稿
sron	战士
cruc	星期五
broc	刷
dlot	下载
krim	奶油
pric	沥青
prut	陪审团
hgon	冻结的
sram	按照字面
pfot	锅
hlot	计划
djin	硬币
hlok	飞跃
hpep	苹果
hwot	扭曲
dlak	讨论
brik	订阅
nlis	录制
hbet	赌注
pris	病毒
hjik	热情好客
blit	幼稚
hjap	长袍
tfik	反映
hdaf	达到
hpop	歌剧
kcaf	藏
kcoc	弯头
hrum	修复
cyim	可疑
dyic	教育性
hgoc	坑
drak	紊乱
plas	掌声
byin	二进制
hzap	僧院
nlot	忠诚
mrik	机械
hsop	顺利
crap	陷阱
kyek	蛋糕
nrut	招待
syes	先生
hjet	十七
hjen	女人的
hmom	蜂蜜
hdec	不幸
lwen	传说
slot	火炉
frac	反叛
gwan	膨胀
mruk	提高
swot	沼泽
zlan	赚
hnem	动画
hdes	敷料
prak	传道
frin	风景
hfet	反对
cros	合唱
ryon	有理
tcos	作物
tsen	处理
hwek	狼
nlik	拒绝
klap	地毯
dras	鄙视
prop	沃
slim	哨
hgis	起司
krut	咬
srot	护送
bjan	漫步
nwen	海军
myas	面具
kwaf	开发
twis	出租车
pcip	铅笔
srap	蔬菜
sren	展示
tlun	长裤
hrup	腐败
nrip	内阁
srup	汤
jran	外科医生
bjat	津贴
gyat	间谍
hlem	鲁莽
srak	抽象
kson	口音
cwis	星期四
sret	诚挚
hraf	交通
hres	建筑
hsuf	处置
rwak	裂纹
twon	装饰
hfus	复苏
hkom	码
djat	猎人
nlut	通讯
hsef	蛇
mris	民主
bric	电池
mlam	蜡
zran	分享
cron	颤抖
hzen	游泳
traf	跳闸
cwaf	信封
srip	卷烟
mrot	马达
swon	志愿者
ryak	反应
pfun	部分
blac	行李
mret	部
hjon	有性
kcok	斧头
dram	钻石
kren	备用
tcek	回声
hdif	身分
tfas	大使
hfot	由
lwas	懒
hmep	momentane方面
kfin	编码
mwin	假想
hrem	射线
pram	攀登
byac	地窖
mren	难忘
swen	参议院
kras	棺材
hgun	吞
nlok	放纵
ryic	农业的
gwin	摆动
srut	草地
hkes	复杂
hfis	辞职
frak	反复
hnom	阴谋
hcop	酒馆
hlec	胡椒
mlot	旋律
zrat	候选人
proc	顾客
flik	狐狸
cyet	后悔
hgim	烟囱
slet	树篱
tcok	准确性
bjit	前任的死者
brot	芽
bwat	毯
hdus	猪
gwat	象牙
kret	提取
nwet	观察者
jwan	大街
nwis	钉子
mwic	蜜蜂
bzat	演员
gyan	汗
zyit	行政人员
blic	错觉
pcet	不确定
tsot	折
bwit	边界
tres	强调
hkof	消费
nyen	呻吟
hles	类似
cyek	解雇
hjis	针
gjan	现象
prec	表现
drot	受控
kcek	曲线
twic	鸡
brak	桶
zwat	惯常的
clap	惯常的方面
tsec	专家
bwin	印
cwet	界
hbek	面包师傅
zlin	橄
mron	面包车
drin	奉献
psap	暴露
gjin	生日
clut	锤
cwun	香
twaf	不重要的
pcot	宠物
krok	头骨
dlik	立法机关
cwic	幸好
srun	皱眉
crec	销毁
jlan	余量
kcip	冠军
blin	十亿
ryik	化学
mlas	脉冲
flit	飞行员
hzet	结
cwik	雄伟
twet	短裙
mwik	每周
tfis	技术
tlon	车辆
cram	谄媚的
grac	加强
kraf	乌鸦
trup	属性
hduk	钩
cruk	虎
nrap	管家
crot	公路
mlip	民兵
hfoc	照片
nres	廉正
plos	加
tfam	透明
nlic	十九
hwok	合格
nlen	文章
fyic	效率
hwuk	独特
hgok	有机
flic	神学
flot	浮动
hboc	责成
hwoc	巫婆
syot	工作室
cwip	香槟酒
hbes	旗帜
lwic	离婚
blot	螺栓
cwot	囚禁
cwam	静脉
prik	被动
hfum	泡沫
grik	碎石
zrin	围裙
gren	行星
hfuc	复活
claf	架
flas	风扇
hjot	热带
hbim	随意
krek	汞
hbec	仁慈
tsaf	自杀
pwas	采摘
plot	记者
kfak	花费
blak	阳台
hdos	弄脏
kwis	经典
kcos	控
psen	养老金
kres	动词
hzon	猴
srim	签名
glin	不情愿
mlut	臭名昭著
myot	进口
fwac	创办人
troc	火炬
hgaf	语法
hyop	游艇
ksip	绝种
sres	远足
hnup	拱顶
hzun	顽固
mric	肌肉
gjat	大小
hros	擦
zrac	胆小
tros	烤面包
myus	鼠标
dwac	对话
byak	山羊
htef	裁缝
hfek	繁荣
dzan	强加
nyon	匿名
zrit	正式寄存器
pcos	体育
hjec	熔化
dlas	删除
mras	伞
mram	矿物
cwut	休战
hbok	鸭
swun	肥皂
dwak	娃娃
plif	别墅
slon	针线活
tfut	祝贺
djac	调和
hjas	压制
kric	兔子
kwot	导体
gzan	保证
clot	播放机
ksek	昆虫
psam	姿势
mwut	猫头鹰
htem	永久
clon	小提琴
dzin	居民
rwim	分别
hyof	有利
dron	龙
dwit	听觉证据
sroc	出口
hzot	终止
djik	萦绕
kfik	盖
ryun	规
hmes	市长
rwac	硬件
sruk	马戏团
sros	少数民族
bzan	暴动
kset	乐队
bjon	熏肉
hjut	无限
tfen	卫冕
zwac	坏处
dyin	审议
myis	音乐家
mlis	精神上
pret	不足
tsek	建筑师
hlom	柠檬
ksos	咳嗽
crok	头痛
flin	生育能力
mrun	木匠
swec	随机
syuk	勺
blun	气球
tcep	粉笔
fric	爽快
rwik	垂直
rwen	防止
flet	推理证据
pfac	出版者
srek	醋
tfun	隧道
pwet	难题
gyik	数学
fwot	褪色
lwin	均衡
jwin	肝
bwik	至格外壳
hdup	蘸
hnop	垄断
bwic	潜艇
ryen	而不管
hcem	地震
hbos	实验室
nrek	工人
ryim	韵律
nyic	译
dwas	大使馆
rwok	惹
kram	无力
ksim	陈述心情
clok	巧克力
pcec	特权
nyis	隐士
tyoc	巧合
grak	刮
zlat	手套
hjuk	下跪
trif	地理
djit	系统的
pson	不可战胜的
mwis	投资
cwec	口头
hdek	世俗
blik	鹰
sloc	心理学
brap	废料
jlat	海盗
dros	剂量
slam	三文鱼
pwun	布丁
gwik	磁性
pcop	泵
myen	同样
ksen	氧
mrap	领班
tfot	证书
ksus	簇
trok	修辞
tloc	梯级
zyan	桨
nlun	登录
hlop	望远镜
jlin	拼字
lyut	多云的
hsof	冲浪
fyik	威士忌酒
klet	相对
hwof	柳
hlum	骆驼
myet	业余
klis	隔离
hbaf	传
gwac	驴
hwum	谣言
pwik	透视
pron	亲
myes	每月一次
mwen	梦想
kfic	假期
klek	点击
cwon	椭圆
lyak	弹
kwon	字典
hjam	火腿
rwon	彩虹
crip	特此
zwan	发生
srok	社论
craf	下士
tlok	坦克
brip	蝴蝶
tfap	图表
jwat	双
pros	操作
psun	预兆
clet	可怜
hbus	竹
dyas	零售商
klun	积累
jlit	一致
hdom	恶梦
kron	碳
hzam	果酱
cyot	倾听者
hmem	博物馆
lwam	字母
fras	分散
psoc	冲床
hgum	胶
brek	制动
glit	稳定性
frun	腐烂
gris	侵略性
mroc	摩擦
bzit	蜘蛛
plut	土豆
glac	贪心
gzac	乘
prun	纺
jlet	日历
nyim	提名
tlos	兆
slut	沙拉
fwit	肯定心情
pyen	应用
nlon	公称
dren	演示
drun	不满
cyok	耸
hfop	足球
ryac	合伙
gzin	先锋
hgip	卷心菜
tyet	竞技
hdof	idiophone
hwup	无价
lwek	杠杆
syec	参议员
jyak	容纳
mlim	蚂蚁
fwic	有效
gzit	孕
blas	信赖
jrin	每天
gwak	踝
drik	奇怪
prif	变量
jwit	多样
krip	区别
ryot	慑于
nwut	人行道
kcif	积极地
jrak	青蛙
twek	过多外壳
psot	赎罪
pfon	海绵
sluk	松鼠
nlim	非现实心情
ksaf	缺乏
glak	火山
plen	平衡
kfaf	围巾
kyon	利用
jlik	地质
psop	护照
kfis	空缺
fyon	亲和力
nram	不道德
hbuk	饼干
gras	发呆
hyos	忧虑
flim	电影
plet	片剂
rwam	原子
blis	香草
zlit	艾滋病
fyut	挑剔
crim	金字塔
hjif	非法的
crif	害羞
lwap	琵琶
tyon	天文学
mrim	迷宫
drut	描述的
nrim	奖学金
kruc	龟
kwam	顾问
jrik	蟋蟀
dlut	表示
pyot	鸽子
dyon	适应
prap	操作者
bzin	徽章
tyek	三角形
trec	出纳员
nron	氢
pyet	打印机
tsok	呛
zyin	慢性
slek	自行车
jyin	工程
ryas	传输
zrak	刷新
nyas	舞蹈家
gric	迁移
zlak	违反
tces	网球
hjun	有风
twen	编织
kyet	集电极
gwit	脊柱
kyot	弦
fwin	频率
tfuc	织布机
dlet	目录
pfik	思想家
bjet	预算
trek	战略
kros	石英
gjit	剪刀
gwic	开关
frik	理论
tluc	毛巾
pruc	巡逻
glic	冰川
krun	完整性
bjin	预测
tlaf	参加
tfet	生产厂家
bras	侧
dwik	被告
clec	排气
cres	棋
tcef	樱桃
tcom	绊倒
nyot	翻译者
tyok	卡车
cyip	超越
grot	芥末
bris	无线
nlam	拍卖
slif	筛
hgos	锈
swoc	不稳定
jyat	破产者
slum	伊斯兰教
hjes	人口调查
dzat	脚尖
slun	暂停
nwot	连续性
gyic	吉他
pfas	偏压
zyik	锌
blen	闪亮
hyem	榆树
hnep	争夺
nyut	针织的
ryam	代词标记
clim	香料
jret	锐度
tfon	逗
jwac	java的
hrep	食谱
dyac	特许经营权
myip	仪表
rwis	种族
hkem	彗星
nwon	革新
zwin	禁止
dyis	中世纪
mrec	麻雀
fyot	脚注
mlon	测量
pfis	批准
rwot	轨道
hfok	节俭
glof	高尔夫球
zron	零
hzip	压缩
hwom	无家可归
bjic	咀嚼
pcim	履行
hjip	芯片
bwac	打哈欠
mlos	痣
mrip	陶器
bron	胎
ksoc	扣除
cyum	酵母
jyan	行话
plim	李子
mwet	墓地
ryet	毕业
glik	灌溉
plap	资本家
tsif	弹性
gyak	鲨鱼
djon	默认
nwun	准时
cles	现实主义
dris	日益
hkef	咖啡店
blus	救护车
blap	钱包
bjak	欣喜若狂
klim	鬼脸
gyac	科学家
jyit	泰然处之
dzit	实际
bwak	室外
dyot	无线电
bwon	豆
fris	非正式的
klut	推测
tfek	牛排
nrok	氮
zyat	剃刀
bram	喃喃
ryis	介绍
nlip	分析
nros	对比
hcof	脱衣服
tfif	激励
kroc	畦
hdum	犹太教
pses	接受者
plok	补充
lyet	透镜
pwek	pegative外壳
kfas	癌症
pwen	典当
nrun	提醒
clek	泄漏
pcif	平反
glas	复杂
zwit	贫嘴
kces	自给自足
crem	零售
grap	抢
kwip	干预
dyut	折扣
crus	等级制度
gyet	玉
gram	搞乱
kyip	蜥蜴
nyet	垫
crop	瀑布
glon	加仑
mrok	蚊子
fluc	流利
dwic	偏差
slec	探险者
srec	到期
blut	搏斗
myok	镶嵌
tlek	插头
nruk	传染的
nwoc	从今以后
bjut	蹲
hges	怀孕
twoc	杂货
kyos	共产
mrek	惊奇
clip	悔悟
pwok	检举外壳
dwot	独裁者
zyac	当务之急
jlic	卫星
slop	拖鞋
ryip	成比例的
psim	近似
byet	失业的
cyop	爱好
rwun	标准
blop	灯泡
syok	支持者
klos	氯
lwot	氯化物
byic	菌
lyik	黏
blok	生物
jlac	假装
bret	字节
krif	分泌
blet	芭蕾舞
nruc	尿
tsus	大蒜
dyak	中产阶级
tcem	钳
cyoc	具有挑战性的
trep	草莓
dlun	污染
hlup	专辑
hbep	棒球
praf	海盗行为
pwis	分词
grek	车库
kruk	拐杖
hfof	磷
rwut	结构
myam	健身房
krec	起重机
jras	承包商
zrik	通知
blam	舞厅
klip	工匠
hwef	未付
zlac	香蕉
gret	发电机
lwuk	肋骨
nyek	镍
blos	总线
sles	审查
tlif	瓦
kses	香肠
mwot	番茄
lyot	汽车
tsom	钾
brut	虚拟
djap	代数
hjok	通用
kfen	概念
pcok	光纤
bzut	让步
syek	失业
mruc	毛虫
bwas	浏览器
klif	钙
rwet	远程过去紧张
srif	历史性紧张
hwem	光谱
syom	钠
tyos	受托人
jyic	人质
hguk	葫芦
dwun	皱纹
