ni	απαρέμφατο
tfoh	στοεξής
kxih	συντριβή
ryoh	διωκτικώνπερίπτωση
qyah	έγνοια
r6	μετοχή
txah	μακρινόςτοπαρελθόνσευπερένταση
xrih	ιστορικόςσευπερένταση
dxah	διπλόςαριθμός
syuh	σούπερ
vweh	καταπονημένος
n6	αισθητήριοςαποδεικτικόςδιάθεση
bweh	έμμονηιδέα
xlih	εύθυμος
txih	σούβλισμα
sluh	αυτοικανοποιημένοι
txoh	κίνησηανηφορικός
xe	αναδρομικός
pxah	παγιδεύω
vwah	κίνησηκατηφορικός
xyih	αφρόκρεμα
fleh	κλιτές
psuh	superessiveπερίπτωση
syeh	σάτυρος
qi	μεταβατικός
xruh	μαζεύομαι
zwah	Ουάου
tr6h	κίνησηποτάμι
qwah	χωρίςφιλοδοξίες
xlah	παγκόσμιος
tyoh	αμετάβατος
tluh	απότομηπτώση
qa	ρεύμασυνάφειασημάδι
kxoh	σκύλοςκουρασμένος
rwoh	τακτικός
ve	διάνυσμα
kyoh	κιλό
swoh	ακολουθητικός
pxeh	μεριστικόςπερίπτωση
txeh	αυξητικός
dxih	κατηγορηματικός
pxoh	prolativeπερίπτωση
pfoh	proφράση
blah	αδιάφορος
fyih	μηανθρώπινος
xo	ηθοποιόςρόλος
pc6h	δίκηαριθμός
greh	κεντρικόςπερίπτωση
groh	στόχοςσκανδάλη
dxoh	μέσοφωνή
rweh	λοξόςπερίπτωση
xwah	ασθενήςπερίπτωση
xu	προhodiernal
xroh	φθορά-out
ks6h	αιτιολογικός
vi	δυαδικήτιμή
dleh	τροπικόςπερίπτωση
gjeh	else-if
xreh	συνεργάτης
lwoh	τοπικήπτώσηπερίπτωση
ml6h	multalαριθμός
gjih	γαλαξίαςγένος
qlah	αστέριγένος
bvih	abessiveπερίπτωση
dvah	adessiveπερίπτωση
je	agentiveπερίπτωση
t6	μέσοσκανδάλη
kxeh	ναπερίπτωση
gxih	κοινόςγένος
tc6h	παραπομπήμορφή
ts6h	transαριθμός
ryuh	απευθείαςαντικείμενο
gveh	ergativeπερίπτωση
pyoh	παθητικόςφωνή
qe	πεπερασμένοςρήμα
xwih	πρωταρχικόςαντικείμενο
myoh	gnomicδιάθεση
vrih	τελικόςσωματίδιο
va	evitativeπερίπτωση
bveh	subessiveπερίπτωση
dxeh	κατεχόμενοςπερίπτωση
dvih	τικήπερίπτωση
tsa7h	antessiveπερίπτωση
dyeh	επιρρηματικόςπερίπτωση
mleh	έμψυχοςγένος
pfeh	κατανόησηχαρά
xleh	όχημαγένος
qlih	ορυκτόγένος
xloh	προφορικόςουσιαστικό
dreh	δεύτεροςγλώσσα
bvah	εαυτόςεμπιστοσύνη
qrah	αλλαγήτουσυμβάν
fo	διαφορετικόςσυμβάν
sl6h	crastinalσευπερένταση
fyoh	αυτοπαθήςφωνή
bxih	σύμπανγένος
jlih	μεταβατικόςρήμα
kyeh	τοποθεσίαγένος
txuh	έρευναγένος
s6	καλλιτεχνικόςγένος
preh	ασθενήςσκανδάλη
sr6h	περίληψηγένος
nyoh	έμμεσοςομιλία
zreh	exocentricπερίπτωση
kfeh	τοπαρελθόντελειοποιητικός
jo	απρόσωποςρήμα
kxuh	συλλογικόςουσιαστικό
bu	absolutiveπερίπτωση
qrih	πλανητικόςγένος
kfoh	πυρήναςbenefactive
kwoh	συνειρμικήπερίπτωση
pluh	υπερθετικόςπερίπτωση
jrah	ηλεκτρικόςρεύμα
glih	άψυχοςγένος
p6	propositiveδιάθεση
vrah	αμοιβαίοςφωνή
lyuh	διαδοχικόςρήτρα
gleh	σύντομαμελλοντικόςσευπερένταση
lyoh	applicativeφωνή
ps6h	antipassiveφωνή
tfuh	continuativeάποψη
nr6h	necessitativeδιάθεση
pr6h	παθητικόςμετοχή
sy6h	υπαρξιακόςρήτρα
qyih	φωτεινόςένταση
gluh	singulativeαριθμός
kwuh	υπερβολικόδιάρκεια
xyah	μονόκλινοδράσηρήμα
vlih	υπερθετικόςβαθμός
djah	παρόνμετοχή
m6	ποσότουουσία
ti7	συνδετικόςσωματίδιο
f6	epentheticμόρφημα
tli7h	μακρινόςμελλοντικόςσευπερένταση
si_	postpositionalπερίπτωση
l6	Ομιλίασυμφωνία
k6	frequentativeάποψη
bzih	διανεμητικέςαντωνυμία
tu7	floating-point-αριθμός
vo	ρήμα-κατάληξη
ki7	τοπαρελθόνπαθητικόςμετοχή
ta_	τοπικήπτώσηκατευθυντήριοςπερίπτωση
