ni	infinitiv
bzah	skoj
gwih	nämligen
dloh	hodiernalspänd
dweh	delimitativeaspekt
kweh	exklusivperson
truh	temperatur
tfeh	Telicaspekt
lyeh	atelicaspekt
ru	hindrandehumör
kfih	barnslig
cyoh	misstänksam
nluh	lojalitet
cweh	fälla
nwoh	animerad
sruh	spänning
ksoh	sexuell
lyah	lat
mreh	momentaneaspekt
pceh	ångradesig
bjih	föredettadenavlidne
pcuh	osäkerhet
xi	vanligaspekt
blih	bunden
tsuh	trivial
fwih	majestätisk
grah	smickrande
brah	godtycklig
cleh	välvillig
sreh	formellregistrera
pfah	välgörande
droh	auditivbevis
flih	inferentialbevis
sweh	sublativefall
ksuh	deklarativhumör
pleh	privilegierad
psoh	oövervinnerlig
be	verbal
mwoh	dagdröm
kleh	elände
glah	girighet
kseh	jakandehumör
zrah	missnöje
dyoh	idiofoner
syoh	awed
gwah	överdrivenfall
zlih	irrealishumör
zrih	blyghet
byih	anpassning
ryeh	pronomenmarkör
fwah	sparsam
bjah	extatisk
kxah	jämnmod
gvih	pegativefall
pxih	rättfärdigande
xrah	löperut
tfoh	hädanefter
kxih	ånger
ryoh	prosecutivefall
qyah	upptagenhet
r6	particip
txah	avlägsendåtidspänd
xrih	historiskspänd
dxah	dubbelantal
syuh	super
vweh	överarbetad
n6	sensoriskbevishumör
bweh	besatthet
xlih	munter
txih	sting
sluh	självnöjd
txoh	rörelseuppför
xe	retrospektiv
pxah	snärja
vwah	rörelseutför
xyih	elit
fleh	varieradlutning
psuh	superessivefall
syeh	satyr
qi	transitiv
xruh	krypaihop
zwah	Wow
tr6h	rörelseuppförfloden
qwah	oambitiösa
xlah	runtomivärlden
tyoh	intransitiv
tluh	anticlimax
qa	nuvaranderelevansmarkör
kxoh	hundentrött
rwoh	ordningstal
ve	vektor
kyoh	kilo
swoh	sekventiell
pxeh	partitivfall
txeh	augmentative
dxih	predicative
pxoh	prolativefall
pfoh	profras
blah	blasé
fyih	ickemänsklig
xo	skådespelareroll
pc6h	rättegångantal
greh	centreradfall
groh	målavtryckare
dxoh	mittenröst
rweh	snedfall
xwah	patientfall
xu	prehodiernal
xroh	slitaut
ks6h	orsakande
vi	binary-värde
dleh	modalfall
gjeh	Else-om
xreh	medarbetare
lwoh	locativefall
ml6h	multalantal
gjih	galaxkön
qlah	stjärnakön
bvih	abessivefall
dvah	adessivefall
je	agentivefall
t6	ombudavtryckare
kxeh	tillfall
gxih	gemensamkön
tc6h	citatform
ts6h	transsiffra
ryuh	direktobjekt
gveh	ergativefall
pyoh	passivröst
qe	ändligverb
xwih	primärobjekt
myoh	gnomichumör
vrih	slutligpartikel
va	evitativefall
bveh	subessivefall
dxeh	besattfall
dvih	mulativafall
tsa7h	antessivefall
dyeh	adverbialfall
mleh	animerakön
pfeh	empatheticglädje
xleh	fordonkön
qlih	mineral-kön
xloh	verbalsubstantiv
dreh	andraspråk
bvah	självförtroende
qrah	ändraavhändelse
fo	olikhändelse
sl6h	crastinalspänd
fyoh	reflexivröst
bxih	universumkön
jlih	transitivverb
kyeh	lokalitetkön
txuh	forskningkön
s6	konstnärligkön
preh	patientavtryckare
sr6h	abstraktkön
nyoh	indirekttal
zreh	exocentricfall
kfeh	dåtidperfektiv
jo	opersonligverb
kxuh	kollektivsubstantiv
bu	absolutivefall
qrih	planetkön
kfoh	kärnabenefactive
kwoh	associativfall
pluh	superlativfall
jrah	elektrisknuvarande
glih	livlöskön
p6	propositivehumör
vrah	ömsesidigröst
lyuh	påvarandraföljandeklausul
gleh	snartframtidaspänd
lyoh	applikativröst
ps6h	antipassiveröst
tfuh	continuativeaspekt
nr6h	necessitativehumör
pr6h	passivparticip
sy6h	existentiellklausul
qyih	lysandeintensitet
gluh	singulativeantal
kwuh	överdrivenvaraktighet
xyah	endahandlingverb
vlih	superlativgrad
djah	presenteraparticip
m6	beloppavämne
ti7	connectivepartikel
f6	epentheticmorfem
tli7h	avlägsenframtidaspänd
si_	postpositionalfall
l6	allocutionavtal
k6	frequentativeaspekt
bzih	distributivpronomen
tu7	flyttal-nummer
vo	verb-suffix
ki7	dåtidpassivparticip
ta_	locativeriktningsfall
