ni	ﺭﺪﺼﻣ
ji	ﻪﻧﺎﻧﺯﺲﻨﺟ
pu	ﻊﻤﺟﺩﺪﻋ
bi	ﻩﺪﻨﯾﺁﺖﻔﺳ
co	ﯽﻋﺎﻤﺘﺟﺍﻪﻨﯿﻣﺯ
me	ﺏﻮﯿﻌﻣﻪﺒﻨﺟ
klah	ﺎﺠﻧﺁ
twah	ﯽﻠﯿﻣﺎﻓﺖﺒﺴﻧﺩﺭﻮﻣ
twih	ﯽﻃﺎﺒﻨﺘﺳﺍﺩﺭﻮﻣ
di	ﺩﻮﻤﻨﻫﺭﺖﻟﺎﺣ
tlah	ﯽﺑﺎﺨﺘﻧﺍﺞﻨﺳﺖﯿﻤﮐ
kyah	ﯽﭼ
tcah	ﻝﺍﻮﺳﻪﻤﻠﮐ
ja	ﻂﺑﺍﺭﻮﻀﻋ
cyah	ﺺﺨﺷ
clah	ﺮﮕﯾﺩ
do	ﺩﺪﻋ
tlih	ﻩﺪﻨﻨﮐﺭﺎﻬﻇﺍﺞﻨﺳﺖﯿﻤﮐ
se	ﻥﺎﻣﺯﻪﻨﯿﻣﺯ
myah	ﯽﻧﺎﻣﺯﺩﺭﻮﻣ
tyuh	ﻂﻘﻓ
tcih	ﺰﯿﻣﺍﺖﺤﯿﺼﻧﺖﻟﺎﺣ
tyih	ﺮﮕﻧﻪﺘﺷﺬﮔﻪﺒﻨﺟ
lo	volitiveﺖﻟﺎﺣ
cwah	ﺯﺍﺪﻌﺑ
nlah	ﻝﺎﻘﺘﻧﺍﻞﺑﺎﻗﻦﺘﺷﺍﺩﺭﺎﯿﺘﺧﺍﺭﺩ
nlih	ﺍﺰﺠﺘﯾﻻﻦﺘﺷﺍﺩﺭﺎﯿﺘﺧﺍﺭﺩ
cyih	ﯽﺗﺭﻮﺸﻣﺖﻟﺎﺣ
lwah	perlativeﺩﺭﻮﻣ
pfih	ﯽﻗﺮﺘﻣﻪﺒﻨﺟ
tsih	ﺎﺠﻨﯾﺍ
ce	ﺮﯾﺯﻪﻨﯿﻣﺯ
pcah	ﻦﯿﻨﭽﻤﻫ
lwih	delativeﺩﺭﻮﻣ
swah	semelfactiveﻪﺒﻨﺟ
nyih	ﻮﺌﻧ
fu	ﺰﮐﺮﻤﺗ
plah	ﻖﺸﻋ
po	paucalﺩﺪﻋ
kyih	ﺍﺮﯾﺯ
ksih	ﯽﺒﺒﺳﺩﺭﻮﻣ
gi	ﻡﺎﻧ
tfah	ﺐﺳﺎﻨﻣﻢﺳﺍ
crih	ﺖﯾﻭﺭﻞﺑﺎﻗﯽﮐﺭﺪﻣ
kceh	ﺮﺘﻬﺑ
dwih	desiderativeﺖﻟﺎﺣ
wo	ﻩﮊﺍﻭ
srah	ﻪﮑﻨﯾﺍﺎﺗ
tweh	ﯽﻌﻄﻗﺩﺭﻮﻣ
nwih	inessiveﺩﺭﻮﻣ
pcih	ﯼﺭﻭﺮﺿﯼﺮﻣﺍﺖﻟﺎﺣ
crah	ﻦﺘﺷﺍﺩﺩﺎﻘﺘﻋﺍ
ro	ﺖﻟﺎﺣﻪﻨﯿﻣﺯ
cwih	ﺪﯿﻣﺍ
kwih	factiveﯽﮐﺭﺪﻣ
fi	ﺖﺸﮔﺮﺑ
psih	ﯽﯾﺎﻨﻤﺗﺖﻟﺎﺣ
tseh	ﻩﻮﻘﻟﺎﺑﺖﻟﺎﺣ
lweh	allativeﺩﺭﻮﻣ
nrih	ﮏﯿﭘﻭﺮﺘﻧﺁﺲﻨﺟ
tceh	ﻥﺎﺴﮑﯾﻉﻮﺿﻮﻣﺮﮕﻧﺎﺸﻧ
re	ﻒﻠﺘﺨﻣﻉﻮﺿﻮﻣ
croh	ﺱﺮﺗ
mrah	ﻦﮐﮎﺭﺩ
cyuh	ﻥﺩﺮﻛﻚﺷ
twuh	dubitativeﺖﻟﺎﺣ
myih	ﻞﮕﺷﻮﺧ
lyih	ﻪﻗﻼﻋ
flah	ﻑﻼﺧﻁﻭﺮﺸﻣ
we	Vialisﺎﻫﺩﺭﻮﻣ
clih	ﺩﺮﺳ
pyih	ﺢﻠﺻ
su	ﺰﺠﺑ
kwah	ﻦﺘﺷﺍﺩﻞﻳﺎﻤﺗ
le	ﻝﻮﻃ
bo	ﻝﺎﻤﺘﺣﺍ
mlah	ﻞﮑﺸﻣ
syah	ﺪﻨﺨﺒﻟ
slih	ﺏﺍﻮﺧ
zi	نقل
twoh	quotativeﺩﺭﻮﻣ
mo	ﻞﻣﺎﺷﺺﺨﺷ
kcih	ﻢﻨﻛﻰﻣﺶﻫﺍﻮﺧ
rwih	precativeﺖﻟﺎﺣ
mrih	ﺏﺩﺍﺎﺑﻡﺎﻧﺖﺒﺛ
rwah	ﺮﮕﻧﻩﺪﻨﯾﺁﻪﺒﻨﺟ
cyeh	ﺐﺠﻌﺗ
go	ﯽﻠﺜﻤﻟﺍﺏﺮﺿﻪﺒﻨﺟ
tsoh	ﻡﺍﺮﺘﺣﺍ
za	inchoativeﻪﺒﻨﺟ
jwih	ﯼﺮﻣﺍءﻪﻤﻠﮐﺖﻟﺎﺣ
mwih	ﺯﺎﺠﻣﺖﻟﺎﺣ
sloh	ﺖﯿﻘﻓﻮﻣ
prih	ﯽﺻﻮﺼﺧ
de	ﯽﻌﯾﺯﻮﺗﺩﺭﻮﻣ
tcoh	ﺩﺭﺩ
ryah	ﻩﺪﻨﺧ
mlih	ﺎﻧﺍﺩ
ye	ﻪﯿﻟﺎﻓﺎﻀﻣﺮﮕﻧﺎﺸﻧ
ke	commissiveﺖﻟﺎﺣ
creh	ﻩﺩﻮﻬﯿﺑ
mweh	completiveﻪﺒﻨﺟ
nrah	ﻡﺮﮔ
nroh	ﻢﺸﺧ
bwah	ﻪﻨﯿﮐ
trah	ﺭﻭﺮﻏ
mroh	ﯽﻗﻼﺧﺍ
slah	ﺖﻣﻼﺳ
syih	ﯽﻋﺎﻤﺘﺟﺍ
pe	ﻒﻗﻮﺗﻪﺒﻨﺟ
krih	ﻭﺎﮑﺠﻨﮐ
tfih	ﻩﺪﻨﻨﮐﺪﯾﺪﺸﺗ
fe	ﺖﯾﺎﻬﻧﺭﺩ
prah	ﺯﺍﻪﺘﺷﺬﮔ
trih	ﯽﮐﺭﺪﻣ
nwah	ﯽﮐﺭﺪﻣﺩﺭﻮﻣ
srih	ﻦﯿﮕﻤﻏ
zo	zoicﺲﻨﺟ
nweh	eventiveﺖﻟﺎﺣ
cwoh	ﻥﺎﺴﮑﯾﻪﻌﻗﺍﻭﺮﮕﻧﺎﺸﻧ
plih	ﯽﺑﺮﺿﺩﺭﻮﻣ
dwah	دلخواه
kcoh	ﻪﺘﺴﺧ
drah	ﯽﺿﺍﺭ
lu	ﯼﺮﮑﻔﺗﺖﻟﺎﺣ
frih	ﺎﻨﺷﺁﻡﺎﻧﺖﺒﺛ
frah	ﺡﻭﺮﺠﻣ
mruh	ﻖﻤﺣﺍ
djih	ﯼﺩﺭﺪﻤﻫﺯﺍﺮﺑﺍ
krah	ﺮﮑﺸﺗ
cruh	ﻡﺮﺷ
fyah	ﺕﺭﺎﺒﻋﺮﮕﻧﺎﺸﻧ
ryih	مقدر
kruh	ﺦﻠﺗ
tyeh	ﻦﺘﻣ
kreh	ﻪﻧﺎﻤﻟﺎﻇ
tleh	hesternalﺖﻔﺳ
kfah	ﯽﻧﺎﺑﺮﻗ
dyih	ﺕﺮﻔﻧ
cloh	ﯽﻘﻄﻨﻣﺲﻨﺟ
nloh	ﺪﯾﺮﺒﺑﺕﺬﻟ
psah	ﺱﺎﯾ
sleh	ﯽﻫﺎﯿﮔﺲﻨﺟ
nruh	ﻩﺎﻨﮔﯽﺑ
drih	ﻦﯿﺴﺤﺗ
sroh	ﺶﺸﺨﺑ
brih	ﯼﺎﻨﺑﺮﯾﺯ
kluh	ﯽﺠﯿﮔ
bwih	ﺶﯾﺎﯿﻧﺖﻟﺎﺣ
klih	ﺭﺎﮑﻫﺎﻨﮔ
grih	ﻥﺍﺩﺎﻧ
nyeh	ﺭﺎﮑﺘﺑﺍﺩﺭﻮﻣ
nleh	ﻦﺗﻭﺮﻓ
dlih	ﺮﯿﺧﺎﺗﺎﺑﯼﺭﻭﺮﺿﯼﺮﻣﺍ
proh	ﺵﺭﺍﺰﮔﯽﮐﺭﺪﻣ
mloh	سودا
du	ﺩﺮﻔﻣ
jrih	ﺮﺒﺻ
freh	ﯽﻋﺎﺟﺭﺍ
kloh	ﺎﻬﻨﺗ
kroh	ﻥﻮﺴﻓﺍ
tcuh	ﻕﺎﯿﺘﺷﺍ
kcuh	ﯽﺋﺎﻘﻟﺍﺖﻟﺎﺣ
xa	ﻦﺨﺳﻪﻨﯿﻣﺯ
nreh	ﯽﺒﺼﻋ
pseh	ﻪﺒﻨﺟ
ge	ﻞﻣﺎﻋ
mu	ﺮﮐﺬﺗﺖﻟﺎﺣ
byah	ﯽﺒﻠﻃﻩﺎﺟ
pcoh	ﻍﻮﻠﺷ
treh	ﻢﯿﻘﺘﺴﻣﯽﮐﺭﺪﻣ
yo	ﻥﺍﺮﮕﻧﺖﻟﺎﺣ
cwuh	ﻥﺪﺷﻪﮐﻮﺷ
tloh	ﺮﯿﺧﺍﻪﺘﺷﺬﮔﺖﻔﺳ
dlah	ﯽﻌﻄﻗﻪﻟﺎﻘﻣ
cluh	ﺖﺷﺯ
myuh	ﯽﻌﺒﻃﺥﻮﺷ
dyah	ﻝﺎﺘﺴﯾﺩﯽﺸﯾﺎﻤﻧ
rwuh	ﺩﻮﺴﺣ
troh	ﺰﯿﻣﺍﺖﻨﻌﻟﺖﻟﺎﺣ
dzih	ﯽﮕﻗﻼﻋﯽﺑ
swuh	ﯽﺿﺮﻓﺖﻟﺎﺣ
bzah	ﯽﺧﻮﺷ
gwih	ﯽﻨﻌﯾ
dloh	hodiernalﺖﻔﺳ
dweh	delimitativeﻪﺒﻨﺟ
kweh	ﯼﺭﺎﺼﺤﻧﺍﺺﺨﺷ
truh	ﺕﺭﺍﺮﺣﻪﺟﺭﺩ
tfeh	ﯽﯾﺎﻬﻧﻑﺪﻫﯼﺍﺭﺍﺩﻪﺒﻨﺟ
lyeh	atelicﻪﺒﻨﺟ
ru	ﻥﺍﺮﮔﺖﻟﺎﺣ
kfih	ﻪﻧﺎﮔﻪﭽﺑ
cyoh	ﮎﻮﮑﺸﻣ
nluh	ﯼﺭﺍﺩﺎﻓﻭ
cweh	ﻡﺍﺩ
nwoh	متحرک
sruh	هیجان
ksoh	ﯽﺴﻨﺟ
lyah	ﻞﺒﻨﺗ
mreh	momentaneﻪﺒﻨﺟ
pceh	پشیمان
bjih	ﻖﺑﺎﺳﻩﺪﺷﺕﻮﻓ
pcuh	ﺪﯾﺩﺮﺗ
xi	ﯽﮕﺸﯿﻤﻫﻪﺒﻨﺟ
blih	محدود
tsuh	ﯽﻬﯾﺪﺑ
fwih	باشکوه
grah	چاپلوس
brah	ﻩﺍﻮﺨﻟﺩ
cleh	خیراندیش
sreh	ﯽﻤﺳﺭﻡﺎﻧﺖﺒﺛ
pfah	سودمند
droh	ﯽﻌﻤﺳﯽﮐﺭﺪﻣ
flih	ﯽﻃﺎﺒﻨﺘﺳﺍﯽﮐﺭﺪﻣ
sweh	sublativeﺩﺭﻮﻣ
ksuh	ﯽﻧﻼﻋﺍﺖﻟﺎﺣ
pleh	ﺯﺎﺘﻤﻣ
psoh	شکستناپذیر
be	ﯽﻫﺎﻔﺷ
mwoh	خیال
kleh	بدبختی
glah	ﺯﺁﻭﺹﺮﺣ
kseh	ﺖﺒﺜﻣﺖﻟﺎﺣ
zrah	ﯽﺘﯾﺎﺿﺭﺎﻧ
dyoh	ﺎﻫﺍﺪﺻﺩﻮﺧ
syoh	انگشتحیرتبهدهان
gwah	ﻩﺯﺍﺪﻧﺍﺯﺍﺶﯿﺑﺩﺭﻮﻣ
zlih	irrealisﺖﻟﺎﺣ
zrih	ﯽﯾﻭﺮﻤﮐ
byih	ﻕﺎﺒﻄﻧﺍ
ryeh	ﺮﯿﻤﺿﺮﮕﻧﺎﺸﻧ
fwah	ﻪﻓﺮﺻﺎﺑ
bjah	نشئهشده
kxah	ﺖﻧﺎﺘﻣ
gvih	pegativeﺩﺭﻮﻣ
pxih	دفاع
xrah	انقضای
tfoh	ازاینببعد
kxih	ندامت
ryoh	prosecutiveﺩﺭﻮﻣ
qyah	ﯽﮕﺘﻔﯿﺷ
r6	ﯽﻔﺻﻭﻪﺟﻭ
txah	ﺭﻭﺩﻩﺍﺭﺯﺍﻪﺘﺷﺬﮔﺖﻔﺳ
xrih	ﯽﺨﯾﺭﺎﺗﺖﻔﺳ
dxah	ﯽﯾﺎﺗﻭﺩﺩﺪﻋ
syuh	ﻩﺩﺎﻌﻟﺍﻕﻮﻓ
vweh	پرکار
n6	ﯽﺴﺣﯽﮐﺭﺪﻣﺖﻟﺎﺣ
bweh	ﺱﺍﻮﺳﻭ
xlih	ﺭﺍﺩﻩﺪﻨﺧ
txih	دردشدیدوناگهانی
sluh	خودراضی
txoh	ﺖﮐﺮﺣﺭﺍﻮﺷﺩ
xe	ﺮﮕﻧﻪﺘﺷﺬﮔ
pxah	تلهانداختن
vwah	ﺖﮐﺮﺣﯽﺒﯿﺷﺍﺮﺳ
xyih	ﻪﺒﺨﻧ
fleh	ﻑﺮﺻ
psuh	superessiveﺩﺭﻮﻣ
syeh	ادمشهوانی
qi	ﯼﺪﻌﺘﻣ
xruh	ﻥﺪﺷﻻﻭﺩﺱﺮﺗﺯﺍ
zwah	وای
tr6h	ﺖﮐﺮﺣﻪﻧﺎﺧﺩﻭﺭﯼﻻﺎﺑ
qwah	unambitious
xlah	درسراسرجهان
tyoh	ﻡﺯﻻ
tluh	ﺝﻭﺍﺩﺎﭘ
qa	ﯼﺭﺎﺟﻁﺎﺒﺗﺭﺍﺮﮕﻧﺎﺸﻧ
kxoh	سگخسته
rwoh	ﯽﺒﯿﺗﺮﺗ
ve	ﺭﺍﺩﺮﺑ
kyoh	کیلو
swoh	ﯽﭘﺭﺩﯽﭘ
pxeh	ءﺰﺟﻪﺑﻪﺘﺴﺑﺍﻭﺩﺭﻮﻣ
txeh	ﻩﺪﻧﻮﺷﻢﮐﺍﺮﺘﻣ
dxih	ﯼﺪﻨﺴﻣ
pxoh	prolativeﺩﺭﻮﻣ
pfoh	ﺭﺍﺰﻓﺍﻡﺮﻧﺕﺭﺎﺒﻋ
blah	ﯽﺷﻮﺧﺭﺩﻁﺍﺮﻓﺍﺮﺛﺍﺭﺩﺕﺮﺸﻋﺯﺍﺭﺍﺰﯿﺑ
fyih	ﺮﯿﻏﻥﺎﺴﻧﺍ
xo	ﺮﮕﯾﺯﺎﺑﺶﻘﻧ
pc6h	ﺶﯾﺎﻣﺯﺁﺩﺪﻋ
greh	ﯽﻧﺎﯿﻣﺩﺭﻮﻣ
groh	ﻑﺪﻫﻪﺷﺎﻣ
dxoh	ﻂﺳﻭﺍﺪﺻ
rweh	ﺏﺭﻮﻣﺩﺭﻮﻣ
xwah	ﺭﻮﺒﺻﺩﺭﻮﻣ
xu	hodiernalﺶﯿﭘ
xroh	ﻥﺩﺮﮐﺱﺎﺒﻟ
ks6h	ﻩﺪﻧﻮﺷﺐﺒﺳ
vi	ﺵﺯﺭﺍﯽﯾﻭﺩﻭﺩ
dleh	ﯽﺘﯿﻔﯿﮐﺩﺭﻮﻣ
gjeh	ﯼﺮﮕﯾﺩﺮﮔﺍ
xreh	همکار
lwoh	ﯽﻧﺎﮑﻣﺩﺭﻮﻣ
ml6h	multalﺩﺪﻋ
gjih	ﻥﺎﺸﮑﻬﮐﺲﻨﺟ
qlah	ﻩﺭﺎﺘﺳﺲﻨﺟ
bvih	abessiveﺩﺭﻮﻣ
dvah	adessiveﺩﺭﻮﻣ
je	agentiveﺩﺭﻮﻣ
t6	ﻞﻣﺎﻋﻪﺷﺎﻣ
kxeh	ﻪﺑﺩﺭﻮﻣ
gxih	ﮎﺮﺘﺸﻣﺲﻨﺟ
tc6h	ﻝﻮﻗﻞﻘﻧﻡﺮﻓ
ts6h	ﺲﻧﺍﺮﺗﯼﺩﺪﻋ
ryuh	ﻢﯿﻘﺘﺴﻣﻑﺪﻫ
gveh	ergativeﺩﺭﻮﻣ
pyoh	ﻝﺎﻌﻓﺮﯿﻏﺍﺪﺻ
qe	ﺩﻭﺪﺤﻣﻞﻌﻓ
xwih	ﻪﯿﻟﻭﺍﻑﺪﻫ
myoh	ﯽﻠﺜﻤﻟﺍﺏﺮﺿﺖﻟﺎﺣ
vrih	ﯽﯾﺎﻬﻧﻩﺭﺫ
va	evitativeﺩﺭﻮﻣ
bveh	subessiveﺩﺭﻮﻣ
dxeh	ﺏﻭﺬﺠﻣﺩﺭﻮﻣ
dvih	lativeﺩﺭﻮﻣ
tsa7h	antessiveﺩﺭﻮﻣ
dyeh	ﯼﺪﯿﻗﺩﺭﻮﻣ
mleh	ﻥﺩﺮﮐﻊﯿﺠﺸﺗﻭﮏﯾﺮﺤﺗﺲﻨﺟ
pfeh	ﻪﻧﻻﺪﻤﻫﺕﺬﻟ
xleh	ﻪﯿﻠﻘﻧﻪﻠﯿﺳﻭﺲﻨﺟ
qlih	ﯽﻧﺪﻌﻣﺲﻨﺟ
xloh	ﯽﻫﺎﻔﺷﻢﺳﺍ
dreh	ﻦﯿﻣﻭﺩﻥﺎﺑﺯ
bvah	ﺩﻮﺧﺲﻔﻧﻪﺑﺩﺎﻤﺘﻋﺍ
qrah	ﻥﺩﺍﺩﺮﯿﯿﻐﺗﺯﺍﻪﻌﻗﺍﻭ
fo	ﻥﺎﺴﻤﻫﺎﻧﻪﻌﻗﺍﻭ
sl6h	crastinalﺖﻔﺳ
fyoh	ﯽﺑﺎﺗﺯﺎﺑﺍﺪﺻ
bxih	ﻥﺎﻬﺟﺲﻨﺟ
jlih	ﯼﺪﻌﺘﻣﻞﻌﻓ
kyeh	ﻞﺤﻣﺲﻨﺟ
txuh	ﺶﻫﻭﮋﭘﺲﻨﺟ
s6	ﻪﻧﺍﺪﻨﻣﺮﻨﻫﺲﻨﺟ
preh	ﺭﻮﺒﺻﻪﺷﺎﻣ
sr6h	ﻩﺪﯿﮑﭼﺲﻨﺟ
nyoh	ﻢﯿﻘﺘﺴﻣﺮﯿﻏﯽﻧﺍﺮﻨﺨﺳ
zreh	exocentricﺩﺭﻮﻣ
kfeh	ﻪﺘﺷﺬﮔperfective
jo	ﯽﺼﺨﺷﺮﯿﻏﻞﻌﻓ
kxuh	ﯽﻌﻤﺟﻢﺳﺍ
bu	absolutiveﺩﺭﻮﻣ
qrih	ﯽﻧﺎﻬﺟﺲﻨﺟ
kfoh	ﻪﺘﺴﻫbenefactive
kwoh	ﯽﻨﻤﺠﻧﺍﺩﺭﻮﻣ
pluh	ﯽﻟﺎﻋﺩﺭﻮﻣ
jrah	ﯽﻗﺮﺑﯼﺭﺎﺟ
glih	ﻥﺎﺟﯽﺑﺲﻨﺟ
p6	propositiveﺖﻟﺎﺣ
vrah	ﻞﺑﺎﻘﺘﻣﺍﺪﺻ
lyuh	ﯽﭘﺭﺩﯽﭘﺪﻨﺑ
gleh	ﯼﺩﻭﺯﻪﺑﻩﺪﻨﯾﺁﺖﻔﺳ
lyoh	ﯽﻠﻤﻋﺍﺪﺻ
ps6h	antipassiveﺍﺪﺻ
tfuh	ﻡﻭﺍﺪﺗﻪﺒﻨﺟ
nr6h	necessitativeﺖﻟﺎﺣ
pr6h	ﻝﺎﻌﻓﺮﯿﻏﯽﻔﺻﻭﻪﺟﻭ
sy6h	ﯼﺩﻮﺟﻭﺪﻨﺑ
qyih	ﻥﺎﺸﺧﺭﺩﺕﺪﺷ
gluh	ﺩﺮﻔﻨﻣﺩﺪﻋ
kwuh	ﻩﺯﺍﺪﻧﺍﺯﺍﺶﯿﺑﻥﺎﻣﺯﺕﺪﻣ
xyah	ﺎﻬﻨﺗﻞﻤﻋﻞﻌﻓ
vlih	ﯽﻟﺎﻋﻪﺟﺭﺩ
djah	ﺮﺿﺎﺣﯽﻔﺻﻭﻪﺟﻭ
m6	ﻥﺍﺰﯿﻣﺯﺍﻩﺩﺎﻣ
ti7	ﯼﺪﻧﻮﯿﭘﻩﺭﺫ
f6	epentheticﮎﮊﺍﻭ
tli7h	ﺭﻭﺩﻩﺍﺭﺯﺍﻩﺪﻨﯾﺁﺖﻔﺳ
si_	postpositionalﺩﺭﻮﻣ
l6	ﻪﺑﺎﻄﺧﻖﻓﺍﻮﺗ
k6	ﺭﺮﮑﻣﻪﺒﻨﺟ
bzih	ﯽﻌﯾﺯﻮﺗﺮﯿﻤﺿ
tu7	ﻩﺭﺎﻤﺷﺭﻭﺎﻨﺷﺰﯿﻤﻣ
vo	ﺪﻧﻮﺴﭘﻞﻌﻓ
ki7	ﻪﺘﺷﺬﮔﻝﺎﻌﻓﺮﯿﻏﯽﻔﺻﻭﻪﺟﻭ
ta_	ﯽﻧﺎﮑﻣﯽﺘﯾﺍﺪﻫﺩﺭﻮﻣ
