hnit	ﺭﺪﺼﻣ
pyin	ﻢﻨﻛﻰﻣﺶﻫﺍﻮﺧ
pwit	precativeﺖﻟﺎﺣ
pyit	ﺏﺩﺍﺎﺑﻡﺎﻧﺖﺒﺛ
cwak	ﺪﺑ
myak	ﺱﺭﺎﻣ
tcas	مکان
hlaf	ﻥﺩﺮﮐﺖﻣﺎﻗﺍ
psat	ﯼﺎﺠﺑ
nlan	ﯽﺑﺁ
psac	ﻦﮑﻤﻣﺮﯿﻏ
kcuk	ﻪﺳﺭﺪﻣ
kcit	ﻩﺩﺮﮐﺝﺍﻭﺩﺯﺍ
kcak	ﺍﺬﻏ
syis	ﺖﺴﯿﺑ
tlac	ﻡﺍﺭﺁ
hcip	ﺮﮕﻧﻩﺪﻨﯾﺁﻪﺒﻨﺟ
kwin	دادن
tsit	متوقف
pyac	ﻥﺎﺑﺯ
hsus	ﻪﺘﻔﻫ
hcup	ﻦﻟﺎﺳ
cyap	ﺐﺠﻌﺗ
tfin	ﻥﺪﻣﺁﺎﯿﻧﺪﺑ
fyat	ﻩﺎﮔﺩﺍﺩ
hnip	ﯽﻠﺜﻤﻟﺍﺏﺮﺿﻪﺒﻨﺟ
tsak	ﻡﺍﺮﺘﺣﺍ
tlas	ﺵﺯﺭﺍ
syuc	ﺖﺧﺭﺩ
plat	ﺭﺍﻮﯾﺩ
cyak	ﻥﺎﻤﺳﺁ
twip	inchoativeﻪﺒﻨﺟ
mlat	ﻥﺎﻣﺮﻓ
swit	ﯼﺮﻣﺍءﻪﻤﻠﮐﺖﻟﺎﺣ
mwas	ﻩﺎﻣ
hwaf	ﻞﻣﺎﮐ
tyap	ﻪﺑﺮﺠﺗ
ksac	ﺖﯿﻌﻗﻮﻣ
syac	ﺕﻭﺍﺮﻃﺎﺑ
hnuk	ﮎﻭﺩ
kwak	ﻩﺪﺷﻩﺩﺍﺩﺶﺷﻮﭘ
tyuk	ﻕﺮﺷ
pwac	ﮓﻨﺳ
hkif	ﺐﯿﺠﻧ
nyac	ﺖﻬﺟ
cyis	ﯽﻟﺪﻨﺻ
tyuc	درانتظار
tsun	ﻩﺪﮑﻫﺩ
tyik	ﻥﺩﺮﮐﻝﻮﺒﻗ
hnum	ﺯﺎﺠﻣﺖﻟﺎﺣ
slak	ﺖﯿﻘﻓﻮﻣ
tsic	تلاش
slat	ﻪﭙﺗ
hmik	ﯽﻘﯿﺳﻮﻣ
hkus	ﻥﺩﺮﮐﻪﯾﺮﮔ
hsip	ﺖﻔﻫ
hpaf	ﯽﺻﻮﺼﺧ
nwas	ﺭﺎﺒﺧﺍ
tfac	ﻪﻨﺤﺻ
fyan	ﻍﺎﺑ
cwas	ﺯﺎﻏﺁ
hfik	ﯽﻌﯾﺯﻮﺗﺩﺭﻮﻣ
lyac	ﺮﯿﮕﺑﺩﺎﯾ
syik	ﯽﺳﺎﯿﺳ
clin	هنری
cyin	ﻍﻭﺭﺩ
tsas	ﺐﻟﺎﻗ
cyik	ﻦﺘﺷﺍﺩﺭﺎﯿﺘﺧﺍ
tlap	ﻪﻘﺒﻃ
cyam	ﻥﺎﺘﺴﺑﺎﺗ
tcut	ﻦﯾﺩ
tcap	ﻦﺘﻓﺭﺭﺩ
hlut	ﻩﺪﻨﺴﯾﻮﻧ
pyun	ﻱﺍﻩﻮﻬﻗ
tcuk	ﺩﺭﺩ
swan	ﺭﺎﻬﺑ
hmun	ﻡﺮﻧ
kyun	ﻪﺷﻮﮔ
nyak	علامتتجاری
tsis	ﺖﻟﺍﺪﻋ
psas	ﻥﺩﺮﮐﺪﯿﻟﻮﺗ
cyaf	ﻩﺪﻨﺧ
hwut	ﻥﺩﺮﮐﺵﻮﻣﺍﺮﻓ
hyup	ﺎﭘﻭﺭﺍ
hwap	ﺖﺸﻫ
psak	ﺭﻮﺒﻋ
kyap	ﮎﺎﻨﺘﺸﺣﻭ
pyic	ﯼﺭﻭﺮﺿ
hmim	ﻂﺳﻮﺘﻣ
hsaf	ﺲﻔﻧ
hmis	ﺎﻧﺍﺩ
hsum	ﻪﯿﻟﺎﻓﺎﻀﻣﺮﮕﻧﺎﺸﻧ
ksat	ﺮﯾﺬﭙﻟﺩ
ksit	ﺮﺒﻗ
tsap	ﻩﺮﯾﺰﺟ
kyam	ﻩﺎﮔﻭﺩﺭﺍ
tcum	ﻪﺑﻥﺩﺯﺖﺳﺩ
cyun	ﺕﻭﺮﺛ
psic	ﻞﺣﺎﺳ
tyun	ﻪﻨﻣﺍﺩ
mwit	commissiveﺖﻟﺎﺣ
tlut	ﻪﺟﺭﺩ
myit	ﻥﺎﺘﺴﻣﺯ
kfan	ﺭﺎﺘﻓﺭ
slac	ﺍﺮﺟﺍﻝﺎﺣﺭﺩ
myin	ﻪﻘﯿﻗﺩ
tyip	ﯼﺮﺒﻫﺭ
klas	ﻪﺸﯿﺷ
pfat	ﻪﺘﺨﺗ
cyic	ﻩﺩﻮﻬﯿﺑ
swam	امور
syam	ﺮﻄﺧﯽﺑ
tsut	ﺮﺘﮐﺩ
hlip	completiveﻪﺒﻨﺟ
kcas	ﯽﮑﯾﺭﺎﺗ
nyun	ﻡﺮﮔ
hpuc	ﻥﺪﯿﺷﻮﻧ
tlam	ﻝﺎﺜﻣ
hfun	ﻢﺸﺧ
tsik	ﻪﻨﯿﮐ
tsam	ﻢﯿﻘﺘﺴﻣﺭﻮﻃﻪﺑ
hmup	ﻩﻼﮐ
klak	ﮓﺳ
slin	ﻩﺮﻘﻧ
swac	ﺭﺍﺰﮕﺘﻣﺪﺧ
kcam	ﺭﻭﺮﻏ
pyik	ﺭﺎﻄﻗ
myut	ﯽﻗﻼﺧﺍ
syak	ﻥﺪﺷﻞﺧﺍﺩ
swat	ﺮﯿﺸﻤﺷ
kyuk	ﻪﻠﻤﺣ
clac	ﺖﻣﻼﺳ
tyaf	ﺪﻨﺑ
swic	ﯽﻋﺎﻤﺘﺟﺍ
tfit	ﺩﺍﺩﺮﺘﺳﺍ
hkaf	ﯽﻤﺳﺭ
pcas	ﻩﺎﮕﻧ
nyam	ﻩﻮﮑﺷ
tfat	ﻩﺩﺯﺍﻭﺩ
pcut	ﻝﻮﻐﺸﻣ
pwin	ﺏﺍﺮﺷ
mwat	ﻢﻌﻃ
fyac	ﻥﺪﯿﺸﮐﻮﺗﺍ
syap	ﻊﯾﺯﻮﺗ
myap	ﺕﺭﺎﺠﺗ
hyum	استفادهكردن
fwak	ﯽﺿﺎﻗ
klat	ﻥﺍﻭﺮﺳ
twap	ﻒﻗﻮﺗﻪﺒﻨﺟ
kcic	ﻭﺎﮑﺠﻨﮐ
kwic	ﯽﺟﺭﺎﺧ
hnif	ﻩﺪﻨﻨﮐﺪﯾﺪﺸﺗ
myun	ﺖﯿﻤﻫﺍ
tlic	ﺖﯾﺎﻬﻧﺭﺩ
cyuk	ﻥﺩﺮﮔ
syut	ﯼﺩﺍﺯﺁ
pfan	طرف
kyuc	ﮏﺸﺧ
pcap	ﺯﺍﻪﺘﺷﺬﮔ
tfak	ﯽﮐﺭﺪﻣ
tcik	ﯽﮐﺭﺪﻣﺩﺭﻮﻣ
twun	ﺭﻭﺩ
tyis	ﻦﺘﻓﺭﺶﯿﭘ
nyap	ﮏﯾﺭﺎﺑ
plit	ﺎﻨﺑ
hpif	ﻪﺤﻔﺻ
pwic	برگزاری
syic	ﻦﯿﮕﻤﻏ
tsip	ﻩﺎﻨﮔ
syim	ﺭﺎﻤﯿﺑ
tcis	ﻕﺩﺎﺻ
pcun	ﮏﻧﺎﺑ
ksap	ﺪﯿﻨﮐﺪﯿﯾﺎﺗ
lyam	ﻥﺎﯾﺮﺟ
tcaf	ﺖﻗﺩﺎﺑ
kwac	ﺵﻮﮔ
hpup	ﻥﺎﻧ
kcut	ﻥﺩﺮﻛﺏﺎﺨﺘﻧﺍ
nwam	ﻥﺍﻮﯿﺣ
hsup	zoicﺲﻨﺟ
nwit	eventiveﺖﻟﺎﺣ
tcim	ﻥﺎﺴﮑﯾﻪﻌﻗﺍﻭﺮﮕﻧﺎﺸﻧ
tlik	ﯽﺑﺮﺿﺩﺭﻮﻣ
kyus	ﺐﯿﻠﺻ
hmus	ﻢﯿﺨﺿ
kfat	ﺖﻣﺎﻬﺷ
nwat	ﻥﺩﺮﮐﺪﺷﺭ
myic	ﻥﺍﺭﺎﺑ
hpum	ﺢﻄﺳ
swut	ﺱﺪﻘﻣ
clis	ﯼﻻﻮﺟ
mwun	ﺵﻭﺭ
hfas	ﻞﯾﺎﻓ
cwac	ﻪﻧﺎﺷ
kwat	ﯽﺘﺣﺍﺭ
nwac	ﯽﺴﮐﺮﻫ
tcip	دلخواه
kfac	ﻦﻤﭼ
hmuk	ﻢﺳﺭ
plin	ﺡﺎﺘﺘﻓﺍ
kwun	ﻦﺋﻭﮊ
mlik	ﯽﻫﺎﻣ
klin	ﺖﺨﺘﯾﺎﭘ،ﻪﯾﺎﻣﺮﺳ
pfut	ﻥﺎﺘﺴﭘ
twam	ﺎﻋﺩﺍ
fyin	ﻪﻨﯾﺰﻫ
nlit	ﺎﻤﺷﻝﺎﻣ
mlin	ﻥﻮﯿﻠﯿﻣ
pyut	ﻥﺩﺮﮐﺎﻋﺩ
hluk	ﻪﺘﺴﺧ
ksut	ﻦﺘﺸﮐ
cyut	ﻪﯾﺎﺳ
psin	ﻥﺯﻭ
kcis	ﯼﺮﺘﺴﮐﺎﺧ
pyam	ﻉﺎﺠﺷ
mwac	ﯽﺿﺍﺭ
klam	گفتن
ksam	ﯽﻠﻣ
hfip	ﻒﯿﻌﺿ
klik	ﻩﺭﺩ
hkum	ﯼﺮﮑﻔﺗﺖﻟﺎﺣ
clas	ﺩﺭﺯﮓﻧﺭ
cyuc	ﺕﺭﺍﺮﺣ
mlac	ﯽﻗﺎﺑ
syip	ﻥﺎﺴﮑﯾﺭﻮﻃﻪﺑ
pwak	ﻪﺒﻌﺟ
tcif	ﻥﺎﺸﻧﺮﻃﺎﺧ
psip	ﻞﺻﺍ
ksik	ﻪﺠﯿﺘﻧ
tsim	ﻞﺼﻓ
flan	ﯽﺑﺮﺠﺗﻡﻮﻠﻋ
pcam	ﺍﺮﻫﺎﻇ
kcun	ﻥﺩﺮﮐﺥﺍﺭﻮﺳﻪﺘﻣﺎﺑ
ksuk	ﯽﯾﺍﺩ
mlit	ﺖﺳﺮﻬﻓ
pcik	ﮎﺎﻧﺮﻄﺧ
kwas	ﺕﻭﺍ
hluc	ﺪﻨﺴﭘﻪﻣﺎﻋ
klit	ﻪﺘﺧﺎﻨﺷﺎﻧ
flak	ﺎﻨﺷﺁ
fyit	ﺎﻨﺷﺁﻡﺎﻧﺖﺒﺛ
lwat	ﻩﺪﻨﻧﺍﻮﺧ
plun	ﯼﻭﺭﻩﺩﺎﯿﭘ
twas	ﺮﺑﺍﺮﺑﻭﺩ
pcis	ﺶﯿﺸﮐ
fyas	ﺡﻭﺮﺠﻣ
nlat	ﺥﺎﮐ
myuk	ﻖﻤﺣﺍ
pfak	ﻒﻄﻟ
tcuf	ﺮﻔﻧﻪﻧ
cwap	ﯼﺩﺭﺪﻤﻫﺯﺍﺮﺑﺍ
plac	ﺭﺎﺠﻔﻧﺍ
pyap	قراردادن
lyic	ﻩﺪﯿﺷﻮﭘﺱﺎﺒﻟ
hcum	ﺍﺪﺻﻭﺮﺳ
lwit	ﺕﺎﯿﺑﺩﺍ
tsuk	ﻪﺒﺗﺭ
hfup	ﻥﺎﻓﻮﻃ
kcik	ﺐﯿﺟ
nwap	ﺮﺒﻣﺍﻮﻧ
tyim	ﺮﺒﻣﺎﺳﺩ
psaf	ﻡﺪﻋ
nlac	ﺖﯿﻌﻤﺟ
kyaf	ﺮﮑﺸﺗ
slis	ﻪﻠﺴﻠﺳ
pyaf	ﻩﺪﻧﺮﭘ
mlak	ﮏﻟﺎﻣ
kwut	ﺖﮐ
hwuc	ﻂﺑﺍﻭﺭ
pyis	ﻝﺎﺣﺭﺩﺖﻋﺮﺳﻪﺑ
twuc	ﺩﻭﺩ
nwak	ﻪﯾﻮﻧﺍﮊ
mlic	ﻦﯿﺷﺎﻣ
tlis	ﺎﻬﻧﺍﺪﻧﺩ
ksun	سوزش
clam	ﻡﺮﺷ
klaf	ﺖﯿﻔﯿﮐ
clit	ﻪﻘﻠﺣ
fyak	ﺕﺭﺎﺒﻋ
fyam	ﺕﺭﺎﺒﻋﺮﮕﻧﺎﺸﻧ
kwap	ﻊﺑﺮﻣ
hwip	ﻪﺒﻨﺸﮑﯾ
psis	ﺮﻌﺷ
pwut	مقدر
kyim	ﺪﯾﺮﺧ
clic	زمینههای
pyip	ﻞﯾﺭﻭﺁ
kfap	ﺮﺒﺘﮐﺍ
psut	اشیاء
kcuc	ﺦﻠﺗ
nlap	ﻩﺩﺮﺑ
hsok	ﻞﺷ
htet	ﻦﺘﻣ
hbat	ﻦﯾﺮﺗﺪﺑ
hrit	ﺭﺎﺒﺘﻋﺍ
hzit	ﺕﺎﻧﺎﮑﻣﺍ
hpet	ﻩﺩﺰﻧﺎﭘ
krac	ﻪﻧﺎﻤﻟﺎﻇ
hduc	ﮎﺎﺧﻭﺩﺮﮔ
hrik	ﯽﻠﻤﻋ
hron	ﮓﻧﺭ
