hnit	ಕರ್ತೃ
hmuf	ಬಾಯಿ
hfin	ಶ್ರೀಮಂತ
tcam	ಶತ್ರು
psuk	ಮುರಿದ
kcap	ಹಡಗು
pwan	ಅಂತರ್ಗತವ್ಯಕ್ತಿ
hfic	ಪ್ರಭಾವ
tcuc	ದೂರವಾಣಿ
hkim	ರಹಸ್ಯ
pyin	ದಯವಿಟ್ಟು
pwit	precativeಚಿತ್ತ
pyit	ಶಿಷ್ಟರಿಜಿಸ್ಟರ್
cwak	ದುಷ್ಟ
myak	ಮಾರ್ಚ್
tcas	ಸ್ಥಳಗಳಲ್ಲಿ
hlaf	ಉಳಿಯಲು
psat	ಬದಲಿಗೆ
nlan	ನೀಲಿ
psac	ಅಸಾಧ್ಯ
kcuk	ಶಾಲೆಯ
kcit	ಮದುವೆಯಾದ
kcak	ಆಹಾರ
syis	ಇಪ್ಪತ್ತು
tlac	ಸ್ತಬ್ಧ
hcip	ನಿರೀಕ್ಷಿತಅಂಶವು
kwin	ನೀಡುವ
tsit	ನಿಲ್ಲಿಸಿದ
pyac	ಭಾಷೆ
hsus	ವಾರ
hcup	ಸಭಾಂಗಣ
cyap	ಆಶ್ಚರ್ಯ
tfin	ಹುಟ್ಟು
fyat	ನ್ಯಾಯಾಲಯದ
hnip	ಸೂತ್ರದಅಂಶವು
tsak	ಗೌರವ
tlas	ಮೌಲ್ಯದ
syuc	ಮರ
plat	ಗೋಡೆಯ
cyak	ಸ್ವರ್ಗ
twip	ಆರಂಭದಶೆಯಅಂಶವು
mlat	ಆಜ್ಞೆಯನ್ನು
swit	ವಿದ್ಯರ್ಥಕಚಿತ್ತ
mwas	ತಿಂಗಳು
hwaf	ಪರಿಪೂರ್ಣ
tyap	ಅನುಭವ
ksac	ಸಂದರ್ಭಗಳಲ್ಲಿ
syac	ತಾಜಾ
hnuk	ಡ್ಯೂಕ್
kwak	ಒಳಗೊಂಡಿದೆ
tyuk	ಪೂರ್ವ
pwac	ಕಲ್ಲು
hkif	ಉದಾತ್ತ
nyac	ದಿಕ್ಕಿನಲ್ಲಿ
cyis	ಕುರ್ಚಿ
tyuc	ಕಾಯುವ
tsun	ಗ್ರಾಮ
tyik	ಒಪ್ಪುತ್ತೀರಿ
hnum	ಪರವಾನಿಗೆಯಚಿತ್ತ
slak	ಯಶಸ್ಸು
tsic	ಪ್ರಯತ್ನಿಸುತ್ತಿರುವ
slat	ಬೆಟ್ಟದ
hmik	ಸಂಗೀತ
hkus	ಕೂಗು
hsip	ಏಳು
hpaf	ಖಾಸಗಿ
nwas	ಸುದ್ದಿ
tfac	ದೃಶ್ಯ
fyan	ಉದ್ಯಾನ
cwas	ಆರಂಭಿಸಲು
hfik	ವಿಭಾಜಕಸಂದರ್ಭದಲ್ಲಿ
lyac	ಕಲಿ
syik	ರಾಜಕೀಯ
clin	ಹೆನ್ರಿ
cyin	ಸುಳ್ಳು
tsas	ಪಾತ್ರ
cyik	ಅಧಿಕಾರ
tlap	ನೆಲದ
cyam	ಬೇಸಿಗೆಯಲ್ಲಿ
tcut	ಧರ್ಮ
tcap	ಪಾರು
hlut	ಲೇಖಕ
pyun	ಕಂದು
tcuk	ನೋವು
swan	ವಸಂತ
hmun	ಮೃದು
kyun	ಮೂಲೆಯಲ್ಲಿ
nyak	ಟ್ರೇಡ್ಮಾರ್ಕ್
tsis	ನ್ಯಾಯ
psas	ಉತ್ಪಾದಿಸು
cyaf	ನಗು
hwut	ಮರೆಯಬೇಡಿ
hyup	ಯುರೋಪ್
hwap	ಎಂಟು
psak	ಹಾದುಹೋಗುವ
kyap	ಭಯಾನಕ
pyic	ಅಗತ್ಯವಿದೆ
hmim	ಮಧ್ಯಮ
hsaf	ಉಸಿರಾಟದ
hmis	ಬುದ್ಧಿವಂತ
hsum	ಸ್ವಾಮ್ಯಸೂಚಕಮಾರ್ಕರ್
ksat	ಆಹ್ಲಾದಕರ
ksit	ಸಮಾಧಿ
tsap	ದ್ವೀಪದ
kyam	ಶಿಬಿರದಲ್ಲಿ
tcum	ಟಚ್
cyun	ಅದೃಷ್ಟ
psic	ತೀರ
tyun	ಡೊಮೇನ್
mwit	commissiveಚಿತ್ತ
tlut	ಪದವಿ
myit	ಚಳಿಗಾಲದಲ್ಲಿ
kfan	ನೀತಿ
slac	ಚಾಲನೆಯಲ್ಲಿರುವ
myin	ನಿಮಿಷ
tyip	ದಾರಿ
klas	ಗಾಜಿನ
pfat	ಬೋರ್ಡ್
cyic	ಭಾಸ್ಕರ್
swam	ವ್ಯವಹಾರಗಳ
syam	ಸುರಕ್ಷಿತ
tsut	ವೈದ್ಯರು
hlip	completiveಅಂಶವು
kcas	ಕತ್ತಲೆ
nyun	ಬೆಚ್ಚಗಿನ
hpuc	ಪಾನೀಯ
tlam	ಉದಾಹರಣೆ
hfun	ಕೋಪ
tsik	ಹೊರತಾಗಿಯೂ
tsam	ನೇರವಾಗಿ
hmup	ಹ್ಯಾಟ್
klak	ನಾಯಿ
slin	ಬೆಳ್ಳಿ
swac	ಸೇವಕ
kcam	ಹೆಮ್ಮೆಯ
pyik	ರೈಲು
myut	ನೈತಿಕ
syak	ನಮೂದಿಸಿ
swat	ಕತ್ತಿ
kyuk	ದಾಳಿ
clac	ಆರೋಗ್ಯ
tyaf	ಪ್ಯಾರಾಗ್ರಾಫ್
swic	ಸಾಮಾಜಿಕ
tfit	ಮರುಪಾವತಿ
hkaf	ಅಧಿಕೃತ
pcas	ಗ್ಲಾನ್ಸ್
nyam	ವೈಭವ
tfat	ಹನ್ನೆರಡು
pcut	ತೊಡಗಿರುವ
pwin	ವೈನ್
mwat	ರುಚಿ
fyac	ಕಬ್ಬಿಣದ
syap	ವಿತರಿಸಲು
myap	ವ್ಯಾಪಾರ
hyum	ಬಳಸಿ
fwak	ನ್ಯಾಯಾಧೀಶರು
klat	ನಾಯಕ
twap	cessativeಅಂಶವು
kcic	ಕುತೂಹಲ
kwic	ವಿದೇಶಿ
hnif	ತೀವ್ರತೆ
myun	ಪ್ರಾಮುಖ್ಯತೆಯನ್ನು
tlic	ಅಂತಿಮವಾಗಿ
cyuk	ಕುತ್ತಿಗೆ
syut	ಸ್ವಾತಂತ್ರ್ಯ
pfan	ಕಡೆ
kyuc	ಒಣ
pcap	ಪಕ್ಕಕ್ಕೆ
tfak	ಸಾಕ್ಷ್ಯಾದ
tcik	ಸಾಕ್ಷ್ಯಾದಸಂದರ್ಭದಲ್ಲಿ
twun	ದೂರದ
tyis	ಪ್ರಗತಿ
nyap	ಕಿರಿದಾದ
plit	ಕಟ್ಟಡ
hpif	ಪುಟ
pwic	ಹಿಡಿದ
syic	ದುಃಖ
tsip	ಪಾಪ
syim	ಅನಾರೋಗ್ಯ
tcis	ಪ್ರಾಮಾಣಿಕ
pcun	ಬ್ಯಾಂಕ್
ksap	ಸ್ವೀಕರಿಸಲು
lyam	ಸ್ಟ್ರೀಮ್
tcaf	ಎಚ್ಚರಿಕೆಯಿಂದ
kwac	ಕಿವಿ
hpup	ಬ್ರೆಡ್
kcut	ಆಯ್ಕೆ
nwam	ಪ್ರಾಣಿ
hsup	ಪ್ರಾಣಿಗಳಯಾಅವಕ್ಕೆಸಂಬಂಧಿಸಿದಲಿಂಗ
nwit	eventiveಚಿತ್ತ
tcim	ಇದೇಸಂದರ್ಭದಲ್ಲಿಮಾರ್ಕರ್
tlik	ಗುಣಾತ್ಮಕಸಂದರ್ಭದಲ್ಲಿ
kyus	ದಾಟಲು
hmus	ದಪ್ಪ
kfat	ಪ್ರತಿಭಟನೆ
nwat	ಬೆಳೆಯಲು
myic	ಮಳೆ
hpum	ಮೇಲ್ಮೈ
swut	ಪವಿತ್ರ
clis	ಜುಲೈ
mwun	ಫ್ಯಾಷನ್
hfas	ಕಡತ
cwac	ಭುಜದ
kwat	ಆರಾಮ
nwac	ಯಾರಾದರೂ
tcip	ಬಯಸಿದ
kfac	ಹುಲ್ಲು
hmuk	ಸೆಳೆಯಲು
plin	ಆರಂಭಿಕ
kwun	ಜೂನ್
mlik	ಮೀನು
klin	ರಾಜಧಾನಿ
pfut	ಸ್ತನ
twam	ಹಕ್ಕು
fyin	ವೆಚ್ಚದಲ್ಲಿ
nlit	ನಿಮ್ಮ
mlin	ಮಿಲಿಯನ್
pyut	ಪ್ರಾರ್ಥನೆ
hluk	ದಣಿದ
ksut	ಕೊಲ್ಲಲು
cyut	ನೆರಳು
psin	ತೂಕ
kcis	ಬೂದು
pyam	ಕೆಚ್ಚೆದೆಯ
mwac	ತೃಪ್ತಿ
klam	ಹೇಳುವ
ksam	ರಾಷ್ಟ್ರೀಯ
hfip	ದುರ್ಬಲ
klik	ಕಣಿವೆಯ
hkum	ಊಹಾತ್ಮಕಚಿತ್ತ
clas	ಹಳದಿ
cyuc	ಶಾಖ
mlac	ಅವಶೇಷಗಳು
syip	ಅಷ್ಟೇ
pwak	ಬಾಕ್ಸ್
tcif	ಚೂಪಾದ
psip	ತತ್ವ
ksik	ಪರಿಣಾಮವಾಗಿ
tsim	ಋತುವಿನ
flan	ವಿಜ್ಞಾನ
pcam	ಸ್ಪಷ್ಟವಾಗಿ
kcun	ರಂಧ್ರ
ksuk	ಚಿಕ್ಕಪ್ಪ
mlit	ಪಟ್ಟಿ
pcik	ಅಪಾಯಕಾರಿ
kwas	ಆಗಸ್ಟ್
hluc	ಜನಪ್ರಿಯ
klit	ಅಪರಿಚಿತ
flak	ಪರಿಚಿತ
fyit	ಪರಿಚಿತರಿಜಿಸ್ಟರ್
lwat	ರೀಡರ್
plun	ವಾಕಿಂಗ್
twas	ಎರಡುಬಾರಿ
pcis	ಪಾದ್ರಿ
fyas	ಗಾಯಗೊಂಡ
nlat	ಅರಮನೆ
myuk	ಮರುಳು
pfak	ಒಲವು
tcuf	ಒಂಬತ್ತು
cwap	ಸಹಾನುಭೂತಿ
plac	ಬರ್ಸ್ಟ್
pyap	ಹಾಕುವ
lyic	ಧರಿಸುತ್ತಾರೆ
hcum	ಶಬ್ದ
lwit	ಸಾಹಿತ್ಯ
tsuk	ಶ್ರೇಣಿಯ
hfup	ಚಂಡಮಾರುತದ
kcik	ಪಾಕೆಟ್
nwap	ನವೆಂಬರ್
tyim	ಡಿಸೆಂಬರ್
psaf	ಅನುಪಸ್ಥಿತಿಯಲ್ಲಿ
nlac	ಜನಸಂಖ್ಯೆ
kyaf	ಧನ್ಯವಾದ
slis	ಸರಣಿ
pyaf	ಹಕ್ಕಿ
mlak	ಮಾಲೀಕರು
kwut	ಕೋಟ್
hwuc	ಸಂಬಂಧಗಳು
pyis	ವೇಗವಾಗಿ
twuc	ಹೊಗೆ
nwak	ಜನವರಿ
mlic	ಯಂತ್ರ
tlis	ಹಲ್ಲು
ksun	ಬರೆಯುವ
clam	ಅವಮಾನ
klaf	ಗುಣಮಟ್ಟದ
clit	ರಿಂಗ್
fyak	ಹೊಂದಿಕೆ
fyam	ಹೊಂದಿಕೆಮಾರ್ಕರ್
kwap	ಚದರ
hwip	ಭಾನುವಾರ
psis	ಕವನ
pwut	ಭದ್ರವಾಗಿಅಂಟಿಕೊಂಡ
kyim	ಖರೀದಿ
clic	ಜಾಗ
pyip	ಏಪ್ರಿಲ್
kfap	ಅಕ್ಟೋಬರ್
psut	ವಸ್ತುಗಳು
kcuc	ಕಹಿ
nlap	ಗುಲಾಮ
hsok	ಸಡಿಲ
htet	ಪಠ್ಯ
hbat	ಕೆಟ್ಟ
hrit	ಕ್ರೆಡಿಟ್
hzit	ವೈಶಿಷ್ಟ್ಯಗಳನ್ನು
hpet	ಹದಿನೈದು
krac	ಕ್ರೂರ
hduc	ಧೂಳು
hrik	ಪ್ರಾಯೋಗಿಕ
hron	ಬಣ್ಣ
hnus	ಮೂಗು
hric	ಸ್ನೇಹಿ
srik	ಪೂರೈಕೆ
hten	ನಿನ್ನೆ
tlet	hesternalಉದ್ವಿಗ್ನ
slap	ಅನುತ್ತೀರ್ಣ
hban	ಧರಿಸಲು
hdat	ಕುರುಡು
fran	ಹಾರುವ
hdan	ದೆವ್ವದ
htec	ಕ್ರಮೇಣ
hmon	ಮಿಷನ್
cran	ತ್ಯಾಗ
hran	ಆತ್ಮಸಾಕ್ಷಿಯ
hmos	ಮಂತ್ರಿ
nrit	ಶಕ್ತಿ
hcet	ದ್ವೇಷದ
hset	ಸೆಂಟರ್
hrin	ತರ್ಕಬದ್ಧಲಿಂಗ
hcot	ಆನಂದಿಸಿ
hrip	ಸಂಕ್ಷಿಪ್ತ
htep	ಪೂಜೆ
hcif	ಚರ್ಮ
hrat	ಛಾವಣಿಯ
kran	ಕಿರೀಟವನ್ನು
hkon	ಕೋಟೆಯ
tran	ಹತಾಶೆ
hmif	ಮೈಲಿ
trin	ವೃತ್ತ
hgin	ಜೈಲು
hkop	ಕಪ್
hcen	ಸದಸ್ಯ
swin	ನಾಗರಿಕ
hrac	ಎಲ್ಲೆಡೆ
hris	ಕಸ್ಟಮ್
hbin	ಆಗುತ್ತಿದೆ
hmot	ಮಾಂಸ
hdut	ಹಾಲು
hwen	ತರಕಾರಿಲಿಂಗ
nran	ಅಪರೂಪದ
hbac	ಸೋದರಸಂಬಂಧಿ
crut	ಸೇತುವೆ
hsoc	ಸ್ಟಾಕ್
hsom	ಉಪ್ಪು
nris	ಮುಗ್ಧ
hbit	ತಪ್ಪಿಸಲು
crin	ಮೆಚ್ಚುಗೆ
rwin	ರಾಣಿ
hgut	ಎಣಿಕೆ
hdas	ನೃತ್ಯ
hnot	ಹೋಟೆಲ್
hdin	ತುಂಬಲು
hton	ಖೈದಿಗಳ
hdak	ಅಂಗಡಿ
hlet	ಮೆಟ್ಟಿಲುಗಳ
hson	ಕ್ಷಮೆ
hgek	ಸಲಿಂಗಕಾಮಿ
hras	ಮರಳು
hsep	ಸೆಪ್ಟೆಂಬರ್
hbic	ಅವಶೇಷವಾಗಿ
hlen	ಪರವಾನಗಿ
hcon	ಸಾಕಷ್ಟು
hgit	ಸಾಕ್ಷಿ
kfon	ಅಡಿಗೆ
hbak	ಮಾರಾಟ
tlim	ಚಿಕಿತ್ಸೆ
hsot	ವೇಗ
kyut	ಕಂಪ್ಯೂಟರ್
hnen	ಶಾಶ್ವತ
htek	ಗ್ರಂಥಾಲಯದ
hzan	ಹೊಂದಿರುವ
hbis	ಬೇಸ್
hbun	ಗೊಂದಲ
kcus	ಅಡುಗೆ
hgat	ಮರುಭೂಮಿ
hwus	ಕಿಸ್
hbif	ಐಸ್
hbot	ಚೆಂಡನ್ನು
hrut	ವಾದ
hdit	benedictiveಚಿತ್ತ
hdis	ತಪ್ಪಿತಸ್ಥ
hjan	ಶಿಕ್ಷೆ
plis	ಪೊಲೀಸ್
hgan	ಮರೆಮಾಡಲು
hsen	ದಂಡಯಾತ್ರೆ
nrin	ಅಜ್ಞಾನ
hyen	ಮೋಡದ
frif	ಫೆಬ್ರವರಿ
hdik	ರೋಗ
hnek	ಉಪಕ್ರಮವುಸಂದರ್ಭದಲ್ಲಿ
hbam	ಚಿಕ್ಕಮ್ಮ
hmen	ವಿನಮ್ರ
hdip	ತಡವಾಗಿಕಡ್ಡಾಯವಾಗಿದೆ
prat	ವರದಿಸಾಕ್ಷ್ಯಾದ
hdet	ಮಧ್ಯರಾತ್ರಿ
hjit	ಬೆರಳು
hmoc	ಎಲ್ಲೋ
pran	ಒತ್ತಿ
kcec	ಪ್ರದೇಶದಲ್ಲಿ
hken	ಇತ್ತೀಚೆಗೆ
hloc	ಖೇದ
hrak	ಸಿಬ್ಬಂದಿ
htes	ನೋಡುತ್ತಲಿರುತ್ತಿದ್ದನು
rwan	ಬಹುಮಾನ
hdon	ದಾನ
htot	ಹಣೆ
