hnit	ඉන්ෆිනිටිව්
hsam	ස්වාමිපුරුෂයා
hlis	හය
cwit	ජීවන
cyan	සාම
myat	මතකතබාගන්න
tyic	ස්වාභාවික
hfut	වැටීම
swas	සේවාව
hsap	හැර
pcit	කතුහිමිකම
hyim	හමුදා
kyas	අශ්වයා
plic	අනාගතය
pcak	බටහිර
hpis	වැටුප්
hyuk	රතු
hwun	රන්
twin	ආශාව
plan	නාට්යය
hpus	කාර්යාල
syun	ආණ්ඩුව
kyic	සභාව
htaf	ශක්තිය
hlun	දිග
kyin	සමාගම
kyis	කඩදාසි
mlan	සම්භාවිතාව
hcim	විශේෂයෙන්ම
cyas	වලහා
twac	කවුළුව
nyat	සුන්දරත්වය
hcus	අග
htup	තීරුබදු
htif	දුර
pyas	අඩි
hlas	වල්
ksin	හරිත
hmaf	කරදර
myac	සිනහව
hsim	නින්ද
kyit	උපුටා
kwik	quotativeනඩුව
fwan	සංචාරය
slan	අනුගමනය
psit	පැමිණසිටින
hmic	මිහිරි
hmuf	මුඛය
hfin	පොහොසත්
tcam	සතුරා
psuk	බිඳුණු
kcap	නැව
pwan	ඇතුළුපුද්ගලයා
hfic	බලපෑම
tcuc	පෙනී
hkim	රහස්
pyin	කරුණාකර
pwit	precativeමනෝභාවය
pyit	ආචාරශීලීලේඛනය
cwak	නපුරු
myak	මාර්තු
tcas	ස්ථාන
hlaf	ඉන්න
psat	වෙනුවට
nlan	නිල්
psac	නොහැකි
kcuk	පාසලේ
kcit	විවාහ
kcak	ආහාර
syis	විසි
tlac	නිහඬව
hcip	අනාගතඅංශයක්
kwin	ලබාදීම
tsit	නතර
pyac	භාෂාව
hsus	සතියේ
hcup	ශාලාව
cyap	පුදුමයක්
tfin	උපත
fyat	අධිකරණය
hnip	gnomicඅංශයක්
tsak	ගරු
tlas	වටිනා
syuc	ගස්
plat	පවුර
cyak	ස්වර්ගයේ
twip	inchoativeඅංශයක්
mlat	විධානය
swit	jussiveමනෝභාවය
mwas	මස
hwaf	පරිපූර්ණ
tyap	අත්දැකීමක්
ksac	තත්වයන්
syac	නැවුම්
hnuk	හැඬුවා
kwak	ආවරණය
tyuk	නැගෙනහිර
pwac	ගල්
hkif	උතුම්
nyac	දිශාව
cyis	පුටුවක්
tyuc	බලා
tsun	ගමේ
tyik	එකඟ
hnum	ලිහිල්මනෝභාවය
slak	සාර්ථකත්වය
tsic	උත්සාහ
slat	කඳු
hmik	සංගීත
hkus	කන්නලව්
hsip	හතක්
hpaf	පුද්ගලික
nwas	පුවත්
tfac	දර්ශන
fyan	වත්ත
cwas	ආරම්භය
hfik	distributiveනඩුව
lyac	ඉගෙන
syik	දේශපාලන
clin	හෙන්රි
cyin	බොරුවක්
tsas	කාස්ට්
cyik	අධිකාරිය
tlap	මහල
cyam	ගිම්හානය
tcut	ආගම
tcap	පලා
hlut	කර්තෘ
pyun	දුඹුරු
tcuk	වේදනාව
swan	වසන්තයේ
hmun	මෘදු
kyun	කෙළවරේ
nyak	වෙළඳලකුණු
tsis	යුක්තිය
psas	නිපැයුම
cyaf	හිනා
hwut	අමතකකරනවා
hyup	යුරෝපය
hwap	අට
psak	සම්මත
kyap	දරුණු
pyic	අවශ්ය
hmim	මධ්යම
hsaf	හුස්ම
hmis	ප්රඥාවන්ත
hsum	possessiveමාකර්
ksat	ප්රසන්න
ksit	මිනී
tsap	දිවයින
kyam	කඳවුරේ
tcum	ස්පර්ශ
cyun	වාසනාව
psic	වෙරළට
tyun	වසම්
mwit	commissiveමනෝභාවය
tlut	උපාධිය
myit	ශීතඍතුවේ
kfan	හැසිරීම
slac	ධාවනය
myin	විනාඩි
tyip	ඊයම්
klas	වීදුරු
pfat	මණ්ඩලය
cyic	නිෂ්ඵල
swam	කටයුතු
syam	ආරක්ෂිත
tsut	වෛද්යවරයා
hlip	completiveඅංශයක්
kcas	අඳුරු
nyun	උණුසුම්
hpuc	බීම
tlam	උදාහරණයක්
hfun	කෝපය
tsik	තිබියදීත්
tsam	සෘජුවම
hmup	තොප්පිය
klak	බල්ලා
slin	රිදී
swac	සේවකයා
kcam	අභිමානය
pyik	දුම්රිය
myut	සදාචාරාත්මක
syak	ඇතුළු
swat	කඩුව
kyuk	ප්රහාරය
clac	සෞඛ්ය
tyaf	ඡේදය
swic	සමාජ
tfit	මුදල්ආපසු
hkaf	නිල
pcas	බැලූබැල්මට
nyam	මහිමය
tfat	දොළොස්
pcut	නිරත
pwin	වයින්
mwat	රස
fyac	යකඩ
syap	බෙදාහැරීම
myap	වෙළඳ
hyum	භාවිතා
fwak	විනිසුරු
klat	නායක
twap	cessativeඅංශයක්
kcic	කුතුහලයෙන්
kwic	විදේශ
hnif	තීවකාරක
myun	වැදගත්කම
tlic	අවසාන
cyuk	ගෙල
syut	නිදහස
pfan	පැති
kyuc	වියළි
pcap	පසෙකට
tfak	සාක්ෂිමය
tcik	සාක්ෂිමයනඩුව
twun	ඈත
tyis	ප්රගතිය
nyap	පටු
plit	ගොඩනැගිල්ල
hpif	පිටුව
pwic	පැවැත්වීම
syic	දුක
tsip	පාපය
syim	ලෙඩ
tcis	අවංක
pcun	බැංකුව
ksap	පිළිගන්න
lyam	විෂයධාරාව
tcaf	ප්රවේශමෙන්
kwac	කන
hpup	පාන්
kcut	තෝරා
nwam	සත්ව
hsup	zoicස්ත්රීපුරුෂ
nwit	eventiveමනෝභාවය
tcim	එකමසිදුවීමක්මාකර්
tlik	ගුණාකාරනඩුව
kyus	හරස්
hmus	ඝන
kfat	එඩිතර
nwat	වර්ධනය
myic	වැසි
hpum	මතුපිට
swut	ශුද්ධ
clis	ජුලි
mwun	විලාසිතා
hfas	ගොනුව
cwac	උරහිස්
kwat	සුවපහසුව
nwac	ඕනෑමකෙනෙකුට
tcip	අපේක්ෂිත
kfac	තෘණ
hmuk	දිනුම්ඇදීම
plin	විවෘත
kwun	ජූනි
mlik	මාළු
klin	ප්රාග්ධන
pfut	පියයුරු
twam	හිමිකම
fyin	වියදම්
nlit	ඔබේ
mlin	මිලියන
pyut	යාච්ඤා
hluk	වෙහෙසටපත්
ksut	මරා
cyut	සෙවනැල්ල
psin	බර
kcis	අළු
pyam	නිර්භීත
mwac	සෑහීමටපත්
klam	කියන්නේ
ksam	ජාතික
hfip	දුර්වල
klik	නිම්නය
hkum	සමපේක්ෂනමනෝභාවය
clas	කහ
cyuc	තාපය
mlac	දේහය
syip	සමානව
pwak	කොටුව
tcif	උල්
psip	මූලධර්මය
ksik	ප්රතිවිපාකය
tsim	සමය
flan	විද්යාව
pcam	පැහැදිලිවම
kcun	බෝර
ksuk	මාමා
mlit	ලැයිස්තුව
pcik	භයානක
kwas	අගෝස්තු
hluc	ජනප්රිය
klit	නොදන්නා
flak	හුරුපුරුදු
fyit	හුරුපුරුදුලේඛනය
lwat	පාඨකයා
plun	ගමන්
twas	දෙවරක්
pcis	පූජක
fyas	තුවාල
nlat	මාලිගය
myuk	මෝඩයෙකු
pfak	පක්ෂව
tcuf	නවය
cwap	අනුකම්පාව
plac	පුපුරාගිය
pyap	දමා
lyic	හැඳ
hcum	ශබ්දය
lwit	සාහිත්යය
tsuk	නිලය
hfup	කුණාටුව
kcik	සාක්කුවේ
nwap	නොවැම්බර්
tyim	දෙසැම්බර්
psaf	නොමැති
nlac	ජනගහනය
kyaf	ස්තුති
slis	මාලාවක්
pyaf	කුරුළු
mlak	හිමිකරු
kwut	කබාය
hwuc	සබඳතා
pyis	වේගයෙන්
twuc	දුම්
nwak	ජනවාරි
mlic	යන්ත්රය
tlis	දත්
ksun	දැවෙන
clam	ලජ්ජාවට
klaf	ගුණාත්මක
clit	මුද්ද
fyak	වැකිය
fyam	වැකියමාකර්
kwap	වර්ග
hwip	ඉරිදා
psis	කවි
pwut	preordained
kyim	මිලදී
clic	ක්ෂේත්ර
pyip	අප්රේල්මස
kfap	ඔක්තෝම්බර්
psut	වස්තූන්
kcuc	කටුක
nlap	වහල්
hsok	ලිහිල්
htet	පෙළ
hbat	නරකම
hrit	ණය
hzit	විශේෂාංග
hpet	පහළොව
krac	කෲර
hduc	දුවිලි
hrik	ප්රායෝගික
hron	වර්ණ
hnus	නාසය
hric	හිතකාමී
srik	සැපයුම්
hten	ඊයේ
tlet	hesternalනොසන්සුන්කාරී
slap	අසමත්
hban	ඇඳීමට
hdat	අන්ධ
fran	පියාසරතහනම්
hdan	යක්ෂයා
htec	ක්රමයෙන්
hmon	මෙහෙවර
cran	පූජාව
hran	හෘදයසාක්ෂියක්
hmos	ඇමැති
nrit	බලශක්ති
hcet	වෛරය
hset	මධ්යස්ථානයක්
hrin	තාර්කිකස්ත්රීපුරුෂ
hcot	භුක්ති
hrip	කෙටි
htep	නමස්කාරය
hcif	සම
hrat	වහලය
kran	ඔටුන්නහිමි
hkon	කාසල්
tran	බලාපොරොත්තුසුන්
hmif	සැතපුම්
trin	රවුම
hgin	බන්ධනාගාර
hkop	කුසලාන
hcen	සාමාජික
swin	සිවිල්
hrac	සෑමතැනකම
hris	අභිරුචි
hbin	බවටපත්වෙමින්
hmot	මස්
hdut	කිරි
hwen	vegetalස්ත්රීපුරුෂ
nran	දුර්ලභ
hbac	ඥාති
crut	පාලම
hsoc	කොටස්
hsom	ලුණු
nris	අහිංසක
hbit	මග
crin	අගයකිරීම
rwin	රැජින
hgut	ගණන්
hdas	නැටුම්
hnot	හෝටල්
hdin	පිරවීම
hton	සිරකරුවෙකු
hdak	වෙළඳසැලක්
hlet	පඩිපෙළ
hson	සමාව
hgek	සමලිංගික
hras	වැලි
hsep	සැප්තැම්බර්
hbic	විනාශය
hlen	බලපත්රය
hcon	ප්රමාණවත්තරම්
hgit	සාක්ෂි
kfon	මුළුතැන්ගෙයි
hbak	අලෙවි
tlim	ප්රතිකාර
hsot	වේගය
kyut	පරිගණක
hnen	සදාකාලික
htek	පුස්තකාලය
hzan	අඩංගු
hbis	පදනම
hbun	ව්යාකූලත්වය
kcus	කුක්
hgat	කාන්තාර
hwus	හාදුවක්
hbif	අයිස්
hbot	පන්දුව
hrut	තර්කය
hdit	benedictiveමනෝභාවය
hdis	වරද
hjan	දඬුවම
plis	පොලිසිය
hgan	සඟවන්න
hsen	ගවේෂණකණ්ඩායම
nrin	නූගත්
hyen	වලාකුළක්
frif	පෙබරවාරි
hdik	රෝගය
hnek	වැඩසටහනනඩුව
hbam	නැන්දා
hmen	නිහතමානී
hdip	අත්යවශ්යප්රමාද
prat	වාර්තාසාක්ෂිමය
hdet	මධ්යමරාත්රියේ
hjit	ඇඟිල්ල
hmoc	කොහේහරි
pran	මාධ්ය
kcec	කලාපයේ
hken	මෑතකදී
hloc	විෂාදයට
hrak	කාර්යමණ්ඩලය
htes	අයැදීම්දෙවියන්
rwan	ත්යාගය
hdon	පරිත්යාග
htot	නළල
hnet	දේවදූතයා
hdun	ඒකවචන
croc	දෝෂයක්
hlon	අලුයම
hyec	බැටළුවන්
hjin	ඉවසීම
hrec	referential
mran	ඉරිඟු
htos	බහුතරයක්
hcos	පියවර
hkoc	ඉඳහිට
hlif	ලාභයක්
clak	සීනි
hjat	මනුෂ්යත්වයට
tram	රාමු
hdic	තැටිය
hkok	පාළු
srat	කලාකරු
crak	යක්ෂභූතාදීන්
hmet	විද්යුත්තැපෑල
hden	තීරණ
gran	ආණ්ඩුකාර
crac	ශාඛාව
hjac	උද්යෝගය
hdim	උද්ගාමීමනෝභාවය
hcok	කඩිමුඩියේ
hyet	තෙල්
pwap	නල
trat	මුද්රණය
tcot	ඝනදව
hdoc	ඔහ්
hren	කතිකාවසන්දර්භය
tcon	දහවල්
krin	මැදිරියේ
plam	එලාම්
hnes	කැලඹීමට
tcen	නිරීක්ෂණ
hsek	අංශයක්
plik	අදාළ
slik	සේද
hfen	සියයට
hgen	නියෝජිතයා
hnon	සංගමය
crik	නිරය
tcet	දෝෂසහිත
mrat	මිශ්ර
hdam	admonitiveමනෝභාවය
hgac	අභිලාෂය
htoc	කෙසේහෝ
hdac	උපදෙස්
nwin	ආණ්ඩුක්රමව්යවස්ථාව
srit	මෙවලමක්
hret	දැඩිලෙස
nlin	සමඟඅමුත්තන්
hzat	රැල්ල
klic	විදුහල
hkek	වලිගය
nric	පරම්පරාව
hgic	ජනාකීර්ණ
hgak	බළලා
trit	සෘජුසාක්ෂිමය
tyot	ගිවිසුම
hnok	අන්තර්ගතය
crit	අතහැරදමා
slen	එකොළොස්
srin	සහජබුද්ධියක්
hpok	ගෝත්රය
hyot	භීතියටපත්වෙයිමනෝභාවය
cric	නවාතැන්
hruc	රළුපරළු
cwin	අසුන්පිටයෑම
hzak	ෂේක්
dyit	කර්මාන්ත
hpec	වෘත්තියෙන්
nras	හෙදියක්
hcec	ඉගැන්වීම
hbut	පාවහන්
hmec	නොපැහැදිලි
twot	ක්රියාකාරකම්
crat	සෙනසුරාදා
hkot	ධාරිතාව
hnec	හිරුඑළිය
hwuf	වැන්දඹුවක්
cren	වගුරුවා
nrat	තරු
hget	අමුත්තන්ගේ
hbik	ආශීර්වාද
brin	අභ්යන්තර
hpot	ඇත
trac	ප්රතිරෝධය
prac	සරිකරගන්නා
hcoc	හිස්
hpon	පළාත
hwim	ශිෂ්ටාචාරය
dwan	එල්ලෙන
cwok	කම්පන
hdok	රියදුරු
crun	නිධන්
hzik	බීජ
hrot	නොසන්සුන්කාරීපසුගියමෑත
hket	අවදි
hcek	ගෘහභාණ්ඞ
hrop	කඹය
mrac	ත්රාසජනක
byit	මංගල්යය
trak	වාර්ෂික
hzin	දක්ෂිණ
sric	උත්සවය
clik	දඞයම
trap	ලිබරල්
hrim	ක්රිස්තියානියට
hrus	කුමරිය
blat	පූජාසනය
cyon	ඉතාකුඩා
hwep	වෙබ්
krat	ගති
tris	පාට,දම්පාට
kcot	රැස්
hben	මැතිවරණ
trik	බීමත්ව
kfit	ලිෆ්ට්
tcec	හුවමාරුව
nrik	නිශ්චිතලිපි
grat	අධිරාජ්යයා
dran	පරිපාලනය
hpen	මීටපෙර
cluk	කැත
nrac	හානිකර
ryin	පුහුණුව
hrun	රෝල්
nwic	අඟල්
slit	රූගතකිරීම්
gzat	පුවත්පත
krot	කැපීම
drit	රැවුල
hzis	කඳුළු
hdap	දහඅටක්
sris	ඓතිහාසික
mrut	දළ
nyik	මඩ
bran	මනමාලිය
drat	රඳා
djan	යෝධ
glat	සරල
hpoc	සරත්සෘතුවේ
pras	වැස්ම
hgot	රැස්වසිටිපිරිස
tret	රංගශාලාව
tras	සාපේක්ෂව
rwit	ප්රතිවාදී
hfon	පිහිටුවීම
klot	පුහුණුකරුවා
hmum	හාස්ය
drac	කතිකාව
rwas	නවකතාව
tset	පලි
hdot	distalනිදර්ශක
ryut	ඊර්ෂ්යා
hwon	ආරාධනය
byat	ගිනිතබා
flac	සැණෙළිය
prot	චිත්රයක්
crek	යෝජනා
htok	ගැටුම
htop	ශාපය
prit	imprecativeමනෝභාවය
hces	අසරණ
klup	සමාජය
hnos	ගංවතුර
dwin	නොතැකීම
prin	ක්ෂිතිජය
mrit	assumptiveමනෝභාවය
tcoc	අධික
hcom	සමගිය
grit	අකුණු
tlot	ළමාකාලය
hgik	දණහිස
hwes	සිහිසුන්ව
hzac	අන්යෝන්ය
hsec	මෘදුකාංග
tson	ආයතනවල
ryit	රිසිට්
dlin	විනය
slip	ස්ලිප්
klon	විප්ලවය
hfim	ගොවියා
hpom	වේදිකාව
cyen	ශිෂ්ය
hgec	ලෙන්
hroc	සම්ප්රදාය
srac	ඉදිරිපත්
ryat	ඛේදවාචකය
kcen	කන්යා
hbap	සමුගැනීමේ
krik	විවේචන
krap	කපු
fwat	රෝහල
kcet	කුලී
hgas	ගෑස්
pfin	නොවැලැක්වියහැකි
dlit	කොළ
ryan	පරිවර්තනය
sran	අවසන්කටයුතු
mrin	පිටි
hram	ආදර
dlan	ඩොලර්
hzas	විහිලුවේ
hsos	දහසය
klen	යටත්විජිතයක්
gyin	දක්ෂිනාංශික
hsif	සිංහයෙකු
cluc	කපටි
prip	සකස්
hzut	මීදුම
dwat	වෛද්යවිද්යාව
krit	සෝදුපත්බැලීම
sras	කැදැල්ල
hses	දහහතරකට
brat	විරෝධය
flat	අම්ලය
hjic	එනම්
slic	ගිනිඅවියක්
hbuc	පරිශීලක
tron	තැඹිලි
byan	නාන
hrif	ප්රාථමික
tlip	ස්ථාපිත
blan	කූඩය
kris	ලේකම්
hyon	මේඅතර
tren	අද
dlat	hodiernalනොසන්සුන්කාරී
hzic	වස
tfic	රයිෆල්
tlen	දක්ෂතා
hlim	දේශගුණික
dyat	සහකරුහෝසහකාරිය
kcon	එළිදරව්
dlac	වොෂ්
krak	පාපොච්චාරණය
hbas	විකාර
hkec	ගල්අඟුරු
hrek	නැවත
hkos	ඔරුවකින්
hwif	උප
tric	තාවකාලික
hdep	delimitativeඅංශයක්
mwak	ගොඩක්
ksot	අස්ථි
hnoc	සදුදා
nlas	අඟහරුවාදා
brac	බදාදා
frap	ෆෙඩරල්
pfit	නියෝජිත
pcoc	ධ්රැවය
lyen	හණ
swak	බේසම
pcen	සභාපති
brit	ලේවැකි
hwec	වැටලීම
hwet	බඩ
hlos	උඩුමහලේ
hbon	විවිධ
pcon	පිත්තල
hsem	සමුළුව
lwac	ලාභ
tsos	තරගයට
kwen	සුවිශේෂීපුද්ගලයෙකු
trun	ගොඩ
trut	ප්රතිමාව
hrap	කාලතුවක්කු
hgap	අත්අඩංගුවටගැනීම
trot	උෂ්ණත්වය
grin	අසල්වැසියෝ
hjak	වැළඳ
hpek	මල්ල
hlus	මුවා
hwos	නිදනකාමරය
tsuc	බුෂ්
pcuc	විසර්ජන
cris	උරුමක්කාරයා
clun	ඕක්
hpes	අප්රසන්න
nlet	අසම්පූර්ණ
hrom	වැඩසටහන
pyon	පියානෝව
swet	ඒත්තු
dric	අදෘශ්යමාන
tyen	ඉතාහොඳින්දන්නා
hruk	කෲරත්වය
frat	පවරා
hyoc	පරීක්ෂාවට
hlep	ටෙලික්අංශයක්
nrot	අන්තර්ජාතික
nret	ප්රචණ්ඩ
hfif	දාර්ශනිකයෙකු
pfic	නිරූපණය
hmek	සංවේදී
hfec	සුබසාධන
myik	මාඵඇල්ලීම
truc	සොරකම්
tcop	තොල්
rwic	විශ්රාම
htom	ආර්ථිකය
glan	ගැලරිය
pren	සමාන්තර
hlek	atelicඅංශයක්
nrak	මහාද්වීපය
truk	හතරේපහර
hjim	වළක්වනලදිමනෝභාවය
rwat	ටයිපටියක්
hcep	සෛල
dyan	බිත්තර
jrat	කෘතිම
nren	ආශ්වාදයක්
ksic	අර්බුදය
tsoc	සොයමින්
lwan	දිවාආහාරය
hpos	පයින්
hcuf	තල්ලුව
tcus	නඩු
pset	දීර්ඝ
hkep	තඹ
swis	නාවිකයා
prim	අධිරාජ්ය
trip	සංවිධායක
cras	ෂර්ට්
swap	ස්වීප්
syet	කටුසටහනක්
htof	සොරෙකු
clen	නාලිකාව
kwit	පෞරුෂත්වය
klok	අතිරික්ත
hrok	ප්රතිසංස්කරණ
hguc	පිපාසය
kcim	තර්ජනය
hpem	පාම්
psik	කථානායක
frit	එළිපත්ත
cret	අංශුමාත්ර
mrak	හෙල්ලය
syen	වාරය
tcup	තෙත්
hyek	සංචාරකයාගේ
trim	ටින්
plak	පැමිණිල්ලක්
hyok	කෝණය
hgam	ගව
hmok	මෝල්
jrac	සිතියම
kloc	කරපටිය
gyit	හිතාමතාම
hbip	බියර්
mlet	විල්ලුද
lyap	අපයෙදුම්
cwen	රැළ
bwan	ලේලිය
tses	දහතුන
jrit	යුක්තිසහගත
nlak	අත්පිටපත
sron	රණශූරයාට
cruc	සිකුරාදා
broc	බුරුසුවක්
dlot	බාගත
krim	ක්රීම්
pric	තණතීරුව
prut	ජූරි
hgon	ශීතකළ
sram	වචනාර්ථයෙන්
pfot	බඳුනක්
hlot	සැලසුම්
djin	කාසියක්
hlok	පිම්ම
hpep	ඇපල්
hwot	කටිනලද
dlak	සාකච්ඡා
brik	දායක
nlis	පිටපත්
hbet	ඔට්ටු
pris	වෛරසය
hjik	ආගන්තුකසත්කාරය
blit	බොළඳ
hjap	සිවුරු
tfik	පිළිබිඹු
hdaf	අත්
hpop	ඔපෙරා
kcaf	සැඟවී
kcoc	වැලමිට
hrum	අලුත්වැඩියාකරනවා
cyim	සැකසහිත
dyic	අධ්යාපන
hgoc	වළ
drak	ආබාධයක්
plas	අත්පොළසන්
byin	ද්විමය
hzap	abbey
nlot	පක්ෂපාතිත්වය
mrik	යාන්ත්රික
hsop	සාර්ථකව
crap	උගුලක්
kyek	කේක්
nrut	විනෝදාස්වාදය
syes	සර්
hjet	දහහත්
hjen	ස්ත්රී
hmom	මීපැණි
hdec	අවාසනාවකටමෙන්
lwen	පුරාවෘත්තය
slot	උදුන
frac	කැරලිකාර
gwan	වැඩිවීමට
mruk	වැඩිදියුණු
swot	වගුරැපෙදෙසට
zlan	උපයා
hnem	සජීවිකරණ
hdes	ගවුම
prak	දේශනා
frin	දර්ශනය
hfet	විරුද්ධ
cros	ඇරියේ
ryon	තාර්කික
tcos	බෝග
tsen	සැකසුම්
hwek	වෘකයා
nlik	ප්රතික්ෂේපකිරීම
klap	කාපට්
dras	අවමන්කරනවා
prop	සරු
slim	නලාවකින්
hgis	චීස්
krut	දෂ්ට
srot	ආරක්ෂාවයටතේය
bjan	පාවෙන්න
nwen	නාවික
myas	ආවරණ
kwaf	සංවර්ධනය
twis	කුලීරථය
pcip	පැන්සල්
srap	එළවළු
sren	ප්රදර්ශනය
tlun	කලිසම්
