ni	infinitivo
ksoh	sexual
lyah	perezoso
mreh	momentaneaspecto
pceh	lamentar
bjih	exfallecido
pcuh	incertidumbre
xi	habitualaspecto
blih	encerrado
tsuh	trivial
fwih	majestuoso
grah	halagüeño
brah	arbitrario
cleh	benevolente
sreh	formalregistro
pfah	beneficioso
droh	auditivoprobatorio
flih	inferencialprobatorio
sweh	Sublativecaso
ksuh	declarativoestadoanimico
pleh	privilegiado
psoh	invencible
be	verbal
mwoh	ensueño
kleh	miseria
glah	codicia
kseh	afirmativoestadoanimico
zrah	insatisfacción
dyoh	idiophone
syoh	awed
gwah	excesivocaso
zlih	irrealisestadoanimico
zrih	timidez
byih	adaptación
ryeh	pronombremarcador
fwah	frugal
bjah	extático
kxah	ecuanimidad
gvih	pegativecaso
pxih	vindicación
xrah	expirando
tfoh	enlosucesivo
kxih	arrepentimiento
ryoh	prosecutivecaso
qyah	preocupación
r6	participio
txah	remotopasadotiempo
xrih	históricotiempo
dxah	dualnúmero
syuh	súper
vweh	conexcesodetrabajo
n6	sensorialprobatorioestadoanimico
bweh	obsesión
xlih	divertidísimo
txih	punzada
sluh	autosatisfecho
txoh	movimientocuestaarriba
xe	retrospectivo
pxah	entrampar
vwah	movimientocuestaabajo
xyih	élite
fleh	declinada
psuh	superessivecaso
syeh	sátiro
qi	transitivo
xruh	acobardarse
zwah	Guau
tr6h	movimientoríoarriba
qwah	sinambición
xlah	entodoelmundo
tyoh	intransitivo
tluh	anticlímax
qa	corrientepertinenciamarcador
kxoh	perrocansado
rwoh	ordinal
ve	vector
kyoh	kilo
swoh	secuencial
pxeh	partitivocaso
txeh	aumentativo
dxih	predicativo
pxoh	prolativecaso
pfoh	Profrase
blah	hastiado
fyih	nohumano
xo	actorpapel
pc6h	pruebanúmero
greh	céntricocaso
groh	Goldesencadenar
dxoh	mediovoz
rweh	oblicuocaso
xwah	pacientecaso
xu	hodiernopre
xroh	aldesgasteacabo
ks6h	causante
vi	binary-valor
dleh	modalcaso
gjeh	else-if
xreh	compañerodetrabajo
lwoh	locativocaso
ml6h	multalnúmero
gjih	galaxiagénero
qlah	estrellagénero
bvih	abessivecaso
dvah	adesivocaso
je	agentivacaso
t6	agentedesencadenar
kxeh	acaso
gxih	comúngénero
tc6h	citaciónformar
ts6h	transnúmero
ryuh	directoobjeto
gveh	ergativecaso
pyoh	pasivovoz
qe	finitoverbo
xwih	primarioobjeto
myoh	gnomicestadoanimico
vrih	finalpartícula
va	evitativecaso
bveh	subessivecaso
dxeh	poseídocaso
dvih	lativecaso
tsa7h	antessivecaso
dyeh	adverbialcaso
mleh	animargénero
pfeh	empáticoalegría
xleh	vehículogénero
qlih	mineralgénero
xloh	verbalsustantivo
dreh	segundoidioma
bvah	yoconfianza
qrah	cambiodeevento
fo	diferenteevento
sl6h	crastinaltiempo
fyoh	reflexivovoz
bxih	universogénero
jlih	transitivoverbo
kyeh	localidadgénero
txuh	investigacióngénero
s6	artísticogénero
preh	pacientedesencadenar
sr6h	abstractogénero
nyoh	indirectohabla
zreh	exocéntricacaso
kfeh	pasadoperfectivo
jo	impersonalverbo
kxuh	colectivosustantivo
bu	absolutivecaso
qrih	planetariogénero
kfoh	núcleobenefactivo
kwoh	deasociacióncaso
pluh	superlativocaso
jrah	eléctricocorriente
glih	inanimadogénero
p6	propositivaestadoanimico
vrah	recíprocovoz
lyuh	sucesivocláusula
gleh	prontofuturotiempo
lyoh	aplicativovoz
ps6h	antipasivavoz
tfuh	continuativasaspecto
nr6h	necessitativeestadoanimico
pr6h	pasivoparticipio
sy6h	existencialcláusula
qyih	luminosointensidad
gluh	singulativonúmero
kwuh	excesivoduración
xyah	solteroacciónverbo
vlih	superlativolalicenciatura
djah	presenteparticipio
m6	cantidaddesustancia
ti7	conectivopartícula
f6	epentéticomorfema
tli7h	remotofuturotiempo
si_	postposicionalcaso
l6	alocuciónacuerdo
k6	frecuentativoaspecto
bzih	distributivopronombre
tu7	depuntoflotantedenúmeros
vo	verbo-sufijo
ki7	pasadopasivoparticipio
ta_	locativodireccionalcaso
