hnit	інфінітив
zyan	весло
nlun	Ввійти
hlop	телескоп
jlin	написання
lyut	хмарний
hsof	прибій
fyik	віскі
klet	щодо
hwof	верба
hlum	верблюд
myet	любитель
klis	ізоляція
hbaf	біографія
gwac	осів
hwum	слух
pwik	перспективний
pron	професіонал
myes	щомісяця
mwen	мрійливість
kfic	відпустка
klek	клацання
cwon	овальний
lyak	еластичний
kwon	словник
hjam	шинка
rwon	веселка
crip	справжнім
zwan	щовідбувається
srok	редакційний
craf	тілесний
tlok	бак
brip	метелик
tfap	діаграма
jwat	близнюк
pros	операційна
psun	ознаку
clet	нещасний
hbus	бамбук
dyas	дилер
klun	накопичення
jlit	одностайне
hdom	кошмар
kron	вуглець
hzam	джем
cyot	слухач
hmem	музей
lwam	алфавіт
fras	розкид
psoc	перфоратор
hgum	жувальнагумка
brek	гальмо
glit	стабільність
frun	гниль
gris	агресивний
mroc	тертя
bzit	павук
plut	картопля
glac	жадібність
gzac	множити
prun	спин
jlet	календар
nyim	висування
tlos	трильйон
slut	салат
fwit	стверднунастрій
pyen	додатків
nlon	номінальний
dren	демонструвати
drun	незадоволеність
cyok	знизуванняплечима
hfop	футбол
ryac	партнерство
gzin	піонер
hgip	капуста
tyet	спортивний
hdof	ідеофон
hwup	неоціненний
lwek	важіль
syec	сенатор
jyak	вміщати
mlim	мураха
fwic	фактично
gzit	вагітна
blas	опора
jrin	повсякденний
gwak	кісточка
drik	дивно
prif	змінна
jwit	різноманітність
krip	дискримінація
ryot	благоговіння
nwut	тротуар
kcif	активно
jrak	жаба
twek	exessiveвипадок
psot	розплата
pfon	губка
sluk	білка
nlim	ірреаліс
ksaf	дефіцит
glak	вулкан
plen	рівновагу
kfaf	шарф
kyon	експлуатувати
jlik	геологічний
psop	паспорт
kfis	вакансія
fyon	спорідненість
nram	аморальний
hbuk	сухепечиво
gras	транс
hyos	побоюється
flim	фільм
plet	таблетка
rwam	атом
blis	ваніль
zlit	СНІД
fyut	вибагливий
crim	піраміда
hjif	незаконний
crif	сором&#39;язливість
lwap	лютня
tyon	астрономія
mrim	лабіринт
drut	описовий
nrim	стипендія
kruc	черепаха
kwam	консультант
jrik	крикет
dlut	позначати
pyot	голубиний
dyon	адаптація
prap	оператор
bzin	значок
tyek	трикутник
trec	скарбник
nron	водень
pyet	принтер
tsok	удушення
zyin	хронічний
slek	велосипед
jyin	інжиніринг
ryas	передача
zrak	оновлення
nyas	танцюрист
gric	міграція
zlak	порушувати
tces	теніс
hjun	вітряний
twen	ткати
kyet	колектор
gwit	хребет
kyot	акорд
fwin	частота
tfuc	ткацькийверстат
dlet	каталог
pfik	мислитель
bjet	бюджет
trek	стратегія
kros	кварц
gjit	ножиці
gwic	перемикач
