ni	不定詞
truh	温度
tfeh	TELICアスペクト
lyeh	未完了相のアスペクト
ru	ひどく高いです気分
kfih	幼稚な
cyoh	疑わしい
nluh	忠誠心
cweh	トラップ
nwoh	アニメの
sruh	スリル
ksoh	性的
lyah	怠惰な
mreh	momentaneアスペクト
pceh	後悔
bjih	前者故人
pcuh	不確実性
xi	常習的なアスペクト
blih	有界の
tsuh	ささいな
fwih	雄大な
grah	お世辞の
brah	任意
cleh	慈善
sreh	フォーマル登録
pfah	有益
droh	聴覚の証拠の
flih	推論の証拠の
sweh	sublative場合
ksuh	宣言型気分
pleh	特権を持ちます
psoh	無敵
be	口頭の
mwoh	空想
kleh	悲惨
glah	貪欲
kseh	肯定的な気分
zrah	不満
dyoh	イディオフォン
syoh	恐れおののきました
gwah	過度の場合
zlih	非現実相気分
zrih	内気
byih	適応
ryeh	代名詞マーカー
fwah	質素な
bjah	恍惚としました
kxah	平静
gvih	pegative場合
pxih	弁明
xrah	期限切れ
tfoh	今後
kxih	悔恨
ryoh	prosecutive場合
qyah	先入観
r6	分詞
txah	リモート過去時制
xrih	歴史的時制
dxah	デュアル数
syuh	スーパー
vweh	過重労働の
n6	感覚の証拠の気分
bweh	強迫観念
xlih	陽気な
txih	ズキズキする痛み
sluh	自己満足
txoh	モーション上り坂
xe	回顧展
pxah	陥れます
vwah	モーション下り坂
xyih	エリート
fleh	屈折しました
psuh	superessive場合
syeh	サテュロス
qi	他動詞
xruh	縮こまります
zwah	ワオ
tr6h	モーション上流地域
qwah	向上心のありません
xlah	世界的に
tyoh	自動詞
tluh	竜頭蛇尾
qa	現在関連性マーカー
kxoh	疲れた犬
rwoh	序数
ve	ベクター
kyoh	キロ
swoh	シーケンシャル
pxeh	部分格場合
txeh	増加的な
dxih	述語
pxoh	叙述補助の場合
pfoh	プロフレーズ
blah	気ままな
fyih	ノン人間
xo	俳優役割
pc6h	トライアル数
greh	中心の場合
groh	ゴール引き金
dxoh	中間音声
rweh	斜めの場合
xwah	患者場合
xu	事前に現在の
xroh	着るでる
ks6h	原因となります
vi	バイナリ値
dleh	モーダル場合
gjeh	ほかにもし
xreh	同僚
lwoh	所格場合
ml6h	multal数
gjih	銀河性別
qlah	星性別
bvih	欠格場合
dvah	位置格場合
je	動作主格場合
t6	エージェント引き金
kxeh	に場合
gxih	一般性別
tc6h	引用形
ts6h	トランス数字
ryuh	直接オブジェクト
gveh	能格場合
pyoh	受動的音声
qe	有限の動詞
xwih	プライマリーオブジェクト
myoh	格言家の気分
vrih	最後の粒子
va	evitative場合
bveh	subessive場合
dxeh	所有して場合
dvih	lative場合
tsa7h	antessive場合
dyeh	副詞の場合
mleh	アニメイト性別
pfeh	共感的な喜び
xleh	車両性別
qlih	ミネラル性別
xloh	口頭の名詞
dreh	二番言語
bvah	自己信頼
qrah	変化するのイベント
fo	異なりますイベント
sl6h	crastinal時制
fyoh	反射的音声
bxih	宇宙性別
jlih	他動詞動詞
kyeh	地域性別
txuh	研究性別
s6	芸術的性別
preh	患者引き金
sr6h	抽象性別
nyoh	間接的なスピーチ
zreh	外心的な場合
kfeh	過去完了形
jo	人間味のありません動詞
kxuh	集合的な名詞
bu	絶対格場合
qrih	惑星の性別
kfoh	コア受益者格
kwoh	連想場合
pluh	最上級場合
jrah	電気の現在
glih	生気のない性別
p6	propositive気分
vrah	相互音声
lyuh	相次ぎます句
gleh	すぐに未来時制
lyoh	実用的な音声
ps6h	antipassive音声
tfuh	継続のアスペクト
nr6h	necessitative気分
pr6h	受動的分詞
sy6h	実存主義の句
qyih	明るいです強度
gluh	singulative数
kwuh	過度のデュレーション
xyah	シングルアクション動詞
vlih	最上級度
djah	現在分詞
m6	量の物質
ti7	結合粒子
f6	epenthetic形態素
tli7h	リモート未来時制
si_	助詞場合
l6	演説契約
k6	反復相アスペクト
bzih	分配の代名詞
tu7	フローティングポイント数
vo	動詞接辞
ki7	過去受動的分詞
ta_	所格指向場合
