ni	የሌለው
treh	ቀጥተኛየማስረጃ
yo	ሰግተውስሜት
cwuh	ድንጋጤ
tloh	የተካረረባለፉትየቅርብጊዜ
dlah	ጠቃሽ
cluh	ፉንጋ
myuh	ቀልደኛነት
dyah	demonstrativedistal
rwuh	ቀናተኛ
troh	imprecativeስሜት
dzih	ግዴለሽነት
swuh	assumptiveስሜት
bzah	ይሳለቁ
gwih	ማለትም
dloh	የተካረረhodiernal
dweh	delimitativeገጽታ
kweh	ብቸኛሰው
truh	ትኩሳት
tfeh	telicገጽታ
lyeh	atelicገጽታ
ru	ሌጆቻቸውንስሜት
kfih	የልጅሥራ
cyoh	የሚያጠራጥር
nluh	ታማኝነት
cweh	ማጥመጃ
nwoh	አኒሜሽን
sruh	ደስታ
ksoh	የጾታ
lyah	ሰነፍ
mreh	momentaneገጽታ
pceh	ተጸጸተ
bjih	ሟቹየቀድሞው
pcuh	ጥርጣሬ
xi	ልንሆንናገጽታ
blih	ብተናው
tsuh	ተራ
fwih	ግርማ
grah	ለሽንገላ
brah	በጣምያልታሰበበት
cleh	ደግ
sreh	መደበኛመዝገብ
pfah	ጠቃሚ
droh	auditoryየማስረጃ
flih	inferentialየማስረጃ
sweh	sublativeመያዣ
ksuh	የአዋጅስሜት
pleh	መብት
psoh	የማይሸነፍ
be	ግሣዊ
mwoh	reverie
kleh	wretchedness
glah	ስግብግብነት
kseh	አዎንታዊስሜት
zrah	ቅሬታ
dyoh	ideophone
syoh	እንዲዋጥ
gwah	exessiveመያዣ
zlih	irrealisስሜት
zrih	ዓይናፋር
byih	መላመድ
ryeh	ተውላጠምልክትማድረጊያ
fwah	ቆጣቢ
bjah	የተዋጡት
kxah	ባለሞያነትን
gvih	pegativeመያዣ
pxih	መረጋገጥ
xrah	ጊዜውእያለፈበት
tfoh	አይገኝብሽ
kxih	ጸጸትና
ryoh	prosecutiveመያዣ
qyah	አደር
r6	ቦዝ
txah	የተካረረየርቀትባለፉት
xrih	የተካረረታሪካዊ
dxah	ባለሁለትቁጥር
syuh	ትልቅ
vweh	የረሷቸው
n6	የስሜትየማስረጃስሜት
bweh	ሐሳብንመማረክ
xlih	በጣምየምትገርሙ
txih	ትርድ
sluh	ራስንትጠግባለች
txoh	እንቅስቃሴሽቅብ
xe	ኋላተመልሶ
pxah	ለማጥመድ
vwah	እንቅስቃሴቁልቁል
xyih	ጥቁሮች
fleh	የአረባብ
psuh	superessiveመያዣ
syeh	satyr
qi	ተሻጋሪ
xruh	ይጥለኛል
zwah	ዋዉ
tr6h	እንቅስቃሴበወንዙ
qwah	unambitious
xlah	በዓለምዙሪያ
tyoh	ኢተሻጋሪ
tluh	ላይየደረሰና
qa	የአሁኑተገቢነትምልክትማድረጊያ
kxoh	ድካምውሻ
rwoh	የደረጃ
ve	የቬክተር
kyoh	ኪሎ
swoh	ቅደምተከተል
pxeh	partitiveመያዣ
txeh	augmentative
dxih	predicative
pxoh	prolativeመያዣ
pfoh	ፕሮሐረግ
blah	blase
fyih	ያልሆኑየሰው
xo	ተዋናይሚና
pc6h	የሙከራቁጥር
greh	ተኮርመያዣ
groh	ግብቀስቅሴ
dxoh	መካከለኛድምፅ
rweh	ዘወርዋራመያዣ
xwah	በትዕግሥትመያዣ
xu	prehodiernal
xroh	ደከመ
ks6h	ከፔል
vi	ሁለትዮሽእሴት
dleh	ሞዳልጉዳይ
gjeh	ሌላከሆነ
xreh	የሥራባልደረባዬ
lwoh	locativeመያዣ
ml6h	multalቁጥር
gjih	ጋላክሲፆታ
qlah	ኮከብፆታ
bvih	abessiveመያዣ
dvah	adessiveመያዣ
je	agentiveመያዣ
t6	ወኪልቀስቅሴ
kxeh	ጉዳዩ
gxih	የጋራጾታ
tc6h	የጥቅስቅጽ
ts6h	ተደረገውንአኅዝ
ryuh	ቀጥተኛነገር
gveh	ergativeመያዣ
pyoh	ተገብሮድምፅ
qe	የተገደብንግስ
xwih	ዋናውነገር
myoh	gnomicስሜት
vrih	የመጨረሻቅንጣት
va	evitativeመያዣ
bveh	subessiveመያዣ
dxeh	ዕብድጉዳይ
dvih	lativeመያዣ
tsa7h	antessiveመያዣ
dyeh	adverbialመያዣ
mleh	ፆታአነቃ
pfeh	የሌሎችንችግርደስታ
xleh	ተሽከርካሪፆታ
qlih	የማዕድንፆታ
xloh	የቃላትተውላጠስም
dreh	ሁለተኛቋንቋ
bvah	በራስመተማመን
qrah	ክስተትለውጥ
fo	የተለየክስተት
sl6h	የተካረረcrastinal
fyoh	አገናዛቢድምፅ
bxih	የአጽናፈፆታ
jlih	ተሻጋሪግስ
kyeh	አካባቢፆታ
txuh	ምርምርፆታ
s6	ጥበባዊጾታ
preh	ታጋሽየሆነመንስኤ
sr6h	ረቂቅጾታ
nyoh	ቀጥተኛያልሆነንግግር
zreh	exocentricመያዣ
kfeh	ባለፉትperfective
jo	የሌለውግስ
kxuh	የጋራስምየግሡ
bu	absolutiveመያዣ
qrih	የፕላኔቶችጾታ
kfoh	ኮርbenefactive
kwoh	associativeመያዣ
pluh	ወደርየማይገኝለትጉዳይ
jrah	የኤሌክትሪክኃይል
glih	ግዑዛንጾታ
p6	propositiveስሜት
vrah	ወንፈል,ድምፅ
lyuh	ተከታታይሐረግ
gleh	የተካረረበቅርቡወደፊት
lyoh	applicativeድምፅ
ps6h	antipassiveድምፅ
tfuh	continutiveገጽታ
nr6h	necessitativeስሜት
pr6h	ተገብሮቦዝአንቀጽ
sy6h	existentialሐረግ
qyih	ከፀሏይጫና
gluh	singulativeቁጥር
kwuh	ከመጠንበላይቆይታ
xyah	ነጠላእርምጃግስ
vlih	ወደርየማይገኝለትዲግሪ
djah	በአሁኑጊዜቦዝ
m6	ንጥረነገርመጠን
ti7	connectiveቅንጣት
f6	epentheticmorpheme
tli7h	የርቀትወደፊትየተካረረ
si_	postpositionalመያዣ
l6	allocutiveስምምነት
k6	frequentativeገጽታ
bzih	distributiveተውላጠስም
tu7	ተንሳፋፊነጥብቁጥር
vo	ግሥለጠፈ
ki7	ባለፉትተገብሮቦዝአንቀጽ
ta_	locativeአቅጣጫመያዣ
