hnit	infinito
htaf	forza
hlun	lunghezza
kyin	azienda
kyis	carta
mlan	probabilità
hcim	particolarmente
cyas	orso
twac	finestra
nyat	bellezza
hcus	quest'ultimo
htup	dovere
htif	distanza
pyas	piede
hlas	selvaggio
ksin	verde
hmaf	problemi
myac	sorriso
hsim	dormire
kyit	citato
kwik	quotativecaso
fwan	visita
slan	seguire
psit	presenza
hmic	dolce
hmuf	bocca
hfin	ricco
tcam	nemico
psuk	rotte
kcap	nave
pwan	inclusivopersona
hfic	influenza
tcuc	apparire
hkim	segreto
pyin	perfavore
pwit	precativeumore
pyit	gentileregistro
cwak	Male
myak	marzo
tcas	posti
hlaf	restare
psat	anziché
nlan	blu
psac	impossibile
kcuk	scuola
kcit	sposato
kcak	cibo
syis	venti
tlac	silenzioso
hcip	potenzialeaspetto
kwin	dando
tsit	fermato
pyac	lingua
hsus	settimana
hcup	sala
cyap	meraviglia
tfin	Nato
fyat	corte
hnip	gnomicaspetto
tsak	ilrispetto
tlas	divalore
syuc	albero
plat	parete
cyak	Paradiso
twip	incoativoaspetto
mlat	comando
swit	jussiveumore
mwas	mese
hwaf	perfezionare
tyap	esperienza
ksac	condizioni
syac	fresco
hnuk	duca
kwak	coperto
tyuk	est
pwac	pietra
hkif	nobile
nyac	direzione
cyis	sedia
tyuc	inattesa
tsun	villaggio
tyik	d'accordo
hnum	permissivoumore
slak	successo
tsic	provare
slat	collina
hmik	musica
hkus	piangere
hsip	Sette
hpaf	privato
nwas	notizie
tfac	scena
fyan	giardino
cwas	inizio
hfik	distributivocaso
lyac	imparare
syik	politico
clin	Enrico
cyin	menzogna
tsas	lanciare
cyik	autorità
tlap	pavimento
cyam	estate
tcut	religione
tcap	fuga
hlut	autore
pyun	coloremarrone
tcuk	dolore
swan	molla
hmun	morbido
kyun	angolo
nyak	marchio
tsis	giustizia
psas	produrre
cyaf	ridere
hwut	dimenticare
hyup	Europa
hwap	otto
psak	passaggio
kyap	terribile
pyic	richiesto
hmim	medio
hsaf	respiro
hmis	saggio
hsum	possessivomarcatore
ksat	piacevole
ksit	tomba
tsap	isola
kyam	campo
tcum	toccare
cyun	fortuna
psic	puntellare
tyun	dominio
mwit	commissivoumore
tlut	grado
myit	inverno
kfan	condotta
slac	inesecuzione
myin	minuto
tyip	condurre
klas	bicchiere
pfat	bordo
cyic	vano
swam	affari
syam	alsicuro
tsut	medico
hlip	completiveaspetto
kcas	oscurità
nyun	caldo
hpuc	bere
tlam	esempio
hfun	rabbia
tsik	dispetto
tsam	direttamente
hmup	cappello
klak	cane
slin	argento
swac	servitore
kcam	orgoglio
pyik	treno
myut	morale
syak	inserire
swat	spada
kyuk	attacco
clac	Salute
tyaf	paragrafo
swic	sociale
tfit	rimborso
hkaf	ufficiale
pcas	colpod'occhio
nyam	gloria
tfat	dodici
pcut	impegnato
pwin	vino
mwat	gusto
fyac	ferro
syap	distribuire
myap	commercio
hyum	utilizzando
fwak	giudice
klat	Capitano
twap	cessazioneaspetto
kcic	curioso
kwic	straniera
hnif	intensificatore
myun	importanza
tlic	finalmente
cyuk	collo
syut	libertà
pfan	lati
kyuc	asciutto
pcap	aparte
tfak	probatorio
tcik	probatoriocaso
twun	lontano
tyis	progresso
nyap	restringere
plit	costruzione
hpif	pagina
pwic	detenzione
syic	giùdimorale
tsip	peccato
syim	malato
tcis	onesto
pcun	banca
ksap	accettare
lyam	ruscello
tcaf	accuratamente
kwac	orecchio
hpup	pane
kcut	scegliere
nwam	animale
hsup	ZoicGenere
nwit	eventiveumore
tcim	stessoeventomarcatore
tlik	moltiplicativocaso
kyus	attraversare
hmus	spesso
kfat	osare
nwat	crescere
myic	pioggia
hpum	superficie
swut	santo
clis	luglio
mwun	moda
hfas	file
cwac	spalla
kwat	comfort
nwac	chiunque
tcip	desiderato
kfac	erba
hmuk	disegnare
plin	apertura
kwun	giugno
mlik	pescare
klin	capitale
pfut	seno
twam	Richiesta
fyin	spese
nlit	iltuo
mlin	milione
pyut	pregare
hluk	stanco
ksut	uccidere
cyut	ombra
psin	ilpeso
kcis	grigio
pyam	coraggioso
mwac	soddisfatto
klam	raccontare
ksam	nazionale
hfip	debole
klik	valle
hkum	speculativoumore
clas	giallo
cyuc	calore
mlac	resti
syip	ugualmente
pwak	scatola
tcif	appuntito
psip	principio
ksik	conseguenza
tsim	lastagione
flan	lascienza
pcam	aquantopare
kcun	foro
ksuk	zio
mlit	lista
pcik	pericolosi
kwas	agosto
hluc	popolare
klit	sconosciuto
flak	familiare
fyit	familiareregistro
lwat	lettore
plun	apasseggio
twas	duevolte
pcis	sacerdote
fyas	ferito
nlat	palazzo
myuk	scemo
pfak	favore
tcuf	nove
cwap	simpatia
plac	scoppiare
pyap	mettendo
lyic	vestito
hcum	rumore
lwit	letteratura
tsuk	rango
hfup	tempesta
kcik	tasca
nwap	novembre
tyim	dicembre
psaf	assenza
nlac	popolazione
kyaf	ringraziare
slis	serie
pyaf	uccello
mlak	proprietario
kwut	cappotto
hwuc	relazioni
pyis	rapidamente
twuc	fumo
nwak	gennaio
mlic	macchina
tlis	denti
ksun	ardente
clam	vergogna
klaf	qualità
clit	anello
fyak	frase
fyam	frasemarcatore
kwap	piazza
hwip	Domenica
psis	poesia
pwut	preordinato
kyim	acquistare
clic	campi
pyip	aprile
kfap	ottobre
psut	oggetti
kcuc	amaro
nlap	schiavo
hsok	sciolto
htet	testo
hbat	peggio
hrit	credito
hzit	Caratteristiche
hpet	quindici
krac	crudele
hduc	polvere
hrik	pratico
hron	colore
hnus	naso
hric	amichevole
srik	fornitura
hten	ieri
tlet	hesternalteso
slap	fallire
hban	indossare
hdat	cieco
fran	volare
hdan	diavolo
htec	gradualmente
hmon	missione
cran	sacrificio
hran	coscienza
hmos	ministro
nrit	energia
hcet	odiare
hset	centro
hrin	razionaleGenere
hcot	godere
hrip	breve
htep	culto
hcif	Pelle
hrat	tetto
kran	corona
hkon	castello
tran	disperazione
hmif	miglio
trin	cerchio
hgin	prigione
hkop	tazza
hcen	membro
swin	civile
hrac	ovunque
hris	costume
hbin	diventando
hmot	carne
hdut	latte
hwen	vegetaleGenere
nran	cotturaalsangue
hbac	cugino
crut	ponte
hsoc	azione
hsom	sale
nris	innocente
hbit	evitare
crin	ammirazione
rwin	regina
hgut	contare
hdas	danza
hnot	albergo
hdin	riempire
hton	prigioniero
hdak	negozio
hlet	lescale
hson	perdono
hgek	gay
hras	sabbia
hsep	settembre
hbic	rovina
hlen	Patente
hcon	sufficientemente
hgit	testimonianza
kfon	cucina
hbak	vendere
tlim	trattamento
hsot	velocità
kyut	computer
hnen	eterno
htek	biblioteca
hzan	contenente
hbis	base
hbun	confusione
kcus	cuoco
hgat	deserto
hwus	bacio
hbif	ghiaccio
hbot	palla
hrut	discussione
hdit	benedizioneumore
hdis	colpevole
hjan	punizione
plis	forzedell'ordine
hgan	nascondere
hsen	spedizione
nrin	ignorante
hyen	nube
frif	febbraio
hdik	malattia
hnek	iniziativacaso
hbam	zia
hmen	umile
hdip	ritardatoimperativo
prat	segnalatiprobatorio
hdet	mezzanotte
hjit	dito
hmoc	daqualcheparte
pran	stampa
kcec	regione
hken	ultimamente
hloc	malinconia
hrak	personale
htes	guardarefisso
rwan	ricompensa
hdon	donare
htot	fronte
hnet	angelo
hdun	singolare
croc	errore
hlon	alba
hyec	pecora
hjin	pazienza
hrec	referenziale
mran	mais
htos	maggioranza
hcos	lemisure
hkoc	ditantointanto
hlif	profitto
clak	lozucchero
hjat	umanità
tram	portafoto
hdic	disco
hkok	solitario
srat	artista
crak	fascino
hmet	e-mail
hden	decisione
gran	governatore
crac	ramo
hjac	entusiasmo
hdim	induttivoumore
hcok	fretta
hyet	ilpetrolio
pwap	tubo
trat	stampare
tcot	materiasolida
hdoc	Oh
hren	discorsocontesto
tcon	mezzogiorno
krin	cabina
plam	allarme
hnes	nervoso
tcen	osservazione
hsek	aspetto
plik	applicabile
slik	seta
hfen	centesimo
hgen	agente
hnon	unione
crik	inferno
tcet	difettoso
mrat	misto
hdam	ammonizioneumore
hgac	ambizione
htoc	inqualchemodo
hdac	consiglio
nwin	costituzione
srit	strumento
hret	fermamente
nlin	on-line
hzat	marea
klic	college
hkek	coda
nric	generazione
hgic	affollato
hgak	gatto
trit	direttoprobatorio
tyot	trattato
hnok	contenuto
crit	abbandonato
slen	undici
srin	istinto
hpok	tribù
hyot	apprensivoumore
cric	riparo
hruc	maleducato
cwin	equitazione
hzak	scuotere
dyit	industria
hpec	laprofessione
nras	infermiera
hcec	insegnamento
hbut	scarpe
hmec	vago
twot	attività
crat	Sabato
hkot	capacità
hnec	lucedelsole
hwuf	vedova
cren	capannone
nrat	stella
hget	ospite
hbik	benedire
brin	interno
hpot	adisposizione
trac	resistenza
prac	derivare
hcoc	cavo
hpon	Provincia
hwim	civiltà
dwan	appendere
cwok	shock
hdok	guida
crun	tesoro
hzik	seme
hrot	recentepassatoteso
hket	sveglio
hcek	arredamento
hrop	corda
mrac	avventura
byit	festa
trak	annuale
hzin	meridionale
sric	cerimonia
clik	caccia
trap	liberale
hrim	cristianesimo
hrus	Principessa
blat	altare
cyon	piccolo
hwep	tela
krat	cardinale
tris	porpora
kcot	raccogliere
hben	elezione
trik	ubriaco
kfit	sollevamento
tcec	scambio
nrik	definitoarticolo
grat	imperatore
dran	amministrazione
hpen	inprecedenza
cluk	brutta
nrac	innocuo
ryin	formazione
hrun	rotolo
nwic	pollice
slit	sparare
gzat	giornale
krot	taglio
drit	barba
hzis	lacrima
hdap	diciotto
sris	storico
mrut	lordo
nyik	fango
bran	sposa
drat	dipendere
djan	gigante
glat	semplicità
hpoc	autunno
pras	velo
hgot	raccolta
tret	Teatro
tras	confronto
rwit	rivale
hfon	formando
klot	allenatore
hmum	umore
drac	discorso
rwas	romanzo
tset	lavendetta
hdot	distaleespansivo
ryut	geloso
hwon	invito
byat	bruciato
flac	flash
prot	ritratto
crek	suggerire
htok	conflitto
htop	maledizione
prit	imprecatorioumore
hces	indifeso
klup	club
hnos	inondazione
dwin	indifferenza
prin	orizzonte
mrit	presuntoumore
tcoc	ripido
hcom	armonia
grit	tuono
tlot	infanzia
hgik	ginocchio
hwes	inconscio
hzac	reciproco
hsec	software
tson	istituzioni
ryit	ricevuta
dlin	disciplina
slip	scivolare
klon	rivoluzione
hfim	contadino
hpom	piattaforma
cyen	studente
hgec	grotta
hroc	tradizione
srac	invio
ryat	tragedia
kcen	vergine
hbap	addio
krik	critica
krap	cotone
fwat	ospedale
kcet	affitto
hgas	gas
pfin	inevitabile
dlit	foglia
ryan	latraduzione
sran	cerimoniafunebre
mrin	Farina
hram	romantico
dlan	dollaro
hzas	scherzo
hsos	sedici
klen	colonia
gyin	ala
hsif	leone
cluc	abile
prip	preparazione
hzut	nebbia
dwat	medicina
krit	correggerelebozze
sras	nido
hses	quattordici
brat	obiezione
flat	acido
hjic	cioè
slic	arma
hbuc	utente
tron	arancia
byan	bagno
hrif	primitivo
tlip	stabilire
blan	cestino
kris	lasegretaria
hyon	intanto
tren	oggi
dlat	hodiernalteso
hzic	veleno
tfic	fucile
tlen	talento
hlim	clima
dyat	compagno
kcon	rivelazione
dlac	lavaggio
krak	confessione
hbas	sciocchezza
hkec	carbone
hrek	ripristinare
hkos	canoa
hwif	vice
tric	temporaneo
hdep	delimitativeaspetto
mwak	mucchio
ksot	osso
hnoc	Lunedi
nlas	martedì
brac	mercoledì
frap	federale
pfit	rappresentante
pcoc	polo
lyen	biancheria
swak	lavello
pcen	Presidente
brit	sanguinoso
hwec	assedio
hwet	stomaco
hlos	alpianodisopra
hbon	vario
pcon	ottone
hsem	vertice
lwac	abuonmercato
tsos	concorso
kwen	esclusivopersona
trun	atterraggio
trut	statua
hrap	artiglieria
hgap	arresto
trot	temperatura
grin	Quartiere
hjak	abbraccio
hpek	pacchetto
hlus	cervo
hwos	laCameradaletto
tsuc	boscaglia
pcuc	scarico
cris	erede
clun	quercia
hpes	antipatico
nlet	incompleto
hrom	programma
pyon	pianoforte
swet	persuadere
dric	invisibile
tyen	notorio
hruk	crudeltà
frat	assegnato
hyoc	tentazione
hlep	Telicaspetto
nrot	internazionale
nret	violentemente
hfif	filosofo
pfic	rappresentazione
hmek	delicato
hfec	benessere
myik	lapesca
truc	rubare
tcop	labbro
rwic	andareinpensione
htom	economia
glan	galleria
pren	parallelo
hlek	atelicaspetto
nrak	continente
truk	battere
hjim	proibitivoumore
rwat	cravatta
hcep	cella
dyan	uovo
jrat	artificiale
nren	ispirazione
ksic	crisi
tsoc	ricerca
lwan	ilpranzo
hpos	pino
hcuf	spingere
tcus	citareingiudizio
pset	estendere
hkep	rame
swis	marinaio
prim	imperiale
trip	frusta
cras	camicia
swap	spazzata
syet	schizzo
htof	ladro
clen	canale
kwit	personalità
klok	eccesso
hrok	riforma
hguc	sete
kcim	minaccioso
hpem	palma
psik	altoparlante
frit	soglia
cret	tracce
mrak	lancia
syen	sessione
tcup	umido
hyek	viaggiatore
trim	lattina
plak	denuncia
hyok	angolo
hgam	mucca
hmok	mulino
jrac	cartageografica
kloc	collare
gyit	deliberatamente
hbip	birra
mlet	velluto
lyap	abuso
cwen	gregge
bwan	nipote
tses	tredici
jrit	giustificare
nlak	manoscritto
sron	guerriero
cruc	Venerdì
broc	pennello
dlot	Scaricare
krim	crema
pric	intonazione
prut	giuria
hgon	congelato
sram	letteralmente
pfot	pentola
hlot	pianificato
djin	coniare
hlok	salto
hpep	mela
hwot	ritorto
dlak	discutere
brik	sottoscrivi
nlis	trascrivere
hbet	scommettere
pris	virus
hjik	accoglienza
blit	infantile
hjap	toga
tfik	riflettere
hdaf	raggiungere
hpop	opera
kcaf	occultamento
kcoc	gomito
hrum	riparazione
cyim	sospetto
dyic	educativo
hgoc	fossa
drak	disturbo
plas	applausi
byin	binario
hzap	abbazia
nlot	lealtà
mrik	meccanico
hsop	consuccesso
crap	trappola
kyek	torta
nrut	intrattenere
syes	signore
hjet	diciassette
hjen	femminile
hmom	miele
hdec	purtroppo
lwen	leggenda
slot	stufa
frac	ribelle
gwan	rigonfiamento
mruk	Migliorare
swot	palude
zlan	guadagnare
hnem	animato
hdes	condimento
prak	predicare
frin	scenario
hfet	opporsi
cros	coro
ryon	razionale
tcos	raccolto
tsen	lavorazione
hwek	lupo
nlik	rifiuto
klap	tappeto
dras	disprezzare
prop	fertile
slim	fischio
hgis	formaggio
krut	morso
srot	scorta
bjan	vagare
nwen	MarinaMilitare
myas	maschera
kwaf	sviluppare
twis	taxi
pcip	matita
srap	vegetale
sren	mostra
tlun	ipantaloni
hrup	corruzione
nrip	gabinetto
srup	laminestra
jran	chirurgo
bjat	assegno
gyat	spiare
hlem	spericolato
srak	astratto
kson	accento
cwis	giovedi
sret	Cordialmente
hraf	traffico
hres	architettura
hsuf	disposizione
rwak	crepa
twon	ornamento
hfus	recupero
hkom	codice
djat	cacciatore
nlut	notiziario
hsef	serpente
mris	democrazia
bric	batteria
mlam	cera
zran	compartecipazione
cron	brivido
hzen	nuotare
traf	striscia
cwaf	bustadalettere
srip	sigaretta
mrot	motore
swon	volontario
ryak	reazione
pfun	parzialmente
blac	Bagaglio
mret	ministero
hjon	sessuale
kcok	ascia
dram	diamante
kren	alternato
tcek	eco
hdif	identità
tfas	ambasciatore
hfot	consistere
lwas	pigro
hmep	momentaneaspetto
kfin	codifica
mwin	immaginario
hrem	raggio
pram	arrampicata
byac	cantina
mren	memorabile
swen	senato
kras	bara
hgun	rondine
nlok	indulgere
ryic	agricolo
gwin	swing
srut	prato
hkes	complesso
hfis	dimissioni
frak	ripetutamente
hnom	cospirazione
hcop	pub
hlec	Pepe
mlot	melodia
zrat	candidato
proc	patrono
flik	volpe
cyet	pentito
hgim	camino
slet	siepe
tcok	precisione
bjit	exdeceduto
brot	germoglio
bwat	coperta
hdus	maiale
gwat	avorio
kret	estratto
nwet	osservatore
jwan	viale
nwis	chiodi
mwic	ape
bzat	attore
gyan	sudore
zyit	esecutivo
blic	illusione
pcet	incertezza
tsot	piega
bwit	confine
tres	stress
hkof	consumo
nyen	gemito
hles	somigliare
cyek	sacco
hjis	ago
gjan	fenomeno
prec	comportarsi
drot	controllata
kcek	curva
twic	pollo
brak	barile
zwat	abituale
clap	abitualeaspetto
tsec	esperto
bwin	impressionare
cwet	delimitata
hbek	panettiere
zlin	oliva
mron	furgone
drin	dedicare
psap	esporre
gjin	compleanno
clut	martello
cwun	fragrante
twaf	banale
pcot	animaledomestico
krok	cranio
dlik	legislatura
cwic	fortunatamente
srun	cipiglio
crec	distruttivo
jlan	margine
kcip	campione
blin	miliardo
ryik	chimico
mlas	impulso
flit	pilota
hzet	nodo
cwik	maestoso
twet	gonna
mwik	settimanale
tfis	tecnico
tlon	veicolo
cram	lusinghiero
grac	rafforzare
kraf	corvo
trup	attributo
hduk	gancio
cruk	tigre
nrap	governante
crot	autostrada
mlip	milizia
hfoc	fotografia
nres	integrità
plos	più
tfam	trasparente
nlic	diciannove
hwok	qualificato
nlen	prova
fyic	efficienza
hwuk	unico
hgok	biologico
flic	teologia
flot	galleggiante
hboc	obbligare
hwoc	strega
syot	studio
cwip	Champagne
hbes	bandiera
lwic	divorzio
blot	bullone
cwot	cattività
cwam	vena
prik	passivo
hfum	schiuma
grik	ghiaia
zrin	grembiule
gren	pianeta
hfuc	risurrezione
claf	loscaffale
flas	fan
hjot	tropicale
hbim	arbitrario
krek	mercurio
hbec	benevolo
tsaf	suicidio
pwas	coraggio
plot	reporter
kfak	spendere
blak	balcone
hdos	macchia
kwis	classico
kcos	accusare
psen	pensione
kres	verbo
hzon	scimmia
srim	firma
glin	riluttanza
mlut	famigerato
myot	importare
fwac	fondatore
troc	torcia
hgaf	grammatica
hyop	yacht
ksip	estinto
sres	escursione
hnup	cupola
hzun	testardo
mric	muscolo
gjat	grandezza
hros	strofinare
zrac	vile
tros	brindare
myus	topo
dwac	dialogo
byak	capra
htef	sarto
hfek	fiorire
dzan	imporre
nyon	anonimo
zrit	formaleregistro
pcos	glisport
hjec	fusione
dlas	cancellare
mras	ombrello
mram	minerale
cwut	tregua
hbok	anatra
swun	sapone
dwak	Bambola
plif	villa
slon	cucito
tfut	congratularsicon
djac	conciliare
hjas	reprimere
kric	coniglio
kwot	conduttore
gzan	garanzia
clot	giocatore
ksek	insetto
psam	posizione
mwut	gufo
htem	permanentemente
clon	violino
dzin	residente
rwim	rispettivamente
hyof	benefico
dron	drago
dwit	uditorioprobatorio
sroc	esportazione
hzot	fine
djik	indugiare
kfik	coperchio
ryun	regolamento
hmes	Sindaco
rwac	hardware
sruk	circo
sros	minoranza
bzan	rivolta
kset	orchestra
bjon	Bacon
hjut	illimitato
tfen	difesa
zwac	svantaggio
dyin	deliberazione
myis	musicista
mlis	mentalmente
pret	insufficiente
tsek	architetto
hlom	limone
ksos	tosse
crok	malditesta
flin	fertilità
mrun	falegname
swec	casuale
syuk	cucchiaio
blun	palloncino
tcep	gesso
fric	rinfresco
rwik	verticale
rwen	prevenzione
flet	induttivoprobatorio
pfac	editore
srek	aceto
tfun	tunnel
pwet	puzzle
gyik	matematica
fwot	dissolvenza
lwin	equilibrato
jwin	fegato
bwik	Sublativecaso
hdup	tuffo
hnop	monopolio
bwic	sottomarino
ryen	indipendentemente
hcem	terremoto
hbos	laboratorio
nrek	lavoratore
ryim	ritmo
nyic	interpretare
dwas	ambasciata
rwok	provocare
kram	incapacità
ksim	dichiarativaumore
clok	cioccolato
pcec	privilegiato
nyis	eremita
tyoc	coincidenza
grak	graffiare
zlat	guanto
hjuk	inginocchiarsi
trif	geografia
djit	sistematico
pson	invincibile
mwis	investimento
cwec	verbale
hdek	secolare
blik	falco
sloc	psicologia
brap	rottame
jlat	pirata
dros	dose
slam	salmone
pwun	budino
gwik	magnetico
pcop	pompa
myen	allostessomodo
ksen	ossigeno
mrap	caposquadra
tfot	certificato
ksus	grappolo
trok	retorica
tloc	gradino
zyan	remo
nlun	accesso
hlop	telescopio
jlin	ortografia
lyut	nuvoloso
hsof	Surf
fyik	whisky
klet	relativamente
hwof	salice
hlum	cammello
myet	dilettante
klis	isolamento
hbaf	biografia
gwac	asino
hwum	voce
pwik	prospettiva
pron	professionista
myes	mensile
mwen	fantasticheria
kfic	vacanza
klek	clic
cwon	ovale
lyak	elastico
kwon	dizionario
hjam	prosciutto
rwon	arcobaleno
crip	conlapresente
zwan	chesiverificano
srok	editoriale
craf	caporale
tlok	carroarmato
brip	farfalla
tfap	grafico
jwat	gemello
pros	operativo
psun	presagio
clet	miseria
hbus	bambù
dyas	commerciante
klun	accumulazione
jlit	unanime
hdom	incubo
kron	carbonio
hzam	lamarmellata
cyot	ascoltatore
hmem	Museo
lwam	alfabeto
fras	spargimento
psoc	punch
hgum	gomma
brek	freno
glit	stabilità
frun	marcire
gris	aggressivo
mroc	attrito
bzit	ragno
plut	patata
glac	avidità
gzac	moltiplicare
prun	rotazione
jlet	calendario
nyim	nomina
tlos	trilione
slut	insalata
fwit	affermativaumore
pyen	applicazioni
nlon	nominale
dren	dimostrare
drun	insoddisfazione
cyok	alzatadispalle
hfop	calcio
ryac	associazione
gzin	pioniere
hgip	cavolo
tyet	atletico
hdof	idiophone
hwup	inestimabile
lwek	leva
syec	senatore
jyak	ospitare
mlim	formica
fwic	efficacemente
gzit	incinta
blas	dipendenza
jrin	ognigiorno
gwak	caviglia
drik	stranamente
prif	variabile
jwit	diversità
krip	discriminazione
ryot	intimorito
nwut	marciapiede
kcif	attivamente
jrak	rana
twek	eccessivocaso
psot	espiazione
pfon	spugna
sluk	scoiattolo
nlim	irrealisumore
ksaf	scarsità
glak	vulcano
plen	equilibrio
kfaf	sciarpa
kyon	exploit
jlik	geologica
psop	passaporto
kfis	postovacante
fyon	affinità
nram	immorale
hbuk	biscotto
gras	trance
hyos	apprensivo
flim	film
plet	tavoletta
rwam	atomo
blis	vaniglia
zlit	AIDS
fyut	fastidioso
crim	piramide
hjif	illegale
crif	timidezza
lwap	liuto
tyon	astronomia
mrim	labirinto
drut	descrittivo
nrim	borsadistudio
kruc	tartaruga
kwam	consigliere
jrik	cricket
dlut	indicare
pyot	piccione
dyon	adattamento
prap	operatore
bzin	distintivo
tyek	triangolo
trec	tesoriere
nron	idrogeno
pyet	stampante
tsok	soffocare
zyin	cronico
slek	bicicletta
jyin	ingegneria
ryas	trasmissione
zrak	ricaricare
nyas	ballerino
gric	migrazione
zlak	violare
tces	tennis
hjun	ventoso
twen	tessere
kyet	collettore
gwit	colonnavertebrale
kyot	accordo
fwin	frequenza
tfuc	telaio
dlet	elenco
pfik	pensatore
bjet	bilancio
trek	strategia
kros	quarzo
gjit	forbici
gwic	interruttore
frik	teorico
tluc	asciugamano
pruc	pattuglia
glic	ghiacciaio
krun	completezza
bjin	predizione
tlaf	partecipare
tfet	fabbricante
bras	laterale
dwik	imputato
clec	scarico
cres	scacchi
tcef	ciliegia
tcom	inciampare
nyot	traduttore
tyok	camion
cyip	superando
