ni	noaniq
ryih	undefined
kruh	achchiq
tyeh	matn
kreh	rahmsiz
tleh	taranghesternal
kfah	qurbonlikqilish
dyih	nafrat
cloh	oqilonagender
nloh	bahramand
psah	noumidlik
sleh	o&#39;simlikgender
nruh	begunoh
drih	quvonch
sroh	kechirmoq
brih	asos
kluh	xijolattortish
bwih	benedictivekayfiyat
klih	aybdor
grih	savodsiz
nyeh	tashabbusiishi
nleh	kamtar
dlih	kechiktirilganimperativ
proh	xabardaliliy
mloh	ma&#39;yus
du	birlik
jrih	sabr
freh	başvurusal
kloh	yolg&#39;iz
kroh	joziba
tcuh	tashabbus
kcuh	kirishkayfiyat
xa	tilkontekst
nreh	asabiy
pseh	jihati
ge	agent
mu	admonitivekayfiyat
byah	shuhratparastlik
pcoh	liqto&#39;la
treh	to&#39;g&#39;ridan-to&#39;g&#39;ridaliliy
yo	xavfsirarkayfiyat
cwuh	shock
tloh	tarango&#39;tganso&#39;nggi
dlah	aniqmaqola
cluh	hunuk
myuh	xazil
dyah	namoyishkoronadistal
rwuh	rashkchi
troh	imprecativekayfiyat
dzih	beparvolik
swuh	taxminiykayfiyat
bzah	o&#39;yin
gwih	ya&#39;ni
dloh	taranghodiernal
dweh	delimitativejihati
kweh	mutlaqshaxs
truh	harorat
tfeh	telicjihati
lyeh	atelicjihati
ru	taqiqlovchikayfiyat
kfih	bolalarcha
cyoh	shubxali
nluh	vafo
cweh	qopqon
nwoh	animatsion
sruh	tirilganida
ksoh	jinsiy
lyah	dangasa
mreh	momentanejihati
pceh	undefined
bjih	Vafotetgansobiq
pcuh	noaniqlik
xi	oddiyjihati
blih	sakrab
tsuh	arzimas
fwih	muhtasham
grah	undefined
brah	o&#39;zboshimchalikbilan
cleh	undefined
sreh	rasmiyreestri
pfah	foydali
droh	eshituvdaliliy
flih	Shundayqilibolinadiganishonchli
sweh	sublativeishi
ksuh	deklarativkayfiyat
pleh	imtiyozli
psoh	undefined
be	og&#39;zaki
mwoh	undefined
kleh	undefined
glah	ochko&#39;zlik
kseh	ijobiykayfiyat
zrah	norozilik
dyoh	ideophone
syoh	undefined
gwah	exessiveishi
zlih	irrealiskayfiyat
zrih	noqulaylik
byih	moslashish
ryeh	olmoshmarker
fwah	o&#39;rtacha
bjah	undefined
kxah	sovuqqonlik
gvih	pegativeishi
pxih	himoya
xrah	undefined
tfoh	undefined
kxih	achinish
ryoh	prosecutiveishi
qyah	muammo
r6	sifatdosh
txah	tarangmasofadano&#39;tgan
xrih	tarangtarixiy
dxah	dualsoni
syuh	a&#39;lo
vweh	undefined
n6	hissiydaliliykayfiyat
bweh	ta&#39;qibqilish
xlih	kulgili
txih	undefined
sluh	undefined
txoh	harakatyuqoriga
xe	retrospektiv
pxah	undefined
vwah	harakatpastga
xyih	elita
fleh	qurgan
psuh	superessiveishi
syeh	undefined
qi	o&#39;timli
xruh	burishmoq
zwah	Qoyil
tr6h	harakatoqimgaqarshibo&#39;lib
qwah	undefined
xlah	dunyobo&#39;ylab
tyoh	o&#39;timsiz
tluh	kuchsizlanish
qa	joriydolzarbligimarker
kxoh	undefined
rwoh	tartib
ve	vector
kyoh	undefined
swoh	keyingi
pxeh	partitiveishi
txeh	kattalashtiradigan
dxih	kesimbo&#39;libkeladigan
pxoh	prolativeishi
pfoh	proibora
blah	Blas
fyih	bo&#39;lmaganinson
xo	aktyorroli
pc6h	sinovsoni
greh	beri-ishi
groh	maqsadtrigger
dxoh	o&#39;rtaovozli
rweh	qiyshiqishi
xwah	sabrishi
xu	prehodiernal
xroh	kuchsizlanadi
ks6h	Qo&#39;zg&#39;atuvchining
vi	ikkilikqiymat
dleh	modalishi
gjeh	elsebo&#39;lsa
xreh	hamkorim
lwoh	ismningishi
ml6h	multalsoni
gjih	galaxygender
qlah	yulduzgender
bvih	abessiveishi
dvah	adessiveishi
je	agentiveishi
t6	agenttrigger
kxeh	Ishuchun
gxih	umumiygender
tc6h	chaqirishshakli
ts6h	transraqam
ryuh	to&#39;g&#39;ridan-to&#39;g&#39;riob&#39;ekt
gveh	ergativeishi
pyoh	majhulnisbat
qe	cheklanganfe&#39;l
xwih	asosiyob&#39;ekt
myoh	gnomickayfiyat
vrih	finalzarracha
va	evitativeishi
bveh	subessiveishi
dxeh	egaishi
dvih	masalasidagiuslublarishi
tsa7h	antessiveishi
dyeh	ravishgaoidishi
mleh	jinstirik
pfeh	hamdardquvonch
xleh	avtomobilgender
qlih	mineralgender
xloh	og&#39;zakinoun
dreh	ikkinchitil
bvah	o&#39;zigaishonch
qrah	Tadbiro&#39;zgarishi
fo	turlitadbir
sl6h	tarangcrastinal
fyoh	o&#39;zlikovoz
bxih	koinotgender
jlih	Geçişlihuquqbuzarlik
kyeh	yergender
txuh	tadqiqotgender
s6	badiiygender
preh	sabrtrigger
sr6h	mavhumgender
nyoh	bilvositanutq
zreh	exocentricishi
kfeh	o&#39;tganperfective
jo	shaxssizfe&#39;l
kxuh	kollektivnoun
bu	absolutiveishi
qrih	sayyoragender
kfoh	asosiybenefactive
kwoh	Birlashtiruvchiishi
pluh	superlativeishi
jrah	elektrjoriy
glih	jonsizgender
p6	propositivekayfiyat
vrah	o&#39;zaroovoz
lyuh	ketma-ketgap
gleh	tarangyaqindabo&#39;lajak
lyoh	amaliyovoz
ps6h	antipassiveovoz
tfuh	continutivejihati
nr6h	necessitativekayfiyat
pr6h	passivsifatdosh
sy6h	ekzistensialgap
qyih	nuroniyintensivligi
gluh	singulativesoni
kwuh	haddantashqaridavomiyligi
xyah	Yagonaharakatfe&#39;l
vlih	engyuqoridarajasi
djah	hozirgisifatdosh
m6	moddamiqdori
ti7	biriktiruvchizarracha
f6	epentezagaoidmorpheme
tli7h	masofaviykelajaktarang
si_	postpositionalishi
l6	allocutivebitim
k6	takroriyjihati
bzih	taqsimotolmosh
tu7	suzuvchinuqtasoni
vo	fe&#39;laffiks
ki7	O&#39;tganpassivsifatdosh
ta_	ismningyo&#39;nalishishi
