hnit	รูปกริยาในภาษาอังกฤษ
pwit	precativeอารมณ์
pyit	สุภาพการลงทะเบียน
cwak	ชั่วร้าย
myak	มีนาคม
tcas	สถานที่
hlaf	พักอยู่
psat	แทน
nlan	สีน้ำเงิน
psac	เป็นไปไม่ได้
kcuk	โรงเรียน
kcit	แต่งงาน
kcak	อาหาร
syis	ยี่สิบ
tlac	เงียบ
hcip	ที่คาดหวังแง่มุม
kwin	ให้
tsit	หยุด
pyac	ภาษา
hsus	สัปดาห์
hcup	ห้องโถง
cyap	น่าแปลกใจ
tfin	เกิด
fyat	ศาล
hnip	gnomicแง่มุม
tsak	เคารพ
tlas	คุ้มค่า
syuc	ต้นไม้
plat	ผนัง
cyak	สวรรค์
twip	inchoativeแง่มุม
mlat	คำสั่ง
swit	jussiveอารมณ์
mwas	เดือน
hwaf	สมบูรณ์
tyap	ประสบการณ์
ksac	พฤติการณ์
syac	สด
hnuk	ดยุค
kwak	ปกคลุม
tyuk	ทางทิศตะวันออก
pwac	หิน
hkif	โนเบิล
nyac	ทิศทาง
cyis	เก้าอี้
tyuc	ที่รอ
tsun	หมู่บ้าน
tyik	ตกลง
hnum	อนุญาตอารมณ์
slak	ความสำเร็จ
tsic	พยายาม
slat	เนินเขา
hmik	เพลง
hkus	ร้องไห้
hsip	เจ็ด
hpaf	ส่วนตัว
nwas	ข่าว
tfac	ฉาก
fyan	สวน
cwas	เริ่ม
hfik	เกี่ยวกับการจำหน่ายกรณี
lyac	เรียน
syik	ในทางการเมือง
clin	เฮนรี่
cyin	โกหก
tsas	โยน
cyik	อำนาจ
tlap	ชั้น
cyam	ฤดูร้อน
tcut	ศาสนา
tcap	หนี
hlut	ผู้เขียน
pyun	สีน้ำตาล
tcuk	ความเจ็บปวด
swan	ฤดูใบไม้ผลิ
hmun	อ่อน
kyun	มุม
nyak	เครื่องหมายการค้า
tsis	ความยุติธรรม
psas	ผลิต
cyaf	หัวเราะ
hwut	ลืม
hyup	ยุโรป
hwap	แปด
psak	ที่ผ่านไป
kyap	น่ากลัว
pyic	จำเป็นต้องใช้
hmim	กลาง
hsaf	ลมหายใจ
hmis	ฉลาด
hsum	อยู่ในความครอบครองเครื่องหมาย
ksat	น่ารื่นรมย์
ksit	หลุมฝังศพ
tsap	เกาะ
kyam	ค่าย
tcum	แตะ
cyun	โชคลาภ
psic	ฝั่งทะเล
tyun	โดเมน
mwit	commissiveอารมณ์
tlut	ระดับ
myit	ฤดูหนาว
kfan	ความประพฤติ
slac	วิ่ง
myin	นาที
tyip	นำ
klas	กระจก
pfat	คณะกรรมการ
cyic	ไร้สาระ
swam	ธุรกิจ
syam	ปลอดภัย
tsut	คุณหมอ
hlip	completiveแง่มุม
kcas	ความมืด
nyun	อบอุ่น
hpuc	ดื่ม
tlam	ตัวอย่าง
hfun	ความโกรธ
tsik	ทั้งๆ
tsam	โดยตรง
hmup	หมวก
klak	หมา
slin	เงิน
swac	คนรับใช้
kcam	ภูมิใจ
pyik	รถไฟ
myut	ศีลธรรม
syak	เข้าสู่
swat	ดาบ
kyuk	โจมตี
clac	สุขภาพ
tyaf	ย่อหน้า
swic	สังคม
tfit	คืนเงินให้
hkaf	เป็นทางการ
pcas	เหลือบมอง
nyam	ความรุ่งโรจน์
tfat	สิบสอง
pcut	หมั้น
pwin	ไวน์
mwat	ลิ้มรส
fyac	เหล็ก
syap	กระจาย
myap	ค้า
hyum	การใช้
fwak	ผู้พิพากษา
klat	กัปตัน
twap	การเลิกแง่มุม
kcic	อยากรู้อยากเห็น
kwic	ต่างประเทศ
hnif	ยาล้างกระจกเพื่อให้หนาขึ้น
myun	ความสำคัญ
tlic	ในที่สุด
cyuk	คอ
syut	เสรีภาพ
pfan	ด้านข้าง
kyuc	แห้ง
pcap	กัน
tfak	ซึ่งเป็นพยานหลักฐาน
tcik	ซึ่งเป็นพยานหลักฐานกรณี
twun	ไกล
tyis	ความคืบหน้า
nyap	แคบ
plit	อาคาร
hpif	หน้า
pwic	โฮลดิ้ง
syic	ที่น่าเศร้า
tsip	บาป
syim	ป่วย
tcis	ซื่อสัตย์
pcun	ธนาคาร
ksap	ยอมรับ
lyam	กระแส
tcaf	รอบคอบ
kwac	หู
hpup	ขนมปัง
kcut	เลือก
nwam	สัตว์
hsup	Zoicเพศ
nwit	Eventiveอารมณ์
tcim	เหมือนกันเหตุการณ์เครื่องหมาย
tlik	คูณกรณี
kyus	ข้าม
hmus	หนา
kfat	กล้า
nwat	เติบโต
myic	ฝน
hpum	พื้นผิว
swut	ศักดิ์สิทธิ์
clis	กรกฎาคม
mwun	แฟชั่น
hfas	ไฟล์
cwac	ไหล่
kwat	ความสะดวกสบาย
nwac	ทุกคน
tcip	ต้องการ
kfac	หญ้า
hmuk	วาด
plin	การเปิด
kwun	มิถุนายน
mlik	ปลา
klin	เมืองหลวง
pfut	เต้านม
twam	ข้อเรียกร้อง
fyin	ค่าใช้จ่าย
nlit	ของคุณ
mlin	ล้าน
pyut	อธิษฐาน
hluk	เหนื่อย
ksut	ฆ่า
cyut	เงา
psin	น้ำหนัก
kcis	สีเทา
pyam	กล้าหาญ
mwac	พึงพอใจ
klam	บอก
ksam	แห่งชาติ
hfip	อ่อนแอ
klik	หุบเขา
hkum	เกี่ยวกับการพิจารณาอารมณ์
clas	สีเหลือง
cyuc	ความร้อน
mlac	ซากศพ
syip	พอๆกัน
pwak	กล่อง
tcif	แหลม
psip	หลักการ
ksik	ผลพวง
tsim	ฤดู
flan	วิทยาศาสตร์
pcam	เด่นชัด
kcun	เจาะ
ksuk	ลุง
mlit	รายการ
pcik	เป็นอันตราย
kwas	สิงหาคม
hluc	เป็นที่นิยม
klit	ไม่ทราบ
flak	คุ้นเคย
fyit	คุ้นเคยการลงทะเบียน
lwat	ผู้อ่าน
plun	ที่เดิน
twas	สองครั้ง
pcis	พระสงฆ์
fyas	คนบาดเจ็บ
nlat	พระราชวัง
myuk	คนโง่
pfak	ชอบ
tcuf	เก้า
cwap	ความเห็นอกเห็นใจ
plac	ระเบิด
pyap	วาง
lyic	แต่งตัว
hcum	สัญญาณรบกวน
lwit	วรรณกรรม
tsuk	ยศ
hfup	พายุ
kcik	กระเป๋าเสื้อ
nwap	พฤศจิกายน
tyim	ธันวาคม
psaf	ขาด
nlac	ประชากร
kyaf	ขอบคุณ
slis	ชุด
pyaf	นก
mlak	เจ้าของ
kwut	เสื้อโค้ท
hwuc	ความสัมพันธ์
pyis	อย่างรวดเร็ว
twuc	ควัน
nwak	มกราคม
mlic	เครื่อง
tlis	ฟัน
ksun	ร้อน
clam	ความอัปยศ
klaf	คุณภาพ
clit	แหวน
fyak	วลี
fyam	วลีเครื่องหมาย
kwap	สี่เหลี่ยม
hwip	วันอาทิตย์
psis	บทกวี
pwut	ดลบันดาล
kyim	ซื้อ
clic	ทุ่ง
pyip	เมษายน
kfap	ตุลาคม
psut	วัตถุ
kcuc	ขม
nlap	ทาส
hsok	หลวม
htet	ข้อความ
hbat	แย่ที่สุด
hrit	เครดิต
hzit	คุณลักษณะเด่น
hpet	สิบห้า
krac	โหดร้าย
hduc	ฝุ่น
hrik	ประยุกต์
hron	สี
hnus	จมูก
hric	เป็นมิตร
srik	จัดหา
hten	เมื่อวาน
tlet	hesternalเครียด
slap	ล้มเหลว
hban	สวมใส่
hdat	ตาบอด
fran	บิน
hdan	ปีศาจ
htec	ค่อยๆ
hmon	หน้าที่
cran	เสียสละ
hran	มโนธรรม
hmos	รัฐมนตรี
nrit	พลังงาน
hcet	เกลียด
hset	ศูนย์
hrin	มีเหตุผลเพศ
hcot	เพลิดเพลิน
hrip	สั้น
htep	นมัสการ
hcif	ผิว
hrat	หลังคา
kran	มงกุฎ
hkon	ปราสาท
tran	สิ้นหวัง
hmif	ไมล์
trin	วงกลม
hgin	คุก
hkop	ถ้วย
hcen	สมาชิก
swin	พลเรือน
hrac	ทุกที่
hris	กำหนดเอง
hbin	การกลาย
hmot	เนื้อ
hdut	นม
hwen	พืชเพศ
nran	หายาก
hbac	ลูกพี่ลูกน้อง
crut	สะพาน
hsoc	หุ้น
hsom	เกลือ
nris	ผู้บริสุทธิ์
hbit	หลีกเลี่ยง
crin	สิ่งที่น่าชมเชย
rwin	ราชินี
hgut	นับ
hdas	เต้นรำ
hnot	โรงแรม
hdin	เติม
hton	นักโทษ
hdak	ร้านขายของ
hlet	บันได
hson	ให้อภัย
hgek	เกย์
hras	ทราย
hsep	กันยายน
hbic	ทำลาย
hlen	การอนุญาต
hcon	พอ
hgit	พยาน
kfon	ครัว
hbak	ขาย
tlim	การรักษา
hsot	ความเร็ว
kyut	คอมพิวเตอร์
hnen	นิรันดร
htek	ห้องสมุด
hzan	มี
hbis	ฐาน
hbun	ความสับสน
kcus	ปรุงอาหาร
hgat	ทะเลทราย
hwus	จุบ
hbif	น้ำแข็ง
hbot	ลูกบอล
hrut	การโต้เถียง
hdit	พรอารมณ์
hdis	รู้สึกผิด
hjan	การลงโทษ
plis	ตำรวจ
hgan	ซ่อน
hsen	การเดินทาง
nrin	ไม่รู้
hyen	เมฆ
frif	กุมภาพันธ์
hdik	โรค
hnek	ความคิดริเริ่มกรณี
hbam	ป้า
hmen	อ่อนน้อมถ่อมตน
hdip	ล่าช้าความจำเป็น
prat	รายงานซึ่งเป็นพยานหลักฐาน
hdet	เที่ยงคืน
hjit	นิ้ว
hmoc	ที่ไหนสักแห่ง
pran	กด
kcec	ภูมิภาค
hken	เมื่อเร็วๆนี้
hloc	ความเศร้าโศก
hrak	บุคลากร
htes	จ้องมอง
rwan	รางวัล
hdon	บริจาค
htot	หน้าผาก
hnet	นางฟ้า
hdun	เอกพจน์
croc	ความผิดพลาด
hlon	รุ่งอรุณ
hyec	แกะ
hjin	ความอดทน
hrec	อ้างอิง
mran	ข้าวโพด
htos	ส่วนใหญ่
hcos	มาตรการ
hkoc	เป็นครั้งคราว
hlif	กำไร
clak	น้ำตาล
hjat	มนุษยชาติ
tram	กรอบ
hdic	ดิสก์
hkok	เหงา
srat	ศิลปิน
crak	เสน่ห์
hmet	อีเมล
hden	การตัดสิน
gran	ผู้ว่าราชการจังหวัด
crac	สาขา
hjac	ความกระตือรือร้น
hdim	นำเข้ามาอารมณ์
hcok	รีบเร่ง
hyet	น้ำมัน
pwap	ท่อ
trat	พิมพ์
tcot	เรื่องที่เป็นของแข็ง
hdoc	โอ้
hren	สนทนาบริบท
tcon	เที่ยง
krin	กระท่อม
plam	ปลุก
hnes	หงุดหงิด
tcen	การสังเกต
hsek	แง่มุม
plik	เหมาะสม
slik	ไหม
hfen	ร้อย
hgen	ตัวแทน
hnon	สหภาพ
crik	นรก
tcet	บกพร่อง
mrat	ผสม
hdam	การตักเตือนอารมณ์
hgac	ความทะเยอทะยาน
htoc	อย่างใด
hdac	ปรึกษา
nwin	รัฐธรรมนูญ
srit	ตราสาร
hret	แน่นหนา
nlin	ออนไลน์
hzat	น้ำขึ้นน้ำลง
klic	วิทยาลัย
hkek	หาง
nric	รุ่น
hgic	แออัด
hgak	แมว
trit	โดยตรงซึ่งเป็นพยานหลักฐาน
tyot	สนธิสัญญา
hnok	เนื้อหา
crit	ถูกปล่อยปละละเลย
slen	สิบเอ็ด
srin	สัญชาตญาณ
hpok	เผ่า
hyot	เกรงกลัวอารมณ์
cric	ที่พักอาศัย
hruc	หยาบ
cwin	การขี่
hzak	เขย่า
dyit	อุตสาหกรรม
hpec	อาชีพ
nras	พยาบาล
hcec	การสอน
hbut	รองเท้า
hmec	คลุมเครือ
twot	กิจกรรม
crat	วันเสาร์
hkot	ความจุ
hnec	แดด
hwuf	แม่หม้าย
cren	หลั่งน้ำตา
nrat	ดาว
hget	แขก
hbik	ให้ศีลให้พร
brin	ภายใน
hpot	ใช้ได้
trac	ความต้านทาน
prac	ได้รับมา
hcoc	กลวง
hpon	จังหวัด
hwim	อารยธรรม
dwan	แขวน
cwok	ช็อก
hdok	การขับขี่
crun	สมบัติ
hzik	เมล็ดพันธุ์
hrot	เมื่อเร็วๆนี้อดีตเครียด
hket	ตื่นตัว
hcek	เฟอร์นิเจอร์
hrop	เชือก
mrac	การผจญภัย
byit	งานฉลอง
trak	ประจำปี
hzin	ทางใต้
sric	พิธี
clik	การล่าสัตว์
trap	ใจกว้าง
hrim	ศาสนาคริสต์
hrus	เจ้าหญิง
blat	แท่นบูชา
cyon	ขนาดเล็ก
hwep	เว็บ
krat	พระราชาคณะ
tris	สีม่วง
kcot	รวบรวม
hben	การเลือกตั้ง
trik	ดื่ม
kfit	ยก
tcec	แลกเปลี่ยน
nrik	ชัดเจนบทความ
grat	จักรพรรดิ
dran	การบริหาร
hpen	ก่อนหน้านี้
cluk	น่าเกลียด
nrac	ไม่เป็นอันตราย
ryin	การอบรม
hrun	ม้วน
nwic	นิ้ว
slit	ยิง
gzat	หนังสือพิมพ์
krot	ตัด
drit	เครา
hzis	ฉีก
hdap	สิบแปด
sris	ประวัติศาสตร์
mrut	ทั้งหมด
nyik	โคลน
bran	เจ้าสาว
drat	ขึ้นอยู่กับ
djan	ยักษ์
glat	ความง่าย
hpoc	ฤดูใบไม้ร่วง
pras	ผ้าคลุมหน้า
hgot	การชุมนุม
tret	โรงละคร
tras	การเปรียบเทียบ
rwit	คู่แข่ง
hfon	การขึ้นรูป
klot	โค้ช
hmum	อารมณ์ขัน
drac	สนทนา
rwas	นวนิยาย
tset	แก้แค้น
hdot	ปลายเป็นการสาธิต
ryut	อิจฉา
hwon	คำเชิญ
byat	เผา
flac	แฟลช
prot	ภาพเหมือน
crek	แนะนำ
htok	ขัดกัน
htop	คำสาป
prit	imprecatoryอารมณ์
hces	ทำอะไรไม่ถูก
klup	สโมสร
hnos	น้ำท่วม
dwin	ความไม่แยแส
prin	ขอบฟ้า
mrit	assumptiveอารมณ์
tcoc	สูงชัน
hcom	ความสามัคคี
grit	ฟ้าร้อง
tlot	วัยเด็ก
hgik	เข่า
hwes	ไม่ได้สติ
hzac	ซึ่งกันและกัน
hsec	ซอฟต์แวร์
tson	สถาบันการศึกษา
ryit	ใบเสร็จรับเงิน
dlin	วินัย
slip	ลื่น
klon	การปฏิวัติ
hfim	ชาวนา
hpom	แพลตฟอร์ม
cyen	นักเรียน
hgec	ถ้ำ
hroc	ประเพณี
srac	เสนอ
ryat	โศกนาฏกรรม
kcen	บริสุทธิ์
hbap	การอำลา
krik	คำวิจารณ์
krap	ฝ้าย
fwat	โรงพยาบาล
kcet	ให้เช่า
hgas	แก๊ส
pfin	แน่นอน
dlit	ใบไม้
ryan	การแปล
sran	งานศพ
mrin	แป้ง
hram	โรแมนติก
dlan	ดอลลาร์
hzas	ล้อเล่น
hsos	สิบหก
klen	อาณานิคม
gyin	ปีก
hsif	สิงโต
cluc	ฉลาดแกมโกง
prip	การจัดเตรียม
hzut	หมอก
dwat	ยา
krit	พิสูจน์อักษร
sras	รัง
hses	สิบสี่
brat	การคัดค้าน
flat	กรด
hjic	คือ
slic	อาวุธ
hbuc	ผู้ใช้งาน
tron	สีส้ม
byan	การอาบน้ำ
hrif	ดั้งเดิม
tlip	สร้าง
blan	ตะกร้า
kris	เลขานุการ
hyon	ขณะ
tren	ในวันนี้
dlat	hodiernalเครียด
hzic	ยาพิษ
tfic	ปืนยาว
tlen	พรสวรรค์
hlim	ภูมิอากาศ
dyat	เพื่อน
kcon	การเปิดเผย
dlac	ล้าง
krak	คำสารภาพ
hbas	เรื่องไร้สาระ
hkec	ถ่านหิน
hrek	ฟื้นฟู
hkos	เรือแจว
hwif	รอง
tric	ชั่วคราว
hdep	delimitativeแง่มุม
mwak	กอง
ksot	กระดูก
hnoc	วันจันทร์
nlas	วันอังคาร
brac	วันพุธ
frap	รัฐบาลกลาง
pfit	ตัวแทน
pcoc	เสา
lyen	ผ้าลินิน
swak	จม
pcen	ประธานาธิบดี
brit	กระหายเลือด
hwec	การล้อม
hwet	กระเพาะอาหาร
hlos	ชั้นบน
hbon	แตกต่างกัน
pcon	ทองเหลือง
hsem	ประชุมสุดยอด
lwac	ถูก
tsos	การประกวด
kwen	พิเศษคน
trun	ท่าเรือ
trut	รูปปั้น
hrap	ปืนใหญ่
hgap	จับกุม
trot	อุณหภูมิ
grin	ย่าน
hjak	โอบกอด
hpek	ซอง
hlus	กวาง
hwos	ห้องนอน
tsuc	พุ่มไม้
pcuc	ปล่อย
cris	ทายาท
clun	โอ๊ก
hpes	ไม่เป็นที่พอใจ
nlet	ไม่สมบูรณ์
hrom	โครงการ
pyon	เปียโน
swet	ชักชวน
dric	มองไม่เห็น
tyen	ดีที่รู้จักกัน
hruk	ความโหดร้าย
frat	ที่ได้รับมอบหมาย
hyoc	สิ่งล่อใจ
hlep	telicแง่มุม
nrot	ระหว่างประเทศ
nret	อย่างรุนแรง
hfif	นักปรัชญา
pfic	การแสดง
hmek	รู้สึกไว
hfec	สวัสดิการ
myik	ประมง
truc	ขโมย
tcop	ฝีปาก
rwic	เกษียณอายุ
htom	เศรษฐกิจ
glan	เฉลียง
pren	ขนาน
hlek	atelicแง่มุม
nrak	ทวีป
truk	เคาะ
hjim	ซึ่งห้ามปรามอารมณ์
rwat	เน็คไท
hcep	เซลล์
dyan	ไข่
jrat	เทียม
nren	แรงบันดาลใจ
ksic	วิกฤติ
tsoc	ค้นหา
lwan	อาหารกลางวัน
hpos	ต้นสน
hcuf	ดัน
tcus	ฟ้อง
pset	ขยาย
hkep	ทองแดง
swis	กะลาสี
prim	ของจักรพรรดิ
trip	แส้
cras	เสื้อเชิ้ต
swap	กวาด
syet	ร่าง
htof	ขโมย
clen	ช่อง
kwit	บุคลิกภาพ
klok	ส่วนเกิน
hrok	ปฏิรูป
hguc	ความกระหายน้ำ
kcim	คุกคาม
hpem	ปาล์ม
psik	ประธาน
frit	ธรณีประตู
cret	ร่องรอย
mrak	หอก
syen	เซสชั่น
tcup	ชื้น
hyek	นักท่องเที่ยว
trim	ดีบุก
plak	การร้องเรียน
hyok	มุม
hgam	วัว
hmok	โรงสี
jrac	แผนที่
kloc	ปก
gyit	จงใจ
hbip	เบียร์
mlet	กำมะหยี่
lyap	การละเมิด
cwen	ฝูง
bwan	หลานสาว
tses	สิบสาม
jrit	แสดงให้เห็นถึง
nlak	ต้นฉบับ
sron	นักรบ
cruc	วันศุกร์
broc	แปรง
dlot	ดาวน์โหลด
krim	ครีม
pric	ขว้าง
prut	คณะลูกขุน
hgon	แช่แข็ง
sram	อย่างแท้จริง
pfot	หม้อ
hlot	วางแผน
djin	เหรียญ
hlok	เผ่น
hpep	แอปเปิ้ล
hwot	เป๋
dlak	หารือเกี่ยวกับ
brik	สมัครเป็นสมาชิก
nlis	คัดลอก
hbet	เดิมพัน
pris	ไวรัส
hjik	การต้อนรับขับสู้
blit	หน่อมแน้ม
hjap	เสื้อคลุมยาว
tfik	สะท้อน
hdaf	บรรลุ
hpop	อุปรากร
kcaf	การซ่อน
kcoc	ข้อศอก
hrum	ซ่อมแซม
cyim	พิรุธ
dyic	ทางการศึกษา
hgoc	หลุม
drak	ความไม่เป็นระเบียบ
plas	การปรบมือ
byin	เลขฐานสอง
hzap	วัด
nlot	ความจงรักภักดี
mrik	เชิงกล
hsop	ประสบความสำเร็จ
crap	กับดัก
kyek	เค้ก
nrut	ความสนุกสนาน
syes	ท่าน
hjet	สิบเจ็ด
hjen	ของผู้หญิง
hmom	น้ำผึ้ง
hdec	น่าเสียดาย
lwen	ตำนาน
slot	เตา
frac	กบฏ
gwan	บวม
mruk	ปรับปรุง
swot	ปลัก
zlan	ได้รับ
hnem	กระปรี้กระเปร่า
hdes	น้ำสลัด
prak	สั่งสอน
frin	ทัศนียภาพ
hfet	ต่อต้าน
cros	การร้องพร้อมกัน
ryon	มีเหตุผล
tcos	พืชผล
tsen	การประมวลผล
hwek	หมาป่า
nlik	การปฏิเสธ
klap	พรม
dras	ชัง
prop	อุดม
slim	นกหวีด
hgis	ชีส
krut	กัด
srot	คุ้มกัน
bjan	เที่ยว
nwen	กองทัพเรือ
myas	หน้ากาก
kwaf	พัฒนา
twis	แท็กซี่
pcip	ดินสอ
srap	ผัก
sren	จัดแสดง
tlun	กางเกง
hrup	คอรัปชั่น
