ni	infinitive
qrih	planetary-gender
kfoh	core-benefactive
kwoh	associative-case
pluh	superlative-case
jrah	electric-current
glih	inanimate-gender
p6	propositive-mood
vrah	reciprocal-voice
lyuh	successive-clause
gleh	soon-future-tense
lyoh	applicative-voice
ps6h	antipassive-voice
tfuh	continutive-aspect
nr6h	necessitative-mood
pr6h	passive-participle
sy6h	existential-clause
qyih	luminous-intensity
gluh	singulative-number
kwuh	excessive-duration
xyah	single-action-verb
vlih	superlative-degree
djah	present-participle
m6	amount-of-substance
ti7	connective-particle
f6	epenthetic-morpheme
tli7h	remote-future-tense
si_	postpositional-case
l6	allocutive-agreement
k6	frequentative-aspect
bzih	distributive-pronoun
tu7	floating-point-number
vo	verb-affix
ki7	past-passive-participle
ta_	locative-directional-case
