ni	infinitivo
grah	lisonjeiro
brah	arbitrário
cleh	benevolente
sreh	formalregistrar
pfah	benéfico
droh	auditivocomprobatório
flih	inferencialcomprobatório
sweh	Sublativecaso
ksuh	declarativohumor
pleh	privilegiado
psoh	invencível
be	verbal
mwoh	devaneio
kleh	miséria
glah	ganância
kseh	afirmativohumor
zrah	descontentamento
dyoh	idiophone
syoh	awed
gwah	excessivocaso
zlih	irrealishumor
zrih	acanhamento
byih	adaptação
ryeh	pronomemarcador
fwah	frugal
bjah	extático
kxah	equanimidade
gvih	pegativecaso
pxih	vindicação
xrah	expirando
tfoh	daquiemdiante
kxih	contrição
ryoh	prosecutivecaso
qyah	preocupação
r6	particípio
txah	controloremotopassadotenso
xrih	históricotenso
dxah	dualnúmero
syuh	super
vweh	Excessodetrabalho
n6	sensorialcomprobatóriohumor
bweh	obsessão
xlih	divertido
txih	pontada
sluh	autosatisfeito
txoh	movimentoladeiraacima
xe	retrospectivo
pxah	apanharemarmadilha
vwah	movimentodeclive
xyih	elite
fleh	flexionada
psuh	superessivecaso
syeh	sátiro
qi	transitivo
xruh	encolher-se
zwah	Uau
tr6h	movimentoupriver
qwah	unambitious
xlah	nomundotodo
tyoh	intransitivo
tluh	anticlímax
qa	atualrelevânciamarcador
kxoh	cãocansado
rwoh	ordinal
ve	vetor
kyoh	quilo
swoh	seqüente
pxeh	partitivocaso
txeh	aumentativo
dxih	predicativo
pxoh	prolativecaso
pfoh	prófrase
blah	saciado
fyih	nãohumano
xo	atorFunção
pc6h	tentativasnúmero
greh	centralcaso
groh	objetivogatilho
dxoh	meiovoz
rweh	oblíquocaso
xwah	pacientecaso
xu	préhodierna
xroh	desgastar
ks6h	causativo
vi	-valorbinário
dleh	modalcaso
gjeh	else-if
xreh	colegadetrabalho
lwoh	locativocaso
ml6h	multalnúmero
gjih	galáxiagênero
qlah	estrelagênero
bvih	abessivecaso
dvah	adessivecaso
je	agentivecaso
t6	agentegatilho
kxeh	paracaso
gxih	comumgênero
tc6h	citaçãoFormato
ts6h	transnumeral
ryuh	diretoobjeto
gveh	ergativecaso
pyoh	passivavoz
qe	finitoverbo
xwih	primárioobjeto
myoh	sentenciosohumor
vrih	finalpartícula
va	evitativecaso
bveh	subessivecaso
dxeh	possessocaso
dvih	lativocaso
tsa7h	antessivecaso
dyeh	adverbialcaso
mleh	animargênero
pfeh	empáticaalegria
xleh	veículogênero
qlih	mineralgênero
xloh	verbalsubstantivo
dreh	segundolíngua
bvah	autoconfiança
qrah	alterardoevento
fo	diferenteevento
sl6h	crastinaltenso
fyoh	reflexivovoz
bxih	universogênero
jlih	transitivoverbo
kyeh	localidadegênero
txuh	pesquisagênero
s6	artísticogênero
preh	pacientegatilho
sr6h	abstratogênero
nyoh	indiretodiscurso
zreh	excêntricacaso
kfeh	passadoperfectivo
jo	impessoalverbo
kxuh	coletivosubstantivo
bu	absolutivocaso
qrih	planetáriogênero
kfoh	testemunhobenefactivo
kwoh	associativocaso
pluh	superlativocaso
jrah	elétricoatual
glih	inanimadogênero
p6	propositivahumor
vrah	recíprocavoz
lyuh	sucessivocláusula
gleh	embrevefuturotenso
lyoh	aplicativavoz
ps6h	antipasivavoz
tfuh	continuativoaspecto
nr6h	necessitativehumor
pr6h	passivaparticípio
sy6h	existencialcláusula
qyih	luminosointensidade
gluh	singulativenúmero
kwuh	excessivoduração
xyah	solteiroaçaoverbo
vlih	superlativograu
djah	presenteparticípio
m6	quantidadedosubstância
ti7	conectivopartícula
f6	epentéticomorfema
tli7h	controloremotofuturotenso
si_	postpositionalcaso
l6	alocuçãoacordo
k6	freqüentativoaspecto
bzih	distributivopronome
tu7	pontoflutuantenúmero-
vo	sufixoverbo-
ki7	passadopassivaparticípio
ta_	locativodirecionalcaso
