hnit	инфинитив
hlic	већ
hfit	фацтиведоказни
tcac	девојка
hcun	чути
ksan	најмање
hyaf	можда
kyat	zaista
tcic	тело
hwit	повратак
cwat	ваздух
hfaf	закон
hput	pomoć
lyat	писмо
ksas	четири
hpic	оптативанрасположење
hfuk	ватра
hcam	сат
twat	рат
kyak	више
tlit	други
pcin	иза
hmut	изгубљен
clan	hiljada
hfac	породица
twan	душа
hwas	питање
syan	истина
htis	прављење
tsat	потенцијалрасположење
lwik	аллативеслучај
nyin	антропичкапол
hfak	пет
tcak	иститемамаркер
htuc	различиттема
hnap	одговор
hmit	море
hcuc	страх
pcat	разумети
syas	uslovi
hcaf	сумња
twut	дубитативерасположење
hkis	crn
tlak	довести
hyus	lep
nyit	врста
htip	десет
ksis	прича
hpuk	књига
hlin	електронски
hkun	рачун
lyas	интерес
lyit	писати
pwat	кревет
hnis	старост
hnut	противчињеничниусловни
slas	уметност
hwis	виалисслучај
pyak	брат
lyin	линија
tyas	табела
hyun	река
kyac	око
tfan	изненада
kcin	дубоко
hmuc	сврха
cyac	крв
hmap	ружа
tlin	хладан
hyif	напред
tyam	касно
hnaf	претпоставити
hkip	скоро
myan	мина
tsin	знање
hkup	копија
hsam	супруг
hlis	шест
cwit	живот
cyan	мир
myat	запамтити
tyic	природни
hfut	pasti
swas	сервис
hsap	осим
pcit	Autorskopravo
hyim	војска
kyas	коњ
plic	будућност
pcak	западно
hpis	платити
hyuk	црвен
hwun	злато
twin	жеља
plan	игра
hpus	канцеларија
syun	влада
kyic	црква
htaf	снага
hlun	дужина
kyin	privrednodruštvo
kyis	папир
mlan	вероватноћа
hcim	посебно
cyas	сносити
twac	прозор
nyat	лепота
hcus	потоњи
htup	дужност
htif	растојање
pyas	нога
hlas	дивљи
ksin	zelen
hmaf	проблем
myac	осмех
hsim	сан
kyit	цитирао
kwik	куотативеслучај
fwan	посета
slan	следити
psit	присуство
hmic	сладак
hmuf	уста
hfin	богат
tcam	непријатељ
psuk	поломљен
kcap	брод
pwan	укључујућилице
hfic	утицај
tcuc	izgledati
hkim	тајна
pyin	Molimovas
pwit	прецативерасположење
pyit	учтиврегистровати
cwak	зло
myak	марш
tcas	места
hlaf	остати
psat	уместотога
nlan	плава
psac	немогућ
kcuk	школа
kcit	ubraku
kcak	храна
syis	двадесет
tlac	миран
hcip	Потенцијалниаспект
kwin	давање
tsit	заустављен
pyac	језик
hsus	недеља
hcup	сала
cyap	Питамсе
tfin	рођен
fyat	суд
hnip	гномскиаспект
tsak	поштовање
tlas	вредност
syuc	дрво
plat	зид
cyak	небо
twip	којизапочињеаспект
mlat	команда
swit	заповеднирасположење
mwas	месец
hwaf	savršen
tyap	искуство
ksac	околности
syac	свеж
hnuk	војвода
kwak	покривен
tyuk	источно
pwac	камен
hkif	племенит
nyac	правац
cyis	столица
tyuc	чекање
tsun	село
tyik	dogovoritise
hnum	попустљиврасположење
slak	успех
tsic	тежак
slat	брдо
hmik	музика
hkus	плач
hsip	седам
hpaf	приватан
nwas	вести
tfac	сцена
fyan	башта
cwas	почети
hfik	дистрибутиванслучај
lyac	учити
syik	политички
clin	Хенри
cyin	лаж
tsas	бацити
cyik	ауторитет
tlap	pod
cyam	лето
tcut	религија
tcap	бекство
hlut	аутор
pyun	браон
tcuk	бол
swan	пролеће
hmun	мек
kyun	угао
nyak	заштитнизнак
tsis	правда
psas	произвести
cyaf	смех
hwut	заборавити
hyup	Европа
hwap	осам
psak	претицање
kyap	страшан
pyic	потребан
hmim	средњи
hsaf	дах
hmis	мудар
hsum	посесиванмаркер
ksat	пријатан
ksit	гроб
tsap	острво
kyam	камп
tcum	додирнути
cyun	богатство
psic	обала
tyun	домен
mwit	цоммиссиверасположење
tlut	степен
myit	зима
kfan	понашање
slac	трчање
myin	минут
tyip	довести
klas	стакло
pfat	табла
cyic	сујетан
swam	послови
syam	безбедан
tsut	доктор
hlip	довршиваспект
kcas	тама
nyun	топао
hpuc	пиће
tlam	пример
hfun	љутња
tsik	инат
tsam	директно
hmup	шешир
klak	пас
slin	сребро
swac	слуга
kcam	понос
pyik	воз
myut	моралан
syak	унети
swat	мач
kyuk	напад
clac	здравља
tyaf	став
swic	друштвени
tfit	враћањеновца
hkaf	званичник
pcas	поглед
nyam	слава
tfat	дванаест
pcut	ангажован
pwin	вино
mwat	укус
fyac	гвожђе
syap	делити
myap	трговина
hyum	Користећи
fwak	судија
klat	капетан
twap	престанакаспект
kcic	радознао
kwic	страних
hnif	појачивач
myun	значај
tlic	коначно
cyuk	врат
syut	слобода
pfan	стране
kyuc	суво
pcap	пострани
tfak	доказни
tcik	доказнислучај
twun	удаљен
tyis	напредак
nyap	узак
plit	зграда
hpif	страна
pwic	држање
syic	тужан
tsip	грех
syim	болестан
tcis	поштен
pcun	банка
ksap	прихватити
lyam	поток
tcaf	пажљиво
kwac	уво
hpup	хлеб
kcut	изабрати
nwam	животиња
hsup	Зоицпол
nwit	евентиверасположење
tcim	истидогађајмаркер
tlik	мултипликативнислучај
kyus	прећи
hmus	дебео
kfat	изазов
nwat	расти
myic	киша
hpum	површина
swut	свети
clis	Јули
mwun	мода
hfas	фајл
cwac	раме
kwat	удобност
nwac	biloko
tcip	жељени
kfac	трава
hmuk	нацртати
plin	отварање
kwun	јун
mlik	риба
klin	капитал
pfut	груди
twam	потраживање
fyin	трошак
nlit	твој
mlin	милион
pyut	молити
hluk	уморан
ksut	убити
cyut	сенка
psin	тежина
kcis	сив
pyam	храбар
mwac	задовољан
klam	говори
ksam	државни
hfip	слаб
klik	долина
hkum	спекулативанрасположење
clas	жут
cyuc	топлота
mlac	остаци
syip	једнако
pwak	кутија
tcif	заједљив
psip	принцип
ksik	последица
tsim	сезона
flan	Nauka
pcam	очигледно
kcun	бушотина
ksuk	стриц
mlit	листа
pcik	опасан
kwas	август
hluc	популаран
klit	непознат
flak	упознат
fyit	упознатрегистровати
lwat	читач
plun	Hodanje
twas	dvaputa
pcis	свештеник
fyas	рањен
nlat	палата
myuk	будала
pfak	фаворизовати
tcuf	девет
cwap	симпатија
plac	прасак
pyap	стављање
lyic	обучен
hcum	бука
lwit	литература
tsuk	ранг
hfup	олуја
kcik	џеп
nwap	новембар
tyim	децембар
psaf	одсуство
nlac	становништво
kyaf	захвалити
slis	серија
pyaf	птица
mlak	власник
kwut	капут
hwuc	везе
pyis	брзо
twuc	дим
nwak	јануар
mlic	машина
tlis	зуби
ksun	спаљивање
clam	срамота
klaf	квалитет
clit	прстен
fyak	фраза
fyam	фразамаркер
kwap	квадратни
hwip	недеља
psis	поезија
pwut	предодређено
kyim	купити
clic	поља
pyip	април
kfap	октобар
psut	објекти
kcuc	горак
nlap	роб
hsok	лабав
htet	текст
hbat	најгоре
hrit	кредит
hzit	Карактеристике
hpet	петнаест
krac	окрутан
hduc	прашина
hrik	практичан
hron	боја
hnus	нос
hric	пријатељски
srik	снабдевање
hten	јуче
tlet	хестерналнапет
slap	изневерити
hban	nositi
hdat	слеп
fran	летети
hdan	ђаво
htec	постепено
hmon	мисија
cran	жртвовање
hran	савест
hmos	министар
nrit	енергија
hcet	мрзети
hset	центар
hrin	рационаланпол
hcot	уживати
hrip	кратак
htep	обожавање
hcif	кожа
hrat	кров
kran	круна
hkon	замак
tran	очајање
hmif	миља
trin	круг
hgin	затвор
hkop	шоља
hcen	члан
swin	грађански
hrac	свуда
hris	обичај
hbin	постаје
hmot	месо
hdut	млеко
hwen	биљнипол
nran	редак
hbac	рођак
crut	мост
hsoc	Стоцк
hsom	со
nris	невин
hbit	избегавајте
crin	дивљење
rwin	краљица
hgut	рачунати
hdas	плес
hnot	хотел
hdin	попунити
hton	затвореник
hdak	продавница
hlet	степенице
hson	помиловање
hgek	педер
hras	песак
hsep	септембар
hbic	рушевина
hlen	лиценца
hcon	довољно
hgit	сведок
kfon	кухиња
hbak	продати
tlim	лечење
hsot	брзина
kyut	рачунар
hnen	вечан
htek	библиотека
hzan	којисадржи
hbis	база
hbun	забуна
kcus	кувар
hgat	пустиња
hwus	пољубац
hbif	лед
hbot	лопта
hrut	расправа
hdit	благословрасположење
hdis	крив
hjan	казна
plis	полиција
hgan	сакрити
hsen	експедиција
nrin	неук
hyen	облак
frif	фебруар
hdik	болест
hnek	иницијативаслучај
hbam	тетка
hmen	скроман
hdip	одложенимператив
prat	пријавиодоказни
hdet	поноћ
hjit	прст
hmoc	негде
pran	преса
kcec	регија
hken	упоследњевреме
hloc	меланхолија
hrak	особље
htes	зурити
rwan	nagrada
hdon	поклонити
htot	чело
hnet	анђео
hdun	једнина
croc	грешка
hlon	зора
hyec	овца
hjin	стрпљење
hrec	референтна
mran	кукуруз
htos	већина
hcos	Мере
hkoc	povremeno
hlif	добит
clak	шећер
hjat	хуманост
tram	Ram
hdic	диск
hkok	усамљен
srat	уметник
crak	шарм
hmet	e-маил
hden	одлука
gran	гувернер
crac	грана
hjac	ентузијазам
hdim	индуктиванрасположење
hcok	пожурити
hyet	уље
pwap	цев
trat	штампа
tcot	чврстаматерија
hdoc	ох
hren	дискурсконтекст
tcon	подне
krin	кабина
plam	алармни
hnes	нервозан
tcen	посматрање
hsek	аспект
plik	применљив
slik	свила
hfen	цент
hgen	заступник
hnon	унија
crik	пакао
tcet	неисправан
mrat	помешан
hdam	укоррасположење
hgac	амбиција
htoc	nanekinačin
hdac	савет
nwin	устав
srit	инструмент
hret	чврсто
nlin	Онлине
hzat	талас
klic	колеџ
hkek	реп
nric	генерација
hgic	препун
hgak	мачка
trit	директандоказни
tyot	споразум
hnok	садржај
crit	напуштен
slen	једанаест
srin	инстинкт
hpok	племе
hyot	престрашенрасположење
cric	склониште
hruc	непристојан
cwin	јахање
hzak	трести
dyit	индустрија
hpec	професија
nras	медицинскасестра
hcec	настава
hbut	ципеле
hmec	нејасан
twot	активност
crat	субота
hkot	капацитет
hnec	sunce
hwuf	удовица
cren	пролити
nrat	звезда
hget	гост
hbik	благословити
brin	унутрашњи
hpot	доступан
trac	отпорност
prac	извести
hcoc	шупаљ
hpon	провинција
hwim	цивилизација
dwan	обесити
cwok	шок
hdok	вожња
crun	благо
hzik	семе
hrot	скорашњипрошлостнапет
hket	будан
hcek	намештај
hrop	конопац
mrac	авантура
byit	гозба
trak	годишњи
hzin	јужни
sric	церемонија
clik	лов
trap	либералан
hrim	хришћанство
hrus	принцеза
blat	олтар
cyon	сићушан
hwep	web
krat	кардинал
tris	љубичаста
kcot	окупити
hben	избор
trik	пијан
kfit	дизање
tcec	размена
nrik	одређенчланак
grat	цар
dran	администрација
hpen	раније
cluk	ружан
nrac	безопасан
ryin	тренинг
hrun	ролна
nwic	инч
slit	пуцати
gzat	новине
krot	сечење
drit	брада
hzis	pocepati
hdap	осамнаест
sris	историјски
mrut	бруто
nyik	блато
bran	невеста
drat	зависити
djan	џин
glat	једноставност
hpoc	jesen
pras	вео
hgot	скуп
tret	театар
tras	поређење
rwit	супарник
hfon	формирање
klot	тренер
hmum	хумор
drac	дискурс
rwas	роман
tset	освета
hdot	дисталнидемонстративан
ryut	љубоморан
hwon	позив
byat	спаљен
flac	блиц
prot	портрет
crek	предложити
htok	конфликт
htop	клетва
prit	проклињућирасположење
hces	беспомоћан
klup	клуб
hnos	поплава
dwin	равнодушност
prin	хоризонт
mrit	претпостављенрасположење
tcoc	стрм
hcom	хармонија
grit	гром
tlot	детињство
hgik	колено
hwes	nesvestan
hzac	заједнички
hsec	софтвер
tson	institucije
ryit	признаница
dlin	дисциплина
slip	клизање
klon	револуција
hfim	пољопривредник
hpom	платформа
cyen	ученик
hgec	пећина
hroc	традиција
srac	поднети
ryat	трагедија
kcen	девица
hbap	збогом
krik	критика
krap	памук
fwat	болница
kcet	закуп
hgas	гасни
pfin	неизбежан
dlit	лист
ryan	превод
sran	сахрана
mrin	брашно
hram	романтичан
dlan	долар
hzas	лакрдија
hsos	шеснаест
klen	колонија
gyin	крило
hsif	лав
cluc	лукав
prip	припрема
hzut	измаглица
dwat	медицина
krit	радитикоректуру
sras	гнездо
hses	четрнаест
brat	приговор
flat	киселина
hjic	tojest
slic	оружје
hbuc	корисник
tron	поморанџа
byan	купатило
hrif	примитиван
tlip	успоставити
blan	корпа
kris	секретар
hyon	умеђувремену
tren	данас
dlat	данашњинапет
hzic	отров
tfic	пушка
tlen	таленат
hlim	клима
dyat	prijatelj
kcon	Откровење
dlac	прање
krak	исповест
hbas	бесмислица
hkec	угаљ
hrek	повратити
hkos	кану
hwif	порок
tric	привремен
hdep	делимитативеаспект
mwak	гомила
ksot	кост
hnoc	понедељак
nlas	уторак
brac	Среда
frap	федерални
pfit	представник
pcoc	пол
lyen	постељина
swak	лавабо
pcen	председник
brit	крвав
hwec	опсада
hwet	стомак
hlos	горе
hbon	разнолик
pcon	месинг
hsem	врх
lwac	јефтин
tsos	такмичење
kwen	ексклузиванлице
trun	слетање
trut	статуа
hrap	артиљерија
hgap	ухапсити
trot	температура
grin	суседство
hjak	пригрлити
hpek	паковање
hlus	јелен
hwos	спаваћасоба
tsuc	грм
pcuc	пражњење
cris	наследник
clun	храст
hpes	непријатан
nlet	непотпун
hrom	програм
pyon	клавир
swet	убедити
dric	невидљив
tyen	познат
hruk	окрутност
frat	додељен
hyoc	искушење
hlep	Телицаспект
nrot	међународни
nret	жестоко
hfif	философ
pfic	представљање
hmek	осетљив
hfec	благостање
myik	риболов
truc	украсти
tcop	усна
rwic	пензионисати
htom	привреда
glan	галерија
pren	паралелно
hlek	ателицаспект
nrak	континент
truk	куцати
hjim	заштитнирасположење
rwat	Тие
hcep	mobilni
dyan	јаје
jrat	вештачки
nren	инспирација
ksic	криза
tsoc	претраживање
lwan	ручак
hpos	Бор
hcuf	гурање
tcus	тужити
pset	продужити
hkep	бакар
swis	морнар
prim	царски
trip	бич
cras	кошуља
swap	замах
syet	скица
htof	лопов
clen	канал
kwit	личност
klok	вишак
hrok	реформа
hguc	жеђ
kcim	претећи
hpem	палма
psik	звучник
frit	праг
cret	трагови
mrak	копље
syen	седница
tcup	влажан
hyek	путник
trim	калај
plak	жалба
hyok	угао
hgam	крава
hmok	млин
jrac	карта
kloc	крагна
gyit	намерно
hbip	пиво
mlet	сомот
lyap	злоупотреба
cwen	стадо
bwan	братаница
tses	тринаест
jrit	оправдати
nlak	рукопис
sron	ратник
cruc	петак
broc	четка
dlot	преузимање
krim	крем
pric	нагиб
prut	порота
hgon	смрзнут
sram	буквално
pfot	лонац
hlot	планиран
djin	новчић
hlok	скок
hpep	јабука
hwot	уврнут
dlak	дискутовати
brik	претплатитисе
nlis	преписати
hbet	опклада
pris	вирус
hjik	гостопримство
blit	детињаст
hjap	хаљина
tfik	одразити
hdaf	постићи
hpop	опера
kcaf	скривање
kcoc	лакат
hrum	поправка
cyim	сумњив
dyic	образовни
hgoc	јама
drak	поремећај
plas	аплауз
byin	бинарни
hzap	опатија
nlot	лојалност
mrik	механички
hsop	успешно
crap	замка
kyek	торта
nrut	забавити
syes	сер
hjet	седамнаесторо
hjen	женски
hmom	dušo
hdec	nanesreću
lwen	легенда
slot	пећ
frac	побуњеник
gwan	надути
mruk	побољшати
swot	мочвара
zlan	зарадити
hnem	анимирани
hdes	прелив
prak	проповедати
frin	пејзаж
hfet	противе
cros	припев
ryon	рационалан
tcos	усев
tsen	обрада
hwek	вук
nlik	одбијање
klap	тепих
dras	презирати
prop	плодан
slim	звиждук
hgis	сир
krut	угристи
srot	пратња
bjan	лутати
nwen	морнарица
myas	маска
kwaf	razviti
twis	такси
pcip	оловка
srap	поврће
sren	експонат
tlun	панталоне
hrup	корупција
nrip	орман
srup	супа
jran	хирург
bjat	џепарац
gyat	шпијун
hlem	немаран
srak	апстрактан
kson	акценат
cwis	четвртак
sret	искрено
hraf	саобраћај
hres	архитектура
hsuf	одстрањивање
rwak	пукотина
twon	украс
hfus	опоравак
hkom	код
djat	ловац
nlut	билтен
hsef	змија
mris	демократија
bric	батерија
mlam	восак
zran	дељење
cron	узбуђење
hzen	пливање
traf	трака
cwaf	коверат
srip	цигарета
mrot	моторни
swon	волонтер
ryak	реакција
pfun	делимично
blac	пртљаг
mret	министарство
hjon	полни
kcok	секира
dram	дијамант
kren	наизменичан
tcek	одјек
hdif	идентитет
tfas	амбасадор
hfot	sastojatise
lwas	лењ
hmep	моментанеаспект
kfin	шифровање
mwin	имагинаран
hrem	зрак
pram	пењање
byac	подрум
mren	памћење
swen	сенат
kras	Mrtvačkisanduk
hgun	прогутати
nlok	размазити
ryic	пољопривредни
gwin	љуљашка
srut	ливада
hkes	комплекс
hfis	оставка
frak	увишенаврата
hnom	завера
hcop	паб
hlec	бибер
mlot	мелодија
zrat	кандидат
proc	покровитељ
flik	лисица
cyet	жали
hgim	димњак
slet	ограда
tcok	тачност
bjit	бившипокојни
brot	пупољак
bwat	ћебе
hdus	свиња
gwat	слоновакост
kret	екстракт
nwet	посматрач
jwan	авенија
nwis	нокти
mwic	пчела
bzat	глумац
gyan	зној
zyit	извршни
blic	илузија
pcet	несигурност
tsot	преклопити
bwit	граница
tres	стрес
hkof	потрошња
nyen	стењање
hles	личити
cyek	врећа
hjis	игла
gjan	феномен
prec	понашати
drot	контролисано
kcek	крива
twic	пилетина
brak	барел
zwat	уобичајен
clap	уобичајенаспект
tsec	експерт
bwin	импресионирати
cwet	ограничен
hbek	пекар
zlin	маслина
mron	комби
drin	посветити
psap	изложити
gjin	рођендан
clut	чекић
cwun	мирисан
twaf	тривијалан
pcot	љубимац
krok	Lobanja
dlik	законодавство
cwic	срећом
srun	мрштење
crec	уништавање
jlan	маржа
kcip	шампион
blin	милијарде
ryik	хемијски
mlas	пулс
flit	пилот
hzet	чвор
cwik	величанствен
twet	сукња
mwik	недељно
tfis	технички
tlon	vozilo
cram	ласкав
grac	ојачати
kraf	врана
trup	атрибут
hduk	кука
cruk	тигар
nrap	куцнапомоцница
crot	аутопут
mlip	милиција
hfoc	fotografija
nres	интегритет
plos	више
tfam	транспарентан
nlic	деветнаест
hwok	квалификован
nlen	есеј
fyic	ефикасност
hwuk	јединствен
hgok	органски
flic	теологија
flot	пловак
hboc	обавезати
hwoc	вештица
syot	студио
cwip	шампањац
hbes	барјак
lwic	развод
blot	завртањ
cwot	заробљеништво
cwam	вена
prik	пасиван
hfum	пена
grik	шљунак
zrin	кецеља
gren	планета
hfuc	васкрсење
claf	полица
flas	вентилатор
hjot	тропски
hbim	произвољан
krek	жива
hbec	благонаклон
tsaf	самоубиство
pwas	одважност
plot	новинар
kfak	потрошити
blak	балкон
hdos	мрља
kwis	класик
kcos	оптужити
psen	пензија
kres	глагол
hzon	мајмун
srim	потпис
glin	опирање
mlut	познат
myot	увоз
fwac	оснивач
troc	бакља
hgaf	граматика
hyop	јахта
ksip	изумро
sres	екскурзија
hnup	купола
hzun	тврдоглав
mric	мишић
gjat	величина
hros	р
zrac	кукавички
tros	тост
myus	миш
dwac	дијалог
byak	коза
htef	кројач
hfek	цветати
dzan	наметнути
nyon	анониман
zrit	формаланрегистровати
pcos	спортски
hjec	Мелт
dlas	избрисати
mras	кишобран
mram	минерал
cwut	примирје
hbok	патка
swun	сапун
dwak	лутка
plif	вила
slon	шивење
tfut	честитати
djac	помирити
hjas	угушити
kric	зец
kwot	диригент
gzan	гаранција
clot	играч
ksek	инсект
psam	држање
mwut	сова
htem	трајно
clon	виолина
dzin	резидент
rwim	односно
hyof	благотворан
dron	змај
dwit	слушнидоказни
sroc	извоз
hzot	Прекид
djik	развлачити
kfik	поклопац
ryun	регулација
hmes	градоначелник
rwac	хардвер
sruk	циркус
sros	мањина
bzan	побуна
kset	оркестар
bjon	сланина
hjut	неограничен
tfen	брани
zwac	nedostatak
dyin	разматрање
myis	музичар
mlis	ментално
pret	неадекватан
tsek	архитекта
hlom	лимун
ksos	кашаљ
crok	главобоља
flin	плодност
mrun	столар
swec	случајан
syuk	кашика
blun	балон
tcep	креда
fric	освежење
rwik	вертикала
rwen	спречавање
flet	инференцијалнедоказни
pfac	издавач
srek	сирће
tfun	тунел
pwet	слагалица
gyik	математика
fwot	избледети
lwin	уравнотежен
jwin	јетра
bwik	сублативеслучај
hdup	потапање
hnop	монопол
bwic	подморница
ryen	безобзира
hcem	земљотрес
hbos	лабораторија
nrek	радник
ryim	ритам
nyic	протумачити
dwas	амбасада
rwok	изазивати
kram	неспособност
ksim	којитумачирасположење
clok	чоколада
pcec	привилегован
nyis	пустињак
tyoc	случајност
grak	гребање
zlat	рукавица
hjuk	клечати
trif	географија
djit	систематичан
pson	непобедив
mwis	инвестиција
cwec	усмен
hdek	секуларни
blik	Јастреб
sloc	психологија
brap	туча
jlat	гусар
dros	доза
slam	лосос
pwun	пудинг
gwik	магнетни
pcop	пумпа
myen	слично
ksen	кисеоник
mrap	надзорник
tfot	потврда
ksus	група
trok	реторика
tloc	пречага
zyan	весло
nlun	prijava
hlop	телескоп
jlin	правопис
lyut	Облачно
hsof	пов
fyik	виски
klet	релативно
hwof	врба
hlum	камила
myet	аматер
klis	изолација
hbaf	биографија
gwac	магарац
hwum	гласина
pwik	перспектива
pron	професионалац
myes	месечно
mwen	сањарење
kfic	одмор
klek	клик
cwon	овал
lyak	еластичан
kwon	рјечник
hjam	шунка
rwon	дуга
crip	ovim
zwan	јавља
srok	уводник
craf	десетар
tlok	резервоар
brip	лептир
tfap	графикон
jwat	близанац
pros	радни
psun	предзнак
clet	јад
hbus	бамбус
dyas	трговац
klun	акумулација
jlit	једногласан
hdom	ноћнамора
kron	угљеник
hzam	џем
cyot	слушалац
hmem	музеј
lwam	азбука
fras	растурање
psoc	ударац
hgum	гума
brek	кочница
glit	стабилност
frun	трулеж
gris	агресиван
mroc	трење
bzit	паук
plut	кромпир
glac	похлепа
gzac	умножити
prun	Спин
jlet	календар
nyim	номинација
tlos	трилион
slut	салата
fwit	потврданрасположење
pyen	апликације
nlon	номинални
dren	демонстрирати
drun	незадовољство
cyok	слегањераменима
hfop	фудбал
ryac	партнерство
gzin	пионир
hgip	купус
tyet	атлетски
hdof	идиофониинструменти
hwup	непроцењива
lwek	полуга
syec	сенатор
jyak	прилагодитисе
mlim	мрав
fwic	ефектно
gzit	трудна
blas	ослањање
jrin	свакидан
gwak	članak
drik	необично
prif	варијабла
jwit	разноврсност
krip	дискриминација
ryot	страхопоштовање
nwut	тротоар
kcif	активно
jrak	жаба
twek	прекомеранслучај
psot	покајање
pfon	сунђер
sluk	веверица
nlim	ирреалисрасположење
ksaf	оскудица
glak	вулкан
plen	равнотежа
kfaf	шал
kyon	искористити
jlik	геолошки
psop	пасош
kfis	упражњеноместо
fyon	склоност
nram	неморалан
hbuk	бисквит
gras	транс
hyos	престрашен
flim	филм
plet	таблета
rwam	атом
blis	ванила
zlit	помагала
fyut	пробирљив
crim	пирамида
hjif	незаконит
crif	снебивљивост
lwap	лаута
tyon	астрономија
mrim	лавиринт
drut	описни
nrim	стипендија
kruc	корњача
kwam	саветник
jrik	крикет
dlut	означити
pyot	голуб
dyon	адаптација
prap	руковалац
bzin	значка
tyek	троугао
trec	благајник
nron	водоник
pyet	штампач
tsok	чок
zyin	хроничан
slek	бицикл
jyin	инжењеринг
ryas	преношење
zrak	освежи
nyas	плесач
gric	миграција
zlak	прекршити
tces	тенис
hjun	ветровит
twen	ткати
kyet	колекционар
gwit	kičma
kyot	акорд
fwin	фреквенција
tfuc	разбој
dlet	именик
pfik	мислилац
bjet	буџет
trek	стратегија
kros	кварц
gjit	маказе
gwic	прекидач
frik	теоретски
tluc	пешкир
pruc	патрола
glic	глечер
krun	потпуност
bjin	предвиђање
tlaf	учествовати
tfet	произвођач
bras	бочни
dwik	оптужени
clec	издувни
cres	шах
tcef	трешња
tcom	посрнути
nyot	преводилац
tyok	kamion
cyip	надмашив
grot	сенф
bris	бежични
nlam	аукција
slif	сито
hgos	рђа
swoc	нестабилан
jyat	стечај
slum	ислам
hjes	попис
dzat	наврховимапрстију
slun	обуставити
nwot	непрекидност
gyic	гитара
pfas	склоност
zyik	цинк
blen	сјајан
hyem	брест
hnep	јагма
nyut	плетен
ryam	заменицамаркер
clim	зачин
jret	оштрина
tfon	зафркавати
jwac	Јава
hrep	рецепт
dyac	лиценца
myip	метар
rwis	расни
hkem	комета
nwon	иновација
zwin	забрана
dyis	средњевековни
mrec	врабац
fyot	фуснота
mlon	мера
pfis	ратификација
rwot	орбита
hfok	штедљив
glof	голф
zron	нула
hzip	рар
hwom	бескућник
bjic	жвакање
pcim	испунити
hjip	чип
bwac	зевање
mlos	кртица
mrip	грнчарија
bron	ембрион
ksoc	одузимање
cyum	квасац
jyan	жаргон
plim	шљива
mwet	гробље
ryet	дипломирани
