ni	tūmahi
ks6h	fakatupu
vi	uaraā-rua
dleh	takearatau
gjeh	atukite
xreh	hoamahi
lwoh	takewāhi
ml6h	taumultal
gjih	iratupuni
qlah	whetuira
bvih	takeabessive
dvah	takeadessive
je	takearo
t6	keumāngai
kxeh	kitetake
gxih	iranoa
tc6h	pukatorokī
ts6h	tauingoatrans
ryuh	ahanoatika
gveh	takeergative
pyoh	reohāngū
qe	kupumahifakataimí
xwih	ahanoatuatahi
myoh	hurugnomic
vrih	matūrikiwhakamutunga
va	takeevitative
bveh	takesubessive
dxeh	takenohoia
dvih	takelative
tsa7h	takeantessive
dyeh	takeadverbial
mleh	whakaohoira
pfeh	koakaungāongo&#39;i
xleh	irawaka
qlih	irakohuke
xloh	nounwaha
dreh	reotuarua
bvah	māiawhaiaro
qrah	huringaotehui
fo	huirerekē
sl6h	crastinalkukū
fyoh	reowhakaata
bxih	aoira
jlih	Transitivekupumahi
kyeh	iratakiwa
txuh	irarangahau
s6	iratoi
preh	keumanawanui
sr6h	irawaitara
nyoh	kupuautaki
zreh	takeexocentric
kfeh	perfectivemua
jo	kupumahiihotaataore
kxuh	nounngā
bu	takeabsolutive
qrih	iraplanetary
kfoh	benefactivematua
kwoh	takeherekore
pluh	takeinetoru
jrah	nāianeihiko
glih	irapopohe
p6	hurupropositive
vrah	reotauutuutu
lyuh	rarangā
gleh	hohorohekemaikukū
lyoh	reoapplicative
ps6h	reoantipassive
tfuh	āhuatangacontinutive
nr6h	hurunecessitative
pr6h	participlehāngū
sy6h	raraexistential
qyih	luminous
gluh	tausingulative
kwuh	roanganui
xyah	kupumahimahikotahi
vlih	tohuinetoru
djah	participlehakari
m6	nuiotetaonga
ti7	matūrikitūhonohono
f6	tūtahiepenthetic
tli7h	hekemaimamaokukū
si_	takepostpositional
l6	whakaaetangaallocutive
k6	āhuatangaauau
bzih	tūpoutohatoha
tu7	māngitautata
vo	kupumahikatuhia
ki7	participlehāngūmua
ta_	takeAngawāhi
