hnit	የሌለው
hcip	ዕጩገጽታ
kwin	በመስጠት
tsit	ቆሟል
pyac	ቋንቋ
hsus	ሳምንት
hcup	አዳራሽ
cyap	ብለህታስብ
tfin	የተወለደ
fyat	ፍርድቤት
hnip	gnomicገጽታ
tsak	አክብሮት
tlas	ዋጋ
syuc	ዛፍ
plat	ግድግዳ
cyak	መንግሥተሰማያት
twip	inchoativeገጽታ
mlat	ትእዛዝ
swit	JUSSIVEስሜት
mwas	ወር
hwaf	ፍጹም
tyap	ልምድ
ksac	ሁኔታ
syac	ትኩስ
hnuk	መስፍን
kwak	የተሸፈነ
tyuk	ምስራቅ
pwac	ድንጋይ
hkif	ክቡር
nyac	አቅጣጫ
cyis	ወምበር
tyuc	በመጠበቅላይ
tsun	መንደር
tyik	ተስማማ
hnum	ልልስሜት
slak	ስኬት
tsic	በመሞከርላይ
slat	ኮረብታ
hmik	ሙዚቃ
hkus	ጮኸ
hsip	ሰባት
hpaf	የግል
nwas	ዜና
tfac	ትዕይንት
fyan	የአትክልት
cwas	ጀመረ
hfik	distributiveመያዣ
lyac	መማር
syik	የፖለቲካ
clin	ሄንሪ
cyin	ውሸት
tsas	ጣለ
cyik	ሥልጣን
tlap	ወለል
cyam	በጋ
tcut	ሃይማኖት
tcap	ማምለጥ
hlut	ደራሲ
pyun	ብናማ
tcuk	ሕመም
swan	ምንጭ
hmun	ለስላሳ
kyun	ማዕዘን
nyak	የንግድምልክት
tsis	ፍትሕ
psas	ምርት
cyaf	ሳቅ
hwut	መርሳት
hyup	አውሮፓ
hwap	ስምት
psak	እግረ
kyap	በጣምአስደንጋጭ
pyic	ያስፈልጋል
hmim	መካከለኛ
hsaf	እስትንፋስ
hmis	ጥበበኛ
hsum	የባለቤትነትንማድረጊያ
ksat	ደስየሚያሰኝ
ksit	መቃብር
tsap	ደሴት
kyam	ሠፈር
tcum	ነካ
cyun	ሀብት
psic	ዳርቻ
tyun	ጎራ
mwit	commissiveስሜት
tlut	ዲግሪ
myit	ክረምት
kfan	ምግባር
slac	ሩጫ
myin	ደቂቃ
tyip	ሊመራ
klas	ብርጭቆ
pfat	ቦርድ
cyic	ከንቱ
swam	ጉዳዮች
syam	አስተማማኝ
tsut	ሐኪም
hlip	completiveገጽታ
kcas	ጨለማ
nyun	ሙቅ
hpuc	ጠጣ
tlam	ለምሳሌ
hfun	ቁጣ
tsik	ቢሆንም
tsam	በቀጥታ
hmup	ባርኔጣ
klak	ውሻ
slin	ብር
swac	አገልጋይ
kcam	ኩራት
pyik	ባቡር
myut	የሞራል
syak	ያስገቡ
swat	ሰይፍ
kyuk	ጥቃት
clac	ጤና
tyaf	አንቀጽ
swic	ማኅበራዊ
tfit	ተመላሽገንዘብ
hkaf	ባለሥልጣን
pcas	መልከትአደረገ
nyam	ክብር
tfat	አስራሁለት
pcut	ተሳታፊ
pwin	የወይንጠጅ
mwat	ጣዕት
fyac	ብረት
syap	ማሰራጨት
myap	ንግድ
hyum	በመጠቀም
fwak	ዳኛ
klat	የሻለቃው
twap	cessativeገጽታ
kcic	ሁሉንለማወቅየሚቸኩል
kwic	የውጭ
hnif	intensifier
myun	ጠቃሚነት
tlic	በመጨረሻ
cyuk	አንገት
syut	ነጻነት
pfan	ጎኖች
kyuc	ደረቅ
pcap	ወደጎን
tfak	የማስረጃ
tcik	የማስረጃጉዳይ
twun	ሩቅ
tyis	እድገት
nyap	ጠባብ
plit	ሕንፃ
hpif	ገጽ
pwic	ይዛ
syic	መከፋት
tsip	ኃጢአት
syim	የታመመ
tcis	ታማኝ
pcun	ባንክ
ksap	መቀበል
lyam	ዥረት
tcaf	በጥንቃቄ
kwac	ጆሮ
hpup	ዳቦ
kcut	መረጠ
nwam	እንስሳ
hsup	zoicፆታ
nwit	eventiveስሜት
tcim	ተመሳሳይክስተትምልክትማድረጊያ
tlik	ተባዢመያዣ
kyus	መስቀል
hmus	ወፍራም
kfat	የሚደፍር
nwat	እያደገ
myic	ዝናብ
hpum	ፊት
swut	ቅዱስ
clis	ሀምሌ
mwun	ሞድ
hfas	ፋይል
cwac	ትከሻ
kwat	ምቾት
nwac	ማንኛውምሰው
tcip	የተፈለገውን
kfac	ሣር
hmuk	መሳል
plin	ቀዳዳ
kwun	ሰኔ
mlik	ዓሣ
klin	ዋና
pfut	ጡት
twam	የይገባኛልጥያቄ
fyin	ወጭ
nlit	የአንተ
mlin	ሚሊዮን
pyut	ጸለየ
hluk	ደክሞኝል
ksut	መግደል
cyut	ጥላ
psin	ሚዛን
kcis	ግራጫ
pyam	ብርቱ
mwac	ደስተኛ
klam	በመንገር
ksam	ብሔራዊ
hfip	ደካማ
klik	ሸለቆ
hkum	በግምትስሜት
clas	ቢጫ
cyuc	ሙቀት
mlac	አጽም
syip	እኩል
pwak	ሳጥን
tcif	ጫፍ
psip	መሠረታዊ
ksik	ያስከተለዉነገር
tsim	ወቅት
flan	ሳይንስ
pcam	በግልጽ
kcun	ፈለፈለ
ksuk	አጎት
mlit	ዝርዝር
pcik	አደገኛ
kwas	ነሐሴ
hluc	ዝነኛ
klit	ያልታወቀ
flak	የታወቀ
fyit	የተለመደመዝገብ
lwat	አንባቢ
plun	እየሄዱ
twas	ሁለትግዜ
pcis	ቄስ
fyas	ቆስለዋል
nlat	ቤተመንግሥት
myuk	ሞኝሰዉ
pfak	ወደደ
tcuf	ዘጠኝ
cwap	ርኅራኌ
plac	ፍንጥቅ
pyap	ቅድሚያ
lyic	የለበሰ
hcum	ጫጫታ
lwit	ሥነጽሑፍ
tsuk	ማዕረግ
hfup	አውሎ
kcik	ኪስ
nwap	ህዳር
tyim	ታህሳስ
psaf	አለመገኘት
nlac	የሕዝብብዛት
kyaf	አመሰግናለሁ
slis	ተከታታይ
pyaf	ወፍ
mlak	ባለቤት
kwut	ካፖርት
hwuc	ግንኙነት
pyis	በፍጥነት
twuc	ጪስ
nwak	ጥር
mlic	መኪና
tlis	ጥርስ
ksun	እየነደደ
clam	ኀፍረት
klaf	ጥራት
clit	ቀለበት
fyak	ሐረግ
fyam	ሐረግምልክትማድረጊያ
kwap	አራትማዕዘን
hwip	እሁድ
psis	ሥነግጥም
pwut	ያወጣው
kyim	ለመግዛት
clic	መስኮች
pyip	ሚያዚያ
kfap	ጥቅምት
psut	ነገሮች
kcuc	መራራ
nlap	ባሪያ
hsok	የተፈታ
htet	ጽሑፍ
hbat	መጥፎ
hrit	ክሬዲት
hzit	ዋናመለያጸባያት
hpet	አስራአምስት
krac	ጨካኝ
hduc	አፈር
hrik	ተግባራዊ
hron	ቀለም
hnus	አፍንጫ
hric	የወዳጅነት
srik	አቅርቦት
hten	ትናንትና
tlet	የተካረረhesternal
slap	የቀሩት
hban	መልበስ
hdat	ዕውር
fran	ዝምብ
hdan	ዲያብሎስ
htec	ቀስበቀስ
hmon	ተልዕኮ
cran	መሥዋዕት
hran	ኅሊና
hmos	ሚኒስትር
nrit	ኃይል
hcet	ጥላቻ
hset	መሃል
hrin	ምክንያታዊጾታ
hcot	ይደሰቱ
hrip	አጭር
htep	አምልኮ
hcif	ቆዳ
hrat	ጣራ
kran	አክሊል
hkon	ቤተመንግስት
tran	ተስፋመቁረጥ
hmif	ማይል
trin	ክበብ
hgin	እስርቤት
hkop	ሲኒ
hcen	አባል
swin	የእርስበርስ
hrac	የትም
hris	ብጁ
hbin	በመሆን
hmot	ሥጋ
hdut	ወተት
hwen	vegetalጾታ
nran	ብርቅ
hbac	ያክስት
crut	ድልድይ
hsoc	አክሲዮን
hsom	ጨው
nris	ንጹሕ
hbit	ማስወገድ
crin	አድናቆት
rwin	ንግሥት
hgut	ተጐዳሁ:
hdas	ዳንስ
hnot	ሆቴል
hdin	ሙላ
hton	እሥረኛ
hdak	ሱቅ
hlet	ደረጃ
hson	ይቅርታ
hgek	ሰዶማውያን
hras	አሸዋ
hsep	መስከረም
hbic	ጥፋት
hlen	ፈቃድ
hcon	በበቂ
hgit	ምስክር
kfon	ወጥቤት
hbak	መሸጥ
tlim	ማከም
hsot	ፍጥነት
kyut	ኮምፕዩተር
hnen	ዘለዓለማዊ
htek	ቤተመጻሕፍት
hzan	የያዘ
hbis	መሠረት
hbun	መደናገር
kcus	ወጥቤትሴት
hgat	ምድረበዳ
hwus	መሳም
hbif	በረዶ
hbot	ኳስ
hrut	እሴት
hdit	benedictiveስሜት
hdis	ጥፋተኛ
hjan	ቅጣት
plis	ፖሊስ
hgan	ደብቅ
hsen	የጥናትጉዞ
nrin	ደንቆሮ
hyen	ደመና
frif	የካቲት
hdik	በሽታ
hnek	ተነሳሽነትመያዣ
hbam	አክስት
hmen	ትሑት
hdip	ዘግይተዋልተተኳሪነው
prat	ሪፖርትየማስረጃ
hdet	እኩልሌሊት
hjit	ጣት
hmoc	አንድቦታ
pran	ጋዜጦች
kcec	ክልል
hken	ከጥቂትጊዜበፊት
hloc	ዱብ
hrak	ሠራተኞች
htes	ትኩር
rwan	ሽልማት
hdon	ለገሠ
htot	ግምባር
hnet	መልአኩም
hdun	ነጠላ
croc	ስሕተት
hlon	ንጋት
hyec	በግ
hjin	ትዕግሥት
hrec	referential
mran	በቆሎ
htos	አብዛኞቹ
hcos	እርምጃዎች
hkoc	አልፎአልፎ
hlif	ትርፍ
clak	ሱካር
hjat	የሰውዘር
tram	ክፈፍ
hdic	ዲስክ
hkok	ብቸኛ
srat	ሠዓሊ
crak	ዉበት
hmet	ኢሜይል
hden	ዉሳኔ
gran	ገዢ
crac	ቅርንጫፍ
hjac	ታላቅፍላጐት
hdim	ተጋቦትስሜት
hcok	ፈጠነ
hyet	ዘይት
pwap	ፒፓ
trat	እትም
tcot	ጠንካራጉዳይ
hdoc	ወይኔ
hren	ንግግሩንዐውደ-ጽሑፍ
tcon	ቀትር
krin	የተሳፉሪዎችመቀመጫ
plam	ማንቂያ
hnes	በቀላሉየሚደነግጥ
tcen	ማስተዋል
hsek	ገጽታ
plik	አግባብነትያለው
slik	ሐር
hfen	በመቶ
hgen	ወኪል
hnon	ኅብረት
crik	ሲኦል
tcet	ጉድለትያለበት
mrat	የተደባለቀ
hdam	admonitiveስሜት
hgac	የጋለፍላጐት
htoc	እንደምንም
hdac	ምክር
nwin	ሕገመንግስት
srit	መሣሪያ
hret	በጥብቅ
nlin	መስመርላይ
hzat	የባሕርመንተራፉት
klic	ኮሌጅ
hkek	ጅራት
nric	ትዉልድ
hgic	የተሰበሰበ
hgak	ድመት
trit	ቀጥተኛየማስረጃ
tyot	ዉል
hnok	ይዘቶች
crit	የተተወ
slen	አስራአንድ
srin	የተፈጥሮስሜት
hpok	ጎሳ
hyot	ሰግተውስሜት
cric	መጠጊያ
hruc	ባለጌ
cwin	ግልቢያ
hzak	ተንቀጠቀጠ
dyit	ኢንድስትሪ
hpec	ሞያ
nras	ሞግዚት
hcec	ትምህርት
hbut	ጫማ
hmec	ግልጽያልሆነ
twot	ሥራ
crat	ቅዳሜ
hkot	ችሎታ
hnec	የጸሐይዋብርሃን
hwuf	መበለት
cren	የፈሰሰው
nrat	ኮከብ
hget	እንግዳ
hbik	ይባርካችሁ
brin	ውስጣዊ
hpot	ይገኛል
trac	መቋቋም
prac	ሊሆኗቸው
hcoc	ባዶ
hpon	ክፍለሀገር
hwim	ሥልጣኔ
dwan	ሰቀለ
cwok	ድንጋጤ
hdok	መንዳት
crun	መዝገብ
hzik	ዘር
hrot	የተካረረባለፉትየቅርብጊዜ
hket	የነቃ
hcek	የቤትዕቃ
hrop	ገመድ
mrac	አደጋያለበትጉዞ
byit	በዓል
trak	ዓመታዊ
hzin	በደቡብ
sric	ሥነሥርዓት
clik	አደን
trap	ነጻአሳቢ
hrim	ክርስትና
hrus	ልዑልት
blat	መሠዊያ
cyon	በጣምትንሽ
hwep	የድር
krat	ካርዲናል
tris	ሐምራዊ
kcot	ይሰበስባል
hben	ምርጫ
trik	ሰክሮ
kfit	አሳንሰር
tcec	መለዋወጥ
nrik	ጠቃሽ
grat	ንጉሰነገስት
dran	ማስተዳደር
hpen	ከዚህቀደም
cluk	ፉንጋ
nrac	የማይጐዳ
ryin	ልምምድ
hrun	ጥቅል
nwic	ኢንች
slit	ተኰሰ
gzat	ጋዜጣ
krot	መቁረጥ
drit	ጢም
hzis	ዕንባ
hdap	አስራስምንት
sris	ታሪካዊ
mrut	ጠቅላላ
nyik	ጭቃ
bran	ሙሽራ
drat	የተመካው
djan	በጣምረጅምፍጡር
glat	ቀለል
hpoc	በልግ
pras	መጋረጃ
hgot	ስብሰባ
tret	ትያትርቤት
tras	ማነጻጸር
rwit	ተወዳዳሪ
hfon	ፈጠረ
klot	አሠልጣኝ
hmum	ቀልደኛነት
drac	ንግግር
rwas	ረጅምታሪክ
tset	በቀል
hdot	demonstrativedistal
ryut	ቀናተኛ
hwon	ግብዣ
byat	የሚቃጠል
flac	ብዉታ
prot	የቁም
crek	እንመክራለን
htok	ጥል
htop	እርግማን
prit	imprecativeስሜት
hces	ረዳትየሌለዉ
klup	ድላ
hnos	ጎርፍ
dwin	ግዴለሽነት
prin	አድማስ
mrit	assumptiveስሜት
tcoc	ሾጣጣ
hcom	መስማማት
grit	ነጐድጓድ
tlot	ሕፃንነት
hgik	ጉልበት
hwes	አእምሮዉየሳተ
hzac	የጋራ
hsec	ሶፍትዌር
tson	ተቋማት
ryit	ደረሰኝ
dlin	ተግሣጽ
slip	የዉስጥልብስ
klon	መዞር
hfim	ገበሬ
hpom	መድረክ
cyen	ተማሪ
hgec	ዋሻ
hroc	ወግ
srac	ማስገባት
ryat	አሳዛኝ
kcen	ድንግል
hbap	መሰነባበት
krik	መንቀፍ
krap	ጥጥ
fwat	ሐኪምቤት
kcet	ኪራይ
hgas	ጋዝ
pfin	የማይቀር
dlit	ቅጠል
ryan	ትርጉም
sran	የቀብር
mrin	ዱቄት
hram	የፍቅርስሜትየሚሰጥ
dlan	ዶላር
hzas	ይሳለቁ
hsos	አስራስድስት
klen	ቅኝግዛት
gyin	ክንፍ
hsif	አንበሳ
cluc	መሠሪ
prip	አዘገጃጀት
hzut	ጭጋግ
dwat	መድሃኒት
krit	እንዲገመግሙ
sras	የወፍጎጆ
hses	አስራአራት
brat	መቃወም
flat	አሲድ
hjic	ማለትም
slic	የጦርመሣሪያ
hbuc	ተጠቃሚ
tron	ብርቱካናማ
byan	ሰዉነትመጣጠብ
hrif	በሥልጣኔወደኋላየቀረ
tlip	ለመመስረት
blan	ቅርጫት
kris	ጸሐፊ
hyon	ይህበእንዲህ
tren	ዛሬ
dlat	የተካረረhodiernal
hzic	መርዝ
tfic	ጠመንጃ
tlen	የፈጠራችሎታ
hlim	የአየርሁኔታ
dyat	የትዳር
kcon	መገለጥ
dlac	ማጠብ
krak	አመነ
hbas	ትርኪምርኪ
hkec	ከሰል
hrek	እነበረበትመልስ
hkos	ታንኳ
hwif	ምክትል
tric	ጊዜያዊ
hdep	delimitativeገጽታ
mwak	ምሰሶ
ksot	አጥንት
hnoc	ሰኞ
nlas	ማክሰኞ
brac	እሮብ
frap	ፌዴራል
pfit	ተወካይ
pcoc	ፖል
lyen	የተልባ
swak	ሰጠመ
pcen	ፕሬዚዳንት
brit	ደሚ
hwec	ከበባ
hwet	ሆድ
hlos	ፎቅ
hbon	የተለያዩ
pcon	ነሐስ
hsem	ከፍተኛጉባኤ
lwac	ርካሽ
tsos	ተቃወመ
kwen	ብቸኛሰው
trun	የአዉሮፕላንማረፊያናማነሻቦታ
trut	ሐውልቱ
hrap	መድፈኛ
hgap	ያዘ
trot	ትኩሳት
grin	አቅራቢያ
hjak	አቀፈ
hpek	አከተ
hlus	አጋዘን
hwos	መኝታቤት
tsuc	ቁጥቋጦ
pcuc	ለቀቀ
cris	ወራሽ
clun	ባሉጥ
hpes	የማያስደስት
nlet	ሙሉያልሆነ
hrom	ፕሮግራም
pyon	ፒያኖ
swet	አሳመነ
dric	የማይታይ
tyen	በደንብአልታወቀም
hruk	የጭካኔ
frat	የተመደበ
hyoc	ፈተና
hlep	telicገጽታ
nrot	ዓለምአቀፍ
nret	በኃይል
hfif	ፈላስፋ
pfic	መወከል
hmek	ስሱ
hfec	ደህንነት
myik	ዓሣየማጥመድ
truc	አትስረቅ:
tcop	ከንፈር
rwic	አረጅቶከሥራሰናበተ
htom	ኤኮኖሚ
glan	የሥዕልማሳያአዳራሽ
pren	ትይዩ
hlek	atelicገጽታ
nrak	አህጉር
truk	አንኳኳ
hjim	ሌጆቻቸውንስሜት
rwat	እኩልለእኩል
hcep	ሕዋስ
dyan	እንቁላል
jrat	ሰዉሰራሽ
nren	መሪነት
ksic	ቀውስ
tsoc	በመፈለግላይ
lwan	ምሳ
hpos	ዝግባ
hcuf	ገፉ
tcus	ከሰሰ
pset	ማራዘም
hkep	መዳብ
swis	መርከበኛ
prim	ንጉሠነገሥታዊ
trip	ጅራፍ
cras	ሸሚዝ
swap	ጠረገ
syet	ንድፍ
htof	ሌባ
clen	ሰርጥ
kwit	ስብዕና
klok	ከልክማለፍ
hrok	የማሻሻያለዉጥ
hguc	ጥም
kcim	አስጊ
hpem	መዳፍ
psik	ተናጋሪ
frit	ምድራክ
cret	መከታተያዎች
mrak	ጦር
syen	ክፍለጊዜ
tcup	እርጥብ
hyek	መንገደኛ
trim	ቆርቆሮ
plak	አቤቱታ
hyok	ማዕዘን
hgam	ላም
hmok	ወፍጮ
jrac	ካርታ
kloc	አንገትጌ
gyit	ሆን
hbip	ቢራ
mlet	ከፈይ
lyap	አላግባብ
cwen	መንጋ
bwan	የእህትሴትልጅ
tses	አስራሶስት
jrit	ጥፉተኛአለመሆኑንገለጸ
nlak	የእጅጽሑፍ
sron	ተዋጊ
cruc	አርብ
broc	ብሩሽ
dlot	አውርድ
krim	ቅባት
pric	ቅጥነት
prut	ዳኞች
hgon	የቀዘቀዘ
sram	ቃልበቃል
pfot	ማሰሮ
hlot	የታቀደ
djin	መሐለቅ
hlok	ዘለለ
hpep	ፓም
hwot	ጠማማ
dlak	ተወያዩ
brik	ለደንበኝነት
nlis	መገልበጥ
hbet	ዉርርድ
pris	ቫይረስ
hjik	የእንግዳ
blit	የልጅሥራ
hjap	መጐናጸፊያ
tfik	ያንጸባርቃሉ
hdaf	ለማሳካት
hpop	ኦፔራ
kcaf	መደበቅ
kcoc	ክንድ
hrum	ጥገና
cyim	የሚያጠራጥር
dyic	የትምህርት
hgoc	ጉድጓድ
drak	መታወክ
plas	ጭብጭባ
byin	ሁለትዮሽ
hzap	ገዳምውስጥ
nlot	ታማኝነት
mrik	በሞተርየሚሠራ
hsop	በተሳካሁኔታ
crap	ማጥመጃ
kyek	ኬክ
nrut	አስተናገደ
syes	ጌታዬ
hjet	አስራሰባት
hjen	አንስታይ
hmom	ማር
hdec	ለማድረግባለመቻሉያዝናል
lwen	አፈታሪክ
slot	ምድጃ
frac	ዓመፀኛ
gwan	አበጠ
mruk	ማሻሻል
swot	አሮንቃ
zlan	ገቢ
hnem	አኒሜሽን
hdes	ቁሰልማሠሪያጪርቅ
prak	ሰበከ
frin	ያገርአካባቢ
hfet	ይቃወማሉ
cros	መዝምራን
ryon	ማስተዋልያለበት
tcos	አዝመራ
tsen	ሂደት
hwek	ተኩላ
nlik	የእምቢታመልስ
klap	መንጣፍ
dras	ይንቃል
prop	ለም
slim	ፊሽኪያ
hgis	የደረቀአይብ
krut	መንከስ
srot	አጀብ
bjan	ተዘዋወረ
nwen	የባሕርኃይል
myas	ሽፉን
kwaf	ማዳበር
twis	ታክሲ
pcip	እርሳስ
srap	አትክልት
sren	አሳየ
tlun	ሱሪ
hrup	ሙስና
nrip	ትንሽቁምሣጥን
srup	ሾርባ
jran	ቀዳጅሐኪም
bjat	አበል
gyat	ሰላይ
hlem	የማይጠነቀቅ
srak	ረቂቅ
kson	አነጋገር
cwis	ሐሙስ
sret	ከልብ
hraf	ትራፊክ
hres	ሥነሕንፃ
hsuf	ቆሻሻን
rwak	ቃየማለትድምጽ
twon	ጌጣጌጥ
hfus	መዳን
hkom	ኮድ
djat	አዳኝ
nlut	በራሪጽሑፍ
hsef	እባብ
mris	ዴሞክራሲ
bric	ባትሪ
mlam	ሰም
zran	ማጋራት
cron	ደስታ
hzen	ዋኘ
traf	ድርድር
cwaf	ፖስታ
srip	ሲጃራ
mrot	ሞተር
