ni	infinitiv
glah	lăcomie
kseh	stareadespiritpozitivă
zrah	nemulţumire
dyoh	ideophone
syoh	awed
gwah	cazexessive
zlih	stareadespiritirrealis
zrih	timiditate
byih	adaptare
ryeh	marcatorpronume
fwah	frugal
bjah	extatic
kxah	calm
gvih	cazpegative
pxih	justificare
xrah	expiră
tfoh	deaziînainte
kxih	căinţă
ryoh	cazprosecutive
qyah	preocupare
r6	participiu
txah	timpultrecutdeladistanță
xrih	istoricătensionată
dxah	numărdublu
syuh	super
vweh	suprasolicitat
n6	stareadespiritevidentialsenzoriale
bweh	obsesie
xlih	vesel
txih	junghi
sluh	mulțumitdesine
txoh	mișcareînsus
xe	retrospectiv
pxah	prindeîncapcană
vwah	mișcareînjos
xyih	elită
fleh	încovoiat
psuh	cazsuperessive
syeh	satir
qi	tranzitiv
xruh	seînjosi
zwah	Wow
tr6h	mișcareînsusulrâului
qwah	timide
xlah	lanivelmondial
tyoh	intranzitiv
tluh	anticlimax
qa	marcatorderelevanțăactuală
kxoh	câineobosit
rwoh	ordinal
ve	vector
kyoh	kilogram
swoh	secvențială
pxeh	cazpartitive
txeh	augmentativ
dxih	predicativ
pxoh	cazprolative
pfoh	Expresiepro
blah	blazat
fyih	nonumane
xo	rolulactor
pc6h	numărdeîncercare
greh	cazcentrice
groh	dedeclanșaregol
dxoh	vocedemijloc
rweh	cazoblic
xwah	cazpacient
xu	prehodiernal
xroh	seuza
ks6h	cauzal
vi	valoarebinară
dleh	cazmodal
gjeh	altfel,dacă
xreh	colegdemunca
lwoh	cazlocativă
ml6h	Numărulmultal
gjih	galaxiedegen
qlah	genstele
bvih	cazabessive
dvah	cazadessive
je	cazagentive
t6	agentdedeclanșare
kxeh	lacaz
gxih	gencomună
tc6h	formularuldecitare
ts6h	număruldereferințătrans
ryuh	complementdirect
gveh	cazergative
pyoh	vocepasivă
qe	verbfinit
xwih	obiectprincipal
myoh	stareadespiritaforistic
vrih	particulăfinală
va	cazevitative
bveh	cazsubessive
dxeh	cazposedat
dvih	cazjuridico
tsa7h	cazantessive
dyeh	cazadverbial
mleh	animatedegen
pfeh	bucuriaempatica
xleh	gendevehicul
qlih	mineraledegen
xloh	substantivverbal
dreh	adoualimba
bvah	încredereînsine
qrah	schimbareadeeveniment
fo	evenimentdiferit
sl6h	crastinaltensionată
fyoh	vocereflexiv
bxih	universdegen
jlih	verbtranzitiv
kyeh	localitategen
txuh	gendecercetare
s6	artisticedegen
preh	declanșarepacient
sr6h	genabstract
nyoh	vorbireindirectă
zreh	cazexocentric
kfeh	perfectiverămassingur
jo	verbimpersonal
kxuh	substantivcolectiv
bu	cazabsolutive
qrih	genplanetar
kfoh	benefactivecore
kwoh	cazasociativ
pluh	cazsuperlativ
jrah	curentelectric
glih	genneînsuflețit
p6	stareadespiritpropositive
vrah	vocereciprocă
lyuh	clauzasuccesivă
gleh	încurândtimpulviitor
lyoh	voceaplicativă
ps6h	voceantipassive
tfuh	aspectcontinutive
nr6h	stareadespiritnecessitative
pr6h	participiupasiv
sy6h	clauzaexistențială
qyih	intensitateluminoasă
gluh	Numărulsingulative
kwuh	durataexcesivă
xyah	verbdeacțiuneunică
vlih	gradulsuperlativ
djah	participiuprezent
m6	cantitatedesubstanță
ti7	particulăconjunctiv
f6	morfemepenthetic
tli7h	viitorladistanțătensionată
si_	cazpostpositional
l6	acordlocutive
k6	aspectfrecventativ
bzih	pronumedistributiv
tu7	plutitoarenumărlitera
vo	verbafix
ki7	participiupasivfisalvat
ta_	cazdirecționallocativă
