hnit	ﺭﺪﺼﻤﻟﺍﺔﻐﻴﺻ
nlan	ﻕﺭﺯﺃ
psac	ﻦﻜﻤﻣﺮﻴﻏ
kcuk	ﺔﺳﺭﺪﻤﻟﺍ
kcit	ﺝﻭﺰﺘﻣ
kcak	ﻡﺎﻌﻃ
syis	ﻥﻭﺮﺸﻋ
tlac	ﺉﺩﺎﻫ
hcip	ﻞﻤﺘﺤﻣﺐﻧﺎﺟ
kwin	إعطاء
tsit	توقفت
pyac	ﺔﻐﻟ
hsus	ﻉﻮﺒﺳﺃ
hcup	ﺔﻋﺎﻗ
cyap	ﺐﺠﻋ
tfin	ﺪﻴﻟﺍﻮﻣﻦﻣ
fyat	ﺔﻤﻜﺤﻣ
hnip	ﺭﻮﺛﺄﻣﺐﻧﺎﺟ
tsak	ﻡﺍﺮﺘﺣﺍ
tlas	ﺔﻤﻴﻗ
syuc	ﺓﺮﺠﺷ
plat	ﺭﺍﺪﺠﻟﺍ
cyak	ﺔﻨﺠﻟﺍ
twip	inchoativeﺐﻧﺎﺟ
mlat	ﺮﻣﺃ
swit	jussiveﺝﺍﺰﻣ
mwas	ﺮﻬﺷ
hwaf	ﻝﺍﻮﺣﻻﺍﻦﺴﺣﺍﻲﻓ
tyap	ﺓﺮﺒﺧ
ksac	ﻑﻭﺮﻇ
syac	ﺝﺯﺎﻃ
hnuk	ﻕﻭﺩ
kwak	ﻰﻄﻐﻣ
tyuk	ﻕﺮﺸﻟﺍ
pwac	ﺮﺠﺣ
hkif	ﻞﻴﺒﻨﻟﺍ
nyac	ﻩﺎﺠﺗﺍ
cyis	ﻲﺳﺮﻛ
tyuc	انتظار
tsun	ﺔﻳﺮﻗ
tyik	ﻰﻠﻋﻖﻓﺍﻮﻳ
hnum	ﻞﻫﺎﺴﺘﻣﺝﺍﺰﻣ
slak	ﺡﺎﺠﻧ
tsic	محاولة
slat	ﻞﺗ
hmik	ﻰﻘﻴﺳﻮﻣ
hkus	ءﺎﻜﺑ
hsip	ﺔﻌﺒﺳ
hpaf	ﺹﺎﺧ
nwas	ﺭﺎﺒﺧﺃ
tfac	ﺪﻬﺸﻣ
fyan	ﺔﻘﻳﺪﺣ
cwas	ﺃﺪﺑﺍ
hfik	ﻲﻌﻳﺯﻮﺗﺔﻟﺎﺣ
lyac	ﻢﻠﻌﺗ
syik	ﻲﺳﺎﻴﺳ
clin	هنري
cyin	ﺔﺑﺬﻛ
tsas	ﺏﻮﺒﺼﻤﻟﺍ
cyik	ﺔﺌﻴﻫ
tlap	ﺔﻴﺿﺭﺃ
cyam	ﻒﻴﺼﻟﺍ
tcut	ﻦﻳﺩ
tcap	ﺏﺮﻫ
hlut	ﻒﻟﺆﻣ
pyun	ﻰﻨﺑ
tcuk	ﻢﻟﺃ
swan	ﻊﻴﺑﺭ
hmun	ﻢﻋﺎﻧ
kyun	ﻦﻛﺭ
nyak	علامةتجارية
tsis	ﺔﻟﺍﺪﻋ
psas	ﺝﺎﺘﻧﺇ
cyaf	ﻚﺤﺿ
hwut	ﻰﺴﻨﻧ
hyup	ﺎﺑﻭﺭﻭﺃ
hwap	ﺔﻴﻧﺎﻤﺛ
psak	ﺮﺑﺎﻋ
kyap	ﺐﻴﻫﺭ
pyic	ﺏﻮﻠﻄﻣ
hmim	ﻂﺳﻮﺘﻣ
hsaf	ﺲﻔﻨﺗ
hmis	ﻢﻴﻜﺣ
hsum	ﻲﻜﻠﻤﺗﺔﻣﻼﻋ
ksat	ﺔﻌﺘﻤﻣ
ksit	ﺮﺒﻗ
tsap	ﺓﺮﻳﺰﺟ
kyam	ﻢﻴﺨﻣ
tcum	ﺲﻤﻟ
cyun	ﺓﻭﺮﺛ
psic	ﻢﻋﺩ
tyun	ﻕﺎﻄﻧ
mwit	commissiveﺝﺍﺰﻣ
tlut	ﺔﻴﻤﻠﻌﻟﺍﺔﺟﺭﺪﻟﺍ
myit	ءﺎﺘﺸﻟﺍ
kfan	ﻙﻮﻠﺳ
slac	ﻞﻴﻐﺸﺗ
myin	ﺔﻘﻴﻗﺩ
tyip	ﺓﺩﺎﻴﻗ
klas	ﺝﺎﺟﺯ
pfat	ﺲﻠﺠﻣ
cyic	ﺎﺜﺒﻋ
swam	شؤون
syam	ﻦﻣﺁ
tsut	ﺭﻮﺘﻛﺩ
hlip	ﻝﺎﻤﻛﻷﺍﺐﻧﺎﺟ
kcas	ﻡﻼﻇ
nyun	ﺊﻓﺍﺩ
hpuc	ﺏﺮﺷ
tlam	ﻝﺎﺜﻣ
hfun	ﺐﻀﻏ
tsik	ﻢﻏﺭ
tsam	ﺓﺮﺷﺎﺒﻣ
hmup	ﺔﻌﺒﻗ
klak	ﺐﻠﻜﻟﺍ
slin	ﻲﻀﻓ
swac	ﻡﺩﺎﺧ
kcam	ءﺎﻳﺮﺒﻛ
pyik	ﺭﺎﻄﻗ
myut	ﻲﻗﻼﺧﺃ
syak	ﻞﺧﺩﺃ
swat	ﻒﻴﺳ
kyuk	ﻡﻮﺠﻫ
clac	ﺔﺤﺼﻟﺍ
tyaf	ﺓﺮﻘﻓ
swic	ﻲﻋﺎﻤﺘﺟﺍ
tfit	ﺩﺭ
hkaf	ﻲﻤﺳﺭ
pcas	ﺔﺤﻤﻟ
nyam	ﺪﺠﻣ
tfat	ﺮﺸﻋﻲﻨﺛﺍ
pcut	ﺏﻮﻄﺨﻣ
pwin	ﺬﻴﺒﻧ
mwat	ﻢﻌﻃ
fyac	ﺪﻳﺪﺣ
syap	ﺮﺸﻧ
myap	ﺓﺭﺎﺠﺗ
hyum	استخدام
fwak	ﻲﺿﺎﻘﻟﺍ
klat	ﻥﺎﻄﺒﻗ
twap	ﻒﻗﻭﺐﻧﺎﺟ
kcic	ﻲﻟﻮﻀﻓ
kwic	ﻲﺒﻨﺟﺃ
hnif	ﻒﻴﺜﻜﺗ
myun	ﺔﻴﻤﻫﺃ
tlic	ﺍﺮﻴﺧﺃ
cyuk	ﻖﻨﻌﻟﺍ
syut	ﺔﻳﺮﺣ
pfan	الجانبين
kyuc	ﻑﺎﺟ
pcap	ﺎﺒﻧﺎﺟ
tfak	ﺮﻫﺎﻇ
tcik	ﺮﻫﺎﻇﺔﻟﺎﺣ
twun	ﺪﻴﻌﺑ
tyis	ﻡﺪﻘﺗ
nyap	ﻖﻴﺿ
plit	ءﺎﻨﺑ
hpif	ﺔﺤﻔﺻ
pwic	يمسك
syic	ﻦﻳﺰﺣ
tsip	ﺔﺌﻴﻄﺧ
syim	ﺾﻳﺮﻣ
tcis	ﻕﺩﺎﺻ
pcun	ﻚﻨﺑ
ksap	ﻞﺒﻘﺗ
lyam	ﻯﺮﺠﻣ
tcaf	ﺔﻳﺎﻨﻌﺑ
kwac	ﻥﺫﺇ
hpup	ﺰﺒﺧ
kcut	ﺮﺘﺧﺃ
nwam	ﻥﺍﻮﻴﺣ
hsup	zoicﺚﻴﻧﺄﺗﻭﺃﺮﻴﻛﺬﺗﺲﻨﺟ
nwit	eventiveﺝﺍﺰﻣ
tcim	ﻪﺴﻔﻧﺙﺪﺣﺔﻣﻼﻋ
tlik	ﻒﻋﺎﻀﻤﻟﺍﺔﻟﺎﺣ
kyus	ﺐﻴﻠﺼﻟﺍ
hmus	ﻚﻴﻤﺳ
kfat	ﺓﺭﺎﺴﺟ
nwat	ﻮﻤﻨﻟﺍ
myic	ﺮﻄﻣ
hpum	ﺢﻄﺳ
swut	ﺱﺪﻘﻣ
clis	ﻮﻴﻟﻮﻳ
mwun	ﺔﺿﻮﻣ
hfas	ﻒﻠﻣ
cwac	ﻒﺘﻛ
kwat	ﺔﺣﺍﺭ
nwac	ﺪﺣﺍﻭﻱﺃ
tcip	مرغوب
kfac	ﺐﺸﻋ
hmuk	ﻝﺩﺎﻌﺗ
plin	ﺡﺎﺘﺘﻓﺍ
kwun	ﻮﻴﻧﻮﻳ
mlik	ﻚﻤﺳ
klin	ﻝﺎﻤﻟﺍﺱﺃﺭ
pfut	ﻱﺪﺛ
twam	ﺐﻟﺎﻄﻳ
fyin	ﻑﻭﺮﺼﻣ
nlit	ﻚﺑﺔﺻﺎﺧ
mlin	ﻥﻮﻴﻠﻣ
pyut	ﻰﻠﺻ
hluk	ﺐﻌﺘﻣ
ksut	ﻞﺘﻗ
cyut	ﻞﻇ
psin	ﻥﺯﻮﻟﺍ
kcis	ﻱﺩﺎﻣﺭ
pyam	ﻉﺎﺠﺷ
mwac	ﺽﺍﺭ
klam	تقول
ksam	ﻲﻨﻃﻮﻟﺍ
hfip	ﻒﻴﻌﺿ
klik	ﻱﺩﺍﻮﻟﺍ
hkum	ﺔﺑﺭﺎﻀﻤﻟﺍﺝﺍﺰﻣ
clas	ﺮﻔﺻﺃ
cyuc	ﺓﺭﺍﺮﺣ
mlac	ﺎﻳﺎﻘﺑ
syip	ﻱﻭﺎﺴﺘﻟﺎﺑ
pwak	ﻕﻭﺪﻨﺻ
tcif	ﺩﺎﺣ
psip	ﺃﺪﺒﻣ
ksik	ﺔﺠﻴﺘﻧ
tsim	ﻢﺳﻮﻤﻟﺍ
flan	ﻡﻮﻠﻌﻟﺍ
pcam	ﻭﺪﺒﻳﺎﻣﻰﻠﻋ
kcun	ﻒﻳﻮﺠﺗ
ksuk	ﻡﻻﺍﻮﺧﺍ
mlit	ﺔﻤﺋﺎﻗ
pcik	ﺮﻴﻄﺧ
kwas	ﺲﻄﺴﻏﺃ
hluc	ﻲﺒﻌﺷ
klit	ﻑﻭﺮﻌﻣﺮﻴﻏ
flak	ﻑﻮﻟﺄﻣ
fyit	ﻑﻮﻟﺄﻣﻞﻴﺠﺴﺗ
lwat	ﺉﺭﺎﻗ
plun	ﻲﺸﻤﻟﺍ
twas	ﻦﻴﺗﺮﻣ
pcis	ﻦﻫﺎﻛ
fyas	ﺢﻳﺮﺟ
nlat	ﺮﺼﻗ
myuk	ﻞﻘﻌﻟﺍﻞﺘﺨﻣ
pfak	ﺓﺎﺑﺎﺤﻣ
tcuf	ﺔﻌﺴﺗ
cwap	ﻒﻃﺎﻌﺗ
plac	ﺭﺎﺠﻔﻧﺍ
pyap	وضع
lyic	ﻱﺪﺗﺮﻳ
hcum	ﺞﻴﺠﺿ
lwit	ﺏﺩﺃ
tsuk	ﺔﺒﺗﺮﻣ
hfup	ﻡﺎﺤﺘﻗﺍ
kcik	ﺐﻴﺟ
nwap	ﻲﻧﺎﺜﻟﺍﻦﻳﺮﺸﺗ
tyim	ﺮﺒﻤﺴﻳﺩ
psaf	ﺏﺎﻴﻏ
nlac	ﻥﺎﻜﺴﻟﺍﺩﺪﻋ
kyaf	ﺍﺮﻜﺷ
slis	ﺔﻠﺴﻠﺳ
pyaf	ﺮﺋﺎﻃ
mlak	ﻚﻟﺎﻣ
kwut	ﻒﻄﻌﻣ
hwuc	ﺕﺎﻗﻼﻋ
pyis	ﺔﻋﺮﺴﺑ
twuc	ﻥﺎﺧﺩ
nwak	ﻲﻧﺎﺜﻟﺍﻥﻮﻧﺎﻛ
mlic	ﺔﻟﺁ
tlis	ﻥﺎﻨﺳﺃ
ksun	احتراق
clam	ﺭﺎﻋ
klaf	ﺓﺩﻮﺟ
clit	ﺔﻘﻠﺣ
fyak	ﺓﺭﺎﺒﻌﻟﺍ
fyam	ﺓﺭﺎﺒﻌﻟﺍﺔﻣﻼﻋ
kwap	ﻊﺑﺮﻣ
hwip	ﺪﺣﻷﺍ
psis	ﺮﻌﺸﻟﺍ
pwut	محتومة
kyim	ءﺍﺮﺷ
clic	مجالات
pyip	ﻞﻳﺮﺑﺃ
kfap	ﺮﺑﻮﺘﻛﺍﺮﻬﺷ
psut	الأجسام
kcuc	ﺓﺭﺍﺮﻣ
nlap	ﺪﺒﻋ
hsok	ﺽﺎﻔﻀﻓ
htet	ﺺﻧ
hbat	ﺃﻮﺳﺃ
hrit	ﻥﺎﻤﺘﺋﺍ
hzit	ﺕﺍﺰﻴﻤﻟﺍ
hpet	ﺮﺸﻋﺔﺴﻤﺧ
krac	ﺔﻴﺳﺎﻗ
hduc	ﺭﺎﺒﻏ
hrik	ﻲﻠﻤﻋ
hron	ﻥﻮﻠﻟﺍ
hnus	ﻒﻧﺃ
hric	ﺩﻭﺩﻭ
srik	ﺽﺮﻌﻟﺍ
hten	ﻖﺑﺎﺴﻟﺍﻡﻮﻴﻟﺍ
tlet	hesternalﺮﺗﻮﺗ
slap	ﻞﺸﻓ
hban	ءﺍﺪﺗﺭﺍ
hdat	ﺪﻨﻴﻠﺑ
fran	ﺮﻴﻄﻳ
hdan	ﺲﻴﻠﺑﺇ
htec	ﺎﻴﺠﻳﺭﺪﺗ
hmon	ﺔﻤﻬﻣ
cran	ﺔﻴﺤﻀﺗ
hran	ﺮﻴﻤﺿ
hmos	ﺮﻳﺯﻭ
nrit	ﺔﻗﺎﻃ
hcet	ﺔﻴﻫﺍﺮﻛ
hset	ﺰﻛﺮﻣ
hrin	ﻲﻧﻼﻘﻋﺚﻴﻧﺄﺗﻭﺃﺮﻴﻛﺬﺗﺲﻨﺟ
hcot	ﻊﺘﻤﺘﺳﺍ
