ni	动词不定式
kwuh	过多为期
xyah	单行动动词
vlih	最高级度
djah	当下分词
m6	量的物质
ti7	结缔组织粒子
f6	epenthetic词素
tli7h	远程未来紧张
si_	后置外壳
l6	训示协议
k6	重复型成对方面
bzih	分配的代词
tu7	浮点数
vo	动词后缀
ki7	过去被动分词
ta_	方位定向外壳
