ni	infinitive
jwih	អារម្មណ៍jussive
mwih	អារម្មណ៍បណ្ដែតបណ្ដោយ
sloh	ភាពជោគជ័យ
prih	ឯកជន
de	ករណីបែងចែក
tcoh	ការឈឺចាប់
ryah	សើច
mlih	ប្រាជ្ញា
ye	សញ្ញាសម្គាល់ម្ចាស់
ke	អារម្មណ៍គណៈកម្មាការ
creh	ការឥតប្រយោជន៍
mweh	ទិដ្ឋភាពទាំងស្រុង
nrah	ក្តៅ
nroh	កំហឹង
bwah	ថ្វីបើ
trah	មោទនភាព
mroh	តម្រា
slah	សុខភាព
syih	នៃ​សង្គម
pe	ទិដ្ឋភាពcessative
krih	ចង់ដឹងចង់ឃើញ
tfih	ពង្រីកកាន់
fe	ទីបំផុត
prah	ឡែក
trih	ភ័ស្តុតាង
nwah	ករណីភ័ស្តុតាង
srih	ការសោកស្តាយ
zo	យែនឌ័រzoic
nweh	អារម្មណ៍ព្រឹត្តិការណ៍
cwoh	សញ្ញាសម្គាល់ព្រឹត្តិការណ៍ដូចគ្នា
plih	ករណីគុណ
dwah	ចង់បាន
kcoh	ធុញទ្រាន់
drah	ពេញចិត្ត
lu	អារម្មណ៍ប្រថុយប្រថាន
frih	ការចុះបញ្ជីស៊ាំ
frah	រងរបួស
mruh	បន្លំភ្នែក
djih	ការអាណិតអាសូរ
krah	សូមអរគុណ
cruh	ការខ្មាស់អៀន
fyah	សញ្ញាសម្គាល់ឃ្លា
ryih	undefined
kruh	ជូរចត់
tyeh	អត្ថបទ
kreh	សាហាវ
tleh	hesternalតានតឹង
kfah	ការលះបង់
dyih	ស្អប់
cloh	យែនឌ័រសមហេតុផល
nloh	រីករាយជាមួយ
psah	ភាពអស់សង្ឃឹម
sleh	យែនឌ័ររុក្ខជាតិ
nruh	គ្មានកំហុស
drih	ការកោតសរសើរ
sroh	ការលើកលែងទោស
brih	មូលដ្ឋាន
kluh	ការយល់ច្រឡំ
bwih	អារម្មណ៍Benedict
klih	មានកំហុស
grih	ល្ងង់ខ្លៅ
nyeh	ករណីផ្តួចផ្តើម
nleh	ដែលមានចិត្ដរាបទាប
dlih	ការចាំបាច់ពន្យាពេល
proh	ភ័ស្តុតាងដែលបានរាយការណ៍
mloh	ស្រងេះស្រងោច
du	ឯកវចនៈ
jrih	ការអត់ធ្មត់
freh	យោង
kloh	ឯកោ
kroh	ការទាក់ទាញ
tcuh	ភាពរីករាយ
kcuh	អារម្មណ៍ដំបូង
xa	បរិបទសុន្ទរកថា
nreh	ប្រសាទ
pseh	ទិដ្ឋភាព
ge	ភ្នាក់ងារ
mu	អារម្មណ៍ការដាស់តឿន
byah	មហិច្ឆតា
pcoh	ហ្វូងមនុស្ស
treh	បង្ហាញភស្តុតាងដោយផ្ទាល់
yo	អារម្មណ៍បារម្ភ
cwuh	ឆក់
tloh	ថ្មីអតីតកាល
dlah	គុណនាមវិសេសច្បាស់លាស់
cluh	អាក្រក់
myuh	កំប្លែង
dyah	distalង្ហេញ
rwuh	ច្រណែន
troh	អារម្មណ៍imprecative
dzih	ព្រងើយកណ្តើយ
swuh	អារម្មណ៍ការសន្មត់
bzah	កំប្លែង
gwih	គឺ
dloh	hodiernalតានតឹង
dweh	ទិដ្ឋភាពសញ្ញាកំណត់ព្រំដែន
kweh	មនុស្សដែលផ្តាច់មុខ
truh	សីតុណ្ហាភាព
tfeh	ទិដ្ឋភាពtelic
lyeh	ទិដ្ឋភាពatelic
ru	អារម្មណ៍ការហាមឃាត់
kfih	ដូចកូនក្មេង
cyoh	គួរឱ្យសង្ស័យ
nluh	ភាពស្មោះត្រង់
cweh	អន្ទាក់
nwoh	ចលនា
sruh	រំភើប
ksoh	ផ្លូវភេទ
lyah	ខ្ជិល
mreh	ទិដ្ឋភាពmomentane
pceh	undefined
bjih	អតីតស្លាប់
pcuh	ភាពមិនច្បាស់លាស់
xi	ទិដ្ឋភាពធម្មតា
blih	bounded
tsuh	រឿងតូចតាច
fwih	មហាអស្ចារ្យ
grah	undefined
brah	ដោយបំពាន
cleh	undefined
sreh	ការចុះបញ្ជីជាផ្លូវការ
pfah	ប្រយោជន៍
droh	ភ័ស្តុតាងauditory
flih	ភ័ស្តុតាងinferential
sweh	ករណីsublative
ksuh	អារម្មណ៍ប្រកាស
pleh	ដែលមានសិទ្ធិ
psoh	undefined
be	ពាក្យសំដី
mwoh	undefined
kleh	undefined
glah	លោភលន់
kseh	អារម្មណ៍វិជ្ជមាន
zrah	ការមិនពេញចិត្ត
dyoh	ideophone
syoh	undefined
gwah	ករណីexessive
zlih	អារម្មណ៍irrealis
zrih	shyness
byih	ការបន្សាំ
ryeh	សញ្ញាសម្គាល់សព្វនាម
fwah	សន្សំសំចៃ
bjah	undefined
kxah	equanimity
gvih	ករណីpegative
pxih	កែតម្រូវ
xrah	undefined
tfoh	undefined
kxih	ការទន់ទាប
ryoh	ករណីកាត់ទោស
qyah	ការកាន់កាប់
r6	participle
txah	ពីចម្ងាយអតីតកាល
xrih	ប្រវត្តិសាស្រ្តមានភាពតានតឹង
dxah	ចំនួនប្រភេទdual
syuh	ទំនើប
vweh	undefined
n6	អារម្មណ៍ភ័ស្តុតាងញ្ញា
bweh	គិតមមៃ
xlih	រីករាយរួម
txih	undefined
sluh	undefined
txoh	ចលនាលំបាក
xe	ឡើងវិញ
pxah	undefined
vwah	ចលនាចុះ
xyih	វី​រៈ​ជន
fleh	ឆ្លុះ
psuh	ករណីsuperessive
syeh	undefined
qi	ការផ្លាស់ប្តូរ
xruh	ភ័យខ្លាច
zwah	វ៉ោ​វ
tr6h	ចលនាupriver
qwah	undefined
xlah	នៅទូទាំងពិភពលោក
tyoh	intransitive
tluh	anticlimax
qa	សញ្ញាសម្គាល់ពាក់ព័ន្ធបច្ចុប្បន្ន
kxoh	undefined
rwoh	បូរណសំខ្យា
ve	វ៉ិចទ័រ
kyoh	undefined
swoh	តគ្នា
pxeh	ករណីភាគថាស
txeh	ស្ទាប
dxih	predicate
pxoh	ករណីprolative
pfoh	ឃ្លាដែលគាំទ្រ
blah	blase
fyih	មិនមែនមនុស្ស
xo	តួនាទីតារាសម្តែង
pc6h	ចំនួនការជំនុំជម្រះក្តី
greh	ករណីចំណុចកណ្ដាល
groh	គន្លឹះគោលដៅ
dxoh	សំឡេងកណ្តាល
rweh	ករណីមួយoblique
xwah	ករណីអ្នកជំងឺ
xu	prehodiernal
xroh	ពាក់ចេញ
ks6h	មូលហេតុ
vi	តម្លៃគោលពីរ
dleh	ករណីម៉ូត
gjeh	ផ្សេងទៀតប្រសិនបើ
xreh	អ្នករួមការងារ
lwoh	ករណីlocative
ml6h	ចំនួនmultal
gjih	យែនឌ័រកាឡាក់ស៊ី
qlah	យែនឌ័រតារា
bvih	ករណីabessive
dvah	ករណីadessive
je	ករណីភ្នាក់ងារ
t6	គន្លឹះភ្នាក់ងារ
kxeh	ទៅនឹងករណី
gxih	យែនឌ័រជារឿងធម្មតា
tc6h	សំណុំបែបបទដែលបានអំណះអំណាង
ts6h	លេខឆ្លង
ryuh	វត្ថុដោយផ្ទាល់
gveh	ករណីergative
pyoh	សំលេងអកម្ម
qe	កិរិយាស័ព្ទកំណត់
xwih	វត្ថុបឋម
myoh	អារម្មណ៍gnomic
vrih	ភាគល្អិតចុងក្រោយ
va	ករណីevitative
bveh	ករណីsubessive
dxeh	ករណីpossessed
dvih	ករណីlative
tsa7h	ករណីantessive
dyeh	ករណីadverbial
mleh	ចលនាយេនឌ័រ
pfeh	អំណរសប្បាយដោយយល់អារម្មណ៍
xleh	យែនឌ័ររថយន្ត
qlih	យែនឌ័ររ៉ែ
xloh	នាមពាក្យសំដី
dreh	ភាសាទីពីរ
bvah	ទំនុកចិត្ត​លើ​ខ្លួនឯង
qrah	ការផ្លាស់ប្តូរនៃព្រឹត្តិការណ៍
fo	ព្រឹត្តិការណ៍ផ្សេងគ្នា
sl6h	crastinalតានតឹង
fyoh	សំឡេងបត់បែន
bxih	យែនឌ័រសកលលោក
jlih	ការផ្លាស់ប្តូរកិរិយាស័ព្ទ
kyeh	យែនឌ័រតំបន់
txuh	យែនឌ័រស្រាវជ្រាវ
s6	យែនឌ័រសិល្បៈ
preh	គន្លឹះអ្នកជំងឺ
sr6h	យែនឌ័រអរូបី
nyoh	សុន្ទរកថាដោយប្រយោល
zreh	ករណីexocentric
kfeh	ល្អឥតខ្ចោះកន្លងមក
jo	កិរិយាស័ព្ទដែរ
kxuh	នាមសមូហភាព
bu	ករណីដាច់ខាត
qrih	យែនឌ័រភព
kfoh	ស្នូលbenefactive
kwoh	ករណីសមាគម
pluh	ករណីខ្ពង់ខ្ពស់បំផុត
jrah	ចរន្តអគ្គិសនី
glih	យែនឌ័រគ្មានជីវិត
p6	អារម្មណ៍សំណើរសុំ
vrah	សំឡេងចំរាស់
lyuh	ឃ្លាបន្តបន្ទាប់
gleh	ភាពតានតឹងនាពេលអនាគតឆាប់
lyoh	សំឡេងអនុវត្តបាន
ps6h	សំឡេងantipassive
tfuh	ទិដ្ឋភាពcontinutive
nr6h	អារម្មណ៍necessitative
pr6h	participleអកម្ម
sy6h	ឃ្លាសព្វ
qyih	អាំងតង់ស៊ីតេluminous
gluh	ចំនួនsingulative
kwuh	រយៈពេលច្រើនហួសប្រមាណ
xyah	កិរិយាស័ព្ទសកម្មភាពតែ
vlih	សញ្ញាបត្រខ្ពង់ខ្ពស់បំផុត
djah	participleបច្ចុប្បន្ន
m6	ចំនួនទឹកប្រាក់នៃសារធាតុ
ti7	ភាគល្អិតភ្ជាប់
f6	morphemeepenthetic
tli7h	នាពេលអនាគតពីចម្ងាយតានតឹង
si_	ករណីpostpositional
l6	កិច្ចព្រមព្រៀងallocutive
k6	ទិដ្ឋភាពជាញឹកញាប់
bzih	សព្វនាមបែងចែក
tu7	ចំនួនចំណុចអណ្តែតទឹក
vo	កិរិយាស័ព្ទaffix
ki7	participleអកម្មកន្លងមក
ta_	ករណីទិសlocative
