ni	mastar
go	Gnomicgörünüş
tsoh	saygı
za	yenibaşlayangörünüş
jwih	emirruhhali
mwih	hoşgörülüruhhali
sloh	başarı
prih	özel
de	dağıtımdava
tcoh	ağrı
ryah	gülmek
mlih	bilge
ye	iyelikişaretleyici
ke	commissiveruhhali
creh	nafile
mweh	completivegörünüş
nrah	sıcak
nroh	öfke
bwah	inat
trah	gurur
mroh	manevi
slah	sağlık
syih	sosyal
pe	kesilmegörünüş
krih	meraklı
tfih	koyulaştırıcı
fe	nihayet
prah	birkenara
trih	ortada
nwah	ortadadava
srih	üzücü
zo	hayvanlaraaitcinsiyet
nweh	EVENTIVEruhhali
cwoh	aynıolayişaretleyici
plih	çarpımsaldava
dwah	İstenen
kcoh	yorgun
drah	memnun
lu	spekülatifruhhali
frih	tanıdıkkayıt
frah	yaralı
mruh	aptal
djih	sempati
krah	teşekkür
cruh	utanç
fyah	ifadeişaretleyici
ryih	preordained
kruh	acı
tyeh	metin
kreh	zalim
tleh	hesternalgergin
kfah	kurban
dyih	nefret
cloh	akılcıcinsiyet
nloh	zevkalmak
psah	umutsuzluk
sleh	bitkiselcinsiyet
nruh	masum
drih	hayranlık
sroh	Pardon
brih	baz
kluh	karışıklık
bwih	kutsamaruhhali
klih	suçlu
grih	cahil
nyeh	girişimdava
nleh	mütevazi
dlih	gecikmişzorunlu
proh	raporortada
mloh	melankoli
du	tekil
jrih	sabır
freh	tutarlılığına
kloh	yalnız
kroh	çekicilik
tcuh	coşku
kcuh	tümevarımsalruhhali
xa	söylevbağlam
nreh	sinir
pseh	görünüş
ge	ajan
mu	öğütruhhali
byah	hırs
pcoh	kalabalık
treh	direktortada
yo	endişeliruhhali
cwuh	şok
tloh	songeçmişgergin
dlah	kesinmakale
cluh	çirkin
myuh	mizah
dyah	merkezdenuzakinandırıcı
rwuh	kıskanç
troh	lanetruhhali
dzih	kayıtsızlık
swuh	assumptiveruhhali
bzah	alay
gwih	yani
dloh	hodiernalgergin
dweh	delimitativegörünüş
kweh	özelkişi
truh	sıcaklık
tfeh	bitmişlikgörünüş
lyeh	atelicgörünüş
ru	yasaklayıcıruhhali
kfih	çocukça
cyoh	şüpheli
nluh	bağlılık
cweh	tuzak
nwoh	canlandırılmış
sruh	heyecan
ksoh	cinsel
lyah	tembel
mreh	momentanegörünüş
pceh	pişman
bjih	eskimerhum
pcuh	belirsizlik
xi	alışılmışgörünüş
blih	sınırlı
tsuh	önemsiz
fwih	görkemli
grah	yaltaklanan
brah	keyfi
cleh	hayırsever
sreh	resmikayıt
pfah	yararlı
droh	işitselortada
flih	anlaşılanortada
sweh	sublativedava
ksuh	bildirenruhhali
pleh	ayrıcalıklı
psoh	yenilmez
be	sözlü
mwoh	hülya
kleh	perişanlık
glah	açgözlülük
kseh	olumluruhhali
zrah	memnuniyetsizlik
dyoh	idiophone
syoh	awed
gwah	aşırıdava
zlih	irrealisruhhali
zrih	utangaçlık
byih	adaptasyon
ryeh	zamirişaretleyici
fwah	tutumlu
bjah	kendindengeçmiş
kxah	ağırbaşlılık
gvih	pegativedava
pxih	hınç
xrah	süresidolan
tfoh	bundanböyle
kxih	pişmanlık
ryoh	prosecutivedava
qyah	kaygı
r6	ortaç
txah	uzakgeçmişgergin
xrih	tarihigergin
dxah	çiftsayı
syuh	Süper
vweh	çalıştırılıyordu
n6	duyusalortadaruhhali
bweh	takıntı
xlih	neşeli
txih	sancı
sluh	kendinitatmin
txoh	hareketyokuşyukarı
xe	geçmişeyönelik
pxah	tuzağadüşürmek
vwah	hareketyokuşaşağı
xyih	seçkinler
fleh	çekimli
psuh	superessivedava
syeh	satir
qi	geçişli
xruh	çömelmek
zwah	vay
tr6h	hareketakıntıyakarşı
qwah	unambitious
xlah	Dünyaçapında
tyoh	geçişsiz
tluh	düşkırıklığı
qa	akımilgiişaretleyici
kxoh	yorgunköpek
rwoh	sıra
ve	vektör
kyoh	kilo
swoh	ardışık
pxeh	birparçayıbelirtendava
txeh	büyüten
dxih	doğrulayıcı
pxoh	uzatandava
pfoh	profesyonelifade
blah	bıkkın
fyih	olmayaninsan
xo	aktörrol
pc6h	Denemesayı
greh	merkezidava
groh	hedeftetik
dxoh	ortases
rweh	eğikdava
xwah	sabırlıdava
xu	önhodiernal
xroh	aşınma-out
ks6h	ettirgen
vi	ikilideğer
dleh	tipikdava
gjeh	else-if
xreh	işarkadaşınız
lwoh	lokatifdava
ml6h	multalsayı
gjih	gökadacinsiyet
qlah	starcinsiyet
bvih	abessivedava
dvah	adessivedava
je	agentivedava
t6	ajantetik
kxeh	içindava
gxih	ortakcinsiyet
tc6h	alıntıform
ts6h	transrakam
ryuh	direktnesne
gveh	kılıcısızdava
pyoh	pasifses
qe	sınırlıfiil
xwih	birincilnesne
myoh	Gnomicruhhali
vrih	sonparçacık
va	evitativedava
bveh	subessivedava
dxeh	delidava
dvih	yasamadava
tsa7h	antessivedava
dyeh	zarfdava
mleh	hareketlendirmekcinsiyet
pfeh	empatiksevinç
xleh	araçcinsiyet
qlih	mineralcinsiyet
xloh	sözlüisim
dreh	ikincidil
bvah	özgüven
qrah	değişimarasındaolay
fo	farklıolay
sl6h	crastinalgergin
fyoh	dönüşlüses
bxih	Evrencinsiyet
jlih	geçişlifiil
kyeh	yercinsiyet
txuh	araştırmacinsiyet
s6	artistikcinsiyet
preh	sabırlıtetik
sr6h	soyutcinsiyet
nyoh	dolaylıkonuşma
zreh	exocentricdava
kfeh	geçmiştamamlanmabelirten
jo	kişiliksizfiil
kxuh	topluisim
bu	absolutivedava
qrih	gezegencinsiyet
kfoh	çekirdekbenefactive
kwoh	ilişkiseldava
pluh	üstündava
jrah	elektrikakım
glih	cansızcinsiyet
p6	propositiveruhhali
vrah	karşılıklıses
lyuh	ardışıkfıkra
gleh	yakındagelecekgergin
lyoh	uygulamalıses
ps6h	antipassiveses
tfuh	continuativegörünüş
nr6h	necessitativeruhhali
pr6h	pasifortaç
sy6h	varoluşsalfıkra
qyih	aydınlıkyoğunluk
gluh	singulativesayı
kwuh	aşırısüre
xyah	tekeylemfiil
vlih	üstünderece
djah	mevcutortaç
m6	miktararasındamadde
ti7	bağlayıcıparçacık
f6	epentheticmorfem
tli7h	uzakgelecekgergin
si_	İlgeçdava
l6	hitabeanlaşma
k6	tekrarlamabildirengörünüş
bzih	dağıtımzamir
tu7	kayannoktalısayı
vo	fiil-eki
ki7	geçmişpasifortaç
ta_	lokatifyönlüdava
