ni	ક્રિયાપદનુંમૂળરૂપ
fwah	કરકસરિયું
bjah	ઊર્મિલ
kxah	સ્વભાવનીસ્વસ્થતા
gvih	pegativeકેસ
pxih	ન્યાયી
xrah	નિવૃત્ત
tfoh	હવેથી
kxih	પરિતાપ
ryoh	prosecutiveકેસ
qyah	અગમચેતીએ
r6	કૃદંત
txah	દૂરનાભૂતકાળમાંતંગ
xrih	ઐતિહાસિકતંગ
dxah	ડ્યુઅલનંબર
syuh	સુપર
vweh	overworked
n6	સંવેદનાત્મકપુરવારમૂડ
bweh	વળગાડ
xlih	આનંદી
txih	શૂળ
sluh	સ્વસંતોષ
txoh	ગતિચઢાવ
xe	પાછલી
pxah	ફસાવવું
vwah	ગતિઉતાર
xyih	ચુનંદા
fleh	રૂપાંતરિત
psuh	superessiveકેસ
syeh	હવસખોરમાણસ
qi	સંક્રામક
xruh	નીચુંનમવું
zwah	વાહ
tr6h	ગતિupriver
qwah	unambitious
xlah	વિશ્વભરમાં
tyoh	અકર્મક
tluh	anticlimax
qa	વર્તમાનઅનુરૂપતામાર્કર
kxoh	કૂતરોથાકેલા
rwoh	કમવાચક
ve	વેક્ટર
kyoh	કિલો
swoh	ક્રમાંકિત
pxeh	પાડનારુંકેસ
txeh	વૃદ્ધિશક્તિદર્શક
dxih	predicative
pxoh	prolativeકેસ
pfoh	પ્રોમહાવરો
blah	કંટાળેલું
fyih	બિનમાનવ
xo	અભિનેતાભૂમિકા
pc6h	ટ્રાયલનંબર
greh	સેન્ટ્રીકકેસ
groh	ધ્યેયટ્રિગર
dxoh	મધ્યઅવાજ
rweh	ત્રાંસુકેસ
xwah	દર્દીકેસ
xu	prehodiernal
xroh	બહારપહેરવા
ks6h	કારક
vi	બાઈનરીકિંમત
dleh	મોડલકેસ
gjeh	બીજુંજો
xreh	સહકર્મીને
lwoh	locativeકેસ
ml6h	multalનંબર
gjih	ગેલેક્સીલિંગ
qlah	સ્ટારલિંગ
bvih	abessiveકેસ
dvah	adessiveકેસ
je	agentiveકેસ
t6	એજન્ટટ્રિગર
kxeh	કેસ
gxih	સામાન્યલિંગ
tc6h	સંદર્ભફોર્મ
ts6h	ટ્રાન્સઆંકડો
ryuh	સીધાપદાર્થ
gveh	ergativeકેસ
pyoh	નિષ્ક્રિયઅવાજ
qe	મર્યાદિતક્રિયાપદ
xwih	પ્રાથમિકપદાર્થ
myoh	માર્મિકમૂડ
vrih	અંતિમસૂક્ષ્મ
va	evitativeકેસ
bveh	subessiveકેસ
dxeh	કબજામાંકેસ
dvih	lativeકેસ
tsa7h	antessiveકેસ
dyeh	ક્રિયાવિશેષકકેસ
mleh	લિંગસજીવ
pfeh	empatheticઆનંદ
xleh	વાહનલિંગ
qlih	ખનિજલિંગ
xloh	મૌખિકવ્યાકરણ
dreh	બીજીભાષા
bvah	આત્મવિશ્વાસ
qrah	ઘટનાફેરફાર
fo	અલગઘટના
sl6h	crastinalતંગ
fyoh	કર્તૃત્વવાચકઅવાજ
bxih	બ્રહ્માંડલિંગ
jlih	સકર્મકક્રિયાપદ
kyeh	સ્થાનિકત્વલિંગ
txuh	સંશોધનલિંગ
s6	કલાત્મકલિંગ
preh	દર્દીટ્રિગર
sr6h	અમૂર્તલિંગ
nyoh	પરોક્ષભાષણ
zreh	exocentricકેસ
kfeh	છેલ્લાપર્ફેક્ટિવ
jo	સામાન્યક્રિયાપદ
kxuh	સમૂહવાચકસંજ્ઞા
bu	absolutiveકેસ
qrih	ગ્રહોનીલિંગ
kfoh	કોરલાભદાયી
kwoh	સમૂહનોકેસ
pluh	ઉત્તમકેસ
jrah	વીજપ્રવાહ
glih	નિર્જીવલિંગ
p6	propositiveમૂડ
vrah	પારસ્પરિકઅવાજ
lyuh	ક્રમિકકલમ
gleh	ટૂંકસમયમાંભવિષ્યમાંતંગ
lyoh	applicativeઅવાજ
ps6h	antipassiveઅવાજ
tfuh	continutiveપાસા
nr6h	necessitativeમૂડ
pr6h	કર્મણિકૃદંત
sy6h	અસ્તિત્વનેકલમ
qyih	તેજસ્વીતીવ્રતા
gluh	singulativeનંબર
kwuh	અતિશયસમયગાળો
xyah	એકક્રિયાવિશેષણ
vlih	ઉત્તમડિગ્રી
djah	હાજરકૃદંત
m6	પદાર્થજથ્થો
ti7	જોડાયેલીસૂક્ષ્મ
f6	epentheticરૂપાત્મકતત્ત્વ
tli7h	દૂરસ્થભવિષ્યમાંતંગ
si_	postpositionalકેસ
l6	allocutiveકરાર
k6	frequentativeપાસા
bzih	વિતરણસર્વનામ
tu7	અપૂર્ણાંકબિંદુનંબર
vo	ક્રિયાપદલગાડવું
ki7	છેલ્લાકર્મણિકૃદંત
ta_	locativeદિશાકેસ
