hnit	infinitief
hlis	zes
cwit	leven
cyan	vrede
myat	onthouden
tyic	natuurlijk
hfut	vallen
swas	service
hsap	behalve
pcit	copyright
hyim	leger
kyas	paard
plic	toekomst
pcak	westen
hpis	betalen
hyuk	rood
hwun	goud
twin	verlangen
plan	spelen
hpus	kantoor
syun	regering
kyic	kerk
htaf	kracht
hlun	lengte
kyin	bedrijf
kyis	papier
mlan	waarschijnlijkheid
hcim	vooral
cyas	beer
twac	venster
nyat	schoonheid
hcus	laatstgenoemde
htup	plicht
htif	afstand
pyas	voet
hlas	wild
ksin	groen
hmaf	moeite
myac	glimlach
hsim	slapen
kyit	geciteerd
kwik	quotativegeval
fwan	bezoek
slan	volgen
psit	aanwezigheid
hmic	zoet
hmuf	mond
hfin	rijk
tcam	vijand
psuk	gebroken
kcap	schip
pwan	inclusiefpersoon
hfic	invloed
tcuc	verschijnen
hkim	geheim
pyin	alsjeblieft
pwit	precativehumeur
pyit	beleefdregistreren
cwak	onheil
myak	maart
tcas	plaatsen
hlaf	verblijf
psat	inplaatsdaarvan
nlan	blauw
psac	onmogelijk
kcuk	school-
kcit	getrouwd
kcak	eten
syis	twintig
tlac	rustig
hcip	aanstaandeaspect
kwin	geven
tsit	gestopt
pyac	taal
hsus	week
hcup	hal
cyap	wonder
tfin	geboren
fyat	rechtbank
hnip	gnomischaspect
tsak	eerbied
tlas	waard
syuc	boom
plat	muur
cyak	hemel
twip	kiemaspect
mlat	opdracht
swit	jussivehumeur
mwas	maand
hwaf	perfect
tyap	ervaring
ksac	situatie
syac	vers
hnuk	hertog
kwak	bedekt
tyuk	oosten-
pwac	steen
hkif	edele
nyac	richting
cyis	stoel
tyuc	hetwachten
tsun	dorp
tyik	overeenkomen
hnum	toegeeflijkhumeur
slak	succes
tsic	proberen
slat	heuvel
hmik	muziek-
hkus	huilen
hsip	zeven
hpaf	privaat
nwas	nieuws
tfac	tafereel
fyan	tuin-
cwas	beginnen
hfik	verdelendgeval
lyac	leren
syik	politiek
clin	Henry
cyin	liggen
tsas	gegoten
cyik	autoriteit
tlap	verdieping
cyam	zomer
tcut	godsdienst
tcap	ontsnappen
hlut	auteur
pyun	bruin
tcuk	pijn
swan	lente-
hmun	zacht
kyun	hoek
nyak	handelsmerk
tsis	gerechtigheid
psas	produceren
cyaf	lach
hwut	vergeten
hyup	Europa
hwap	acht
psak	voorbijgaand
kyap	verschrikkelijk
pyic	nodig
hmim	medium
hsaf	adem
hmis	wijs
hsum	bezittelijkfiche
ksat	aangenaam
ksit	graf
tsap	eiland
kyam	kamp
tcum	aanraken
cyun	fortuin
psic	kust-
tyun	domein
mwit	commissivehumeur
tlut	mate
myit	winter
kfan	gedrag
slac	lopend
myin	minuut
tyip	lood
klas	glas
pfat	boord
cyic	ijdel
swam	zaken
syam	veilig
tsut	doctor
hlip	completiveaspect
kcas	duisternis
nyun	warm
hpuc	drinken
tlam	voorbeeld
hfun	boosheid
tsik	wrok
tsam	direct
hmup	hoed
klak	hond
slin	zilver
swac	knecht
kcam	trots
pyik	trein
myut	moreel
syak	invoeren
swat	zwaard
kyuk	aanval
clac	gezondheid
tyaf	paragraaf
swic	sociaal
tfit	terugbetaling
hkaf	officieel
pcas	oogopslag
nyam	heerlijkheid
tfat	twaalf
pcut	verloofd
pwin	wijn
mwat	smaak
fyac	ijzer
syap	verdelen
myap	handel
hyum	gebruik
fwak	rechter
klat	gezagvoerder
twap	hetophoudenaspect
kcic	nieuwsgierig
kwic	buitenlands
hnif	intensifier
myun	belang
tlic	eindelijk
cyuk	nek
syut	vrijheid
pfan	zijkanten
kyuc	droog
pcap	terzijde
tfak	bewijskracht
tcik	bewijskrachtgeval
twun	afgelegen
tyis	vooruitgang
nyap	smal
plit	gebouw
hpif	pagina
pwic	bezit
syic	triest
tsip	zonde
syim	ziek
tcis	eerlijk
pcun	bank
ksap	accepteren
lyam	stroom
tcaf	voorzichtig
kwac	oor
hpup	brood
kcut	kiezen
nwam	dier
hsup	Zoicgeslacht
nwit	Eventivehumeur
tcim	dezelfdeevenementfiche
tlik	multiplicatievegeval
kyus	kruis
hmus	dik
kfat	durven
nwat	groeien
myic	regen
hpum	oppervlak
swut	heilig
clis	juli
mwun	mode
hfas	file
cwac	schouder
kwat	comfort
nwac	iedereen
tcip	gewenst
kfac	gras
hmuk	trek
plin	opening
kwun	juni
mlik	vis
klin	hoofdstad
pfut	borst
twam	vordering
fyin	kosten
nlit	dejouwe
mlin	miljoen
pyut	bidden
hluk	moe
ksut	doden
cyut	schaduw
psin	gewicht
kcis	grijs
pyam	dapper
mwac	tevreden
klam	vertellen
ksam	nationaal
hfip	zwak
klik	vallei
hkum	speculatievehumeur
clas	geel
cyuc	warmte
mlac	stoffelijkoverschot
syip	even
pwak	doos
tcif	puntig
psip	beginsel
ksik	gevolg
tsim	seizoen
flan	wetenschap
pcam	blijkbaar
kcun	vervelen
ksuk	oom
mlit	lijst
pcik	gevaarlijk
kwas	augustus
hluc	populair
klit	onbekend
flak	vertrouwd
fyit	vertrouwdregistreren
lwat	lezer
plun	wandelen
twas	tweekeer
pcis	priester
fyas	verwond
nlat	paleis
myuk	dwaas
pfak	gunst
tcuf	negen
cwap	sympathie
plac	uitbarsting
pyap	zetten
lyic	geklede
hcum	lawaai
lwit	literatuur
tsuk	rang
hfup	storm
kcik	zak-
nwap	november
tyim	december
psaf	afwezigheid
nlac	bevolking
kyaf	bedanken
slis	serie
pyaf	vogel
mlak	bezitter
kwut	jas
hwuc	relaties
pyis	snel
twuc	rook
nwak	januari
mlic	machine
tlis	tanden
ksun	brandend
clam	schande
klaf	kwaliteit
clit	ring
fyak	uitdrukking
fyam	uitdrukkingfiche
kwap	plein
hwip	zondag
psis	poëzie
pwut	voorbeschikt
kyim	kopen
clic	velden
pyip	april
kfap	oktober
psut	voorwerpen
kcuc	bitter
nlap	slaaf
hsok	los
htet	tekst
hbat	slechtst
hrit	credit
hzit	Kenmerken
hpet	vijftien
krac	wreed
hduc	stof
hrik	praktisch
hron	kleur
hnus	neus-
hric	vriendelijk
srik	levering
hten	gisteren
tlet	hesternalgespannen
slap	mislukken
hban	slijtage
hdat	Blind
fran	vlieg
hdan	duivel
htec	geleidelijk
hmon	missie
cran	offer
hran	geweten
hmos	minister
nrit	energie
hcet	haat
hset	centrum
hrin	rationeelgeslacht
hcot	genieten
hrip	kort
htep	aanbidden
hcif	huid
hrat	dak
kran	kroon
hkon	kasteel
tran	wanhoop
hmif	mijl
trin	cirkel
hgin	gevangenis
hkop	kop
hcen	lid
swin	civiel
hrac	overal
hris	gewoonte
hbin	worden
hmot	vlees
hdut	melk
hwen	plantaardiggeslacht
nran	zeldzaam
hbac	neef
crut	brug
hsoc	voorraad
hsom	zout
nris	onschuldig
hbit	vermijden
crin	bewondering
rwin	koningin
hgut	tellen
hdas	dans
hnot	hotel
hdin	vullen
hton	gevangene
hdak	winkel
hlet	trap
hson	Pardon
hgek	homoseksueel
hras	zand
hsep	september
hbic	ruïne
hlen	licentie
hcon	voldoende
hgit	getuige
kfon	keuken-
hbak	verkopen
tlim	behandeling
hsot	snelheid
kyut	computer
hnen	eeuwig
htek	bibliotheek
hzan	bevattende
hbis	baseren
hbun	verwarring
kcus	koken
hgat	woestijn
hwus	kus
hbif	ijs-
hbot	bal
hrut	argument
hdit	zegeninghumeur
hdis	schuldig
hjan	straf
plis	politie
hgan	verbergen
hsen	expeditie
nrin	onwetend
hyen	wolk
frif	februari
hdik	ziekte
hnek	initiatiefgeval
hbam	tante
hmen	vernederen
hdip	vertraagdgebiedendewijs
prat	gerapporteerdbewijskracht
hdet	middernacht
hjit	vinger
hmoc	ergens
pran	pers
kcec	regio
hken	delaatstetijd
hloc	weemoed
hrak	personeel
htes	staren
rwan	beloning
hdon	schenken
htot	voorhoofd
hnet	engel
hdun	enkelvoud
croc	fout
hlon	dageraad
hyec	schapen
hjin	geduld
hrec	referentiële
mran	maïs
htos	meerderheid
hcos	maatregelen
hkoc	afentoe
hlif	winst
clak	suiker
hjat	mensheid
tram	omlijsting
hdic	schijf
hkok	eenzaam
srat	artiest
crak	betoveren
hmet	e-mail
hden	besluit
gran	gouverneur
crac	tak
hjac	enthousiasme
hdim	inductiefhumeur
hcok	haast
hyet	olie-
pwap	pijp
trat	afdrukken
tcot	vastestof
hdoc	Oh
hren	redevoeringcontext
tcon	middag
krin	cabine
plam	alarm
hnes	nerveus
tcen	observatie
hsek	aspect
plik	toepasselijk
slik	zijde
hfen	cent
hgen	agent
hnon	unie
crik	hel
tcet	defecte
mrat	gemengd
hdam	vermaninghumeur
hgac	ambitie
htoc	hoedanook
hdac	raad
nwin	grondwet
srit	instrument
hret	stevig
nlin	online
hzat	tij
klic	college
hkek	staart
nric	generatie
hgic	druk
hgak	kat
trit	directbewijskracht
tyot	verdrag
hnok	inhoud
crit	verlaten
slen	elf
srin	instinct
hpok	stam
hyot	beduchthumeur
cric	schuilplaats
hruc	onbeleefd
cwin	paardrijden
hzak	schudden
dyit	industrie
hpec	beroep
nras	verpleegster
hcec	onderwijs
hbut	schoenen
hmec	vaag
twot	activiteit
crat	zaterdag
hkot	hoedanigheid
hnec	zonneschijn
hwuf	weduwe
cren	schuur
nrat	ster
hget	gast
hbik	zegenen
brin	binnenste
hpot	beschikbaar
trac	weerstand
prac	ontlenen
hcoc	hol
hpon	provincie
hwim	beschaving
dwan	hangen
cwok	schok
hdok	aandrijving
crun	schat
hzik	zaad
hrot	recentverledengespannen
hket	wakker
hcek	meubilair
hrop	touw
mrac	avontuur
byit	feest
trak	jaar-
hzin	zuidelijk
sric	ceremonie
clik	jacht-
trap	liberaal
hrim	christendom
hrus	prinses
blat	altaar
cyon	klein
hwep	web
krat	kardinaal
tris	purper
kcot	verzamelen
hben	verkiezing
trik	dronken
kfit	lift
tcec	uitwisseling
nrik	definitiefartikel
grat	keizer
dran	administratie
hpen	eerder
cluk	lelijk
nrac	ongevaarlijk
ryin	opleiding
hrun	rollen
nwic	duim
slit	schieten
gzat	krant-
krot	snijdend
drit	baard
hzis	scheur
hdap	achttien
sris	historisch
mrut	bruto
nyik	modder
bran	bruid
drat	afhangen
djan	reusachtig
glat	eenvoud
hpoc	herfst
pras	sluier
hgot	bijeenkomst
tret	theater
tras	vergelijking
rwit	concurrent
hfon	vormen
klot	trainer
hmum	humor
drac	redevoering
rwas	roman
tset	wraak
hdot	distaleaanwijzend
ryut	jaloers
hwon	uitnodiging
byat	verbrand
flac	flash
prot	portret
crek	suggereren
htok	conflict
htop	vloek
prit	vervloekendhumeur
hces	hulpeloos
klup	club
hnos	overstroming
dwin	onverschilligheid
prin	horizon
mrit	assumptivehumeur
tcoc	steil
hcom	harmonie
grit	donder
tlot	kindertijd
hgik	knie
hwes	bewusteloos
hzac	wederzijds
hsec	software
tson	instellingen
ryit	ontvangst
dlin	discipline
slip	uitglijden
klon	revolutie
hfim	boer
hpom	platform
cyen	student
hgec	grot
hroc	traditie
srac	voorleggen
ryat	tragedie
kcen	Maagd
hbap	afscheid
krik	kritiek
krap	katoen
fwat	ziekenhuis
kcet	huur
hgas	gas-
pfin	onvermijdelijk
dlit	blad
ryan	vertaling
sran	begrafenis
mrin	meel
hram	romantisch
dlan	dollar
hzas	grap
hsos	zestien
klen	kolonie
gyin	vleugel
hsif	leeuw
cluc	sluw
prip	voorbereiding
hzut	mist
dwat	geneeskunde
krit	proeflezen
sras	nest
hses	veertien
brat	bezwaar
flat	zuur
hjic	namelijk
slic	wapen
hbuc	gebruiker
tron	oranje
byan	bad
hrif	primitief
tlip	vestigen
blan	mand
kris	secretaris
hyon	ondertussen
tren	vandaag
dlat	vanvandaaggespannen
hzic	vergiftigen
tfic	geweer-
tlen	talent
hlim	klimaat
dyat	stuurman
kcon	openbaring
dlac	wassen
krak	bekentenis
hbas	onzin
hkec	steenkool
hrek	herstellen
hkos	kano
hwif	ondeugd
tric	tijdelijk
hdep	delimitativeaspect
mwak	stapel
ksot	bot
hnoc	maandag
nlas	dinsdag
brac	woensdag
frap	federaal
pfit	vertegenwoordiger
pcoc	pool
lyen	linnen
swak	wastafel
pcen	president
brit	bloedig
hwec	belegering
hwet	maag
hlos	boven
hbon	afwisselend
pcon	messing
hsem	top
lwac	goedkoop
tsos	wedstrijd
kwen	exclusiefpersoon
trun	landen
trut	standbeeld
hrap	artillerie
hgap	arresteren
trot	temperatuur-
grin	buurt
hjak	omhelzing
hpek	pak
hlus	hert
hwos	slaapkamer
tsuc	struik
pcuc	ontlading
cris	erfgenaam
clun	eik
hpes	onplezierig
nlet	incompleet
hrom	programma
pyon	piano
swet	overhalen
dric	onzichtbaar
tyen	goedbekend
hruk	wreedheid
frat	toegewezen
hyoc	verleiding
hlep	telischeaspect
nrot	Internationale
nret	hevig
hfif	filosoof
pfic	vertegenwoordiging
hmek	gevoelig
hfec	welzijn
myik	visvangst
truc	stelen
tcop	lip-
rwic	terugtrekken
htom	economie
glan	galerij
pren	parallel
hlek	atelischaspect
nrak	continent
truk	klop
hjim	belemmerendhumeur
rwat	binden
hcep	cel
dyan	ei
jrat	kunstmatig
nren	inspiratie
ksic	crisis
tsoc	zoeken
lwan	lunch
hpos	pijnboom
hcuf	duw
tcus	vervolgen
pset	uitbreiden
hkep	koper
swis	matroos
prim	keizerlijk
trip	zweep
cras	overhemd
swap	vegen
syet	schetsen
htof	dief
clen	kanaal
kwit	persoonlijkheid
klok	overmaat
hrok	hervorming
hguc	dorst
kcim	dreigend
hpem	palm
psik	spreker
frit	drempel
cret	sporen
mrak	speer
syen	sessie
tcup	vochtig
hyek	reiziger
trim	blik
plak	klacht
hyok	hoek
hgam	koe
hmok	molen
jrac	kaart
kloc	kraag
gyit	opzettelijk
hbip	bier
mlet	fluweel
lyap	misbruik
cwen	kudde
bwan	nicht
tses	dertien
jrit	rechtvaardigen
nlak	manuscript
sron	krijger
cruc	vrijdag
broc	borstel
dlot	downloaden
krim	room
pric	toonhoogte
prut	jury
hgon	bevroren
sram	letterlijk
pfot	pot
hlot	gepland
djin	munt
hlok	sprong
hpep	appel
hwot	gedraaid
dlak	bespreken
brik	abonneren
nlis	overschrijven
hbet	inzet
pris	virus
hjik	gastvrijheid
blit	kinderachtig
hjap	gewaad
tfik	reflecteren
hdaf	bereiken
hpop	opera
kcaf	verbergen
kcoc	elleboog
hrum	reparatie
cyim	verdacht
dyic	leerzaam
hgoc	pit
drak	wanorde
plas	applaus
byin	binair
hzap	abdij
nlot	loyaliteit
mrik	mechanisch
hsop	geslaagd
crap	val
kyek	cake
nrut	vermaken
syes	mijnheer
hjet	zeventien
hjen	vrouwelijk
hmom	honing
hdec	helaas
lwen	legende
slot	fornuis
frac	rebel
gwan	zwellen
mruk	verbeteren
swot	moeras
zlan	verdienen
hnem	geanimeerde
hdes	dressing
prak	prediken
frin	landschap
hfet	zichverzettentegen
cros	koor
ryon	rationeel
tcos	gewas
tsen	processing
hwek	wolf
nlik	weigering
klap	tapijt
dras	verachten
prop	vruchtbaar
slim	fluiten
hgis	kaas
krut	beet
srot	escorte
bjan	dwalen
nwen	marine
myas	masker
kwaf	ontwikkelen
twis	taxi
pcip	potlood
srap	groente
sren	tentoonstellen
tlun	broek
hrup	corruptie
nrip	kabinet
srup	soep
jran	chirurg
bjat	toelage
gyat	spion
hlem	roekeloos
srak	abstract
kson	accent
cwis	donderdag
sret	oprecht
hraf	verkeer
hres	architectuur
hsuf	beschikking
rwak	barst
twon	ornament
hfus	herstel
hkom	code
djat	jager
nlut	nieuwsbrief
hsef	slang
mris	democratie
bric	accu
mlam	was-
zran	delen
cron	sensatie
hzen	zwemmen
traf	strip
cwaf	envelop
srip	sigaret
mrot	motor
swon	vrijwilliger
ryak	reactie
pfun	gedeeltelijk
blac	bagage
mret	ministerie
hjon	seksueel
kcok	bijl
dram	diamant
kren	afwisselen
tcek	echo
hdif	identiteit
tfas	ambassadeur
hfot	bestaat
lwas	lui
hmep	momentaneaspect
kfin	codering
mwin	denkbeeldig
hrem	straal
pram	beklimming
byac	kelder
mren	gedenkwaardig
swen	senaat
kras	kist
hgun	slikken
nlok	verwennen
ryic	agrarisch
gwin	schommel
srut	weide
hkes	complex
hfis	ontslag
frak	herhaaldelijk
hnom	samenzwering
hcop	kroeg
hlec	peper
mlot	melodie
zrat	kandidaat
proc	patroon
flik	vos
cyet	betreurde
hgim	schoorsteen
slet	haag
tcok	nauwkeurigheid
bjit	voormaligoverleden
brot	knop
bwat	deken
hdus	varken
gwat	ivoor
kret	extract
nwet	waarnemer
jwan	Laan
nwis	nagels
mwic	bij
bzat	acteur
gyan	zweet
zyit	uitvoerend
blic	illusie
pcet	onzekerheid
tsot	vouwen
bwit	grens
tres	spanning
hkof	consumptie
nyen	kreunen
hles	lijkenop
cyek	zak
hjis	naald-
gjan	fenomeen
prec	zichgedragen
drot	gecontroleerde
kcek	kromme
twic	kip
brak	vat
zwat	gewoon
clap	gewoonaspect
tsec	deskundige
bwin	indrukmaken
cwet	begrensd
hbek	bakker
zlin	olijf-
mron	busje
drin	wijden
psap	blootstellen
gjin	verjaardag
clut	hamer
cwun	geurig
twaf	triviaal
pcot	huisdier
krok	schedel
dlik	wetgevendemacht
cwic	gelukkig
srun	frons
crec	vernietigen
jlan	marge
kcip	kampioen
blin	miljard
ryik	chemisch
mlas	pols
flit	piloot
hzet	knoop
cwik	majestueus
twet	rok
mwik	wekelijks
tfis	technisch
tlon	voertuig
cram	vleiend
grac	versterken
kraf	kraai
trup	attribuut
hduk	haak
cruk	tijger
nrap	huishoudster
crot	snelweg
mlip	militie
hfoc	fotograaf
nres	integriteit
plos	plus
tfam	transparant
nlic	negentien
hwok	gekwalificeerd
nlen	opstel
fyic	doeltreffendheid
hwuk	uniek
hgok	organisch
flic	theologie
flot	vlotter
hboc	verplichten
hwoc	heks
syot	studio
cwip	Champagne
hbes	banier
lwic	scheiden
blot	bout
cwot	gevangenschap
cwam	ader
prik	passief
hfum	schuim
grik	grind
zrin	schort
gren	planeet
hfuc	verrijzenis
claf	plank
flas	ventilator
hjot	tropisch
hbim	arbitrair
krek	kwik
hbec	welwillend
tsaf	zelfmoord
pwas	plukken
plot	verslaggever
kfak	besteden
blak	balkon
hdos	vlek
kwis	klassiek
kcos	beschuldigen
psen	pensioen
kres	werkwoord
hzon	aap
srim	handtekening
glin	tegenzin
mlut	berucht
myot	importeren
fwac	oprichter
troc	toorts
hgaf	Grammatica
hyop	jacht
ksip	uitgestorven
sres	excursie
hnup	koepel
hzun	koppig
mric	spier
gjat	omvang
hros	wrijven
zrac	laf
tros	toast
myus	muis
dwac	dialoog
byak	geit
htef	kleermaker
hfek	floreren
dzan	opleggen
nyon	anoniem
zrit	formeelregistreren
pcos	sport-
hjec	smelten
dlas	verwijderen
mras	paraplu
mram	mineraal
cwut	wapenstilstand
hbok	eend
swun	zeep
dwak	pop
plif	villa
slon	hetnaaien
tfut	feliciteren
djac	verzoenen
hjas	onderdrukken
kric	konijn
kwot	geleider
gzan	garantie
clot	speler
ksek	insect
psam	houding
mwut	uil
htem	blijvend
clon	viool
dzin	inwoner
rwim	respectievelijk
hyof	gunstig
dron	draak
dwit	gehoor-bewijskracht
sroc	exporteren
hzot	beëindiging
djik	rondhangen
kfik	deksel
ryun	regulatie
hmes	burgemeester
rwac	hardware
sruk	circus
sros	minderheid
bzan	herrie
kset	orkest
bjon	spek
hjut	onbeperkt
tfen	verdedigen
zwac	nadeel
dyin	beraadslaging
myis	musicus
mlis	geestelijk
pret	ontoereikend
tsek	architect
hlom	citroen
ksos	hoest
crok	hoofdpijn
flin	vruchtbaarheid
mrun	timmerman
swec	toevallig
syuk	lepel
blun	ballon
tcep	krijt
fric	verfrissing
rwik	verticaal
rwen	voorkomen
flet	inferentiëlebewijskracht
pfac	uitgever
srek	azijn
tfun	tunnel
pwet	puzzel
gyik	wiskunde
fwot	vervagen
lwin	evenwichtige
jwin	lever
bwik	sublativegeval
hdup	onderdompeling
hnop	Monopoly
bwic	onderzeeër
ryen	achteloos
hcem	aardbeving
hbos	laboratorium
nrek	arbeider
ryim	ritme
nyic	interpreteren
dwas	ambassade
rwok	uitlokken
kram	onvermogen
ksim	verklarendhumeur
clok	chocola
pcec	bevoorrecht
nyis	kluizenaar
tyoc	toeval
grak	krassen
zlat	handschoen
hjuk	knielen
trif	aardrijkskunde
djit	systematisch
pson	onoverwinnelijk
mwis	investering
cwec	verbaal
hdek	seculair
blik	havik
sloc	psychologie
brap	stukje
jlat	piraat
dros	dosis
slam	Zalm
pwun	pudding
gwik	magnetisch
pcop	pomp
myen	evenzo
ksen	zuurstof
mrap	voorman
tfot	certificaat
ksus	TROS
trok	retoriek
tloc	sport
zyan	roeispaan
nlun	Login
hlop	telescoop
jlin	spelling
lyut	bewolkt
hsof	surfen
fyik	whisky
klet	relatief
hwof	wilg
hlum	kameel
myet	amateur
klis	isolatie
hbaf	biografie
gwac	ezel
hwum	gerucht
pwik	perspectief
pron	pro
myes	maandelijks
mwen	mijmering
kfic	vakantie
klek	Klik
cwon	ovaal
lyak	elastisch
kwon	woordenboek
hjam	ham
rwon	regenboog
crip	hierbij
zwan	voorkomend
srok	hoofdartikel
craf	korporaal
tlok	tank
brip	vlinder
tfap	tabel
jwat	tweeling
pros	bedrijfs-
psun	voorteken
clet	ellende
hbus	bamboe
dyas	handelaar
klun	ophoping
jlit	unaniem
hdom	nachtmerrie
kron	koolstof
hzam	jam
cyot	luisteraar
hmem	museum
lwam	alfabet
fras	verstrooien
psoc	stempel
hgum	gom
brek	rem
glit	stabiliteit
frun	rot
gris	agressief
mroc	wrijving
bzit	spin
plut	aardappel
glac	hebzucht
gzac	vermenigvuldigen
prun	spinnen
jlet	kalender
nyim	voordracht
tlos	biljoen
slut	salade
fwit	bevestigendhumeur
pyen	toepassingen
nlon	nominaal
dren	aantonen
drun	ontevredenheid
cyok	ophalen
hfop	voetbal
ryac	vennootschap
gzin	pionier
hgip	kool
tyet	atletisch
hdof	idiofoon
hwup	onschatbaar
lwek	hefboom
syec	senator
jyak	accommoderen
mlim	mier
fwic	effectief
gzit	zwanger
blas	vertrouwen
jrin	elkedag
gwak	enkel
drik	vreemd
prif	veranderlijk
jwit	verscheidenheid
krip	discriminatie
ryot	geintimideerd
nwut	trottoir
kcif	actief
jrak	kikker
twek	buitensporiggeval
psot	verzoening
pfon	spons
sluk	eekhoorn
nlim	irrealishumeur
ksaf	schaarste
glak	vulkaan
plen	evenwicht
kfaf	sjaal
kyon	exploiteren
jlik	geologisch
psop	paspoort
kfis	vacature
fyon	affiniteit
nram	onzedelijk
hbuk	biscuit
gras	trance
hyos	beducht
flim	film
plet	tablet
rwam	atoom
blis	vanille
zlit	AIDS
fyut	kieskeurig
crim	piramide
hjif	onwettig
crif	verlegenheid
lwap	luit
tyon	astronomie
mrim	doolhof
drut	beschrijvend
nrim	beurs
kruc	zeeschildpad
kwam	raadgever
jrik	krekel
dlut	aanduiden
pyot	duif
dyon	aanpassing
prap	operator
bzin	insigne
tyek	driehoek
trec	penningmeester
nron	waterstof
pyet	printer
tsok	stikken
