ni	infinito
rwih	precativeumore
mrih	gentileregistro
rwah	potenzialeaspetto
cyeh	meraviglia
go	gnomicaspetto
tsoh	ilrispetto
za	incoativoaspetto
jwih	jussiveumore
mwih	permissivoumore
sloh	successo
prih	privato
de	distributivocaso
tcoh	dolore
ryah	ridere
mlih	saggio
ye	possessivomarcatore
ke	commissivoumore
creh	vano
mweh	completiveaspetto
nrah	caldo
nroh	rabbia
bwah	dispetto
trah	orgoglio
mroh	morale
slah	Salute
syih	sociale
pe	cessazioneaspetto
krih	curioso
tfih	intensificatore
fe	finalmente
prah	aparte
trih	probatorio
nwah	probatoriocaso
srih	giùdimorale
zo	ZoicGenere
nweh	eventiveumore
cwoh	stessoeventomarcatore
plih	moltiplicativocaso
dwah	desiderato
kcoh	stanco
drah	soddisfatto
lu	speculativoumore
frih	familiareregistro
frah	ferito
mruh	scemo
djih	simpatia
krah	ringraziare
cruh	vergogna
fyah	frasemarcatore
ryih	preordinato
kruh	amaro
tyeh	testo
kreh	crudele
tleh	hesternalteso
kfah	sacrificio
dyih	odiare
cloh	razionaleGenere
nloh	godere
psah	disperazione
sleh	vegetaleGenere
nruh	innocente
drih	ammirazione
sroh	perdono
brih	base
kluh	confusione
bwih	benedizioneumore
klih	colpevole
grih	ignorante
nyeh	iniziativacaso
nleh	umile
dlih	ritardatoimperativo
proh	segnalatiprobatorio
mloh	malinconia
du	singolare
jrih	pazienza
freh	referenziale
kloh	solitario
kroh	fascino
tcuh	entusiasmo
kcuh	induttivoumore
xa	discorsocontesto
nreh	nervoso
pseh	aspetto
ge	agente
mu	ammonizioneumore
byah	ambizione
pcoh	affollato
treh	direttoprobatorio
yo	apprensivoumore
cwuh	shock
tloh	recentepassatoteso
dlah	definitoarticolo
cluh	brutta
myuh	umore
dyah	distaleespansivo
rwuh	geloso
troh	imprecatorioumore
dzih	indifferenza
swuh	presuntoumore
bzah	scherzo
gwih	cioè
dloh	hodiernalteso
dweh	delimitativeaspetto
kweh	esclusivopersona
truh	temperatura
tfeh	Telicaspetto
lyeh	atelicaspetto
ru	proibitivoumore
kfih	infantile
cyoh	sospetto
nluh	lealtà
cweh	trappola
nwoh	animato
sruh	brivido
ksoh	sessuale
lyah	pigro
mreh	momentaneaspetto
pceh	pentito
bjih	exdeceduto
pcuh	incertezza
xi	abitualeaspetto
blih	delimitata
tsuh	banale
fwih	maestoso
grah	lusinghiero
brah	arbitrario
cleh	benevolo
sreh	formaleregistro
pfah	benefico
droh	uditorioprobatorio
flih	induttivoprobatorio
sweh	Sublativecaso
ksuh	dichiarativaumore
pleh	privilegiato
psoh	invincibile
be	verbale
mwoh	fantasticheria
kleh	miseria
glah	avidità
kseh	affermativaumore
zrah	insoddisfazione
dyoh	idiophone
syoh	intimorito
gwah	eccessivocaso
zlih	irrealisumore
zrih	timidezza
byih	adattamento
ryeh	pronomemarcatore
fwah	frugale
bjah	estatico
kxah	equanimità
gvih	pegativecaso
pxih	rivendicazione
xrah	chescade
tfoh	d&#39;orainavanti
kxih	contrizione
ryoh	prosecutivecaso
qyah	preoccupazione
r6	participio
txah	adistanzapassatoteso
xrih	storicoteso
dxah	doppionumero
syuh	super
vweh	oberatidilavoro
n6	sensorialeprobatorioumore
bweh	ossessione
xlih	ilare
txih	fitta
sluh	autosoddisfatto
txoh	movimentosalita
xe	retrospettiva
pxah	intrappolare
vwah	movimentodiscesa
xyih	elite
fleh	flesse
psuh	superessivecaso
syeh	satiro
qi	transitivo
xruh	accasciarsi
zwah	Wow
tr6h	movimentoamonte
qwah	nonambizioso
xlah	Intuttoilmondo
tyoh	intransitivo
tluh	anticlimax
qa	correnterilevanzamarcatore
kxoh	canestanco
rwoh	ordinale
ve	vettore
kyoh	chilo
swoh	sequenziale
pxeh	partitivocaso
txeh	accrescitivo
dxih	predicativo
pxoh	prolativecaso
pfoh	professionistafrase
blah	indifferente
fyih	nonumano
xo	attoreruolo
pc6h	provanumero
greh	centricocaso
groh	goalgrilletto
dxoh	inmezzovoce
rweh	obliquocaso
xwah	pazientecaso
xu	prehodiernal
xroh	usura-out
ks6h	causativo
vi	binary-valore
dleh	modalecaso
gjeh	else-if
xreh	collaboratore
lwoh	locativecaso
ml6h	multalnumero
gjih	galassiaGenere
qlah	stellaGenere
bvih	abessivecaso
dvah	adessivecaso
je	agentivecaso
t6	agentegrilletto
kxeh	acaso
gxih	ComuneGenere
tc6h	citazionemodulo
ts6h	transnumerale
ryuh	direttooggetto
gveh	ergativecaso
pyoh	passivovoce
qe	finitoverbo
xwih	primariooggetto
myoh	gnomicumore
vrih	finaleparticella
va	evitativecaso
bveh	subessivecaso
dxeh	possedutocaso
dvih	lativecaso
tsa7h	antessivecaso
dyeh	avverbialecaso
mleh	animareGenere
pfeh	empaticogioia
xleh	veicoloGenere
qlih	mineraleGenere
xloh	verbalesostantivo
dreh	secondolinguaggio
bvah	sestessofiducia
qrah	cambiamentodievento
fo	diversoevento
sl6h	crastinalteso
fyoh	riflessivovoce
bxih	universoGenere
jlih	transitivoverbo
kyeh	localitàGenere
txuh	ricercaGenere
s6	artisticoGenere
preh	pazientegrilletto
sr6h	astrattoGenere
nyoh	indirettodiscorso
zreh	esocentricacaso
kfeh	passatoperfective
jo	impersonaleverbo
kxuh	collettivosostantivo
bu	absolutivecaso
qrih	planetarioGenere
kfoh	nucleobenefactive
kwoh	associativocaso
pluh	superlativocaso
jrah	elettricocorrente
glih	inanimatoGenere
p6	propositivoumore
vrah	reciprocovoce
lyuh	successivoclausola
gleh	prestofuturoteso
lyoh	applicativavoce
ps6h	antipassivevoce
tfuh	continuativoaspetto
nr6h	necessitativeumore
pr6h	passivoparticipio
sy6h	esistenzialeclausola
qyih	luminosointensità
gluh	singulativenumero
kwuh	eccessivodurata
xyah	singoloazioneverbo
vlih	superlativogrado
djah	presenteparticipio
m6	quantitàdisostanza
ti7	connettivoparticella
f6	epentheticmorfema
tli7h	adistanzafuturoteso
si_	postpositionalcaso
l6	allogamentoaccordo
k6	frequentativeaspetto
bzih	distributivopronome
tu7	virgolamobile-numero
vo	verbo-suffisso
ki7	passatopassivoparticipio
ta_	locativedirezionalecaso
