ni	matoanteny
glih	mananaainalahysynyvavy
p6	propositivetoe-po
vrah	reciprocalfeo
lyuh	nifandimbyfepetra
gleh	hoavytsyhoelahenjana
lyoh	applicativefeo
ps6h	antipassivefeo
tfuh	continutivelafiny
nr6h	necessitativetoe-po
pr6h	matoantenin&#39;nyataoamin&#39;nyteny
sy6h	existentialfepetra
qyih	mamiratrahamafin&#39;ny
gluh	singulativeisa
kwuh	beloatrafaharetan&#39;ny
xyah	Endrikynymatoantenyamin&#39;nyasatokana
vlih	indrindradiplaoma
djah	endrika
m6	habetsahan&#39;nyfananana
ti7	connectivesombiny
f6	epentheticmorpheme
tli7h	mitokanahoavyhenjana
si_	postpositionaltranga
l6	allocutivefifanarahana
k6	frequentativelafiny
bzih	distributivempisolo
tu7	mitsingevanatebokamaro
vo	Endrikynymatoantenyamin&#39;nytahirin-tsiry
ki7	lasamatoantenin&#39;nyataoamin&#39;nyteny
ta_	locativedirectionaltranga
