ni	інфінітив
clih	холодний
pyih	мир
su	крім
kwah	бажання
le	довжина
bo	ймовірність
mlah	занепокоєння
syah	посмішка
slih	сон
zi	процитував
twoh	квотатіввипадок
mo	включнолюдина
kcih	будьласка
rwih	прохальнийнастрій
mrih	ввічливірегістр
rwah	перспективнийаспект
cyeh	здивування
go	гномічноїаспект
tsoh	повага
za	начінательнийаспект
jwih	юссів
mwih	перміссів
sloh	успіх
prih	приватний
de	дистрибутивнийвипадок
tcoh	біль
ryah	сміх
mlih	мудрий
ye	присвійниймаркер
ke	commissiveнастрій
creh	марнославний
mweh	закінчуєаспект
nrah	теплий
nroh	гнів
bwah	озлобленість
trah	гордість
mroh	моральний
slah	здоров&#39;я
syih	соціальна
pe	cessativeаспект
krih	цікавий
tfih	интенсификатор
fe	вкінцікінців
prah	всторону
trih	доказовий
nwah	доказательственнаявипадок
srih	сумний
zo	скам&#39;янілостіпідлогу
nweh	подієвийнастрій
cwoh	такийжемаркерподії
plih	мультиплікативнийвипадок
dwah	бажано
kcoh	стомлений
drah	задоволений
lu	спекулятивнінастрої
frih	знайомийрегістр
frah	поранений
mruh	дурити
djih	співчуття
krah	спасибі
cruh	ганьба
fyah	фразамаркер
ryih	зумовлений
kruh	гіркий
tyeh	текст
kreh	жорстокий
tleh	hesternalнапруженої
kfah	жертва
dyih	ненавидіти
cloh	раціональнепідлогу
nloh	насолоджуватися
psah	відчай
sleh	рослиннапідлогу
nruh	невинний
drih	схиляння
sroh	помилування
brih	база
kluh	плутанина
bwih	benedictiveнастрій
klih	винний
grih	неосвічений
nyeh	ініціативавипадок
nleh	смиренний
dlih	відстроченеімператив
proh	повідомляєдоказательственная
mloh	меланхолія
du	однина
jrih	терпіння
freh	довідковий
kloh	самотньо
kroh	чарівність
tcuh	ентузіазм
kcuh	індуктивнийнастрій
xa	дискурсконтекст
nreh	нервовий
pseh	аспект
ge	агент
mu	admonitiveнастрій
byah	честолюбство
pcoh	переповнений
treh	прямийдоказову
yo	побоюєтьсянастрій
cwuh	шок
tloh	Недавнєминулечас
dlah	визначенийартикль
cluh	потворний
myuh	юмор
dyah	дистальнийдемонстративне
rwuh	ревнивий
troh	imprecativeнастрій
dzih	байдужість
swuh	гаданийнастрій
bzah	насміхатися
gwih	асаме
dloh	напруженоїсьогоднішній
dweh	delimitativeаспект
kweh	ексклюзивнийлюдина
truh	температура
tfeh	цілеспрямованийаспект
lyeh	atelicаспект
ru	заборонниминастрій
kfih	дитячий
cyoh	підозрілий
nluh	лояльність
cweh	пастка
nwoh	анімаційний
sruh	трепет
ksoh	сексуальне
lyah	ледачий
mreh	momentaneаспект
pceh	пошкодував
bjih	колишнійпомерлий
pcuh	невизначеність
xi	хабітуаліс
blih	обмежений
tsuh	тривіальний
fwih	величний
grah	утішний
brah	довільний
cleh	доброзичливий
sreh	формальнийрегістр
pfah	вигідний
droh	слуховідоказательственная
flih	виведенийдоказательственная
sweh	сублатів
ksuh	декларативнийнастрій
pleh	привілейований
psoh	непереможний
be	словесний
mwoh	мрійливість
kleh	нещасний
glah	жадібність
kseh	стверднунастрій
zrah	незадоволеність
dyoh	ідеофон
syoh	благоговіння
gwah	exessiveвипадок
zlih	ірреаліс
zrih	сором&#39;язливість
byih	адаптація
ryeh	займенникмаркер
fwah	убогий
bjah	екстатичний
kxah	незворушність
gvih	pegativeвипадок
pxih	витребування
xrah	закінчується
tfoh	зцьогочасу
kxih	каяття
ryoh	обвинувальнийвипадок
qyah	заклопотаність
r6	дієприкметник
txah	дистанційногоминулогочасу
xrih	історичнийнапруженої
dxah	подвійнечисло
syuh	супер
vweh	перевантаженіроботою
n6	сенсорнодоказательственнаянастрій
bweh	одержимість
xlih	веселий
txih	нападболю
sluh	самостійнозадовольняє
txoh	рухвгору
xe	ретроспективний
pxah	заявляючи
vwah	рухвнизпосхилу
xyih	еліта
fleh	змінну
psuh	superessiveвипадок
syeh	сатир
qi	перехідний
xruh	присідати
zwah	Ого
tr6h	рухвгорузатечією
qwah	неамбіційний
xlah	світовий
tyoh	неперехідний
tluh	Антиклімакс
qa	поточназначимістьмаркера
kxoh	собакавтомилася
rwoh	порядковий
ve	вектор
kyoh	кіло
swoh	послідовний
pxeh	партітіва
txeh	збільшувальний
dxih	предикативний
pxoh	пролатів
pfoh	профразу
blah	пересичений
fyih	нелюдина
xo	акторроль
pc6h	пробнийномер
greh	орієнтованихнавипадок
groh	тригероммета
dxoh	середнійзаставу
rweh	непрямийвідмінок
xwah	випадокпацієнта
xu	prehodiernal
xroh	зношуватись
ks6h	причинний
vi	двоичноезначення
dleh	випадокмодальний
gjeh	інакшеякщо
xreh	колега
lwoh	відмінок
ml6h	multalномер
gjih	галактикапідлогу
qlah	зіркапідлогу
bvih	Абесс
dvah	Адесси
je	агентивноговипадок
t6	тригеромагент
kxeh	вразі
gxih	загальнийрід
tc6h	формацитування
ts6h	транспозици
ryuh	безпосереднійоб&#39;єкт
gveh	ергатівнаявипадок
pyoh	пасивнийстан
qe	дієсловом
xwih	Основнимзавданням
myoh	гномічноїнастрій
vrih	кінцевачастка
va	evitativeвипадок
bveh	subessiveвипадок
dxeh	мавнагоду
dvih	нігіляціоннимівипадок
tsa7h	antessiveвипадок
dyeh	обставинавипадок
mleh	анімуватипідлогу
pfeh	чуйнимирадість
xleh	машинапідлогу
qlih	мінеральнупідлогу
xloh	віддієслівнийіменник
dreh	другамова
bvah	самовпевненість
qrah	змінаподії
fo	іншаподія
sl6h	crastinalнапруженої
fyoh	рефлексивнийголос
bxih	всесвітпідлогу
jlih	перехіднийдієслово
kyeh	місцезнаходженняпідлогу
txuh	дослідженнягендерних
s6	художнійпідлогу
preh	тригерпацієнта
sr6h	абстрактнийпідлогу
nyoh	непрямамова
zreh	екзоцентрічнийвипадок
kfeh	повздосконалого
jo	безособовийдієслово
kxuh	іменникзбірне
bu	відмінку
qrih	планетарнапідлогу
kfoh	ядроблагословляє
kwoh	асоціативнийвипадок
pluh	найвищомуступенівипадок
jrah	електричнийструм
glih	неживийпідлогу
p6	propositiveнастрій
vrah	взаємнимиголос
lyuh	наступнийрозділ
gleh	найближчимчасомвмайбутньомучасі
lyoh	аплікат
ps6h	антіпассів
tfuh	continutiveаспект
nr6h	necessitativeнастрій
pr6h	пасивнепричастя
sy6h	екзистенціальнапункт
qyih	силасвітла
gluh	singulativeномер
kwuh	надмірнатривалість
xyah	Дієсловоодинарноїдії
vlih	найвищийступінь
djah	дієприкметниктеперішньогочасу
m6	кількістьречовини
ti7	сполучночастинок
f6	вставноюморфеми
tli7h	віддаленогомайбутньогочасу
si_	постфіксіввипадок
l6	allocutiveугоду
k6	багаторазовийаспект
bzih	дистрибутивнийзайменник
tu7	числозплаваючоюточкою
vo	дієсловоафікс
ki7	минулепасивнепричастя
ta_	локатівСпрямованийвипадок
