ni	รูปกริยาในภาษาอังกฤษ
gveh	ergativeกรณี
pyoh	อยู่เฉยๆเสียงพูด
qe	จำกัดคำกริยา
xwih	ประถมวัตถุ
myoh	gnomicอารมณ์
vrih	สุดท้ายอนุภาค
va	evitativeกรณี
bveh	subessiveกรณี
dxeh	ผีสิงกรณี
dvih	lativeกรณี
tsa7h	antessiveกรณี
dyeh	เกี่ยวกับกริยาวิเศษณ์กรณี
mleh	มีชีวิตเพศ
pfeh	ความเห็นอกเห็นใจความปิติยินดี
xleh	พาหนะเพศ
qlih	แร่เพศ
xloh	วาจาคำนาม
dreh	ที่สองภาษา
bvah	ตนเองความมั่นใจ
qrah	เปลี่ยนแปลงของเหตุการณ์
fo	ต่างเหตุการณ์
sl6h	crastinalเครียด
fyoh	สะท้อนกลับเสียงพูด
bxih	จักรวาลเพศ
jlih	เกี่ยวกับสกรรมกริยาคำกริยา
kyeh	ท้องถิ่นเพศ
txuh	การวิจัยเพศ
s6	ศิลปะเพศ
preh	ผู้ป่วยไก
sr6h	นามธรรมเพศ
nyoh	ทางอ้อมการพูด
zreh	exocentricกรณี
kfeh	อดีตเพอร์เฟ
jo	ไม่มีตัวตนคำกริยา
kxuh	โดยรวมคำนาม
bu	absolutiveกรณี
qrih	ของดาวเคราะห์เพศ
kfoh	แกนbenefactive
kwoh	ที่สมาคมกรณี
pluh	สุดยอดกรณี
jrah	ไฟฟ้าปัจจุบัน
glih	ไม่มีชีวิตเพศ
p6	propositiveอารมณ์
vrah	ซึ่งกันและกันเสียงพูด
lyuh	ต่อเนื่องประโยค
gleh	ในไม่ช้าอนาคตเครียด
lyoh	ปรับใช้เสียงพูด
ps6h	antipassiveเสียงพูด
tfuh	continuativeแง่มุม
nr6h	necessitativeอารมณ์
pr6h	อยู่เฉยๆคำกริยา
sy6h	อัตถิภาวนิยมประโยค
qyih	เรืองแสงความรุนแรง
gluh	singulativeจำนวน
kwuh	มากเกินไประยะเวลา
xyah	เดียวการกระทำคำกริยา
vlih	สุดยอดระดับ
djah	นำเสนอคำกริยา
m6	จำนวนของสสาร
ti7	เกี่ยวพันอนุภาค
f6	epentheticหน่วยคำ
tli7h	รีโมทอนาคตเครียด
si_	postpositionalกรณี
l6	allocutionข้อตกลง
k6	frequentativeแง่มุม
bzih	เกี่ยวกับการจำหน่ายสรรพนาม
tu7	ลอยจุดจำนวน
vo	กริยาต่อท้าย
ki7	อดีตอยู่เฉยๆคำกริยา
ta_	เกี่ยวกับตำแหน่งทิศทางกรณี
