hnit	απαρέμφατο
tsan	κατάλληλοςουσιαστικό
klac	χώρα
hpun	ερωτηθείς
cyat	ορατόςαποδεικτικός
pcac	καλύτερα
hmac	στιγμή
hnas	δενμπορώ
hwic	νερό
twim	desiderativeδιάθεση
kwan	ελαφρης
tlat	λέξη
tyan	θύρα
hsas	πρωί
syat	μέχρι
twik	ληκτικόςπερίπτωση
hpit	άσπρο
pcan	χρήματα
hyis	φτωχός
mwan	θάνατος
hfam	μορφή
nwik	inessiveπερίπτωση
kcat	μαζί
tsac	συχνά
pyat	φίλος
psan	ήμισυ
hpim	επιτακτικόςδιάθεση
hyuc	γύρος
hfat	έστειλα
hcis	γυναίκα
kcan	πιστεύω
hsik	δημόσιο
htus	κατάστασησυμφραζόμενα
hpas	υιός
clat	παιδιά
tyak	έτσι
cwan	ελπίδα
syin	αγαπητός
hkuc	ψηλά
tyac	ανάγνωση
syit	πόλη
hlic	ήδη
hfit	Factiveαποδεικτικός
tcac	κορίτσι
hcun	ακούω
ksan	ελάχιστα
hyaf	ίσως
kyat	πράγματι
tcic	σώμα
hwit	απόδοση
cwat	αέρας
hfaf	νόμος
hput	βοήθεια
lyat	επιστολή
ksas	τέσσερα
hpic	ευκτικόςδιάθεση
hfuk	φωτιά
hcam	ώρα
twat	πόλεμος
kyak	διάφοροι
tlit	δεύτερος
pcin	πίσω
hmut	χαμένος
clan	χίλια
hfac	οικογένεια
twan	ψυχή
hwas	ερώτηση
syan	αλήθεια
htis	κατασκευή
tsat	δυνητικόςδιάθεση
lwik	allativeπερίπτωση
nyin	ανθρωπικήγένος
hfak	πέντε
tcak	ίδιοθέμασημάδι
htuc	διαφορετικόςθέμα
hnap	απάντηση
hmit	θάλασσα
hcuc	φόβος
pcat	καταλαβαίνω
syas	όροι
hcaf	αμφιβολία
twut	dubitativeδιάθεση
hkis	μαύρος
tlak	φέρω
hyus	όμορφος
nyit	είδος
htip	δέκα
ksis	ιστορία
hpuk	βιβλίο
hlin	ηλεκτρονικός
hkun	λογαριασμός
lyas	ενδιαφέρον
lyit	γράφω
pwat	κρεβάτι
hnis	ηλικία
hnut	αντιπαραδειγμάτωνυποθετικός
slas	τέχνη
hwis	vialisπερίπτωση
pyak	αδελφός
lyin	γραμμή
tyas	τραπέζι
hyun	ποτάμι
kyac	μάτι
tfan	ξαφνικά
kcin	βαθύς
hmuc	σκοπός
cyac	αίμα
hmap	τριαντάφυλλο
tlin	κρύο
hyif	προςταεμπρός
tyam	αργά
hnaf	υποθέτω
hkip	σχεδόν
myan	ορυχείο
tsin	γνώση
hkup	αντίγραφο
hsam	σύζυγος
hlis	έξι
cwit	ζωή
cyan	ειρήνη
myat	θυμάμαι
tyic	φυσικός
hfut	πτώση
swas	υπηρεσία
hsap	εκτός
pcit	πνευματικήιδιοκτησία
hyim	στρατός
kyas	άλογο
plic	μελλοντικός
pcak	Δύση
hpis	πληρωμή
hyuk	κόκκινος
hwun	χρυσός
twin	επιθυμία
plan	παιχνίδι
hpus	γραφείο
syun	κυβέρνηση
kyic	εκκλησία
htaf	δύναμη
hlun	μήκος
kyin	εταιρεία
kyis	χαρτί
mlan	πιθανότητα
hcim	ειδικά
cyas	αρκούδα
twac	παράθυρο
nyat	ομορφιά
hcus	τελευταίος
htup	δασμός
htif	απόσταση
pyas	πόδι
hlas	άγριος
ksin	πράσινος
hmaf	ταλαιπωρία
myac	χαμόγελο
hsim	ύπνος
kyit	εισηγμένες
kwik	quotativeπερίπτωση
fwan	επίσκεψη
slan	ακολουθώ
psit	παρουσία
hmic	γλυκός
hmuf	στόμα
hfin	πλούσιος
tcam	εχθρός
psuk	σπασμένος
kcap	πλοίο
pwan	περιεκτικόςπρόσωπο
hfic	επιρροή
tcuc	εμφανίζομαι
hkim	μυστικό
pyin	παρακαλώ
pwit	precativeδιάθεση
pyit	ευγενικόςμητρώο
cwak	κακό
myak	Μάρτιος
tcas	θέσεις
hlaf	διαμονή
psat	αντί
nlan	μπλε
psac	αδύνατος
kcuk	σχολείο
kcit	παντρεμένος
kcak	τροφή
syis	είκοσι
tlac	ησυχία
hcip	υποψήφιοςάποψη
kwin	δίνοντας
tsit	σταμάτησε
pyac	γλώσσα
hsus	εβδομάδα
hcup	αίθουσα
cyap	αναρωτιέμαι
tfin	γεννημένος
fyat	δικαστήριο
hnip	gnomicάποψη
tsak	σεβασμός
tlas	αξία
syuc	δέντρο
plat	τείχος
cyak	ουρανός
twip	εναρκτικόςάποψη
mlat	εντολή
swit	jussiveδιάθεση
mwas	μήνας
hwaf	τέλειος
tyap	εμπειρία
ksac	περιστάσεις
syac	φρέσκο
hnuk	δούκας
kwak	σκεπαστός
tyuk	Ανατολή
pwac	πέτρα
hkif	ευγενής
nyac	κατεύθυνση
cyis	καρέκλα
tyuc	αναμονή
tsun	χωριό
tyik	συμφωνώ
hnum	επιτρεπτικόςδιάθεση
slak	επιτυχία
tsic	προσπαθεί
slat	λόφος
hmik	μουσική
hkus	κραυγή
hsip	επτά
hpaf	ιδιωτικός
nwas	νέα
tfac	σκηνή
fyan	κήπος
cwas	αρχίζω
hfik	διανεμητικέςπερίπτωση
lyac	μαθαίνω
syik	πολιτικός
clin	αυτεπαγωγής
cyin	ψέμα
tsas	εκμαγείο
cyik	εξουσία
tlap	πάτωμα
cyam	καλοκαίρι
tcut	θρησκεία
tcap	διαφυγή
hlut	συγγραφέας
pyun	καστανός
tcuk	πόνος
swan	άνοιξη
hmun	μαλακός
kyun	γωνία
nyak	σήμακατατεθέν
tsis	δικαιοσύνη
psas	παράγω
cyaf	γέλιο
hwut	ξεχνώ
hyup	Ευρώπη
hwap	οκτώ
psak	πέρασμα
kyap	τρομερός
pyic	απαιτείται
hmim	μέσον
hsaf	αναπνοή
hmis	σοφός
hsum	κτητικόςσημάδι
ksat	ευχάριστος
ksit	τάφος
tsap	νησί
kyam	στρατόπεδο
tcum	επαφή
cyun	τύχη
psic	ακτή
tyun	πεδίοορισμού
mwit	commissiveδιάθεση
tlut	βαθμός
myit	χειμώνας
kfan	συμπεριφορά
slac	τρέξιμο
myin	λεπτό
tyip	μόλυβδος
klas	ποτήρι
pfat	επιτροπή
cyic	μάταιος
swam	υποθέσεων
syam	ασφαλής
tsut	γιατρός
hlip	completiveάποψη
kcas	σκοτάδι
nyun	ζεστός
hpuc	ποτό
tlam	παράδειγμα
hfun	θυμός
tsik	πείσμα
tsam	κατευθείαν
hmup	καπέλο
klak	σκύλος
slin	ασήμι
swac	υπηρέτης
kcam	υπερηφάνεια
pyik	τρένο
myut	ηθικός
syak	εισάγω
swat	σπαθί
kyuk	επίθεση
clac	υγεία
tyaf	παράγραφος
swic	κοινωνικός
tfit	επιστροφήχρημάτων
hkaf	επίσημοςανώτεροςυπάλληλος
pcas	ματιά
nyam	δόξα
tfat	δώδεκα
pcut	αρραβωνιασμένος
pwin	κρασί
mwat	γεύση
fyac	σίδερο
syap	διανέμω
myap	εμπόριο
hyum	χρησιμοποιώντας
fwak	δικαστής
klat	καπετάνιος
twap	παύσηάποψη
kcic	περίεργος
kwic	αλλοδαπός
hnif	ενισχυτή
myun	σπουδαιότητα
tlic	τελικά
cyuk	λαιμός
syut	ελευθερία
pfan	πλευρές
kyuc	ξηρός
pcap	κατάμέρος
tfak	αποδεικτικός
tcik	αποδεικτικόςπερίπτωση
twun	μακρινός
tyis	πρόοδος
nyap	στενός
plit	κτίριο
hpif	σελίδα
pwic	κράτημα
syic	λυπημένος
tsip	αμαρτία
syim	άρρωστος
tcis	τίμιος
pcun	τράπεζα
ksap	αποδέχομαι
lyam	ρεύμα
tcaf	προσεκτικά
kwac	αυτί
hpup	ψωμί
kcut	επιλέγω
nwam	ζώο
hsup	ζωικόςγένος
nwit	eventiveδιάθεση
tcim	ίδιοσυμβάνσημάδι
tlik	πολλαπλασιαστικήπερίπτωση
kyus	σταυρός
hmus	πυκνός
kfat	τολμώ
nwat	καλλιεργώ
myic	βροχή
hpum	επιφάνεια
swut	άγιος
clis	Ιούλιος
mwun	μόδα
hfas	αρχείο
cwac	ώμος
kwat	άνεση
nwac	κάποιος
tcip	επιθυμητή
kfac	γρασίδι
hmuk	ισοπαλία
plin	άνοιγμα
kwun	Ιούνιος
mlik	ψάρι
klin	κεφάλαιο
pfut	στήθος
twam	αξίωση
fyin	δαπάνη
nlit	δικόσου
mlin	εκατομμύριο
pyut	προσεύχομαι
hluk	κουρασμένος
ksut	σκοτώνω
cyut	σκιά
psin	βάρος
kcis	γκρί
pyam	γενναίος
mwac	ικανοποιημένοι
klam	αποτελεσματικός
ksam	εθνικός
hfip	αδύναμος
klik	κοιλάδα
hkum	κερδοσκοπικόςδιάθεση
clas	κίτρινος
cyuc	θερμότητα
mlac	λείψανα
syip	εξίσου
pwak	κουτί
tcif	αιχμηρός
psip	αρχή
ksik	συνέπεια
tsim	εποχή
flan	επιστήμη
pcam	προφανώς
kcun	οπή
ksuk	θείος
mlit	λίστα
pcik	επικίνδυνος
kwas	Αύγουστος
hluc	δημοφιλής
klit	άγνωστος
flak	οικείος
fyit	οικείοςμητρώο
lwat	αναγνώστης
plun	περίπατος
twas	δυοφορές
pcis	παπάς
fyas	τραυματίας
nlat	παλάτι
myuk	ανόητος
pfak	εύνοια
tcuf	εννέα
cwap	συμπάθεια
plac	έκρηξη
pyap	βάζοντας
lyic	ντυμένος
hcum	θόρυβος
lwit	βιβλιογραφία
tsuk	τάξη
hfup	καταιγίδα
kcik	τσέπη
nwap	Νοέμβριος
tyim	Δεκέμβριος
psaf	απουσία
nlac	πληθυσμός
kyaf	ευχαριστώ
slis	σειρά
pyaf	πουλί
mlak	ιδιοκτήτης
kwut	παλτό
hwuc	συγγένειες
pyis	ταχέως
twuc	καπνός
nwak	Ιανουάριος
mlic	μηχανή
tlis	δόντια
ksun	καύση
clam	ντροπή
klaf	ποιότητα
clit	δαχτυλίδι
fyak	φράση
fyam	φράσησημάδι
kwap	πλατεία
hwip	Κυριακή
psis	ποίηση
pwut	προαποφασισμένη
kyim	αγορά
clic	πεδία
pyip	Απρίλιος
kfap	Οκτώβριος
psut	αντικειμένων
kcuc	πικρός
nlap	δούλος
hsok	χύμα
htet	κείμενο
hbat	χειριστός
hrit	πίστωση
hzit	χαρακτηριστικά
hpet	δεκαπέντε
krac	σκληρός
hduc	σκόνη
hrik	πρακτικός
hron	χρώμα
hnus	μύτη
hric	φιλικός
srik	προμήθεια
hten	εχθές
tlet	hesternalσευπερένταση
slap	αποτυγχάνω
hban	φορούν
hdat	τυφλός
fran	μύγα
hdan	διάβολος
htec	σταδιακά
hmon	αποστολή
cran	θυσία
hran	συνείδηση
hmos	υπουργός
nrit	ενέργεια
hcet	μισώ
hset	κέντρο
hrin	λογικόςγένος
hcot	απολαμβάνω
hrip	σύντομος
htep	λατρεία
hcif	δέρμα
hrat	στέγη
kran	στέμμα
hkon	κάστρο
tran	απελπισία
hmif	μίλι
trin	κύκλος
hgin	φυλακή
hkop	φλιτζάνι
hcen	μέλος
swin	εμφύλιος
hrac	παντού
hris	έθιμο
hbin	θελκτικός
hmot	κρέας
hdut	γάλα
hwen	φυτικόςγένος
nran	σπάνιος
hbac	εξάδελφος
crut	γέφυρα
hsoc	στοκ
hsom	άλας
nris	αθώος
hbit	αποφύγει
crin	θαυμασμός
rwin	βασίλισσα
hgut	κόμης
hdas	χορός
hnot	ξενοδοχείο
hdin	γέμισμα
hton	φυλακισμένος
hdak	κατάστημα
hlet	σκάλες
hson	Συγγνώμη
hgek	ομοφυλόφιλος
hras	άμμος
hsep	Σεπτέμβριος
hbic	καταστροφή
hlen	άδεια
hcon	επαρκώς
hgit	μάρτυρας
kfon	κουζίνα
hbak	πωλώ
tlim	θεραπεία
hsot	ταχύτητα
kyut	ηλεκτρονικόςυπολογιστής
hnen	αιώνιος
htek	βιβλιοθήκη
hzan	περιέχουν
hbis	βάση
hbun	σύγχυση
kcus	μάγειρας
hgat	έρημος
hwus	φιλί
hbif	πάγος
hbot	μπάλα
hrut	επιχείρημα
hdit	ευλογίαδιάθεση
hdis	ένοχος
hjan	τιμωρία
plis	αστυνομία
hgan	κρύβω
hsen	εκστρατεία
nrin	αμαθής
hyen	σύννεφο
frif	Φεβρουάριος
hdik	ασθένεια
hnek	πρωτοβουλίαπερίπτωση
hbam	θεία
hmen	ταπεινός
hdip	καθυστέρησηεπιτακτικός
prat	αναφερθείαποδεικτικός
hdet	μεσάνυχτα
hjit	δάχτυλο
hmoc	κάπου
pran	τύπος
kcec	περιοχή
hken	πρόσφατα
hloc	μελαγχολία
hrak	προσωπικό
htes	βλέμμα
rwan	ανταμοιβή
hdon	προσφέρω
htot	μέτωπο
hnet	άγγελος
hdun	ενικός
croc	σφάλμα
hlon	αυγή
hyec	πρόβατα
hjin	υπομονή
hrec	αναφορικός
mran	καλαμπόκι
htos	πλειοψηφία
hcos	μέτρα
hkoc	ενίοτε
hlif	κέρδος
clak	ζάχαρη
hjat	ανθρωπότητα
tram	πλαίσιο
hdic	δίσκος
hkok	μοναχικός
srat	καλλιτέχνης
crak	γοητεία
hmet	e-mail
hden	απόφαση
gran	κυβερνήτης
crac	υποκατάστημα
hjac	ενθουσιασμός
hdim	επαγωγικόςδιάθεση
hcok	βιασύνη
hyet	έλαιο
pwap	σωλήνας
trat	αποτύπωμα
tcot	στερεάύλη
hdoc	oh
hren	ομιλίασυμφραζόμενα
tcon	μεσημέρι
krin	καμπίνα
plam	τρομάζω
hnes	νευρικός
tcen	παρατήρηση
hsek	άποψη
plik	εφαρμόσιμος
slik	μετάξι
hfen	σεντ
hgen	μέσο
hnon	ένωση
crik	κόλαση
tcet	ελαττωματικός
mrat	μικτός
hdam	νουθεσίαδιάθεση
hgac	φιλοδοξία
htoc	κάπως
hdac	συμβουλή
nwin	σύνταγμα
srit	όργανο
hret	σταθερά
nlin	σεαπευθείαςσύνδεση
hzat	παλίρροια
klic	κολλέγιο
hkek	ουρά
nric	γενιά
hgic	συνωστισμένος
hgak	Γάτα
trit	απευθείαςαποδεικτικός
tyot	συνθήκη
hnok	περιεχόμενα
crit	εγκαταλειμμένος
slen	έντεκα
srin	ένστικτο
hpok	φυλή
hyot	φοβισμένοςδιάθεση
cric	καταφύγιο
hruc	αγενής
cwin	ιππασία
hzak	σέικ
dyit	βιομηχανία
hpec	επάγγελμα
nras	νοσοκόμα
hcec	διδασκαλία
hbut	παπούτσια
hmec	ασαφής
twot	δραστηριότητα
crat	Σάββατο
hkot	χωρητικότητα
hnec	λιακάδα
hwuf	χήρα
cren	υπόστεγο
nrat	αστέρι
hget	επισκέπτης
hbik	ευλογώ
brin	εσωτερικός
hpot	διαθέσιμος
trac	αντίσταση
prac	αντλώ
hcoc	κοίλος
hpon	επαρχία
hwim	πολιτισμός
dwan	κρεμώ
cwok	σοκ
hdok	οδήγηση
crun	θησαυρός
hzik	σπόρος
hrot	πρόσφατοςτοπαρελθόνσευπερένταση
hket	άγρυπνος
hcek	έπιπλα
hrop	σκοινί
mrac	περιπέτεια
byit	γιορτή
trak	ετήσιος
hzin	νότιος
sric	τελετή
clik	κυνήγι
trap	φιλελεύθερος
hrim	χριστιανισμός
hrus	πριγκίπισσα
blat	βωμός
cyon	μικροσκοπικός
hwep	ιστός
krat	καρδινάλιος
tris	μωβ
kcot	μαζεύω
hben	εκλογή
trik	μεθυσμένος
kfit	ανελκυστήρας
tcec	ανταλλαγή
nrik	σαφήςάρθρο
grat	αυτοκράτορας
dran	διαχείριση
hpen	προηγουμένως
cluk	άσχημος
nrac	αβλαβής
ryin	εκπαίδευση
hrun	ρολό
nwic	ίντσα
slit	βλαστός
gzat	εφημερίδα
krot	τομή
drit	γενειάδα
hzis	σχίσιμο
hdap	δεκαοχτώ
sris	ιστορικός
mrut	ακαθάριστο
nyik	λάσπη
bran	νύμφη
drat	εξαρτώμαι
djan	γίγαντας
glat	απλότητα
hpoc	φθινόπωρο
pras	πέπλο
hgot	συγκέντρωση
tret	θέατρο
tras	σύγκριση
rwit	αντίπαλος
hfon	σχηματίζοντας
klot	πούλμαν
hmum	χιούμορ
drac	ομιλία
rwas	μυθιστόρημα
tset	εκδίκηση
hdot	άπωεκδηλωτικός
ryut	ζηλιάρης
hwon	πρόσκληση
byat	κάηκε
flac	λάμψη
prot	πορτρέτο
crek	προτείνω
htok	σύγκρουση
htop	κατάρα
prit	imprecatoryδιάθεση
hces	ανήμπορος
klup	λέσχη
hnos	πλημμύρα
dwin	αδιαφορία
prin	ορίζοντας
mrit	assumptiveδιάθεση
tcoc	απότομος
hcom	αρμονία
grit	βροντή
tlot	παιδικήηλικία
hgik	γόνατο
hwes	αναίσθητος
hzac	αμοιβαίος
hsec	λογισμικό
tson	ιδρύματα
ryit	παραλαβή
dlin	πειθαρχία
slip	ολίσθημα
klon	επανάσταση
hfim	γεωργός
hpom	πλατφόρμα
cyen	φοιτητής
hgec	σπήλαιο
hroc	παράδοση
srac	υποτάσσομαι
ryat	τραγωδία
kcen	παρθένα
hbap	αποχαιρετισμός
krik	κριτική
krap	βαμβάκι
fwat	νοσοκομείο
kcet	ενοίκιο
hgas	αέριο
pfin	αναπόφευκτος
dlit	φύλλο
ryan	μετάφραση
sran	κηδεία
mrin	αλεύρι
hram	ρομαντικός
dlan	δολάριο
hzas	αστείο
hsos	δεκαέξι
klen	αποικία
gyin	πτέρυγα
hsif	λιοντάρι
cluc	πονηριά
prip	παρασκευή
hzut	ομίχλη
dwat	φάρμακο
krit	διορθώνωτυπογραφικάδοκίμια
sras	φωλιά
hses	δεκατέσσερα
brat	ένσταση
flat	οξύ
hjic	δηλαδή
slic	όπλο
hbuc	μεταχειριζόμενος
tron	πορτοκάλι
byan	λούτρο
hrif	πρωτόγονος
tlip	ιδρύω
blan	καλάθι
kris	γραμματέας
hyon	Εντομεταξύ
tren	σήμερα
dlat	hodiernalσευπερένταση
hzic	δηλητήριο
tfic	τουφέκι
tlen	ταλέντο
hlim	κλίμα
dyat	σύντροφος
kcon	αποκάλυψη
dlac	πλύση
krak	ομολογία
hbas	ανοησίες
hkec	άνθρακας
hrek	επαναφέρω
hkos	κανό
hwif	μέγγενη
tric	προσωρινός
hdep	delimitativeάποψη
mwak	σωρός
ksot	οστό
hnoc	Δευτέρα
nlas	Τρίτη
brac	Τετάρτη
frap	ομοσπονδιακός
pfit	εκπρόσωπος
pcoc	Πόλος
lyen	λινό
swak	νεροχύτης
pcen	πρόεδρος
brit	αιματηρός
hwec	πολιορκία
hwet	στομάχι
hlos	επάνω
hbon	ποικίλος
pcon	ορείχαλκος
hsem	κορυφή
lwac	φτηνός
tsos	διαγωνισμός
kwen	αποκλειστικόςπρόσωπο
trun	προσγείωση
trut	άγαλμα
hrap	πυροβολικό
hgap	σύλληψη
trot	θερμοκρασία
grin	γειτονιά
hjak	εναγκαλισμός
hpek	πακέτο
hlus	ελάφι
hwos	υπνοδωμάτιο
tsuc	θάμνος
pcuc	εκπλήρωση
cris	κληρονόμος
clun	δρυς
hpes	δυσάρεστος
nlet	ατελής
hrom	πρόγραμμα
pyon	πιάνο
swet	πείθω
dric	αόρατος
tyen	πασίγνωστος
hruk	σκληρότητα
frat	ανατεθεί
hyoc	πειρασμός
hlep	telicάποψη
nrot	διεθνής
nret	βιαίως
hfif	φιλόσοφος
pfic	αναπαράσταση
hmek	ευαίσθητος
hfec	ευημερία
myik	αλιεία
truc	κλέβω
tcop	χείλος
rwic	αποσύρω
htom	οικονομία
glan	στοά
pren	παράλληλο
hlek	atelicάποψη
nrak	ήπειρος
truk	χτύπημα
hjim	απαγορευτικόςδιάθεση
rwat	γραβάτα
hcep	κύτταρο
dyan	αυγό
jrat	τεχνητός
nren	έμπνευση
ksic	κρίση
tsoc	ερευνητικός
lwan	μεσημεριανό
hpos	πεύκο
hcuf	Σπρώξτε
tcus	ενάγω
pset	επεκτείνω
hkep	χαλκός
swis	ναύτης
prim	αυτοκρατορικός
trip	μαστίγιο
cras	πουκάμισο
swap	σκούπισμα
syet	σκίτσο
htof	κλέφτης
clen	κανάλι
kwit	προσωπικότητα
klok	υπέρβαση
hrok	μεταρρύθμιση
hguc	δίψα
kcim	απειλή
hpem	παλάμη
psik	ομιλητής
frit	κατώφλι
cret	ίχνη
mrak	δόρυ
syen	συνεδρία
tcup	υγρασία
hyek	ταξιδιώτης
trim	κασσίτερος
plak	καταγγελία
hyok	γωνία
hgam	αγελάδα
hmok	μύλος
jrac	χάρτης
kloc	περιλαίμιο
gyit	επίτηδες
hbip	μπύρα
mlet	βελούδο
lyap	κατάχρηση
cwen	σμήνος
bwan	ανηψιά
tses	δεκατρείς
jrit	δικαιολογώ
nlak	χειρόγραφο
sron	πολεμιστής
cruc	Παρασκευή
broc	βούρτσα
dlot	κατεβάσετε
krim	κρέμα
pric	πίσσα
prut	ένορκοι
hgon	παγωμένος
sram	κυριολεκτικά
pfot	δοχείο
hlot	σχεδιασμένος
djin	κέρμα
hlok	πήδημα
hpep	μήλο
hwot	στριμμένα
dlak	συζητώ
brik	συνεισφέρω
nlis	αντιγράφω
hbet	στοίχημα
pris	ιός
hjik	φιλοξενία
blit	παιδαριώδης
hjap	ρόμπα
tfik	κατοπτρίζω
hdaf	επιτυγχάνω
hpop	όπερα
kcaf	απόκρυψη
kcoc	αγκώνα
hrum	επισκευή
cyim	ύποπτος
dyic	εκπαιδευτικός
hgoc	λάκκος
drak	αταξία
plas	χειροκροτήματα
byin	δυάδικος
hzap	μονή
nlot	πίστη
mrik	μηχανικός
hsop	επιτυχώς
crap	παγίδα
kyek	κέικ
nrut	διασκεδάζω
syes	Κύριε
hjet	δεκαεπτά
hjen	θηλυκός
hmom	μέλι
hdec	δυστυχώς
lwen	θρύλος
slot	σόμπα
frac	επαναστάτης
gwan	φούσκωμα
mruk	βελτιώ
swot	τέλμα
zlan	κερδίζω
hnem	κινουμένωνσχεδίων
hdes	σάλτσα
prak	κηρύττω
frin	τοπίο
hfet	εναντιώνομαι
cros	χορωδία
ryon	λογικός
tcos	καλλιέργεια
tsen	επεξεργασία
hwek	λύκος
nlik	άρνηση
klap	χαλί
dras	περιφρονώ
prop	εύφορος
slim	σφύριγμα
hgis	τυρί
krut	δάγκωμα
srot	συνοδεία
bjan	περιπλανιέμαι
nwen	ναυτικό
myas	μάσκα
kwaf	αναπτύσσω
twis	ταξί
pcip	μολύβι
srap	λαχανικό
sren	έκθεμα
tlun	παντελόνι
hrup	διαφθορά
nrip	υπουργικόσυμβούλιο
srup	σούπα
jran	χειρουργός
bjat	επίδομα
gyat	κατάσκοπος
hlem	ριψοκίνδυνος
srak	περίληψη
kson	προφορά
cwis	Πέμπτη
sret	ειλικρινά
hraf	κυκλοφορία
hres	αρχιτεκτονική
hsuf	διάθεση
rwak	ρωγμή
twon	στολίδι
hfus	ανάκτηση
hkom	κώδικας
djat	κυνηγός
nlut	εγκύκλιος
hsef	φίδι
mris	δημοκρατία
bric	μπαταρία
mlam	κερί
zran	μοιρασιά
cron	συγκίνηση
hzen	ζάλη
traf	λωρίδα
cwaf	φάκελος
srip	τσιγάρο
mrot	μοτέρ
swon	εθελοντής
ryak	αντίδραση
pfun	μερικώς
blac	αποσκευές
mret	υπουργείο
hjon	σεξουαλικός
kcok	τσεκούρι
dram	διαμάντι
kren	εναλλασσόμενος
tcek	ηχώ
hdif	ταυτότητα
tfas	πρεσβευτής
hfot	συνίσταμαι
lwas	τεμπέλης
hmep	momentaneάποψη
kfin	κωδικοποίηση
mwin	φανταστικός
hrem	ακτίνα
pram	ορειβασία
byac	κελάρι
mren	αξιομνημόνευτος
swen	γερουσία
kras	φέρετρο
hgun	καταπιεί
nlok	ικανοποιώ
ryic	γεωργικός
gwin	κούνια
srut	λιβάδι
hkes	συγκρότημα
hfis	παραίτηση
frak	επανειλημμένα
hnom	συνωμοσία
hcop	καπηλειό
hlec	πιπέρι
mlot	μελωδία
zrat	υποψήφιος
proc	προστάτης
flik	αλεπού
cyet	εκφράζειτηλύπητου
hgim	καμινάδα
slet	φράχτης
tcok	ακρίβεια
bjit	πρώηνμακαρίτης
brot	μπουμπούκι
bwat	κουβέρτα
