ni	infinitif
sleh	nabatijeniskelamin
nruh	tidakbersalah
drih	kekaguman
sroh	Maaf
brih	mendasarkan
kluh	kebingungan
bwih	doasuasanahati
klih	berdosa
grih	bodoh
nyeh	prakarsakasus
nleh	merendahkan
dlih	terlambatsangatpenting
proh	melaporkanygberdasarataskenyataan
mloh	melankolis
du	tunggal
jrih	kesabaran
freh	referensial
kloh	kesepian
kroh	pesona
tcuh	antusiasme
kcuh	induktifsuasanahati
xa	ceramahkonteks
nreh	gugup
pseh	aspek
ge	agen
mu	peringatansuasanahati
byah	ambisi
pcoh	ramai
treh	langsungygberdasarataskenyataan
yo	gelisahsuasanahati
cwuh	syok
tloh	barulalutegang
dlah	pastiartikel
cluh	jelek
myuh	kelucuan
dyah	distaldemonstratif
rwuh	cemburu
troh	ygmengutuksuasanahati
dzih	pengabaian
swuh	sombongsuasanahati
bzah	bersendagurau
gwih	yaitu
dloh	hariinitegang
dweh	delimitativeaspek
kweh	eksklusiforang
truh	suhu
tfeh	TELICaspek
lyeh	taktelisaspek
ru	terlalutinggisuasanahati
kfih	kekanak-kanakan
cyoh	mencurigakan
nluh	loyalitas
cweh	perangkap
nwoh	animasi
sruh	sensasi
ksoh	seksual
lyah	malas
mreh	momentaneaspek
pceh	menyesali
bjih	bekasmendiang
pcuh	ketidaktentuan
xi	biasaaspek
blih	dibatasi
tsuh	sepele
fwih	megah
grah	menyanjung
brah	sewenang-wenang
cleh	penuhkebajikan
sreh	resmidaftar
pfah	bermanfaat
droh	pendengaranygberdasarataskenyataan
flih	inferensialygberdasarataskenyataan
sweh	sublativekasus
ksuh	deklaratifsuasanahati
pleh	istimewa
psoh	takterkalahkan
be	lisan
mwoh	lamunan
kleh	keadaanygmenyedihkan
glah	keserakahan
kseh	setujusuasanahati
zrah	ketidakpuasan
dyoh	idiophone
syoh	terpesona
gwah	terlalubanyakkasus
zlih	irrealissuasanahati
zrih	perasaanmalu
byih	adaptasi
ryeh	katagantipenanda
fwah	hemat
bjah	gembiraluarbiasa
kxah	ketenangan
gvih	pegativekasus
pxih	pemulihannamabaik
xrah	berakhir
tfoh	untukselanjutnya
kxih	penyesalan
ryoh	prosecutivekasus
qyah	keasyikan
r6	partisip
txah	terpencillalutegang
xrih	bersejarahtegang
dxah	rangkapjumlah
syuh	super
vweh	terlalubanyakbekerja
n6	indrawiygberdasarataskenyataansuasanahati
bweh	obsesi
xlih	riang
txih	tusukan
sluh	puasdiri
txoh	gerakanmenanjak
xe	retrospektif
pxah	memikat
vwah	gerakanlereng
xyih	elite
fleh	infleksi
psuh	superessivekasus
syeh	satir
qi	transitif
xruh	gemetarketakutan
zwah	Wow
tr6h	gerakanhulu
qwah	tidakberambisi
xlah	diseluruhdunia
tyoh	intransitif
tluh	antiklimaks
qa	arushubunganpenanda
kxoh	anjinglelah
rwoh	urut
ve	vektor
kyoh	kilo
swoh	sekuensial
pxeh	ygdipisahkankasus
txeh	ygbertambah
dxih	predikatif
pxoh	prolativekasus
pfoh	profrasa
blah	bosan
fyih	nonmanusia
xo	aktorperan
pc6h	percobaanjumlah
greh	centrickasus
groh	tujuanpelatuk
dxoh	tengahsuara
rweh	miringkasus
xwah	sabarkasus
xu	prahariini
xroh	aus-out
ks6h	kausatif
vi	biner-nilai
dleh	modalkasus
gjeh	lain-jika
xreh	temansekerja
lwoh	lokatifkasus
ml6h	multaljumlah
gjih	galaksijeniskelamin
qlah	bintangjeniskelamin
bvih	abessivekasus
dvah	adessivekasus
je	agentifkasus
t6	agenpelatuk
kxeh	untukkasus
gxih	umumjeniskelamin
tc6h	kutipanuntukm
ts6h	transangka
ryuh	langsungobyek
gveh	ergatifkasus
pyoh	pasifsuara
qe	terbataskatakerja
xwih	utamaobyek
myoh	ygbersifatperibahasasuasanahati
vrih	terakhirpartikel
va	evitativekasus
bveh	subessivekasus
dxeh	kerasukankasus
dvih	mendapatkankursikasus
tsa7h	antessivekasus
dyeh	bersifatkataketerangankasus
mleh	menghidupkanjeniskelamin
pfeh	empatikegembiraan
xleh	kendaraanjeniskelamin
qlih	mineraljeniskelamin
xloh	lisankatabenda
dreh	keduabahasa
bvah	dirikepercayaan
qrah	perubahandariperistiwa
fo	berbedaperistiwa
sl6h	crastinaltegang
fyoh	refleksifsuara
bxih	alamsemestajeniskelamin
jlih	transitifkatakerja
kyeh	lokalitasjeniskelamin
txuh	penelitianjeniskelamin
s6	artistikjeniskelamin
preh	sabarpelatuk
sr6h	abstrakjeniskelamin
nyoh	tidaklangsungpidato
zreh	exocentrickasus
kfeh	laluperfektif
jo	adilkatakerja
kxuh	kolektifkatabenda
bu	absolutifkasus
qrih	planetjeniskelamin
kfoh	intibenefaktif
kwoh	asosiatifkasus
pluh	superlatifkasus
jrah	listrikarus
glih	matijeniskelamin
p6	propositivesuasanahati
vrah	timbal-baliksuara
lyuh	berturut-turutayat
gleh	segeramasadepantegang
lyoh	aplikatifsuara
ps6h	antipasifsuara
tfuh	continuativeaspek
nr6h	necessitativesuasanahati
pr6h	pasifpartisip
sy6h	eksistensialayat
qyih	bercahayaintensitas
gluh	singulativejumlah
kwuh	terlalubanyaklamanya
xyah	tunggaltindakankatakerja
vlih	superlatifgelar
djah	menyajikanpartisip
m6	jumlahdarizat
ti7	ikatpartikel
f6	epentheticmorfem
tli7h	terpencilmasadepantegang
si_	postpositionalkasus
l6	allocutionperjanjian
k6	ygberulang-ulangaspek
bzih	distributifkataganti
tu7	floating-point-nomor
vo	verba-akhiran
ki7	lalupasifpartisip
ta_	lokatifdirectionalkasus
