ni	főnéviigenév
nwah	bizonyítékonalapulóügy
srih	szomorú
zo	zoicnem
nweh	eventivehangulat
cwoh	azonoseseményjelző
plih	multiplikatívügy
dwah	kívánatos
kcoh	fáradt
drah	elégedett
lu	spekulatívhangulat
frih	ismerősnyilvántartás
frah	sebesült
mruh	bolond
djih	együttérzés
krah	köszönet
cruh	szégyen
fyah	kifejezésjelző
ryih	eleve
kruh	keserű
tyeh	szöveg
kreh	kegyetlen
tleh	hesternalfeszült
kfah	áldozat
dyih	gyűlölet
cloh	racionálisnem
nloh	élvez
psah	kétségbeesés
sleh	növényinem
nruh	ártatlan
drih	csodálat
sroh	Bocsánat
brih	bázis
kluh	zavar
bwih	áldáshangulat
klih	bűnös
grih	tudatlan
nyeh	kezdeményezésügy
nleh	alázatos
dlih	késleltetettparancsoló
proh	jelentettbizonyítékonalapuló
mloh	melankólia
du	egyedülálló
jrih	türelem
freh	referenciális
kloh	magányos
kroh	báj
tcuh	lelkesedés
kcuh	induktívhangulat
xa	társalgáskontextus
nreh	ideges
pseh	vonatkozás
ge	ügynök
mu	figyelmeztetéshangulat
byah	becsvágy
pcoh	zsúfolt
treh	közvetlenbizonyítékonalapuló
yo	nyugtalanhangulat
cwuh	sokk
tloh	újmúltfeszült
dlah	határozottcikk
cluh	csúnya
myuh	humor
dyah	távolabbimeggyőző
rwuh	irigy
troh	átkozódóhangulat
dzih	közöny
swuh	feltevésszerűhangulat
bzah	tréfa
gwih	ugyanis
dloh	maifeszült
dweh	delimitativevonatkozás
kweh	kizárólagosszemély
truh	hőmérséklet
tfeh	telikusvonatkozás
lyeh	atelicvonatkozás
ru	tiltóhangulat
kfih	gyerekes
cyoh	gyanús
nluh	hűség
cweh	csapda
nwoh	élénk
sruh	izgalom
ksoh	szexuális
lyah	lusta
mreh	momentanevonatkozás
pceh	megbánta
bjih	előzőelhunyt
pcuh	bizonytalanság
xi	szokásosvonatkozás
blih	határos
tsuh	jelentéktelen
fwih	fenséges
grah	hízelgő
brah	önkényes
cleh	jóindulatú
sreh	hivatalosnyilvántartás
pfah	előnyös
droh	hallásibizonyítékonalapuló
flih	következtetésibizonyítékonalapuló
sweh	sublativeügy
ksuh	kinyilatkoztatóhangulat
pleh	kiváltságos
psoh	legyőzhetetlen
be	szóbeli
mwoh	álmodozás
kleh	szerencsétlenség
glah	kapzsiság
kseh	igenlőhangulat
zrah	elégedetlenség
dyoh	idiophone
syoh	tiszteletteljes
gwah	túlzottügy
zlih	irrealishangulat
zrih	félénkség
byih	alkalmazkodás
ryeh	névmásjelző
fwah	takarékos
bjah	elragadtatott
kxah	egykedvűség
gvih	pegativeügy
pxih	fenntartás
xrah	lejáró
tfoh	ezentúl
kxih	bűnbánat
ryoh	ügyésziügy
qyah	szórakozottság
r6	melléknéviigenév
txah	távolimúltfeszült
xrih	történelmifeszült
dxah	duplaszám
syuh	szuper
vweh	túldolgozott
n6	szenzorosbizonyítékonalapulóhangulat
bweh	megszállottság
xlih	vicces
txih	szúr
sluh	selfelégedett
txoh	mozgásfárasztó
xe	visszatekintő
pxah	csapdábaejt
vwah	mozgáslesiklás
xyih	elit
fleh	ragozott
psuh	superessivusügy
syeh	szatír
qi	tranzitív
xruh	meglapul
zwah	Azta
tr6h	mozgásfolyón
qwah	igénytelen
xlah	világszerte
tyoh	tárgyatlan
tluh	antiklimax
qa	jelenlegifontosságjelző
kxoh	kutyafáradt
rwoh	sorrendi
ve	vektor
kyoh	kiló
swoh	egymásutáni
pxeh	részelőügy
txeh	fokozódó
dxih	állító
pxoh	prolativeügy
pfoh	prokifejezés
blah	fásult
fyih	nememberi
xo	színészszerep
pc6h	próbaszám
greh	centrikusügy
groh	célravasz
dxoh	középsőhang
rweh	ferdeügy
xwah	betegügy
xu	premai
xroh	viseletki
ks6h	okozó
vi	kétkomponensűérték
dleh	módbeliügy
gjeh	másha
xreh	munkatárs
lwoh	helyhatározóiesetügy
ml6h	multalszám
gjih	galaktikanem
qlah	csillagnem
bvih	abessiveügy
dvah	adessiveügy
je	agentiveügy
t6	ügynökravasz
kxeh	naknekügy
gxih	közösnem
tc6h	idézetforma
ts6h	transzszámjegy
ryuh	közvetlentárgy
gveh	ergatívokügy
pyoh	passzívhang
qe	végesige
xwih	elsődlegestárgy
myoh	gnómikushangulat
vrih	végsőrészecske
va	evitativeügy
bveh	subessiveügy
dxeh	megszállottügy
dvih	halmozottügy
tsa7h	antessiveügy
dyeh	határozóiügy
mleh	élőnem
pfeh	empatikusöröm
xleh	járműnem
qlih	ásványinem
xloh	szóbelifőnév
dreh	másodiknyelv
bvah	magabizalom
qrah	változásnak,-nekesemény
fo	különbözőesemény
sl6h	crastinalfeszült
fyoh	visszahatóhang
bxih	világegyetemnem
jlih	tranzitívige
kyeh	helységnem
txuh	kutatásnem
s6	művészetinem
preh	betegravasz
sr6h	absztraktnem
nyoh	közvetettbeszéd
zreh	exocentricügy
kfeh	múltbefejezett
jo	személytelenige
kxuh	kollektívfőnév
bu	absolutiveügy
qrih	földinem
kfoh	magbenefactive
kwoh	asszociációsügy
pluh	felsőfokúügy
jrah	elektromosjelenlegi
glih	élettelennem
p6	propositivehangulat
vrah	kölcsönöshang
lyuh	egymástkikötés
gleh	hamarjövőfeszült
lyoh	alkalmazóhang
ps6h	antipassivehang
tfuh	továbbképzésvonatkozás
nr6h	necessitativehangulat
pr6h	passzívmelléknéviigenév
sy6h	egzisztenciáliskikötés
qyih	világítóintenzitás
gluh	singulativeszám
kwuh	túlzottidőtartama
xyah	egyetlenakcióige
vlih	felsőfokúfokozat
djah	ajándékmelléknéviigenév
m6	összegnak,-nekanyag
ti7	összekötőrészecske
f6	beiktatottmorféma
tli7h	távolijövőfeszült
si_	névutósügy
l6	rövidbuzdítóbeszédmegegyezés
k6	gyakorítóvonatkozás
bzih	elosztónévmás
tu7	úszópontszám
vo	igeelhelyezi
ki7	múltpasszívmelléknéviigenév
ta_	helyhatározóiesetirány-ügy
