hnit	不定詞
dwan	ハング
cwok	ショック
hdok	運転
crun	宝
hzik	シード
hrot	最近過去時制
hket	起きている
hcek	家具
hrop	ロープ
mrac	冒険
byit	ごちそう
trak	年次
hzin	南方の
sric	式
clik	狩猟
trap	リベラル
hrim	キリスト教
hrus	王女
blat	祭壇
cyon	小さな
hwep	ウェブ
krat	枢機卿
tris	紫の
kcot	ギャザー
hben	選挙
trik	酔っぱらい
kfit	リフト
tcec	交換
nrik	明確な記事
grat	天皇
dran	管理
hpen	以前に
cluk	醜い
nrac	無害の
ryin	トレーニング
hrun	ロール
nwic	インチ
slit	シュート
gzat	新聞
krot	切断
drit	髭
hzis	涙
hdap	18
sris	歴史的
mrut	キモい
nyik	泥
bran	花嫁
drat	左右される
djan	巨人
glat	単純
hpoc	秋
pras	ベール
hgot	集会
tret	劇場
tras	比較
rwit	ライバル
hfon	形成
klot	コー​​チ
hmum	ユーモア
drac	談話
rwas	小説
tset	復讐
hdot	遠位例証的な
ryut	嫉妬深いです
hwon	招待
byat	焦げ
flac	フラッシュ
prot	肖像画
crek	示唆する
htok	紛争
htop	呪い
prit	のろいを表します気分
hces	無力な
klup	クラブ
hnos	洪水
dwin	無関心
prin	地平線
mrit	仮定の気分
tcoc	急な
hcom	調和
grit	サンダー
tlot	幼年時代
hgik	膝
hwes	無意識
hzac	相互
hsec	ソフトウェア
tson	機関
ryit	領収書
dlin	規律
slip	スリップ
klon	革命
hfim	農家
hpom	プラットフォーム
cyen	学生
hgec	洞窟
hroc	伝統
srac	提出します
ryat	悲劇
kcen	バージン
hbap	お別れ
krik	批判
krap	コットン
fwat	病院
kcet	家賃
hgas	ガス
pfin	避けられません
dlit	葉
ryan	翻訳
sran	葬儀
mrin	粉
hram	ロマンチック
dlan	ドル
hzas	冗談
hsos	16
klen	コロニー
gyin	翼
hsif	ライオン
cluc	狡猾な
prip	準備
hzut	ミスト
dwat	医学
krit	校正します
sras	ネスト
hses	14
brat	異議
flat	酸
hjic	すなわち
slic	武器
hbuc	ユーザー
tron	オレンジ
byan	浴
hrif	プリミティブ
tlip	確立します
blan	バスケット
kris	秘書
hyon	その間に
tren	今日
dlat	現在の時制
hzic	毒
tfic	ライフル
tlen	才能
hlim	気候
dyat	メイト
kcon	啓示
dlac	ウォッシュ
krak	告白
hbas	ナンセンス
hkec	石炭
hrek	リストア
hkos	カヌー
hwif	バイス
tric	一時的
hdep	delimitativeアスペクト
mwak	パイル
ksot	骨
hnoc	月曜
nlas	火曜日
brac	水曜日
frap	連邦政府の
pfit	代表
pcoc	ポール
lyen	リネン
swak	シンク
pcen	大統領
brit	血まみれの
hwec	包囲
hwet	胃
hlos	2階
hbon	多様な
pcon	真鍮
hsem	サミット
lwac	安いです
tsos	コンテスト
kwen	排他的人
trun	着陸
trut	像
hrap	砲兵
hgap	逮捕
trot	温度
grin	ご近所
hjak	擁する
hpek	パック
hlus	鹿
hwos	ベッドルーム
tsuc	ブッシュ
pcuc	放電
cris	相続人
clun	オーク
hpes	不快
nlet	不完全な
hrom	プログラム
pyon	ピアノ
swet	説得します
dric	目に見えません
tyen	よく既知の
hruk	残酷さ
frat	割り当てられました
hyoc	誘惑
hlep	TELICアスペクト
nrot	国際
nret	激しく
hfif	哲学者
pfic	表現
hmek	敏感
hfec	福祉
myik	釣り
truc	スチール
tcop	リップ
rwic	リタイア
htom	経済
glan	ギャラリー
pren	平行
hlek	未完了相のアスペクト
nrak	大陸
truk	ノック
hjim	ひどく高いです気分
rwat	ネクタイ
hcep	細胞
dyan	卵
jrat	人工的な
nren	ひらめき
ksic	危機
tsoc	検索
lwan	ランチ
hpos	松
hcuf	押す
tcus	訴える
pset	延長する
hkep	銅
swis	船乗り
prim	インペリアル
trip	ホイップ
cras	シャツ
swap	スイープ
syet	スケッチ
htof	泥棒
clen	チャネル
kwit	人
klok	過剰
hrok	改革
hguc	渇き
kcim	脅迫的な
hpem	手のひら
psik	スピーカー
frit	しきい値
cret	形跡
mrak	槍
syen	セッション
tcup	湿りました
hyek	旅行者
trim	錫
plak	苦情
hyok	角度
hgam	牛
hmok	ミル
jrac	地図
kloc	カラー
gyit	意図的に
hbip	ビール
mlet	ベルベット
lyap	乱用
cwen	群れ
bwan	姪
tses	13
jrit	正当化します
nlak	原稿
sron	戦士
cruc	金曜日
broc	みがきます
dlot	ダウンロード
krim	クリーム
pric	ピッチ
prut	陪審
hgon	フローズン
sram	文字通り
pfot	ポット
hlot	計画されました
djin	コイン
hlok	跳躍
hpep	林檎
hwot	ねじれました
dlak	話し合います
brik	申し込む
nlis	書き写します
hbet	ベット
pris	ウイルス
hjik	ホスピタリティー
blit	幼稚な
hjap	ローブ
tfik	反映します
hdaf	達成します
hpop	オペラ
kcaf	隠蔽
kcoc	肘
hrum	修復
cyim	疑わしい
dyic	教育の
hgoc	ピット
drak	障害
plas	拍手
byin	バイナリ
hzap	修道院
nlot	忠誠心
mrik	メカニカル
hsop	うまく
crap	トラップ
kyek	ケーキ
nrut	楽しませます
syes	サー
hjet	17
hjen	フェミニン
hmom	蜂蜜
hdec	残念ながら
lwen	伝説
slot	レンジ
frac	反乱
gwan	うねり
mruk	改善します
swot	沼地
zlan	獲得します
hnem	アニメの
hdes	ドレッシング
prak	説教
frin	風景
hfet	反対します
cros	コー​​ラス
ryon	ラショナル
tcos	作物
tsen	処理
hwek	狼
nlik	拒否
klap	カーペット
dras	軽蔑します
prop	肥沃な
slim	ホイッスル
hgis	チーズ
krut	一口
srot	護衛
bjan	さまよいます
nwen	海軍
myas	マスク
kwaf	開発します
twis	タクシー
pcip	鉛筆
srap	野菜
sren	示す
tlun	ズボン
hrup	汚職
nrip	キャビネット
srup	スープ
jran	外科医
bjat	手当
gyat	スパイ
hlem	無謀
srak	抽象
kson	アクセント
cwis	木曜日
sret	心から
hraf	トラフィック
hres	建築
hsuf	廃棄
rwak	亀裂
twon	オーナメント
hfus	回復
hkom	コー​​ド
djat	ハンター
nlut	ニュースレター
hsef	ヘビ
mris	民主主義
bric	電池
mlam	ワックス
zran	シェアリング
cron	スリル
hzen	泳ぐ
traf	ストリップ
cwaf	エンベロープ
srip	シガレット
mrot	モーター
swon	ボランティア
ryak	反応
pfun	部分的に
blac	荷物
mret	省
hjon	性的
kcok	斧
dram	ダイヤモンド
kren	代わりの
tcek	エコー
hdif	身元
tfas	大使
hfot	成ります
lwas	怠惰な
hmep	momentaneアスペクト
kfin	エンコーディング
mwin	虚数
hrem	線
pram	クライミング
byac	セラー
mren	思い出深い
swen	上院
kras	棺
hgun	飲み込む
nlok	ふけます
ryic	農業の
gwin	スイング
srut	牧草地
hkes	複雑な
hfis	辞任
frak	繰り返して
hnom	陰謀
hcop	パブ
hlec	コショウ
mlot	メロディー
zrat	候補者
proc	パトロン
flik	狐
cyet	後悔
hgim	煙突
slet	ヘッジ
tcok	正確さ
bjit	前者故人
brot	芽
bwat	毛布
hdus	豚
gwat	象牙
kret	エキス
nwet	観察者
jwan	大通り
nwis	爪
mwic	蜂
bzat	俳優
gyan	汗
zyit	エグゼクティブ
blic	錯覚
pcet	不確実性
tsot	折り畳みます
bwit	境界
tres	応力
hkof	消費
nyen	うめき声
hles	似ています
cyek	袋
hjis	針
gjan	現象
prec	振る舞います
drot	制御されました
kcek	曲線
twic	チキン
brak	バレル
zwat	常習的な
clap	常習的なアスペクト
tsec	専門家
bwin	印象づけます
cwet	有界の
hbek	パン職人
zlin	オリーブ
mron	バン
drin	ささげます
psap	晒す
gjin	お誕生日
clut	ハンマー
cwun	香り高いです
twaf	ささいな
pcot	ペット
krok	頭蓋骨
dlik	議会
cwic	幸いにも
srun	渋面
crec	破壊
jlan	マージン
kcip	チャンピオン
blin	10億
ryik	化学物質
mlas	パルス
flit	パイロット
hzet	結び目
cwik	雄大な
twet	スカート
mwik	毎週
tfis	テクニカル
tlon	車両
cram	お世辞の
grac	強化する
kraf	カラス
trup	属性
hduk	フック
cruk	虎
nrap	お手伝いさん
crot	高速道路
mlip	民兵
hfoc	写真
nres	整合性
plos	プラス
tfam	トランスペアレント
nlic	19
hwok	資格のあります
nlen	エッセイ
fyic	効率
hwuk	ユニーク
hgok	オーガニック
flic	神学
flot	浮く
hboc	義務付けます
hwoc	魔女
syot	スタジオ
cwip	シャンパン
hbes	バナー
lwic	離婚
blot	ボルト
cwot	監禁
cwam	静脈
prik	受動的
hfum	フォーム
grik	砂利
zrin	エプロン
gren	惑星
hfuc	復活
claf	棚
flas	ファン
hjot	トロピカル
hbim	任意
krek	水銀
hbec	慈善
tsaf	自殺
pwas	摘みます
plot	レポーター
kfak	費やします
blak	バルコニー
hdos	染色
kwis	クラシック
kcos	非難します
psen	年金
kres	動詞
hzon	モンキー
srim	署名
glin	リラクタンス
mlut	悪名高いです
myot	インポート
fwac	創業者
troc	トーチ
hgaf	文法
hyop	ヨット
ksip	絶滅しました
sres	遠足
hnup	ドーム
hzun	頑固な
mric	筋
gjat	大きさ
hros	こする
zrac	臆病な
tros	トースト
myus	マウス
dwac	対話
byak	ヤギ
htef	テーラー
hfek	栄えます
dzan	課す
nyon	匿名の
zrit	フォーマル登録
pcos	スポーツの
hjec	メルト
dlas	削除します
mras	傘
mram	ミネラル
cwut	休戦
hbok	アヒル
swun	石鹸
dwak	人形
plif	別荘
slon	縫い
tfut	祝います
djac	調整します
hjas	抑えます
kric	ウサギ
kwot	導体
gzan	保証
clot	プレーヤー
ksek	昆虫
psam	姿勢
mwut	フクロウ
htem	永久に
clon	バイオリン
dzin	居住者
rwim	それぞれ
hyof	有益
dron	ドラゴン
dwit	聴覚の証拠の
sroc	エクスポート
hzot	終了
djik	リンガー
kfik	蓋
ryun	規制
hmes	市長
rwac	ハードウェア
sruk	サーカス
sros	少数
bzan	暴動
kset	オーケストラ
bjon	ベーコン
hjut	無制限の
tfen	防御の
zwac	不利益
dyin	審議
myis	ミュージシャン
mlis	精神的に
pret	不十分な
tsek	建築家
hlom	レモン
ksos	咳
crok	頭痛
flin	肥沃
mrun	大工
swec	ランダム
syuk	スプーン
blun	バルーン
tcep	チョーク
fric	軽食
rwik	垂直
rwen	予防
flet	推論の証拠の
pfac	出版社
srek	酢
tfun	トンネル
pwet	パズル
gyik	数学
fwot	フェード
lwin	バランスのとれました
jwin	肝
bwik	sublative場合
hdup	浸漬
hnop	独占
bwic	潜水艦
ryen	かかわらず
hcem	地震
hbos	研究室
nrek	ワーカー
ryim	リズム
nyic	解釈します
dwas	大使館
rwok	挑発します
kram	できないこと
ksim	宣言型気分
clok	チョコレート
pcec	特権を持ちます
nyis	隠者
tyoc	一致
grak	スクラッチ
zlat	グローブ
hjuk	ひざまずきます
trif	地理
djit	系統的
pson	無敵
mwis	投資
cwec	口頭の
hdek	世俗的な
blik	タカ
sloc	心理学
brap	スクラップ
jlat	海賊
dros	用量
slam	鮭
pwun	プリン
gwik	磁気
pcop	ポンプ
myen	同様に
ksen	酸素
mrap	フォアマン
tfot	証明書
ksus	クラスタ
trok	レトリック
tloc	ラング
zyan	オール
nlun	ログイン
hlop	望遠鏡
jlin	つづり
lyut	曇りました
hsof	サーフ
fyik	ウィスキー
klet	相対的に
hwof	柳
hlum	キャメル
myet	アマチュア
klis	分離
hbaf	バイオグラフィー
gwac	ロバ
hwum	噂
pwik	視点
pron	プロ
myes	毎月
mwen	空想
kfic	休暇
klek	クリック
cwon	オーバル
lyak	エラスティック
kwon	辞書
hjam	ハム
rwon	虹
crip	これによって
zwan	発生
srok	社説
craf	伍長
tlok	タンク
brip	バタフライ
tfap	チャート
jwat	ツイン
pros	オペレーティング
psun	前兆
clet	悲惨
hbus	竹
dyas	ディーラー
klun	累積
jlit	全会一致
hdom	悪夢
kron	炭素
hzam	ジャム
cyot	リスナー
hmem	博物館
lwam	アルファベット
fras	スキャッター
psoc	パンチ
hgum	ガム
brek	ブレーキ
glit	安定
frun	腐敗
gris	積極的な
mroc	摩擦
bzit	クモ
plut	ポテト
glac	貪欲
gzac	かける
prun	スピン
jlet	カレンダー
nyim	指名
tlos	1兆
slut	サラダ
fwit	肯定的な気分
pyen	アプリケーション
nlon	名目
dren	実証します
drun	不満
cyok	肩をすくめる
hfop	フットボール
ryac	パートナーシップ
gzin	パイオニア
hgip	キャベツ
tyet	アスレチック
hdof	イディオフォン
hwup	計り知れません
lwek	レバー
syec	上院議員
jyak	受け入れます
mlim	蟻
fwic	効果的に
gzit	妊娠しました
blas	依存
jrin	毎日
gwak	足首
drik	妙に
prif	変数
jwit	多様性
krip	差別
ryot	恐れおののきました
nwut	歩道
kcif	積極的に
jrak	カエル
twek	過度の場合
psot	償い
pfon	スポンジ
sluk	リス
nlim	非現実相気分
ksaf	希少性
glak	火山
plen	平衡
kfaf	スカーフ
kyon	エクスプロイト
jlik	地質学的な
psop	パスポート
kfis	欠員
fyon	親和性
nram	不道徳な
hbuk	ビスケット
gras	トランス
hyos	不安
flim	膜
plet	タブレット
rwam	原子
blis	バニラ
zlit	エイズ
fyut	気難しいです
crim	ピラミッド
hjif	非合法
crif	内気
lwap	リュート
tyon	天文学
mrim	迷路
drut	記述的な
nrim	奨学金
kruc	カメ
kwam	顧問
jrik	クリケット
dlut	示します
pyot	鳩
dyon	適応
prap	オペレーター
bzin	バッジ
tyek	三角形
trec	会計
nron	水素
pyet	プリンタ
tsok	チョーク
zyin	慢性的
slek	自転車
jyin	エンジニアリング
ryas	送信
zrak	リフレッシュ
nyas	ダンサー
gric	マイグレーション
zlak	違反します
tces	テニス
hjun	強風
twen	ウィーブ
kyet	コレクタ
gwit	脊椎
kyot	コー​​ド
fwin	周波数
tfuc	織機
dlet	ディレクトリ
pfik	思想家
bjet	予算
trek	戦略
kros	石英
gjit	はさみ
gwic	スイッチ
frik	理論的な
tluc	タオル
pruc	パトロール
glic	氷河
krun	完全
bjin	予測
tlaf	参加します
tfet	メーカー
bras	ラテラル
dwik	被告
clec	排気
cres	チェス
tcef	チェリー
tcom	つまずきます
nyot	翻訳者
tyok	トラック
cyip	凌駕
grot	マスタード
bris	無線
nlam	オークション
slif	ふるい
hgos	さび
swoc	不安定な
jyat	破産
slum	イスラム教
hjes	国勢調査
dzat	つま先
slun	サスペンド
nwot	連続
gyic	ギター
pfas	バイアス
zyik	亜鉛
blen	光沢のあります
hyem	エルム
hnep	スクランブル
nyut	編まれました
ryam	代名詞マーカー
clim	スパイス
jret	切れ味
tfon	からかう
jwac	ジャワ
hrep	レシピ
dyac	フランチャイズ
myip	メーター
rwis	人種的
hkem	彗星
nwon	革新
zwin	禁止
