ni	nauni
blah	Blasé
fyih	zisizobinadamu
xo	muigizajijukumu
pc6h	kesiidadi
greh	centrickesi
groh	lengotrigger
dxoh	katikatisauti
rweh	obliquekesi
xwah	mgonjwakesi
xu	kablahodiernal
xroh	kuvaanje
ks6h	causative
vi	mapacha-thamani
dleh	modalkesi
gjeh	kingine-kama
xreh	coworker
lwoh	locativekesi
ml6h	multalidadi
gjih	galaxyjinsia
qlah	nyotajinsia
bvih	abessivekesi
dvah	adessivekesi
je	agentivekesi
t6	wakalatrigger
kxeh	kwakesi
gxih	kawaidajinsia
tc6h	citationfomu
ts6h	transnumeral
ryuh	mojakwamojakitu
gveh	ergativekesi
pyoh	watazamajisauti
qe	finiteverb
xwih	msingikitu
myoh	gnomicmood
vrih	mwishochembe
va	evitativekesi
bveh	subessivekesi
dxeh	mwendawazimukesi
dvih	lativekesi
tsa7h	antessivekesi
dyeh	adverbialkesi
mleh	animatejinsia
pfeh	hurumafuraha
xleh	garijinsia
qlih	madinijinsia
xloh	matusinoun
dreh	pililugha
bvah	binafsikujiamini
qrah	mabadilikoyatukio
fo	tofautitukio
sl6h	crastinaluliopo
fyoh	reflexivesauti
bxih	ulimwengujinsia
jlih	elekeziverb
kyeh	eneojinsia
txuh	utafitijinsia
s6	kisaniijinsia
preh	mgonjwatrigger
sr6h	abstractjinsia
nyoh	mojakwamojahotuba
zreh	exocentrickesi
kfeh	sikuzanyumaperfective
jo	impersonalverb
kxuh	pamojanoun
bu	absolutivekesi
qrih	planetaryjinsia
kfoh	msingibenefactive
kwoh	associativekesi
pluh	superlativekesi
jrah	umemesasa
glih	inanimatejinsia
p6	propositivemood
vrah	kubadilishanasauti
lyuh	mfululizokifungu
gleh	harakabaadayeuliopo
lyoh	applicativesauti
ps6h	antipassivesauti
tfuh	continuativekipengele
nr6h	necessitativemood
pr6h	watazamajiMmoja
sy6h	existentialkifungu
qyih	luminouskiwango
gluh	singulativeidadi
kwuh	kupindukiamuda
xyah	singlehatuaverb
vlih	superlativeshahada
djah	sasaMmoja
m6	kiasiyaDutu
ti7	connectivechembe
f6	epentheticmorpheme
tli7h	kijijinibaadayeuliopo
si_	postpositionalkesi
l6	allocutionmakubaliano
k6	frequentativekipengele
bzih	distributivepronoun
tu7	floating-kumweka-idadi
vo	kitendo-suffix
ki7	sikuzanyumawatazamajiMmoja
ta_	locativedirectionalkesi
