hnit	Infinitiv
hjit	Finger
hmoc	irgendwo
pran	DrückenSie
kcec	Region
hken	inletzterZeit
hloc	Melancholie
hrak	Personal
htes	Blick
rwan	Belohnung
hdon	spenden
htot	Stirn
hnet	Engel
hdun	Singular
croc	Fehler
hlon	Dämmerung
hyec	Schaf
hjin	Geduld
hrec	Bezugs
mran	Mais
htos	Mehrheit
hcos	Maßnahmen
hkoc	abunzu
hlif	profitieren
clak	Zucker
hjat	Menschheit
tram	Rahmen
hdic	Scheibe
hkok	einsam
srat	Künstler
crak	Charme
hmet	Email
hden	Entscheidung
gran	Gouverneur
crac	Zweig
hjac	Begeisterung
hdim	induktivStimmung
hcok	Eile
hyet	Öl
pwap	Rohr
trat	drucken
tcot	Feststoff
hdoc	Oh
hren	DiskursKontext
tcon	Mittag
krin	Kabine
plam	Alarm
hnes	nervös
tcen	Beobachtung
hsek	Aspekt
plik	anwendbar
slik	Seide
hfen	Cent
hgen	Agent
hnon	Union
crik	Hölle
tcet	defekt
mrat	gemischt
hdam	ErmahnungStimmung
hgac	Ambition
htoc	irgendwie
hdac	Rat
nwin	Verfassung
srit	Instrument
hret	fest
nlin	online
hzat	Tide
klic	Hochschule
hkek	Schwanz
nric	Generation
hgic	überfüllt
hgak	Katze
trit	direktbeweiskräftig
tyot	Vertrag
hnok	Inhalt
crit	verlassen
slen	elf
srin	Instinkt
hpok	Stamm
hyot	besorgtStimmung
cric	Schutz
hruc	unhöflich
cwin	Reiten
hzak	Shake
dyit	Industrie
hpec	Beruf
nras	Krankenschwester
hcec	Lehre
hbut	Schuhe
hmec	vage
twot	Aktivität
crat	Samstag
hkot	Kapazität
hnec	Sonnenschein
hwuf	Witwe
cren	Schuppen
nrat	Star
hget	Gast
hbik	segnen
brin	innere
hpot	verfügbar
trac	Widerstand
prac	ableiten
hcoc	hohl
hpon	Provinz
hwim	Zivilisation
dwan	aufhängen
cwok	Schock
hdok	Fahren
crun	Schatz
hzik	Samen
hrot	kürzlichVergangenheitTempus
hket	wach
hcek	Möbel
hrop	Seil
mrac	Abenteuer
byit	Fest
trak	jährlich
hzin	Süd-
sric	Zeremonie
clik	Jagd
trap	Liberale
hrim	Christentum
hrus	Prinzessin
blat	Altar
cyon	sehrklein
hwep	Netz
krat	Kardinal
tris	lila
kcot	sammeln
hben	Wahl
trik	betrunken
kfit	Aufzug
tcec	Austausch-
nrik	eindeutigArtikel
grat	Kaiser
dran	Verwaltung
hpen	vorher
cluk	hässlich
nrac	harmlos
ryin	Ausbildung
hrun	rollen
nwic	Zoll
slit	schießen
gzat	Zeitung
krot	Schneiden
drit	Bart
hzis	reißen
hdap	achtzehn
sris	historisch
mrut	brutto
nyik	Schlamm
bran	Braut
drat	abhängen
djan	Riese
glat	Einfachheit
hpoc	Herbst
pras	Schleier
hgot	Versammlung
tret	Theater
tras	Vergleich
rwit	Rivale
hfon	Bildung
klot	Trainer
hmum	Humor
drac	Diskurs
rwas	Roman
tset	Rache
hdot	distalendemonstrativ
ryut	eifersüchtig
hwon	Einladung
byat	verbrannt
flac	blinken
prot	Porträt
crek	vorschlagen
htok	Konflikt
htop	Fluch
prit	imprecatoryStimmung
hces	hilflos
klup	Klub
hnos	Flut
dwin	Gleichgültigkeit
prin	Horizont
mrit	assumptiveStimmung
tcoc	steil
hcom	Harmonie
grit	Donner
tlot	Kindheit
hgik	Knie
hwes	Unbewusste
hzac	gegenseitig
hsec	Software
tson	Institutionen
ryit	Eingang
dlin	Disziplin
slip	Beleg
klon	Revolution
hfim	Farmer
hpom	Plattform
cyen	Schüler
hgec	Höhle
hroc	Tradition
srac	einreichen
ryat	Tragödie
kcen	Jungfrau
hbap	Abschied
krik	Kritik
krap	Baumwolle
fwat	Krankenhaus
kcet	Miete
hgas	Gas
pfin	unvermeidlich
dlit	Blatt
ryan	Übersetzung
sran	Beerdigung
mrin	Mehl
hram	Romantiker
dlan	Dollar
hzas	Scherz
hsos	sechzehn
klen	Kolonie
gyin	Flügel
hsif	Löwe
cluc	gerissen
prip	Vorbereitung
hzut	Nebel
dwat	Medizin
krit	Korrekturlesen
sras	Nest
hses	vierzehn
brat	Einwand
flat	Acid
hjic	nämlich
slic	Waffe
hbuc	Benutzer
tron	Orange
byan	Bad
hrif	Primitive
tlip	etablieren
blan	Korb
kris	Sekretär
hyon	inzwischen
tren	heute
dlat	hodiernalTempus
hzic	Gift
tfic	Gewehr
tlen	Talent
hlim	Klima
dyat	Kamerad
kcon	Offenbarung
dlac	waschen
krak	Bekenntnis
hbas	Unsinn
hkec	Kohle
hrek	wiederherstellen
hkos	Kanu
hwif	Schraubstock
tric	temporäre
hdep	delimitativeAspekt
mwak	Stapel
ksot	Knochen
hnoc	Montag
nlas	Dienstag
brac	Mittwoch
frap	Bundes-
pfit	Vertreter
pcoc	Pole
lyen	Leinen-
swak	sinken
pcen	Präsident
brit	blutig
hwec	Belagerung
hwet	Bauch
hlos	dieTreppehinauf
hbon	abwechslungsreich
pcon	Messing-
hsem	Gipfel
lwac	billig
tsos	Wettbewerb
kwen	exklusivPerson
trun	Landung
trut	Statue
hrap	Artillerie
hgap	verhaften
trot	Temperatur
grin	Nachbarschaft
hjak	Umarmung
hpek	Pack
hlus	Hirsch
hwos	Schlafzimmer
tsuc	Busch
pcuc	entladen
cris	Erbe
clun	Eiche
hpes	unangenehm
nlet	unvollständig
hrom	Programm
pyon	Klavier
swet	überzeugen
dric	unsichtbar
tyen	allgemeinbekannt
hruk	Grausamkeit
frat	zugewiesen
hyoc	Versuchung
hlep	telicAspekt
nrot	international
nret	heftig
hfif	Philosoph
pfic	Darstellung
hmek	empfindlich
hfec	Wohlergehen
myik	Angeln
truc	stehlen
tcop	Lippe
rwic	indenRuhestandgehen
htom	Wirtschaft
glan	Galerie
pren	parallel
hlek	AtelicAspekt
nrak	Kontinent
truk	klopfen
hjim	unerschwinglichStimmung
rwat	Krawatte
hcep	Zelle
dyan	Ei
jrat	künstlich
nren	Inspiration
ksic	Krise
tsoc	Suche
lwan	Mittagessen
hpos	Kiefer
hcuf	drücken
tcus	verklagen
pset	erweitern
hkep	Kupfer
swis	Seemann
prim	kaiserlich
trip	Peitsche
cras	Hemd
swap	fegen
syet	skizzieren
htof	Dieb
clen	Kanal
kwit	Persönlichkeit
klok	Überschuss
hrok	Reform
hguc	Durst
kcim	bedrohlich
hpem	Palme
psik	Lautsprecher
frit	Schwelle
cret	Spuren
mrak	Speer
syen	Session
tcup	feucht
hyek	Reisende
trim	Zinn
plak	Beschwerde
hyok	Winkel
hgam	Kuh
hmok	Mühle
jrac	Karte
kloc	Halsband
gyit	bewusst
hbip	Bier
mlet	Samt
lyap	Missbrauch
cwen	Herde
bwan	Nichte
tses	dreizehn
jrit	rechtfertigen
nlak	Manuskript
sron	Krieger
cruc	Freitag
broc	Bürste
dlot	herunterladen
krim	Creme
pric	Tonhöhe
prut	Jury
hgon	gefroren
sram	buchstäblich
pfot	Pot
hlot	geplant
djin	Münze
hlok	Sprung
hpep	Apfel
hwot	verdreht
dlak	diskutieren
brik	abonnieren
nlis	transkribieren
hbet	Wette
pris	Virus
hjik	Gastfreundschaft
blit	kindisch
hjap	Robe
tfik	reflektieren
hdaf	erreichen
hpop	Oper
kcaf	versteckt
kcoc	Ellbogen
hrum	reparieren
cyim	verdächtig
dyic	lehrreich
hgoc	Grube
drak	Störung
plas	Beifall
byin	binär
hzap	Abtei
nlot	Loyalität
mrik	mechanisch
hsop	erfolgreich
crap	Falle
kyek	Kuchen
nrut	unterhalten
syes	Herr
hjet	siebzehn
hjen	feminin
hmom	Honig
hdec	leider
lwen	Legende
slot	Herd
frac	Rebell
gwan	quellen
mruk	verbessern
swot	Sumpf
zlan	verdienen
hnem	lebhaft
hdes	Dressing
prak	predigen
frin	Landschaft
hfet	entgegensetzen
cros	Chor
ryon	rational
tcos	Ernte
tsen	Verarbeitung
hwek	Wolf
nlik	Ablehnung
klap	Teppich
dras	verachten
prop	fruchtbar
slim	pfeifen
hgis	Käse
krut	beißen
srot	begleiten
bjan	wandern
nwen	Marine
myas	Maske
kwaf	entwickeln
twis	Taxi
pcip	Bleistift
srap	Gemüse
sren	ausstellen
tlun	Hose
hrup	Korruption
nrip	Kabinett
srup	Suppe
jran	Chirurg
bjat	Freibetrag
gyat	Spion
hlem	leichtsinnig
srak	Zusammenfassung
kson	Akzent
cwis	Donnerstag
sret	MitfreundlichenGrüßen
hraf	Verkehr
hres	Architektur
hsuf	Verfügung
rwak	knacken
twon	Ornament
hfus	Wiederherstellung
hkom	Code
djat	Jäger
nlut	Rundschreiben
hsef	Schlange
mris	Demokratie
bric	Batterie
mlam	Wachs
zran	teilen
cron	Nervenkitzel
hzen	schwimmen
traf	Streifen
cwaf	Umschlag
srip	Zigarette
mrot	Motor-
swon	Freiwillige
ryak	Reaktion
pfun	teilweise
blac	Gepäck
mret	Ministerium
hjon	sexuell
kcok	Axt
dram	Diamant
kren	wechseln
tcek	Echo
hdif	Identität
tfas	Botschafter
hfot	bestehen
lwas	faul
hmep	momentaneAspekt
kfin	Codierung
mwin	imaginär
hrem	Strahl
pram	Kletterei
byac	Keller
mren	unvergesslich
swen	Senat
kras	Sarg
hgun	schlucken
nlok	frönen
ryic	landwirtschaftlich
gwin	Swing
srut	Wiese
hkes	Komplex
hfis	Rücktritt
frak	wiederholt
hnom	Verschwörung
hcop	Kneipe
hlec	Pfeffer
mlot	Melodie
zrat	Kandidat
proc	Patron
flik	Fuchs
cyet	bedauerte
hgim	Kamin
slet	Hecke
tcok	Genauigkeit
bjit	ehemaligeVerstorbene
brot	Knospe
bwat	Decke
hdus	Schwein
gwat	Elfenbein
kret	Extrakt
nwet	Beobachter
jwan	Avenue
nwis	Nägel
mwic	Biene
bzat	Darsteller
gyan	Schweiß
zyit	Exekutive
blic	Illusion
pcet	Unsicherheit
tsot	falten
bwit	Grenze
tres	Stress
hkof	Verbrauch
nyen	Stöhnen
hles	ähneln
cyek	Sack
hjis	Nadel
gjan	Phänomen
prec	sichverhalten
drot	kontrolliert
kcek	Kurve
twic	Huhn
brak	Fass
zwat	gewohnheitsmäßig
clap	gewohnheitsmäßigAspekt
tsec	Experte
bwin	beeindrucken
cwet	begrenzt
hbek	Bäcker
zlin	Olive
mron	Lieferwagen
drin	widmen
psap	Expose
gjin	Geburtstag
clut	Hammer
cwun	duftend
twaf	trivial
pcot	Haustier
krok	Schädel
dlik	Legislative
cwic	glücklicherweise
srun	Stirnrunzeln
crec	zerstören
jlan	Marge
kcip	Champion
blin	Billion
ryik	Chemikalie
mlas	Impuls
flit	Pilot
hzet	Knoten
cwik	majestätisch
twet	Rock
mwik	wöchentlich
tfis	technisch
tlon	Fahrzeug
cram	schmeichelhaft
grac	stärken
kraf	Krähe
trup	Attribut
hduk	Haken
cruk	Tiger
nrap	Haushälterin
crot	Autobahn
mlip	Miliz
hfoc	Foto
nres	Integrität
plos	Plus
tfam	transparent
nlic	neunzehn
hwok	qualifiziert
nlen	Aufsatz
fyic	Leistungsfähigkeit
hwuk	einzigartig
hgok	organisch
flic	Theologie
flot	schweben
hboc	verpflichten
hwoc	Hexe
syot	Studio
cwip	Champagner
hbes	Banner
lwic	Scheidung
blot	Bolzen
cwot	Gefangenschaft
cwam	Vene
prik	passiv
hfum	Schaum
grik	Kies
zrin	Schürze
gren	Planet
hfuc	Auferstehung
claf	Regal
flas	Ventilator
hjot	tropisch
hbim	willkürlich
krek	Quecksilber
hbec	wohlwollend
tsaf	Selbstmord
pwas	zupfen
plot	Reporter
kfak	aufwenden
blak	Balkon
hdos	Fleck
kwis	Klassiker
kcos	beschuldigen
psen	Pension
kres	Verb
hzon	Affe
srim	Stempel,Unterschrift
glin	Abneigung
mlut	berüchtigt
myot	Import
fwac	Gründer
troc	Fackel
hgaf	Grammatik
hyop	Yacht
ksip	ausgestorben
sres	Ausflug
hnup	Kuppel
hzun	stur
mric	Muskel
gjat	Größe
hros	reiben
zrac	feige
tros	Toast
myus	Maus
dwac	Dialog
byak	Ziege
htef	Schneider
hfek	blühen
dzan	auferlegen
nyon	anonym
zrit	formalNeuregistrieren
pcos	Sport
hjec	Schmelze
dlas	löschen
mras	Regenschirm
mram	Mineral
cwut	Waffenstillstand
hbok	Ente
swun	Seife
dwak	Puppe
plif	Villa
slon	Nähen
tfut	gratulieren
djac	versöhnen
hjas	unterdrücken
kric	Kaninchen
kwot	Leiter
gzan	Garantie
clot	Spieler
ksek	Insekt
psam	Haltung
mwut	Eule
htem	permanent
clon	Geige
dzin	Einwohner
rwim	beziehungsweise
hyof	vorteilhaft
dron	Drachen
dwit	Hör-beweiskräftig
sroc	exportieren
hzot	Beendigung
djik	verweilen
kfik	Deckel
ryun	Verordnung
hmes	Bürgermeister
rwac	Hardware-
sruk	Zirkus
sros	Minderheit
bzan	randalieren
kset	Orchester
bjon	Speck
hjut	unbegrenzt
tfen	verteidigen
zwac	Nachteil
dyin	Überlegung
myis	Musiker
mlis	geistig
pret	unzureichend
tsek	Architekt
hlom	Zitrone
ksos	Husten
crok	Kopfschmerzen
flin	Fruchtbarkeit
mrun	Zimmermann
swec	zufällig
syuk	Löffel
blun	Ballon
tcep	Kreide
fric	Erfrischung
rwik	vertikal
rwen	Verhütung
flet	folgerndbeweiskräftig
pfac	Herausgeber
srek	Essig
tfun	Tunnel
pwet	Puzzle
gyik	Mathematik
fwot	verblassen
lwin	ausgewogen
jwin	Leber
bwik	sublativeFall
hdup	tauchen
hnop	Monopol
bwic	U-Boot
ryen	ungeachtet
hcem	Erdbeben
hbos	Labor
nrek	Arbeitnehmer
ryim	Rhythmus
nyic	interpretieren
dwas	Botschaft
rwok	provozieren
kram	Unfähigkeit
ksim	deklarativeStimmung
clok	Schokolade
pcec	privilegiert
nyis	Einsiedler
tyoc	Zufall
grak	kratzen
zlat	Handschuh
hjuk	knien
trif	Erdkunde
djit	systematisch
pson	unbesiegbar
mwis	Investition
cwec	verbal
hdek	weltlich
blik	Falke
sloc	Psychologie
brap	Schrott
jlat	Pirat
dros	Dosis
slam	Lachs
pwun	Pudding
gwik	magnetisch
pcop	Pumpe
myen	ähnlich
ksen	Sauerstoff
mrap	Vorarbeiter
tfot	Zertifikat
ksus	Gruppe
trok	Rhetorik
tloc	Sprosse
zyan	Ruder
nlun	Anmeldung
hlop	Fernrohr
jlin	Rechtschreibung
lyut	bewölkt
hsof	Surfen
fyik	Whiskey
klet	relativ
hwof	Weide
hlum	Kamel
myet	Amateur
klis	Isolierung
hbaf	Biografie
gwac	Esel
hwum	Gerücht
pwik	Perspektive
pron	Profi
myes	monatlich
mwen	Träumereien
kfic	Ferien
klek	klicken
cwon	Oval
lyak	elastisch
kwon	Wörterbuch
hjam	Schinken
rwon	Regenbogen
crip	hiermit
zwan	auftretende
srok	Leitartikel
craf	Korporal
tlok	Panzer
brip	Schmetterling
