ni	רֹוקָמ
tceh	ותואןודנהןָמַס
re	הנושןודנה
croh	דַחַּפ
mrah	ןיבמ
cyuh	קפס
twuh	dubitativeַחּורבַצַמ
myih	הפי
lyih	תיביר
flah	ידגנהנתומ
we	vialisהרקמ
clih	רַק
pyih	םֹולָׁש
su	אָלֶא
kwah	זעןוצר
le	ךרוא
bo	תּורְּבַתסִה
mlah	תורצ
syah	ךויח
slih	ןֹוׁשיִל
zi	מְצוּטָט
twoh	quotativeהרקמ
mo	לּולָּכםדא
kcih	אנא
rwih	precativeַחּורבַצַמ
mrih	סָמּונְמםשריה
rwah	דיִתַעְלטקפסא
cyeh	אֶלֶּפ
go	".דמגטקפסא
tsoh	דובכ
za	inchoativeטקפסא
jwih	jussiveַחּורבַצַמ
mwih	ריִתַמַחּורבַצַמ
sloh	הָחָלצַה
prih	יִטָרְּפ
de	יתקולחהרקמ
tcoh	בֵאְּכ
ryah	קֹוחְצִל
mlih	םכח
ye	יִאָנַקןָמַס
ke	commissiveַחּורבַצַמ
creh	אוָׁש
mweh	completiveטקפסא
nrah	םַח
nroh	סַעַּכ
bwah	סיִעכַהְל
trah	הוואג
mroh	לכשהרסומ
slah	תּואיִרְּב
syih	יִתָרבֶח
pe	הָקָספַהטקפסא
krih	ןרקס
tfih	םֵצֲעַמ
fe	ףוסלכףוס
prah	דַצַּב
trih	יתייאר
nwah	יתייארהרקמ
srih	בּוצָע
zo	Zoicןיִמ
nweh	eventiveַחּורבַצַמ
cwoh	ותואהֶרקִמןָמַס
plih	ילפכההרקמ
dwah	הרצוי
kcoh	ףייע
drah	הצורמ
lu	יִביִטָלּוקֵּפסַחּורבַצַמ
frih	רָּכּומםשריה
frah	ַעּוצָּפ
mruh	הֶטֹוׁש
djih	הָדֲהַא
krah	תֹודֹוהְל
cruh	השוב
fyah	טָּפׁשִמןָמַס
ryih	קבועמראש
kruh	רמםעט
tyeh	טסקֶט
kreh	יִרָזְכַא
tleh	hesternalַחּותָמ
kfah	ביִרְקַהְל
dyih	הָאנִׂש
cloh	יִלָנֹויִצַרןיִמ
nloh	תונהל
psah	שואי
sleh	יִחמִצןיִמ
nruh	עשפמףח
drih	הצרעה
sroh	הָניִנֲח
brih	סיסב
kluh	לּוּבלִּב
bwih	הָכָרְּבַחּורבַצַמ
klih	םֵׁשָא
grih	ץראהםעורוב
nyeh	המזויהרקמ
nleh	עונצ
dlih	הֶהׁשּומיִחֵרְכֶה
proh	חווידיתייאר
mloh	עֶצֶב
du	דיִחָי
jrih	תונלבס
freh	םירשק
kloh	דֵדֹוּב
kroh	םסק
tcuh	תּובֲהַלתִה
kcuh	יִביִטְקּודְניִאַחּורבַצַמ
xa	ַחיִׂשרשקה
nreh	יִנָּבצַע
pseh	טקפסא
ge	ןֵכֹוס
mu	הָחֵכֹותַחּורבַצַמ
byah	תּונָתפַאְׁש
pcoh	ףּופָצ
treh	רישייתייאר
yo	ׁשֵׁשֹוחַחּורבַצַמ
cwuh	םֶלֶה
tloh	הנורחאלרבעַחּותָמ
dlah	רָדגּומףיִעָס
cluh	רָעֹוכְמ
myuh	רֹומּוה
dyah	ילטסידיִתָנָגפַה
rwuh	יִאָנַק
troh	imprecatoryַחּורבַצַמ
dzih	תּוׁשיִדֲא
swuh	אישבוַחּורבַצַמ
bzah	קֹוחְצ
gwih	רמולכ
dloh	hodiernalַחּותָמ
dweh	delimitativeטקפסא
kweh	יִדָעלִּבםדא
truh	הָרּוטָרֶּפמֶט
tfeh	TELICטקפסא
lyeh	atelicטקפסא
ru	יִנָרְסֹואַחּורבַצַמ
kfih	יִתּודלַי
cyoh	דּוׁשָח
nluh	תּונָמֱאֶנ
cweh	תֶדֹוּכלַמ
nwoh	אנימציה
sruh	רֶטֶט
ksoh	יִניִמ
lyah	לֵצָע
mreh	momentaneטקפסא
pceh	התחרט
bjih	רַבָעֶׁשְלרטפנ
pcuh	תואדורסוח
xi	ליִגָרטקפסא
blih	חָסוּם
tsuh	יִנּונטַק
fwih	מַלכּוּתִי
grah	מַחמִיא
brah	יתורירש
cleh	נָדִיב
sreh	יִמְׁשִרםשריה
pfah	מוֹעִיל
droh	יִתָעיִמְׁשיתייאר
flih	יִנָקסַמיתייאר
sweh	sublativeהרקמ
ksuh	יִתָרָהצַהַחּורבַצַמ
pleh	יּוסָח
psoh	בלתימנוצח
be	ילולימ
mwoh	חֲלוֹםבְּהָקִיץ
kleh	עֲלִיבוּת
glah	תונדמח
kseh	יִבּויִחַחּורבַצַמ
zrah	ןוצרתועיבשרסוח
dyoh	םיינופוידיא
syoh	יראתכבוד
gwah	זָרפּומהרקמ
zlih	irrealisַחּורבַצַמ
zrih	תּונָׁשיַּב
byih	תּולְגַתסִה
ryeh	יונכןָמַס
fwah	יִנָכְסַח
bjah	אֶקסְטָטִי
kxah	תַעַדַהבּוׁשִי
gvih	pegativeהרקמ
pxih	הַצדָקָה
xrah	שפגתוקפם
tfoh	מעתה
kxih	חֲרָטָה
ryoh	prosecutiveהרקמ
qyah	קוסיע
r6	לועפ
txah	קָחּורְמרבעַחּותָמ
xrih	יִרֹוטסיִהַחּותָמ
dxah	לּופָּכרפסמ
syuh	רֶּפּוס
vweh	עובדיותרמדי
n6	יִׁשּוחיתייארַחּורבַצַמ
bweh	קּוּבִד
xlih	קיחצמ
txih	דְקִירָה
sluh	עצמימרוצה
txoh	הָעּונְתרַהַההֶלֲעַמְּב
xe	יִביִטקֶּפסֹורטֶר
pxah	לִלְכּוֹד
vwah	הָעּונְתןֹורדִמְּב
xyih	תיִלִע
fleh	ןווג
psuh	superessiveהרקמ
syeh	סָטִיר
qi	אֵצֹוי
xruh	ץֵוַּכְתִהְל
zwah	וואו
tr6h	הָעּונְתרהנההלעמב
qwah	שאפתנות
xlah	עוֹלָמִי
tyoh	דמועלעופ
tluh	איִׂשְמתיִמֹואתִּפהָדיִרְי
qa	יִחְכֹוניטנוולרןָמַס
kxoh	כלבעייף
rwoh	רֵדֹוס
ve	רֹוטקֶו
kyoh	קִילוֹ
swoh	יִתָרדִס
pxeh	partitiveהרקמ
txeh	augmentative
dxih	תיביטקידרפ
pxoh	prolativeהרקמ
pfoh	ןָעֹוצקִמטָּפׁשִמ
blah	אדיש
fyih	אֹלשונאןב
xo	ןָקְחַׂשדיִקְפַת
pc6h	טָּפׁשִמרפסמ
greh	דקוממהרקמ
groh	דַעַיקדה
dxoh	עַצמֶאלֹוק
rweh	יִנֹוסכַלֲאהרקמ
xwah	הֶלֹוחהרקמ
xu	hodiernalשארמ
xroh	ׁשֹוּבלִלהָצּוחַה
ks6h	יִתָּבִס
vi	יראניבךרע
dleh	יִלָדֹומהרקמ
gjeh	רֵחַאםא
xreh	עמיתלעבודה
lwoh	םֹוקָמַהתַסֲחַיהרקמ
ml6h	multalרפסמ
gjih	הָיִסקַלָגןיִמ
qlah	בכוכןיִמ
bvih	abessiveהרקמ
dvah	adessiveהרקמ
je	agentiveהרקמ
t6	ןֵכֹוסקדה
kxeh	להרקמ
gxih	ףתושמןיִמ
tc6h	הָטָטיִצספוט
ts6h	רָבָעהָרְפִס
ryuh	רישידֵגַנְתִהְל
gveh	ergativeהרקמ
pyoh	יִביִסַּפלֹוק
qe	יִפֹוסלעופ
xwih	יִדֹוסְידֵגַנְתִהְל
myoh	".דמגַחּורבַצַמ
vrih	יפוסקיִקְלֶח
va	evitativeהרקמ
bveh	subessiveהרקמ
dxeh	קובידהרקמ
dvih	lativeהרקמ
tsa7h	antessiveהרקמ
dyeh	adverbialהרקמ
mleh	ׁשיִּפנַהְלןיִמ
pfeh	יתפמאהָחְמִׂש
xleh	בכרןיִמ
qlih	יִלָרֵניִמןיִמ
xloh	ילולימםֶצֶעםֵׁש
dreh	הָיִנְׁשהפש
bvah	ימצעןּומֵא
qrah	יונישלֶׁשהֶרקִמ
fo	הנושהֶרקִמ
sl6h	crastinalַחּותָמ
fyoh	יביסקלפרלֹוק
bxih	םָלֹועןיִמ
jlih	אֵצֹוילעופ
kyeh	םֹוקָמןיִמ
txuh	רקחמןיִמ
s6	יִתּונָמָאןיִמ
preh	הֶלֹוחקדה
sr6h	ריִצקַתןיִמ
nyoh	ףיקעםּואְנ
zreh	exocentricהרקמ
kfeh	רבעperfective
jo	יִׁשיִאאֹללעופ
kxuh	יביטקלוקםֶצֶעםֵׁש
bu	absolutiveהרקמ
qrih	יִבָכֹוּכןיִמ
kfoh	הבילbenefactive
kwoh	יביטאיצוסאהרקמ
pluh	גָלפּומהרקמ
jrah	ילמשחיִחְכֹונ
glih	םֵמֹודןיִמ
p6	propositiveַחּורבַצַמ
vrah	יִדָדֲהלֹוק
lyuh	ףוצרףיִעָס
gleh	בורקבדיתעַחּותָמ
lyoh	יביטקילפאלֹוק
ps6h	antipassiveלֹוק
tfuh	continuativeטקפסא
nr6h	necessitativeַחּורבַצַמ
pr6h	יִביִסַּפלועפ
sy6h	ימויקףיִעָס
qyih	ַחֵרֹוזהָמצָע
gluh	singulativeרפסמ
kwuh	זָרפּומךֶׁשֶמ
xyah	דיחיהלועפלעופ
vlih	גָלפּומראות
djah	הנתמלועפ
m6	תומכלֶׁשרמוח
ti7	רוביחקיִקְלֶח
f6	epentheticהָמֵפרֹומ
tli7h	קָחּורְמדיתעַחּותָמ
si_	postpositionalהרקמ
l6	allocutionםֵּכסֶה
k6	frequentativeטקפסא
bzih	יתקולחיונכ
tu7	ףָצהָדּוקְנרפסמ
vo	לעופקיִּבדַהְל
ki7	רבעיִביִסַּפלועפ
ta_	םֹוקָמַהתַסֲחַייִנּוּוִּכהרקמ
