ni	infinitiv
sleh	rostlinnýpohlaví
nruh	nevinný
drih	obdiv
sroh	Pardon
brih	báze
kluh	zmatek
bwih	benedictivenálada
klih	vinný
grih	neznalý
nyeh	případiniciativy
nleh	pokořit
dlih	zpožděnáimperativ
proh	hlášenodůkazní
mloh	melancholie
du	pozoruhodný
jrih	trpělivost
freh	referenční
kloh	osamělý
kroh	kouzlo
tcuh	nadšení
kcuh	indukčnínálada
xa	diskurskontext
nreh	nervový
pseh	aspekt
ge	činidlo
mu	admonitivenálada
byah	ctižádost
pcoh	přeplněný
treh	přímýdůkazní
yo	chápajícínálada
cwuh	šokovat
tloh	nedávnéminulostičas
dlah	určitýčlen
cluh	škaredý
myuh	humor
dyah	distálnídemonstrativní
rwuh	žárlivý
troh	imprecativenálada
dzih	lhostejnost
swuh	assumptivenálada
bzah	žert
gwih	ato
dloh	dnešnínapjatý
dweh	delimitativeaspekt
kweh	exkluzivníosoba
truh	teplota
tfeh	telicaspekt
lyeh	atelicaspekt
ru	prohibitivnínálada
kfih	dětinský
cyoh	podezřelý
nluh	věrnost
cweh	past
nwoh	animovaný
sruh	vzrušení
ksoh	sexuální
lyah	líný
mreh	momentaneaspekt
pceh	zalitoval
bjih	bývalýzesnulý
pcuh	nejistota
xi	obvyklýaspekt
blih	ohraničený
tsuh	triviální
fwih	majestátní
grah	lichotivý
brah	libovolný
cleh	laskavý
sreh	formálníregistr
pfah	příznivý
droh	sluchovýdůkazní
flih	inferentialdůkazní
sweh	Subessivepřípadsublativepřípad
ksuh	deklarativnínálada
pleh	výsadní
psoh	neporazitelný
be	slovní
mwoh	snění
kleh	ubohost
glah	chamtivost
kseh	kladnámood
zrah	nespokojenost
dyoh	ideophone
syoh	awed
gwah	exessivepřípad
zlih	irrealisnálada
zrih	plachost
byih	přizpůsobování
ryeh	zájmenoznačka
fwah	skromný
bjah	extatický
kxah	vyrovnanost
gvih	pegativepřípad
pxih	ospravedlnění
xrah	vypršeníplatnosti
tfoh	nadále
kxih	kajícnost
ryoh	prosecutivepřípad
qyah	předpojatost
r6	participium
txah	dálkovýminulémčase
xrih	historickénapjatá
dxah	dualčíslo
syuh	super
vweh	přepracovaný
n6	smyslovédůkaznínálada
bweh	posedlost
xlih	bujarý
txih	škubnutí
sluh	samostatněspokojen
txoh	pohybnahoru
xe	retrospektivní
pxah	polapit
vwah	motionzkopce
xyih	elita
fleh	flektivní
psuh	superessivepřípad
syeh	satyr
qi	tranzitivní
xruh	krčitse
zwah	Páni
tr6h	pohybprotiproudu
qwah	ambiciózní
xlah	celosvětový
tyoh	intranzitivní
tluh	zklamání
qa	aktuálnostznačka
kxoh	pesunavený
rwoh	pořadový
ve	vektor
kyoh	kilo
swoh	sekvenční
pxeh	partitivepřípad
txeh	zvětšující
dxih	přísudkový
pxoh	prolativ
pfoh	Profráze
blah	znuděný
fyih	nončlověk
xo	roleherec
pc6h	zkušebníčíslo
greh	centricpřípad
groh	cílemspoušť
dxoh	middlehlas
rweh	šikmýpřípad
xwah	případpacienta
xu	prehodiernal
xroh	opotřebovat
ks6h	kauzativní
vi	binárníhodnota
dleh	modálnípřípad
gjeh	elseif
xreh	spolupracovník
lwoh	locativepřípad
ml6h	multalčíslo
gjih	galaxypohlaví
qlah	starpohlaví
bvih	abessiv
dvah	adessiv
je	agentivepřípad
t6	Agentspoušť
kxeh	případu
gxih	společnýpohlaví
tc6h	citačníforma
ts6h	transčíslovka
ryuh	přímýobjekt
gveh	ergativepřípad
pyoh	pasivníhlas
qe	určitýslovesný
xwih	primárnímcílem
myoh	gnómickýnálada
vrih	hotovéčástice
va	evitativepřípad
bveh	subessivepřípad
dxeh	vlastnilpřípad
dvih	Lativepřípad
tsa7h	antessivepřípad
dyeh	příslovečnýpřípad
mleh	animovatpohlaví
pfeh	empatickýradost
xleh	pohlavívozidlo
qlih	minerálnípohlaví
xloh	verbálnísubstantivum
dreh	druhýjazyk
bvah	sebevědomí
qrah	Změnaakce
fo	jináudálost
sl6h	crastinalnapjatá
fyoh	reflexivníhlas
bxih	vesmírpohlaví
jlih	tranzitivnísloveso
kyeh	lokalitapohlaví
txuh	výzkumpohlaví
s6	umělecképohlaví
preh	spoušťpacient
sr6h	abstraktnípohlaví
nyoh	nepřímářeč
zreh	exocentricpřípad
kfeh	minulostperfective
jo	neosobnísloveso
kxuh	Hromadnéjméno
bu	absolutivepřípad
qrih	planetárnípohlaví
kfoh	jádrobenefactive
kwoh	asociativnípřípad
pluh	superlativpřípad
jrah	elektrickýproud
glih	neživýpohlaví
p6	propositivenálada
vrah	recipročníhlas
lyuh	posobějdoucídoložka
gleh	Brzybudoucíčas
lyoh	applicativehlas
ps6h	antipassivehlas
tfuh	continutiveaspekt
nr6h	necessitativenálada
pr6h	pasivníparticipium
sy6h	existenciálnídoložka
qyih	svítivost
gluh	singulativečíslo
kwuh	nadměrnádélkatrvání
xyah	jednočinnésloveso
vlih	superlativstupeň
djah	přítomnéparticipium
m6	látkovémnožství
ti7	pojivovéčástice
f6	epentheticmorfém
tli7h	dálkovýbudoucíčas
si_	postpositionalpřípad
l6	allocutivedohoda
k6	frequentativeaspekt
bzih	rozdělovacízájmeno
tu7	číslosplovoucíčárkou
vo	slovesopřipevnit
ki7	minulépasivníparticipium
ta_	locativepřípadsměrová
