hnit	berfenw
hyam	nos
hyap	Brenin
hkic	rhwng
hmas	meddwl
cyit	galon
pluc	paucalrhif
kyik	achos
ksak	achosolachos
tcun	Da
hnim	enw
tsan	priodolnoun
klac	gwlad
hpun	gofynnwydi
cyat	ynweladwytystiolaethol
pcac	gwell
hmac	hynobryd
hnas	Niall
hwic	dŵr
twim	desiderativehwyliau
kwan	golau
tlat	gair
tyan	drws
hsas	bore
syat	nes
twik	terminativeachos
hpit	gwyn
pcan	arian
hyis	gwael
mwan	marwolaeth
hfam	ffurflen
nwik	inessiveachos
kcat	gyda'ngilydd
tsac	ynaml
pyat	ffrind
psan	hanner
hpim	hanfodolhwyliau
hyuc	rownd
hfat	anfonwyd
hcis	gwraig
kcan	yncredu
hsik	cyhoeddus
htus	wladwriaethcyd-destun
hpas	mab
clat	plant
tyak	athrwyhynny
cwan	gobeithio
syin	annwyl
hkuc	uchel
tyac	darllen
syit	dinas
hlic	eisoes
hfit	factivetystiolaethol
tcac	merch
hcun	clywed
ksan	lleiaf
hyaf	efallai
kyat	ynwir
tcic	corff
hwit	dychwelyd
cwat	aer
hfaf	gyfraith
hput	helpu
lyat	llythyr
ksas	pedwar
hpic	eithhwyliau
hfuk	tân
hcam	awr
twat	rhyfel
kyak	nifer
tlit	ail
pcin	ytuôl
hmut	gollwyd
clan	mil
hfac	teulu
twan	enaid
hwas	cwestiwn
syan	gwirionedd
htis	gwneud
tsat	potensialhwyliau
lwik	allativeachos
nyin	anthropicrhyw
hfak	pump
tcak	yrunpwncmarciwr
htuc	gwahanolpwnc
hnap	ateb
hmit	môr
hcuc	ofn
pcat	deall
syas	termau
hcaf	amheuaeth
twut	dubitativehwyliau
hkis	du
tlak	dodâ
hyus	hardd
nyit	didoli
htip	deg
ksis	stori
hpuk	llyfr
hlin	electronig
hkun	cyfrif
lyas	llog
lyit	ysgrifennu
pwat	gwely
hnis	oed
hnut	gwrthffeithiolamodol
slas	celf
hwis	vialisachos
pyak	brawd
lyin	llinell
tyas	tabl
hyun	afon
kyac	llygad
tfan	ynsydyn
kcin	dwfn
hmuc	pwrpas
cyac	gwaed
hmap	rhosyn
tlin	oer
hyif	ymlaen
tyam	ynhwyr
hnaf	Mae'ndebyg
hkip	bron
myan	mwynglawdd
tsin	gwybodaeth
hkup	copi
hsam	gŵr
hlis	chwech
cwit	byw
cyan	heddwch
myat	cofiwch
tyic	naturiol
hfut	syrthio
swas	gwasanaeth
hsap	aceithrio
pcit	hawlfraint
hyim	yfyddin
kyas	ceffyl
plic	dyfodol
pcak	orllewin
hpis	talu
hyuk	Coch
hwun	aur
twin	dymuniad
plan	chwarae
hpus	swyddfa
syun	llywodraeth
kyic	eglwys
htaf	cryfder
hlun	hyd
kyin	cwmni
kyis	papur
mlan	tebygolrwydd
hcim	ynenwedig
cyas	arth
twac	ffenestr
nyat	harddwch
hcus	olaf
htup	dyletswydd
htif	pellter
pyas	droed
hlas	gwyllt
ksin	gwyrdd
hmaf	trafferth
myac	gwenu
hsim	cysgu
kyit	ddyfynnwyd
kwik	quotativeachos
fwan	ymweliad
slan	dilyn
psit	presenoldeb
hmic	melys
hmuf	geg
hfin	gyfoethog
tcam	gelyn
psuk	torri
kcap	llong
pwan	gynhwysolperson
hfic	dylanwad
tcuc	ymddangos
hkim	gyfrinach
pyin	osgwelwchyndda
pwit	precativehwyliau
pyit	gwrtaisgofrestru
cwak	drwg
myak	mawrth
tcas	lleoedd
hlaf	aros
psat	ynllehynny
nlan	glas
psac	amhosibl
kcuk	ysgol
kcit	briod
kcak	bwyd
syis	ugain
tlac	dawel
hcip	darparagwedd
kwin	ganroi
tsit	stopio
pyac	iaith
hsus	wythnos
hcup	neuadd
cyap	Tybed
tfin	eni
fyat	llys
hnip	gnomicagwedd
tsak	barch
tlas	werth
syuc	coed
plat	wal
cyak	nefoedd
twip	inchoativeagwedd
mlat	gorchymyn
swit	jussivehwyliau
mwas	mis
hwaf	perffaith
tyap	profiad
ksac	amgylchiadau
syac	ffres
hnuk	dug
kwak	agwmpesir
tyuk	ddwyrain
pwac	carreg
hkif	nobl
nyac	cyfarwyddyd
cyis	cadeirydd
tyuc	aros
tsun	pentref
tyik	cytuno
hnum	caniataolhwyliau
slak	llwyddiant
tsic	ceisio
slat	bryn
hmik	cerddoriaeth
hkus	crio
hsip	saith
hpaf	preifat
nwas	newyddion
tfac	olygfa
fyan	gardd
cwas	dechrau
hfik	dosbartholachos
lyac	dysgu
syik	gwleidyddol
clin	henry
cyin	gorwedd
tsas	bwrw
cyik	awdurdod
tlap	llawr
cyam	haf
tcut	crefydd
tcap	dianc
hlut	awdur
pyun	brown
tcuk	poen
swan	gwanwyn
hmun	meddal
kyun	cornel
nyak	nodmasnach
tsis	cyfiawnder
psas	cynhyrchu
cyaf	chwerthin
hwut	anghofio
hyup	ewrop
hwap	wyth
psak	pasio
kyap	ofnadwy
pyic	ofynnol
hmim	canolig
hsaf	anadl
hmis	ddoeth
hsum	meddiannolmarciwr
ksat	dymunol
ksit	bedd
tsap	ynys
kyam	gwersyll
tcum	cyffwrdd
cyun	ffortiwn
psic	lan
tyun	parth
mwit	commissivehwyliau
tlut	gradd
myit	gaeaf
kfan	ymddygiad
slac	rhedeg
myin	munud
tyip	arwain
klas	gwydr
pfat	bwrdd
cyic	ofer
swam	materion
syam	ynddiogel
tsut	meddyg
hlip	completiveagwedd
kcas	tywyllwch
nyun	cynnes
hpuc	diod
tlam	enghraifft
hfun	dicter
tsik	gwaethaf
tsam	ynuniongyrchol
hmup	het
klak	ci
slin	arian
swac	gwas
kcam	balchder
pyik	trên
myut	moesol
syak	fyndimewn
swat	cleddyf
kyuk	ymosodiad
clac	iechyd
tyaf	paragraff
swic	cymdeithasol
tfit	ad-daliad
hkaf	swyddogol
pcas	Cipolwg
nyam	gogoniant
tfat	deuddeg
pcut	cymrydrhan
pwin	gwin
mwat	blas
fyac	haearn
syap	dosbarthu
myap	fasnach
hyum	ganddefnyddio
fwak	barnwr
klat	capten
twap	rhoi'rgorauiagwedd
kcic	chwilfrydig
kwic	tramor
hnif	intensifier
myun	pwysigrwydd
tlic	ynolaf
cyuk	gwddf
syut	rhyddid
pfan	ochrau
kyuc	sych
pcap	neilltu
tfak	tystiolaethol
tcik	tystiolaetholachos
twun	bell
tyis	cynnydd
nyap	cul
plit	adeilad
hpif	dudalen
pwic	daliad
syic	drist
tsip	pechod
syim	sâl
tcis	onest
pcun	banc
ksap	derbyn
lyam	nant
tcaf	ynofalus
kwac	clust
hpup	bara
kcut	dewis
nwam	anifeiliaid
hsup	zoicrhyw
nwit	eventivehwyliau
tcim	yrundigwyddiadmarciwr
tlik	lluosogolachos
kyus	croesi
hmus	trwchus
kfat	Dare
nwat	tyfu
myic	glaw
hpum	wyneb
swut	sanctaidd
clis	Gorffennaf
mwun	ffasiwn
hfas	ffeil
cwac	ysgwydd
kwat	cysur
nwac	unrhywun
tcip	ddymunir
kfac	glaswellt
hmuk	tynnu
plin	agor
kwun	Mehefin
mlik	pysgod
klin	cyfalaf
pfut	fron
twam	hawliad
fyin	traul
nlit	eichunchi
mlin	miliwn
pyut	gweddïo
hluk	wediblino
ksut	lladd
cyut	cysgod
psin	pwysau
kcis	llwyd
pyam	dewr
mwac	bodlon
klam	dweud
ksam	cenedlaethol
hfip	wan
klik	cwm
hkum	hapfasnacholhwyliau
clas	melyn
cyuc	gwres
mlac	gweddillion
syip	yrunmor
pwak	blwch
tcif	pigfain
psip	egwyddor
ksik	canlyniad
tsim	tymor
flan	gwyddoniaeth
pcam	ynôlpobgolwg
kcun	turio
ksuk	ewythr
mlit	rhestr
pcik	peryglus
kwas	Awst
hluc	poblogaidd
klit	anhysbys
flak	cyfarwydd
fyit	cyfarwyddgofrestru
lwat	darllenydd
plun	cerdded
twas	ddwywaith
pcis	offeiriad
fyas	glwyfo
nlat	palas
myuk	ffwl
pfak	ffafrio
tcuf	naw
cwap	cydymdeimlad
plac	byrstio
pyap	roi
lyic	nadd
hcum	sŵn
lwit	llenyddiaeth
tsuk	rheng
hfup	storm
kcik	poced
nwap	Tachwedd
tyim	Rhagfyr
psaf	absenoldeb
nlac	poblogaeth
kyaf	diolch
slis	cyfres
pyaf	aderyn
mlak	perchennog
kwut	cot
hwuc	cysylltiadau
pyis	yngyflym
twuc	mwg
nwak	Ionawr
mlic	peiriant
tlis	dannedd
ksun	llosgi
clam	cywilydd
klaf	ansawdd
clit	ffoniwch
fyak	ymadrodd
fyam	ymadroddmarciwr
kwap	sgwâr
hwip	DyddSul
psis	barddoniaeth
pwut	preordained
kyim	prynu
clic	caeau
pyip	Ebrill
kfap	Hydref
psut	gwrthrychau
kcuc	chwerw
nlap	gaethweision
hsok	rhydd
htet	testun
hbat	gwaethaf
hrit	credyd
hzit	Nodweddion
hpet	pymtheg
krac	creulon
hduc	llwch
hrik	ymarferol
hron	lliw
hnus	trwyn
hric	gyfeillgar
srik	cyflenwad
hten	ddoe
tlet	hesternalamser
slap	methu
hban	gwisgo
hdat	ddall
fran	hedfan
hdan	diafol
htec	ynraddol
hmon	genhadaeth
cran	aberth
hran	cydwybod
hmos	gweinidog
nrit	ynni
hcet	casineb
hset	canolfan
hrin	rhesymegolrhyw
hcot	mwynhau
hrip	cryno
htep	addoli
hcif	croen
hrat	to
kran	goron
hkon	castell
tran	anobaith
hmif	filltir
trin	cylch
hgin	carchar
hkop	cwpan
hcen	aelod
swin	sifil
hrac	ymmhobman
hris	arfer
hbin	dod
hmot	cig
hdut	llaeth
hwen	vegetalrhyw
nran	prin
hbac	cefnder
crut	bont
hsoc	stoc
hsom	halen
nris	diniwed
hbit	osgoi
crin	edmygedd
rwin	brenhines
hgut	cyfrif
hdas	dawns
hnot	gwesty
hdin	llenwi
hton	carcharor
hdak	siop
hlet	grisiau
hson	pardwn
hgek	hoyw
hras	tywod
hsep	Medi
hbic	adfail
hlen	trwydded
hcon	ynddigonol
hgit	tyst
kfon	cegin
hbak	gwerthu
tlim	triniaeth
hsot	cyflymder
kyut	cyfrifiadur
hnen	tragwyddol
htek	llyfrgell
hzan	cynnwys
hbis	sylfaen
hbun	dryswch
kcus	cogydd
hgat	anialwch
hwus	cusan
hbif	iâ
hbot	pêl
hrut	ddadl
hdit	bendithhwyliau
hdis	yneuog
hjan	cosb
plis	heddlu
hgan	cuddio
hsen	alldaith
nrin	anwybodus
hyen	cloud
frif	Chwefror
hdik	clefyd
hnek	menterachos
hbam	modryb
hmen	ostyngedig
hdip	oedihanfodol
prat	adroddwydtystiolaethol
hdet	canolnos
hjit	bys
hmoc	rhywle
pran	wasg
kcec	rhanbarth
hken	ynddiweddar
hloc	melancholy
hrak	staff
htes	syllu
rwan	Gwobr
hdon	rhoi
htot	talcen
hnet	angel
hdun	unigol
croc	gwall
hlon	wawr
hyec	defaid
hjin	amynedd
hrec	cyfeiriadol
mran	corn
htos	mwyafrif
hcos	mesurau
hkoc	obrydi'wgilydd
hlif	elw
clak	siwgr
hjat	dynoliaeth
tram	ffrâm
hdic	disg
hkok	unig
srat	artist
crak	swyn
hmet	e-bost
hden	penderfyniad
gran	llywodraethwr
crac	gangen
hjac	brwdfrydedd
hdim	anwytholhwyliau
hcok	brysiwch
hyet	olew
pwap	pibell
trat	print
tcot	matersolet
hdoc	oh
hren	disgwrscyd-destun
tcon	canoldydd
krin	caban
plam	larwm
hnes	nerfus
tcen	arsylwi
hsek	agwedd
plik	berthnasol
slik	sidan
hfen	cant
hgen	asiant
hnon	undeb
crik	uffern
tcet	ddiffygiol
mrat	cymysg
hdam	admonitionhwyliau
hgac	uchelgais
htoc	rhywsut
hdac	cwnsler
nwin	cyfansoddiad
srit	offeryn
hret	yngadarn
nlin	Ar-lein
hzat	llanw
klic	coleg
hkek	cynffon
nric	genhedlaeth
hgic	gorlawn
hgak	cath
trit	uniongyrcholtystiolaethol
tyot	cytuniad
hnok	cynnwys
crit	wedi'ugadael
slen	unarddeg
srin	greddf
hpok	llwyth
hyot	bryderushwyliau
cric	lloches
hruc	anghwrtais
cwin	marchogaeth
hzak	ysgwyd
dyit	diwydiant
hpec	proffesiwn
nras	nyrs
hcec	addysgu
hbut	esgidiau
hmec	amwys
twot	gweithgaredd
crat	DyddSadwrn
hkot	capasiti
hnec	heulwen
hwuf	gweddw
cren	sied
nrat	seren
hget	gwestai
hbik	bendithia
brin	mewnol
hpot	argael
trac	ymwrthedd
prac	deillio
hcoc	pant
hpon	talaith
hwim	gwareiddiad
dwan	hongian
cwok	sioc
hdok	gyrru
crun	trysor
hzik	hadau
hrot	diweddargorffennolamser
hket	effro
hcek	dodrefn
hrop	rhaff
mrac	antur
byit	gwledd
trak	blynyddol
hzin	deheuol
sric	seremoni
clik	hela
trap	rhyddfrydol
hrim	Cristnogaeth
hrus	tywysoges
blat	allor
cyon	bach
hwep	we
krat	cardinal
tris	porffor
kcot	casglu
hben	etholiad
trik	feddw
kfit	lifft
tcec	cyfnewid
nrik	pendanterthygl
grat	ymerawdwr
dran	gweinyddiaeth
hpen	ynflaenorol
cluk	hyll
nrac	ddiniwed
ryin	hyfforddiant
hrun	ygofrestr
nwic	modfedd
slit	saethu
gzat	papurnewydd
krot	torri
drit	barf
hzis	rwygo
hdap	deunaw
sris	hanesyddol
mrut	gros
nyik	mwd
bran	briodferch
drat	yndibynnu
djan	cawr
glat	symlrwydd
hpoc	hydref
pras	llen
hgot	casglu
tret	theatr
tras	cymhariaeth
rwit	wrthwynebydd
hfon	ganffurfio
klot	hyfforddwr
hmum	hiwmor
drac	disgwrs
rwas	nofel
tset	dial
hdot	distaldangosol
ryut	genfigennus
hwon	gwahoddiad
byat	llosgi
flac	fflach
prot	portread
crek	awgrymu
htok	gwrthdaro
htop	curse
prit	imprecatoryhwyliau
hces	ddiymadferth
klup	clwb
hnos	llifogydd
dwin	difaterwch
prin	gorwel
mrit	assumptivehwyliau
tcoc	serth
hcom	cytgord
grit	taranau
tlot	plentyndod
hgik	pen-glin
hwes	anymwybodol
hzac	cilyddol
hsec	meddalwedd
tson	sefydliadau
ryit	derbynneb
dlin	disgyblaeth
slip	slip
klon	chwyldro
hfim	ffermwr
hpom	llwyfan
cyen	myfyriwr
hgec	ogof
hroc	traddodiad
srac	cyflwyno
ryat	drasiedi
kcen	virgin
hbap	ffarwel
krik	beirniadaeth
krap	cotwm
fwat	ysbyty
kcet	rhent
hgas	nwy
pfin	anochel
dlit	dail
ryan	cyfieithu
sran	angladd
mrin	blawd
hram	rhamantus
dlan	doler
hzas	chellwair
hsos	unarbymtheg
klen	nythfa
gyin	adain
hsif	llew
cluc	cyfrwys
prip	paratoi
hzut	niwl
dwat	meddygaeth
krit	prawfddarllen
sras	nyth
hses	pedwararddeg
brat	gwrthwynebiad
flat	asid
hjic	sef
slic	arf
hbuc	defnyddiwr
tron	orange
byan	bath
hrif	cyntefig
tlip	sefydlu
blan	basged
kris	ysgrifennydd
hyon	cyfamser
tren	heddiw
dlat	hodiernalamser
hzic	gwenwyn
tfic	reiffl
tlen	talent
hlim	hinsawdd
dyat	ffrind
kcon	datguddiad
dlac	golchi
krak	cyffes
hbas	lol
hkec	glo
hrek	adfer
hkos	canŵ
hwif	is
tric	drosdro
hdep	delimitativeagwedd
mwak	pentwr
ksot	asgwrn
hnoc	DyddLlun
nlas	DyddMawrth
brac	DyddMercher
frap	ffederal
pfit	cynrychiolydd
pcoc	polyn
lyen	llieiniau
swak	sinc
pcen	lywydd
brit	gwaedlyd
hwec	gwarchae
hwet	stumog
hlos	ifyny'rgrisiau
hbon	amrywiol
pcon	pres
hsem	copa
lwac	rhad
tsos	gystadleuaeth
kwen	exclusiveperson
trun	glanio
trut	cerflun
hrap	magnelau
hgap	arestio
trot	tymheredd
grin	cymdogaeth
hjak	gofleidio
hpek	pecyn
hlus	ceirw
hwos	ystafellwely
tsuc	llwyn
pcuc	rhyddhau
cris	etifedd
clun	derw
hpes	annymunol
nlet	anghyflawn
hrom	rhaglen
pyon	piano
swet	perswadio
dric	anweledig
tyen	dda-hysbys
hruk	creulondeb
frat	neilltuo
hyoc	temtasiwn
hlep	Telicagwedd
nrot	rhyngwladol
nret	dreisgar
hfif	athronydd
pfic	cynrychiolaeth
hmek	sensitif
hfec	lles
myik	pysgota
truc	dwyn
tcop	gwefus
rwic	ymddeol
htom	economi
glan	oriel
pren	cyfochrog
hlek	atelicagwedd
nrak	cyfandir
truk	guro
hjim	waharddolhwyliau
rwat	tei
hcep	cell
dyan	wy
jrat	artiffisial
nren	ysbrydoliaeth
ksic	argyfwng
tsoc	chwilio
lwan	cinio
hpos	pinwydd
hcuf	gwthio
tcus	sue
pset	ymestyn
hkep	copr
swis	morwr
prim	imperial
trip	chwip
cras	shirt
swap	ysgubo
syet	braslun
htof	lleidr
clen	sianel
kwit	personoliaeth
klok	drosben
hrok	diwygio
hguc	syched
kcim	bygythiol
hpem	palmwydd
psik	siaradwr
frit	trothwy
cret	olion
mrak	picell
syen	sesiwn
tcup	llaith
hyek	teithiwr
trim	tun
plak	gwyn
hyok	ongl
hgam	buwch
hmok	felin
jrac	map
kloc	coler
gyit	ynfwriadol
hbip	cwrw
mlet	melfed
lyap	cam-drin
cwen	ddiadell
bwan	nith
tses	triarddeg
jrit	cyfiawnhau
nlak	llawysgrif
sron	rhyfelwr
cruc	DyddGwener
broc	brwsh
dlot	download
krim	hufen
pric	traw
prut	rheithgor
hgon	rhewi
sram	llythrennol
pfot	pot
hlot	cynlluniedig
djin	darnarian
hlok	naid
hpep	afal
hwot	dirdroi
dlak	trafod
brik	tanysgrifio
nlis	drawsgrifio
hbet	bet
pris	firws
hjik	lletygarwch
blit	plentynnaidd
hjap	gwisg
tfik	adlewyrchu
hdaf	cyrraedd
hpop	opera
kcaf	cuddio
kcoc	penelin
hrum	trwsio
cyim	amheus
dyic	addysgol
hgoc	pwll
drak	anhrefn
plas	cymeradwyaeth
byin	deuaidd
hzap	abaty
nlot	teyrngarwch
mrik	mecanyddol
hsop	ynllwyddiannus
crap	trap
kyek	cacen
nrut	diddanu
syes	syr
hjet	undegsaith
hjen	feminine
hmom	mêl
hdec	ynanffodus
lwen	chwedl
slot	stôf
frac	rebel
gwan	chwyddo
mruk	gwella
swot	gors
zlan	ennill
hnem	animeiddiedig
hdes	dresin
prak	pregethu
frin	golygfeydd
hfet	yngwrthwynebu
cros	corws
ryon	rhesymegol
tcos	cnwd
tsen	prosesu
hwek	Blaidd
nlik	gwrthod
klap	carped
dras	dirmygu
prop	ffrwythlon
slim	chwiban
hgis	caws
krut	brathu
srot	hebrwng
bjan	crwydro
nwen	nefi
myas	mwgwd
kwaf	datblygu
twis	tacsi
pcip	pensil
srap	llysiau
sren	arddangosyn
tlun	trowsus
hrup	llygredd
nrip	cabinet
srup	cawl
jran	llawfeddyg
bjat	lwfans
gyat	sbïo
hlem	di-hid
srak	haniaethol
kson	acen
cwis	DyddIau
sret	ddiffuant
hraf	traffig
hres	pensaernïaeth
hsuf	gwaredu
rwak	crac
twon	addurn
hfus	adferiad
hkom	cod
djat	helwyr
nlut	cylchlythyr
hsef	neidr
mris	democratiaeth
bric	batri
mlam	cwyr
zran	rhannu
cron	wefr
hzen	nofio
traf	stribed
cwaf	amlen
srip	sigarét
mrot	modur
swon	gwirfoddolwr
ryak	adwaith
pfun	ynrhannol
blac	bagiau
mret	gweinidogaeth
hjon	rhywiol
kcok	bwyell
dram	diemwnt
kren	ynail
tcek	echo
hdif	hunaniaeth
tfas	llysgennad
hfot	cynnwys
lwas	ddiog
hmep	momentaneagwedd
kfin	amgodio
mwin	dychmygol
hrem	ray
pram	dringo
byac	seler
mren	cofiadwy
swen	senedd
kras	arch
hgun	llyncu
nlok	fwynhau
ryic	amaethyddol
gwin	swing
srut	dôl
hkes	cymhleth
hfis	ymddiswyddiad
frak	droarôltro
hnom	gynllwynio
hcop	tafarn
hlec	pupur
mlot	alaw
zrat	ymgeisydd
proc	noddwr
flik	llwynog
cyet	difaru
hgim	simnai
slet	gwrych
tcok	cywirdeb
bjit	cynymadawedig
brot	blaguryn
bwat	blanced
hdus	mochyn
gwat	ifori
kret	dyfyniad
nwet	arsylwr
jwan	avenue
nwis	hoelion
mwic	gwenyn
bzat	actor
gyan	chwys
zyit	gweithredol
blic	rhith
pcet	ansicrwydd
tsot	blygu
bwit	ffin
tres	straen
hkof	bwyta
nyen	ochneidio
hles	yndebyg
cyek	sach
hjis	nodwydd
gjan	ffenomen
prec	ynymddwyn
drot	danreolaeth
kcek	gromlin
twic	cywiâr
brak	gasgen
zwat	arferol
clap	arferolagwedd
tsec	arbenigwr
bwin	greuargraff
cwet	ffinio
hbek	pobydd
zlin	olewydd
mron	van
drin	neilltuo
psap	agored
gjin	pen-blwydd
clut	morthwyl
cwun	persawrus
twaf	ddibwys
pcot	anifeiliaidanwes
krok	penglog
dlik	deddfwrfa
cwic	ynffodus
srun	gwgu
crec	dinistrio
jlan	ymyl
kcip	pencampwr
blin	biliwn
ryik	cemegol
mlas	pwls
flit	peilot
hzet	cwlwm
cwik	mawreddog
twet	sgert
mwik	wythnosol
tfis	technegol
tlon	gerbyd
cram	prydferth
grac	cryfhau
kraf	frân
trup	priodoledd
hduk	bachyn
cruk	teigr
nrap	cadwtŷ
crot	priffyrdd
mlip	milisia
hfoc	llun
nres	uniondeb
plos	ynogystal
tfam	tryloyw
nlic	pedwararbymtheg
hwok	cymwysedig
nlen	traethawd
fyic	effeithlonrwydd
hwuk	unigryw
hgok	organig
flic	diwinyddiaeth
flot	arnofio
hboc	gorfodi
hwoc	wrach
syot	stiwdio
cwip	siampên
hbes	banner
lwic	ysgariad
blot	bollt
cwot	caethiwed
cwam	gwythïen
prik	goddefol
hfum	ewyn
grik	graean
zrin	ffedog
gren	blaned
hfuc	atgyfodiad
claf	silff
flas	gefnogwr
hjot	trofannol
hbim	mympwyol
krek	mercwri
hbec	llesiannol
tsaf	hunanladdiad
pwas	pluo'n
plot	gohebydd
kfak	gwario
blak	balconi
hdos	staen
kwis	clasurol
kcos	cyhuddo
psen	pensiwn
kres	ferf
hzon	mwnci
srim	llofnod
glin	amharodrwydd
mlut	drwg-enwog
myot	mewnforio
fwac	sylfaenydd
troc	tortsh
hgaf	gramadeg
hyop	cwchhwylio
ksip	diflannu
sres	gwibdaith
hnup	cromen
hzun	styfnig
mric	cyhyrau
gjat	maint
hros	rhwbio
zrac	llwfr
tros	tost
myus	llygoden
dwac	deialog
byak	gafr
htef	teiliwr
hfek	ffynnu
dzan	gosod
nyon	dienw
zrit	ffurfiolgofrestru
pcos	chwaraeon
hjec	toddi
dlas	dileu
mras	ymbarél
mram	mwynau
cwut	cadoediad
hbok	hwyaden
swun	sebon
dwak	ddol
plif	fila
slon	gwnïo
tfut	longyfarch
djac	cysoni
hjas	atal
kric	cwningen
kwot	arweinydd
gzan	gwarant
clot	chwaraewr
ksek	pryfed
psam	osgo
mwut	tylluan
htem	ynbarhaol
clon	ffidil
dzin	preswylydd
rwim	ynydrefnhonno
hyof	buddiol
dron	dragon
dwit	clywedoltystiolaethol
sroc	allforio
hzot	terfynu
djik	Linger
kfik	caead
ryun	rheoleiddio
hmes	maer
rwac	caledwedd
sruk	syrcas
sros	lleiafrifol
bzan	terfysg
kset	gerddorfa
bjon	cigmoch
hjut	anghyfyngedig
tfen	amddiffyn
zwac	anfantais
dyin	trafodaeth
myis	cerddor
mlis	ynfeddyliol
pret	annigonol
tsek	pensaer
hlom	lemon
ksos	peswch
crok	curpen
flin	ffrwythlondeb
mrun	saer
swec	arhap
syuk	llwy
blun	balŵn
tcep	sialc
fric	lluniaeth
rwik	fertigol
rwen	atal
flet	casgliadoltystiolaethol
pfac	cyhoeddwr
srek	finegr
tfun	twnnel
pwet	pos
gyik	mathemateg
fwot	pylu
lwin	cytbwys
jwin	afu
bwik	sublativeachos
hdup	dip
hnop	monopoli
bwic	llongdanfor
ryen	bethbynnag
hcem	daeargryn
hbos	labordy
nrek	gweithiwr
ryim	rhythm
nyic	dehongli
dwas	llysgenhadaeth
rwok	pryfocio
kram	anallu
ksim	declarativehwyliau
clok	siocled
pcec	breintiedig
nyis	feudwy
tyoc	cyd-ddigwyddiad
grak	crafu
zlat	maneg
hjuk	penlinio
trif	daearyddiaeth
djit	systematig
pson	anorchfygol
mwis	buddsoddiad
cwec	llafar
hdek	seciwlar
blik	hebog
sloc	seicoleg
brap	sgrap
jlat	môr-leidr
dros	dos
slam	eog
pwun	pwdin
gwik	magnetig
pcop	pwmp
myen	ynyrunmodd
ksen	ocsigen
mrap	fforman
tfot	tystysgrif
ksus	clwstwr
trok	rhethreg
tloc	gris
zyan	rhwyf
nlun	Mewngofnodi
hlop	telesgop
jlin	sillafu
lyut	gymylog
hsof	syrffio
fyik	wisgi
klet	gymharol
hwof	helyg
hlum	camel
myet	amatur
klis	unigedd
hbaf	bywgraffiad
gwac	asyn
hwum	si
pwik	persbectif
pron	pro
myes	misol
mwen	reverie
kfic	ystodygwyliau
klek	cliciwch
cwon	hirgrwn
lyak	elastig
kwon	geiriadur
hjam	ham
rwon	enfys
crip	drwyhyn
zwan	digwydd
srok	golygyddol
craf	gorfforol
tlok	tanc
brip	glöynbyw
tfap	siart
jwat	dauwely
