ni	부정사
flih	추론증거의
sweh	sublative케이스
ksuh	선언기분
pleh	특권
psoh	천하무적의
be	언쟁
mwoh	환상
kleh	비참함
glah	욕심
kseh	긍정적인기분
zrah	불만
dyoh	체명악기
syoh	두려워
gwah	과도한케이스
zlih	irrealis기분
zrih	수줍음
byih	적응
ryeh	대명사채점자
fwah	검소한
bjah	황홀
kxah	평정
gvih	pegative케이스
pxih	옹호
xrah	만료
tfoh	금후
kxih	뉘우침
ryoh	prosecutive케이스
qyah	선취
r6	분사
txah	먼과거시제
xrih	역사적인시제
dxah	이중의번호
syuh	감독자
vweh	과로
n6	감각의증거의기분
bweh	강박관념
xlih	들썩들썩
txih	고통
sluh	자기만족
txoh	운동고개위로
xe	회고의
pxah	빠뜨리다
vwah	운동수월한
xyih	엘리트
fleh	굴곡
psuh	superessive케이스
syeh	호색가
qi	이적
xruh	움츠리다
zwah	와우
tr6h	운동상류
qwah	야심
xlah	전세계적인
tyoh	자동의
tluh	용두사미
qa	흐름관련성채점자
kxoh	피곤개
rwoh	서수
ve	벡터
kyoh	킬로
swoh	잇달아일어나는
pxeh	부분사케이스
txeh	뜻을확대하는
dxih	술사
pxoh	prolative케이스
pfoh	찬성구
blah	인생등에지친
fyih	비사람의
xo	배우역할
pc6h	시도번호
greh	중심의케이스
groh	골방아쇠
dxoh	중간목소리
rweh	비스듬한케이스
xwah	환자케이스
xu	사전오늘날의
xroh	입고있다아웃
ks6h	사역동사
vi	진값
dleh	모달케이스
gjeh	그밖에만약
xreh	동료
lwoh	위치격케이스
ml6h	multal번호
gjih	은하성별
qlah	별성별
bvih	abessive케이스
dvah	adessive케이스
je	agentive케이스
t6	에이전트방아쇠
kxeh	에케이스
gxih	공유지성별
tc6h	소환형태
ts6h	트랜스숫자
ryuh	곧장목적
gveh	능동격케이스
pyoh	수동태목소리
qe	한정된동사
xwih	행성목적
myoh	금언의기분
vrih	결정적인입자
va	evitative케이스
bveh	subessive케이스
dxeh	소유케이스
dvih	lative케이스
tsa7h	antessive케이스
dyeh	부사의케이스
mleh	생명있는성별
pfeh	공감즐거움
xleh	차량성별
qlih	광물성별
xloh	언쟁명사
dreh	둘째언어
bvah	본인자신
qrah	변화의행사
fo	다른행사
sl6h	crastinal시제
fyoh	재귀의목소리
bxih	우주성별
jlih	이적동사
kyeh	소재지성별
txuh	연구성별
s6	예술적인성별
preh	환자방아쇠
sr6h	추상성별
nyoh	간접적인연설
zreh	외심케이스
kfeh	과거완료상
jo	비개인적인동사
kxuh	집단적인명사
bu	absolutive케이스
qrih	지구의성별
kfoh	핵심benefactive
kwoh	연관케이스
pluh	최고의케이스
jrah	전기같은흐름
glih	생명이없는성별
p6	propositive기분
vrah	역수목소리
lyuh	연속하는절
gleh	곧미래시제
lyoh	실용적목소리
ps6h	antipassive목소리
tfuh	continuative양상
nr6h	necessitative기분
pr6h	수동태분사
sy6h	실존절
qyih	총명한강렬
gluh	singulative번호
kwuh	과도한지속
xyah	단일동작동사
vlih	최고의정도
djah	선물분사
m6	양의물질
ti7	연결어입자
f6	epenthetic형태소
tli7h	먼미래시제
si_	postpositional케이스
l6	훈시협정
k6	반복표시의양상
bzih	분배의대명사
tu7	떠있는포인트번호
vo	동사부착
ki7	과거수동태분사
ta_	위치격방향의케이스
