hnit	తుమర్థం
htup	విధి
htif	దూరం
pyas	ఫుట్
hlas	అడవి
ksin	ఆకుపచ్చ
hmaf	ఇబ్బంది
myac	స్మైల్
hsim	నిద్ర
kyit	కోట్
kwik	quotativeకేసు
fwan	పర్యటన
slan	అనుసరించండి
psit	ఉనికిని
hmic	తీపి
hmuf	నోటి
hfin	రిచ్
tcam	శత్రు
psuk	విరిగిన
kcap	నౌక
pwan	కలుపుకొనివ్యక్తి
hfic	ప్రభావం
tcuc	కనిపించే
hkim	రహస్య
pyin	దయచేసి
pwit	precativeమూడ్
pyit	మర్యాదనమోదు
cwak	చెడు
myak	మార్చి
tcas	స్థలాలు
hlaf	ఉండడానికి
psat	బదులుగా
nlan	నీలం
psac	అసాధ్యం
kcuk	పాఠశాల
kcit	వివాహం
kcak	ఆహార
syis	ఇరవై
tlac	నిశ్శబ్ద
hcip	కాబోయేకారక
kwin	ఇవ్వడం
tsit	ఆగిపోయింది
pyac	భాష
hsus	వారం
hcup	హాల్
cyap	ఆశ్చర్యానికి
tfin	పుట్టినప్పటి
fyat	కోర్టు
hnip	నీతిశ్లోకముచెప్పేకారక
tsak	గౌరవం
tlas	విలువ
syuc	చెట్టు
plat	గోడ
cyak	స్వర్గం
twip	inchoativeకారక
mlat	కమాండ్
swit	jussiveమూడ్
mwas	నెల
hwaf	పరిపూర్ణ
tyap	అనుభవం
ksac	పరిస్థితులలో
syac	తాజా
hnuk	డ్యూక్ని
kwak	కవర్
tyuk	తూర్పు
pwac	రాయి
hkif	నోబెల్
nyac	దిశ
cyis	కుర్చీ
tyuc	వేచి
tsun	గ్రామం
tyik	అంగీకరిస్తున్నారు
hnum	అనుమతులిచ్చేమూడ్
slak	విజయం
tsic	ప్రయత్నిస్తున్న
slat	కొండ
hmik	సంగీతం
hkus	క్రై
hsip	ఏడు
hpaf	ప్రైవేట్
nwas	వార్తలు
tfac	సన్నివేశం
fyan	తోట
cwas	ప్రారంభం
hfik	పంపిణీకేసు
lyac	తెలుసుకోవడానికి
syik	రాజకీయ
clin	హెన్రీ
cyin	అబద్ధం
tsas	తారాగణంగా
cyik	అధికారం
tlap	ఫ్లోర్
cyam	వేసవి
tcut	మతం
tcap	ఎస్కేప్
hlut	రచయిత
pyun	గోధుమ
tcuk	నొప్పి
swan	వసంత
hmun	సాఫ్ట్
kyun	మూలలో
nyak	ట్రేడ్మార్క్
tsis	న్యాయం
psas	ఉత్పత్తి
cyaf	నవ్వుల
hwut	మర్చిపోతే
hyup	యూరోప్
hwap	ఎనిమిది
psak	పాసింగ్
kyap	భయంకరమైన
pyic	అవసరం
hmim	మీడియం
hsaf	ఊపిరి
hmis	తెలివైన
hsum	స్వాధీనతామార్కర్
ksat	ఆహ్లాదకరమైన
ksit	సమాధి
tsap	ద్వీపం
kyam	శిబిరంలో
tcum	టచ్
cyun	అదృష్టం
psic	తీరం
tyun	డొమైన్
mwit	commissiveమూడ్
tlut	డిగ్రీ
myit	శీతాకాలంలో
kfan	ప్రవర్తన
slac	నడుస్తున్న
myin	నిమిషం
tyip	దారి
klas	గ్లాస్
pfat	బోర్డ్
cyic	ఫలించలేదు
swam	వ్యవహారాల
syam	సురక్షిత
tsut	డాక్టర్
hlip	completiveకారక
kcas	చీకటి
nyun	వెచ్చని
hpuc	డ్రింక్
tlam	ఉదాహరణ
hfun	కోపం
tsik	ఉన్నప్పటికీ
tsam	నేరుగా
hmup	టోపీ
klak	కుక్క
slin	వెండి
swac	సేవకుడు
kcam	అహంకారం
pyik	రైలు
myut	నైతిక
syak	నమోదు
swat	కత్తి
kyuk	దాడి
clac	ఆరోగ్య
tyaf	పేరా
swic	సామాజిక
tfit	వాపసు
hkaf	అధికారిక
pcas	చూపులో
nyam	కీర్తి
tfat	పన్నెండు
pcut	నిశ్చితార్థం
pwin	వైన్
mwat	రుచి
fyac	ఇనుము
syap	పంపిణీ
myap	వాణిజ్య
hyum	ఉపయోగించి
fwak	జడ్జి
klat	కెప్టెన్
twap	విరమణకారక
kcic	ఆసక్తికరమైన
kwic	విదేశీ
hnif	ఇంటెన్సిఫైయర్
myun	ప్రాముఖ్యతను
tlic	చివరికి
cyuk	మెడ
syut	స్వేచ్ఛ
pfan	వైపులా
kyuc	పొడి
pcap	పక్కన
tfak	ప్రామాణిక
tcik	ప్రామాణికకేసు
twun	దూరమైన
tyis	పురోగతి
nyap	సన్నని
plit	భవనం
hpif	పేజీ
pwic	పట్టుకొని
syic	విచారంగా
tsip	పాపం
syim	అనారోగ్యం
tcis	నిజాయితీ
pcun	బ్యాంకు
ksap	అంగీకరించాలి
lyam	స్ట్రీమ్
tcaf	జాగ్రత్తగా
kwac	చెవి
hpup	బ్రెడ్
kcut	ఎంచుకోండి
nwam	జంతు
hsup	zoicలింగ
nwit	eventiveమూడ్
tcim	అదేఈవెంట్మార్కర్
tlik	గుణకారకేసు
kyus	క్రాస్
hmus	మందపాటి
kfat	ధైర్యం
nwat	పెరుగుతాయి
myic	వర్షం
hpum	ఉపరితల
swut	పవిత్ర
clis	జూలై
mwun	ఫ్యాషన్
hfas	ఫైలు
cwac	భుజం
kwat	సౌకర్యం
nwac	ఎవరైనా
tcip	కావలసిన
kfac	గడ్డి
hmuk	డ్రా
plin	ప్రారంభ
kwun	జూన్
mlik	చేపలు
klin	రాజధాని
pfut	రొమ్ము
twam	దావా
fyin	వ్యయం
nlit	మీదే
mlin	మిలియన్
pyut	ప్రార్థన
hluk	అలసిన
ksut	చంపడానికి
cyut	నీడ
psin	బరువు
kcis	బూడిద
pyam	ధైర్య
mwac	సంతృప్తి
klam	చెప్పడం
ksam	జాతీయ
hfip	బలహీనమైన
klik	లోయలో
hkum	నిరాధారమూడ్
clas	పసుపు
cyuc	వేడి
mlac	అవశేషాలు
syip	అంతే
pwak	బాక్స్
tcif	కోణాల
psip	సూత్రం
ksik	పర్యవసానంగా
tsim	సీజన్
flan	సైన్స్
pcam	స్పష్టంగా
kcun	బోర్
ksuk	మామయ్య
mlit	జాబితా
pcik	ప్రమాదకరమైన
kwas	ఆగస్టు
hluc	ప్రముఖ
klit	తెలియని
flak	తెలిసిన
fyit	తెలిసిననమోదు
lwat	రీడర్
plun	వాకింగ్
twas	రెండుసార్లు
pcis	యాజకుడు
fyas	గాయపడిన
nlat	ప్యాలెస్
myuk	అవివేకి
pfak	మొగ్గుచూపుతున్నారు
tcuf	తొమ్మిది
cwap	సానుభూతి
plac	పేలవచ్చు
pyap	పెట్టటం
lyic	శృంగారించుకొన్న
hcum	శబ్దం
lwit	సాహిత్యం
tsuk	ర్యాంక్
hfup	తుఫాను
kcik	జేబులో
nwap	నవంబర్
tyim	డిసెంబర్
psaf	లేకపోవడం
nlac	జనాభా
kyaf	ధన్యవాదాలు
slis	సిరీస్
pyaf	పక్షి
mlak	యజమాని
kwut	కోటు
hwuc	సంబంధాలు
pyis	వేగంగా
twuc	పొగ
nwak	జనవరి
mlic	యంత్రం
tlis	పళ్ళు
ksun	బర్నింగ్
clam	అవమానం
klaf	నాణ్యత
clit	రింగ్
fyak	సరిపోలే
fyam	సరిపోలేమార్కర్
kwap	చదరపు
hwip	ఆదివారం
psis	కవిత్వం
pwut	యజమానులా
kyim	కొనుగోలు
clic	ఖాళీలను
pyip	ఏప్రిల్
kfap	అక్టోబర్
psut	వస్తువులు
kcuc	చేదు
nlap	బానిస
hsok	వదులుగా
htet	టెక్స్ట్
hbat	చెత్త
hrit	క్రెడిట్
hzit	లక్షణాలు
hpet	పదిహేను
krac	క్రూరమైన
hduc	దుమ్ము
hrik	ఆచరణాత్మక
hron	రంగు
hnus	ముక్కు
hric	స్నేహపూర్వక
srik	సరఫరా
hten	నిన్న
tlet	హేస్తేర్నల్కాలం
slap	విఫలం
hban	ధరించడం
hdat	బ్లైండ్
fran	ఎగురు
hdan	డెవిల్
htec	క్రమంగా
hmon	మిషన్
cran	త్యాగం
hran	మనస్సాక్షి
hmos	మంత్రి
nrit	శక్తి
hcet	ద్వేషం
hset	సెంటర్
hrin	హేతుబద్ధమైనలింగ
hcot	ఆనందించండి
hrip	సంక్షిప్త
htep	ఆరాధన
hcif	చర్మం
hrat	పైకప్పు
kran	కిరీటం
hkon	కోట
tran	నిరాశ
hmif	మైలు
trin	వృత్తం
hgin	జైలు
hkop	కప్
hcen	సభ్యుడు
swin	పౌర
hrac	ప్రతిచోటా
hris	కస్టమ్
hbin	మారుతున్నాయి
hmot	మాంసం
hdut	పాల
hwen	వృక్షజాలలింగ
nran	అరుదుగా
hbac	బంధువు
crut	వంతెన
hsoc	స్టాక్
hsom	ఉప్పు
nris	అమాయక
hbit	నివారించేందుకు
crin	ప్రశంస
rwin	రాణి
hgut	కౌంట్
hdas	నృత్య
hnot	హోటల్
hdin	పూరించడానికి
hton	ఖైదీ
hdak	షాప్
hlet	మెట్లు
hson	క్షమాభిక్ష
hgek	స్వలింగ
hras	ఇసుక
hsep	సెప్టెంబర్
hbic	పోటును
hlen	లైసెన్స్
hcon	తగినంత
hgit	సాక్షి
kfon	వంటగది
hbak	అమ్మే
tlim	చికిత్స
hsot	వేగం
kyut	కంప్యూటర్
hnen	శాశ్వత
htek	లైబ్రరీ
hzan	కలిగి
hbis	బేస్
hbun	గందరగోళం
kcus	కుక్
hgat	ఎడారి
hwus	ముద్దు
hbif	మంచు
hbot	బంతిని
hrut	వాదన
hdit	దీవనమూడ్
hdis	నేరాన్ని
hjan	శిక్ష
plis	పోలీసు
hgan	దాచడానికి
hsen	యాత్ర
nrin	అమాయకులకు
hyen	క్లౌడ్
frif	ఫిబ్రవరి
hdik	వ్యాధి
hnek	చొరవకేసు
hbam	అత్త
hmen	వినయపూర్వకమైన
hdip	ఆలస్యంఅత్యవసరం
prat	నివేదించారుప్రామాణిక
hdet	అర్ధరాత్రి
hjit	వేలు
hmoc	ఎక్కడో
pran	పత్రికా
kcec	ప్రాంతం
hken	ఆలస్యంగా
hloc	విచారంలో
hrak	సిబ్బంది
htes	చూపులు
rwan	బహుమతి
hdon	దానం
htot	నుదిటి
hnet	దూత
hdun	ఏక
croc	లోపం
hlon	డాన్
hyec	గొర్రెలు
hjin	సహనం
hrec	నిర్దేశకం
mran	మొక్కజొన్న
htos	మెజారిటీ
hcos	కొలమానాలను
hkoc	అప్పుడప్పుడూ
hlif	లాభం
clak	చక్కెర
hjat	మానవత్వం
tram	ఫ్రేమ్
hdic	డిస్క్
hkok	ఒంటరి
srat	కళాకారుడు
crak	ఆకర్షణ
hmet	ఇమెయిల్
hden	నిర్ణయం
gran	గవర్నర్
crac	బ్రాంచ్
hjac	అత్యుత్సాహం
hdim	ప్రేరకమూడ్
hcok	అత్యవసరము
hyet	ఆయిల్
pwap	పైపు
trat	ముద్రణ
tcot	ఘనపదార్థం
hdoc	ఓహ్
hren	ఉపన్యాసంసందర్భం
tcon	మధ్యాహ్నం
krin	క్యాబిన్
plam	అలారం
hnes	నాడీ
tcen	పరిశీలన
hsek	కారక
plik	వర్తించే
slik	పట్టు
hfen	శాతం
hgen	ఏజెంట్
hnon	యూనియన్
crik	నరకం
tcet	లోపభూయిష్ట
mrat	మిశ్రమ
hdam	హితబోధమూడ్
hgac	ఆశయం
htoc	ఏదో
hdac	న్యాయవాది
nwin	రాజ్యాంగం
srit	వాయిద్యం
hret	దృఢంగా
nlin	ఆన్లైన్
hzat	పోటు
klic	కళాశాల
hkek	తోక
nric	తరం
hgic	రద్దీ
hgak	పిల్లి
trit	ప్రత్యక్షప్రామాణిక
tyot	ఒప్పందం
hnok	విషయాల
crit	రద్దు
slen	పదకొండు
srin	స్వభావం
hpok	తెగ
hyot	ఎదుర్కొంటున్నారనిమూడ్
cric	ఆశ్రయం
hruc	సభ్యతలేని
cwin	స్వారీ
hzak	షేక్
dyit	పరిశ్రమ
hpec	వృత్తి
nras	నర్సు
hcec	బోధన
hbut	బూట్లు
hmec	అస్పష్టమైన
twot	కార్యకలాపాలు
crat	శనివారం
hkot	సామర్థ్యాన్ని
hnec	సూర్యరశ్మి
hwuf	వితంతువు
cren	షెడ్
nrat	స్టార్
hget	గెస్ట్
hbik	ఆశీర్వదించును
brin	లోపలి
hpot	అందుబాటులో
trac	ప్రతిఘటన
prac	ఉద్భవించిందని
hcoc	బోలు
hpon	రాష్ట్రంలో
hwim	నాగరికత
dwan	హ్యాంగ్
cwok	షాక్
hdok	డ్రైవింగ్
crun	నిధి
hzik	సీడ్
hrot	ఇటీవలిగతకాలం
hket	మేలుకొని
hcek	ఫర్నిచర్
hrop	తాడు
mrac	సాహస
byit	విందు
trak	వార్షిక
hzin	దక్షిణ
sric	వేడుక
clik	వేటాడు
trap	ఉదారవాద
hrim	క్రైస్తవమతం
hrus	యువరాణి
blat	ఆల్టర్
cyon	చిన్న
hwep	వెబ్
krat	కార్డినల్
tris	ఊదా
kcot	సేకరించడానికి
hben	ఎన్నికల
trik	తాగిన
kfit	లిఫ్ట్
tcec	మార్పిడి
nrik	ఖచ్చితమైనవ్యాసం
grat	చక్రవర్తి
dran	పరిపాలన
hpen	గతంలో
cluk	అందములేని
nrac	హానిచేయని
ryin	శిక్షణ
hrun	రోల్
nwic	అంగుళాల
slit	షూట్
gzat	వార్తాపత్రిక
krot	కట్టింగ్
drit	గడ్డం
hzis	కూల్చివేసి
hdap	పద్దెనిమిది
sris	చారిత్రక
mrut	స్థూల
nyik	మట్టి
bran	వధువు
drat	ఆధారపడి
djan	దిగ్గజం
glat	సరళత
hpoc	శరదృతువు
pras	వీల్
hgot	సేకరణ
tret	థియేటర్
tras	పోలిక
rwit	ప్రత్యర్థి
hfon	ఏర్పాటు
klot	రైలుపెట్టె
hmum	హాస్యం
drac	ఉపన్యాసం
rwas	నవల
tset	ప్రతీకారం
hdot	దూరతావు
ryut	ఈర్ష్య
hwon	ఆహ్వానం
byat	కాలిన
flac	ఫ్లాష్
prot	చిత్రం
crek	సూచిస్తున్నాయి
htok	సంఘర్షణ
htop	శాపం
prit	imprecatoryమూడ్
hces	నిస్సహాయంగా
klup	క్లబ్
hnos	వరద
dwin	ఉదాసీనత
prin	హోరిజోన్
mrit	assumptiveమూడ్
tcoc	నిటారుగా
hcom	సామరస్యం
grit	ఉరుములు
tlot	చిన్ననాటి
hgik	మోకాలి
hwes	అపస్మారకంగా
hzac	పరస్పర
hsec	సాఫ్ట్వేర్
tson	సంస్థలు
ryit	అందిన
dlin	క్రమశిక్షణ
slip	స్లిప్
klon	విప్లవం
hfim	రైతు
hpom	వేదిక
cyen	విద్యార్ధి
hgec	గుహలో
hroc	సంప్రదాయం
srac	submit
ryat	విషాదం
kcen	కన్నె
hbap	వీడ్కోలు
krik	విమర్శ
krap	పత్తి
fwat	ఆసుపత్రి
kcet	అద్దెకు
hgas	గ్యాస్
pfin	అనివార్యమైన
dlit	ఆకు
ryan	అనువాదం
sran	అంత్యక్రియలకు
mrin	పిండి
hram	శృంగార
dlan	డాలర్
hzas	వేళాకోళం
hsos	పదహారు
klen	కాలనీ
gyin	వింగ్
hsif	సింహం
cluc	మోసపూరిత
prip	తయారీ
hzut	మిస్ట్
dwat	వైద్యం
krit	సరిచూసుకున్నారు
sras	గూడు
hses	పద్నాలుగు
brat	అభ్యంతరం
flat	ఆమ్లము
hjic	అవి
slic	ఆయుధం
hbuc	యూజర్
tron	నారింజ
byan	స్నాన
hrif	ఆదిమ
tlip	ఏర్పాటు
blan	బుట్ట
kris	కార్యదర్శి
hyon	ఈలోగా
tren	నేటి
dlat	ఈరోజుకాలం
hzic	పాయిజన్
tfic	రైఫిల్
tlen	ప్రతిభ
hlim	వాతావరణం
dyat	సహచరుడు
kcon	ద్యోతకం
dlac	వాష్
krak	ఒప్పుకోలు
hbas	అర్ధంలేని
hkec	బొగ్గు
hrek	పునరుద్ధరించడానికి
hkos	కానో
hwif	వైస్
tric	తాత్కాలిక
hdep	delimitativeకారక
mwak	పైల్
ksot	ఎముక
hnoc	సోమవారం
nlas	మంగళవారం
brac	బుధవారం
frap	ఫెడరల్
pfit	ప్రతినిధి
pcoc	పోల్
lyen	నార
swak	కాగా
pcen	అధ్యక్షుడు
brit	బ్లడీ
hwec	ముట్టడి
hwet	కడుపు
hlos	మేడమీద
hbon	వైవిధ్యమైన
pcon	ఇత్తడి
hsem	శిఖరం
lwac	చౌకగా
tsos	పోటీ
kwen	ప్రత్యేకవ్యక్తి
trun	ల్యాండింగ్
trut	విగ్రహం
hrap	ఫిరంగి
hgap	అరెస్టు
trot	ఉష్ణోగ్రత
grin	పొరుగు
hjak	ఆలింగనం
hpek	ప్యాక్
hlus	జింక
hwos	బెడ్రూమ్
tsuc	బుష్
pcuc	ఉత్సర్గ
cris	వారసుడిని
clun	ఓక్
hpes	అసహ్యకరమైన
nlet	అసంపూర్తిగా
hrom	కార్యక్రమం
pyon	పియానో
swet	ఒప్పించడానికి
dric	అదృశ్య
tyen	బాగాతెలిసిన
hruk	క్రూరత్వం
frat	కేటాయించిన
hyoc	టెంప్టేషన్
hlep	telicకారక
nrot	అంతర్జాతీయ
nret	హింసాత్మకంగా
hfif	తత్వవేత్త
pfic	ప్రాతినిథ్యం
hmek	సున్నితమైన
hfec	సంక్షేమ
myik	ఫిషింగ్
truc	దొంగతనం
tcop	లిప్
rwic	రిటైర్
htom	ఆర్ధిక
glan	గ్యాలరీ
pren	సమాంతర
hlek	atelicకారక
nrak	ఖండంలోని
truk	నాక్
hjim	నిషేదించమూడ్
rwat	టై
hcep	సెల్
dyan	గుడ్డు
jrat	కృత్రిమ
nren	ప్రేరణ
ksic	సంక్షోభానికి
tsoc	శోధించడం
lwan	భోజనం
hpos	పైన్
hcuf	పుష్
tcus	స్యూ
pset	విస్తరించడానికి
hkep	రాగి
swis	నావికుడు
prim	సామ్రాజ్యవాద
trip	విప్
cras	చొక్కా
swap	స్వీప్
syet	స్కెచ్
htof	దొంగ
clen	ఛానల్
kwit	వ్యక్తిత్వం
klok	అదనపు
hrok	సంస్కరణ
hguc	దాహం
kcim	భయపెట్టే
hpem	తాటి
psik	స్పీకర్
frit	ప్రవేశ
cret	జాడలు
mrak	ఈటె
syen	సెషన్
tcup	తడి
hyek	ప్రయాణికుడు
trim	టిన్
plak	ఫిర్యాదు
hyok	కోణం
hgam	ఆవు
hmok	మిల్లు
jrac	చిహ్నం
kloc	కాలర్
gyit	ఉద్దేశపూర్వకంగా
hbip	బీర్
mlet	వెల్వెట్
lyap	తిట్టు
cwen	మంద
bwan	మేనకోడలు
tses	పదమూడు
jrit	జస్టిఫై
nlak	మాన్యుస్క్రిప్ట్
sron	యోధుడు
cruc	శుక్రవారం
broc	బ్రష్
dlot	డౌన్లోడ్
krim	క్రీమ్
pric	పిచ్
prut	జ్యూరీ
hgon	ఘనీభవించిన
sram	అక్షరాలా
pfot	పాట్
hlot	ప్రణాళిక
djin	నాణెం
hlok	లీపు
hpep	ఆపిల్
hwot	వక్రీకృత
dlak	చర్చించడానికి
brik	చందా
nlis	ప్రతిలిఖించడానికి
hbet	పందెం
pris	వైరస్
hjik	ఆతిథ్య
blit	పిల్లతనం
hjap	వస్త్రాన్ని
tfik	ప్రతిబింబిస్తాయి
hdaf	సాధించడానికి
hpop	ఒపేరా
kcaf	దాచడం
kcoc	మోచేతి
hrum	మరమ్మత్తు
cyim	అనుమానాస్పద
dyic	విద్యా
hgoc	గొయ్యి
drak	రుగ్మత
plas	ప్రశంసలను
byin	బైనరీ
hzap	అబ్బే
nlot	విధేయత
mrik	మెకానికల్
hsop	విజయవంతంగా
crap	ఉచ్చు
kyek	కేక్
nrut	వినోదాన్ని
syes	సర్
hjet	పదిహేడు
hjen	స్త్రీ
hmom	తేనె
hdec	దురదృష్టవశాత్తు
lwen	పురాణం
slot	స్టవ్
frac	తిరుగుబాటు
gwan	కెరటం
mruk	మెరుగు
swot	చిత్తడి
zlan	సంపాదిస్తారు
hnem	యానిమేటెడ్
hdes	డ్రెస్సింగ్
prak	బోధించాలని
frin	దృశ్యం
hfet	వ్యతిరేకించటం
cros	కోరస్
ryon	హేతుబద్ధమైన
tcos	పంట
tsen	ప్రాసెసింగ్
hwek	తోడేలు
nlik	తిరస్కరణ
klap	కార్పెట్
dras	ద్వేషిస్తారు
prop	సారవంతమైన
slim	విజిల్
hgis	చీజ్
krut	కొరుకు
srot	ఎస్కార్ట్
bjan	తిరుగు
nwen	నౌకాదళం
myas	మాస్క్
kwaf	అభివృద్ధి
twis	టాక్సీ
pcip	పెన్సిల్
srap	కూరగాయల
sren	ఎగ్జిబిట్
tlun	ప్యాంటు
hrup	అవినీతి
nrip	క్యాబినెట్
srup	సూప్
jran	సర్జన్
bjat	భత్యం
gyat	గూఢచారి
hlem	నిర్లక్ష్యంగా
srak	నైరూప్య
kson	యాసను
cwis	గురువారం
sret	భవదీయులు
hraf	ట్రాఫిక్
