hnit	matoanteny
tyuk	east
pwac	vato
hkif	mendri-kaja
nyac	tari-dalana
cyis	seza
tyuc	miandry
tsun	tanàna
tyik	manaiky
hnum	hilefitratoe-po
slak	fahombiazana
tsic	manandrana
slat	colina
hmik	mozika
hkus	mitaraina
hsip	Fito
hpaf	tsymiankina
nwas	vaovao
tfac	sehatra
fyan	zaridaina
cwas	manomboka
hfik	distributivetranga
lyac	mianatra
syik	ara-politika
clin	Henry
cyin	lainga
tsas	nandroaka
cyik	fahefana
tlap	tany
cyam	fahavaratra
tcut	fivavahana
tcap	afa-mandositra
hlut	mpanoratra
pyun	Brown
tcuk	fanaintainana
swan	lohataona
hmun	malefaka
kyun	zoro
nyak	famantarana
tsis	nyrariny
psas	voka-pambolenasyfiompiana
cyaf	laugh
hwut	manadino
hyup	Eoropa
hwap	valo
psak	mandalo
kyap	mahatahotra
pyic	ilaina
hmim	antonony
hsaf	fofonaina
hmis	hendry
hsum	possessivefanamarihanatoerana
ksat	mahafinaritra
ksit	am-pasana
tsap	nosy
kyam	toby
tcum	mikasika
cyun	harena
psic	amoron-dranomasina
tyun	sehatra
mwit	commissivetoe-po
tlut	diplaoma
myit	ririnina
kfan	fitondran-tena
slac	mihazakazaka
myin	minitra
tyip	mitarika
klas	fitaratra
pfat	board
cyic	zava-poana
swam	raharaha
syam	azoantoka
tsut	dokotera
hlip	completivelafiny
kcas	haizina
nyun	mafana
hpuc	zava-pisotro
tlam	ohatra
hfun	fahatezerana
tsik	nadiateoaza
tsam	mivantana
hmup	satroka
klak	alika
slin	volafotsy
swac	mpanompo
kcam	nyavonavona
pyik	fiaran-dalamby
myut	fitondran-tena
syak	miditra
swat	sabatra
kyuk	fanafihana
clac	fahasalamana
tyaf	fehintsoratra
swic	ara-tsosialy
tfit	refund
hkaf	ofisialy
pcas	jerena
nyam	voninahitra
tfat	roaambin&#39;nyfolo
pcut	mpifamofo
pwin	divay
mwat	tsiro
fyac	vy
syap	hizara
myap	varotra
hyum	mampiasa
fwak	mpitsara
klat	komandin&#39;ny
twap	cessativelafiny
kcic	liana
kwic	vahiny
hnif	intensifier
myun	zava-dehibe
tlic	farany
cyuk	vozony
syut	fahafahana
pfan	lafiny
kyuc	maina
pcap	kely
tfak	evidential
tcik	evidentialtranga
twun	lavitra
tyis	fandrosoana
nyap	tery
plit	trano
hpif	pejy
pwic	mitazona
syic	mampalahelo
tsip	fahotana
syim	marary
tcis	marina
pcun	banky
ksap	manaiky
lyam	Stream
tcaf	tsara
kwac	sofina
hpup	mofo
kcut	mifidy
nwam	biby
hsup	zoiclahysynyvavy
nwit	eventivetoe-po
tcim	hetsikaihanyfanamarihanatoerana
tlik	multiplicativetranga
kyus	hiampita
hmus	matevina
kfat	sahy
nwat	mitombo
myic	orana
hpum	surface
swut	masina
clis	Jolay
mwun	lamaody
hfas	rakitra
cwac	soroka
kwat	fampiononana
nwac	naizanaiza
tcip	irina
kfac	ahitra
hmuk	hantsaka
plin	fanokafana
kwun	Jona
mlik	trondro
klin	Renivohitra
pfut	tratra
twam	Fitarainana
fyin	fandaniana
nlit	anao
mlin	tapitrisa
pyut	Mivavaha
hluk	reraka
ksut	mamono
cyut	aloka
psin	lanja
kcis	grey
pyam	beherim-po
mwac	afa-po
klam	milaza
ksam	-pirenena
hfip	malemy
klik	-dohasaha
hkum	tombantombanatoe-po
clas	mavo
cyuc	hafanana
mlac	sisatavela
syip	mitovy
pwak	boaty
tcif	fefy
psip	fitsipika
ksik	vokany
tsim	vanim-potoana
flan	siansa
pcam	Toa
kcun	niteraka
ksuk	rahalahin-drain&#39;i
mlit	lisitra
pcik	mampidi-doza
kwas	Aogositra
hluc	malaza
klit	tsyfantatra
flak	mahazatra
fyit	mahazatrafiraketana
lwat	mpamaky
plun	mandeha
twas	indroa
pcis	mpisorona
fyas	naratra
nlat	lapan&#39;ny
myuk	adala
pfak	fo
tcuf	sivy
cwap	fiaraha-miory
plac	vaky
pyap	mametraka
lyic	niakanjo
hcum	tabataba
lwit	bokysygazety
tsuk	laharana
hfup	tafio-drivotra
kcik	paosy
nwap	Novambra
tyim	Desambra
psaf	tsyfisian&#39;ny
nlac	mponina
kyaf	misaotra
slis	andian-dahatsoratra
pyaf	vorona
mlak	tompony
kwut	akanjo
hwuc	fifandraisana
pyis	haingana
twuc	setroka
nwak	Janoary
mlic	milina
tlis	nify
ksun	fandoroana
clam	henatra
klaf	kalitao
clit	peratra
fyak	andian-teny
fyam	andian-tenyfanamarihanatoerana
kwap	kianja
hwip	Alahady
psis	tononkalo
pwut	undefined
kyim	mividy
clic	saha
pyip	Aprily
kfap	Oktobra
psut	zavatra
kcuc	mangidy
nlap	mpanompo
hsok	hamaha
htet	lahatsoratra
hbat	ratsyindrindra
hrit	bola
hzit	Toetoetra
hpet	dimyambin&#39;nyfolo
krac	lozabe
hduc	vovoka
hrik	azoampiharina
hron	loko
hnus	orona
hric	friendly
srik	famatsiana
hten	omaly
tlet	hesternalhenjana
slap	tsy
hban	mitafy
hdat	jamba
fran	manidina
hdan	Devoly
htec	tsikelikely
hmon	asafitoriana
cran	sorona
hran	feon&#39;nyfieritreretana
hmos	fanompoam-pivavahana
nrit	angovo
hcet	mankahala
hset	Center
hrin	misainalahysynyvavy
hcot	mankafy
hrip	fohy
htep	fanompoam-pivavahana
hcif	hoditra
hrat	tafo
kran	satro-boninahitra
hkon	lapan&#39;nympanjaka
tran	kivy
hmif	kilaometatra
trin	faribolana
hgin	am-ponja
hkop	kapoaka
hcen	member
swin	sivily
hrac	naaizanaaiza
hris	fanao
hbin	lasa
hmot	hena
hdut	ronono
hwen	vegetallahysynyvavy
nran	tsyfahitafiry
hbac	mpiraytam-po
crut	tetezana
hsoc	tahiry
hsom	sira
nris	tsymanan-tsiny
hbit	tsy
crin	fankasitrahana
rwin	mpanjakavavy
hgut	manisa
hdas	dihy
hnot	tranofandraisam-bahiny
hdin	fenoy
hton	voafonja
hdak	tsena
hlet	tohatra
hson	famelan-keloka
hgek	pelaka
hras	fasika
hsep	septembre
hbic	faharavana
hlen	Mombamombanympanoratra
hcon	ampy
hgit	vavolombelona
kfon	lakozia
hbak	mivarotra
tlim	fitsaboana
hsot	hafainganam-pandeha
kyut	solosaina
hnen	mandrakizay
htek	fitehirizam-boky
hzan	misy
hbis	base
hbun	fifanjevoana
kcus	Cook
hgat	efitra
hwus	oroka
hbif	ranomandry
hbot	baolina
hrut	kevitra
hdit	benedictivetoe-po
hdis	meloka
hjan	sazy
plis	polisy
hgan	afeno
hsen	fanafihana
nrin	tsynahalala
hyen	rahona
frif	février
hdik	aretina
hnek	hetsikatranga
hbam	nenitoa
hmen	manetrytena
hdip	tarafilazamandidyny
prat	nitatitraevidential
hdet	mamatonalina
hjit	rantsan-
hmoc	anyhoany
pran	gazety
kcec	faritra
hken	tatohoato
hloc	alahelo
hrak	mpiasa
htes	falymijery
rwan	valisoa
hdon	hanome
htot	handriny
hnet	anjely
hdun	Anaranaiombonana
croc	fahadisoana
hlon	mangiran-dratsy
hyec	ondry
hjin	faharetana
hrec	referential
mran	katsaka
htos	maroan&#39;isa
hcos	fepetra
hkoc	indraindray
hlif	tombony
clak	siramamy
hjat	maha-olona
tram	filanjana
hdic	kapila
hkok	manirery
srat	mpanakanto
crak	hatsarany
hmet	mailaka
hden	fanapahan-kevitra
gran	governora
crac	sampana
hjac	hafanam-po
hdim	inductivetoe-po
hcok	haingana
hyet	menaka
pwap	sodina
trat	Print
tcot	zavatramafyorina
hdoc	Oh
hren	kabarytenymanodidina
tcon	mitataovovonana
krin	efitra
plam	fanairana
hnes	natahotra
tcen	fandinihana
hsek	lafiny
plik	azoampiharina
slik	landy
hfen	-jaton&#39;ny
hgen	mpandraharaha
hnon	firaisana
crik	helo
tcet	tsininy
mrat	mifangaro
hdam	admonitivetoe-po
hgac	faniriana
htoc	toa
hdac	torohevitra
nwin	lalam-panorenana
srit	fitaovana
hret	mafy
nlin	-tserasera
hzat	onja
klic	oniversite
hkek	rambony
nric	taranaka
hgic	feno
hgak	saka
trit	mivantanaevidential
tyot	fifanekena
hnok	HevitraatoAnatiny
crit	nandao
slen	iraikaambin&#39;nyfolo
srin	voajanaharyamin&#39;ny
hpok	firenena
hyot	Natahotratoe-po
cric	fialofana
hruc	tsymahalalafomba
cwin	mitaingina
hzak	hampihorohoroiko
dyit	orinasa
hpec	asa
nras	mpitsabompanampy
hcec	fampianarana
hbut	kiraro
hmec	manjavozavo
twot	asa
crat	Asabotsy
hkot	fahafahana
hnec	masoandro
hwuf	mpitondratena
cren	nandatsaka
nrat	kintana
hget	vahiny
hbik	hitahy
brin	anaty
hpot	misy
trac	fanoherana
prac	misintona
hcoc	hollow
hpon	faritany
hwim	fandrosoana
dwan	Hang
cwok	tohina
hdok	mitondrafiara
crun	harena
hzik	voa
hrot	vaohainganalasahenjana
hket	Mifohaza
hcek	fanaka
hrop	tady
mrac	traikefanahafinaritra
byit	fanasana
trak	isan-taona
hzin	atsimo
sric	lanonana
clik	fihazana
trap	liberaly
hrim	FivavahanaKristianina
hrus	andriambavy
blat	alitara
cyon	kely
hwep	Malagasy
krat	kardinaly
tris	volomparasy
kcot	hanangona
hben	fifidianana
trik	mamo
kfit	atraka
tcec	fifanakalozana
nrik	voafaritra
grat	mpanjaka
dran	fitantanan-draharaha
hpen	teoaloha
cluk	ratsytarehy
nrac	tsymampidi-doza
ryin	fiofanana
hrun	horonan-taratasy
nwic	santimetatra
slit	mitifitra
gzat	gazety
krot	fanapahana
drit	saoka
hzis	hamiravira
hdap	valoambin&#39;nyfolo
sris	ara-tantara
mrut	lehibe
nyik	fotaka
bran	ampakarina
drat	miankina
djan	goavam-be
glat	tsotra
hpoc	fararano
pras	voaly
hgot	fanangonana
tret	teatra
tras	fampitahana
rwit	mpifanandrina
hfon	mamorona
klot	mpanazatra
hmum	hatsikana
drac	lahateny
rwas	tantara
tset	valifaty
hdot	distaldemonstrative
ryut	saro-piaro
hwon	fanasana
byat	fanatitra
flac	Flash
prot	Mombamombanympanoratra
crek	soso-kevitra
htok	fifandirana
htop	ozona
prit	imprecativetoe-po
hces	tsyafa-manoatra
klup	Club
hnos	tondra-drano
dwin	tsyfiraharahiana
prin	faravodilanitra
mrit	assumptivetoe-po
tcoc	hantsana
hcom	firindrana
grit	kotrokorana
tlot	fahazazana
hgik	lohalika
hwes	tsymahatsiarotena
hzac	fiaraha-mientanaifampizarana
hsec	rindrambaiko
tson	andrim-panjakana
ryit	fandraisana
dlin	famaizana
slip	taratasymi-
klon	revolisiona
hfim	mpamboly
hpom	sehatra
cyen	mpianatra
hgec	lava-bato
hroc	fomban-drazana
srac	manaiky
ryat	loza
kcen	virjiny
hbap	veloma
krik	tsikera
krap	landihazo
fwat	hopitaly
kcet	hofan-trano
hgas	mandatsa-dranomaso
pfin	tsyazoihodivirana
dlit	ravina
ryan	fandikan-teny
sran	fandevenana
mrin	lafarinina
hram	tantaram-pitiavana
dlan	dolara
hzas	jest
hsos	eninaambin&#39;nyfolo
klen	zanatany
gyin	elatra
hsif	nyliona
cluc	fetsy
prip	fanomanana
hzut	zavon
dwat	fanafody
krit	nahitsin&#39;i
sras	akaniny
hses	efatraambin&#39;nyfolo
brat	fanoherana
flat	asidra
hjic	izanyhoe
slic	fitaovam-piadiana
hbuc	mpampiasa
tron	voasary
byan	fandroana
hrif	faran&#39;izaytsotra
tlip	mametraka
blan	harona
kris	mpitan-tsoratra
hyon	Mandritraizanyfotoanaizany
tren	amin&#39;izaofotoanaizao
dlat	hodiernalhenjana
hzic	poizina
tfic	basy
tlen	talenta
hlim	toetrandro
dyat	vady
kcon	fanambarana
dlac	Wash
krak	fiaiken-keloka
hbas	tsymisydikany
hkec	arintany
hrek	indray
hkos	lakana
hwif	lefitra
tric	vonjimaika
hdep	delimitativelafiny
mwak	antontany
ksot	taolana
hnoc	Alatsinainy
nlas	Talata
brac	Alarobia
frap	federaly
pfit	solontenan&#39;ny
pcoc	pole
lyen	rongony
swak	hilatsaka
pcen	Filoha
brit	ramandriaka
hwec	fahirano
hwet	vavony
hlos	ambonyrihana
hbon	isan-karazany
pcon	varahina
hsem	fihaonanaan-tampony
lwac	levitra
tsos	fifaninanana
kwen	irerynyolona
trun	fiantsonana
trut	sarivongana
hrap	fitaovam-piadiana
hgap	hisambotra
trot	hafanana
grin	Manodidina
hjak	manaiky
hpek	entana
hlus	serfa
hwos	efi-trano
tsuc	voaroy
pcuc	mararymitsika
cris	mpandova
clun	hazoterebinta
hpes	mahafinaritra
nlet	tsyfeno
hrom	fandaharana
pyon	Piano
swet	mandresylahatra
dric	tsyhitamaso
tyen	tsarafantatra
hruk	habibiana
frat	notendrena
hyoc	fakam-panahy
hlep	teliclafiny
nrot	iraisam-pirenena
nret	keriny
hfif	filozofa
pfic	fanehoana
hmek	mora
hfec	fifanampiana
myik	fanjonoana
truc	hangalatra
tcop	molotra
rwic	misotroronono
htom	Toe-karena
glan	Gallery
pren	mitovy
hlek	ateliclafiny
nrak	Kontinenta
truk	dondony
hjim	prohibitivetoe-po
rwat	tie
hcep	sela
dyan	atody
jrat	solon-
nren	fitaomam-panahy
ksic	krizy
tsoc	mitady
lwan	sakafoatoandro
hpos	kesika
hcuf	Atoseho
tcus	Sue
pset	hanitatra
hkep	varahina
swis	tantsambo
prim	amperora
trip	karavasy
cras	lobaka
swap	Fafao
syet	Sketch
htof	mpangalatra
clen	fantsona
kwit	toetra
klok	beloatra
hrok	fanavaozana
hguc	hetaheta
kcim	fandrahonana
hpem	rofia
psik	mpandaha-teny
frit	tokonam-baravarana
cret	soritra
mrak	lefona
syen	fivoriana
tcup	mando
hyek	dialavitra
trim	firapotsy
plak	fitarainana
hyok	zoro
hgam	ombivavy
hmok	bary
jrac	Map
kloc	vozon&#39;akanjoko
gyit	minia
hbip	labiera
mlet	Velvet
lyap	fanararaotana
cwen	ondry
bwan	zanakavavin&#39;nyanabaviko
tses	teloambin&#39;nyfolo
jrit	fialan-tsiny
nlak	sora-tanana
sron	mpiady
cruc	Zoma
broc	borosy
dlot	Download
krim	fanosotra
pric	dity
prut	mpitsara
hgon	nivaingana
sram	ara-bakiteny
pfot	vilany
hlot	nomanina
djin	volamadinika
hlok	dingana
hpep	paoma
hwot	manolanahevi-
dlak	midinika
brik	famandrihana
nlis	hanoratra
hbet	Bet
pris	tsimokaretina
hjik	vahiny
blit	jaza
hjap	akanjo
tfik	taratra
hdaf	hahazo
hpop	opéra
kcaf	manafina
kcoc	kiho
hrum	fanamboarana
cyim	mampiahiahy
dyic	fanabeazana
hgoc	lavaka
drak	fikorontanana
plas	tehaka
byin	mimari-droa
hzap	Abbey
nlot	tsyfivadihana
mrik	mekanika
hsop	soaaman-tsara
crap	fandrika
kyek	mofomamy
nrut	voly
syes	tompoko
hjet	fitoambin&#39;nyfolo
hjen	Anaranaiombonanaamin&#39;ny
hmom	tantely
hdec	indrisy
lwen	angano
slot	fatana
frac	mpikomy
gwan	nivonto
mruk	manatsara
swot	swamp
zlan	hahazoana
hnem	Animated
hdes	fitafiny
prak	mitoria
frin	toeranamanodidina
hfet	manohitra
cros	AVERINAiSAN&#39;ANDININY
ryon	misaina
tcos	crop
tsen	fanodinana
hwek	amboadia
nlik	fandavana
klap	karipetra
dras	tsinontsinona
prop	mahavokatra
slim	sifflet
hgis	fromazy
krut	manaikitra
srot	manara-maso
bjan	mirenireny
nwen	tafikaan-dranomasina
myas	hanafina
kwaf	hampivelarana
twis	fiarakaretsaka
pcip	penina
srap	legioma
sren	fampirantiana
tlun	pataloha
hrup	kolikoly
nrip	kabinetra
srup	Lasopy
jran	mpandidy
bjat	hanina
gyat	mpitsikilo
hlem	Sahisahyratsy
srak	saro-takarina
kson	lantom-peony
cwis	Alakamisy
sret	amin-kitsimpo
hraf	fifamoivoizana
hres	maritrano
hsuf	fanariana
rwak	mitresaka
twon	haingo
hfus	sitrana
hkom	fehezan-dalàna
djat	mpihaza
nlut	Newsletter
hsef	bibilava
mris	demokrasia
bric	bateria
mlam	savoka
zran	fizarana
cron	mampangitakitaka
hzen	milomano
traf	esory
cwaf	valopy
srip	sigara
mrot	maotera
swon	mpilatsakaan-tsitrapo
ryak	fanehoan-kevitra
pfun	amin&#39;nyampahany
blac	Entana
mret	fanompoana
hjon	firaisanaara-nofo
kcok	famaky
dram	diamondra
kren	Alternate
tcek	RuNet
hdif	maha-
tfas	masoivoho
hfot	noaharetan&#39;ny
lwas	kamo
hmep	momentanelafiny
kfin	Encoding
mwin	an&#39;eritreritra
hrem	Ray
pram	rehefaniakatra
byac	lakaly
mren	tsyhayhadinoina
swen	Antenimieran-doholona
kras	vatam-paty
hgun	mitelina
nlok	po
ryic	fambolena
gwin	savily
srut	tanin&#39;ahitra
hkes	sarotra
hfis	fialana
frak	imbetsaka
hnom	niraytetika
hcop	Pub
hlec	sakay
mlot	fiderana
zrat	kandidà
proc	mpiaro
flik	amboahaolo
cyet	undefined
hgim	fivoahan-tsetroka
slet	fefy
tcok	marina
bjit	teoalohanodimandry
brot	kiboriny
bwat	bodofotsy
hdus	kisoa
gwat	ivoara
kret	nalaina
nwet	mpanara-maso
jwan	Avenue
nwis	fantsika
mwic	renitantely
bzat	mpilalao
gyan	hatsembohana
zyit	mpanatanteraka
blic	nofinofy
pcet	nytsyfahazoanaantoka
tsot	aforeto
bwit	sisin-tany
tres	adin-tsaina
hkof	fihinanana
nyen	fisentoan&#39;ny
hles	mitovy
cyek	lasakanyavy
hjis	fanjaitra
gjan	javatra
prec	hitondratena
drot	Fehezotsara
kcek	curve
twic	akoho
brak	barika
zwat	fahazarana
clap	zatralafiny
tsec	manam-pahaizana
bwin	hampiaikyvolana
cwet	atsy
hbek	mpanaomofo
zlin	oliva
mron	Van
drin	manokana
psap	hampiharihary
gjin	fitsingerenan&#39;nyandronahaterahana
clut	tantanana
cwun	manitra
twaf	misydikany
pcot	Pet
krok	karan-doha
dlik	mpanaolalàna
cwic	soaihany
srun	niketrona
crec	mandringana
jlan	sisiny
kcip	tompon-daka
blin	lavitrisa
ryik	simika
mlas	hanin-kotrana
flit	mpanamory
hzet	fatotra
cwik	malaza
twet	zipo
mwik	isan-kerinandro
tfis	ara-teknika
tlon	fiara
cram	undefined
grac	hanamafyorina
kraf	crow
trup	toetra
hduk	hook
cruk	tigra
nrap	mpila
crot	lalambe
mlip	milisy
hfoc	sary
nres	mivadika
plos	miampy
tfam	mangarahara
nlic	sivyambin&#39;nyfolo
hwok	mahay
nlen	lahatsoratra
fyic	fahombiazana
hwuk	tsymanam-paharoa
hgok	voajanahary
flic	teolojia
flot	float
hboc	manery
hwoc	mpamosavy
syot	Studio
cwip	Champagne
hbes	Sary
lwic	fisaraham-panambadiana
blot	bolt
cwot	babo
cwam	fihadiana
prik	matoantenin&#39;nyatao
hfum	sombin-javatra
grik	vatokely
zrin	apron
gren	planeta
hfuc	fitsangananaamin&#39;nymaty
claf	talantalana
flas	mpankafy
hjot	tanymafana
hbim	jadona
krek	volavelona
hbec	undefined
tsaf	famonoan-tena
pwas	hanapaka
plot	baovao
kfak	mahafoy
blak	lavarangana
hdos	tasy
kwis	mahazatra
kcos	miampanga
psen	fisotroan-dronono
kres	Endrikynymatoantenyamin&#39;ny
hzon	gidro
srim	sonia
glin	fisalasalany
mlut	malaza
myot	Import
fwac	mpanorina
troc	fanilo
hgaf	fitsipi-pitenenana
hyop	Yacht
ksip	lanytamingana
sres	fitsangatsanganana
hnup	dome
hzun	mafyloha
mric	hozatra
gjat	maridrefy
hros	RUB
zrac	kanosa
tros	toast
myus	totozy
dwac	fifanakalozan-kevitra
byak	osilahy
htef	Tailor
hfek	hiroborobo
dzan	hametraka
nyon	tsyfantatraanarana
zrit	formalfiraketana
pcos	fanatanjahan-tena
hjec	kivy
dlas	hamafa
mras	elo
mram	mineraly
cwut	fampiatoan&#39;ady
hbok	gana
swun	savony
dwak	saribakoly
plif	Villa
slon	manjaitra
tfut	hiarahaba
djac	hampihavanaantsika
hjas	hanafoanana
kric	bitro
kwot	mpitarika
gzan	antoka
clot	mpilalao
ksek	bibikely
psam	fihetsika
mwut	vorondolo
htem	maharitra
clon	lokanga
dzin	mponina
rwim	mifanaraka
hyof	mahasoa
dron	dragona
dwit	havananaamin&#39;nysofinaevidential
sroc	fanondranana
hzot	famaranana
djik	Mijanòna
kfik	sarony
ryun	lalàna
hmes	ben&#39;nytanàna
rwac	Hardware
sruk	fampisehoana
sros	vitsyan&#39;isa
bzan	rotaka
kset	orkesitra
bjon	Bacon
hjut	manam-petra
tfen	miaro
zwac	tombon-dahiny
dyin	délibération
myis	mozika
mlis	ara-tsaina
pret	hotsymahay
tsek	mpanaomari-trano
hlom	voasarymakirana
ksos	mikohaka
crok	aretin&#39;andoha
flin	fiterahana
mrun	mpandrafitra
swec	kisendrasendra
syuk	loviakely
blun	balloon
tcep	tsaoka
fric	famelombelomana
rwik	mitsangana
rwen	manakana
flet	inferentialevidential
