ni	infinitive
ksuh	declarativenaọnọdụ
pleh	iheùgwù
psoh	undefined
be	ọnụ
mwoh	undefined
kleh	undefined
glah	anyaukwu
kseh	kemkwenyenaọnọdụ
zrah	dissatisfaction
dyoh	ideophone
syoh	undefined
gwah	exessiveikpe
zlih	irrealisnaọnọdụ
zrih	imeihere
byih	mmegharị
ryeh	Okwunnochiahaawelara
fwah	frugal
bjah	undefined
kxah	equanimity
gvih	pegativeikpe
pxih	igosi
xrah	undefined
tfoh	undefined
kxih	ịkwaụta
ryoh	prosecutiveikpe
qyah	ichegbubigaonweyaókè
r6	participle
txah	remoteegosiihegaraaga
xrih	akụkọihemereemen&#39;ụdịna-egosi
dxah	sọrọnọmba
syuh	super
vweh	undefined
n6	sensoryiheàmànaọnọdụ
bweh	ibu
xlih	hilarious
txih	undefined
sluh	undefined
txoh	ngagharịUphill
xe	retrospective
pxah	undefined
vwah	ngagharịdownhill
xyih	J.Randall
fleh	inflected
psuh	superessiveikpe
syeh	undefined
qi	transitive
xruh	tụrụọ
zwah	Chaị
tr6h	ngagharịndịdịn&#39;akụkụosimiri
qwah	undefined
xlah	n&#39;ụwanile
tyoh	intransitive
tluh	anticlimax
qa	ugbuamkpawelara
kxoh	undefined
rwoh	ordinal
ve	vector
kyoh	undefined
swoh	zipụtahan&#39;usoro
pxeh	partitiveikpe
txeh	augmentative
dxih	predicative
pxoh	prolativeikpe
pfoh	prookwu
blah	blase
fyih	-abụghịụmụmmadụ
xo	omeeọrụ
pc6h	ikpenọmba
greh	centricikpe
groh	mgbaruọsọtriga
dxoh	n&#39;etitiolu
rweh	obliqueikpe
xwah	ndidiikpe
xu	prehodiernal
xroh	nká
ks6h	causative
vi	ọnụọgụabụọuru
dleh	modalikpe
gjeh	ọzọmaọbụrụna
xreh	ọrụibe
lwoh	locativeikpe
ml6h	multalnọmba
gjih	galaxyokike
qlah	kpakpandookike
bvih	abessiveikpe
dvah	adessiveikpe
je	agentiveikpe
t6	gịn&#39;ụlọngatriga
kxeh	kaikpe
gxih	nkịtịokike
tc6h	tikeetiụdị
ts6h	transonuogugu
ryuh	kpọmkwemihe
gveh	ergativeikpe
pyoh	n&#39;ezinụlọolu
qe	nwereokengwaa
xwih	bụisiihe
myoh	gnomicnaọnọdụ
vrih	ikpeazụurughuru
va	evitativeikpe
bveh	subessiveikpe
dxeh	nwereikpe
dvih	lativeikpe
tsa7h	antessiveikpe
dyeh	adverbialikpe
mleh	izubanduokike
pfeh	ọmịikoọṅụ
xleh	ụgbọalaokike
qlih	ịnwetaokike
xloh	ọnụnoun
dreh	abụọasụsụ
bvah	onweobiike
qrah	mgbanwenkeiheomume
fo	dịicheicheiheomume
sl6h	crastinaln&#39;ụdịna-egosi
fyoh	amaraolu
bxih	eluigwenaalaokike
jlih	transitivengwaa
kyeh	biokike
txuh	researchokike
s6	nkàokike
preh	ndiditriga
sr6h	nkịtịokike
nyoh	apụtachaghịìhèokwu
zreh	exocentricikpe
kfeh	garaagaperfective
jo	-abụghịonyengwaa
kxuh	mkpokọtanoun
bu	absolutiveikpe
qrih	mbaraokike
kfoh	isibenefactive
kwoh	associativeikpe
pluh	na-enweghịatụikpe
jrah	eletrik
glih	-adịghịndụokike
p6	propositivenaọnọdụ
vrah	mmegwaraolu
lyuh	sojenkebiahiri
gleh	n&#39;ogena-adịghịodin&#39;iru
lyoh	applicativeolu
ps6h	antipassiveolu
tfuh	continutiveakụkụ
nr6h	necessitativenaọnọdụ
pr6h	n&#39;ezinụlọparticiple
sy6h	existentialnkebiahiri
qyih	luminousosisiike
gluh	singulativenọmba
kwuh	okéoge
xyah	otuedinamngwaa
vlih	kachadị
djah	ugbuparticiple
m6	egonkeumi
ti7	connectiveurughuru
f6	epentheticmorpheme
tli7h	n&#39;imeobodoodin&#39;iru
si_	postpositionalikpe
l6	allocutivenkwekọrịta
k6	frequentativeakụkụ
bzih	distributiveokwunnochiaha
tu7	esen&#39;elummirimgbeọnụọgụgụ
vo	ngwaaikunye
ki7	garaagan&#39;ezinụlọparticiple
ta_	locativedirectionalikpe
