hnit	عملکاعام
hkum	قیاسآرائیپرمبنیمزاجسے
clas	پیلےرنگ
cyuc	گرمی
mlac	باقی
syip	برابر
pwak	ڈبہ
tcif	نکیلی
psip	اصول
ksik	نتیجہکے
tsim	موسم
flan	سائنس
pcam	بظاہر
kcun	بور
ksuk	چچا
mlit	فہرست
pcik	خطرناک
kwas	اگست
hluc	مقبول
klit	نامعلوم
flak	واقف
fyit	واقفورڈ
lwat	ریڈر
plun	چلنے
twas	دوبار
pcis	پادری
fyas	گھائل
nlat	محل
myuk	بیوقوفبنانے
pfak	حقمیں
tcuf	نو
cwap	ہمدردی
plac	پھٹ
pyap	ڈال
lyic	ملبوس
hcum	شور
lwit	ادب
tsuk	رینک
hfup	طوفان
kcik	جیب
nwap	نومبر
tyim	دسمبر
psaf	عدمموجودگی
nlac	آبادی
kyaf	شکریہادا
slis	سیریز
pyaf	برڈ
mlak	کےمالک
kwut	کوٹ
hwuc	تعلقات
pyis	میںتیزی
twuc	دھواں
nwak	جنوری
mlic	مشین
tlis	دانتوں
ksun	جلرہاہے
clam	شرم
klaf	معیار
clit	انگوٹی
fyak	جملہ
fyam	جملہمارکر
kwap	مربع
hwip	اتوار
psis	شاعری
pwut	preordained
kyim	خریدنے
clic	کھیتوں
pyip	اپریل
kfap	اکتوبر
psut	اشیاء
kcuc	کڑوا
nlap	غلام
hsok	ڈھیلے
htet	متن
hbat	بدترین
hrit	کریڈٹ
hzit	خصوصیات
hpet	پندرہ
krac	ظالمانہ
hduc	دھول
hrik	عملی
hron	رنگ
hnus	ناک
hric	دوستانہ
srik	فراہمیکی
hten	کل
tlet	hesternalکشیدہ
slap	ناکام
hban	پہننے
hdat	اندھے
fran	پرواز
hdan	شیطان
htec	آہستہآہستہ
hmon	مشن
cran	قربانی
hran	ضمیر
hmos	وزیر
nrit	توانائی
hcet	سےنفرت
hset	مرکز
hrin	عقلیصنفی
hcot	سےلطفاندوز
hrip	مختصر
htep	عبادت
hcif	جلد
hrat	چھت
kran	کراوون
hkon	قلعہ
tran	مایوسی
hmif	میل
trin	دائرے
hgin	جیل
hkop	کپ
hcen	رکن
swin	سول
hrac	ہرجگہ
hris	اپنیمرضیکےمطابق
hbin	ہوتاجارہا
hmot	گوشت
hdut	دودھ
hwen	پودوںصنفی
nran	نایاب
hbac	کزن
crut	پل
hsoc	اسٹاک
hsom	نمک
nris	معصوم
hbit	سےبچنےکے
crin	محبوبیت
rwin	ملکہ
hgut	شمار
hdas	رقص
hnot	ہوٹل
hdin	بھرنے
hton	قیدی
hdak	دکان
hlet	سیڑھیاں
hson	معافی
hgek	ہمجنسپرستوں
hras	ریت
hsep	ستمبر
hbic	بربادی
hlen	لائسنس
hcon	کافی
hgit	گواہی
kfon	باورچیخانے
hbak	فروخت
tlim	علاج
hsot	رفتار
kyut	کمپیوٹر
hnen	ابدی
htek	لائبریری
hzan	استعمال
hbis	بنیاد
hbun	الجھن
kcus	کوک
hgat	صحرا
hwus	چومو
hbif	برف
hbot	گیندکےپیچھے
hrut	دلیل
hdit	benedictiveکاموڈ
hdis	مجرم
hjan	عذاب
plis	پولیس
hgan	چھپانے
hsen	مہم
nrin	جاہل
hyen	بادل
frif	فروری
hdik	بیماری
hnek	انیشیایٹوکیس
hbam	چاچی
hmen	شائستہ
hdip	تاخیرناگزیر
prat	رپورٹکیاثبوت
hdet	آدھیراتکو
hjit	انگلی
hmoc	کہیں
pran	پریس
kcec	خطے
hken	حالہیمیں
hloc	اداسی
hrak	عملے
htes	ٹکٹکی
rwan	انعام
hdon	عطیہ
htot	پیشانی
hnet	فرشتےنے
hdun	واحد
croc	کیخرابی
hlon	ڈانکی
hyec	بھیڑوں
hjin	صبر
hrec	حوالہ
mran	مکئی
htos	اکثریت
hcos	اقدامات
hkoc	کبھیکبھار
hlif	منافع
clak	شکر
hjat	انسانیت
tram	فریم
hdic	ڈسک
hkok	تنہا
srat	میںآرٹسٹ
crak	توجہ
hmet	ایمیل
hden	فیصلے
gran	گورنر
crac	برانچ
hjac	جوشوخروش
hdim	آگمناتمککاموڈ
hcok	جلدی
hyet	تیل
pwap	پائپ
trat	پرنٹ
tcot	ٹھوسبات
hdoc	ارے
hren	مباحثےوسباق
tcon	دوپہر
krin	کیبن
plam	الارم
hnes	نروس
tcen	مشاہدے
hsek	پہلو
plik	قابلاطلاق
slik	ریشم
hfen	صد
hgen	ایجنٹ
hnon	یونین
crik	جہنم
tcet	عیبدار
mrat	ملاہوا
hdam	admonitiveکاموڈ
hgac	مہتواکانکن
htoc	کسینہکسیطرح
hdac	وکیل
nwin	آئین
srit	انسٹرومنٹ
hret	مضبوطیسے
nlin	آنلائن
hzat	لہر
klic	کالج
hkek	پونچھ
nric	نسل
hgic	ہجوم
hgak	کیٹ
trit	براہراستثبوت
tyot	معاہدے
hnok	مندرجات
crit	ترککردیا
slen	گیارہ
srin	سنتیں
hpok	قبیلہ
hyot	خدشہکاموڈ
cric	پناہگاہ
hruc	اشج
cwin	رائیڈنگ
hzak	ہلا
dyit	صنعت
hpec	پیشے
nras	نرس
hcec	پڑھانا
hbut	جوتے
hmec	غیرواضح
twot	سرگرمی
crat	ہفتےکےروز
hkot	صلاحیت
hnec	سنشائن
hwuf	بیوہ
cren	بہانے
nrat	سٹار
hget	مہمان
hbik	بھلاکرے
brin	اندرونی
hpot	دستیاب
trac	مزاحمت
prac	اخذکردہ
hcoc	کھوکھلی
hpon	صوبے
hwim	تہذیب
dwan	ہینگ
cwok	جھٹکا
hdok	ڈرائیونگ
crun	ھجانا
hzik	سیڈ
hrot	حالیہماضی
hket	جاگ
hcek	فرنیچر
hrop	رسی
mrac	مہمجوئی
byit	دعوت
trak	سالانہ
hzin	جنوبی
sric	رسم
clik	شکار
trap	آزادخیال
hrim	عیسائیت
hrus	راجکماری
blat	مذبح
cyon	چھوٹے
hwep	ویب
krat	کارڈنل
tris	جامنیرنگ
kcot	جمعکریں
hben	انتخابات
trik	نشے
kfit	لفٹ
tcec	ایکسچینج
nrik	خاصمضمون
grat	شہنشاہ
dran	انتظامیہ
hpen	پہلے
cluk	بدصورت
nrac	کوئینقصاننہیںپہنچاتی
ryin	تربیت
hrun	رول
nwic	انچ
slit	گولیمار
gzat	اخبار
krot	کاٹنے
drit	داڑھی
hzis	آنسو
hdap	اٹھارہ
sris	تاریخی
mrut	مجموعی
nyik	مٹی
bran	دلہنکے
drat	منحصر
djan	وشالکای
glat	سادگی
hpoc	خزاں
pras	پردہ
hgot	اجتماع
tret	تھیٹر
tras	موازنہ
rwit	حریف
hfon	تشکیل
klot	کوچ
hmum	مزاح
drac	گفتگو
rwas	ناول
tset	انتقام
hdot	ڈسٹلdemonstrativeکے
ryut	رشک
hwon	دعوتنامہ
byat	جل
flac	فلیش
prot	پورٹریٹ
crek	کامشورہ
htok	تنازعہ
htop	لعنتہے
prit	imprecativeکاموڈ
hces	لاچار
klup	کلب
hnos	سیلاب
dwin	بےحسی
prin	افق
mrit	assumptiveکاموڈ
tcoc	کھڑی
hcom	ہمآہنگی
grit	تھنڈر
tlot	بچپن
hgik	گھٹنے
hwes	بےہوش
hzac	باہمی
hsec	سافٹویئرکی
tson	اداروں
ryit	رسید
dlin	نظموضبط
slip	پرچی
klon	انقلاب
hfim	کسان
hpom	پلیٹفارم
cyen	طالبعلم
hgec	غار
hroc	روایت
srac	جمعکروائیں
ryat	سانحہ
kcen	ورجن
hbap	الوداعی
krik	تنقید
krap	کپاس
fwat	ہسپتال
kcet	کرایہ
hgas	گیس
pfin	ناگزیر
dlit	پتی
ryan	ترجمہ
sran	جنازہ
mrin	آٹا
hram	رومانوی
dlan	ڈالر
hzas	مذاق
hsos	سولہ
klen	کالونی
gyin	ونگ
hsif	لایئن
cluc	ہوشیار
prip	تیاری
hzut	دوبد
dwat	طب
krit	تصحیحاملاء
sras	گھوںسلا
hses	چودہ
brat	اعتراض
flat	ایسڈ
hjic	یعنی
slic	ہتھیار
hbuc	صارف
tron	اورنج
byan	غسل
hrif	آدم
tlip	قائم
blan	ٹوکری
kris	سیکرٹری
hyon	اسدوران
tren	آج
dlat	آجکاکشیدہ
hzic	زہر
tfic	رائفل
tlen	پرتیبھا
hlim	آبوہوا
dyat	ساتھی
kcon	مکاشفہ
dlac	واش
krak	اعتراف
hbas	بکواس
hkec	کوئلہ
hrek	بحال
hkos	کینو
hwif	وائس
tric	عارضی
hdep	delimitativeپہلو
mwak	ڈھیر
ksot	ہڈی
hnoc	سوموار
nlas	منگل
brac	بدھ
frap	فیڈرل
pfit	نمائندے
pcoc	قطب
lyen	لنن
swak	سنک
pcen	صدر
brit	خونی
hwec	محاصرہ
hwet	پیٹ
hlos	اوپر
hbon	مختلف
pcon	پیتل
hsem	سربراہیاجلاس
lwac	سستا
tsos	مقابلہ
kwen	خصوصیشخص
trun	لینڈنگ
trut	بت
hrap	توپخانے
hgap	کیگرفتاری
trot	درجہحرارت
grin	پڑوس
hjak	گلےلگانے
hpek	پیک
hlus	ہرن
hwos	سونےکےکمرے
tsuc	بش
pcuc	خارجہونےوالےمادہ
cris	وارث
clun	وک
hpes	ناخوشگوار
nlet	نامکمل
hrom	پروگرام
pyon	پیانو
swet	قائل
dric	پوشیدہ
tyen	اچھیطرحسےجاناجاتاہے
hruk	بیدردی
frat	تفویض
hyoc	فتنہ
hlep	telicپہلو
nrot	انٹرنیشنل
nret	تشدد
hfif	فلسفی
pfic	نمائندگی
hmek	حساس
hfec	فلاحوبہبودکے
myik	ماہیگیری
truc	چوری
tcop	ہونٹ
rwic	ریٹائر
htom	معیشت
glan	گیلری،نگارخانہ
pren	متوازی
hlek	atelicپہلو
nrak	براعظم
truk	دستک
hjim	مانعکاموڈ
rwat	ٹائی
hcep	سیل
dyan	انڈہ
jrat	مصنوعی
nren	پریرتا
ksic	بحران
tsoc	تلاش
lwan	دوپہرکےکھانےکے
hpos	پائن
hcuf	دھکا
tcus	مقدمہ
pset	توسیع
hkep	تانبے
swis	نااخت
prim	امپیریل
trip	کوڑا
cras	شرٹ
swap	جھاڑو
syet	خاکے
htof	چور
clen	چینل
kwit	شخصیت
klok	اضافی
hrok	اصلاحات
hguc	پیاس
kcim	دھمکی
hpem	کھجور
psik	اسپیکر
frit	ڈیوڑھی
cret	نشانات
mrak	برچھی
syen	اجلاس
tcup	نم
hyek	مسافر
trim	ٹن
plak	شکایت
hyok	زاویہ
hgam	گائے
hmok	چکی
jrac	کےنقشے
kloc	کالر
gyit	جانبوجھکر
hbip	بیئر
mlet	مخمل
lyap	استعمالکیاطلاعدیں
cwen	گلہ
bwan	بھتیجی
tses	تیرہ
jrit	جوازپیش
nlak	پانڈلپی
sron	جنگجو
cruc	جمعہ
broc	برش
dlot	ڈاؤنلوڈ
krim	کریم
pric	پچ
prut	جیوری
hgon	منجمد
sram	لفظی
pfot	برتن
hlot	منصوبہبنایا
djin	سکوں
hlok	چھلانگ
hpep	سیب
hwot	بٹی
dlak	پرباتچیت
brik	سبسکرائب
nlis	نقل
hbet	شرط
pris	وائرس
hjik	مہماننوازی
blit	بچکانا
hjap	روب
tfik	کیعکاسی
hdaf	کوپہنچجائیں
hpop	اوپرا
kcaf	چھپا
kcoc	کہنی
hrum	مرمت
cyim	مشکوک
dyic	تعلیمی
hgoc	گڑھے
drak	خرابیکیشکایت
plas	تالیاں
byin	ثنائی
hzap	ابی
nlot	وفاداری
mrik	میکانی
hsop	کامیابیسے
crap	ٹریپ
kyek	کچوڑی
nrut	تفریح
syes	مہودی
hjet	سترہ
hjen	نسائی
hmom	شہد
hdec	بدقسمتیسے
lwen	لیجنڈ
slot	چولہا
frac	باغی
gwan	سوجن
mruk	کوبہتربنانےکے
swot	دلدل
zlan	کما
hnem	متحرک
hdes	ڈریسنگ
prak	تبلیغ
frin	درشیاولی
hfet	مخالفت
cros	کورس
ryon	عقلی
tcos	فصل
tsen	پروسیسنگ
hwek	بھیڑیا
nlik	انکار
klap	قالین
dras	حقیرجانتے
prop	زرخیز
slim	سیٹی
hgis	پنیر
krut	کاٹتے
srot	تخرکشک
bjan	گھومنا
nwen	بحریہ
myas	ماسک
kwaf	کوتیار
twis	ٹیکسی
pcip	پینسل
srap	سبزیوں
sren	نمائش
tlun	پتلون
hrup	کرپشن
nrip	کابینہ
srup	سوپ
jran	سرجن
bjat	الاؤنس
gyat	جاسوس
hlem	لاپرواہ
srak	خلاصہ
kson	تلفظ
cwis	جمعرات
sret	مخلص
hraf	ٹریفک
hres	فنتعمیر
hsuf	ضائعکرنے
rwak	شگاف
twon	زیور
hfus	وصولیکا
hkom	کوڈ
djat	ہنٹر
nlut	نیوزلیٹر
hsef	سانپ
mris	جمہوریت
bric	بیٹری
mlam	موم
zran	اشتراککر
cron	سنسنی
hzen	تیر
traf	پٹی
cwaf	لفافے
srip	سگریٹ
mrot	موٹر
swon	رضاکارانہ
ryak	ردعمل
pfun	جزویطورپر
blac	بیگیج
mret	وزارت
hjon	جنسیطورپر
kcok	کلہاڑی
dram	ہیرے
kren	متبادل
tcek	گونج
hdif	شناخت
tfas	سفیر
hfot	مشتمل
lwas	سست
hmep	momentaneپہلو
kfin	انکوڈنگ
mwin	خیالی
hrem	کرن
pram	چڑھنا
byac	تہھانے
mren	یادگار
swen	سینیٹ
kras	تابوت
hgun	نگلنا
nlok	قتل
ryic	زرعی
gwin	سوئنگ
srut	گھاسکامیدان
hkes	پیچیدہ
hfis	استعفی
frak	باربار
hnom	سازش
hcop	پب
hlec	کالیمرچ
mlot	میلوڈی
zrat	امیدوار
proc	سرپرست
flik	لومڑی
cyet	افسوسکااظہار
hgim	چمنی
slet	ہیج
tcok	درستگی
bjit	سابقمیت
brot	شگوفہ
bwat	کمبل
hdus	سور
gwat	آئیوری
kret	اقتباس
nwet	مبصر
jwan	ایوینیو
nwis	ناخن
mwic	مکھیکی
bzat	اداکار
gyan	پسینہ
zyit	ایگزیکٹو
blic	برم
pcet	غیریقینیصورتحال
tsot	گنا
bwit	باؤنڈری
tres	کشیدگی
hkof	کھپت
nyen	کراہنا
hles	مشابہت
cyek	بوری
hjis	سوئی
gjan	رجحان
prec	برتاؤ
drot	کنٹرول
kcek	وکر
twic	چکن
brak	فیبیرل
zwat	عادی
clap	عادتپہلو
tsec	ماہر
bwin	متاثرکرنا
cwet	جکڑےہوئے
hbek	بیکر
zlin	زیتون
mron	وین
drin	وقف
psap	بےنقاب
gjin	سالگرہ
clut	ہتھوڑا
cwun	خوشبودار
twaf	معمولی
pcot	پالتوجانوروںکی
krok	کھوپڑی
dlik	مقننہ
cwic	خوشقسمتیسے
srun	برانبنگ
crec	تباہ
jlan	مارجن
kcip	چیمپئن
blin	ارب
ryik	کیمیائی
mlas	پلس
flit	پائلٹ
hzet	گرہ
cwik	شکوہ
twet	سکرٹ
mwik	ہفتہوار
tfis	تکنیکی
tlon	گاڑی
cram	چاپلوسی
grac	مضبوطبنانے
kraf	بانگ
trup	وصف
hduk	کانٹا
cruk	ٹائیگر
nrap	نوکرانی
crot	شاہراہ
mlip	ملیشیا
hfoc	تصویر
nres	سالمیت
plos	علاوہ
tfam	شفاف
nlic	انیس
hwok	تعلیمیافتہ
nlen	مضمون
fyic	کارکردگی
hwuk	منفرد
hgok	نامیاتی
flic	الہیات
flot	فلوٹ
hboc	تسکین
hwoc	ڈائن
syot	سٹوڈیو
cwip	شیمپین
hbes	بینر
lwic	طلاق
blot	بولٹ
cwot	قید
cwam	رگ
prik	غیرفعال
hfum	جھاگ
grik	بجری
zrin	تہبند
gren	سیارے
hfuc	جیاٹھنے
claf	شیلف
flas	پرستار
hjot	اشنکٹبندیی
hbim	صوابدیدی
krek	پارا
hbec	ادار
tsaf	خودکش
pwas	توڑو
plot	رپورٹر
kfak	خرچ
blak	بالکنی
hdos	داغ
kwis	کلاسک
kcos	الزاملگانے
psen	پینشن
kres	فعل
hzon	بندر
srim	کےدستخط
glin	ہچکچاہٹ
mlut	بدنامزمانہ
myot	درآمد
fwac	بانی
troc	مشعل
hgaf	گرائمر
hyop	یاٹ
ksip	ناپید
sres	گھومنےپھرنے
hnup	گنبد
hzun	ضد
mric	پٹھوں
gjat	شدت
hros	رگڑنا
zrac	بزدلانہ
tros	ٹوسٹ
myus	ماؤس
dwac	مکالمہ
byak	بکری
htef	درزی
hfek	پنپنے
dzan	مسلط
nyon	گمنام
zrit	رسمیورڈ
pcos	کھیلوں
hjec	پگھل
dlas	کوحذف
mras	چھتری
mram	معدنی
cwut	جنگبندی
hbok	بتھ
swun	صابن
dwak	گڑیا
plif	ولا
slon	سلائی
tfut	مبارکباددیتاہوں
djac	مصالحت
hjas	دبانے
kric	خرگوش
kwot	موصل
gzan	ضمانت
clot	کھلاڑی
ksek	کیڑے
psam	کرنسی
mwut	اللو
htem	مستقلطورپر
clon	وایلن
dzin	رہائشی
rwim	بالترتیب
hyof	فائدہمند
dron	ڈریگن
dwit	سمعیثبوتوں
sroc	کیبرآمد
hzot	برطرفی
djik	تاخیر
kfik	ڈھکن
ryun	ریگولیشن
hmes	میئر
rwac	ہارڈویئر
sruk	سرکس
